0.00028138+0.00038491i,0.0010401-8.5113e-05i,0.00051931-0.0017691i,0.00065924-0.0019464i,9.573e-05-6.972e-05i,-0.00071234+0.0010371i,-0.00022683+0.0014992i,0.00010345+0.0020001i,0.00011238+0.0015853i,0.00017261+0.00073407i,-0.00039967+0.00012148i,-0.00096785-0.00045198i,-0.00094711+0.00030817i,-0.00054107+0.00093972i,-0.00046528+0.0004419i,-0.0007493-0.00036766i,-0.0001674-0.00098115i,0.0010229-0.00055477i,0.0010052-0.00011982i,0.00041416-0.00018179i,-0.00019553-0.00043402i,-2.9481e-05-0.00053097i,0.00037509-0.00038492i
0.001677-0.0012166i,0.0019995-0.00010946i,0.0018876-0.00038372i,0.001382-0.0010243i,0.0007893-0.00077482i,-3.1842e-05+0.00049811i,-0.00053334+0.0010219i,-0.00022007+0.00040736i,-0.00061201-2.9404e-05i,-0.0011069-0.00031091i,-0.00036296-0.0001576i,-0.00086778+0.0002847i,-0.00090909+0.00053599i,0.00046756+0.00072941i,0.00056661+0.00065801i,-9.1749e-05+0.00016097i,-0.00091606+0.00035122i,-0.0012173+0.0003773i,-0.0005433-0.00032723i,0.0002783-0.00019852i,0.0007507+0.00050242i,2.1056e-06+0.0002815i,-0.00034848+0.0002757i
0.0013691+0.00021925i,0.00085392+0.00029732i,0.0016786+0.00036614i,0.0020295+0.00014238i,0.0011511+0.00039043i,0.00032692+0.00083029i,-0.00052632+0.0012357i,-0.0006275+0.0012783i,-0.00063727+0.0013701i,-0.00051701+0.00090524i,-0.00028036-0.00017227i,-8.5784e-05-0.00083597i,0.00020125-0.00032556i,-0.00015145+0.00083965i,-0.00043738+0.00038862i,-3.5637e-05+0.00013464i,0.00070622+0.00016944i,0.0017125-5.0196e-05i,0.0010191+0.0001396i,0.00048434+0.00028228i,0.00052017+0.00038558i,0.0005123+4.0861e-05i,0.00011774+2.8755e-05i
-0.0014929+0.0019743i,-0.00030555+0.0026677i,0.00052743+0.0018638i,0.0013833+0.0012624i,0.0012697+0.00075163i,0.0010975+0.00026482i,0.00053106+0.000416i,0.00035427+0.0002924i,0.00076228-0.00023026i,0.00033226-0.00026526i,-0.00019866+7.9289e-05i,-0.0003358+4.0119e-05i,7.2396e-06-6.8327e-05i,0.00017531-0.00049962i,0.00053589-0.00042244i,0.0006463+1.2444e-05i,-0.00024817-0.00052795i,-0.00099163-0.00047716i,-0.00059212-1.6171e-06i,-0.00053172+5.0408e-05i,-0.00079693+4.3992e-05i,-0.00047154-7.6063e-06i,0.00026256-6.125e-05i
0.00071218-0.00042459i,0.0015541-0.00033781i,0.0012875+0.00015564i,0.00088584+0.00080332i,0.0010486+0.001317i,0.00061177+0.00043044i,0.00056778+0.00058436i,-8.8681e-05+0.00066258i,-0.00086931-0.00024819i,-0.00048956-0.00023242i,-0.00035575+0.00020792i,-0.00068659+0.00053851i,-0.00058208-0.0002194i,-0.00069287-0.00054728i,-0.00076026-0.00045315i,-9.8287e-05-0.0012354i,3.1825e-05-0.001028i,-0.00016857-0.00049521i,5.3777e-05-0.00024041i,-0.00013184-1.6093e-05i,-0.00065313-0.00028594i,-0.00017151-0.00072805i,0.00056903-0.00018702i
0.00069758-0.0013343i,0.00014783-0.0012702i,-0.00011761-0.0017496i,-0.00073157-0.0011813i,-0.00071391-0.0008051i,-0.00062659-0.00062216i,-0.00044109-0.00062247i,-0.00070693-0.00074547i,-0.0013352-0.00045732i,-0.00094428-0.00056252i,-6.8148e-05-0.00047367i,-0.0001522-0.00055087i,-0.00086202-0.00046389i,-0.0001153+0.00017703i,0.00077135+0.00082022i,-0.00012837+0.00033434i,-1.9071e-05-0.00035476i,0.0013214-0.00014173i,0.0012202+0.00049138i,0.00072216+0.00055212i,0.00092542-0.00013955i,0.000699-0.00064902i,-8.3717e-05-0.00076774i
-0.00081882+0.00023886i,0.00010107-0.00063333i,9.0749e-05-0.00031721i,0.00015887-0.00016956i,0.0011544+0.00014932i,0.0013976+0.00020992i,0.00065171-0.00016308i,0.00020146+0.00022818i,-0.00035178+0.00093212i,-0.00086794+0.00085364i,-0.00041214+0.00034986i,-0.00021248+0.00011735i,-0.000864-0.0001884i,4.1492e-05-0.00040052i,0.0011551-0.00015289i,0.00079047+5.1223e-05i,2.3529e-05+5.2818e-05i,0.00029495-6.133e-05i,0.00069213-7.2859e-05i,-0.00022671-0.0001357i,-0.00089886-0.0010946i,-3.1664e-05-0.0012352i,0.00071326-0.00069372i
0.0015541+0.00046744i,0.0018515+0.00061316i,0.0019095+0.00090346i,0.0018404+0.00041925i,0.0013936-0.00042729i,0.001192-0.00083791i,0.00062879-0.00019705i,0.00048367+0.00026604i,0.00057532+3.1886e-05i,-0.00019442+0.0003359i,-0.00064114+0.00093672i,-0.0010492+0.00071834i,-0.00095266-0.00034596i,4.1648e-05-0.00015681i,0.00018601+0.0004265i,0.00017105+0.0005274i,0.00018927+0.00035003i,0.00037935+0.00039281i,0.00056445+0.00037584i,1.0926e-05-0.00032233i,-0.00010656-9.528e-06i,0.00051827+0.00025272i,0.00047696-0.00014791i
-0.00056747-0.00022419i,-0.0010749+0.00069042i,-0.00057567+0.00056035i,0.00012471-4.7113e-05i,0.00089602-0.00032596i,0.00081236-0.00034767i,-0.00014771-0.00040238i,0.00014184+0.00038437i,0.00018462+0.00066636i,-0.00059287-3.7732e-05i,-0.00085733-0.00039147i,-0.0010427-9.2994e-05i,-0.00063816-0.00044254i,-0.00010602-0.0010773i,0.00038095-0.00074221i,0.00034269-0.00012032i,-0.00021032-0.00034584i,-6.7577e-05-0.00086064i,0.00038238-0.00078519i,0.0011238-0.00021537i,0.00088387-0.00020322i,1.7022e-05-0.00022957i,0.00011005-0.00018468i
-0.00023267+0.00051915i,-0.00014611+0.0012295i,0.00047447+0.0017326i,0.00080814+0.0018029i,0.0013398+0.0019052i,0.0012508+0.0018909i,0.00015981+0.0010729i,-0.00042784+2.2707e-05i,-0.00094766-0.0003193i,-0.0012923-0.00060964i,-0.0011054-0.00049857i,-0.00061871+2.207e-05i,6.4864e-07-2.6122e-05i,0.00039627-0.0007864i,0.00044296-0.0010544i,-7.1886e-05-0.00083143i,-0.0012285-0.00033053i,-0.00066785-0.00054655i,0.00059739-0.00070491i,0.00024927+0.00042877i,-0.00024462+0.00094665i,0.00019419+0.00028217i,0.00017428-0.00031869i
-0.0025205-0.0019951i,-0.0020214-0.0017546i,-0.0023992-0.00076051i,-0.0013768+0.001521i,0.00037304+0.002929i,0.00074434+0.0016475i,0.00053259+0.00026389i,0.00052025+0.00048562i,-0.00022917+0.00077191i,-0.00029781+0.0003549i,3.486e-05-0.00020878i,0.00026679-0.00023931i,0.00040223+0.00058661i,7.2533e-05+0.00096642i,-0.00024357+0.00067774i,-0.00045675-2.241e-07i,-0.00033145-0.00024706i,-0.00011702+0.0002827i,-0.00023584+0.00060904i,-5.9271e-06+0.00048995i,-2.9647e-05+0.00023275i,-2.6054e-05-0.00028103i,0.00029734-0.00050802i
-0.00072297+0.001968i,0.00053475+0.0013883i,0.00090534+0.0022709i,0.0011232+0.0017694i,0.0014765+0.00057851i,0.00091229+0.00050391i,-0.00052981+0.00082058i,-0.0010623+0.00080626i,-0.00015238+0.00016042i,0.00034211-0.0001909i,0.00022586-0.00043106i,-0.00021922-0.00037522i,-0.0010794-0.0004253i,-0.0014038-0.00026077i,-0.00049499+6.8826e-05i,-0.00016735+0.00028382i,-0.00064681+0.00018005i,8.3604e-05+0.00014418i,0.0014495+0.000711i,0.0011009+0.00084673i,-1.067e-05+0.00050178i,0.0001205+0.00023976i,0.00045238+0.00037501i
-0.001458-0.00085614i,-0.001303+7.1093e-06i,-0.00078612+0.00027695i,-0.00017126+0.00011039i,-5.059e-05+0.00048542i,0.00026086+0.00046349i,0.00019254-8.5097e-05i,0.00019671-0.00023157i,0.00029921-0.00015995i,0.00042353-0.00026513i,0.00029089+0.00040741i,-0.00012753+0.00087516i,-0.00077398+0.00027786i,-0.00097736-0.00012356i,-0.00044201+0.00011322i,0.00010249+0.00045634i,0.00012202-5.2004e-05i,-0.00043169-3.3688e-05i,-0.00052038+0.00024726i,9.1077e-05-0.00050465i,-8.6411e-05-0.00054681i,-0.00022431+1.2241e-05i,-0.00036812-0.00010276i
-0.00088981+0.00070943i,-0.00059221+0.00011135i,-0.00027038+4.7116e-05i,0.0010173+0.00081815i,0.0017523+0.0012551i,0.0012002-6.1497e-06i,0.00015434-0.00057287i,-0.00037415-0.00043033i,-0.00067765-0.00064365i,-0.0005683-0.00086331i,-7.6686e-05-0.0012184i,-0.0008269-0.00055378i,-0.0017774-0.00022441i,-0.0014918-0.00069544i,-0.00063764+0.00018953i,-0.00068848+0.00017964i,-0.0005405-0.00061504i,4.9793e-05-0.00056509i,-0.00015459-0.00039013i,-0.00029287-0.00039076i,5.6869e-05-0.00051912i,0.00015041-0.00014839i,8.6339e-05+0.00022159i
-0.0002177-0.00097619i,0.00017456-0.00060816i,0.00027788+0.00032281i,-9.9584e-05+0.00036694i,-0.00048582+5.5506e-05i,-0.0011966+0.0003151i,-0.0016251+0.00083069i,-0.00094266+0.00048929i,-0.00044315-0.0006982i,-0.00037804-0.00083369i,0.00012954+0.00023669i,-9.9322e-05+0.00093467i,-0.00079833+0.00096356i,-0.00099712+0.00045748i,-0.00084861+2.5649e-05i,-0.00047016-2.7021e-08i,-0.00025555+3.3824e-05i,-0.00029184+5.2286e-05i,4.078e-05+0.00046388i,0.00026383+0.0008961i,0.00017381+0.0011032i,0.00029249+0.0010129i,0.00010333+0.00052241i
-0.0005861+0.00031162i,0.00032386-0.00041882i,0.0013654-0.00078439i,0.0018358-0.00073328i,0.0021058-0.00042955i,0.0018334-0.00049972i,0.00076628-0.00027813i,-0.00036839+0.00039399i,-0.00083737+2.5893e-05i,-9.6912e-05-0.00047668i,5.6539e-05-0.0005268i,0.00021927-0.0004344i,-0.00028815-0.00030474i,-0.00071774-0.00069598i,7.0235e-06-0.00062262i,-3.2735e-05+0.00024589i,-8.6905e-05+0.00073764i,0.00058211+0.001241i,0.00093275+0.00082108i,0.00095815+2.7258e-05i,0.0004099-9.6789e-05i,0.00026763+0.00013497i,0.00034314+0.00077092i
-0.00056708-0.00054723i,-0.00028937-0.00080714i,-0.0004437-0.00069102i,-0.00033847-0.00022478i,-0.00014931+0.00021648i,-7.6759e-05+0.00097816i,-0.00040982+0.0003263i,-3.6669e-05-0.00051377i,-0.00019604-0.00073702i,-0.00060866-8.4336e-05i,-0.00073467+0.0006294i,-0.00093496+0.00057953i,-0.00053704+0.0006551i,-0.0003717+0.00050494i,-0.00026977+0.00010035i,-0.00026828-0.0003413i,-0.00018333-0.00097453i,0.00030961-0.0011594i,0.00033865-0.00039096i,-0.00012462-0.00029571i,0.00015312-0.00067558i,0.0003003-0.00065767i,0.00018154-0.00070635i
9.3308e-05+0.0011736i,-0.0010192+0.00054927i,-0.00060918+0.00030875i,0.00029651+0.00061776i,-5.9097e-05+0.00035008i,-0.00012361+0.00050369i,8.8361e-05+0.00064274i,-1.1917e-05-0.00018977i,0.0002917-0.00040269i,-0.00048241+7.2974e-05i,-0.0020507-0.00030645i,-0.0024355-0.00076428i,-0.0011065-0.00059728i,-0.00020713-0.00067143i,-0.00065872-0.00024831i,-0.0012733+0.00035638i,-0.00055903+0.00039329i,8.9228e-05+0.00071546i,0.00028227+0.00086425i,0.00027799+0.00070405i,-0.00011678+0.00040151i,-0.00026231+0.0004281i,-8.4802e-05+0.00030969i
0.00069233+0.00088122i,0.0013893+0.0014327i,0.0021615+0.0014316i,0.0025026+0.00054351i,0.0013934-0.00025125i,1.5146e-07-0.00020568i,-0.00042326+0.00012055i,-0.00041869+0.00017437i,-0.00022385-6.8041e-05i,-0.00071238-0.00079533i,-0.00058506-0.00098347i,-0.00061879-0.00024237i,-0.00094556+0.00064766i,-0.0005646+0.00033748i,-7.6717e-06-0.0006172i,0.00041089-0.0009558i,4.263e-05-0.00056929i,-0.00037894+7.2879e-05i,-0.00031434+0.00054205i,-0.00030153+0.0010461i,-0.00050341+0.00097777i,-0.00043806+0.00010367i,-4.6489e-05-7.6204e-05i
0.0025202-0.0022209i,0.0025789-0.0017447i,0.0013196-0.0025053i,-0.00025941-0.002597i,-0.00061987-0.00065461i,-0.00027605+0.0010167i,4.8279e-05+0.0013128i,-0.00038219+0.00031792i,-0.00038072-0.00067213i,-0.00051645-0.00026689i,-0.00058444+0.00054865i,-0.00049962+0.0010325i,-2.632e-05+0.00075386i,0.00033904+0.00083058i,0.00015979+0.0007577i,0.00086322+0.0003898i,0.00063998-1.0573e-05i,3.5593e-05-0.00037411i,-1.9135e-05-0.00039475i,0.00010359-0.00033021i,-7.9888e-05-0.00012094i,0.00032693-1.9321e-05i,0.00077164+1.8087e-06i
-0.0004135+0.0003158i,-0.00066084+0.00059651i,-0.00038727+0.0011924i,0.00046829+0.00094471i,0.0011288-7.8679e-05i,0.00073074-0.00028799i,0.00050366+0.00023399i,0.00025966+0.00090741i,-0.00039629+0.00056513i,-0.00061462-0.0006625i,-0.00053991-0.00063422i,-0.0005504-3.5051e-05i,-0.00034447-0.00031303i,8.918e-05-0.0010222i,0.00054874-0.00086586i,0.00046735+0.00036121i,-0.00068148+0.00072456i,-0.0010675+0.00034369i,-0.00068123+2.632e-05i,-0.00055432-0.00023872i,-0.00014639-0.00042796i,0.00049529+5.3663e-05i,0.0010614-4.1213e-06i
0.00059259+0.00048595i,0.00050262+0.0013687i,0.0011774+0.0022438i,0.0015458+0.0011319i,0.00073046-0.00084271i,9.6028e-05-0.00043876i,-0.00019106+0.00024208i,1.1991e-05-0.00021194i,0.00028537-0.00030253i,6.2648e-05-0.000317i,-4.5684e-05-0.00039212i,-0.0005261-0.00012227i,-0.00097453-0.00010218i,-0.00056593+0.00044278i,-0.00040254+0.00015881i,-0.0001794-0.00040893i,0.00043771-0.00026145i,0.00089352-0.00062249i,0.00028808-0.0005088i,-0.00065785-0.00027575i,-0.00077368-0.0002693i,-0.00076312+0.00034069i,0.00021094+0.00072943i
-0.0012317-0.0011868i,-0.00073866-0.00021981i,-0.0021665+0.00057756i,-0.0016732+0.0007802i,-4.5143e-05+0.0014479i,0.00028774+0.001699i,-0.00084484+0.00092374i,-0.0014906+5.9285e-05i,-0.0010705-0.00033289i,-0.0012026+1.8895e-05i,-0.00051197+0.00038237i,0.00010787-0.00030784i,0.00015756-0.0005382i,9.8584e-05-0.00049673i,-0.00020583-0.00074442i,9.9935e-05-0.0004869i,0.00026657+0.00039954i,-0.00017393+0.0008783i,-0.00047915+0.0003814i,-0.00016915-0.00016286i,0.00041805+0.00033075i,0.00039118+0.00063691i,0.00026635+0.00011948i
-0.00082795-8.9929e-05i,-4.4959e-06+0.00031528i,-0.00045218+0.0013241i,-0.00036579+0.0016221i,0.0010369+0.0015398i,0.001454+0.0012186i,0.00052101+0.00061098i,-0.00050118+0.00038049i,-0.00048181+0.00028866i,0.00029721-0.00060589i,0.0005767-0.00064808i,0.00060955+0.00017254i,0.0010005+0.00025346i,0.00078165-2.7667e-05i,-0.00037946-0.00099482i,-0.00074325-0.0013338i,-0.0005019-0.0002879i,-0.00035681+0.00045583i,-0.00015865+0.00044051i,-0.00015546+0.00079689i,-0.00034284+0.0011492i,-4.6866e-05+0.0008091i,-0.00024328+0.00064732i
-0.00061012+0.00053719i,6.0665e-05-0.00041868i,0.00085592-0.0010608i,0.00096154-6.0287e-05i,0.001028+0.00090819i,5.2353e-06+0.00072567i,-0.0007814+0.00051885i,-0.00018276-8.8351e-05i,-0.00014084-0.00041367i,-0.00063689-0.00053295i,-0.00066074-0.00030775i,-0.0009372-1.6867e-06i,-0.00064023+7.0752e-05i,0.00048909+0.00085731i,0.00023636+0.00077572i,0.00010712+0.00016608i,0.0004405-8.8543e-05i,0.00023679-0.00067874i,0.00055149-0.00023442i,0.001122+0.00046434i,0.00073889+0.00067275i,0.00021348+0.00053368i,0.00062626+0.00017663i
0.00033926+0.00076514i,0.0010483+0.00017911i,0.0013105+0.00067172i,0.00060237+0.00078472i,0.00067074-0.00017921i,0.00087219-0.0002769i,1.1647e-05-0.00034865i,-0.00087698-0.0011049i,-0.00054921-0.001594i,0.00019543-0.00049842i,0.00049783-0.00012606i,0.0008822-0.00010634i,0.00061934-0.00033192i,-0.00021985-0.00040243i,-0.00071288-0.00019221i,0.00016564-0.00053598i,0.00026248-0.00026811i,0.00029105+0.00010511i,0.0010238+8.2964e-05i,0.0013918-0.00040123i,0.00078903-0.00072894i,0.00037242-0.00029497i,0.00029011+0.00031811i
-0.00025265+0.0022843i,3.976e-05+0.0021552i,0.0005173+0.0019173i,0.0010948+0.0014419i,0.0020725+0.00033545i,0.0010543-0.00041575i,-0.00085513-0.00046584i,-0.0013318+0.00030017i,-0.0012362+0.0013999i,-0.0007454+0.00069888i,-0.00018215-0.00047159i,-0.00017628+0.00010112i,-4.013e-05+0.00092591i,-0.00039072+0.00064346i,-0.00084916+0.00041951i,-0.00037463+0.00037604i,0.00030943-0.00024373i,-8.826e-05-0.00061291i,-0.00054903+0.00021155i,-6.6291e-05+0.00040162i,0.00021685+0.00019619i,-0.00039873+0.00017541i,-9.9047e-05+0.00015256i
0.00060535+0.001877i,0.00058193+0.00088679i,0.00085832+0.00020914i,0.0011448+0.00084767i,0.0008514+0.00060958i,0.00071088-0.00030842i,0.00043761-0.00076198i,-0.00017179-0.00087707i,-0.00083109-0.00093838i,-0.00091943-0.0012066i,-0.00095495-0.0008446i,-0.00070721+0.00018659i,-0.00016232+0.00029532i,-0.00029733-6.4206e-05i,-4.6119e-05-0.00045896i,2.1063e-05-0.00057054i,-0.00079429-4.3085e-05i,-0.00028746+0.00072754i,0.000215+0.00099113i,0.00015137+0.0001327i,6.5022e-05-0.00047801i,-0.00068817-0.00026986i,-0.00063919-0.00028332i
-0.00077388-0.0015723i,-0.0012994-0.0016546i,9.0104e-05-0.0009269i,0.00096962-0.0002259i,0.00076965+5.9744e-05i,0.00080118+0.000267i,0.00050048-5.941e-05i,0.00044165-0.00043915i,-3.1633e-05-0.00051485i,-0.00034422-0.00060904i,0.00031674+8.8369e-05i,0.00055589+0.00093018i,-0.0002708+9.3845e-05i,-0.00089789-0.00036374i,-0.00083837-0.00024275i,-0.00059189-0.00022517i,-6.9675e-05+9.2378e-05i,0.00066392+0.00064287i,0.0014489+0.00085448i,0.0012583+0.00049461i,0.00027228+0.00065648i,0.00041613+0.00032567i,2.4645e-06-0.00050264i
0.0026011-0.0013195i,0.002434-0.0018578i,0.0017187-0.001325i,0.00093884+0.00065468i,0.00039868+0.0011842i,-0.00024236-0.00010719i,0.00019129-0.00073826i,0.00039791+3.4073e-05i,-0.00052765+0.00051081i,-0.0010556-1.5465e-05i,-0.0011445-0.00055504i,-0.001266-0.00028723i,-0.0014432+0.00061811i,-0.00075962+0.00097971i,0.00021462+7.1143e-05i,-2.8674e-05+0.0001578i,2.9546e-05+0.0001382i,-0.00011022+0.00040098i,-0.00058492+0.00063313i,1.9275e-05-5.8233e-05i,0.00034216+0.00010244i,-0.00018088+0.00034231i,-7.3353e-05-5.5397e-05i
-0.0012364+0.0013254i,-0.0007268+0.00074674i,0.00013135+0.0012668i,0.00051706+0.0017596i,0.00091328+0.00077907i,0.00094723+0.00099811i,0.0006263+0.0017011i,0.00070634+0.0009836i,0.00049929+0.00013903i,0.00019224+0.00033001i,-0.00026081+0.00067103i,-0.00010217+0.00035121i,-0.00013146-0.00013748i,-0.00018973+3.3352e-05i,8.9119e-06-0.00010227i,-0.00062514-0.00018686i,-0.00078197+0.00043709i,-0.00057457+0.0006253i,-0.00055528-0.00013333i,-0.00011977-0.00048281i,3.7009e-05-7.3605e-05i,0.00017703+0.00060772i,0.00049897+0.00046161i
-0.00078712-0.0011604i,-0.00075713-0.00081612i,0.00021068-0.00050739i,0.0004326+0.00037511i,0.00085231+0.00064611i,0.00015329+0.00042398i,-0.0010047-4.0487e-05i,-0.0011836-0.00043777i,-0.0009434-0.00018475i,-0.00086888-9.3989e-06i,-0.00044831+0.00024564i,0.0002694+0.00060303i,-6.4567e-05+0.00025668i,-0.00023297-0.00051269i,-1.1865e-05-0.00050701i,-7.8271e-06-2.4032e-05i,-0.00038274+0.0005217i,-0.00041432+0.00052198i,-0.00045367+6.3887e-06i,-0.0005887+0.00021093i,-0.00025646+2.4475e-05i,0.00058933-0.00035304i,0.00067338-0.00011815i
