-0.00031426+0.00025655i,-0.0011564+0.00041515i,-0.0014736-0.00035327i,-0.0010863-2.1783e-05i,-0.00083035+0.0013169i,-0.00091882+0.0016014i,-0.0010438+0.0016076i,-0.00070051+0.0015678i,0.00012383+0.00088433i,0.00053081+0.00027643i,0.00063489+0.00029763i,0.00015722-0.00032738i,-0.00027584-0.00056886i,-0.00015578-0.00024462i,5.7405e-05-0.00069631i,4.1898e-06-0.00039459i,-3.4573e-05+0.00034535i,-1.4826e-05+0.00086671i,-0.00012909+0.00040384i,8.6207e-05+0.00019965i,5.3322e-06+0.00066797i,-0.00061817+0.00030103i,-0.0010083-0.00042037i
0.0019749+0.00024839i,0.00048749-0.00015368i,0.00046583-0.00049824i,0.00053647+0.00039384i,-9.7062e-05+0.0004302i,-0.00048203-0.00011763i,-0.00092692-0.00016871i,-0.00056321-7.5358e-05i,0.000446-0.00015291i,2.5506e-05+0.00036372i,-0.00079156+0.00015077i,-0.0003103-2.475e-06i,0.00016353+0.00023571i,-0.00017701+0.00049121i,2.0695e-05+9.256e-05i,0.00036574-0.00031774i,7.5832e-05-0.00039206i,-3.3281e-05+0.00023679i,0.00017368+0.00065978i,0.0002457+0.00053864i,-0.00031836+0.00034152i,-0.00072178-0.00014314i,-0.00063555-0.00018434i
-0.0005908+0.00056093i,-0.00020888+0.00028498i,0.0001131-0.00038616i,6.1798e-05-0.00080234i,-0.00066094-0.0010174i,-0.001921-0.0014162i,-0.0017484-0.0016157i,-0.00042487-0.00088484i,-0.00059197+0.00016041i,-0.00079253+0.00024468i,-0.00047851-0.00051052i,-0.00085981-0.0010201i,-0.00042414-0.00078455i,0.00060519-0.00050831i,0.00055816-0.00048517i,8.272e-05-0.00013718i,9.241e-05+0.00049722i,0.00097628+0.00077811i,0.0010837+0.00060615i,0.0005891+0.00075734i,0.00056074+0.00089295i,0.0004757+2.762e-05i,-7.2097e-05-0.00093672i
-0.0026561+0.00054084i,-0.0027584+0.00010311i,-0.001986+0.0011866i,-0.00045567+0.0012442i,0.00038415-3.1167e-05i,-0.00010722-0.00056432i,-0.00086338-0.00023197i,-0.0011732+0.00052817i,-0.00094306+0.0012533i,-0.00035861+0.0012956i,-0.0003252+0.00080688i,7.5554e-06+1.4541e-05i,0.00064587-9.2292e-05i,0.00062889-0.00029109i,0.00017642-0.0012284i,3.5661e-05-0.00097494i,0.00035406-0.00063231i,0.00067675-0.00014831i,0.00027179+0.00072213i,-0.00021662+0.00040078i,-0.00018158-0.00011983i,-0.00021209+0.00012189i,4.5199e-05+0.00039018i
0.00076976+0.00027586i,0.00021693+0.00026504i,-0.00040127+0.00012213i,-0.00023585+0.00075774i,-0.00012712+0.0011734i,-0.00036018+0.00070313i,-2.8421e-05+0.00032932i,0.00036707-1.7614e-05i,0.00016159+0.00023944i,0.00013038+0.00074707i,0.00050445+0.00070746i,0.00044876+8.8073e-06i,0.00042103-0.00039531i,0.00069378+0.00028889i,0.0006346+0.0011837i,0.00027663+0.000822i,0.00020804+0.00034637i,9.7007e-05+0.00011875i,0.00018759-0.00026629i,0.00016239+0.00058305i,-0.00015191+0.0011034i,-0.00054877+0.00035919i,-0.00028839-8.6168e-05i
0.00092047-0.0013667i,0.0009739-0.0016834i,0.00049158-0.0010293i,-6.4461e-06-0.00074409i,-0.00078741-0.00015627i,-0.0019841-8.3428e-05i,-0.0022613-0.00019872i,-0.00091651+0.00015212i,-2.3994e-05+4.1345e-05i,-0.00045524+8.0104e-05i,-0.00099444+0.00026171i,-8.1039e-05-0.00029359i,0.00079628-0.00010719i,0.00060252+0.0007772i,0.00027822+0.0004235i,0.00011914+9.0097e-05i,-0.00019376+0.00047537i,-0.00011858+0.00052802i,-7.0331e-05+0.00021842i,-0.00046059-0.00031264i,-0.00019897-0.0012068i,0.00023547-0.00040434i,0.00067275-2.6531e-05i
-0.0016969-2.0164e-05i,-0.0023316+0.00062072i,-0.0018599+0.00081517i,-0.000862+0.00051542i,-0.00070722-0.00023635i,-0.0010032-0.00069634i,-0.00046468-0.00023493i,0.00055885+0.00044655i,0.0003508+0.00071802i,-8.4439e-05+0.00069438i,2.8471e-05+0.00071918i,0.0001874+0.00032339i,-5.5387e-05+0.00011082i,0.00077941+0.00056404i,0.0010684+0.00040463i,0.00092644+0.00026517i,0.00095153+0.00011126i,0.00029255-0.00029358i,-0.00079446-0.00073093i,-0.0011091-0.00072582i,-0.00074541-0.00067246i,-0.0003714+0.00011572i,-0.00043343-0.00020033i
0.0018835-2.6975e-05i,0.0017356+0.00095659i,0.0012693+0.00018838i,0.00109-0.00079658i,-0.00020906-0.00041235i,-0.0021022+0.0001628i,-0.0025361+0.00037271i,-0.0013059+0.00040293i,9.8477e-05+7.1884e-05i,0.0008038+0.00021932i,0.00053525+0.00016616i,-0.00047216+0.00037874i,-0.0013659+0.0012054i,-0.0010826+0.0014582i,-0.00018224+0.00072827i,0.00011348-3.3032e-05i,0.00048803-0.00036293i,0.00076586-0.00012261i,-0.00027008+0.00085229i,-0.00014002+0.0010657i,0.00034071+0.00021988i,-0.00062512-0.00033468i,-0.0010028+4.1534e-05i
-0.00060605+0.00045068i,-0.00025839-0.00061535i,0.00013107-0.0010534i,0.00061691-0.00015455i,0.00016719+6.1663e-05i,-0.0011852-0.00057504i,-0.0012034-0.00041975i,-6.6379e-05-0.00033052i,0.00078696+0.00017917i,0.00037611+0.00081382i,-0.00019949+0.00071516i,-2.0804e-05+0.00023675i,0.00060194-0.00027676i,0.00099727-0.0006511i,0.00056774-0.00065415i,-0.00023738-0.00075443i,9.9723e-05-0.00039431i,0.00053772-0.00058046i,0.00099914-0.00063856i,0.0012059+5.2302e-05i,0.00015934+0.00074083i,-3.3851e-05+0.00071295i,0.00064931+0.00055231i
0.00079453-0.0014615i,0.0015457-0.00070171i,0.00055399-0.00029265i,0.00032273-0.00038401i,0.00062584+0.00019956i,-0.00094787-0.00036235i,-0.0016834-0.0012505i,-0.0010785-0.00067173i,-0.00038657-0.00026509i,0.00014657-0.00052283i,0.00033461-0.0001874i,0.00019827+0.00018301i,-0.00064142-9.0996e-05i,-0.00080561+3.4175e-05i,-0.00012346+0.00062017i,-0.00038127+1.2802e-05i,-0.00074868-0.00021201i,-0.00011561+9.1057e-05i,0.00032613+5.2328e-05i,3.78e-05+9.2938e-05i,-0.00011723+0.00035696i,0.00040588+0.00064331i,0.00065418+0.00039737i
0.00029235+0.00017856i,-0.00042651-0.00027903i,-0.0009977-0.00030389i,-0.00084697-0.00050212i,-0.00049845-0.0002766i,-0.0014726+3.6363e-05i,-0.0013171+0.00049373i,-0.00016109+0.00067121i,0.00014556+0.00014732i,-7.7206e-05-4.9005e-05i,0.00039767+6.7759e-05i,0.00089532+6.4117e-05i,0.00034586-1.5456e-05i,-0.00030597-0.00033086i,-6.8016e-05-0.00033211i,0.00040032-0.00014134i,0.00058491+0.00021772i,0.00044741+0.0004297i,-0.00021992+9.1485e-05i,-0.00016712+0.0001035i,5.2995e-05-5.56e-05i,-0.0001627+4.017e-05i,0.00011702-0.00048721i
0.00058901+0.0023709i,0.0015695+0.0013812i,0.001731+0.00081752i,0.0013418+0.0004428i,0.00067275+7.2499e-05i,-0.00039997-0.00050566i,-0.0012825-0.00085865i,-0.0011089+0.00024445i,-0.00021144+0.0011345i,0.00085445+0.0016589i,0.0010732+0.0013296i,0.00014284+0.00046255i,-0.0007813-0.00010297i,-0.00064359+0.00016272i,8.0863e-05+0.0001046i,0.00020546+0.00022333i,-0.00057941+0.00084603i,-0.0011345+0.00055072i,-0.00076385+0.00012581i,-0.0003345-8.9875e-05i,-0.00037369-0.00070228i,-0.00044489-0.0010996i,0.00023927-0.0003284i
-0.0009811-0.0017038i,-0.00060659-0.0016307i,-0.00023972-7.6262e-05i,-0.00055671+0.0006337i,-0.00047806+0.0003274i,-2.8515e-05+0.00035894i,-0.00024631+0.00076628i,-0.00012794+0.0010175i,0.00064504+0.00048753i,0.0010397+0.00048629i,0.00073986+0.0003353i,0.00010605-3.3604e-05i,-0.00050752+0.00013064i,-0.00026377-0.00013051i,0.00075321-0.00038122i,0.00082558-9.6629e-05i,4.0388e-05+0.00016009i,-0.00019562+0.0002865i,0.00063427-0.00033819i,0.0011934-0.00025527i,0.0010233+0.0011462i,0.00078355+0.0014695i,0.00029488+0.00071551i
0.0015102+0.00079344i,0.0018638+0.00052002i,0.00074606-0.00034004i,-0.0005653-0.0016406i,-0.00084961-0.00089299i,-0.0014651+0.00047327i,-0.0014517+0.00038232i,-0.00081932-0.00019217i,-0.00053913+0.00014708i,0.00035955+0.00026964i,0.00048398-0.00027429i,0.00014633+0.00020756i,-0.00066065+0.00013262i,-0.0015787-0.0011186i,-0.0010411-0.00076009i,3.4495e-05-1.5083e-06i,5.271e-05+2.3213e-05i,-0.0004149+1.2216e-06i,-0.00032972+0.00016282i,-0.0001984+0.00031479i,-0.00034909-1.0148e-05i,0.00020197-0.00028577i,0.00052939-0.00041542i
-0.00083669-0.0019537i,-0.0022309-0.00061612i,-0.0032418+0.00099239i,-0.0020061+0.0010623i,-0.00052236+0.0011163i,-0.0004377+0.0013553i,-0.00076132+0.0011148i,-0.00047214+9.1994e-05i,-0.00036474-0.00062307i,-0.00027861-0.00078977i,0.00022382-0.00023369i,0.00015007+0.00021337i,0.00010695+7.3014e-06i,0.00097634-0.00029808i,0.0014064+0.00025381i,0.00071802+0.00045603i,0.00022072+3.8357e-05i,0.00051122-0.00038221i,6.3054e-05-0.00032843i,-0.00070809-0.00035247i,-0.0010558+5.1627e-05i,-0.00098327+0.0004361i,-0.00013303+0.00040819i
-0.00095736+0.0018558i,-0.00073385+0.0023527i,0.0008339+0.0013101i,0.0020817+0.00023021i,0.0021808-0.00011678i,0.0011244-0.0010035i,-0.00027218-0.00055178i,-0.00084203+0.0002049i,5.6749e-05+7.3871e-05i,0.00060473+0.00026046i,0.00069112+0.00054483i,0.00038884+0.00097005i,-0.00041939+0.00051034i,-0.00020757+1.1514e-05i,0.00018741+0.00040924i,0.00037284+0.0004476i,0.00077781+0.00043691i,0.00054622+0.00048219i,0.00033014+0.00091938i,0.00042339+0.0010259i,0.00047941+0.0001898i,-0.00011608-0.00012787i,-0.00063861-1.1254e-05i
-1.6348e-05-0.0021251i,-0.0011993-0.0021402i,-0.0017655-0.00063489i,-0.0011882+0.0012504i,-0.00080195+0.0011856i,-0.00031682+0.00040283i,9.2903e-05-0.00020557i,-0.00020814-0.00013464i,-0.00087394+0.00026151i,-0.00064723+0.00096058i,0.0003825+0.00089953i,0.0007902+0.00023152i,0.00089756+0.00023617i,0.00096526+0.00039514i,0.0010467+8.3893e-05i,0.00038861+6.8587e-05i,-0.00048111-0.00016396i,-0.00019596-0.00028351i,-0.00018182+0.0002278i,-0.00064876+0.00034401i,3.6342e-05+0.00038015i,0.00071963+0.00029406i,0.00097688+0.00050465i
-0.0017312-5.7429e-06i,-0.0015978+0.00068695i,-0.00048278+0.0019789i,-0.00050439+0.00084405i,-0.00082997-4.6126e-05i,-0.00017435-0.00023795i,0.00022569-2.716e-05i,0.000197+0.00012554i,-0.00021687+0.00013524i,0.00010802+0.00044342i,0.0011737+0.00013229i,0.001027+3.469e-05i,0.00014905-0.00011013i,-8.2145e-05-0.00011253i,0.0003638+0.00027943i,0.00074279+0.00018933i,0.00071888+0.0001565i,-0.00011056+0.00029322i,-0.00065009+0.00014686i,-0.00021803-0.00036888i,-3.1609e-05-0.00036437i,4.5473e-05+4.4433e-05i,1.0801e-05-2.5655e-05i
0.00048185-0.00058662i,0.0019492-0.00028767i,0.0010928-0.00042849i,-0.00041411-0.0010725i,-0.00050941-0.00077908i,-0.001182-0.00056448i,-0.0020787-0.00030295i,-0.00096075+0.000253i,0.00012141+3.2292e-05i,-0.00022314-0.00036494i,-0.00035284-0.00050283i,-6.4063e-05-7.7338e-05i,-0.00093712-3.7246e-05i,-0.0013302-0.00034525i,-0.0007197-0.00014514i,-0.00025019+0.00024509i,8.1484e-05+0.00060499i,4.729e-05+0.0005713i,4.2552e-05+0.0003141i,-0.00032302+0.00021221i,-0.00012424-0.0004085i,0.00021922-0.00072061i,-0.00024497-0.00057828i
-0.0038427-0.0011602i,-0.0041614+0.00019643i,-0.0031079+0.0011322i,-0.0009336+0.0009546i,0.00014085+0.00052537i,0.00054317-0.00026236i,0.00023657-0.00018904i,-0.00054734-0.00025216i,-0.00084045-6.3394e-05i,-0.00097045+0.00075557i,-0.00017795+0.0011455i,2.2971e-05+0.00070516i,-0.00042863+0.00037112i,9.2249e-05+9.7507e-05i,0.00080338-0.00050553i,0.00046544-0.00027838i,-0.00024521+0.00012771i,-0.00014576+0.00031787i,-2.6481e-05+6.469e-05i,-0.00076817-0.00068872i,-0.00068889-0.00030311i,0.00021972-0.0002825i,0.0011307-2.1526e-05i
0.00064698+0.00042735i,0.0015253-0.00049275i,0.0014721-0.001386i,0.00099254-0.0015915i,0.00052311-0.00085413i,0.0004817+0.0002916i,0.00073692+0.00037739i,0.00020702-0.00017506i,-0.00071233-0.00067119i,-0.00064354-0.00069208i,0.00015033-0.00052725i,0.00019115-0.00011907i,0.00020148-4.8126e-05i,0.00037437-0.00028838i,0.00052999-0.00020484i,-0.0002875-0.000575i,-0.00041711-0.00049666i,0.00071123+0.00010381i,0.00049069-0.00010776i,-0.00059936-3.7387e-06i,-0.00056106+0.00021168i,-0.0003489-0.00011088i,-0.00066267-0.00042485i
-0.0016656-0.0015591i,-0.00067158-0.0012681i,-0.00066528-7.1188e-05i,-0.00045922+0.0015566i,-0.001009+0.0015063i,-0.00018462+6.9351e-05i,0.00083871+6.5232e-05i,-5.3488e-05+0.00017913i,-0.001081+0.00011545i,-0.0013022+0.00038113i,-0.00042697+0.00073585i,0.00056963+0.00081391i,0.00061473+0.00080935i,0.00068048+0.00027314i,0.000817+8.0089e-05i,0.00031736+0.00066827i,0.00035064+0.00037249i,0.00080368+0.00052166i,0.00075106+0.0003725i,0.00066155+0.00014157i,-0.00033015+0.00028332i,-0.00083339+0.00017494i,-0.00024967+0.00021004i
9.1809e-05+0.0038687i,0.00088846+0.0024846i,0.0016728+0.0012276i,0.0016542+0.00089544i,0.00085202+0.00013399i,0.0001497-0.0014492i,-0.00054866-0.0013522i,-0.00045743+0.00025077i,2.1399e-05+0.00088278i,0.00056372+0.00039354i,0.00012564+0.00013984i,-0.00076124+0.00033863i,-0.00062622+0.00012464i,-0.00047885-8.6718e-05i,-0.00051295+5.8082e-05i,-0.00040561-0.00013384i,-0.00028282-0.00027228i,9.5866e-05-0.00022519i,0.00078023+0.00023568i,0.00060384+0.0010312i,-0.00035343+0.001049i,-0.00052407+0.00030704i,-0.00055972-0.00012516i
-0.00021924-6.9272e-05i,0.00043544-0.00030436i,0.00019563-0.0010317i,-0.00038982-0.00068625i,-0.00099505-9.7112e-05i,-0.0020028-2.3904e-05i,-0.0019852+0.00060625i,-0.00097638+0.00050113i,-0.00022495+0.00068778i,0.000481+0.0010208i,0.00090411+0.0011661i,0.00042465+0.0010461i,-8.748e-05+0.00055591i,0.00047028-5.4307e-05i,0.00054742-0.00042747i,0.00041596+0.0001551i,-0.00015838+0.0009994i,-0.0010229+0.00089539i,-0.0010003-0.00019416i,-0.00087321-0.00080081i,-0.00056597-0.00049967i,-0.00012139-0.00017555i,-0.00050704+0.0002774i
-0.0010465-2.1089e-05i,-0.00060044+0.0010989i,-0.00083817+0.0018741i,-0.00076114+0.0011931i,-0.00049828-0.00029855i,-0.0010836-0.00075826i,-0.0014712-0.000478i,-0.001386+0.00042105i,-0.00076036+0.00040606i,0.00019736-7.7766e-05i,0.00019109-0.00041893i,-0.00031265-7.0028e-05i,5.5455e-05+0.00031222i,0.00042214+0.000572i,0.00029037+0.00033733i,0.00014468-1.7312e-06i,0.00021583+0.00010133i,0.00048102-0.00010148i,0.00070463-0.00016657i,0.001018+4.1794e-05i,0.00098667+2.3372e-05i,0.00048952-0.00057458i,-0.00015844-0.00040251i
0.00096055-0.0012944i,0.0019058-0.0021753i,0.0027378-0.0012313i,0.0027036-0.0010602i,0.0012041-0.0017487i,0.00053004-0.0015844i,0.00013864-0.00093089i,-0.0006239+0.00016041i,-0.00085664+0.0010666i,-0.00046581+0.00065749i,-0.00034208-0.00011057i,-0.00025889-0.00019232i,-0.0003569+0.00040608i,0.00038674+0.00089234i,0.00068613+0.00073209i,-0.00029843+7.2792e-05i,-0.0004837-0.00080908i,-0.00018193-0.00066476i,-0.0001734-7.7152e-05i,1.4228e-05+0.00079221i,6.6954e-05+0.00094254i,0.00018245+0.0004582i,-0.00029392+0.00036218i
0.0001237+0.00032503i,1.5737e-05+0.00020596i,0.00045101+0.00040971i,0.0002631+0.00037703i,-0.00074791-0.00011132i,-0.0012372-0.00080888i,-0.00080729-0.00086388i,-0.00036766-0.00053779i,3.2193e-05+5.9371e-05i,0.00048843+0.00076412i,0.00030785+5.4756e-05i,0.0002422-0.00016706i,-0.00022016+0.00033953i,-0.00060695-0.00038204i,-4.8964e-05-0.00054813i,0.00061742-0.00054068i,0.00062507-0.0010437i,0.00019006-0.00088795i,-2.5455e-05-0.00060928i,0.00013956-0.00048782i,1.6251e-05-1.918e-05i,-0.0002776+0.00095834i,-0.0004496+0.001125i
0.0020427-0.00049353i,0.00085758-0.00025177i,-0.00050423-0.00069549i,-0.00055948-0.00049127i,-0.0012939+6.6615e-05i,-0.0017867+0.00056376i,-0.00097903+0.0007482i,-0.00021145+0.00013786i,-0.0003492-5.2397e-05i,-0.00092393-0.00020507i,-0.00086179-0.00053298i,-0.00030111-9.7047e-05i,0.00018728+0.00030953i,0.00054857+0.00032252i,0.00011309+0.00055636i,-0.00047117+0.00064305i,-7.4004e-05+0.00016874i,0.00051083+6.752e-05i,0.00013124-0.00041538i,0.00013688-0.00013422i,0.00026539+0.0006006i,0.00025759+6.2366e-05i,0.00047197-0.00072882i
0.00045971-0.00091746i,0.00033228-0.0024101i,-0.00031035-0.0013672i,1.0422e-05+1.216e-05i,0.00026358+0.00063739i,0.00033338+0.00049522i,0.00066866+0.00017545i,0.00041042+0.0001112i,-0.00031694-1.3968e-05i,-0.00062841-0.00039481i,-0.00011608-0.00013627i,0.0001685+0.00025273i,0.00027656+0.0002949i,-9.6371e-05+0.00050246i,-0.00058546+7.7437e-05i,-0.00015864-1.0369e-05i,9.3636e-05+0.00054955i,-0.00033601+0.00037283i,-0.00048124-0.00059883i,-0.00066081-0.00063681i,-0.00091719-0.00053012i,-0.00082937-1.8494e-05i,-0.00049617+0.00087657i
-0.00011186-0.0001796i,-0.0010415+4.8653e-05i,-0.0004977-0.0006439i,-0.00058883-0.0011374i,-0.0017723-0.00099808i,-0.0022921-0.00063511i,-0.0014115+0.00035573i,-0.00021352+0.00049959i,4.5932e-05-0.00046899i,0.00029313-0.00038517i,0.00029862+0.00058091i,-0.00012676+0.00075288i,-0.00010581+0.0010998i,-0.0001356+0.00099591i,-9.1055e-05+0.00045004i,9.5495e-05+0.00040807i,0.0002496-0.00017792i,0.00056386-0.00060168i,0.00098369-0.00052413i,0.00082222-0.00017573i,-0.00040707+5.0087e-05i,-0.00086503-0.00024293i,-0.00026691-0.00034022i
-0.00074557-0.0014532i,-0.0011587-0.0009965i,-0.0014607-7.8229e-05i,-0.00075771+0.00038032i,-4.3834e-05+0.00036023i,-0.00021796+0.00085577i,-0.00018886+0.0011714i,3.4668e-05+0.00077741i,4.2372e-05+0.00054605i,0.00012509+0.00051563i,0.0006236+0.00014729i,0.00051467+0.00055808i,0.00012401+0.0008683i,-3.6615e-05-0.00034123i,1.3064e-06-0.0010617i,0.00044399-0.00095627i,0.00043562-0.00058739i,0.00067327-0.00020497i,0.0010952-0.00011128i,0.00039199+0.00029908i,-0.00032724-0.00026285i,0.00024842-0.001064i,0.00043835-0.00022102i
0.0020145-0.00073616i,0.002244-0.00047612i,0.0012059-0.00020539i,0.000149-0.00063615i,-0.00043032-0.00087062i,-0.0012945-0.00046317i,-0.0018645+0.00032746i,-0.0014351+0.00094398i,-0.00076966+0.00049051i,0.00018615+0.00059538i,0.00025459+0.0010497i,-0.00015577+0.00054313i,-0.00012398-0.0001019i,-0.00051542+0.00013801i,-0.00028969+0.00044057i,0.00080313-8.4553e-05i,0.00047246-0.00036289i,-0.00037422-5.4793e-05i,-0.00023028-5.3793e-05i,6.9452e-05-0.00024083i,-4.268e-05-0.00050902i,0.00039687-0.00065662i,0.00021442+0.00041569i
