0.0022065-0.0015976i,0.0019074-0.0023211i,0.00086773-0.0027535i,-0.00078421-0.0023575i,-0.003127-0.0012078i,-0.0033881+0.00047598i,-0.00071577+0.0023834i,0.0014848+0.0029731i,0.0019584+0.0017829i,0.0013372-0.00028176i,-0.00028742-0.0013984i,-0.0016673-0.00094559i,-0.0021277-0.00027438i,-0.0014855-0.00027952i,-0.00042449-0.00040416i,-0.00065344+0.00023067i,-0.00063038+0.00025441i,6.1407e-05+0.0004938i,-0.00024466+0.0011385i,5.077e-05+0.00099861i,0.00032131+0.00015601i,-4.5078e-05-0.00066391i,6.2923e-05-0.00051982i
-0.0022508+0.00084722i,-0.00082208+0.0018281i,-5.0889e-05+0.0017542i,0.00017017+0.0026145i,0.0011253+0.0033675i,0.0011318+0.0019372i,0.00066293+0.00024435i,0.0007392+9.6832e-05i,0.00036913-0.0002462i,0.00024436-0.00064881i,0.00023264-0.0011071i,-0.00063852-0.00078301i,-0.00050974-3.2292e-05i,-7.1655e-05+0.00027122i,-0.00032035-0.00029701i,-0.00082023+9.8212e-05i,-0.00055956+0.00080202i,-5.6043e-05+0.00041838i,0.00024604-0.00031571i,0.0006211-0.00082842i,0.0011964-0.00019709i,0.00052271+0.00096111i,0.00017786+0.00078376i
-2.8309e-05-0.0012872i,-0.00071967-0.00049246i,-0.00013415+0.00031046i,0.00015975+0.00047838i,0.00062564-0.00025016i,0.00034565-0.0004825i,-0.00024452-0.00044554i,0.00079803-0.00043781i,0.00092717-0.00077799i,0.00040895-0.0009724i,-0.00027641-0.00030152i,-0.0010061+0.00058285i,-0.0011753+0.00022075i,-0.0005324-0.00021832i,0.00055282-0.0002151i,0.00083832-0.00040307i,0.00028048-0.00058826i,0.00013976-0.00022245i,0.00035113-0.00025292i,0.00030368-0.00078045i,0.00046678-0.0009817i,0.00019278-0.00045639i,-0.0004206-3.5729e-05i
-0.0016472-0.000212i,-0.0012463+1.0994e-05i,-0.0011821+0.00092621i,-0.00078226+0.00079298i,-0.00054498+0.00089673i,-0.00046236+0.00082303i,-4.6284e-05+0.00049222i,0.00026513+8.4033e-05i,0.00028357-0.00044235i,-0.00043077-1.4831e-05i,-0.00058248+8.6749e-05i,-0.00028454-0.00015226i,-0.00053955+9.458e-05i,-0.00049599+0.00016832i,-0.00029508-4.4708e-05i,-0.00097074-0.00010651i,-0.001516+1.2164e-05i,-0.0006507+0.00024335i,0.00021023+0.00056564i,0.00034993+0.00030306i,0.00054417+8.6259e-05i,5.7768e-05-2.1154e-05i,-0.000195-0.00012358i
-0.0012044-0.00017306i,-0.00060551+0.0014914i,-2.1616e-05+0.00069888i,0.00035102+0.00016757i,0.00072517+0.00074356i,0.00069239+0.0005313i,0.0012768-0.0002222i,0.0014752-0.0004363i,0.0011587-0.00027585i,0.0003765-0.00021314i,-0.00023173-0.00012207i,-0.00034839-0.0003186i,9.1355e-05+1.2669e-05i,0.00026068+3.3256e-05i,-0.0001134-0.00011759i,3.1923e-05-4.2773e-05i,0.00033903+0.00020851i,0.0001205+0.00078124i,0.00016365+0.00090791i,-0.00014972+0.00013995i,-0.00071562-0.0003731i,-0.00061047+9.6627e-05i,-0.00019808+0.00017413i
-0.0017937+0.0028557i,-0.00088446+0.0017503i,-8.0802e-05+0.0020006i,0.0011206+0.0023469i,0.0021434+0.001122i,0.0019588+0.00050356i,0.0010639+0.0012065i,0.00027739+0.001089i,-0.00048834+0.00062887i,-0.0007866-1.645e-06i,0.00029412-0.00085862i,0.00072778-0.00021015i,0.00030094+0.00046316i,0.00094357+0.00077813i,0.0017433+0.00051037i,0.0015531-5.5576e-05i,0.0003689+0.00014345i,-0.00010325-0.00052575i,0.00082977-0.00092024i,0.00037974-2.5331e-05i,-0.00026621+6.8108e-05i,-0.00013443-0.00047659i,-0.00022034-0.00029564i
0.00058919-0.0001255i,-0.000164+0.0010341i,-8.3397e-05+0.00035285i,-0.00023906+1.3811e-05i,-0.00081718+0.00012669i,-0.0013098+0.00066362i,-0.0013424+0.00044256i,-6.286e-05-0.00026238i,-5.3921e-05-0.0010245i,-0.0013093-0.0017i,-0.0012824-0.00082904i,-0.00082333+0.00025505i,-0.00049478-0.00031413i,-7.8159e-05-0.00076562i,0.00035259-7.372e-05i,0.0003218-6.0935e-05i,-0.00020015-2.8074e-05i,-6.8758e-05+0.00055225i,0.00071729+0.00087471i,0.00049302+0.00073132i,0.00012411+0.00060055i,0.00017446+0.00034973i,-0.00021826+0.00012312i
-0.001713-0.0035947i,-0.001785-0.0018028i,-0.0019955+0.00020187i,-0.0014039+0.0011044i,-0.00077808+0.0011475i,-0.00010165+0.0012027i,0.00019427+0.00064187i,0.00035801+3.2101e-05i,0.00029143+0.0008811i,0.00042648+0.0013129i,-8.8114e-05+0.00069935i,-0.0001258+0.00053791i,-0.00061777+0.00085643i,-0.0014223+0.00086002i,-0.00064516+0.00056736i,0.00062382+4.4838e-05i,0.0008782-0.00034854i,0.0012442-4.2795e-05i,0.001632+0.00017379i,0.0010007-0.00024141i,0.00011724-0.00041405i,0.00027898-0.00011589i,0.00054214+0.00018308i
0.0016082-7.5047e-06i,0.00081908+0.00047544i,-0.00055475+0.00027655i,-0.00063578+0.00033787i,0.00081475+0.0015002i,0.0011233+0.0014094i,0.00058819+0.0011701i,0.00084632+0.0012195i,0.0015438+0.00080592i,0.00083708-0.00057395i,-0.00026218-0.0015278i,-0.00057413-0.00043641i,-0.00068423+0.00010136i,-0.00017465+0.00022363i,3.1892e-05-0.0004392i,-9.6354e-05-0.00084724i,-0.00017467-0.00035718i,0.00025347-0.00016263i,0.00015162+0.00018599i,-0.00036425+0.00093071i,4.8053e-05+0.0012088i,0.00013211+0.00054749i,-0.00024998+0.00053031i
-0.0026534+0.0014895i,-0.0021842+0.0023287i,-0.0015637+0.002628i,-0.00095432+0.0017597i,-7.2164e-05+0.0010428i,0.00032664+0.00034999i,0.00019535+1.7964e-05i,0.00037162+0.0005012i,0.00031674+0.0007776i,-1.6334e-05+2.8222e-05i,0.00039365-0.00059134i,0.00083184-0.00011893i,-0.00020294+0.00040309i,-0.00079112+0.00024087i,-0.00013425-0.00019886i,0.00057058+2.5468e-05i,0.00036803+0.00017663i,0.00027692-0.00029538i,0.00061943-0.00041567i,0.00066027-0.00030312i,0.00097466-0.0002102i,0.00070496+0.00013145i,6.9658e-06-0.00032235i
-0.0022718-0.0010903i,-0.002037+0.00058458i,-0.0012769+0.0018608i,-0.00065748+0.0017624i,0.00050243+0.0011471i,0.0014238+0.00070093i,0.00021408+0.00059404i,-0.00029944+0.00011175i,-0.0001922-0.00024301i,-0.00012596-6.6381e-05i,8.7938e-05-8.3344e-05i,0.00018521+0.00029773i,-0.00020394+0.00060606i,-7.3823e-05+0.00013301i,0.00085058+0.00046105i,0.00091776+0.00090365i,0.00024618+0.0006168i,0.00021829+0.00074317i,0.00021537+0.00024297i,-0.00018323-0.00013058i,-6.2433e-05+0.00048506i,0.00047131+0.00065389i,0.00052022+0.00028191i
0.00064681+0.0016852i,0.00077669+0.0023437i,0.0013152+0.0014013i,0.00053882+0.00028897i,0.00039845+0.00017885i,0.00039358+0.00034844i,0.00017774+0.00051032i,3.4141e-05+0.00018889i,-0.00040817-0.00090588i,-6.3463e-05-0.0016861i,0.00055106-0.00081075i,0.00032653+0.00043938i,0.00037439+0.00023832i,0.00058165-0.00059031i,0.00062148-0.00063763i,6.7006e-05-0.00043524i,-0.00030816-0.0004932i,-0.00070187-0.00049658i,-0.00080732-0.0014518i,-0.00058302-0.0011495i,-1.8771e-05+0.00023838i,0.00015797+0.00052992i,0.00018386-6.9303e-05i
-0.00075487+0.00080297i,-0.0010849+0.00074282i,-0.00050069+0.0015743i,6.1891e-05+0.0012922i,0.00054172+0.00014103i,0.00018837+2.9586e-05i,-0.00024583-0.00023238i,-0.00011398-0.00045265i,-0.00020212-0.00026385i,-0.00052825-0.00042891i,-0.00043897-7.2353e-06i,0.00036527+0.00026i,0.00081712-0.00018832i,0.0003675-0.00069219i,-9.4447e-05-0.00073525i,-0.00011183-0.00024254i,0.00026534+0.00055718i,0.0002787+0.0006847i,0.00021947+0.00030668i,-0.0002256-9.1201e-05i,-0.00011417-0.000436i,0.00091411-0.00033489i,0.00084448-0.00040733i
-0.00012765+0.0010688i,-0.00056921+0.00029457i,-0.00037126+0.001037i,0.00025887+0.00078988i,0.0013179+0.00024984i,0.0014808-0.00038041i,0.0016443-0.00066882i,0.0014635+0.00034394i,0.0012018+0.00038051i,0.00087016-0.00032426i,-5.4917e-05-0.00057312i,-0.00018055-0.00078902i,3.698e-05-0.0001672i,-0.00027772-0.00015849i,0.00041404-0.00060051i,0.00081232-0.00056859i,0.00072138-0.001023i,0.00075459-0.00097074i,0.00028087-0.00011623i,0.00020074+0.00065505i,0.00049531+0.00011872i,0.00060244-0.00091464i,0.00049669-0.00085138i
-0.0022453+0.0017045i,-0.0020553+0.0025326i,-0.00098556+0.0028465i,0.0007992+0.0014889i,0.0012878+0.00034764i,0.00029281-0.00021688i,-0.00066187-0.00027961i,-0.00055813+0.00025427i,-0.00057252+0.00047957i,-0.00060123+0.00025466i,0.00014011-0.00015212i,0.00047979-0.00046295i,-2.5986e-05-0.00025861i,-0.00037704-0.00046938i,0.00064471-0.00074058i,0.00091922+0.00030978i,-0.00039015+0.00049178i,-0.00072351+0.00013835i,-0.00057845+0.00048823i,-0.00014737-3.3353e-05i,0.0005932-0.0010549i,0.0003255-0.001069i,5.0842e-05-0.00054311i
-0.00066227+0.00010507i,-0.0011702+0.00059552i,-0.00066329+0.0013287i,0.00061316+0.0021704i,0.0016962+0.0014691i,0.0012694+0.0013056i,0.00017519+0.0013035i,0.00036926+0.00086018i,0.00032087+0.0004153i,-0.00010233-0.00017454i,-0.00010741-0.00065206i,-3.5967e-05-0.00075967i,0.00016837-0.00042428i,0.00014178+0.00044456i,-0.00021448+0.0011059i,-0.00065571+0.00047194i,1.382e-05+0.00013885i,0.0016182+0.00044668i,0.0019731+0.00033175i,0.0010049+0.00048768i,0.00011709+8.943e-05i,-1.5075e-05-0.0002642i,-0.00010394-0.00028873i
-0.00066494+0.00017756i,-8.4064e-05+0.0011457i,8.4337e-05+0.0014104i,0.00055468+0.001111i,0.00040184+0.001042i,-9.5662e-05+0.00029777i,-0.00025499-0.00021547i,0.00039953-0.0006169i,0.00045741-0.00074657i,3.8328e-05-0.00011485i,-5.7838e-05+0.00014745i,5.8864e-05-0.00014581i,0.00052016-8.1534e-05i,0.00086756-0.00022667i,0.00065154-0.00022763i,-0.00020961-1.4581e-06i,-0.00060534+0.00039645i,5.126e-05-0.00011507i,0.00078053-0.00090229i,-0.00019124-0.00086637i,-0.001192-0.00069348i,-0.00036027-0.00055568i,0.00047833+0.00017098i
-0.00018578+0.00061939i,-0.0010886+0.00050678i,-0.001026+0.00099414i,-0.00054968+0.00036079i,-0.00040589-0.00055443i,-0.00032119-0.0007003i,0.00037503-0.00038274i,0.00072478+0.0001356i,0.00034846-0.00035058i,0.00019522-0.00021484i,-0.00049011+0.00014559i,-0.00090223-0.00018557i,-0.00072416-0.00032756i,-0.0010873+0.00017162i,-0.001043+0.00062359i,-0.00041194+0.00056366i,1.5094e-05+0.00098029i,-0.00017339+0.0012108i,0.00031443+0.00054001i,0.00045334+0.00076953i,0.0001519+0.00054616i,-9.0894e-05-0.00020449i,-0.0005409-0.00045724i
-0.0017292+0.0019976i,-0.0023352+0.0025553i,-0.00091252+0.0023165i,0.0012909+0.0010675i,0.0022455+0.00059425i,0.0020217+0.00026109i,0.00086254+8.5259e-05i,-5.6053e-05+1.7096e-05i,0.00024454+6.4085e-05i,0.00031449+0.0002862i,8.7752e-05-0.00078774i,0.00019302-0.0013751i,-0.00039522-0.0010755i,-0.00015659-0.00050485i,0.00077581-0.00027577i,0.0005697-1.8256e-05i,0.00048981-0.00013007i,0.00027578-0.0010131i,0.00039598-0.00078271i,0.00035555+0.00055345i,-0.00026456+0.0011017i,-0.00089106+0.00044879i,-0.00075488+8.5181e-05i
-0.0010533+0.0010316i,-0.0015716+0.0015231i,-0.00084974+0.0020163i,0.00097238+0.0014819i,0.0019851+0.00057308i,0.0023309-0.000626i,0.0018628-0.00095801i,0.0010995-0.00086308i,0.00015447-0.00063479i,-0.00057193-0.00026736i,-0.00084088+0.00012906i,-0.00040087+8.3915e-05i,-6.9883e-05+0.00069907i,-9.6108e-05+0.0012264i,0.00010777+0.00022129i,4.0034e-05-0.0009532i,-0.000148+1.1788e-05i,-0.00024301+0.00065224i,-0.00019385+0.00032042i,-0.00013717+0.0002437i,-0.0001776+0.0001908i,0.00036889+4.1538e-05i,0.001199-0.00045362i
-0.0018767-0.001202i,-0.0017722-0.00039423i,-0.0021462+0.00069382i,-0.0016587+0.0019993i,-0.00026786+0.0023932i,-0.00010093+0.0016215i,-0.00049889+0.00072234i,-0.00032162+0.00041338i,-0.00034052+0.0001772i,-0.00017404+0.0002447i,-0.00018407+0.00043569i,-0.00023741+0.0007824i,-0.00049345+0.00078099i,-0.00068609+0.00034007i,-0.0007505+0.00048884i,-0.00088411+0.00057649i,-0.0011347+0.00020896i,-0.00051419-0.00020159i,0.0003385-0.00026469i,0.00038063-0.00031994i,0.00024728-7.0305e-05i,-0.00021311+0.001039i,-0.00055176+0.0013623i
0.00080578+0.0002714i,0.00079228-0.00056549i,0.00086478-0.00050018i,0.0010817-4.8492e-06i,0.0010266+0.00032977i,0.00047492+0.00027742i,0.00079585-8.4034e-05i,0.0010247-0.00066327i,0.00013205-0.00037391i,-0.00054251-0.00024749i,-0.00057941-0.00060311i,-0.00033922-0.00074602i,-2.8445e-05-0.00073887i,0.00010265-0.00020437i,0.00011773+0.00038225i,0.00052445+0.00047278i,0.00033372+0.00016397i,8.0595e-06+0.00062682i,-0.00041477+0.0011053i,-0.0007947+0.0003919i,-0.00049037+0.00010295i,-6.6473e-05+0.00025233i,0.00042551+0.00032152i
-0.0012249-0.00016382i,-0.0017822+0.0010646i,-0.0019332+0.0018584i,-0.0009472+0.00095907i,-0.00026268-8.2233e-05i,0.00022861+0.00079173i,0.0002925+0.00092395i,-0.00047174+0.00030842i,-0.0010897-8.4719e-05i,-0.00042592-0.00018245i,0.00030347+0.00057751i,-0.00017506+0.00098573i,3.7405e-05+0.000545i,0.00022611-0.0001i,0.00010904-0.00036306i,0.00021319-0.00036345i,-5.0051e-05-0.00022768i,-0.00018612-0.00021797i,0.00019389-0.00055741i,0.00052146-2.0325e-05i,0.00077539+0.00042335i,0.00088464+9.6075e-05i,0.00084218+8.1592e-05i
-0.00065733-0.0013381i,0.00014974-0.0017585i,-0.00065092-0.00081501i,-0.0010387+0.00024008i,-0.00024683+0.00038748i,0.00020352+0.00048776i,0.00025693+0.00049226i,-0.00026369+0.00044058i,-0.00012661-0.00012225i,-0.00056206-0.00047121i,-0.00030943-0.00047244i,0.00082535+0.00052742i,0.0010271+0.00097836i,0.00015918+0.00056309i,-0.00056413+0.00032749i,6.4482e-05-0.0002032i,0.00081096-0.00072269i,0.00023311-0.00017943i,-7.8943e-05+0.00021106i,-0.00015478+0.00023141i,-0.00040154+0.00026447i,0.00019024+0.00046072i,0.00032784+0.00062214i
-0.00036838+0.0019989i,-0.00073875+0.0028216i,0.00045787+0.0026324i,0.0011925+0.0020325i,0.00049345+0.0013069i,0.00042988+0.0004272i,0.00086413+2.416e-05i,0.0011477-0.00027173i,0.0011563-0.00013967i,0.00080396+0.00064726i,0.00036495+0.00053178i,0.00027623-0.00058791i,-2.6141e-05-0.0010923i,-0.00018278-0.00037007i,-0.00026279-0.00044473i,0.00015695-0.00076096i,0.00037849-0.00024754i,6.9574e-06-0.00021698i,0.00028101-0.00042853i,0.00070625-9.3793e-05i,0.00050172-8.4531e-05i,0.00051256-0.00062869i,-0.00010331-0.00071027i
0.00092813+0.000795i,0.00068886+0.00027457i,0.00045849+0.00028333i,-7.7007e-06+0.00095201i,-0.00018479+0.00080497i,-9.4913e-05+0.00051785i,6.0186e-05+0.00084453i,-0.00021299+3.5638e-05i,-0.00044353-0.00097898i,-0.00036925-0.00064583i,-0.00063529-0.0003646i,-0.00049527-9.5258e-05i,-0.00014548+0.00019316i,0.00041549+0.00014627i,0.00087171-0.00045031i,0.00054101-0.00077055i,5.535e-05-0.00052307i,0.00019595-0.00044773i,0.00025201-0.00032032i,1.7805e-06-0.00034677i,-4.9167e-05-0.00036716i,0.00019205+0.00017671i,-0.00043189+0.00024617i
-0.0009315-0.00091578i,-0.00083392+0.00064365i,-0.0010733+0.0010681i,-0.001407+0.00083569i,-0.00053847+0.0010917i,9.7147e-05+0.00080663i,-6.503e-05+0.00068851i,0.00032113+0.00053496i,0.00099477+0.00045682i,0.00030609+0.00021958i,-0.00056385-0.00033664i,-0.00012817-0.0010254i,0.00035429-0.00064255i,0.00016044+4.4517e-05i,-4.2597e-05-0.00016493i,-0.00026421-3.5062e-05i,-3.6597e-05+0.00030677i,0.0011191+0.00098857i,0.0011125+0.00088528i,0.00064425+0.00019451i,0.0012948+4.2418e-05i,0.0014123+0.00032845i,0.00058823-1.4188e-05i
0.00062388+4.7576e-05i,-0.00029203+0.00053242i,-0.0009242+0.00059361i,-0.00033575-0.00070727i,-0.00031179-0.0017249i,-0.00062163-0.00082063i,0.00026284-5.4876e-05i,0.00066567-3.5575e-05i,0.00010865+1.1976e-05i,-0.00019512-0.00054961i,-0.00019222-0.0010014i,-7.6587e-05-6.6804e-05i,0.00047547+0.00038418i,0.00061253-0.00036608i,0.00027171-0.00079134i,-0.00031582-0.00019434i,-0.00080272-9.117e-05i,-0.001337+0.00017487i,-0.00059099+0.00022042i,0.00024356-0.00024894i,0.00023493-0.00028386i,-0.00045473-0.00059853i,-0.00085179-0.00093425i
-0.0010031-0.0014884i,-0.0012118-0.00068862i,-0.001784+0.00012377i,-0.00096087+0.0010112i,-0.00069978+0.00078697i,-0.00049493+0.00099303i,-0.00039526+0.00090513i,-0.00074511+9.6823e-05i,-0.00020935+2.9903e-05i,0.00017677+0.00053679i,-0.00045575+0.00037205i,-0.00054476-3.543e-05i,0.00026161-0.00023931i,0.00043393-0.00029673i,7.4066e-05-0.00018785i,0.00069565-0.00018651i,0.00074814-0.00037939i,7.4028e-05-2.1799e-05i,4.5456e-05+0.00069291i,0.00010765+0.001172i,0.00074832+0.00086433i,0.00056867+0.00064125i,9.6974e-06+0.00039813i
-0.0021377+0.0023507i,-0.00091656+0.0027797i,0.001213+0.0022205i,0.0020022+0.00085611i,0.0011422+0.00028147i,0.0008459-0.00046511i,0.00099279-0.00054764i,0.00083999+0.00019817i,0.00036627+0.00045249i,7.2764e-05+0.00025429i,0.00059304-8.8184e-05i,0.00063762-0.00036896i,0.00063764-0.00041516i,1.2373e-05-3.3303e-05i,-0.00042503-0.00020321i,-0.00032419-0.00075243i,9.1066e-06-2.8123e-06i,0.00036402+0.0004163i,0.00046782+0.00036654i,0.00062633+0.0008381i,0.00033436+0.00054455i,4.0778e-05+2.7981e-05i,2.0252e-05+0.0002883i
-0.00093685+0.001107i,-0.00010008+0.00072772i,0.00055216+0.0011241i,0.00011867+0.0012224i,0.0005032-0.00019099i,0.001303-0.0014707i,0.00067624-0.001317i,-0.00019049-0.00048589i,2.0958e-05+5.5631e-05i,0.00065334+0.00010306i,0.00029766+0.00040416i,-4.1194e-05-4.3087e-05i,-0.00037645-0.00029758i,-0.00042718-0.00013972i,0.0003443-0.00051655i,0.00070499-0.00038312i,0.00089496+0.0001021i,0.00098257-0.00065551i,-0.00022906-0.00060021i,-0.0011323+9.9039e-05i,0.00027847-0.00069695i,0.00047243-0.0014402i,-0.00080794-0.0015267i
-0.00014961-0.00061006i,-0.0012689-0.00011068i,-0.00090389+0.00080809i,2.2653e-05+0.00077828i,-0.00037838+0.00023171i,-0.00053061+0.00035083i,0.00018018+0.0012704i,0.00039308+0.0013183i,0.00058732+0.0011156i,0.00081395+0.0011493i,0.0004377+0.00097016i,0.00045697+0.00055845i,-7.8009e-05+0.00034455i,-0.00068278+0.00065077i,0.00013883+0.00080131i,0.00036331+0.00037042i,0.00045667-0.0003427i,0.0008006+3.7412e-05i,0.00057924-0.00012876i,0.00056615-0.00027044i,0.00054928-0.00014061i,-0.00015466+0.00021116i,0.00042171+0.00054457i
