-0.0027338+0.0010162i,-0.0025851+0.0011131i,-0.0012432+0.00082604i,-0.00049968+0.00037941i,-0.00094334-4.3975e-05i,-0.0011693+2.1087e-05i,-0.0011596-3.9632e-05i,-0.000755-0.00026759i,0.00037209-0.00010144i,0.00059477-0.00049374i,-0.00011371-0.0011578i,-0.00039361-0.00078874i,0.00016034-0.00019578i,0.00078066+0.00023068i,2.1648e-05+0.00040224i,-2.162e-05+0.00031745i,0.0011207+0.0010512i,0.00096603+0.0010179i,0.00043602+0.00062854i,0.00032126+0.00091727i,0.0010117+0.00051928i,0.0010922-0.0003834i,0.00084763-0.00075336i
-0.0011251+0.0005057i,-0.00082182+0.00086396i,0.00020815+0.00090232i,0.00057033+0.00058427i,-0.00017303+0.00026919i,-0.0010384+0.00028688i,-0.001428-0.00024141i,-0.00085205-0.00022793i,0.0004274-0.00077981i,0.00047179-0.00049718i,-0.00060877+0.00015497i,-0.0011966+0.00035142i,-0.00078659+0.000706i,-0.00018594+0.0012711i,-0.0001387+0.00064746i,-5.0196e-05-9.9708e-05i,0.00011452-0.0006339i,-0.00011126-0.00079421i,-0.0004129-0.00026762i,-0.00054533+8.7007e-05i,-0.00073169+0.00018785i,-0.00071449-0.00031946i,0.0001126-0.00054108i
-0.0012033+0.0020668i,-0.001304+0.0025942i,-0.00041239+0.0030741i,-3.6222e-05+0.0013229i,-0.00041492+2.3612e-05i,-0.0014392-5.2798e-06i,-0.0018353-0.00029655i,-0.00055692-0.00026854i,0.00027937+0.00085121i,9.8601e-06+0.00064675i,-0.00042856-0.00013788i,-0.00022428-0.00081841i,0.00053074-0.0011841i,0.00028335-0.00047195i,0.00029076+0.00034276i,0.00016745-0.00010138i,2.3146e-05-0.00038379i,-0.00011535+0.00048324i,-0.00042728+0.00024731i,-0.00041403-0.00018342i,-0.00012977+0.00047524i,0.00015523+0.00089489i,1.5183e-05-0.00011641i
-0.0015126+0.0006012i,-0.0013671+0.0016273i,-0.00088335+0.00061135i,0.00037288-0.00070941i,0.00035596-0.001138i,-0.00054762-0.0010678i,-0.0010731-0.00050097i,-0.0013722-0.00029497i,-0.00096186-0.00017793i,-0.00026497-0.00020726i,-0.00016761+0.00014088i,-4.4583e-05+0.0003579i,4.6732e-05+0.00043658i,-0.00039658+0.00092858i,-0.00059446+0.0010833i,0.00022403+0.00068477i,0.00024741+0.0004997i,-0.0001601+0.00010356i,-0.00014325-0.00043927i,0.00045702-0.00041697i,0.0010595+0.00039431i,0.00061826+0.00062323i,7.1482e-06+0.00072481i
-0.0014928+0.00082821i,-0.00057328+0.0015428i,0.00021377+0.0012514i,0.00035226+0.00028083i,-0.00027181-0.00025723i,-0.00080005-7.8149e-05i,-0.00067338-0.00050226i,-0.00076854-0.00085709i,0.00016306-0.00025744i,0.00022388-0.00043098i,-8.7653e-05-0.00084574i,2.9469e-05-0.00023908i,-6.4683e-05+0.00026687i,-0.00035049+0.00067192i,-7.8268e-05+0.00028105i,0.00068194-8.1254e-05i,0.00065468-0.00023787i,0.00046995-0.0004434i,0.0003454+0.0003196i,-1.4314e-05+0.00042917i,-0.00065255+0.0004101i,-0.00080408-0.00028176i,-0.00033386-0.00037261i
-0.00094451+0.00080528i,-0.00029821+0.0017056i,0.00011041+0.0017962i,-0.0001885+0.00043238i,-0.00081152-0.00076459i,-0.00086441-0.0004114i,-0.00087872+1.8089e-05i,-0.00065691-0.000156i,-0.00051083-0.00038726i,-0.00040348-0.00068645i,-0.00034488-0.00020053i,-0.00038692+0.00034161i,-0.00069037+0.00065027i,-0.00084727+0.00036948i,0.00041994-0.00039322i,0.00023999-0.00033626i,-0.00030345+7.8369e-06i,-0.00031526-3.8434e-05i,-0.00052867+0.00041179i,-0.00011857+0.00077075i,0.0002532+0.00019059i,-0.00016222-0.00068903i,-0.00049877-0.0005182i
-0.0014066-0.00032206i,-0.00080917+0.00075177i,-0.00045653+0.00065124i,-0.00049891+0.00050109i,-0.00029373+0.00014706i,0.00042854-0.00025358i,0.00062567-0.00047305i,0.00057049-0.00036889i,0.00030639-3.0549e-05i,-3.1124e-05-0.00024179i,-0.00030349-0.00047941i,0.00086446+7.6472e-05i,0.0020145+7.8781e-05i,0.0013628-0.00061401i,6.0993e-05+0.00032688i,-0.00011547+0.00067423i,-0.00021335+0.00043168i,-0.00029022+0.001105i,-0.00027375+0.0011797i,-0.00017637+0.00035803i,-0.00025986+5.272e-05i,-0.00012185+0.00026542i,0.00027752+9.3467e-05i
-0.0013563+0.0002553i,-0.0015801+0.0013759i,-0.0015494+0.00068175i,-0.0011593+5.3681e-05i,-0.0014649-0.00064572i,-0.001464-0.0011683i,-0.00093995-0.0011923i,-0.00083702-0.00087149i,-0.00026977+7.6273e-05i,2.4968e-05+0.0012254i,-0.00063719+0.00087953i,-0.00092422-4.2227e-05i,7.2089e-05+0.0002736i,0.00078569+0.00072733i,0.0013149+0.0010956i,0.001119+0.00084335i,0.00053943+8.3264e-05i,0.00028337+0.0002057i,0.00015251+0.00084902i,8.7274e-05+0.00031337i,-0.00015215+2.5134e-05i,-0.00038303-0.00014621i,-0.00036704-0.0011018i
-0.0006091+0.00068253i,-0.0005892-0.00039401i,-0.00072956-0.00030671i,-0.00025031+0.00044768i,0.00022268-0.00019303i,-0.00022818-0.00080901i,-0.00023762-0.00081978i,-0.00066765-0.00069924i,-0.001277-0.00062224i,-0.0015257-0.00053417i,-0.00094973-0.00030534i,-4.8305e-05+0.00029376i,0.0002282+0.0009162i,-0.00055163+0.00097227i,-0.00011551+0.00070473i,0.00093295+0.00020838i,0.00077325+0.00047138i,-0.00047033+0.00054965i,-0.00091455+0.00031348i,-0.00061744+0.00055313i,-0.00068983-8.8606e-05i,2.659e-05-0.00083856i,0.00039192-0.00068678i
-0.00026557+0.00093559i,-6.2938e-05+0.0016973i,-0.00059221+0.00091974i,-0.00059884+0.00068679i,-0.00081331+0.0018909i,-0.0011391+0.0021857i,-0.001045+0.0010593i,-0.00035771+9.2597e-05i,-0.0003088-0.00019614i,-0.0010654+5.3287e-06i,-0.00088116-0.00010023i,-0.00020934-0.00040779i,0.00056911-9.0907e-05i,0.00097242+0.0006659i,0.00067553+0.00057302i,0.00036727+3.4109e-05i,2.8626e-05-0.00013612i,-0.0001669-0.00022419i,-6.6566e-05-0.00041104i,0.00019693-0.00056969i,0.00028958-0.00036539i,-0.00017025-0.00016102i,-0.00046674-0.00016672i
