-0.0057997-0.0078501i,-0.0071787-0.0079942i,-0.0045798-0.0041234i,-0.0019528-0.00063537i,-0.001754+0.00011693i,-0.0018793+0.00099585i,-0.00028588+0.0015824i,0.000708+0.0017931i,0.0001669+0.0010946i,-0.0007008+0.00040996i,-0.0010481+0.00049193i,-0.00087429+0.00091894i,-0.00073145+0.0013968i,-0.00072735+0.0022207i,-0.001119+0.0020175i,-0.00090571+0.0007645i,-0.0003768+0.00020518i,0.00025383+0.00013698i,-2.9776e-05+0.00010512i,-0.00048068-0.00073918i,-0.00039021-0.00072214i,-0.00027928-0.00075049i,-0.00020697-0.00099412i
0.0038417-0.001475i,0.0041194-0.0021868i,0.0033513-0.0025874i,0.0014009-0.0035598i,-0.0011841-0.0024912i,-0.0029219+0.00066739i,-0.0020712+0.0025069i,-0.00036969+0.0017357i,0.00026519+0.00011302i,0.001155-2.1861e-05i,0.0018393+0.00059185i,0.0019548+0.00078571i,0.00096033+0.0012632i,-0.0012947+0.001048i,-0.0027194+0.00092303i,-0.0021779+0.00070904i,-0.0017492+0.00037839i,-0.0012938+0.00047075i,-3.1914e-05+0.00024813i,0.00046448+1.9634e-05i,0.00044091-0.0001379i,0.00012204-0.00085572i,9.5264e-05-0.0012617i
0.0088641+0.0033596i,0.010925+0.00088155i,0.0092139-0.0035085i,0.0050679-0.003761i,0.002732-0.00073789i,0.0018463+0.00063159i,0.0015367+0.0010392i,0.0016644+0.00090502i,0.0015101+0.00041033i,0.0012741+0.000985i,0.00058142+0.0010228i,-7.1557e-05-0.00033728i,-3.6028e-05-0.0011928i,-0.00022252-0.001302i,-0.0012559-0.00072472i,-0.0024365-0.00042158i,-0.0026497+0.00012566i,-0.0016606+0.00051818i,-0.00053916+0.00039442i,-0.0001977-0.00033111i,-0.00047084-0.0007758i,-7.636e-05-0.0004141i,0.00054503-0.00046522i
-0.0088629+0.0022502i,-0.0095859+0.0023437i,-0.0072231+0.0018711i,-0.0028217+0.0014809i,-0.00058357+0.0010944i,0.0002509+0.0011324i,0.0003835+0.0010266i,-0.00015909+0.00019847i,-0.00037749-0.0010361i,-0.00025094-0.0016163i,0.00042913-0.0013595i,0.00098039-0.00084184i,0.0011641-0.00028167i,0.001798-0.00067026i,0.0025858-0.0010205i,0.0026053-0.0011028i,0.0012709-0.00035667i,0.00063122+0.00035686i,0.0011029-0.00061797i,0.0014691-0.0011349i,0.0012962-5.3968e-05i,0.00057187+0.00065472i,0.00021904-0.00010441i
0.0049566-0.0050317i,0.0035463-0.0050921i,0.0026909-0.0021854i,0.0021282-0.0011062i,0.00070194-0.0020416i,-0.00036234-0.00062981i,0.00051697+0.0013057i,0.0010441+0.0010062i,0.00018277+9.2028e-05i,-0.00059219-0.00051847i,-0.00097833-0.0017723i,-0.00077198-0.0014764i,-0.00099755-0.00094928i,-0.00098933-0.00073483i,0.00014032+0.00034825i,0.0011649+0.0003743i,0.00094423+0.00077186i,0.00077934+0.001694i,0.0010538+0.0017737i,0.00039753+0.0014954i,3.5012e-05+0.00048795i,0.00052363-0.00024752i,0.00088247-0.00025098i
0.0061746+0.0016096i,0.0063435+0.0011583i,0.0051754+0.0016447i,0.0052592+0.000621i,0.0039614-0.0015747i,0.0014887-0.0022271i,0.00075281-0.0010499i,0.00088274-0.00090254i,0.00024404-0.00055534i,-0.00041759+0.0004266i,-0.00024101+0.0016644i,-0.00072748+0.0026771i,-0.0025511+0.0024092i,-0.0023476+0.0016988i,0.00032106+0.0014528i,0.0012986+0.0016879i,0.00085521+0.00064725i,0.00049744-0.00075632i,-5.1578e-05-0.00053793i,-0.00030803-9.5027e-05i,0.00019115+0.00057057i,0.00045864+0.0013457i,2.8385e-05+0.0016816i
0.0026012+0.0057113i,0.0056306+0.0048575i,0.0075917+6.5767e-05i,0.0049501-0.0017138i,0.0021919-0.00042222i,0.00090152-0.00062196i,-4.6682e-06-9.7186e-05i,-0.00028777+0.0012674i,-0.00064542+0.0015532i,-0.00065687+0.0018379i,-0.00048271+0.0017062i,0.00065748+0.0014975i,0.0015171+0.0012877i,0.00031699+0.00059415i,-0.0015974-0.00012669i,-0.0018905-0.0001486i,-0.00081255+0.00013781i,-0.00063317+0.00034485i,-0.00085896+0.0004085i,-0.0014128+0.00015063i,-0.0011311+0.00019087i,7.1017e-05-0.00029286i,0.00012731-0.00073326i
-0.0010279-0.0024855i,-0.0026432-0.0037992i,-0.001255-0.0057619i,-1.4837e-06-0.004457i,-6.9179e-05-0.0015282i,0.0010304-0.00042548i,0.0010004-1.0694e-05i,0.00073798-0.00028432i,0.00055344-0.00025073i,0.00041922-0.00046004i,0.00082932-0.0011064i,0.00079992-0.00053303i,0.00053847-0.0004292i,-0.00021336-0.0011603i,-0.00097364-0.001216i,-0.0014114-0.0014644i,-0.0015683-0.0015944i,-0.0016032-0.0010321i,-0.0015437-0.00053241i,-0.0011931-0.00021564i,-0.0005931-0.00047522i,2.801e-05-0.00039176i,0.00024-0.00033866i
0.0012076-0.003916i,0.00031721-0.0024123i,-0.0012164+0.00049075i,-0.0010046+0.0013094i,0.0002467+0.00081647i,0.00068744+0.0013234i,0.00096985+0.0017578i,0.00068869+0.000552i,0.00064618-0.00058136i,0.0018777-0.0010657i,0.0025688-0.0015643i,0.0029379-0.0013192i,0.002155-0.00085961i,0.00076565-0.0011626i,4.1256e-05-0.0020424i,-0.0004092-0.001792i,-0.00071515-0.0016027i,-0.00042569-0.0015836i,0.00049416-0.001121i,-4.7238e-05-0.0014567i,-0.00080686-0.0015355i,-0.00029113-0.0013687i,0.00019055-0.0012086i
0.003739+0.0019012i,0.0038245+0.00341i,0.0033031+0.0053641i,0.0047045+0.004559i,0.0035187+0.0014698i,-0.00015239+0.00091818i,-0.0010523+0.0021829i,-0.00098219+0.0015469i,-0.00070527-0.00042076i,0.00042172-0.0012794i,-5.6691e-05-0.0010898i,-0.00090554-0.001354i,-0.00083833-0.0014111i,-0.0007562-0.0016844i,-0.00019952-0.0019541i,0.00012197-0.0015516i,0.00011266-0.00096929i,7.7432e-05-0.0006647i,8.2155e-05-0.00058082i,0.00041492-0.00043892i,0.0005167+3.4647e-05i,0.00041529+0.00066057i,0.00053795+0.00056267i
