-0.0016643+0.0011991i,-0.00093642+6.8894e-06i,-0.0010131-0.0012899i,-0.00079244-0.0010838i,-0.0011696-0.00019112i,-0.0013065+0.0013279i,-0.00071882+0.0018187i,0.00023744+0.0013958i,0.0014959+0.0003729i,0.0014078-0.00051668i,0.0011019-0.00061405i,0.00074162-0.00081633i,-9.88e-05-0.0011927i,0.00014733-0.00065098i,0.00064372+0.0001747i,0.00034057-0.00031185i,0.00022322-0.001287i,-8.424e-05-0.0010017i,-0.00045154-0.00050078i,-0.00082447-0.0001338i,-0.00042996+0.00060329i,4.561e-06+0.00088405i,-0.00014432+0.00059785i
-0.00098736+0.00061324i,-0.0001796+0.00040126i,0.0003796+0.00013517i,0.00045543+0.00050797i,0.00069742+0.0010453i,0.00055821+0.00046733i,0.0001386-5.5196e-05i,-0.00027023-0.00054443i,-0.0004353-0.00050001i,-0.00069602-0.00068716i,-0.0003704-0.00053342i,0.00036638+3.0659e-05i,0.00076956+6.7889e-05i,0.00049412+0.00028457i,-0.00022404+0.00030682i,-0.00026995+4.1475e-05i,-0.00038747+0.0003044i,-0.00051562+0.00074932i,-0.00026268+0.00070753i,-0.00033822+0.00060869i,-0.00015248-0.00047254i,-0.00050649-0.0015273i,-0.00069479-0.0010367i
0.00082791+0.00035714i,0.00041634+0.0013269i,0.00023724+0.00099273i,0.00048055-4.9918e-05i,0.00019705-0.00070041i,4.5635e-05-0.00057902i,0.00030399+0.00018119i,-1.9556e-05+0.00030819i,0.00022892-0.00051483i,-1.6395e-05-0.0015276i,-0.00031843-0.0016341i,-5.9151e-05-0.0004193i,-0.00087544+0.00029496i,-0.00098403+8.8614e-05i,8.4622e-06+7.3908e-05i,0.00019932+0.00085865i,-0.00044148+0.00090379i,-0.0012326+0.00062273i,-0.0014779+0.00041002i,-0.00072291-0.0002662i,0.00027229-0.00060976i,-0.00026173-0.00062803i,-0.00098805-0.00033927i
0.00066054-0.00040089i,0.0011594-0.00021542i,0.00072187-0.00016527i,0.0002085-0.00027625i,0.00080358-0.00019986i,0.0011576+0.00037973i,0.00065471+0.00082823i,-0.00021828+0.00070816i,-0.00072489+0.00050827i,-0.00065335+8.6756e-05i,-1.5162e-05-0.00044547i,0.00030154-0.00029565i,0.00012779+0.00027407i,0.00051403+0.00063918i,0.0007754+0.00057347i,0.00030557+9.0717e-06i,0.00027854+3.2097e-05i,0.00048268+0.00014044i,0.00054478-0.00036451i,0.00039803-0.00034066i,0.00040258-0.00010988i,0.0009816-0.00015591i,0.001249+2.194e-05i
-0.00058932+0.0010063i,-0.00077535+0.00087017i,4.8175e-05+0.0008942i,0.0012809+0.00060029i,0.0016486+0.00025815i,0.0011033+0.00015638i,0.00068188-0.0003035i,0.0004605-0.00021118i,0.00033822+0.00030397i,0.0001491+0.0010594i,0.00019387+0.00074547i,0.00042627-0.0008186i,0.0005379-0.0014322i,0.0003256-0.00062362i,-0.00018378+0.00018116i,0.00010417-7.2402e-05i,0.00083348-0.00063304i,0.00035536+0.0001753i,-0.00080345+0.0010361i,-0.00082264+0.00052169i,-0.00047027-6.5387e-05i,-6.3724e-05-0.00029203i,4.3716e-05-0.00059946i
3.9542e-05-0.00061469i,0.00042324-0.00041962i,0.00059802+4.2939e-05i,0.00088845+7.3075e-05i,0.0010081-0.00021863i,0.00097996-9.0132e-05i,0.00039339+0.00026691i,0.00021126-2.5278e-05i,0.0006695-9.1865e-05i,0.00069679+0.00028483i,0.00089442+0.00084199i,0.0004082+0.00075726i,-0.00037367-0.00013609i,-0.00042484-0.00027534i,-0.00024943+0.0003686i,-8.5543e-07+0.00051885i,-1.0964e-06+0.000662i,-0.00027759+0.00041835i,0.00010937+8.3845e-05i,1.6311e-05+0.00018892i,-0.00025224+0.00014165i,0.00080918+0.00039634i,0.0009753+0.00034552i
-0.00018301+0.001826i,-0.0006076+0.00085751i,-0.0002052+0.00032261i,0.00060744+0.00020101i,0.0015449+0.00040236i,0.00077274-0.00063791i,-0.00031669-0.0019905i,-0.00037309-0.0013328i,-0.0004054-0.00076148i,-0.0004437-0.0013414i,-0.00037948-0.001612i,-0.00085399-0.00095975i,-0.00092855-0.00044281i,-0.00022909-0.00015788i,-0.00011046+0.0003866i,0.00013114+0.00075993i,0.00081122+0.00058187i,0.001035+0.00029763i,0.00066167+0.00027213i,0.0003244-0.0001075i,0.00042025-0.00024348i,-3.6256e-05-0.00048163i,0.00045887-0.00056774i
0.0020215+0.001329i,0.0011917+0.0017667i,0.0013427+0.0012484i,0.0017807+0.00051116i,0.0016059+0.00023965i,0.0008807-0.00012175i,9.2664e-05-0.00022625i,-0.00017587-0.00020715i,-6.6588e-06+6.1769e-07i,0.00066631+0.00024503i,0.00029577+6.2468e-05i,-0.00048634+2.6389e-05i,8.1842e-05+0.00011015i,9.6472e-05+0.000655i,0.00019793+0.0010416i,0.00090934+0.0010947i,0.0012125+0.001008i,0.00041444+0.00050153i,4.2162e-05+0.00039317i,0.00015949-5.9075e-05i,0.00025287+2.5147e-05i,-6.7404e-05+0.00040247i,-0.00037589-2.1246e-05i
-0.0016689+0.00011061i,-0.001359+1.5587e-06i,-0.00083218+0.0017346i,-0.00057028+0.0014911i,0.00033927+0.00037289i,0.00074434+0.00024943i,0.00081996-0.00014546i,0.0011176-0.00068006i,0.0014824-0.00098444i,0.0005448-0.0007139i,0.00041899+0.00027482i,0.00096436+0.00021229i,0.00068716-0.00011037i,0.00064971+2.681e-05i,0.00042665+0.00051418i,0.00016513+0.00024838i,-9.6049e-05-0.00024486i,-0.00018208+0.00015685i,0.0004073+6.7344e-05i,-1.351e-05-0.00045181i,-0.00035138-2.7444e-05i,-0.00027495+0.0011149i,-0.00049272+0.0016435i
0.0010321-0.00011755i,0.0013674+0.00050537i,0.0015232+0.00066144i,0.0016344-5.3006e-05i,0.0010936-2.8755e-05i,-0.00029711-0.00024298i,-0.00044855-0.0008412i,0.00043444-0.000367i,0.00065233-0.00024452i,0.00066258-0.00031704i,0.00033909-9.0955e-05i,-0.00036227+0.00013859i,-0.00048661+0.00034162i,-8.2196e-05+0.00014904i,3.44e-05-6.618e-05i,0.00026905+0.00044548i,0.0004405+0.00079679i,0.00052788+0.0002202i,0.00048213+0.00016431i,0.00021406+0.00056351i,3.2694e-05+0.00044619i,-2.9553e-05-0.00026948i,-0.00014248-0.00056496i
-0.0012167+6.8072e-06i,-0.00079966+0.0010215i,-0.00035024+0.0017799i,0.00089899+0.001217i,0.0013095+0.00049144i,0.00067998+0.0004723i,0.00066641+0.00052526i,0.00087157+0.00037398i,0.00074349+0.00021768i,0.00072373+0.00015824i,0.00030459+0.00010904i,0.00073443+0.0002806i,0.00018023+9.4136e-05i,-0.00099203-3.7115e-05i,-0.00026912-0.00015683i,-0.00017319-0.00039187i,-0.00065581-0.00025901i,8.8756e-05+0.00035447i,-1.6034e-05+0.0010487i,-0.00045564+0.0016111i,-0.00084347+0.000455i,-0.00052746-0.0010471i,0.00054658-0.00086628i
0.00019256+0.00040413i,0.00057464-0.00020416i,0.0013236+0.00070153i,0.0011219+0.00043268i,0.0011646-0.00030836i,0.00094817-0.0004138i,0.00014157-0.00059233i,-0.00027706-0.00077253i,-0.00018572-0.00088068i,6.1523e-05-0.00094823i,0.00041626-0.00048994i,0.00091222+0.00013743i,0.00070475+0.00034511i,-0.00019219-2.817e-05i,-0.0008544-0.00043345i,-0.00084501-0.000234i,-0.00026976-0.00031417i,-4.1058e-05+9.7043e-05i,4.8152e-05+0.00039381i,0.00051229+0.00015751i,0.00026596+1.951e-05i,-0.00049151+0.00017925i,-0.00033221+0.00012758i
0.00095505-0.00091762i,9.0632e-05-0.00052531i,0.00011747-0.00073485i,3.4012e-05-0.00071274i,-0.00035155-0.00070686i,6.7788e-05-0.00038395i,0.00091242-0.00036477i,0.00057161-0.00015259i,0.00023483-0.00030345i,0.00016368-0.00079591i,-5.9829e-05-0.00028991i,-0.00029092+0.00016673i,-0.00030131+0.00016379i,0.00042344+0.00055747i,0.0004325+0.00092717i,0.00016502+0.0010766i,-2.3388e-05+0.00073662i,-0.00027668+0.00049077i,0.00019459+0.0010667i,-3.8277e-05+0.0012784i,-0.00045288+0.00035507i,-0.00048981-9.746e-06i,-0.00036854+0.00040799i
-0.0023983+0.0024172i,-0.0016804+0.0029312i,-0.0005465+0.0029591i,0.00063445+0.0023251i,0.001964+0.0014479i,0.001818+0.00055083i,0.00063466-0.00042857i,0.00018079-0.0002345i,0.00067264+0.00043852i,0.00047845+0.00060271i,0.00026216+5.3388e-05i,0.00071154-0.00060151i,0.00075646-0.00039829i,0.00064626-7.4586e-05i,0.00022272-0.000207i,8.5302e-05+1.7975e-05i,0.00025964-0.00017959i,0.00016065-5.4088e-05i,-0.00012541+0.00029984i,-3.4184e-05-1.9303e-05i,-0.00029523+9.9314e-05i,-0.00043155+0.00079207i,6.5902e-05+0.001178i
-0.00033676+2.065e-05i,-0.00028371-0.00082881i,-0.00098988-0.00068319i,-0.00030767+2.6096e-05i,0.00062666-0.00068494i,0.00053661-0.0010139i,0.00082466-0.0010619i,0.00093239-0.00081008i,0.0010824-0.00033731i,0.0011269-0.00055434i,3.239e-05-0.0004751i,-0.00031723-0.00023626i,0.00075782-0.00042727i,0.00082173-0.00027453i,-0.00048558+5.4981e-05i,-0.0011758+0.00024782i,-0.00074414+7.2745e-05i,-0.00062733-0.00047747i,-0.00020185-0.0003294i,0.00042863-3.3858e-05i,-0.00014026+0.00014608i,0.00019996+0.00016361i,0.00080764+0.00017635i
-0.003444-0.0014976i,-0.0030424-0.001167i,-0.0024263+0.00082636i,-0.0016831+0.0018352i,-0.00025271+0.0014058i,0.00092563+0.0010844i,0.0010976+0.00020465i,0.00065157-0.00051761i,0.00012888+0.00039296i,0.00018878+0.00073738i,0.0003784-0.00056514i,0.00051072-0.0014099i,0.00057433-0.0012439i,0.00065384-0.00056803i,0.00087976-0.00025894i,-8.9877e-05-0.00021571i,-0.00085004+0.00060771i,-0.00075381+0.0008178i,-0.00054131+0.00031947i,-0.00027524+0.00052156i,-0.00057923+0.0010485i,-0.0006479+0.0010293i,-0.00014523+0.00065618i
-0.0011319-0.00021316i,-0.0014268+0.00027678i,-0.00093662+0.00032623i,-0.00037766+0.00020969i,0.0005342+0.00052227i,0.0016727+0.00076717i,0.0011065-0.00015067i,6.7583e-05-0.00084869i,-0.00029104-7.9944e-05i,-2.5689e-05+0.0012663i,0.00020215+0.00094856i,0.00036123-0.00027626i,0.00028496-0.00072983i,0.0002476-0.00048003i,0.0003678-0.00029408i,0.0008882-0.00044717i,0.00064981+0.00010868i,-0.00024133+0.00014676i,-0.00057721-0.00031254i,-0.00029026+2.1134e-05i,0.00021499+0.00019041i,0.00042669+0.00028599i,0.00090785+8.2399e-05i
0.00055772+0.0011859i,4.5188e-05+0.0012339i,-0.0003387+0.00088238i,2.1499e-05+0.00024477i,-0.0003218+2.8996e-06i,-0.00034783+5.3163e-05i,3.8398e-05+1.792e-05i,0.00025604-0.00075459i,0.00040307-0.0013611i,0.00063651-0.0013885i,7.0542e-05-0.0013795i,-0.00017697-0.00065647i,0.00057736+0.00013081i,0.0010406-0.00017194i,0.0006789+0.00041696i,3.998e-05+0.00088597i,7.9565e-05+0.00010685i,0.00063294-0.00011394i,0.00054555-0.00017761i,0.00095782-0.00054754i,0.00068251-7.2838e-05i,4.8412e-06+0.00044907i,3.6978e-05-0.0001618i
0.00072293+0.00091891i,0.00042939+1.1817e-05i,-0.00010433-0.00084847i,-0.00031427-0.00030544i,0.00018922+0.00090964i,0.00086911+0.0010982i,0.0010037+1.8633e-06i,0.00039144-0.00071853i,-0.00034114-0.00085737i,-0.00049817-0.00048284i,-0.00026029+1.1251e-05i,0.00041665+0.00076914i,0.00015709+0.00066506i,-0.00038634+0.00022844i,0.0001608+0.0007954i,0.00047879+0.00090027i,2.3576e-05+0.0005394i,-0.0002248-0.00019644i,0.00028139-0.00066037i,0.00058188-0.00049293i,-2.4426e-05-0.00053195i,-0.00063018-0.00035979i,-0.00094012+0.00017474i
0.0011929-0.00030043i,0.00023477+0.00038127i,-0.00079016-0.00041774i,-0.00022109-0.0001773i,-0.0002709+0.00083186i,-0.0007429+0.0005928i,-0.0003417-0.00058197i,-0.000395-0.00016216i,-0.00089559+8.298e-07i,-2.475e-05+5.0121e-05i,-2.465e-05+0.00035039i,-0.00061823+0.00034662i,-0.00035128+0.00019205i,0.00018383+0.00010246i,1.4689e-05+0.00063756i,2.1384e-05+0.00069555i,0.00032882+0.00044969i,0.00048674+0.00021665i,0.00063037+0.00023712i,0.00062879-0.00019659i,0.00043415-0.00073523i,0.00010117+7.7626e-05i,9.53e-06+0.00068571i
-0.0018468+0.00056847i,-0.0020931+0.00071335i,-0.00053974+0.0023406i,0.0012436+0.0024428i,0.0015843+0.00079805i,0.00089889-0.00060182i,0.00061141-0.0013375i,0.00095664-0.0010385i,0.00048418-0.00028244i,0.00011087-1.4288e-05i,0.0012307-4.6452e-05i,0.0014322-0.00049177i,6.8457e-05-0.00058374i,-0.00033506-0.00036863i,1.5244e-05+9.8367e-05i,-0.00013968+0.00015043i,0.00028621-0.00020022i,0.00039526+0.00010956i,-0.00039783+0.00030229i,-0.00082569+0.00022867i,-0.0010106+0.00049509i,-0.0007766+0.00031251i,-0.00080685-0.00046277i
-0.0021261+0.00040692i,-0.0011428+0.00036101i,-0.0013459+0.00089015i,-0.0011027+0.0019995i,-0.00016764+0.0027538i,0.00071538+0.0015043i,0.0011808-0.00053138i,0.001143-0.0013198i,0.00083778-0.0011092i,0.00025742-0.00046629i,0.00069051+0.00013219i,0.00076946-6.5127e-05i,0.00044539-0.00063578i,0.00046197-0.00034841i,0.0005169-1.5516e-05i,3.3466e-05-6.7147e-05i,0.00022879+0.00044078i,0.00029183+0.00091629i,-0.00052621+0.00079931i,-0.00049742+0.00079474i,-0.00058812+0.00067449i,-0.00055003+0.00027203i,-0.00012806+0.00016456i
-0.0014433+0.0010684i,-0.0010914+0.00091497i,-0.0011645+0.0006636i,3.3455e-05+0.00054198i,0.0013878+0.00067446i,0.0010488+0.00014595i,-0.00053379-0.00062539i,-0.00085347-0.00068829i,0.00035838-0.0006145i,0.0012143+0.00025386i,0.00047124-0.00015053i,0.00042203-0.00054602i,0.00057529+3.721e-05i,0.00053243+0.00036947i,0.00043327+0.00054316i,0.00019003+0.00042144i,0.00090885+5.1248e-05i,0.0011257+3.2412e-05i,-0.00025343-0.00014127i,-0.00050193-0.00015977i,-5.9233e-05+0.00026057i,0.00028906+0.0007466i,0.0012989+0.0006157i
-0.00031587+0.000406i,-0.0010247+0.00081208i,-0.00054284+0.0013083i,0.0007686+0.0010446i,0.0011044+0.00027742i,0.0011389-0.00039437i,0.00098295-0.00087439i,0.0013487-0.0008645i,0.0019724-0.00043802i,0.0007533-5.7976e-05i,-0.0001413+8.1422e-05i,-0.00017705-9.7691e-05i,-0.00036572-0.00075552i,7.3761e-05-0.00098004i,0.00046313-0.00043544i,0.0007723-8.0028e-05i,0.00017358-0.00015433i,-0.00075053-0.00064546i,-0.00095477-0.001034i,-0.00025014-0.00039449i,0.00027915+0.00073807i,1.0437e-05+0.0010315i,-0.00041372+0.0010473i
-0.00052168+0.0027848i,0.00066414+0.0027155i,0.0011915+0.0027639i,0.0015+0.0018679i,0.002269+0.00049158i,0.0026033-0.00053439i,0.0016151-0.0011745i,0.00091395-0.0015585i,0.0011133-0.0017225i,0.00066519-0.0009529i,0.00029179-0.00026632i,0.00043883-0.0005727i,0.00028176-0.00041085i,-2.1036e-05+0.00013741i,-0.00021611-0.00010047i,-0.00037313-0.00024314i,-0.0001009+0.00032957i,-0.00023707-2.2674e-05i,-0.00042637-0.00014166i,0.00022426+0.00035442i,-4.9146e-06+0.00039411i,-0.00035852-1.9118e-06i,-0.00041535+0.0003138i
-0.0011703+5.4939e-05i,-0.00069518+0.00062258i,-0.00047056+0.0011491i,0.00065525+0.0010999i,0.0013295+0.00083557i,0.0019108+0.00011106i,0.0018109+5.4282e-05i,0.00082885+0.00033548i,0.00030869+8.7026e-05i,0.00048425-0.00039121i,0.00080421-0.00036857i,0.00077642+3.8604e-05i,-4.6209e-05-0.000389i,-0.00059523-0.00062379i,-0.00030952+0.00039869i,-0.00018401+0.00088814i,-0.00018479+0.00075072i,4.8064e-05+0.0008438i,0.00034503+0.00097806i,0.00034143+0.00069258i,-0.00010067+0.00027192i,-0.00052288+0.00027228i,-0.00035997+0.00042269i
-0.00018329+0.0009961i,0.00091194+0.0013225i,0.001124+0.0026269i,0.0011806+0.0025698i,0.0021079+0.0014262i,0.0018805+0.00031827i,0.0012291-0.00034587i,0.00076239-0.00081203i,0.00091786-0.00012457i,0.0012254+0.00073021i,0.00033082+0.00087897i,7.0927e-05+0.00062086i,0.00066938+0.00013354i,0.00066307+0.00025911i,0.00036339+0.0010182i,0.0004613+0.0014721i,0.00027808+0.0011534i,-0.00040472+0.00019315i,-0.0007096-0.00042137i,-0.00018908-0.00036369i,0.00041379+0.00020333i,0.00067193+0.00012731i,0.00042295-0.00015637i
-0.001718+0.0016867i,-0.0015643+0.0011882i,0.00036371+0.0031981i,0.0021469+0.0028248i,0.0024908+0.0010618i,0.0010621+4.1491e-05i,-0.00059641+0.00010303i,-0.0013822+0.00083823i,-0.00063375+0.00046549i,0.00076959-0.0003411i,0.0010116-8.5322e-05i,-0.00013641-7.6988e-05i,-0.00046547-0.00048808i,0.0001516+0.00011761i,0.00040013+0.00039257i,-0.00012017-0.00063288i,-0.00063152-0.00089621i,-0.0001965-0.00061843i,0.00032999-0.00021737i,0.00073604+3.2536e-05i,0.0011885-3.9094e-05i,0.00040734-0.00054769i,-6.968e-05-0.00087859i
0.0008235-0.00063762i,0.0013106-4.2054e-05i,0.0017917-0.00027302i,0.0017445-0.00018376i,0.001427+7.9003e-05i,0.00079961+0.00017264i,0.00060121-0.00019515i,3.6476e-05-0.0010761i,-0.0003094-0.0010276i,-0.00014342-0.00019387i,0.00048007-0.00046745i,0.0014055-0.0010176i,0.0010798-0.00093754i,0.0004954-0.00050985i,0.00038928+0.00015964i,-0.00021348+0.0010372i,-0.00029527+0.0012038i,-0.00043234-0.00019574i,-0.00034125-0.0016725i,0.00084662-0.00072397i,0.0011925+0.00019798i,0.00028797-0.00034536i,-0.000268-0.00097672i
0.00041556+0.0002873i,0.00022086+0.00044504i,0.00017964+0.0016858i,0.0012327+0.0011416i,0.0021933-0.00043729i,0.0014674-0.0009248i,0.00082184-0.00044166i,0.00077745+0.00043263i,0.00053051+4.2334e-05i,0.00085076-0.0003429i,0.00085338-0.0006848i,0.00056972-0.0011005i,0.00074031-0.001217i,0.00058136-0.00091485i,-0.00023462-4.9701e-05i,-0.00072278-2.2666e-05i,-0.00053552-0.00049277i,-0.00043712-0.00068051i,-0.00019307-0.00073926i,0.00012852-0.00014234i,0.00042768+0.00043466i,0.00069914+0.0002286i,0.00068905-0.00057093i
-0.001388+0.0011941i,-0.0015957+0.00034034i,-0.00038553+0.00077017i,0.0016396+0.002068i,0.0017521+0.0022573i,0.00065898+0.0009088i,9.44e-06-0.00043672i,0.00024469-0.00059949i,5.4874e-05-1.7556e-05i,0.0006833-0.00015989i,0.0010855-0.00022311i,0.00042349-0.00077137i,3.8357e-05-0.0015548i,-0.00047569-0.0014336i,-0.00094779-0.00023603i,-0.0013466+0.00049064i,-0.00090576+0.00020657i,2.1888e-06-0.00031666i,0.0010529-0.00022566i,0.0016578+0.00031595i,0.00099924+0.0005712i,0.00026556+0.00065214i,0.00063214+0.00068162i
-0.00056668-0.0019234i,-0.0011125-0.0014447i,-0.001735-0.0014998i,-0.00059955-0.00095626i,0.00055479+0.000508i,0.0011475+0.00023563i,0.0012353+0.00011073i,0.0010822+0.00098382i,0.00066857+0.00077967i,0.00028675-0.00017861i,-0.00038859-0.00012901i,-0.00043182+0.0005302i,0.00010032+0.00073048i,-0.00027724+0.00054038i,-0.00071323+0.00065342i,-1.0738e-05+0.00095127i,0.00024642+0.00093727i,0.000569+0.00048904i,0.00061242-8.142e-06i,-6.8e-05+0.00019831i,-0.00045907-0.00019672i,-0.00064798-0.00067192i,-7.3493e-05-0.00049931i
-0.0013428+0.0019984i,-0.0016392+0.0027182i,-0.0011001+0.0033808i,-6.0989e-05+0.0030274i,0.00096373+0.0014931i,0.0012991-0.00049454i,0.00070868-0.0013008i,0.00040476-0.0013028i,0.00034672-0.00070262i,7.9573e-05-0.00054947i,0.0002562-0.00023912i,0.00076888+0.00040362i,0.00040938-0.00045638i,0.00022273-0.00071305i,0.00022734+0.00028295i,0.00019632+0.00048207i,0.00016657+0.00022471i,0.00062952-6.0531e-05i,0.00064405+0.00012314i,0.00018833+2.192e-05i,0.00025546-0.00044997i,0.00049296-0.00021625i,0.00011302+0.00011391i
