0.55507-0.28753i,0.63698-0.5156i,0.43805-0.43218i,0.2241-0.21258i,0.093446-0.1416i,-0.03064-0.12132i,-0.058947-0.049067i,0.0051288-0.01434i,0.044445-0.022443i,0.047518-0.028677i,0.034281-0.032519i,0.017004-0.020886i,0.015633-0.0037855i,0.016636-4.847e-05i,0.0097815-0.00044008i,0.0016991-0.00062516i,-0.0056709-0.0025537i,-0.013967-0.002106i,-0.016413+0.0019721i,-0.0087138+0.0058934i,-0.0013455+0.0070194i,-0.0011814+0.0078962i,-0.0051896+0.010574i
-0.37162+0.20285i,-0.29237+0.23026i,-0.09165+0.051418i,0.012283-0.081326i,0.038563-0.035122i,0.075942+0.0094003i,0.052774-0.0034371i,0.0036205+0.0039646i,-0.0045624+0.009718i,-0.00293+0.0043704i,0.008767+0.012936i,0.03883+0.010619i,0.048841-0.011554i,0.028647-0.024582i,0.007824-0.020032i,0.004465-0.0075512i,0.013239+0.0033932i,0.019161+0.0094205i,0.01616+0.010373i,0.010722+0.0080376i,0.0091817+0.0047497i,0.012371-0.0026198i,0.01341-0.014904i
-0.055502-0.27068i,-0.26371-0.2179i,-0.32727-0.054801i,-0.24457-0.0024984i,-0.18774-0.035469i,-0.15392-0.032652i,-0.09352-0.02705i,-0.054503-0.039863i,-0.046919-0.038282i,-0.046477-0.028387i,-0.046174-0.02292i,-0.045209-0.02364i,-0.047633-0.02285i,-0.04624-0.010777i,-0.037419+0.0018997i,-0.024605+0.0038041i,-0.010746-0.0054719i,0.0037222-0.018231i,0.01076-0.028196i,0.0049078-0.032347i,-0.0036138-0.028222i,-0.0075673-0.01927i,-0.0073075-0.0093232i
0.30994+0.32977i,0.44289+0.24281i,0.27864+0.080424i,0.062386+0.049633i,0.025966+0.071854i,0.02031+0.040216i,-0.010187+0.02433i,-0.0079579+0.017928i,-0.0041155+0.0048822i,0.0036373+0.010577i,0.017594+0.0069172i,0.0011253-0.0040441i,-0.019289+0.0074485i,-0.010451+0.025899i,0.011566+0.029479i,0.022013+0.018019i,0.011499+0.0057692i,-0.0083996+0.0024786i,-0.020085+0.01018i,-0.019062+0.019586i,-0.014929+0.017788i,-0.016384+0.012878i,-0.019075+0.0123i
-0.54615-0.13441i,-0.62023+0.089195i,-0.32983+0.27733i,-0.027665+0.2527i,0.034904+0.15258i,0.0098904+0.12479i,-0.0044784+0.10972i,-0.021156+0.084417i,-0.023787+0.054732i,-0.028557+0.022128i,-0.034757+0.016825i,-0.014698+0.032442i,0.01683+0.037717i,0.035425+0.018072i,0.033122-0.0098602i,0.017372-0.014804i,0.0076997-0.00055037i,0.0094911+0.0084242i,0.014137+0.006499i,0.01389+0.0021319i,0.011287+0.0050296i,0.016595+0.010108i,0.026687+0.0059727i
0.68802-0.038956i,0.80603-0.21726i,0.6146-0.28745i,0.32765-0.23211i,0.12895-0.15081i,0.040307-0.085669i,0.031621-0.046998i,0.041172-0.02758i,0.042093-0.003551i,0.040697+0.003514i,0.024788-0.014481i,0.00096742-0.029231i,-0.010099-0.038033i,-0.018643-0.048234i,-0.029941-0.053492i,-0.026977-0.049496i,-0.010317-0.042368i,-0.0023364-0.03871i,-0.0084687-0.034906i,-0.014477-0.022434i,-0.012092-0.009859i,-0.0076827-0.0081812i,-0.0075922-0.0088404i
-0.30614+0.20629i,-0.27673+0.11747i,-0.22844-0.12892i,-0.18898-0.20293i,-0.073571-0.097141i,0.027908-0.074305i,-0.0003044-0.092317i,-0.036104-0.061049i,-0.023061-0.03879i,-0.013707-0.020511i,-0.0029534+0.0087367i,0.005756+0.019595i,-0.0075453+0.019092i,-0.029822+0.023549i,-0.042758+0.029209i,-0.039102+0.027362i,-0.025014+0.019252i,-0.017249+0.017827i,-0.015823+0.026782i,-0.0061749+0.031354i,0.0054589+0.021417i,0.0052909+0.0025436i,-0.0044997-0.015155i
-0.27208-0.48557i,-0.56911-0.31683i,-0.56954+0.067363i,-0.33923+0.2002i,-0.22723+0.097041i,-0.2559+0.10369i,-0.20016+0.17815i,-0.088083+0.1473i,-0.032766+0.053744i,-0.029738-0.015757i,-0.036188-0.038377i,-0.026919-0.023296i,-0.0063679+0.0053328i,0.009555+0.029437i,0.0075874+0.044292i,-0.0068233+0.046295i,-0.015422+0.033297i,-0.0083937+0.02062i,0.0088361+0.01133i,0.017788-0.0023171i,0.012115-0.0089831i,0.0011523+8.9778e-05i,-0.0041547+0.013513i
0.4289+0.70476i,0.67475+0.70257i,0.6194+0.45042i,0.38232+0.24293i,0.22261+0.17128i,0.17346+0.15329i,0.15078+0.12489i,0.10634+0.066115i,0.042772+0.032325i,0.011018+0.043822i,0.010728+0.04258i,0.0093916+0.01494i,0.013992-0.0089866i,0.031529-0.01542i,0.053951-0.011276i,0.06143-0.0099964i,0.044522-0.012653i,0.022015-0.014i,0.006768-0.013269i,-0.0020933-0.0096152i,-0.0056843-0.0082771i,-0.0084455-0.0082835i,-0.012806-0.0017361i
-0.2628-0.33804i,-0.20827-0.34043i,-0.025866-0.29478i,0.063022-0.21856i,0.068002-0.10631i,0.13362-0.039278i,0.17398-0.029504i,0.1368-0.0099196i,0.084263+0.00034648i,0.036304-0.0079652i,0.010402-0.0063918i,0.0018345-0.005554i,-0.0077154-0.010553i,-0.0061203-0.023542i,0.0039768-0.04301i,0.0061874-0.044577i,0.0034335-0.022954i,0.0028361-0.00073918i,0.0033051+0.010056i,0.0029635+0.013956i,0.0013626+0.017705i,0.0072021+0.019385i,0.020431+0.01112i
