-0.0014933+0.00019571i,-0.0019726-0.00074921i,-0.0016924-0.0013366i,-0.00084511-0.00051388i,-0.00082098+0.00054259i,-0.0012925+0.00061991i,-0.00069697+0.00090291i,0.00023481+0.0011096i,0.00097974+0.00047754i,0.00059337+0.00044015i,8.6738e-05-0.00049724i,4.0118e-05-0.0012672i,1.7566e-05-0.00083811i,0.00071927-0.00059482i,0.0005484+3.1142e-05i,-0.00071275+0.00077213i,-0.0012713+0.00029117i,-0.0008486-0.0009899i,7.7231e-05-0.0012533i,0.0006852-0.00020394i,0.00075488+0.00066035i,0.00026123+0.0005992i,-0.00021555-3.7498e-06i
0.00042766-0.0007759i,0.0015209-0.00011466i,0.0017407+2.5161e-05i,0.0006926-0.00033652i,0.0007673-0.00024699i,0.0010492+0.00046279i,0.00050931+0.00043906i,0.00046352+0.00044699i,-0.00014295+0.0001946i,-0.00050433-0.00074226i,-9.9158e-05-0.00080062i,-0.00011288-0.0010039i,5.0829e-05-0.00053733i,0.00063407+0.0004294i,0.00065517+0.00015637i,0.00044988+7.747e-05i,0.00025511+0.00022746i,-3.8093e-05-7.9733e-06i,-0.00044339-0.00029502i,-0.00034532+1.0289e-05i,9.8836e-06+4.943e-05i,0.00056379-0.00048245i,0.00017413-0.00011576i
0.001401-0.0014437i,0.0010076-0.0019388i,0.00028204-0.0014968i,-0.00023626-0.0016172i,6.1835e-05-0.0014672i,0.0005301-0.00019677i,0.00092203+0.00027329i,0.00063995-2.7626e-05i,0.00034032+0.0003427i,0.00054493+0.00043184i,6.3631e-05+0.00010661i,-0.00050866-1.1087e-05i,0.0001375-1.312e-05i,0.00038014-0.00049254i,-0.00025953-0.00071906i,-6.1763e-05-0.00044586i,-0.0004676-0.00037213i,-0.00044718-0.00023828i,-0.00040214+0.00035158i,-0.00028684+0.00041141i,5.3277e-05+0.00021011i,-0.00040296+0.00016044i,-0.00025349-0.00032023i
-0.00060848+0.0013172i,0.00020123+0.0018451i,0.00019422+0.0022641i,0.00055496+0.0013042i,0.00078199+0.0010934i,0.00058023+0.00077161i,0.00020867-0.00011371i,-0.00033982+4.6478e-05i,-0.0007375-0.00013547i,-0.00066242-0.00062329i,-0.00077646-0.00056861i,-0.00029763-0.00057849i,-2.9206e-05+5.0943e-06i,-0.00036324+0.00023581i,-0.00069151-0.00033178i,-0.00031889-0.00060465i,-0.00035239-0.00088864i,-0.0010737-0.0011621i,-0.00085322-0.00066643i,-0.00031921-0.00012922i,2.15e-05-0.00031786i,0.00038705-0.0002116i,0.00043165+0.00025194i
-0.00076388+0.00026926i,0.00016613+0.00020415i,0.0005844-2.3832e-05i,0.00016243-0.00048652i,-0.0002618-0.0010821i,-0.00013571-0.00097083i,0.00020742-0.00049706i,0.000202-0.0004889i,-3.1638e-05-0.00038794i,-0.00034995+0.0002388i,-0.00027018+0.00082571i,0.00038155+0.00038149i,0.00020496-0.00011085i,-0.00080038-0.00019213i,-0.00050415-0.00031741i,-0.00012263-8.1163e-05i,-2.6695e-05+4.5449e-05i,-0.00030164+0.00010468i,-0.00055883+0.00073975i,-0.00093753+0.00011373i,-0.0013629-0.00028572i,-0.001064-8.2129e-05i,-0.00015343-0.00059995i
-0.00024897-0.00118i,0.00035438-0.0018712i,0.00019142-0.0021936i,-0.0013154-0.0021895i,-0.001503-0.0020815i,-0.0014397-8.4632e-05i,-0.0015486+0.0010158i,-0.0013031-0.00026448i,-0.00027992-0.00058468i,0.00049639-0.00010425i,5.8451e-05+5.6747e-05i,-0.00027685+4.7498e-05i,-0.00020749+0.00049587i,-0.00059362+0.00084005i,-0.00034742+0.00078359i,2.4627e-05+0.00040023i,0.00013517+1.2943e-05i,-0.0001343-9.7354e-05i,-0.00024437+0.00058839i,-0.00046246+0.00028327i,-0.00039818-0.0006355i,-0.00021303-0.00079288i,0.00024639-0.00081398i
0.0022305+0.00019923i,0.0028176-0.00030912i,0.0027635-0.00036809i,0.0017698-0.001105i,-0.00016007-0.0015171i,-0.0011659-0.0019528i,-0.00084482-0.00072003i,-0.000732+0.00056993i,-0.00047516+0.00021316i,-0.00010466+0.00017752i,-0.00079943+0.00019478i,-0.0008146+0.00054693i,-1.2216e-05+0.00078479i,-0.00032324-0.00028035i,-0.00090548-0.00037409i,-0.0011175+0.00033387i,-0.00040136+0.0010393i,-5.11e-05+0.00088482i,-0.0002278+0.00023024i,-0.0001732-8.3214e-05i,6.0941e-06-0.00054583i,0.00057053-0.00079205i,0.00032947-0.00074949i
0.001899-0.0010255i,0.0018904-0.0020384i,0.0024044-0.0023612i,0.00066335-0.0016541i,-0.00074871-0.00072818i,-0.0003695+0.00043767i,0.00051845+0.00031159i,0.00048424+0.00021935i,-0.0007417+0.00021555i,-0.00070006-0.00019039i,0.00032147-0.0008865i,0.00025768-0.00086443i,-0.00026334-0.00012202i,-9.1026e-05+0.0010733i,0.00043577+0.0012756i,-5.8092e-05+0.0012826i,-0.0011096+0.0013035i,-0.0012074+0.0012267i,-0.00049157+0.0016137i,0.00029836+0.0010386i,0.00066667+0.00020395i,0.00024101-0.00033347i,-0.0007176+2.3705e-05i
1.2744e-05+0.0003461i,0.0006374-0.0010477i,0.00094385+0.00016192i,-0.00041197+0.0008014i,-0.0013683+0.00044866i,-0.00010622-5.7665e-05i,0.00052209-9.4897e-06i,0.00035302+9.5742e-05i,0.00033596-6.8945e-05i,-0.00017574-5.6256e-05i,-0.00029059-0.0001956i,-0.00019049-0.00023212i,0.00015026-0.00016187i,0.00076971-0.00053031i,0.00047597-0.0010079i,-0.0002133+6.9503e-05i,-0.00026935+0.00058058i,0.00028462-7.3871e-05i,0.00089899-0.00043927i,0.00037567-0.00012336i,0.00025952+0.0001423i,0.00066912+0.00022334i,0.00076944+0.00011365i
0.00017713+0.00013307i,0.0011123+0.0001296i,0.0013839-0.00026543i,0.0012591-0.0006735i,0.0010414-0.00040368i,0.00080579-0.00041212i,0.0010427-0.00041448i,-0.00026818-0.00059475i,-0.0010516-0.00051441i,-0.00046916-0.00075689i,3.7836e-05-0.00046191i,0.00019703-0.00016736i,-0.00048476-0.00010493i,-0.00047719+0.00052957i,-0.00052587+0.00054985i,-0.00090197+0.0003635i,-0.00042985+0.00011044i,0.00024432-0.00030851i,-2.1249e-05-0.00043327i,0.00016511+3.389e-05i,0.00053169+0.0007739i,6.1863e-05+5.8889e-05i,0.00021206-0.00027221i
0.00052565-0.00060723i,0.00091852-0.00091892i,-0.00069976-0.0020096i,-0.001523-0.0017706i,-0.0015123-0.00056596i,-0.00092251+0.00018427i,-0.00044245+0.00028236i,-0.00054229-0.00014483i,-0.00073-0.00029577i,-0.000324-0.00016416i,0.00038375-0.00028403i,0.00088988-0.00037586i,0.00051596-0.00023315i,-0.00013619-0.0007428i,-0.00043302-0.00083789i,-0.00099324-0.00063459i,-0.00064482-0.00015294i,0.00020678+0.00025968i,-0.0001617+0.00027019i,-0.00064353-0.00044326i,-7.3773e-05-0.00084363i,-0.00078006-0.00034612i,-0.001309-0.0004337i
-0.0010243+0.00011692i,-0.00069773-0.00021442i,-0.00051729-0.0014781i,-0.00052733-0.0014824i,-0.00061361-0.00026902i,-0.0005005-0.00068565i,-0.00056047-0.0018488i,-0.001798-0.0012579i,-0.0020749-0.00015894i,-0.00088725+0.0010043i,-0.00038351+0.001041i,-2.491e-05+4.7236e-05i,0.00043466-0.00043373i,0.00088628-0.00044699i,0.0011097-0.00027343i,0.00028497+0.00012194i,-0.0005927+0.00042715i,-0.0009936+0.00044398i,-0.00098084-0.00033759i,-0.00087435-0.00099661i,-0.00036187-0.00019178i,0.00086761+0.00094194i,0.00047839+0.00092694i
0.0024948+0.00039099i,0.0025503-0.00023271i,0.0035041-0.00037879i,0.0024649-0.00083353i,0.00049961-0.0012744i,-0.00027619-0.00053225i,-0.00034614+0.00077935i,0.00039775+0.0012284i,0.00091088+0.0010188i,0.00066768+4.4441e-05i,0.00047481-0.0003786i,0.00050541-0.00050431i,0.00040147-0.00071655i,-0.00053177+3.7725e-05i,-0.00074889+0.00072287i,-0.00027218+0.00068767i,-0.00046629+0.00011556i,-2.4801e-05-0.00088694i,0.00072778-0.00036822i,0.00033954+0.00077509i,-0.00065654+0.0006585i,-0.00070679+0.00053278i,0.00062906+0.00076068i
0.00055703+0.00016394i,0.00062145+0.00037964i,0.00043136-0.00042621i,0.00043808-0.00019558i,0.0003268-0.00018138i,-0.00015037-0.00087059i,-0.00034866-0.0010814i,-0.00058608-0.0013974i,-0.00028972-0.00063167i,-0.00027775+0.00062966i,-0.00030101-6.7543e-07i,-0.00028083-0.0004844i,3.6147e-05-0.00018478i,0.00067869-0.00045149i,-3.7002e-05-0.00031392i,-0.00065576-0.00051034i,-0.00048164-0.00084311i,-0.00077654-0.00064815i,-0.0008567+0.00010418i,1.422e-05+0.00019329i,6.0445e-05-0.0006171i,0.00032932-0.0011147i,0.00061468-0.00066681i
0.0010779+0.00057958i,0.0012126+0.00063786i,0.00021768+5.6586e-05i,2.6972e-05-0.00024728i,0.0009834+0.00016301i,0.0014105-0.0001721i,0.00087519-0.00086356i,0.00041031-0.00082701i,0.00012705-0.00086449i,-0.00054404-0.00067989i,-0.00086818-0.0002973i,2.6426e-05+3.3775e-05i,0.0006864+0.00038598i,2.465e-05+0.00039554i,0.00021914+0.00015809i,0.0003177+0.00032363i,-0.00064574+9.8281e-05i,-0.0011663-0.00065467i,-3.6841e-05-0.00040768i,0.0007396-0.0002072i,0.00074684-0.00018335i,0.00065763+0.00045393i,0.00022189+0.00078585i
0.0030354+0.00091744i,0.0037191-0.0009922i,0.0036314-0.0015439i,0.0025665-0.00166i,0.0012671-0.00079122i,0.00017603+0.00069439i,-0.00057058+0.00068362i,-0.00073002+0.00077084i,-0.00045497+0.0011347i,-0.00016641+0.00087516i,0.00029534+0.00034296i,0.00021592+0.00071008i,-0.0001352+0.00031506i,-0.00019929-0.00039476i,-0.00023783-0.00036802i,-0.00022318-0.00012291i,1.7037e-05+5.8257e-05i,-0.00034091-0.00026048i,-0.00031002-0.00082588i,0.00048462-0.00080942i,0.0006672+0.00010793i,0.00032637+0.00025813i,7.4238e-05+0.00031885i
-0.00037858-0.00050216i,-0.00025153-0.00063015i,-9.3514e-05-0.00071528i,-0.00028229+0.00027165i,-0.0012075+0.0010777i,-0.00064728+0.00078015i,0.00046455+3.7796e-05i,0.00023593-0.0002926i,-0.00046517-0.0001191i,-0.00011616-0.00011127i,0.00023358+0.0001324i,5.0824e-05+0.0003308i,-0.00028465-5.7701e-05i,-0.00031833-0.00018891i,-0.0001464+5.8357e-05i,0.0007374-2.1424e-05i,0.0015824+0.00028567i,0.00099308+0.00031218i,0.00054665-0.00025858i,8.5337e-05-0.00046846i,-0.00076426-0.0012456i,-0.00054597-0.001949i,0.00016424-0.001547i
3.0899e-06-0.00013243i,0.00034531+3.2467e-06i,-0.00018752-0.0013542i,-0.0010177-0.0013139i,-0.00062269-0.00060989i,-0.00070542+0.00014657i,-0.0010675+0.00022454i,0.00017631-0.00010617i,0.00076279-0.00045249i,0.0001933-0.00023697i,0.00014554+0.00027077i,-0.00024039+0.00046283i,-0.00061445+0.00019579i,-0.00038898+6.1533e-05i,-0.00043564-0.00022463i,-0.00077159-0.0009393i,-0.00084306-0.0012396i,-0.00024877-0.00071047i,-0.00030325-0.00029167i,-0.00018141-0.0008281i,0.00010192-0.0012153i,-0.00021565-0.00060659i,-0.00032934-0.00010443i
0.0022371-0.00034051i,0.002699-0.0001972i,0.0022837-0.00013422i,0.0019631-0.00021757i,0.0010039+0.00035575i,-0.0001779+0.00072811i,-7.4527e-05+0.00064995i,0.00043234+0.0010252i,0.00063714+0.00060105i,0.00045028-5.9249e-05i,0.0001369-0.00021739i,0.00036618-1.5221e-05i,0.0006054+0.00048169i,0.00015057+0.00082173i,-0.00080178+2.4011e-05i,-0.00080128-6.7266e-05i,-0.00024758+0.00057113i,-4.5596e-05+0.00025335i,2.7368e-05-0.00012591i,0.00010385-0.0001759i,0.00036202+0.00028346i,0.00040184+0.00072325i,0.00057326+0.00029814i
0.00062745-0.0014217i,0.00019124-0.0023814i,-0.0005894-0.002893i,-0.001255-0.0021351i,-0.00085702-0.00068042i,-0.00017161-0.00027468i,0.00019557-0.00042001i,0.00071627-0.00044039i,0.00072997-0.00074101i,0.00074347-0.00081371i,0.00039142-0.00083304i,-0.00021211-0.00031972i,-0.00012943+0.00035935i,0.00012442-6.3709e-05i,-0.0002515-0.00069018i,-0.0005594-1.8619e-05i,-0.0004525+0.00071737i,-0.00028714+0.0005886i,-0.00028069+0.0004006i,-0.00025214+0.00013817i,-0.00019964-8.7097e-05i,0.0002614+0.00012203i,5.8748e-05+0.00052473i
0.00042168+0.0013068i,-0.00060765+0.00098872i,-8.5337e-05+9.3464e-05i,0.00087907-0.0005983i,-0.00020537-0.00064563i,-0.0010379-0.00062084i,-0.00069288-0.00030378i,-0.00049737+0.00011885i,-0.0001737-0.00040311i,4.6059e-05-0.00057571i,-0.00022322+0.00016658i,-0.00061129-0.00010016i,-0.00033742-0.00058529i,0.00026013-0.00028711i,0.00043402-0.00028025i,1.169e-05+7.1511e-05i,-0.00032425+0.00067388i,-0.00041228+3.9396e-05i,-0.00059764-0.00064803i,-0.00013427-0.00036432i,0.00062808-0.00030621i,0.00090028-0.00041563i,0.00063314+0.00013424i
0.00015264+0.00080942i,0.0018456+9.9119e-05i,0.0027183-0.00068627i,0.0018968-0.00060625i,0.0010268-0.00040761i,0.00065093-0.0008302i,0.00055352-0.0010501i,0.00024036-0.00050782i,9.8396e-05-8.5907e-05i,0.00016524+0.00036512i,0.00041203+0.00042559i,0.00066786-0.00035016i,0.00052828-0.00038629i,-1.4503e-05+0.0001132i,-9.1535e-05-1.0546e-05i,0.0004983-0.0002398i,5.4896e-06-0.00039112i,-0.00030343-0.00057736i,-9.2691e-05-0.00022746i,-1.3161e-05-0.00020024i,0.00058241+0.00052131i,0.0007625+0.00068561i,0.00037652-0.00019697i
-9.6119e-05+0.0006047i,-0.00055331-0.00077636i,0.00039822-0.0015389i,0.0013586-0.0014708i,0.00056666-0.0015528i,-0.0010071-0.0014189i,-0.0020066-0.00043147i,-0.0013601+0.00054294i,0.00037563+0.0012613i,0.00080386+0.0017157i,-0.00042122+0.00092025i,-0.00038466-0.00015886i,-0.00022843-0.00039107i,-0.00019906-0.00043635i,-1.7356e-05-0.00019126i,-0.00018323+2.0948e-06i,-0.00072737+0.00085162i,-0.0011815+0.0013974i,-0.00086436+0.00046214i,-0.00017367+0.00019523i,0.00029014+0.00084647i,-0.00018244+0.0010114i,0.00015553+0.00037452i
-0.00066873+0.00026311i,-8.0077e-05-0.00075411i,0.00020205-0.0010043i,-4.0253e-05-0.00074853i,-8.4919e-05-0.00044781i,-0.00018153-2.3714e-05i,-0.00050888+0.00014046i,-0.00095071+0.00035682i,-0.00059636+0.00037077i,0.00043433+9.2146e-05i,0.00029311+0.00046941i,-0.00022549+0.00070127i,0.00043914+0.00056545i,0.0008931+0.00090605i,0.00012891+0.00032256i,-8.5618e-05-0.00043183i,-1.2978e-05-0.00048401i,-3.5704e-05-0.00040693i,-7.0859e-05-0.00015518i,0.00013265-0.00051349i,0.00013663-0.00059305i,0.00027111+3.0051e-06i,0.0010119+0.00073692i
0.0014623-0.00019671i,0.0014774-6.011e-05i,0.0010446-0.00053483i,0.00066818-0.00074877i,0.00029508+0.00011402i,-0.0002696+0.001143i,0.00017689+0.00084251i,0.00070239+0.00043702i,0.00097425-0.00013222i,0.0010108-0.0010098i,0.00066536-0.00090247i,0.00020663-0.00051266i,-0.00014815+5.972e-05i,-0.00036514+0.00066856i,-0.00032769+0.00056172i,-0.00046329-0.00019655i,-0.00068341+8.9066e-05i,-0.00028822+0.00082005i,-0.00047873+0.00012819i,-7.6435e-05-0.00014607i,0.0012475-1.2282e-05i,0.0007054+0.00039715i,-0.00089419+0.00068768i
