-0.0005278+0.0011326i,6.9301e-05-6.9411e-06i,-0.0022562-0.00076194i,-0.0033681-0.00037935i,-0.0017031-0.00033026i,-0.00023576-0.00012989i,0.00079168+0.00074969i,0.001209+0.0010573i,0.00076205+0.00050948i,0.00059543+0.000622i,0.00077768+0.00067692i,0.001219-0.00017479i,0.00092317-0.00023865i,0.00012603-0.00023133i,0.00062612-0.00023243i,0.00091372+0.00032829i,0.00018936+0.00082097i,-6.5277e-05+0.00031293i,0.00051343-0.00012079i,0.00040894+0.000359i,0.00015214+0.00017301i,0.00049227+4.0145e-05i,0.00063132-4.2683e-06i
-0.0029749+0.00015936i,-0.0025549+0.00028692i,-0.0025457+0.00036058i,-0.0010494+0.00027589i,0.00092805+0.0007448i,0.0015385+0.001371i,0.00072671+0.00041026i,-0.00057679-0.0008545i,-0.00058588-0.00058735i,-7.4052e-05+0.00015465i,0.00038497+0.00075245i,0.00091038+0.0010965i,0.0014265+0.0018797i,0.00059797+0.001807i,0.00021997+0.00076382i,-3.8211e-05+0.00060042i,-8.9126e-05+0.00059602i,0.00038629+0.00067333i,0.00037894+0.00067371i,9.2833e-05+0.00027727i,7.7488e-05+0.00033149i,6.5506e-05+0.00025041i,-0.00025199-0.00031577i
-0.00070037+7.0162e-05i,-0.00039362+6.0342e-05i,-0.00024786+0.00060981i,-0.0010962+0.0005203i,-0.0017796+0.00027681i,-0.00087735+0.00012492i,0.00016145-0.00030429i,-0.00054349-0.0006156i,-0.00086528-0.00026446i,0.00018602-0.00013796i,0.00040168-0.00010843i,0.00018795+0.00059475i,0.00053589+0.00083902i,0.0013287+0.00045559i,0.0016652+4.0356e-05i,0.00058153-0.00025506i,-0.00066392-0.0010039i,-0.00076415-0.0006957i,-0.00069674+0.00038866i,-0.000659+0.00033959i,-0.00053898-0.00026459i,-7.1135e-05-0.00065271i,0.00021098+0.00043941i
-0.00019815+0.0016624i,-0.00065262+0.0015397i,-0.0001953+0.0017627i,0.001329+0.0014923i,0.0018395+0.00067468i,0.0014822-0.00067891i,0.00063012-0.0016582i,-0.00027071-0.0018224i,-0.0007041-0.0011595i,-0.00025355-0.00010268i,0.00037562+0.00042733i,0.0013468+0.00045343i,0.0019924+0.00034886i,0.0011959+0.00035525i,0.00056608+0.00064267i,0.00075007+0.0004121i,0.00014255+0.00029678i,-0.0010052+0.00025817i,-0.00045052+0.00026612i,0.00015879+0.00058131i,-0.00056679+0.00049318i,-0.0013254+0.00034741i,-0.0011701-0.0001999i
0.0014115-0.00045158i,0.0015097+0.00038214i,0.0018325+0.00076949i,0.0016341+0.0014166i,0.0009855+0.0018032i,0.00097349+0.0010204i,0.0009605-9.5458e-05i,-0.00022633-0.00053124i,-0.0014309-0.00044222i,-0.0017996+0.00060825i,-0.0014918+0.0010758i,-0.0013202+0.00063462i,-0.00040505+0.00021242i,0.0010507+0.00059194i,0.0011528+0.00090864i,0.00045115+0.00048976i,0.00043295-0.00016179i,0.00047876-0.00045129i,-0.00020334+0.00039077i,-0.00084885+0.0008743i,-0.00087669+0.00063465i,-0.00047711+0.00056854i,0.00014134+0.0004827i
-0.0019625-0.001129i,-0.0023058-0.0011662i,-0.0024439-0.0010413i,-0.0014632-0.00050682i,-0.0004451-0.00014863i,0.00044513+7.429e-05i,0.00041263-0.00033618i,0.00028672-0.00098839i,0.00028404-0.001332i,-6.1681e-05-0.00082317i,0.00080356+0.0002767i,0.001152+0.0011941i,0.00060834+0.0016412i,0.00064791+0.0015352i,0.0004844+0.00093704i,0.0002292+0.00026755i,0.00036046+0.00014445i,-3.9829e-05+0.00025845i,-0.0011338-0.00050688i,-0.0008615-0.0011072i,0.00036313-0.00061089i,0.0010969+0.00036629i,0.00029677-4.3554e-05i
0.00142+0.00037503i,0.0017275+0.0010668i,0.001384+0.0013114i,0.00053381+0.00051613i,0.00076022+0.00089174i,0.001144+0.001139i,0.0005226+0.00028129i,0.00043553-0.00054517i,-0.00019981-0.00042728i,-0.00065246+0.00026694i,-0.00022162+0.00025695i,-0.00023657+0.00030043i,-0.0004334+0.00086515i,-0.00032698+0.0010414i,0.00021443+0.00049889i,3.7456e-05+0.0003747i,-0.00068223+0.00011085i,-0.00070263-0.00054255i,-0.00017229-0.00044038i,-2.4089e-05+0.00010813i,-0.00052396+0.0004719i,-0.00056915+0.00076268i,0.00049614+0.00045269i
0.00037132+0.0023299i,0.0013916+0.0034967i,0.00097012+0.0029173i,0.0011526+0.00094701i,0.0015469-0.0004159i,0.0016221-0.0013295i,0.0015496-0.0014301i,0.00049359-0.00070043i,-0.00039697+0.00012981i,-0.00024851+0.00042112i,0.00024933+0.00015012i,0.0014725-1.5675e-05i,0.0023789+0.00024634i,0.0021615+0.0002383i,0.0015008-0.00036588i,0.00088994-0.00064806i,0.00020099-0.00015784i,-0.00043784-0.00034784i,9.9037e-06-0.00062407i,0.00061325+0.00020194i,0.00067319+0.00045273i,2.6298e-05-0.0002548i,-0.00020359-0.00099275i
-0.0021454+8.7584e-07i,-0.0025604-8.2133e-05i,-0.0023152+0.00017226i,-0.0020709+0.0011755i,-0.0012861+0.0014797i,0.00071091+0.0007075i,0.001296-8.7602e-05i,0.0003381-0.00037026i,-0.00024913+0.00027791i,-2.9199e-05+0.00096533i,0.00035855+0.00038451i,0.00055128+0.00020491i,0.00063674+0.00074479i,0.00020729+0.00084552i,4.8889e-05+0.00053899i,0.00035268+0.00027972i,0.00024377+0.00078341i,0.00036396+8.7817e-05i,0.00046366-0.00051113i,0.00058168-0.00047447i,0.00037211-0.00095756i,-0.00040765-0.0012399i,-0.00042017-0.00094294i
0.0028949+0.0023721i,0.0030837+0.0014968i,0.0026207+0.00047691i,0.0021042+0.00024817i,0.0011227+0.00049114i,0.00053351+0.00040347i,0.00054406-0.0005442i,-5.4029e-05-0.00085711i,-0.00023945-0.00072726i,0.00045428-0.00056331i,0.0011865+0.00026957i,0.0011136+0.0012898i,0.0008062+0.0017495i,0.00077952+0.0017563i,0.00033572+0.00088089i,0.00021976-0.00018093i,0.00028624+0.00012077i,-9.249e-05+0.00050382i,-0.000274+0.00055741i,-0.00011638+0.0007929i,0.00011977+0.00037331i,0.00037863-0.00019993i,0.0006689-0.00016203i
-0.00079785+3.2772e-05i,-0.00077226+0.00059125i,-0.001318+0.00115i,-0.0011529+0.00089482i,-0.00019627+0.00054489i,0.0010142+0.00016547i,0.0017021-0.00065112i,0.00043761-0.0010586i,-0.0010922-0.00044673i,-0.00073235+0.00040409i,9.8944e-05+0.0009727i,0.00038256+0.0012181i,0.0007108+9.4779e-05i,0.00040524-0.00058196i,0.00052615-8.0398e-05i,0.00016995+0.00061581i,-8.8616e-06+0.00090339i,-0.00026697-0.0001664i,-0.00046738-0.00080263i,0.00011575-0.00050964i,0.00039914-0.00038963i,-2.385e-05-0.00015314i,-0.00075915-0.00024651i
0.0025343+0.00074684i,0.0032112+0.00079039i,0.0027147-0.00057336i,0.0016025-0.0014967i,0.00030252-0.0012929i,-0.00053614-0.0010814i,-0.00046833-0.00096918i,-0.00071726-0.0010141i,-0.001123-0.0013569i,-0.0011638-0.0012774i,-0.00058285+0.00023613i,-9.9475e-05+0.0015132i,0.00037546+0.00094558i,0.0013154-0.00014852i,0.0017297-0.00055293i,0.0013179-0.00046498i,0.00061002-0.00046621i,0.00024691-0.0001233i,0.00010503-6.5427e-05i,-0.00010288-2.6223e-05i,-0.0004583+0.00048984i,-0.00070891+0.00046965i,-0.00067907-0.00057091i
-0.00010551+0.00013869i,-0.00025614+0.0013144i,-0.00028969+0.0012104i,0.00085662+0.00022646i,0.0018047+0.00028296i,0.0015745-0.00022545i,0.00047252-0.0011017i,-0.0011121-0.00089808i,-0.0020802+0.00012865i,-0.0007951+0.00054736i,0.0010139+3.8722e-05i,0.0013194-4.7066e-05i,0.001512-3.9937e-05i,0.0016777+7.6879e-05i,0.001093+0.00034664i,0.00084635+0.00052998i,0.00020871+0.00042552i,-2.8192e-05+0.00068165i,0.00025701+0.00060497i,0.0005119-0.0003353i,0.00033438-0.00069658i,8.5618e-06-0.00034535i,-0.00015239-0.00014429i
0.0011246-0.002657i,0.00047738-0.0021046i,-0.0010719-0.0019048i,-0.0016811-0.0011964i,-0.00026794+2.5486e-05i,0.00085452+0.0010158i,0.00079396+0.00040665i,-0.00018013-0.00025916i,-0.0008965-7.7331e-05i,-0.00097034-0.00048693i,-0.00093079-0.00026444i,-0.00052908+0.00042021i,0.00021449+0.00018404i,0.00044152+0.00011118i,0.0001246-0.00015263i,9.1428e-05+0.00028122i,0.00033165+0.0009474i,9.9498e-06+0.00091383i,2.6047e-05+0.00078333i,-2.0205e-05+0.00057759i,-0.00058247+0.0004537i,-0.00033547+0.00043329i,0.00039066+0.00027029i
-0.00021785-0.00049657i,0.00069662-0.0014804i,-0.00015891-0.0019939i,-0.00079931-0.0021411i,5.7971e-06-0.0016192i,0.00049134-0.00086533i,0.0004627-0.00088445i,0.00056436-0.0012449i,-0.00057153-0.0012103i,-0.00090023-0.0005534i,-0.00067779+0.00066311i,-0.00050087+0.0012258i,-0.00013473+0.00085331i,0.00029143+0.00045528i,0.00026169-0.00019649i,-9.1951e-05-0.0004961i,-9.3735e-05-0.00024016i,9.579e-05-0.00047037i,-9.9056e-06-0.00061136i,-7.5848e-05-9.8198e-05i,-0.00039722+0.00054989i,-0.00074764+0.00034308i,-0.00054818-7.6756e-05i
-0.0010713+0.00066667i,-0.0011381+0.0019253i,-0.00090895+0.0026293i,-0.00074576+0.0023676i,-0.00014474+0.0016277i,0.00090572+0.00055051i,0.00076869+0.00016593i,-0.00034721+0.00043735i,-0.00049542+0.00046827i,3.4322e-05+0.00049597i,-0.00011299+0.00042662i,0.00033391+0.00018264i,0.0010525+0.00086405i,0.00099117+0.00098353i,0.0011381-2.6515e-05i,0.0010913-0.0003493i,0.0010298+0.00032014i,0.00091176+0.00062539i,0.00018697-0.00039552i,-0.00079908-0.0011944i,-0.00069729-0.00065335i,1.6048e-05-0.0001463i,2.78e-05-0.00017537i
-0.0013816-0.0019967i,-0.0015024-0.0014582i,-0.00085758-0.0012427i,0.00017663-0.00047552i,0.0011735-0.00013614i,0.0012892-0.00057389i,0.00024232-0.0013054i,-0.00070832-0.0016698i,-0.00052266-0.00045952i,-6.0207e-05+0.0010212i,0.00093646+0.0012483i,0.0014425+0.0009456i,0.00086725+0.0011047i,0.00017113+0.00043688i,-7.7446e-05+0.00012049i,-8.2011e-05+0.00035415i,-2.1883e-05-0.00015814i,-0.0001074-0.00047512i,-0.00054322-0.0005725i,-0.00041386-0.00041835i,-1.1957e-05+0.00016816i,-7.8354e-05+6.7279e-05i,-0.00026287-0.00034297i
0.0013914+0.0016423i,0.0023008+0.0022411i,0.0027192+0.0031063i,0.0013646+0.0020837i,0.00044717+0.00072475i,0.00089832-7.366e-05i,0.0011128-0.00074388i,-0.00040083-0.0013646i,-0.0010515-0.0013039i,-0.0004572-0.00017639i,-0.00033625+0.00043841i,-0.00025228+0.00093633i,-0.00036005+0.0018509i,-4.7253e-05+0.0014243i,0.0004171+0.00074635i,-0.00029164+0.00034401i,-0.00082895-0.00026336i,-0.00032896-0.00066832i,-0.00031192-0.00037588i,-0.00077476+0.00039001i,-0.00087775-0.00024757i,-0.00029763-0.00032307i,0.00019353+0.00043128i
-0.0027774+0.00092224i,-0.0023178+0.0013411i,-0.0020471+0.0025296i,-0.0011758+0.0013217i,0.0011107-0.00022094i,0.0026892-0.00027135i,0.0021356-0.00025666i,0.00036356-0.00090413i,-0.0012517-0.00050657i,-0.00079103+0.00061797i,0.00057296+0.0015826i,0.00057395+0.0014774i,0.00070712+0.00078567i,0.00077996+0.00024648i,0.00054443-0.00046611i,0.00078255-0.00085376i,0.0005047-0.00016959i,0.00040655-0.00018193i,0.00037633-0.00029393i,0.00013608+8.7522e-05i,-5.7017e-05-0.00038165i,-0.00047991-0.00074858i,-0.00066592-0.00086046i
0.00049031-0.0017457i,0.00070673-0.001411i,0.00035832-0.0012944i,1.5571e-05-0.00055008i,-0.00037321-0.00021733i,4.4404e-05-0.00039885i,0.00044091-0.0011416i,-0.00022774-0.00187i,-0.0010521-0.00065712i,-0.0014713+0.00031993i,-0.00096602+0.00050556i,-0.00020141+0.0008641i,0.00011427+0.0012544i,0.00070703+0.0012146i,0.00037028+0.00038379i,-5.5554e-05-0.00031606i,-0.00030242-0.0007533i,3.6992e-06-0.0011845i,0.00074084-0.00062388i,0.00057531+5.6406e-05i,0.00082952+0.00026979i,0.00039548+0.00028424i,-0.0001393-0.00027255i
8.5299e-05+0.0010627i,0.0003097+0.00088112i,0.0003302+0.00096471i,0.0004744+0.00028248i,0.00023897-0.00019419i,0.00033616-0.00048791i,0.00036222-0.0017332i,3.161e-05-0.0019732i,-5.5731e-05-0.00079537i,-0.00056139-0.00020233i,-0.00033157-0.00031496i,0.00031669-0.00015537i,0.00099037+0.00028432i,0.0012104+0.00049668i,0.00067663+0.00049118i,0.00072309+0.00041215i,0.00083151+0.00079955i,0.00089699+8.5599e-05i,0.00033521-0.00066563i,-0.00021148-0.000148i,-0.00010892+0.00050455i,4.3898e-06+0.00041025i,-0.00025053+5.8101e-05i
0.00091661-0.00073495i,0.0003777-0.00066165i,0.00012371-0.0020098i,-0.00019166-0.0015567i,9.1381e-05-0.00023584i,0.0010729+5.1723e-05i,0.0017768-0.00083866i,0.0015759-0.0010833i,0.00046854-0.00064478i,-5.5167e-05-0.00026759i,0.00056491+0.00070828i,-0.00014147+0.0012271i,-0.00038801+0.00075081i,0.00038707+0.00040241i,2.709e-05+0.00028009i,-0.00031304-0.0002896i,0.00011392-0.00061652i,0.00079085+0.00030128i,0.00052097+0.0007894i,0.00018323+0.00017918i,0.00068289-0.00048614i,0.00077791+0.00012103i,0.00055044+0.0011335i
-0.0015665+0.0013959i,-0.00060329+0.00069243i,0.0013108+0.00064198i,0.0013578-0.00029194i,0.0011768-0.0012919i,0.00085935-0.00017653i,-0.00090995-3.7977e-05i,-0.0016797-0.00082769i,-0.0014535-0.00023541i,-0.00037478+0.00070691i,0.000816+0.00087058i,0.00051224+0.00054996i,0.00040865+0.00069141i,0.00065912+0.0015415i,0.0003005+0.0015654i,0.00016224+0.00079547i,0.00042182+0.00091025i,0.00062989+0.0003354i,-0.00010146-0.00034351i,-0.00087764-0.00026075i,-0.00034844+0.00011169i,0.00023256+0.00038609i,0.00028175+8.666e-05i
0.00094519-0.00099955i,0.001421-0.00074907i,0.0022176-0.0012917i,0.00088117-0.0009297i,-0.00020558+0.00053537i,0.00055106+0.00082717i,0.00064936+3.5079e-05i,-0.00012358-0.00044373i,-0.00085394-6.3652e-05i,-0.0011262+0.0012065i,-0.0007409+0.0013404i,-0.0004025+0.00093473i,0.00038761+0.0013169i,0.00030615+0.0009991i,-0.00046396+0.0004023i,-0.00058922-0.00015512i,-0.00015163-0.00048538i,0.00015627-0.00019156i,-0.00022099+0.00053468i,3.0833e-05+0.00050569i,0.00055313+0.00011477i,0.00062828-7.1067e-05i,0.00014081+0.00028249i
0.00096833-8.6528e-05i,0.0015301+3.3261e-05i,0.00063832+0.000307i,-0.0002318+0.00096362i,-0.00033334+0.0015833i,-0.00068785+0.0011669i,-0.00086848-3.3291e-05i,-0.001077-0.00092717i,-0.0011195-8.2928e-05i,-0.00035513+0.000191i,0.00056821-6.0162e-05i,0.00070616+0.0010834i,0.0002684+0.001349i,-0.00015412+0.0012188i,-0.00033433+0.0006283i,-6.87e-05+0.00098469i,0.00014051+0.0017964i,-0.00013364+0.0013836i,-0.00052327+0.0010925i,-0.00084863+0.0008567i,-0.0011012+0.0001082i,-0.0008164-8.8413e-05i,-9.4709e-06+5.8582e-05i
-0.00035113+0.0016637i,0.00049414+0.00057402i,0.00056802-8.2393e-08i,0.0011866+0.00025611i,0.0012594+0.00028526i,0.0012571+0.00038002i,0.0018339-5.1855e-05i,0.0014438-0.00082149i,0.00071866-0.00022313i,0.00035201+0.00054343i,0.00024312+0.00099814i,0.00034787+0.00099849i,0.00039438+0.0006471i,0.00014243+0.00033213i,3.1704e-05-0.00030166i,3.3449e-05-0.00037787i,-0.00022152-0.00085684i,-0.00058504-0.00065382i,-0.00074476+0.00033348i,-0.00039518+4.5334e-05i,0.00015482+0.00041111i,0.00064756+0.00061916i,0.00051695+1.6609e-05i
0.001428+0.0013313i,0.0014485+0.0014575i,0.0022181+0.0023994i,0.0015299+0.0013783i,-0.00011176-0.00040541i,-1.3523e-05-0.00086898i,0.00044209-0.0014128i,-0.00050739-0.0012798i,-0.00065135-0.00030395i,0.00047429+2.1663e-05i,0.00079145+0.00056867i,0.00069969+0.00085875i,0.001458+0.00052047i,0.0012007+0.00017224i,0.00032954-0.00035706i,0.00033768-2.3201e-05i,0.00046427+0.00056561i,0.00048348+0.0002716i,0.00016284-0.00011779i,7.9217e-05-5.6556e-06i,0.00026184-0.00011699i,0.00023111-0.00040667i,7.2488e-05+0.00012424i
0.0013412-0.0037168i,0.00048474-0.0034195i,-0.00076444-0.003279i,-0.00066346-0.0018519i,0.00047658-0.0001167i,0.0011249+0.00013403i,0.0011516-0.0006065i,0.00032272-0.0014471i,-0.00045473-0.0015379i,-0.0011005-0.00043432i,-0.00074083+0.00044465i,0.00099255+0.00051393i,0.001587+0.00022247i,0.00063323+0.00015971i,-0.00035843+0.00035862i,-0.00038673+0.00031233i,0.00028273-0.00030569i,3.4984e-06-0.0014378i,9.5518e-05-0.0011604i,0.00044078+0.00016582i,0.00047075+0.00012962i,-1.4563e-05-0.00019906i,-0.00068477-0.00017624i
0.00018525+0.0016375i,0.00054452+0.0013565i,0.0011431+0.0011466i,0.0010626+0.001109i,0.00029284+0.0012987i,0.00010029+0.0012316i,0.00021604+0.00048039i,-0.00038519-0.00042116i,-0.00041285-0.00020495i,0.00025157-6.2322e-05i,0.0002728+0.00051258i,0.00062566+0.0016365i,0.0012226+0.0021565i,0.00085007+0.0019268i,0.00066752+0.00065502i,0.00086338+0.00041509i,1.7292e-06+0.00069542i,-0.00040773-6.199e-05i,0.00030882-0.00011509i,0.00015089+6.5348e-06i,-0.00045203-5.0781e-05i,-0.00031737-0.00051586i,8.9954e-06-0.00077457i
-0.00051522-0.0013784i,-0.0013608-0.00056504i,-0.0032208-0.001371i,-0.0035567-0.0020498i,-0.0020596-0.0012694i,-0.00090798-0.00016163i,-0.00022551-0.00021862i,-0.00036957-0.00056229i,-0.0010006-0.00028701i,-0.00080193+0.00055132i,-0.00044939+0.00094715i,-0.00024578+0.0011907i,0.00069916+0.0018288i,0.0016733+0.00093427i,0.0013175-3.7153e-05i,0.0001861+0.00043333i,9.7686e-05+0.00037856i,0.00015577-0.0001767i,-0.00031188-5.7451e-05i,-0.00037108-0.00061684i,-4.7086e-05-0.00082487i,0.00044227+0.00013819i,-8.4132e-05+0.00049195i
0.0014221-0.00034002i,0.0010162-0.00024619i,0.0022502+0.00084338i,0.0022231+0.0017333i,0.0005965+0.0022871i,-0.00029211+0.00099472i,-0.00042113-0.00023099i,-0.00071215-0.00071873i,-0.00066002-0.00052047i,-0.0012986+0.00038918i,-0.00052485+0.00041051i,0.00075015+0.00069433i,0.00087307+0.0012685i,0.00062318+0.00082096i,0.00077579-7.624e-05i,0.000939-0.00023754i,0.00026292-3.2485e-05i,0.00072157+0.00046065i,0.00029646+0.00056123i,-0.00040231-0.000107i,-0.0002441+0.00024034i,-0.00011036+0.00036248i,0.0006766-5.7781e-05i
7.9399e-05+0.00099865i,0.0003053+0.00079303i,-3.1936e-05+0.00029735i,0.00028375+3.6486e-05i,0.00058463+0.00074035i,0.00042988+0.00049852i,0.00062255-0.00080135i,0.00045015-0.0015725i,-3.0841e-05-0.0012276i,-0.00079211-0.00043733i,-0.00046324-0.00018425i,0.0005281+0.00024604i,0.00030696+0.00083118i,7.2775e-05+0.0012777i,4.6297e-05+0.0010517i,-0.00081795+0.00055937i,-0.0012615+0.00054373i,-0.00037764+0.00036656i,9.7297e-06+0.00013844i,-0.00044897+0.00016486i,-0.0002809+0.00016882i,0.00016334+0.00019224i,0.00033671+0.00016872i
-0.00064235+0.0010059i,-0.00073586-0.00015356i,0.00072065+3.4307e-05i,0.0013129+4.1366e-05i,0.0011951-0.00025816i,0.0012669+0.00024652i,0.0013424+0.00025647i,0.00061724-0.00075091i,-0.00029115-0.0013733i,-0.00038959-0.00031778i,0.00063633+0.00036036i,0.0013986+0.0016482i,0.0010612+0.0018629i,0.00032439+0.00043976i,3.4823e-05-7.1348e-05i,-1.8855e-05-8.244e-05i,-3.2694e-05-0.0002564i,-8.0173e-05-7.4927e-05i,-0.00016794-0.00024713i,0.00051703-0.00085696i,0.0011113-0.0006252i,0.00088064-0.00042414i,0.000654-0.00054073i
