0.00051642+9.1668e-05i,0.00041183-0.00074838i,-0.00036105-0.0018024i,-0.00090814-0.0028372i,-0.0014696-0.0019187i,-0.0023873+4.855e-05i,-0.0020799+0.00093909i,-0.0010371+0.0011351i,0.00010427+0.00049977i,0.0005226-0.00025153i,0.00024383-0.0004665i,0.00016783-0.00029657i,-6.0823e-05+2.6541e-05i,0.00037025+2.9293e-05i,0.00079161-0.00023607i,0.00046514-0.00023863i,-0.0001643-0.00022063i,-0.00070339-0.00022826i,-0.00014003+0.00022986i,6.6287e-05+0.00058805i,-0.00095558+0.00059998i,-0.00094269+6.3161e-06i,-0.00035048-0.00029254i
0.0016315-0.00070426i,0.002171-0.00074342i,0.0021333-0.00069768i,0.0010509-0.00051711i,-0.00075393-0.00038442i,-0.0015402-0.00050739i,-0.0010321-0.0010863i,-0.00063066-0.00057868i,-0.00011612+0.0005436i,0.00011464+0.00088924i,-0.00017303+0.00048676i,-0.00034898+3.0702e-05i,-0.00019918+0.00042517i,-4.7849e-05+0.00069707i,-0.00043961-0.00013014i,-0.0013717-0.00026639i,-0.0014147-0.00033416i,-0.00014254-0.00074679i,0.00088122-0.0004723i,0.00087974-0.00045267i,-2.6613e-05-0.00049069i,-0.00031734-0.00029759i,3.6761e-05-0.00091729i
-0.0028412+0.0011059i,-0.00079013+0.0026566i,0.00070429+0.0041622i,0.001677+0.003788i,0.0018444+0.0020016i,0.00098774+0.00088993i,-3.8059e-05+0.00041789i,-0.00068078+0.00019382i,-0.00091341+0.00057817i,-0.00069292+0.0010297i,0.00041293+0.00063591i,0.00026389-0.00032318i,-0.00090518-0.00071661i,-0.0010113-0.00062098i,-0.00093549+7.7643e-05i,-0.0011893+0.00015212i,-0.00095088-0.00033148i,-0.00090647-0.00041542i,-0.0010463+0.00058263i,-0.00011872+0.00096294i,0.001146-8.7479e-05i,0.001277-0.00063107i,0.00053488-0.00068305i
0.0022335-0.00073658i,0.0012382-0.0012354i,0.0010563-0.0016138i,0.00052391-0.0012201i,-0.00045827-0.0010954i,-0.0007952-0.00089147i,-0.00011461-0.00039301i,0.00022015+7.0555e-05i,-7.4652e-05+0.00068544i,-0.00060742+0.00025167i,-0.00034019-0.00022595i,4.616e-05+0.00042645i,0.00031099+0.00069592i,0.00073326+0.00031756i,0.00066257-0.00016082i,-0.00022928-0.00029574i,-0.00029468-0.00017225i,1.7136e-05+0.00012314i,-0.00055743+0.00019015i,-4.5911e-05-0.00063029i,0.0011285-0.00035681i,0.00075144-2.3755e-05i,0.00018933-0.00061698i
0.00072011-0.00095483i,0.00083533-0.00090166i,0.00033162-0.0010619i,-0.00012102-8.7799e-05i,-0.00030766+0.00080803i,-0.00037271+0.0011042i,-0.00066212+0.00085549i,-0.00095959+0.0004082i,-0.00097909+0.0001342i,-0.00029944+0.00026125i,-0.00014336+0.0007303i,-0.00037119+0.00054861i,0.00048486+0.00036675i,0.00048898+0.00034379i,-0.00056842+0.00045817i,-0.0011238-0.00016021i,-0.0012545+0.00025995i,-0.00057924+0.0010507i,0.00079263+0.00029422i,0.00091748-0.00017824i,0.00032944+0.00042293i,0.00033996+0.00071648i,0.00047376+0.00019187i
0.0010764+3.0988e-05i,0.0009521-0.0011086i,0.0014002-0.0019945i,0.0013875-0.0022447i,0.00099977-0.0016363i,-0.00031347-0.00018415i,-0.00052149+8.9776e-05i,0.00036503-0.00051962i,0.0005156-0.00027106i,-1.0016e-05-0.00046551i,-0.00034673-0.00047922i,-0.00056447-0.0001144i,-0.00043389+0.00018762i,9.5278e-05+0.00078925i,-0.00032874+0.00090397i,-0.00091904+0.00046743i,-8.9885e-05+0.00026449i,0.00060435+0.00045932i,0.00062241+0.0002929i,0.00064162+0.00059045i,0.00030506+0.00076524i,-0.00028038+0.00039561i,-0.00056501+0.00016394i
-4.5701e-05+0.00022293i,0.0003007+0.0016465i,0.00089378+0.0018423i,0.0013088+0.00099433i,0.0012234+0.00029989i,0.0010493-0.00017416i,0.0012124-0.00017566i,0.00094429+0.00012259i,0.00050211+0.00045925i,5.5219e-05+0.00074769i,-0.00030397+0.00095894i,4.0385e-05+0.0010966i,0.00060295+0.000555i,0.00050642+0.00039681i,0.00040765+0.00021409i,0.00039368-0.0003396i,0.00016974-0.00010721i,0.00025834+0.00036996i,0.00050586+0.00034581i,0.0004819-0.000312i,0.00094201-0.00069395i,0.00090849-0.00040824i,5.6483e-05-0.00031401i
0.00056392+0.0031657i,0.0019769+0.0030523i,0.0031899+0.0025834i,0.0024302+0.0014893i,0.0014153-0.00034234i,0.0010631-0.0011285i,0.00092395-0.00042345i,-0.0002201+0.00053252i,-0.0011521+0.0017024i,-0.00058859+0.0018669i,-0.00059308+0.00093872i,-0.00080628+0.00024702i,-0.00089854+0.00036255i,-0.00094987+0.00064283i,-0.00074835+0.0010519i,-0.00046766+0.00058829i,-0.0010801+0.00058019i,-0.0013226+0.0006587i,-0.00027478-6.1907e-06i,0.00046563-1.3125e-05i,0.0011162-0.00010327i,0.00073196-0.00083515i,-0.00026416-0.001128i
-0.0010565+0.00023342i,-0.0012629+0.0012526i,-0.0021138+0.0030249i,-0.0012187+0.0029479i,0.00076359+0.001846i,0.0014831+0.00073301i,0.0006883-0.00040253i,-0.00019461-0.00011291i,-1.8495e-05-6.4602e-05i,0.00040224-0.00088578i,0.00049833-0.0012495i,0.0003331-0.0012883i,0.00025371-0.00075851i,-0.00058722+5.0572e-05i,-0.0010936-0.00014664i,-0.00057441-9.7222e-06i,-0.0008287+4.8273e-05i,-0.00073235-0.00022458i,-0.00023427+0.00053506i,-1.8177e-05+0.001058i,4.4388e-05+0.00020403i,0.00036134-0.00017721i,0.00011258+0.00072748i
0.00023565+0.0023728i,-0.00013452+0.0014524i,0.001686-0.00018172i,0.0017822-0.00069383i,-0.00025405-0.0012433i,-0.0018299-0.00069301i,-0.0012546+0.00079414i,0.00025011+0.00050873i,0.00054644-0.00015434i,0.00055329+0.00014704i,0.00030439+0.00067681i,-4.5132e-05+0.00053219i,-0.00055457+0.00036367i,-0.0007827+0.00046751i,-0.00044218+0.00019849i,-0.00046754-0.00027744i,-0.00050351-0.0005517i,-0.00012832-0.00057292i,-0.00015119-0.00049449i,-4.0371e-05-0.00089622i,0.00022606-0.00059588i,0.00063959+0.00072579i,0.001134+0.00093497i
-0.0004379-0.0029004i,-0.00080857-0.0028453i,-0.0022211-0.0024394i,-0.0024597-0.0010204i,-0.00095922+1.3375e-05i,-0.00089712+0.00094774i,-0.00089642+0.0010117i,-0.00026059-8.4066e-05i,0.00056041-0.0005193i,0.00083096+0.00028451i,0.00082034+0.00064495i,0.00050976+0.00052434i,0.00026221+0.00057253i,0.00011618+0.00095636i,8.6998e-05+0.00090641i,0.00031148+0.00089483i,0.00011203+0.00080505i,7.2227e-05+0.00019363i,0.0011624+0.00019781i,0.0015575+0.00027617i,0.00086767-1.9291e-05i,0.00060071-0.0002473i,0.00044888-0.00036693i
-0.00096182-0.0032119i,-0.00030626-0.0027179i,0.00019964-0.0020381i,-0.00026455-0.0010325i,-0.00084057-0.00034259i,-7.2996e-05+0.00018825i,0.00041298+0.00032636i,9.5268e-05+0.00021206i,-0.00025954+4.5687e-05i,-0.00051397+7.4881e-05i,-0.00021089+0.00038068i,0.00052612+0.00091942i,0.001068+0.00070313i,0.0012137-0.00024047i,0.00055821-0.00063049i,-0.0001271-0.0003158i,-6.0538e-05+0.00049842i,3.3483e-05+0.0006766i,-0.00016311+0.00043918i,-0.00014716+0.00050084i,0.00025245+0.00035483i,-8.7287e-05+0.00035473i,-0.00030721-7.7507e-06i
-0.00089507+0.0010458i,-5.8021e-05+0.0010079i,6.1966e-06+0.0016617i,-0.0003539+0.00094277i,-0.0005703-5.033e-05i,-0.00031264-6.1004e-05i,0.00057347-0.0005902i,-0.00039373-0.0005968i,-0.0013098-0.0003945i,-0.0010128-0.00026809i,-0.00058911+0.00046952i,-0.00049179+0.00017723i,-0.00044173-0.00079588i,0.00030791-0.00068008i,0.00035785+0.0010081i,0.00012523+0.00071439i,0.00018931+0.00019459i,-0.00042867+0.00060292i,-0.00028508+0.0003381i,0.00064892+0.00011661i,0.00079666+0.00019671i,0.00026794-0.00017456i,0.00021065-0.00028565i
-0.00029821+0.0033365i,0.00078186+0.0040712i,0.0025961+0.0040623i,0.0042657+0.0030977i,0.0038606+0.001541i,0.0018251+0.0004235i,0.00011694-0.00069664i,-5.1219e-05-0.00043257i,-9.3424e-05+0.00025132i,0.00010864+0.00064756i,0.00028876+0.00017624i,-6.8317e-05-0.0010438i,-0.00027517-0.00090407i,-0.0008843-0.00038345i,-0.0011995-0.0007326i,-0.00080944-0.00084031i,-0.00079566-0.00079903i,-0.00091721-0.00058605i,-0.00061787-0.00019156i,-0.00019551+7.7125e-05i,4.2915e-05+7.6127e-06i,0.00013856-0.00044585i,-0.00028264-0.00044851i
-0.0019946-0.00078256i,-0.00065702-0.0012699i,0.00038265-0.00082323i,0.0011013-6.6201e-06i,0.0011085+0.0002421i,4.9855e-08+1.3575e-06i,-0.00031107-0.00018796i,2.0869e-05+0.00016413i,0.00046341+0.00019381i,0.000625+0.00097355i,0.00043804+0.0007849i,0.00017037-0.00046258i,-0.00098041-2.3532e-05i,-0.0018705+0.00064292i,-0.0013936+0.00049187i,-0.00096766-2.9283e-05i,-0.00044033-0.0010615i,0.00024632-0.0016257i,0.00076816-0.00088116i,0.00091998+0.00014941i,0.00052297+0.00022773i,-5.6669e-05+0.00021664i,-0.00077387+0.00012429i
-0.0015465-0.0022711i,-0.0021319-0.00061733i,-0.0036953+0.0010081i,-0.003217+0.0015145i,-0.0014741+0.0017047i,0.00014875+0.001987i,0.00088111+0.0016674i,0.00044608+0.00082801i,4.4208e-05+2.2267e-05i,-0.00010193-3.3879e-05i,0.00014959-0.00011155i,0.00016694+5.7434e-05i,-3.2748e-05+0.00070924i,0.00011525+0.00023244i,0.0002208-0.00055687i,-4.219e-05-0.00049715i,2.3002e-05-0.00040236i,0.00077007-0.0001372i,0.001154+9.815e-05i,0.0010253-1.0821e-05i,0.00070677-6.536e-05i,0.00050196+0.00019057i,0.0004276+0.00014376i
0.001512-0.00036836i,0.0028524-0.0004225i,0.0034783-0.00054594i,0.0012567-0.0019728i,-0.00047663-0.0021491i,-5.773e-05-0.000693i,0.0012056+0.00017944i,0.001423+0.00038677i,0.0011729-8.3983e-05i,0.00079599+7.7797e-05i,0.00026592+0.00037242i,-1.535e-05+0.00019272i,0.00086595-7.9214e-05i,0.0014985+0.00072541i,0.00077479+0.00070284i,-0.00018511-0.00024482i,-0.00063894+0.00010155i,-0.00048741+0.0002974i,-5.5875e-05+0.0002999i,-9.5615e-06+0.00017759i,-0.00045678-0.00031294i,-0.00023245-0.00044529i,0.00034029-3.3581e-05i
-0.00022837+0.0015126i,0.00068431+0.001369i,0.0013531+0.0015984i,0.0023017+0.0014048i,0.0026772+0.00040966i,0.0021791-0.0001897i,0.0009924-0.00021808i,0.00031226-0.00018238i,-1.4772e-05-0.00011734i,-0.00061362-0.00020358i,-0.00078034-0.00075731i,-0.00016186-0.00088527i,2.1999e-05-0.00053228i,-0.00031647-0.00018308i,-0.00046767+0.00085923i,-0.00096137+0.0019158i,-0.0019767+0.0016836i,-0.0021267+0.001445i,-0.0011196+0.0012406i,-0.000257+0.00071338i,-0.00021456-1.2867e-05i,0.00023504-0.000267i,0.00066352-5.3904e-05i
-0.0030405+0.00359i,-0.00086347+0.0050883i,0.0023541+0.0056755i,0.0042394+0.0030403i,0.0041073+0.00041921i,0.0023406-0.00046531i,0.00086367-0.00070851i,0.00011477-0.00042704i,-0.00055067+0.00030856i,0.00034338+0.00078952i,0.0012316+0.00086379i,0.00017733-7.7087e-05i,0.00015442-0.00068689i,0.00022513-0.00057901i,-0.0007721-0.00021268i,-0.0016391-5.191e-05i,-0.0013487-0.00051303i,-0.00026226-0.0014759i,-7.4735e-05-0.0017151i,0.00039547-0.00069966i,0.00085655+0.00036147i,0.000534-2.3805e-05i,7.6787e-05-0.00079527i
-0.0025809+0.0009337i,-0.0019165+0.00098651i,-0.00069898+0.0038635i,0.00051056+0.0038197i,0.0016359+0.0020063i,0.0021268+0.00069754i,0.0016621-0.0005235i,0.0011803-0.00032498i,0.00031163+0.00062121i,0.00024387+0.001036i,0.0017768+0.00049822i,0.0017894-0.00051265i,0.00020418-0.00071481i,-0.00028548-0.00055585i,5.828e-05-0.00033716i,-0.00013381-0.00023228i,-0.00048098-0.00016271i,-0.00011666+0.00029954i,0.00042246+0.00036172i,0.00072492-0.00035959i,0.00076404-0.00097826i,0.00028064-0.00083236i,-0.00010479-0.00062684i
0.00060673+0.001459i,0.0006698+0.0015185i,0.0015928+0.0019219i,0.0026428+0.0017622i,0.0019621+0.00028232i,0.0014068-0.00083387i,0.0013702-0.0007442i,0.00071195+0.00017598i,-0.00056013+0.001022i,-0.00064591+0.00059264i,0.00010018-0.00054844i,0.00031385-0.0014419i,-0.0001671-0.0014231i,-0.0007069-0.0008031i,-0.00075976-0.00041077i,-0.00012149-0.00045915i,-1.0673e-05+0.00018869i,-0.00049396+0.00054919i,0.00044451+0.00030017i,0.0015522+0.00074239i,0.00096885+0.00081265i,0.00043654+0.00039408i,8.4292e-05+3.4237e-05i
-0.0014333+0.0011383i,-0.00075508+0.0025955i,-0.00011028+0.0021384i,-1.2204e-05+0.00025644i,-5.9355e-05-0.0013609i,0.00067651-0.0012572i,0.00028755-0.00073951i,-0.00043223+0.0001029i,-0.00041138+0.00041713i,-0.00033981+0.00060844i,-0.00033776+0.00076046i,-7.3483e-05+0.00055503i,-0.00025792+0.00098984i,-0.00019668+0.00078882i,6.1356e-05+0.00041013i,-0.00022904+0.0010517i,-0.00044341+0.0012911i,0.00019898+0.0010143i,0.00053714+0.00022482i,0.00027342-9.3269e-05i,0.00092556-0.00017297i,0.0005942-0.00061054i,-0.00016542-0.00056043i
0.001186+0.00043026i,0.0013253+0.00066651i,0.0021805+0.0011104i,0.0021184+0.00052267i,0.0009009-0.00039944i,-0.00034852-0.00025523i,-0.00018506-0.00021984i,-0.00025528-0.00061798i,0.00030238-0.00086316i,0.00069603-0.0007069i,0.00015815-0.00044502i,-0.00018647+0.00020335i,-0.0001954+0.00052597i,-0.0006131+0.00057913i,-0.0011305+0.00020904i,-0.00065158-0.00039601i,-0.00017808-0.0003026i,-0.00026367+0.00016142i,-8.1552e-05-0.00022824i,0.00028831-0.00088546i,0.0001893-0.0005724i,-0.00022666-0.00099463i,-0.00062876-0.001543i
0.0014223+0.0010487i,0.00066938+0.00072664i,0.0010608+0.00032433i,0.0011514-0.00019091i,0.00040544-0.00039977i,-0.00035147-0.00014984i,0.00011815-0.00026078i,0.00049425-0.0002794i,0.0002808-0.00018057i,0.00069015-0.00051491i,0.0012145-0.00037149i,0.0011531-0.00015951i,9.8753e-05-3.2146e-05i,-2.0461e-05+6.9924e-05i,-9.1915e-05+0.00071613i,-0.00072126+0.00098872i,-0.00060349+0.00045554i,-0.00047155+0.00026774i,-0.00061318+0.00076073i,-0.00014179+0.00067168i,0.00073653+0.00036441i,0.0011671+0.00046736i,1.4325e-05+5.8045e-05i
-0.00052393-0.0011584i,-0.0009469-0.00078207i,-0.00081345+0.00011614i,-0.00034989+0.00046783i,5.8412e-05+0.00028065i,7.1097e-05+0.00023353i,0.00018704+0.00026953i,0.0010834+0.00037976i,0.00091396-8.2357e-05i,0.00027666-0.00035501i,-4.9206e-05-9.6954e-05i,-0.0004498-0.00031647i,-0.0004045-0.00016688i,-0.00077154+0.00064276i,-0.00018648+0.00050719i,-7.941e-05+4.2286e-05i,-0.00045117-3.4283e-05i,0.00021367+0.00039974i,0.00030928+0.00075155i,-9.3117e-05+0.00031894i,-0.00021922+0.0002432i,-0.00054623+0.00032705i,-0.00035757+0.00080499i
0.0017485-0.0014238i,0.0021651-0.0013923i,0.002554-0.00061226i,0.0018977-0.00091828i,0.00078418-0.0013811i,-0.00021564-0.00081564i,-0.00016816-0.00022493i,-0.00034684+0.00046429i,-0.00090331+0.0013492i,-0.0010523+0.0012975i,-0.00091455+0.00033122i,-0.001356-0.0007529i,-0.0010581-0.00067398i,-0.00071761-0.00035146i,-2.072e-05-0.00019681i,0.00046812+0.00041995i,-0.00015375+0.00027906i,0.00012067+0.00014741i,-1.5689e-05+0.00070319i,-0.00078177+0.00059245i,-1.3423e-05+1.5107e-06i,0.00064097+3.8982e-05i,4.6521e-05+0.00013847i
-7.5181e-05+0.001698i,0.00065462+0.0025519i,0.0026552+0.0027013i,0.0020074+0.0011004i,0.00095843-0.00031748i,0.00099975-0.00024901i,0.00011538+0.00066252i,-0.0010842+0.00098434i,-0.00077175+0.00066766i,0.00023519+6.1355e-05i,0.00060627-0.00016645i,-0.00014708-0.00082051i,-0.00021435-0.001235i,-0.00021406-0.0011074i,-0.00056066-0.0013805i,-0.00031897-0.0010806i,-0.00080611+3.1462e-05i,-0.0010422+0.00038749i,-0.00065985+0.00045782i,0.00059603+0.0010887i,0.00083983+0.00099761i,-4.2461e-05+0.00046034i,-0.00045564-0.00035861i
-0.0011046-0.00051299i,-0.001666+0.0013881i,-0.0008319+0.0018624i,0.00086685+0.00068283i,0.0013179+0.0002444i,0.00082423+0.00030293i,0.001017+0.00038518i,0.00071591+5.1481e-05i,0.00014941-1.4437e-05i,0.00046776+4.6328e-06i,0.00063907+0.00022241i,6.0921e-05+0.00032072i,0.00032759+0.00059386i,0.00052758+0.00095101i,-0.00036135+0.00012022i,-0.00091638+2.1721e-05i,-0.00080025+0.00023831i,-0.00065008-0.00022442i,-0.0005922-0.00063069i,-0.00070111-0.00091101i,-0.00012872-0.0002615i,0.00027074+0.0002696i,0.00029528+3.5026e-05i
-0.00094124+0.0011432i,0.0011287+0.0013211i,0.00242+0.0017212i,0.002172+0.002511i,0.001977+0.0025082i,0.00090003+0.00031067i,0.00042899-0.0011396i,0.00011551-0.0012413i,-0.00017793-0.00054784i,0.0001623-1.6877e-05i,-0.00023071+0.0004376i,-0.00050837+0.00081021i,-0.00019514+0.0010295i,-8.1055e-05+0.00072482i,-0.00045964+0.00025726i,-0.00087905+0.00054617i,-0.0004424-0.00023364i,0.00065644-0.0016045i,0.0014412-0.0013074i,0.00027625-0.00046526i,-0.00066963-0.00035298i,-0.00018635-0.00018378i,0.00028329-3.5408e-05i
0.0003278+0.0013416i,0.00030214+0.00074874i,0.0017409-0.00016247i,0.002523-0.00065846i,0.0012191-0.00094504i,0.00022088-0.00046837i,0.00036691+0.00040595i,-3.6589e-05+0.0011183i,-0.0001702+0.0013556i,0.00062987+0.0012712i,0.00074007+0.00074816i,9.1911e-05+0.00089567i,-0.00043403+0.0010655i,8.6761e-05+0.0010865i,0.00079708+0.00098532i,0.00025965+0.00025205i,-0.00067721+0.00028429i,-0.0004575+0.00038517i,0.00057594-0.00018443i,7.6571e-05-0.00064753i,-0.00013383-0.0007921i,-2.6616e-05-0.00012743i,-0.00044512+0.00015367i
0.0018813+0.00092024i,0.0025438+0.00090844i,0.0033215+0.0010328i,0.0034073+0.00094319i,0.00147-0.00083124i,-0.00048713-0.0018403i,-0.00095182-0.0010145i,-0.00062658+0.00041589i,-0.00082555+0.00090641i,-0.00067062+3.4992e-05i,0.00010284-0.00053806i,-0.00034355-0.00018219i,-0.0015678+8.331e-05i,-0.0013083+0.00030394i,-0.00055754+0.00091136i,5.4098e-05+0.00113i,0.00040139+0.0012779i,-0.00041833+0.001521i,-0.00018328+0.00081619i,0.0011658-0.00073147i,0.0012169-0.00064801i,0.00041189+0.00016087i,-0.0010357+0.00062136i
-0.0025223+0.0016063i,-0.0022929+0.0037602i,-0.0015575+0.0033482i,-0.00054062+0.0028373i,-7.4106e-05+0.0023744i,0.00041167+0.00085413i,0.0005056-0.00030409i,4.8661e-05-0.00084235i,-0.00026805-0.00052709i,-0.00015921-0.00028662i,0.00071717-0.00064583i,0.00075945-0.000734i,0.00071452-0.00061024i,0.00089772-0.00067337i,0.00016971-0.00097483i,-0.00031169-0.00092346i,-0.00010562-0.00036539i,0.00026942+1.839e-05i,9.6514e-05+1.8527e-05i,-5.9112e-05+5.6839e-06i,0.00016827-0.00050692i,0.00019927-0.0011565i,0.0004533-0.0010027i
-0.0015363-0.003148i,-0.0022967-0.0019707i,-0.0025074-0.0011505i,-0.0013786-0.00053i,-0.00025368+0.00036518i,-0.00042265+0.0009i,-0.00018816-0.0006079i,0.00052328-0.0013364i,0.0015873-0.00041654i,0.0018188+0.00027118i,0.0012911+7.9966e-06i,0.00029579-0.00039807i,-0.0008927-0.00073587i,-0.00042514-0.00087391i,0.0001788-0.0004497i,-0.0003039-0.00037591i,-0.0006368-0.00066607i,-0.00022423-0.0004263i,-0.00046516-0.00075289i,-0.00069428-0.0011725i,0.00024679-0.00067035i,0.00080178-0.00060451i,0.00063096-0.0003621i
0.00042791-0.0011884i,0.00026169-0.0016i,-0.00057776-0.0018698i,-0.0004421-0.0005212i,0.00021825+0.0010396i,0.00038583+0.0006355i,0.00019676+7.6589e-06i,-3.6189e-05+0.00086222i,-0.00064067+0.0011628i,-0.0011259+0.00043799i,-0.00063142+0.00070331i,-0.00068284+0.00084822i,-0.0013977+0.00074931i,-0.00082278+0.00085662i,0.00033907-0.00019355i,0.0003511-0.00072683i,-0.00018361-3.3146e-05i,-0.0004552-0.00040657i,0.00054997-0.00082668i,0.00099737-0.00040369i,0.00077027-0.00028169i,0.00083676-3.9778e-06i,0.00016346+0.00039454i
0.00060296+0.0004211i,0.00035053-3.5139e-05i,-0.00011879-5.3476e-05i,8.7034e-05+0.00035229i,6.1344e-05+0.00054987i,-0.00033363+0.00058684i,5.9548e-05+0.00011178i,0.0004988+4.7488e-05i,-0.00038678-0.00034089i,-0.0011547+0.00015052i,-0.00095977+0.00023209i,-0.00041181-2.2327e-05i,0.00033853+0.001023i,0.00099834+0.0013652i,0.00059448+0.00080617i,-0.00034107+0.00082608i,-0.0011644+0.00064488i,-0.00081279+0.00049908i,0.0004307+0.00067573i,0.0012183+0.00072563i,0.00085082+0.00020001i,0.0002593-0.00057317i,0.00028107-0.00091875i
0.0026066-0.002454i,0.0024687-0.003638i,0.0020085-0.0041103i,0.0023868-0.0034729i,0.001342-0.0024769i,-0.00018056-0.0015174i,-0.00023407-0.0010174i,0.00052721-0.00021281i,-9.9099e-05+0.00056691i,-0.00066482+0.00064566i,-0.00013373+0.00056098i,-0.00044772+0.00053585i,-0.00081589+0.00072952i,-0.00040882+0.0012959i,-2.8026e-05+0.001304i,0.00014479+0.00040689i,0.00035318+0.00035467i,0.00039487+0.00018573i,0.00025868+4.2969e-05i,9.0371e-06+0.00035377i,-0.00014648+0.0003648i,-0.00036513-0.00012664i,-0.00016819-0.0013914i
0.0038096+0.0019414i,0.0039342+0.0018156i,0.0039659+0.00054385i,0.003565-0.00071898i,0.0012987-0.00092726i,-0.0011311-0.0017778i,-0.00068456-0.0019571i,0.00020084-0.00071375i,0.00046161+0.00085591i,0.0009661+0.00099438i,0.00068893+0.00033391i,6.4501e-05+0.00018979i,-0.00096136+0.00030936i,-0.0013086+0.00043703i,-0.0012854+0.00031479i,-0.0011499+0.0005446i,-0.0012955+0.00027897i,-0.001022+0.00042937i,-0.00035686+0.0010057i,-0.000322+0.00054257i,0.00022275-0.00038464i,0.00068216-0.00041939i,0.00094671-4.8218e-05i
9.5772e-05-0.0013577i,-0.00011154-0.0022386i,4.1653e-05-0.003134i,0.00036943-0.0019812i,-0.00029078-0.00094649i,-0.0014127-0.0010158i,-0.0016878-0.0011209i,-0.00054446-0.00093042i,-3.7319e-05-0.00051378i,-0.00020405-0.0004709i,0.00023531+0.00010375i,0.00041146+0.00098337i,0.00048506+0.0013699i,0.00088305+0.0002959i,0.00054032-0.00089839i,-5.5276e-05-0.0009639i,-0.00050497-0.00018652i,-0.00049811+0.00024026i,0.00066865+0.00011661i,0.0014365-0.00013308i,0.00082498+0.00012144i,0.00024447+0.00079414i,0.00033247+0.0014579i
0.00094561+0.0012888i,0.0025492+0.00037584i,0.0039088-0.00061896i,0.0033258-0.0027804i,0.001899-0.0034201i,0.0002604-0.0021032i,-0.00037762-0.0015865i,0.00013462-0.001432i,0.00069986-0.00072244i,0.0010852-0.00010637i,0.00025179-0.00065468i,-0.00036262-0.00089026i,0.00029363-0.00051791i,0.00055152-0.00027022i,0.0001846-0.00011611i,0.0006132-0.00098412i,0.00058728-0.00099508i,2.5863e-05-0.00020304i,0.00037865+0.00020195i,0.00042847+0.00055409i,6.9665e-06-0.00041705i,0.00024019-0.0007214i,7.5932e-05+0.00054131i
0.0019355-0.00081167i,0.002021-0.00011469i,0.0012309+0.0010598i,0.00070156+0.0020888i,0.00044695+0.0020816i,-0.00036205+0.0020161i,-0.00049903+0.0013029i,0.00066829+0.00028612i,0.001125-0.00042906i,0.00082714-0.00091293i,0.00031391-0.00090436i,-0.00044236-0.00067266i,-0.00048451-0.00087981i,0.00046391-0.00045197i,0.0011438+0.00028738i,0.00097767-3.7504e-06i,0.00068599-0.00019991i,0.00028784+0.0006281i,-0.00035148+0.0019707i,0.00023311+0.0015934i,0.0010763+0.0004735i,0.00058716-0.00058207i,7.8426e-05-0.0015611i
0.0019229+0.0024705i,0.0023476+0.0010722i,0.0034081-0.00071852i,0.0038844-0.0022772i,0.003147-0.0033463i,0.00085166-0.0026024i,-0.00073468-0.0013356i,-5.0193e-06-0.00048772i,0.0012826+0.00067269i,0.0015524+0.0010598i,0.00041948+0.00017222i,-0.00057363-0.00075647i,-0.001027-7.2904e-05i,-0.001215+0.0012171i,-0.00069176+0.0015093i,3.8592e-05+0.0014707i,0.00045423+0.00074065i,-0.00014132+0.00041123i,0.00018465+0.00033732i,0.00060689-0.00034521i,0.00031971-0.00035434i,8.9544e-05-8.771e-05i,2.9177e-05-0.00036776i
-0.0011656-0.00078529i,-0.0013963+0.0011405i,-0.0023392+0.0019467i,-0.0023679+0.00158i,-0.0016109+0.0014266i,-0.00057646+0.0014214i,6.6997e-06+0.00083201i,-0.00042595+0.00011259i,-0.0014055+0.00080366i,-0.0017009+0.0015074i,-0.00053679+0.00053268i,-2.6867e-05-0.00052706i,-0.0011216-0.00044338i,-0.0018669-0.00058726i,-0.0014097-0.00068222i,-0.00052879-0.00016146i,-0.00024589+0.00074273i,-0.00028028+0.0013321i,-0.00038494+0.0010573i,-0.0006071+0.0011233i,-0.00054998+0.00095319i,-0.00035599+0.00057967i,0.00072421+0.0011233i
-0.0030459+3.7945e-05i,-0.0021049-0.00024382i,0.0001248+0.00085054i,0.0016449+0.00079083i,0.0020794-0.00017688i,0.0024754-0.00083788i,0.0024209-0.00092019i,0.00081632-0.00124i,-0.00087862-0.00084206i,-0.0014081-0.00018262i,-0.0014715+9.9381e-05i,-0.0014075+0.00041664i,-0.00098542+0.0010111i,-0.00028387+0.0010278i,-0.00059005-0.00025879i,-0.0013866-0.00074986i,-0.0013268-0.00037484i,-0.0010365-0.00014714i,-0.00057622-0.00064353i,0.00012167-0.00079516i,-0.00014535-0.00061101i,-0.00086837-0.00029481i,-0.00089085-0.0001692i
-0.00048614+0.00074875i,-0.0013415+0.0014637i,-0.00056325+0.0021852i,0.0013815+0.0017063i,0.0019121+0.0010399i,0.0008108+0.00053178i,0.00044829+0.0004965i,0.00023712+0.00076305i,-0.00012041+0.00032741i,0.00022931+0.00036169i,0.00037939+0.0003532i,0.00031521+0.00026447i,0.00054092-0.00060749i,0.0015838-0.0014815i,0.0015083-0.0013466i,0.00021451-0.0017838i,-0.00028519-0.0020686i,0.0005797-0.0017039i,0.0011727-0.00095411i,0.00063447-0.00040644i,0.00035949+8.7953e-05i,0.00045481+0.00012857i,-0.0001086-0.00028312i
