0.00051642+9.1668e-05i,0.00041183-0.00074838i,-0.00036105-0.0018024i,-0.00090814-0.0028372i,-0.0014696-0.0019187i,-0.0023873+4.855e-05i,-0.0020799+0.00093909i,-0.0010371+0.0011351i,0.00010427+0.00049977i,0.0005226-0.00025153i,0.00024383-0.0004665i,0.00016783-0.00029657i,-6.0823e-05+2.6541e-05i,0.00037025+2.9293e-05i,0.00079161-0.00023607i,0.00046514-0.00023863i,-0.0001643-0.00022063i,-0.00070339-0.00022826i,-0.00014003+0.00022986i,6.6287e-05+0.00058805i,-0.00095558+0.00059998i,-0.00094269+6.3161e-06i,-0.00035048-0.00029254i
0.0015025+0.0031705i,0.0027211+0.0026221i,0.0038598+0.00062842i,0.0040024-0.00043848i,0.002464-0.00014914i,-0.00012083-0.00014152i,-0.00080637-0.00029793i,-0.00012871-0.00037368i,0.00067779-0.0001482i,0.001044-5.3819e-06i,0.00028414-0.00050828i,-0.00044067-0.00033393i,-0.0011365+3.5871e-05i,-0.0017236+5.1265e-05i,-0.0014615+0.00061327i,-0.00037291+0.001232i,0.00021915+0.00079012i,0.00032619+0.00092378i,0.00068053+0.00090604i,0.00037539+0.00038198i,-6.3424e-05+0.00099014i,1.4345e-05+0.0016587i,0.00029929+0.0014822i
0.0016796+0.00021074i,0.0015759-0.00067724i,0.00087226-0.0020484i,4.9568e-05-0.0017505i,-0.00094273-0.00084702i,-0.0016526+8.034e-07i,-0.00066433+0.00035991i,-0.00024885+0.0002445i,-0.000879-0.00062795i,-0.00028415-0.00046492i,-0.00011855+0.00017759i,5.6938e-05+0.00042766i,0.00023797+0.00042443i,-0.00011886+0.00042369i,-0.00027145+0.00066941i,-9.6646e-05+0.0006446i,0.00035196+0.00062731i,0.00087087+0.00070386i,0.00091655+0.00096623i,0.00057602+0.00046224i,0.00029683-0.00074493i,0.00054965-0.00079899i,0.00060793+0.00014603i
0.0011417-7.8392e-05i,0.0016754-0.0007952i,0.0022002-0.00089326i,0.0021611-0.00099863i,0.0012271-0.0018903i,0.00014706-0.0011631i,2.8752e-05-0.0003396i,0.00032601-2.8443e-05i,0.00095533+0.00062322i,0.0013527+0.00085882i,0.00042811+0.00060879i,-0.00070662+0.00018897i,-0.0012291-6.4292e-05i,-0.00075668-0.00015339i,-0.00042441-0.0001709i,0.00013619+0.00019296i,-0.00015318+0.00097073i,-0.00063169+0.00073059i,-0.00062013-0.00059372i,-0.00022652-0.0014997i,0.00074379-0.0012428i,0.00033994-0.00095077i,-0.00049689-0.00073191i
0.0003318+0.0010856i,-0.00052686+0.0010642i,-0.00049231+0.00045744i,6.3002e-05+0.0010085i,-0.00049451+0.0016686i,-0.00093221+0.00072652i,-5.4088e-05+0.00026175i,0.00066013+0.0001428i,0.00026714+0.0003154i,-0.00042077-0.00050087i,6.1826e-05-0.00082285i,0.00039145-7.4363e-05i,0.00057279-0.00014086i,0.00040882+0.000218i,-0.00016807+0.00049742i,0.00036448+0.00047059i,0.00069033+0.00088665i,6.9393e-06+0.00072914i,-0.00053239+0.00014742i,-0.00047828-0.00044035i,0.00051079-0.00039351i,0.00064349+0.00012822i,9.0402e-05-0.00071559i
-6.9783e-05-0.0011266i,-7.2233e-05-0.0010692i,0.00070178-0.0012441i,0.0017733-0.0011557i,0.0016906-0.00065359i,0.00067255+7.376e-06i,0.00025478+0.00028273i,0.00027408-1.2826e-05i,0.00022456-0.00032212i,2.858e-05-0.00054749i,-0.00041401+8.3486e-05i,3.9524e-05+0.00081578i,4.2346e-05+0.00020117i,-0.00012825-0.00052411i,4.6918e-06-0.00037252i,-0.00032633-0.00021447i,-4.4834e-05+0.00048102i,4.5058e-05+0.00046011i,-0.00037468-0.00080549i,-0.00043543-0.0013922i,0.00022385-0.00038309i,0.0009192+5.6858e-05i,0.00071165-0.00028776i
0.00069855-0.00057583i,-0.00034023-0.0017637i,-0.00043483-0.0017246i,-0.001101-0.00031761i,-0.0010105-0.00044042i,-0.00017961-0.00085262i,0.00041192-0.00011905i,0.00049654-2.8923e-05i,0.00032814-0.00081705i,-5.244e-05-0.00037735i,-0.00049138+0.00019192i,0.00025804-0.00029403i,0.0016504-0.000457i,0.0014448-0.00010035i,0.00024971+0.00012622i,0.00014539+0.00022187i,-0.00046071-0.00020273i,-0.00014384+0.00031729i,0.00062122+0.00078051i,-0.00016431+0.00033479i,0.00014247-0.0002699i,0.0010634-0.0001893i,0.00068711+0.00045456i
0.00033829+0.00064916i,0.00075805-0.0001022i,0.00045565-0.0014121i,0.00061944-0.0024105i,7.166e-05-0.0020268i,-0.00035531-0.00072784i,0.00032913-0.00036887i,0.00044579+6.1751e-05i,0.00062727+2.2977e-05i,0.00070174+9.0631e-05i,0.00018312+0.00030538i,-0.00030891+0.00023866i,-0.00064914+6.2996e-05i,-0.00051633+0.00028117i,0.00013684+0.00069827i,0.00023965+0.00043168i,0.00025249+0.00014986i,0.00017007-2.2295e-05i,-0.00013491-0.00061064i,0.00043176-0.00098316i,0.00097964-0.00043617i,0.00061004-0.00055491i,0.00046514-0.00063738i
0.00078382+0.00017534i,0.00069961-0.00058142i,0.00034965-0.0013616i,0.00046971-0.0012284i,-0.00013506-0.0010319i,-0.0013184-0.0010098i,-0.00095211-3.4793e-05i,0.0001049+0.00055404i,0.00066202+0.00088075i,0.00029704+0.0011272i,0.00018425+0.00095512i,-0.00034365+0.00073919i,-0.0010227+0.00073989i,-0.00033979+0.00074027i,7.9786e-05+0.00063881i,-0.0004971+0.00044762i,-0.001421+0.00023779i,-0.0016314-0.00041947i,-0.00083267-0.00043085i,-0.0003005+5.3898e-05i,-0.00067774-1.5844e-06i,-0.0012944-0.0001872i,-0.00090895+0.00010174i
0.0013945+4.9416e-05i,0.0011972-0.00086513i,0.00082148-0.001088i,0.0014647-0.00071478i,0.0013919-0.00050554i,0.00012691-0.00035428i,-0.00050595-0.00040633i,-0.00032244-0.00091201i,-0.00011951-0.00038563i,0.00017837+0.00033008i,6.4618e-05+0.00011434i,-0.00014987-0.00044734i,-0.00049277-2.7708e-05i,-0.00029398+0.00047215i,7.6232e-05+0.00047651i,-0.00010976+0.00053432i,-0.00033769+0.00051253i,-0.00089281+0.00029998i,-0.00045345+0.00070739i,-0.0002811+0.0010786i,-0.00059656+0.00028767i,-5.4467e-05-0.0006758i,0.00027525-0.00085703i
-0.0022775+0.0017513i,-0.0013123+0.0018774i,0.00015055+0.0019464i,0.00082357+0.0012539i,0.0011616+0.00074412i,0.0012138+0.00086778i,0.00075403+0.00071073i,-0.00022109-0.00010316i,-0.00076751-0.00033336i,0.00011708+0.00063944i,0.00051558+0.001155i,-0.00024291+0.00053531i,-0.00036417-0.00021374i,-0.00021737-0.00033898i,8.9913e-05-0.00045683i,3.4791e-05-0.00068583i,-0.00026215-0.00014841i,2.5572e-05+0.0006362i,0.00038868+0.00025605i,0.00017514-2.6989e-05i,0.00031262+0.00036694i,0.00055415-0.00084411i,0.00026038-0.001298i
