-0.0017667-0.0016252i,-0.0023791-0.0023627i,-0.0030184-0.0011926i,-0.0026558-0.00022766i,-0.00098712+0.00069526i,-0.00014998+0.0016017i,-0.00059269+0.0015648i,-3.4786e-05+0.0014938i,0.0014104+0.00063091i,0.00097313-0.00048752i,0.00055748-0.00083354i,0.00052679-0.0010024i,0.00042495-0.00038577i,0.00058979+0.0010307i,0.00014631+0.00095154i,-0.00014764-0.00016724i,-0.00040753-0.00039315i,6.5277e-05-4.5131e-05i,0.00097268-4.6687e-05i,0.001067-0.00022193i,0.00082358+0.00033467i,4.468e-06+0.00075926i,-0.00046054+0.00012258i
0.0018925-0.0015806i,0.0020146-0.0026582i,0.0016947-0.0026757i,0.0006739-0.0024853i,-5.7459e-05-0.0014019i,0.00018759+0.00048632i,0.00036906+0.0009745i,0.00068819+0.00066316i,0.0012135+0.00046439i,0.0008254+0.00023922i,4.0602e-05-8.7589e-05i,-0.00015125-0.00032653i,-0.00045017-0.00045294i,-0.00082692-0.00041101i,-0.00022071+9.6743e-05i,0.00054507-6.34e-05i,0.00073569-0.00030474i,0.00012406-0.00044304i,-0.00047687+0.00027175i,-0.00063748+0.00078655i,-0.0001769+0.0007045i,0.00047935+0.00026013i,-9.0334e-05-0.00017219i
-0.00084457-0.00097409i,-0.00018338-0.00053631i,-2.2778e-05+0.00039482i,-0.00022355+0.00024759i,-0.00083149-0.00013632i,-0.00058063-0.00013629i,-0.0001388-0.00030507i,0.00018069+0.00042174i,-0.00031775+0.00055577i,-0.00020765-0.00023365i,0.00051781+2.5181e-05i,0.00088991+7.6048e-05i,0.0011882-0.00016283i,0.00074131+7.808e-05i,4.215e-05+0.00050702i,-0.00010375-0.00031177i,-0.00017381-0.00050521i,-0.0004458+0.00036548i,-0.00073739+6.8477e-05i,-0.0011113-0.0006828i,-0.00054703-0.00041086i,0.00036252-0.00059782i,9.4284e-05-0.00026895i
0.00046793-1.0871e-05i,0.00089646-0.00067077i,0.0011981-0.00073561i,0.00092413-0.00021786i,0.00081973+0.0011643i,0.00080927+0.0016819i,9.2424e-05+0.00075071i,9.4874e-05+0.00062784i,0.00055567-8.3139e-05i,0.00066995-0.00077639i,0.00054833+0.00017822i,0.0007596+0.00081219i,0.00081633+0.00017915i,-0.00021688+0.00024051i,-0.00066744+0.00077617i,-9.2437e-05+0.00020137i,0.00040951-0.00013923i,0.00017542-0.00024778i,-0.00064068-1.4076e-06i,-0.0006908+0.00059084i,-0.00032899+0.00045216i,-0.00061909+0.0002836i,-0.00072623-0.0002306i
0.00060734-0.0016278i,-0.00045189-0.0025037i,-0.00088956-0.0033202i,-0.00070929-0.0019609i,-0.00030526-0.00021074i,0.00033397-2.0116e-05i,0.00077903-0.0003783i,0.00065506-7.2471e-05i,0.00076747+0.00053724i,0.00071657+0.0004071i,-0.00041837-1.8388e-05i,-0.00080281-0.00046753i,-0.00017113-0.00062336i,0.00035166+0.00031955i,-1.1841e-05+0.00086344i,7.1487e-05+0.0010992i,0.00069081+0.0010969i,0.00076829+0.00015672i,0.00061669-0.00045814i,0.0008174-4.8679e-05i,0.00057677+0.0002214i,-0.00033108+0.00023797i,-0.00036367-0.00027814i
-0.00029083-0.001031i,0.00043673-0.0012019i,0.00037291-0.00022338i,0.00039125+0.00081337i,0.0011992+0.0012019i,0.0013317+0.00086112i,0.00057162+0.00096186i,-0.00050923+0.0014501i,-0.00079266+0.0012159i,-0.00026464+0.0012233i,0.00029921+0.001179i,0.0002878+0.00087624i,-0.00017294+0.00057485i,-0.00049604+6.0759e-05i,0.00032966-2.2917e-06i,0.00075278+0.00077019i,0.00013554+0.00087552i,-0.00038624+0.00016134i,7.6879e-05+5.8495e-06i,0.0001815-0.00046649i,-0.00052899-0.00060249i,-0.00059566-0.00050639i,-0.00016418-0.00014849i
0.0009891-0.00086107i,0.00041688-0.0010402i,0.00062078-0.00082052i,0.0015646-4.7916e-05i,0.001275+0.001215i,0.00054782+0.0018216i,0.00056096+0.0011022i,0.0006557+0.0004766i,0.00028896+0.00030293i,-7.013e-05+0.00014304i,-0.00042386-0.00032357i,-0.00041676-0.00044108i,0.00017792-0.00016504i,-6.711e-05+0.00019573i,1.6695e-05-2.1918e-05i,0.00038195-0.00098929i,-0.00034032-0.0012312i,-0.00034945-0.00053962i,-3.5582e-05-0.0004644i,0.00029578+7.2868e-05i,0.00052127+0.00050226i,7.4881e-05+0.00013667i,0.00032595-0.00037608i
-0.00063384-0.00054344i,6.3048e-05-0.0010722i,-0.00067765-0.00075119i,-0.0013442-0.00063729i,-0.00060907-0.0002561i,0.00048325+0.00045862i,0.00097226+0.00047653i,0.00034715+0.0010209i,-0.00084746+0.0014748i,-0.00063363+0.0013414i,-9.6928e-05+0.00080091i,0.000102+0.00012003i,-0.00041412-0.00037253i,-0.0013391-0.00067828i,-0.00072446-0.00014582i,0.00048973-0.00014238i,0.00033156-0.0006063i,-7.5486e-05-0.0004267i,5.2047e-06-0.00027628i,-0.00017419-0.00018528i,1.5148e-05+0.00055733i,-0.00010894+0.0012318i,-0.00056738+0.00082366i
0.00084682+0.00014948i,-6.9602e-05+0.00027354i,-0.00010039-6.5087e-05i,0.0010816-0.00069238i,0.00091674-0.00021846i,-6.813e-05+0.0005095i,-0.00048129-3.1311e-06i,-0.00031288-0.00039177i,0.00032239+3.7755e-05i,-7.6605e-05+9.7754e-05i,-0.00091798-0.00021813i,-0.00042684-0.00069319i,0.00039355-0.00050856i,2.1469e-06-6.6427e-05i,-0.00021375-0.00051626i,0.00015242-0.00024354i,-0.00021221-0.00021474i,-0.00067784-0.00039477i,-0.00073643+0.0002263i,0.00029927+0.00051364i,0.00059504-0.00024226i,-0.00026084-0.00044108i,-0.00013044+1.5921e-05i
0.0011209-0.0033889i,0.00029084-0.004682i,-0.00084494-0.0038433i,-0.00061714-0.0022612i,0.00033326-0.0004332i,0.00072087+0.0012013i,0.001002+0.0013566i,0.0010479+0.0013098i,0.00077239+0.00072339i,0.00041786+0.0001271i,0.00023698+0.00040302i,-3.5122e-05+0.00034387i,0.00040241+0.00049233i,0.00065787+0.00061172i,-6.1975e-06+0.00042915i,-0.00031701-0.00012876i,-1.2416e-05-0.00090543i,-2.924e-05-0.00071116i,-0.00034361-0.00070596i,-0.00027024-0.00020899i,0.00020318+0.00027447i,0.00057884+8.5345e-05i,5.9352e-05+0.00030235i
0.00073797-0.0012502i,0.00043409-0.00099791i,-0.00060515+0.00025277i,0.00040863+0.00081555i,0.0018805+0.00085726i,0.0018752+0.0003611i,0.0016304-0.00042069i,0.00088835-0.00038668i,0.00012399+0.00043855i,0.00036217+0.00056174i,0.00053324-0.00018642i,0.00048398+8.8091e-06i,0.00010342+0.00032399i,0.00030785-0.00010352i,0.00039921-0.00017571i,1.1402e-06+0.00045698i,5.8523e-05+0.00022513i,0.00017663-0.00056802i,-0.00052809-0.00068836i,-0.00080714-0.00058887i,-0.00036874+0.00032076i,-0.00049443+0.0011299i,-0.00062969+0.00094284i
0.00069493-0.00060219i,0.0003156-0.001085i,-0.0010597-0.0012172i,-0.00098156-0.00059827i,-0.0005505+0.00028762i,0.00010707+0.00059201i,0.00028394+0.0010287i,0.00010999+0.00042494i,-0.00032788+0.00056785i,-0.00078248+0.0011048i,-0.00057196+0.00032824i,-0.00034019-4.8782e-05i,0.00010299+0.0008241i,0.00036814+0.00026804i,-0.00037632-0.00064868i,-0.001221-0.00070691i,-0.0011643-0.00085249i,0.00048294-0.00049833i,0.00128-0.0002871i,0.00032889-0.00047845i,-0.00018982-0.00054867i,-0.00042296-0.00010003i,-0.00039446+0.00071115i
0.00045418+0.00015455i,-0.00060824+0.0011081i,-0.0010804+0.0016807i,1.0574e-05+0.0013067i,0.0010708+0.00063048i,0.0019301+0.00019372i,0.0013413+0.00023484i,0.00041035+0.00051364i,-0.00023832+0.00032641i,-0.0010835+3.6489e-05i,-0.00081398-0.00021402i,0.00013609-0.00015103i,0.00066663-0.00019784i,0.00084495-0.00078875i,0.00066509-0.0010652i,-0.00024931-0.00019561i,-0.00081663+0.00064991i,-5.0436e-05+0.00054227i,-0.00011001-0.00014677i,-0.00069217+5.3853e-05i,-0.00042014+0.00057113i,-0.00012771+0.00026966i,-8.0384e-05-0.00026186i
0.0015654-0.0024634i,0.0017671-0.0035714i,0.00091105-0.002938i,0.0002766-0.0010681i,-0.0002958-0.00030457i,-0.00039607-0.00024582i,0.0004074+0.00034856i,0.00030405+0.0006075i,-0.00013512+0.00033276i,0.00039748-0.00021425i,0.00061627-0.0011496i,-1.2261e-05-0.0013481i,-0.00060568-0.00097992i,-0.00073462-0.00025279i,-0.00063025+0.0005423i,-0.00086111+0.00035791i,-0.00065358-0.00029845i,-0.00012033-0.00046679i,0.00018781-0.00014564i,0.00080824+3.2453e-05i,0.00062193-3.4113e-05i,-0.00045227+0.00031183i,-0.00075747+0.00010159i
-0.00017404-2.2786e-05i,-0.00092876+0.0001602i,-0.0019044-0.00076686i,-0.0011051-0.0011285i,7.8438e-05-0.0005399i,0.0011173+0.00021193i,0.0010653+0.00083174i,0.00049556+0.00046317i,0.00043245+0.00054533i,0.00067063+0.00099991i,0.0011111+0.00065393i,0.0011638+0.00037902i,0.0009518+0.00012844i,0.00074274-0.00034959i,0.00059172-0.00055336i,-2.142e-05+0.00010649i,-0.00019514+0.00080273i,0.00069083+0.001003i,0.00079155+0.00050487i,0.00060358+0.00018808i,-0.00030962+3.8678e-05i,-0.0012871-4.3534e-05i,-0.00087877-0.00020306i
-0.00067883-0.00094108i,-0.00055123-0.00052485i,4.1585e-06+0.0002093i,0.0012808+0.00088923i,0.00087637+0.0014501i,-0.00012241+8.1147e-05i,0.00035686-0.00078701i,0.00085263-0.00016776i,0.00090466+0.00010757i,0.00069174-0.00051065i,5.9982e-05-0.0005016i,0.00013654+0.00025557i,0.00011645+0.00040585i,-0.00020469+0.00022462i,-0.00036494+0.00023172i,-0.00071178-0.00012531i,-0.00064297+0.00020819i,-0.00030218+0.00090491i,-9.4541e-05+0.00088073i,0.00028983+0.00091739i,0.00020066+0.00067776i,-0.00025695-0.00026249i,-6.5436e-05-0.00030694i
0.0025545-0.0032403i,0.0024918-0.0037284i,0.0016386-0.0033124i,0.00093623-0.0018361i,0.00056021-0.00018511i,0.00057358+0.00073623i,0.00074486+0.00079171i,0.0013662+0.00077754i,0.00095925+0.00050342i,-0.00078896-4.3672e-05i,-0.00026936-0.00031406i,0.00062089-1.2594e-05i,0.00050329+0.0012874i,0.00011269+0.0020421i,-0.00015369+0.0019992i,0.00033923+0.0017749i,0.00016088+0.0013452i,-0.00010813+0.00056981i,0.0009641-0.00029433i,0.0012906-0.00063481i,0.00063951-0.00030406i,0.00025683+0.00020181i,-0.00027725+0.00083939i
-0.00087627+0.0016313i,-0.00090533+0.00084455i,-0.0018472+0.0014548i,-0.0013539+0.0011607i,-0.00013532+0.00048736i,0.0010918+5.4712e-05i,0.0014334+0.00028057i,0.00039513+0.00041189i,3.4915e-05+0.00084802i,-0.00015237+0.0013175i,-0.00025196+0.00048307i,-0.00052045-0.00039439i,-0.00041038-0.0011048i,0.00071371-0.00096566i,0.00057683-0.00037662i,-0.00015894-0.00015464i,-0.00016066+5.0701e-05i,0.00013349+2.8679e-05i,2.2661e-05-0.00010606i,-0.00055471+3.0882e-05i,8.0117e-05+0.00027133i,0.00058209-6.6057e-05i,0.00024539-2.9582e-05i
-0.0011529+0.0007894i,-0.0006014+0.00080874i,0.00010176+0.0010178i,0.00029235+0.0013174i,0.00043183+0.0001462i,0.00055718-0.0005289i,0.00012402+7.4248e-05i,-0.00066643+0.00013534i,-0.0003524-9.1286e-05i,0.0012409-0.00071124i,0.0017753-0.00071008i,0.0015228+0.0002927i,0.00099463+0.00079043i,0.00015684+0.00091949i,-4.7602e-06+0.00054952i,0.00026283+0.0010438i,0.00030709+0.0016613i,0.00016345+0.00082681i,-0.00012572+0.00031877i,-0.00092014+0.00011463i,-0.00045749-0.00010587i,0.00099569+0.00069709i,0.00069834+0.00097284i
0.0022163-0.0030173i,0.00083392-0.003555i,-0.0010689-0.0033765i,-0.00079103-0.0016465i,0.00010804+0.00092921i,0.00073059+0.0019617i,0.00092411+0.0013244i,0.00046157+0.00091404i,0.00017615+0.00054027i,-0.00016964+0.0005826i,0.00025392+0.00037021i,0.00089628+0.0001455i,0.00054285+0.00029437i,0.00043391+0.00041449i,0.00013948-0.00012311i,-0.00056517-0.00044029i,-0.00103+0.00038089i,-0.0011203+0.00045886i,-0.00019155-0.00034002i,0.00079452-0.0007041i,0.00024631-0.00032127i,-0.00011175-0.0004076i,-0.00012525-0.00080719i
0.0011834-0.0014284i,0.00043261-0.00164i,-0.0002458-0.00013054i,-0.00033003+0.00082138i,0.00017671+0.00063748i,0.00064466+0.00025976i,0.00070078-9.3571e-05i,0.00085427-0.00057891i,0.001277-0.00033324i,0.001372+0.00074548i,0.00069055+0.0012346i,-0.00043444+0.0012356i,-0.00084949+0.00031219i,-0.00099808-0.00059951i,-0.0011725-0.00071084i,-0.00048935-0.00039705i,9.4823e-05-0.00038437i,-0.00029155-0.00068069i,-0.00092879+0.00011261i,-0.00088462+0.00079014i,-0.00047237+0.00030448i,0.00010653+0.00042379i,0.00042346+0.00089131i
0.00045085+0.00042456i,0.00032378+3.1627e-05i,0.00133-0.00068066i,0.00079437-0.00069268i,2.8738e-05-1.5417e-05i,-0.00036059+0.0011327i,0.00038841+0.0015543i,0.0015707+0.00070652i,0.0010833+0.00076779i,7.3752e-05+0.00085434i,-0.00050166-0.00015363i,-0.0012272-0.00068663i,-0.001054-0.00078404i,-0.00054237-0.0002319i,-0.00056269-7.8707e-05i,-0.00072899-0.00077499i,-0.0010449-0.00069046i,-0.00072022-0.00040094i,-4.1005e-05-4.8673e-05i,0.00020063+0.00026724i,0.00068639-8.8561e-05i,0.0011648-0.00069555i,0.00081725-0.00071602i
0.0012264-0.00086931i,0.00057073-0.0012612i,-0.0010335-0.0016328i,-0.00064317-0.00078037i,0.00023453+0.00061497i,0.0004224+0.0014552i,0.00038515+0.0014743i,0.00075187+0.00075014i,0.00050636-9.5597e-05i,-0.00022586-0.00022661i,-0.00088582+9.6865e-05i,-0.0005359+0.00022747i,-8.2477e-05+0.00057483i,0.00029871+0.00039532i,0.00063084-0.00011416i,0.00025184+0.00011347i,-0.00033524-0.00024206i,-0.00076171-0.00025579i,-0.00048172+0.00073814i,-0.00016607+0.0007914i,0.00013856+5.8295e-05i,0.00010466-0.0006024i,8.1092e-05-0.00094879i
0.0014684-0.001846i,0.00068011-0.0018076i,-0.00034053-0.0012443i,-0.0011156-0.0003939i,-0.0013134+0.0003193i,-0.0007389-1.8447e-05i,9.8178e-06-0.00033462i,0.00015737+2.6553e-06i,4.3059e-05+0.000471i,0.00053242-0.00031423i,0.0011065-0.00079741i,0.00074192-0.00048298i,0.00032847-0.00060426i,3.0488e-05-7.6026e-05i,-0.00071866+0.00075735i,-0.0005949+0.00082664i,4.5301e-06+0.00011346i,-4.1875e-05+0.00010992i,0.00014074+0.00012233i,0.00051538+0.00016086i,0.00066255+0.00047982i,0.00094522+0.00070187i,0.0012963+0.00058327i
-0.00097169-6.5815e-05i,-0.001573+0.00023723i,-0.0007221+0.00017579i,-0.00025465+6.8944e-05i,5.4421e-05-5.2381e-05i,-0.0006542+0.00040894i,-0.0013707+0.00057688i,-0.00086189+0.0010457i,3.7012e-05+0.00055635i,0.0007694-0.00043405i,0.00049563-5.9893e-05i,-0.00037021-9.6906e-05i,-0.00042189-0.0010603i,0.00028186-0.0011255i,0.00043507-0.0010552i,0.00040598-0.000324i,0.00044958+0.0007637i,0.00037003+0.00074921i,-0.00010278+0.00084174i,-0.00031449+0.00074834i,-9.9196e-05+0.0002583i,0.00019039-6.3082e-05i,0.00090422-0.00040158i
0.00050261-0.0011349i,0.0013809-0.0011598i,0.0019335-0.0015007i,0.0014638-0.0016876i,0.001393-0.0011606i,0.0016993-0.00018019i,0.001362+0.00036487i,0.00060307-0.00019622i,0.00058967-0.00035531i,0.00080661+0.0004987i,0.00082107+0.00029669i,0.00070429-4.2842e-05i,6.9144e-06+0.00013804i,0.00021181-0.00025177i,0.00062984-0.00066674i,0.00064568-0.00060335i,0.00026384-0.00013801i,-0.00037298+0.00050692i,-0.0002839+0.0001298i,0.00010059-0.000103i,-0.00019274-0.00013657i,-0.00044824-0.00078502i,0.00036242-0.00075075i
0.00082064+0.00031949i,0.0013226-0.0010645i,7.063e-06-0.00105i,-0.00059015-0.0002714i,-0.00026462-0.00015916i,-0.00038108-0.00016045i,-0.00032653+0.00010504i,0.00018634-8.8534e-05i,0.00041588+0.00071312i,0.0006151+0.0013303i,0.00019392+0.0010128i,-0.00052538+0.0013009i,-0.0001598+0.00088267i,0.00014473+0.00058876i,-0.00021557+0.0012022i,0.00046986+0.00076348i,0.00074336+0.00043157i,0.00039917+0.00026208i,0.00043335+0.00011472i,0.00059753+7.8035e-05i,-0.00016587-1.7267e-05i,-0.00041706-0.0002054i,1.4908e-05-0.0012754i
0.00081979-0.00058953i,0.00068049-0.00060673i,0.0010513-0.0010219i,0.00081786-0.00094047i,0.00032509-6.0376e-05i,-6.8013e-05+0.00035601i,0.00018949+0.00071147i,0.00028273+0.00049214i,0.00020172-1.6972e-05i,-0.00050922+2.2668e-05i,-0.00081933-0.00063215i,0.00015918-0.0012685i,0.00038645-0.00038853i,-9.9389e-05+0.00011805i,-0.00081163-0.00015468i,-0.00063808-0.00047356i,-2.35e-05-0.00067474i,0.00080931-0.00076646i,0.0011035-0.00084634i,0.00061506-0.00039936i,6.4674e-05+0.00010964i,-0.00013715+0.00061957i,-0.00016849+0.00072028i
6.2149e-06-0.0017419i,0.00037715-0.0025585i,0.00063597-0.0027193i,0.00065065-0.0020279i,0.0013028-0.0012925i,0.0019443-0.00088681i,0.0014015-0.00093008i,-4.3818e-05-0.00070542i,-0.00049063-0.0002491i,-0.00044839-0.0002793i,-0.00028637-0.00049076i,-0.00048169+2.1023e-05i,-0.00031138+0.00029892i,0.00031138-0.00018898i,0.00056691-0.00087328i,0.00013703-0.00078061i,-0.00075316+0.00034611i,-0.0012146+0.00045706i,-0.00089021+0.0002805i,-1.0541e-05+0.00057011i,0.00087859-0.00012002i,0.00093417-0.00087993i,0.00028773+2.243e-05i
