-0.00033285+0.00045874i,0.0006476+0.00040504i,0.00036974-0.00082445i,-0.00020269-0.00062245i,0.00014082+0.00081555i,0.00081668+0.0020617i,0.00053535+0.0013675i,0.00067629+0.0010263i,0.00088007+0.0013814i,0.00024396+0.0010076i,-5.0723e-05+0.00057577i,0.00025174+0.0002791i,0.001157-0.00026024i,0.0017983+0.00019424i,0.00089876+0.00090881i,-0.00012143+0.0011211i,-0.00044719+0.00076727i,-6.6861e-05+0.00045665i,0.00011059+0.00075556i,-0.00025453+0.00069706i,-0.00071019+0.00041957i,-0.00068494+0.00054301i,-0.00058313+0.00032691i
-0.0017108-0.0020653i,-0.0016928-0.0022432i,-0.0013875-0.0010392i,-0.00034451-0.0005415i,0.00025104-0.00017754i,-0.00043715-0.00077755i,-0.00018339-0.00054058i,0.00049164+0.00066244i,0.00053696+0.00059343i,0.00029426+0.00060004i,0.00012406+0.0010876i,-0.00017734+0.00090496i,-0.00055077+0.0007863i,-0.00065445+0.00033716i,-0.00010767+8.4873e-05i,0.0006172+0.00057126i,0.00046336+0.00055387i,-4.1916e-06-1.9088e-05i,-9.2704e-05-0.0015034i,0.0001568-0.0013926i,0.0002342-1.0389e-05i,0.00038375-0.0003988i,0.00055078-0.00091063i
0.00071834+0.0019878i,-0.0007943+0.002225i,0.00034274+0.0020154i,0.00077158+0.0016516i,0.00011676+0.00047698i,-0.00026296-0.00015086i,-0.0005217+0.0004804i,-0.00031679+0.00098782i,-0.00047333+0.00049229i,-0.00016676+9.3924e-05i,0.00017608+0.00010317i,0.00017324-0.0001177i,0.00037152-0.00061138i,0.00071087-0.0010635i,0.00062151-0.00080953i,-6.0379e-06-0.00063524i,0.00015723-0.00016886i,0.00074277+0.00042893i,0.00064674+0.00053191i,4.1144e-06+0.0003216i,0.00017353+0.00036221i,0.00067517+0.00010955i,0.00074182-0.00020967i
-0.0011111+0.0019433i,-0.0018722+0.0031594i,-0.00095564+0.0034971i,0.0012448+0.002375i,0.0015929+0.0013787i,3.7646e-05+0.00089102i,-0.0014197+0.00042119i,-0.0012747-0.00062666i,0.00020013-0.00046202i,0.00055011+8.409e-05i,0.00028197-8.1764e-05i,-0.00013592-0.00020727i,-0.00027718+0.00010776i,-3.6645e-05+0.00020623i,0.00072745-0.00046764i,0.0011237-0.0011785i,0.00051201-0.00058929i,-0.000148+0.00059945i,-0.00035264+0.00035262i,4.311e-05-0.00059725i,0.00050764-0.00037223i,0.00049107+7.6685e-05i,0.00017916-3.2333e-05i
-0.0014216-0.00091412i,-0.00013841-0.00036342i,0.00026767-0.00040492i,0.00020079+0.00019768i,-1.1932e-05+0.00085199i,-0.00061272+0.001019i,-0.00057154+0.00012401i,-0.00012715-0.00045405i,-0.00019944-0.00010145i,-0.00059766+0.00014737i,4.0349e-05+0.00035723i,0.00032464+0.00012335i,0.00060314-0.00030621i,0.00093694+0.00030926i,0.00055016+0.0011997i,0.00039705+0.0011285i,-0.00022004+0.00028109i,-6.532e-05+0.00010479i,0.00042581+0.00047898i,1.0752e-05+0.0007805i,-0.00033968+0.00052675i,-0.00070635-0.00040101i,-0.00086672-0.00095781i
0.0020363+0.00070942i,0.0011573+0.0014813i,0.0011495+0.0004561i,0.0013767-0.00084484i,0.0013493-0.00068695i,0.00033521+9.9324e-06i,-0.00069968+0.00036716i,-0.00048173+8.2237e-05i,-6.5574e-05-0.00010078i,-0.00062227+2.1644e-06i,-0.00027208-0.000295i,6.6586e-05-0.00042139i,-0.00056907-0.00013711i,-0.0012376-0.00047941i,-0.00087805-0.0007565i,-0.00019222-0.00059414i,0.00039378-0.00011255i,0.00029218+0.00062046i,-5.3673e-06+0.0012996i,0.00073191+0.0010797i,0.00056147-0.00015592i,-2.8934e-05-0.0011747i,0.00015505-0.00096795i
0.0023749+0.0014692i,0.0024756-5.9517e-05i,0.0027909-0.0010579i,0.0026422-0.00094536i,0.0015012-0.00072224i,-0.00058086-0.00077661i,-0.0011184+0.00016334i,0.00015241+0.0010619i,0.0010265+0.0012418i,0.00056585+0.0010489i,4.9633e-05+0.00050802i,-4.2642e-05+6.3211e-05i,-0.00012557+0.00022352i,-0.0002621+0.0004029i,0.00019264-0.00014593i,-9.6295e-05-0.00017344i,-0.00040434+0.00067039i,-0.0001993+0.001054i,-0.00028492+0.00091609i,0.00016239+0.00029897i,0.00070738-0.00018644i,0.00043091-6.1735e-05i,2.5627e-05-3.8807e-05i
-0.0031941+0.00076581i,-0.0028398+0.0016885i,-0.00046156+0.0017523i,0.0010396+0.00084794i,0.00049258+0.00025189i,-0.0011666-0.00023082i,-0.0012746+3.3289e-05i,-0.00085366+0.0003384i,-0.0003809-4.612e-05i,1.7814e-05-0.00023636i,-0.00060658+0.00042292i,-0.00053934+0.00040178i,0.00011578-0.00035176i,-0.00012541-0.00065993i,-0.00079358-0.0011127i,-0.0016274-0.00033553i,-0.0015226+0.00044992i,7.2383e-06+0.00013128i,0.00071312-0.00015906i,-0.00045173-0.00017496i,-0.0010331+0.00016128i,-0.00086981+0.00033715i,-0.000802-0.00014048i
-0.001112-0.0016618i,-0.0013743-0.00075908i,-0.0018557-0.00029949i,-0.0011241-0.00015129i,0.00065491+0.00010687i,0.0009872+0.00036588i,0.00036909+0.00069132i,0.00042904+0.00068444i,0.00075374+0.00071943i,-9.5184e-05+0.00060112i,-0.00049057+0.00051957i,0.00074215+0.0006004i,0.00067017+0.00078383i,6.9818e-05+0.00077564i,7.3179e-05+0.00031046i,4.9232e-05-0.00029333i,0.00051157-0.00093718i,0.00053113-0.00052135i,8.6786e-05-2.8294e-05i,-0.00046922+1.1323e-05i,-0.0010027+0.00021399i,-0.0013086+0.0001807i,-0.00091745+0.0003646i
0.0011711+0.003099i,0.0015347+0.0025176i,0.0018747+0.0018477i,0.0025452+0.0011045i,0.0014102+0.00075209i,-0.00059791+0.00076397i,-0.0013432+0.00091181i,-0.00083849+0.0014136i,2.8188e-05+0.00049428i,8.3067e-05-5.2324e-05i,-0.00022296-0.0001015i,0.00055309-0.00047931i,0.00051469-6.9349e-05i,0.00019008+0.00045269i,0.0005857+0.00041139i,0.00067009+0.00065529i,0.0003919+0.00067931i,0.00024979+0.00039397i,-4.7605e-05+0.00051389i,-0.00035466+0.00051631i,0.00012064+0.00038248i,-7.7731e-05-0.00020934i,-0.00021-0.00055151i
-0.00012245-0.0011149i,-0.00029417-0.00016164i,0.00034945+7.8996e-05i,0.0015855-0.0010631i,0.0016222-0.0017505i,0.00031786-0.0011563i,-0.0012658-0.00027502i,-0.001102+0.00027179i,0.00014619+0.00040385i,0.00050832-3.0979e-05i,0.00046236+2.0125e-05i,0.0002876+0.00019293i,0.00044686+3.1924e-05i,1.657e-05+0.00027348i,-0.00023534+0.00079461i,2.6923e-06+0.0010501i,-0.00033643+0.00037419i,5.9109e-05+0.00023663i,-0.00071016+0.00048149i,-0.0020281+0.00021902i,-0.0012799+0.0004143i,0.00044856+0.00068153i,0.0008332-0.00039738i
-0.0032525-0.00085158i,-0.0028125-0.00037113i,-0.0012687+0.0015495i,-0.00062838+0.002076i,-0.00091944+0.0013388i,-0.00071232+0.00061134i,-0.00059253+0.00040129i,-0.00087877+0.000197i,-0.00068728-0.00031574i,0.00016377+0.00038236i,0.00083507+0.0010319i,0.00073202+0.0004477i,0.00064431-0.00026172i,0.0003375-0.00030095i,9.3649e-05-2.4768e-05i,0.00059262+0.00051925i,0.00040556+0.00032758i,-0.00025636-0.00088475i,2.2061e-05-0.00046032i,-9.5127e-05-9.5598e-05i,-7.7268e-05-3.3064e-05i,-0.00018969+0.00054334i,-0.00086176+0.0006517i
0.00023169-5.2255e-05i,-0.00066575-0.00044524i,-0.00064212-0.0014029i,0.00018346-0.00041666i,0.0004975+0.00057756i,0.00015249+0.00087178i,-0.00042425+0.0009598i,0.00028183-6.834e-05i,0.00075195-0.00056544i,0.00065477-0.00014314i,0.00061228+0.00087288i,7.9177e-05+0.001373i,-0.00019933+0.00025628i,0.00011663-0.00070107i,0.00065252-0.00014466i,0.00062255+0.00049948i,0.00054034-7.2499e-05i,0.00060146-0.00021866i,0.00023285-4.7058e-05i,-0.00011421+0.00037389i,-0.00039042+0.00067034i,6.7495e-05+0.00038453i,0.00061538-8.7623e-05i
-0.00018836+0.0012529i,0.00036862+0.0018807i,0.0023817+0.0016814i,0.0019137+0.0003773i,0.00044465-0.00061589i,-0.00099966-0.0012109i,-0.0016424-0.00095395i,-0.00056742-5.9904e-05i,0.00019962+0.00029059i,3.259e-05+0.00082841i,9.4416e-05+0.0013784i,0.00018655+0.00057226i,-0.00055036-0.00015286i,-0.0010625-0.00035322i,-0.00068838-0.00046561i,-0.00014376-0.0005666i,-0.00023062-0.00059255i,-1.5135e-05-0.00011412i,0.00027563+0.00050008i,-0.0002788+0.00030598i,9.9967e-05-2.4756e-05i,0.00054271+5.9298e-05i,0.00045594-7.2274e-05i
0.0013747-0.00082471i,0.0013238-0.00095265i,0.00037959-0.0018528i,-0.0012414-0.0015796i,-0.0013915-0.00024734i,-0.00067976+0.00096886i,-0.00040658+0.0012009i,-0.00010856+0.0002006i,-0.00019252-0.00043146i,-0.00064736-0.00011708i,-0.00089879+0.00028823i,-0.00091218+0.00028397i,-0.00074655+0.00052759i,-0.00081048+0.00038609i,-0.00065316-0.00053195i,-0.00034838-0.00039394i,0.00045664-2.826e-05i,0.00086221-0.00012342i,0.00029495-0.00021058i,-0.00012607-0.00050247i,-9.001e-05-0.00053475i,0.00025839-0.00058381i,0.00076397-0.00086428i
-0.0012704+0.0022988i,-0.00096844+0.0024891i,-0.00047997+0.0014735i,0.00073666+0.00025387i,0.0011088-0.00027423i,-0.00038836+2.9941e-05i,-0.0010718+0.00040167i,-0.00066725+0.00019737i,-0.00012209+0.0002293i,-0.00039754+0.00043977i,-0.00050868+5.3528e-05i,-0.00028558-0.00061961i,-5.9236e-05-0.0006941i,-5.1195e-05-0.00022111i,0.00035119-0.00057233i,0.00024141-0.00014548i,7.8634e-05+0.00066379i,-0.00041858+0.00075906i,-0.00032821+0.00075368i,0.00029366+0.00048267i,0.00058198+0.00046853i,0.0004812+0.00081833i,0.00043709+0.00012125i
