-0.0011944-1.6038e-05i,-0.00083352-0.00078031i,-0.00173-0.00088439i,-0.002188-0.0004804i,-0.0021493-0.00054033i,-0.0016206-0.00079918i,-0.0011528-8.2827e-05i,-0.00075482+0.0010287i,0.00043964+0.00041415i,0.00087218-0.00074115i,-6.6031e-08-0.00070968i,-0.0010384-0.00092823i,-0.00098331-0.00066624i,-0.00049284+0.00029883i,-4.6101e-05+0.00033097i,0.00033084-0.00034678i,0.00036561+5.9799e-05i,0.00036447-0.00063849i,0.00050724-0.0013355i,7.2245e-05-0.0012824i,-0.00032474-0.0018533i,-0.00047828-0.0018825i,-0.0009094-0.00099546i
0.0014403-0.00032616i,0.0026388+0.0006506i,0.0025703+0.0002638i,0.0017947-9.3536e-05i,0.00044633+0.00034602i,-0.00089935+0.00044733i,-0.0006511-1.5579e-05i,-0.00052805+6.8882e-05i,-0.00038597-0.00013581i,-0.00037157-0.00034661i,-0.00048076-0.00016384i,-0.00028739-0.00063573i,-0.0010001-0.0013354i,-0.0011563-0.0014366i,-0.00033987-0.00069196i,0.00019884-0.00013971i,9.4752e-05-0.00052099i,3.1513e-05-0.00054405i,-0.0002942-0.00032789i,-0.0011904-0.00012522i,-0.0011597-0.00023051i,-0.00028403-0.00029345i,0.00031666+0.00034288i
-0.00010148-0.00057193i,0.00078234-0.00025453i,0.0010896+9.4653e-05i,0.0011232-0.0014189i,0.0015876-0.0022961i,0.001615-0.0015988i,0.00070113-0.001189i,0.00063032-0.0012779i,0.00073099-0.0011221i,-3.8433e-05-0.00070929i,-0.00034035-4.3348e-05i,-0.00042141+0.00015448i,-6.6753e-05-0.00054287i,-0.00029824+0.00050028i,-0.00088053+0.0012285i,-0.0011615+0.00047712i,-0.00057249-0.00014615i,0.00065697-0.00041479i,0.00010557+0.00030502i,-0.00047809-0.00032905i,-0.00017247-0.00078042i,0.00015964+3.7609e-05i,7.5299e-05+3.1361e-06i
-1.0105e-05+0.0021318i,0.00017852+0.0020159i,0.0011778+0.0010845i,0.001428+0.00028889i,0.0014545-0.00047741i,0.00064587-0.0016279i,-0.0006522-0.0013461i,-0.0011307-0.00046848i,-0.00074285-0.00019208i,-0.00028834-0.00012924i,0.00053985-0.00034378i,0.00013571-0.00059993i,-0.00071567-0.0010737i,-2.1453e-05-0.0012362i,0.00073926-0.00027689i,0.00047447+0.00016836i,-0.00036142-4.6806e-05i,-0.0012177-0.00041228i,-0.0011045-0.0010059i,-0.00075561-0.00020909i,-0.00069047+5.0077e-05i,-0.0001632-0.0007264i,-0.00011701-0.00070519i
-0.00047999+0.00080357i,0.0011448+0.00058554i,0.001333+0.0010304i,0.00071157+0.000313i,6.3502e-05-0.0015788i,-0.00055059-0.0015746i,-0.0004257-0.00081074i,-0.00026651-0.00066136i,-0.00019198+0.00051534i,-6.3307e-05+0.0016402i,0.00024597+0.00066167i,0.00047747-0.00029759i,0.00016811-0.0005075i,0.00014887-0.00097616i,6.7172e-05-0.00049784i,-0.0008565-4.4176e-05i,-0.0011076-0.00038089i,-0.00031974-0.00043415i,0.00037539+0.00015249i,-0.00010849-0.00016449i,-0.00016032-0.0012093i,0.00055852-0.0010861i,0.0007218-0.00078229i
-0.001237+0.0027313i,-0.0018842+0.0025307i,-0.0010234+0.002792i,-0.00019296+0.0010963i,1.6743e-05-0.00059097i,-9.6496e-05-0.00072256i,-0.00011669-0.00077355i,-0.00066208-0.00020547i,-0.00089018+0.00092864i,0.0003269+0.0006493i,0.0011417+0.00034299i,0.0007982+0.00087343i,0.00011721+0.00066581i,9.7856e-05-2.337e-05i,7.8331e-05-6.414e-05i,-0.0001214-0.00034896i,0.00022888-0.00086078i,0.00067003-0.0013385i,0.0001621-0.0013055i,-0.0006017-0.00065757i,-0.00041157-0.00088109i,-0.00023158-0.00061592i,-0.00054844+0.00012366i
0.00037351+0.00013021i,0.00069469+0.00070011i,-0.00011325+0.00037454i,-0.00010663-0.00024483i,0.00060619-0.00072492i,0.00087595-0.00080999i,0.0013057-0.0004847i,0.00027348-0.00063804i,-0.0008278-0.00084729i,-0.0013965-0.00054771i,-0.0021087-0.00046292i,-0.0017159-0.00017859i,-0.00079639-0.00018691i,-6.9263e-05-0.00052604i,0.00022588-0.00059308i,-1.0162e-05-3.749e-05i,-0.00036249+0.00043621i,-0.00016102+0.00022174i,0.0010282+0.00034145i,0.0011221-4.1125e-05i,0.00073168-0.00061971i,0.00084254-0.00070268i,0.00042351-0.00038248i
-0.0024248+0.0012857i,-0.00098685+0.0015157i,-0.00044554+0.0013671i,0.0011221+0.00025848i,0.001587-0.00058438i,0.00078795-0.0011591i,-8.2881e-05-0.00089021i,-0.00023872-0.00018268i,3.9874e-05+0.0001417i,-6.7687e-05+0.00066082i,-0.0002494+0.00093607i,-0.00038394+0.00097801i,-0.00061213+0.00038112i,-0.00040824-0.00055199i,0.00033009-0.00049681i,0.00015892-0.00060574i,-0.00020844-0.0010743i,-0.00042487-0.00065601i,-0.00030209-0.00056235i,0.00036117-0.00025324i,1.4087e-05+0.00013144i,-0.00091287-3.703e-05i,-0.0017128+0.00014729i
-0.0012629-0.0018609i,-0.0010865-0.0021841i,-0.0023765-0.0018388i,-0.0025257-0.0012203i,-0.0014631-0.0008197i,-0.0010414-0.00022613i,-0.0013071+0.00027575i,-0.0015448+0.00080175i,-0.0018855+0.00054117i,-0.0019711+0.00023639i,-0.0013066+0.0010438i,-0.00026967+0.00076602i,0.00031049+0.00082313i,-0.00017779+0.00069224i,-0.0008557-0.00039565i,-0.00066236-0.00071222i,-0.00092741-0.00012842i,-0.00076838-0.00021065i,-0.00041452-0.00017265i,-0.00028103+0.00011148i,-0.0004711-4.4971e-05i,-0.0013624+0.00026303i,-0.00059031+0.0003054i
0.00097114+0.00022099i,0.00052614-0.00020009i,0.0002889-0.00040449i,0.00047557+0.00036146i,-2.2719e-05-0.00011132i,0.00021359-0.00036046i,0.0003285-0.00047718i,-7.8084e-05-0.00025427i,-0.00054072+0.00015216i,-0.0009558+0.00054545i,-0.00035214+0.0012982i,0.00069554+0.00084186i,0.00048409+0.00022132i,-0.00026683+1.5177e-05i,-0.0004418-0.00023474i,-3.2849e-06+0.00023853i,0.00047089+0.0007738i,0.00071972+0.00050875i,0.00082152+0.00012979i,0.00079545-0.00078468i,0.00032345-0.00090141i,-0.00048767-0.00015404i,-0.0012004-0.00085057i
0.00090459+0.0017602i,0.00036697+0.0030777i,0.0012844+0.0014308i,0.0011819-0.00026602i,0.00060133-0.00081473i,0.00030134-0.00054445i,0.00039801+0.00014955i,-0.00018+0.00034224i,-0.00092293+0.0003647i,-0.00040648-0.00022564i,0.00046842-0.00093511i,0.00067929-0.00054118i,0.00031492-0.00020854i,0.0003215-0.0005536i,-6.1357e-05-3.2379e-05i,-0.0015373+0.00081666i,-0.0012542+0.00018837i,3.4337e-05-0.00044431i,-3.8074e-05-0.00028749i,-0.00060085+0.00025378i,-0.00040213+0.00052215i,9.8902e-05-0.00024399i,5.2601e-05+1.3044e-05i
0.001366+0.0025516i,0.0005866+0.0027627i,0.0008044+0.0023982i,0.0011056+0.00092792i,0.0011706-0.00070505i,0.00067216-0.0019681i,0.00038686-0.0014948i,2.5373e-05-0.0003581i,0.0003727-0.00015381i,0.00086766+3.0442e-05i,0.00055542+0.00028217i,-0.000212+0.00051765i,-0.00027046+0.0001021i,-9.8471e-05-0.00075695i,0.00086924-0.0008318i,0.0017542-0.00055354i,0.0011619-0.00069488i,0.00070825-0.001315i,0.00030801-0.0010757i,-0.00021862-0.00046295i,0.00022583-0.00024612i,0.00062457-0.00032565i,0.00015111-6.5372e-05i
-0.00040834+0.00036908i,-0.0010126+0.0006305i,-0.00071431+0.0014953i,0.00017759+0.0010996i,0.00073878-0.0004965i,0.00052599-0.00032315i,-5.5322e-05+0.0006764i,-0.0007381+0.00091291i,-0.0013902+0.00081792i,-0.0012551+0.00030597i,-0.00086658+0.00056494i,-9.9659e-05+0.00077944i,7.469e-05+0.00034703i,-0.00025057-5.4288e-05i,-0.00035019+7.2537e-05i,8.099e-05+0.00060875i,0.00068161-0.00027446i,0.00052383-0.00098433i,0.00021457-0.00063779i,4.6699e-06-0.00029557i,0.00015681-0.00074331i,0.00065173-0.0011646i,0.00011535-0.00084082i
0.00024437+0.00055446i,0.00028956-0.00011627i,0.00035628-0.00078438i,0.00041702+0.00028184i,-0.00057306-3.7722e-05i,-0.00084464-0.00094924i,-0.00066587-0.00059208i,-0.00060111-0.00013131i,-0.00053852-0.00040259i,-0.00038358-0.00061046i,-0.00059191+0.00029881i,-0.0011941+0.00070989i,-0.0004257+0.00011639i,0.00058109-0.00015315i,0.00047038-0.00038191i,0.00045666-0.0010777i,0.00079279-0.0014409i,0.0005233-0.00086892i,8.1459e-05-0.00010088i,-0.00023782-0.00018542i,0.00013029-0.00045922i,9.9627e-05-0.00040234i,-0.00010355-0.00018258i
-4.9003e-05-0.00020909i,0.00069766-0.00073994i,0.00156-0.00029493i,0.0012102+0.0001934i,0.00050271-0.00041774i,0.00021705-0.0017878i,-0.00070826-0.0011003i,-0.0011962+0.0010165i,-0.00090706+0.0016154i,-0.00046318+0.0012293i,0.00019501+0.0016136i,0.00021797+0.0016614i,-0.00019108+0.00030666i,-0.00027939-0.0009198i,0.00043067-0.00089711i,5.0701e-07-0.0014521i,-0.00075891-0.0013272i,-0.00034775-0.00098818i,-0.00017112-0.0011772i,-0.00022814-0.00031893i,0.00035979+0.00045982i,0.00043811+0.0004791i,-0.00016939+0.0001782i
4.234e-05+0.00062719i,0.00037333+0.00042481i,-0.00074521+0.00052151i,-0.0012948+0.00021579i,-0.0010608-0.0010458i,-0.00010206-0.0013623i,0.00046105-0.000107i,0.00017228+0.00038876i,-0.00072889+2.7183e-05i,-0.0013423+0.00067901i,-0.00088811+0.0011118i,-0.0010546-5.6965e-05i,-0.0012523-0.00081139i,-0.00063814+5.4906e-05i,-6.2323e-05+0.00012088i,0.00047937-0.00025141i,0.00085139-0.00050272i,0.00060595-0.00059816i,-8.8732e-05-0.0004076i,-0.00045502-0.00036714i,-0.00029295-0.00066386i,-0.0003553-0.0003651i,-0.00021346+0.00032384i
0.00080928-8.1027e-05i,0.0010032+0.00095134i,0.00033665+0.0007212i,0.00024521-7.5655e-05i,0.00017682-0.00043367i,0.0002221-0.0005406i,0.00025684-0.00040689i,0.00012367-7.6542e-05i,0.00010742+0.00017233i,-0.00029714+0.00039886i,-2.1048e-05+0.00025859i,9.1993e-05-0.00046687i,0.00018765-0.00075688i,-0.00031452-0.00041399i,-0.0010062-0.00085964i,-0.00031211-0.0014733i,-8.0068e-05-0.0012884i,0.00013953-0.00075272i,0.00048344-0.00051516i,-1.588e-05-0.00031016i,-0.00016032-0.00014422i,-0.00014347-0.00020833i,-0.00041974-0.00026577i
-0.0010292-0.0013803i,-0.00078479-0.00072279i,-0.00076896-0.00077755i,-0.00021575-0.0010854i,-0.00040751-0.0010418i,-0.00063128-0.00083005i,-0.00039778-0.00046704i,-0.00034867-0.00068386i,-0.00065628-0.00014367i,-0.00057376+0.00081004i,-0.00057894+0.00098152i,-0.0005877+0.0004475i,4.6019e-05-0.00033415i,0.00017811-0.00016322i,0.00070696+0.00069642i,0.0011208+0.00079567i,0.00049888+0.00024011i,-0.0001588+0.00015077i,-6.353e-05+0.00030063i,0.00030273-5.5819e-05i,0.00057259+0.00011055i,0.00054605+0.00060988i,0.00058857+0.00081707i
0.00034957+0.00046569i,0.00065625+0.00071135i,0.00016267-7.1704e-05i,-0.00010847-0.00087142i,-0.00011134-0.0009787i,-0.00042586-0.00041113i,-0.00077767-0.0010723i,-0.00060487-0.0010432i,-0.00075974+0.0002963i,-0.0012615+0.00045243i,-0.00087579+0.00062879i,-0.0002097+0.00072096i,-0.0010638-1.2265e-05i,-0.00073326-0.00051511i,0.00042244-0.00019765i,0.00048166+5.9478e-05i,0.00022939-0.00022308i,-3.5853e-05-0.0006694i,0.00030806-0.00080993i,0.0010709-0.00046763i,0.00076371-0.00055823i,-0.00025559-0.0011247i,-0.00060759-0.00036865i
0.0011225-0.0016665i,0.0016511-0.0013313i,0.0010491-0.0012715i,0.00074761-0.0018612i,0.00011661-0.00096142i,-0.00040148-0.00069045i,6.4227e-05-0.00048755i,5.6732e-05+0.00012345i,-0.00012161+0.00034528i,-0.00048859+0.00034479i,7.6495e-07-8.9113e-05i,0.0006421-0.00082152i,-0.00012799-0.0003126i,-0.001009+0.00021333i,-0.00040289-0.00020406i,-6.955e-05+2.0942e-05i,-0.00020537+4.7215e-05i,0.00035163-0.00051096i,0.0006123-0.00043288i,3.1487e-05-0.00010534i,-0.00042514-0.00067562i,-0.00059677-0.00060405i,-0.00020608+0.00012457i
-0.0021052+8.784e-05i,-0.0017612+0.00037943i,-0.0013279+0.00021634i,0.00039026+0.00050033i,0.001146+0.0010963i,0.00058489+0.00059185i,-0.00055661-0.00037076i,-0.0012806-0.00068652i,-0.0011468-0.00059365i,-0.00090686+0.0003201i,-0.00077979+0.0014133i,-0.00078788+0.00092993i,-6.5066e-05+0.00072446i,0.00068246+0.00080099i,0.00075206+0.00013016i,0.00076369-0.00049097i,0.00066042-0.00087136i,0.00031595-0.0011987i,0.00038259-0.00095526i,0.00018158+0.00027443i,-0.00019327+0.0011066i,0.00047152+0.00109i,0.00026771+0.00082095i
0.00045671-0.0023803i,0.00094323-0.0020078i,-6.3818e-06-0.0015293i,0.00035442-0.0013321i,0.00087652-0.00077617i,0.00022698-4.7992e-05i,-0.00035714-0.00027464i,-0.00080196-0.00019318i,-0.001077+0.00037691i,-0.0011978+0.00061001i,-0.0008364+0.00068712i,-0.00093045+0.00045466i,-0.00058184-4.2823e-05i,-0.00041261-0.00038249i,-0.00030622-0.00011708i,0.00022837-0.00052206i,0.00036733-0.00078913i,0.00053516-0.0004965i,0.00053629-0.00046096i,7.5942e-05-0.00024212i,-0.00056519+6.7652e-05i,-0.00049018-0.00036958i,0.00012718-0.0001843i
0.0023402-0.00076798i,0.0020576-0.0013364i,0.00141-0.0012685i,0.00090531-0.0010153i,-0.00012056-0.0011667i,-0.0013079-0.00088397i,-0.0011083-0.00053764i,-0.00056495-0.00013215i,-0.0005192-0.00013161i,-0.00087285-0.00012577i,-0.00080166-0.00017566i,-2.1554e-05-0.00046557i,-0.00045424-3.8987e-05i,-0.0015497+0.00047477i,-0.00093991+0.00049398i,0.00015759-0.00069381i,0.00052232-0.0012881i,0.00075777-0.00051103i,0.00077142+4.0956e-06i,0.00037206-0.00016724i,-0.00061869-0.00081068i,-0.0011025-0.0010047i,-0.00054744-0.00072062i
-0.0018363-0.00097199i,-0.0032534-0.00061863i,-0.0023179-0.0012217i,-0.0018555-0.002i,-0.0022855-0.0019341i,-0.001511-0.0010367i,-0.00076948+3.762e-05i,-0.00056208-0.00030836i,-0.00069399-0.0012434i,-0.00080486-0.00010935i,-0.00095927+0.0014822i,-0.00046026+0.0006359i,-0.0001056-0.00017616i,-2.7716e-05+0.00040253i,0.00012551+0.00072113i,-4.5763e-05-0.00035216i,0.00016238-0.00062385i,-7.5143e-05+0.00041794i,-0.00047785+0.00036866i,0.00043655-0.00023896i,0.0011366-0.00017794i,-0.00027185-0.00020469i,-0.0010191-0.00021983i
-0.00061752+0.00023621i,-0.0010845+0.00057343i,-0.00057297+0.0016i,7.4776e-05+0.0020836i,0.0003654+0.0012258i,0.00031224-0.00016473i,-1.1595e-05+2.3909e-05i,-0.00011216+0.00019502i,3.8372e-05-7.9485e-05i,-5.0439e-05+0.00018665i,-0.00031217+0.00073661i,0.00034898+0.00042925i,0.0009288-0.0002035i,0.00061784-7.0591e-05i,0.00092271+0.00094654i,0.00144+0.0002036i,0.00078283-0.00070285i,-0.0011864-0.00042068i,-0.0012983-0.00031062i,-0.00065063-0.00025031i,0.00023002-0.00024813i,0.00079795-0.00021854i,0.00050562+0.00026434i
-0.00057605-0.0011722i,-0.00037236-0.00044388i,-0.0011105-0.0010944i,-0.00054922-0.00096788i,0.00031788-0.00075537i,0.00063233-0.00050864i,0.00050417-0.00015165i,-0.00043255-0.00023288i,-0.00065727-0.00053008i,-0.00023646+0.00066083i,0.00011351+0.0018805i,-8.6774e-05+0.0012397i,-0.00059202+0.00064826i,-0.00093736+0.00085184i,-0.00082144+0.00032808i,-0.0002937+6.3621e-05i,0.00016485+0.0010648i,0.001137+0.00093608i,0.0016517-0.00060111i,0.0010203-0.00074922i,0.00030936-0.00075201i,0.0001315-0.00036331i,0.00043044+0.00069476i
-0.0021026-0.0011846i,-0.0035036-0.00076342i,-0.0039678-0.0009047i,-0.0024781-0.0002327i,-0.0011545+0.00048596i,-0.0004014+0.00038395i,-0.0001375+0.00017539i,-0.00054464+1.6344e-05i,-0.0014714-0.00022978i,-0.0018839+0.00030985i,-0.0012421+0.00062427i,-0.00079337+0.00065315i,-0.00088829+0.00051488i,-0.00065223-0.00031478i,0.00011157-0.00092944i,-0.00016446-0.0011019i,-0.00059833-0.00059691i,-0.00064171-0.00036123i,-0.00096303-0.00088507i,-0.0010133-0.00098994i,-0.0010388-0.00038257i,-0.00065839-0.00017452i,0.00050116+2.2776e-05i
0.00011197-0.0022076i,0.00045135-0.0025074i,-0.00016101-0.0024472i,-0.00071503-0.0015588i,-0.0014853-0.00083202i,-0.00074911+0.00041421i,0.00021777+0.0008534i,-3.7694e-05+0.00028225i,-0.00019415-0.00018489i,-0.0012405+0.00051236i,-0.0014572+0.00094492i,-0.00065117+0.00030633i,-0.00063429-0.00020066i,-0.0011472-0.00040702i,-0.00094433+9.2385e-05i,-0.0004828+0.00062288i,-1.3054e-05+0.00053911i,0.0011176+0.00046049i,0.0011276+0.00044602i,0.00027256+0.00043378i,0.00011546+0.00033057i,0.00011686+0.00012735i,-0.00045514-0.00022022i
-0.00016604-0.0012807i,0.00045147-0.0010994i,-9.3278e-05-0.001491i,-0.00089925-0.0016482i,-0.00075624-0.0012082i,4.0619e-05-0.0010814i,0.00033834-0.00064347i,-0.00038052-0.00031069i,-0.00066987-0.00017935i,-0.00080943+0.0003121i,-0.00098054+0.00052416i,-0.00045432+0.00045989i,-4.0846e-05+0.00018386i,0.00012225-1.5697e-05i,4.6332e-05+0.0004579i,-0.00017811+0.0012754i,3.6839e-05+0.0012679i,-3.7051e-05+3.611e-05i,5.1263e-05-0.00053176i,-0.0002062+4.2779e-05i,-0.00061699+0.00067824i,-0.0010829+7.2264e-05i,-0.0012812-0.00078043i
0.00026807-0.00011268i,0.00073618+0.0010499i,0.00091542+0.0005153i,0.00048527+7.575e-05i,0.00029421-0.00045665i,-7.1625e-05-0.0012798i,-0.0005722-0.001253i,-0.00033481-0.00042936i,0.0002986+0.00062496i,0.00027266+0.0010267i,-0.00013772+0.00048869i,-0.00018835-0.00074533i,-5.2845e-05-0.00098729i,0.00021071-7.0163e-05i,-0.0001444-0.00032064i,-0.00061986-0.0008852i,-0.00012408-0.00053226i,-0.00028381+2.7723e-05i,-0.00048673-0.00019905i,-0.0003316-0.0010715i,-0.00023135-0.0010642i,-0.00019172-0.0006929i,-0.00036234-0.00067805i
-7.4931e-05+0.0015317i,-0.00014396+0.0013774i,0.00010968+0.0012651i,0.00056531+0.00028428i,0.00056171-0.0010142i,0.00058747-0.00040568i,0.00028813-0.0002288i,-0.00032341-0.00012239i,-0.00027244-6.096e-05i,-3.7e-05-0.00010047i,-0.00015986-0.00027413i,-0.00017844-0.0009366i,0.00032654-0.0013761i,0.00060757-0.001287i,-7.6612e-05-0.00034864i,-0.00050038-8.0632e-05i,-0.00044892-0.00042054i,0.00024153-0.00039862i,0.00058582-0.00068818i,2.9516e-05-0.0012392i,1.3073e-05-0.00056759i,-2.8665e-05+0.00068319i,0.00035998+0.00094305i
0.00076365+0.0010487i,4.3964e-05+0.00050351i,6.803e-05-0.00020882i,8.4989e-05-0.00088369i,0.00063131-0.00040127i,0.00046175-0.00019952i,0.00013953-0.00046216i,5.2459e-05-0.00033374i,-0.00058749+6.6434e-05i,-0.00092723+0.00015307i,-0.00093809+0.00023813i,-0.00055134-0.00032674i,0.00010884-0.00073838i,7.1312e-05-0.00037491i,-1.1336e-05-0.00037132i,0.00025681-0.00039608i,0.00019973+0.00037831i,-0.00014422+0.00068945i,-3.972e-05+1.5769e-05i,-9.0641e-05-0.0001648i,-0.00052759+0.00021155i,-0.0004023+0.00030694i,0.00037313-0.00014919i
