4.7134e-05-0.00040144i,0.00070632-0.0015442i,0.0011847-0.0026122i,0.001916-0.0028194i,0.0020779-0.0026282i,0.0010672-0.0014763i,7.8348e-06-0.00038821i,2.386e-05-0.00080952i,0.00044969-0.0013961i,0.00076681-0.0013876i,0.001186-0.00039474i,-6.0044e-05+0.00091294i,-0.0012884+0.00082404i,-0.00075526+0.00014869i,-0.00036302+0.00036775i,-0.00022836+0.00045102i,-0.00045093-5.0514e-05i,-0.00048203-0.00023186i,0.00010017-0.00014066i,0.00046182-5.2146e-05i,4.1213e-05+0.00045341i,-0.00073628+0.00048869i,-0.00073846-0.00070686i
0.0011458-0.0014806i,0.0010006-0.0021886i,0.001348-0.0020318i,0.0013185-0.0017812i,0.00089432-0.00072105i,0.00040794+0.00057041i,0.00025521+0.00080668i,0.00077527+0.00037556i,0.00075177+5.9158e-05i,7.7478e-05-0.00014734i,-0.00024563-0.00036397i,0.0002148-0.00036594i,0.00075548-0.00043309i,0.00051439-0.00068485i,0.00073939-0.00042349i,0.00093617-9.4298e-05i,9.7295e-05-0.00036963i,-0.00038602-0.0010602i,0.00014965-0.00053507i,-0.00019278-9.2682e-06i,-0.00039226-5.0664e-05i,-7.1653e-05+4.5602e-05i,-0.00045167-0.0003374i
0.00030363-0.0011875i,-0.00057256-0.0017814i,-0.00014206-0.0030143i,0.00027641-0.003391i,-0.00016285-0.0012898i,0.00053589-5.9263e-05i,0.00078882-0.00039292i,0.000753-0.0007167i,0.0010729-0.0013452i,0.00046041-0.0013804i,-3.0984e-05-0.00045507i,-3.7172e-06-0.00025346i,0.00036454-0.00067742i,0.0014049-0.00052607i,0.0013619-0.00010885i,-7.9584e-05-0.00038339i,-0.0010712-0.00067523i,-0.0012082-0.00042197i,-0.0009529+0.00011472i,-0.00019798+0.00073416i,3.8378e-05+0.00069823i,9.4557e-05+0.00058231i,0.0001896-4.993e-05i
0.0017178-0.0017183i,0.0027227-0.0039327i,0.0033684-0.0047205i,0.0030563-0.0036377i,0.0013785-0.0025381i,0.00047134-0.0011465i,0.00052869-7.3435e-06i,0.00031485+1.2822e-05i,0.00020798-0.00010927i,-0.00013156+0.00013243i,-0.00019957+0.00022724i,0.00071463+0.00010592i,0.00097837-0.00028144i,0.00061344-0.00034229i,0.00032136+0.0002433i,-0.00059652+0.00035638i,-0.001022-0.00043119i,-0.0005876-0.00056209i,-0.00016061-0.00024804i,0.00014724-0.00025649i,0.00026866-5.8225e-06i,5.2077e-05+1.2718e-05i,-8.3921e-05+0.00015154i
0.00066651-0.00047317i,0.00079586-0.0022074i,0.00071483-0.0030129i,1.1931e-06-0.002871i,-0.00021995-0.00067818i,1.5274e-05+0.00090966i,0.00042221+0.00042677i,0.00059118-0.00058918i,0.00013856-0.00026961i,-0.00026621+0.00034964i,0.00033586+0.00041851i,0.00067694-3.3701e-05i,-3.8366e-05-0.00042805i,0.00010717-0.0003373i,-0.00011808-0.00017249i,-0.00046421-0.00077961i,-0.00025061-0.0010597i,-0.00092921-0.00092562i,-0.0013121-0.00050162i,-0.00074516-0.00039897i,-0.00015074-0.0008919i,-0.00023308-0.0013741i,-0.0011124-0.0012878i
-0.0010843+0.00099125i,-0.00101-0.00053872i,-0.00053696-0.0016989i,0.00018-0.0023103i,0.00026505-0.002088i,0.000708-0.00080058i,0.0014294+0.0003256i,0.0016736+0.00050789i,0.0018222-0.00046627i,0.0014681-0.0017862i,0.00066631-0.0013009i,-5.6709e-05-0.00042531i,-6.7934e-05+0.00045831i,0.00015302+0.0010175i,-1.0709e-05+0.00055241i,-4.3963e-05+8.5382e-05i,0.00052234-0.00031704i,0.00061948+3.5834e-05i,0.00014043+0.00075664i,9.4877e-05+0.00052091i,0.00022904-4.7732e-05i,0.00026516+0.0001144i,-0.00031707-0.00010568i
-0.00013372-0.0013736i,0.0014057-0.0034025i,0.0017535-0.004876i,0.00049961-0.0051883i,-0.00047774-0.004665i,-0.00048544-0.0036396i,0.00010872-0.0017409i,0.00085325-0.00010333i,0.00033826+0.00027121i,-0.00024262+9.6103e-05i,0.00033416+2.2014e-05i,0.00065092-0.00051502i,0.000315-0.00052477i,0.00042559+0.00032803i,0.0003172+0.00069765i,0.00010661+0.00036456i,0.00042629-1.3961e-05i,-0.00034115-0.0002144i,-0.00098994+8.1956e-05i,-0.00063968-0.00022568i,-5.2214e-05-9.224e-05i,0.00053935+0.00045397i,-0.00016608+6.1981e-05i
-0.00039899-0.0005245i,-0.00039862-0.0015138i,0.00018568-0.0018771i,0.00094734-0.0020923i,0.0011151-0.0014059i,0.00085852+0.0003786i,0.00058102+0.0014047i,0.00059898+0.00099083i,0.00060643+8.9989e-05i,0.00066599-0.00076155i,0.00039926-0.0010106i,0.00070786-0.00023193i,0.00063324+0.00019936i,0.00063374+5.8857e-05i,0.0013736-0.00035965i,0.0011279-0.00042299i,-0.00062639-0.00070511i,-0.001776-0.00096478i,-0.0013725-0.00068188i,-0.0010201-0.00038403i,-0.0010194-3.433e-05i,-0.0012848-0.00018616i,-0.00084415-0.00087117i
0.0027369+0.00077879i,0.0015023+8.2241e-05i,0.0014343-0.0015897i,0.0011577-0.0028402i,-0.00012421-0.0019383i,-0.00018708-3.537e-05i,0.00031936+0.0006792i,-0.00022875+0.00066079i,2.5042e-05+0.00057683i,0.0011258-0.00020125i,0.0021627-0.00053551i,0.0018392+1.2247e-05i,0.00056781+0.00065552i,-7.8852e-05+0.0012182i,0.00023976+0.0010117i,0.00010048-0.00025243i,-0.00021308-0.0016457i,-0.00041684-0.00087078i,-0.00089905+1.9835e-05i,-0.00095041-0.00021321i,-0.00081245-0.00010011i,-0.00035697-0.00036011i,-0.00041105-0.00017672i
0.0001492-0.0018996i,0.00049598-0.003343i,0.00084835-0.0034498i,0.00089637-0.0027652i,0.0006706-0.0015278i,0.00095038-0.00050015i,0.00084776+0.0001042i,0.00025073+0.0007713i,0.00034199+0.00082848i,0.00049333+0.00021431i,0.00020914+0.00064926i,-6.499e-05+0.00039613i,-0.00050317-0.00028909i,-0.00054732-0.0005046i,-0.00066835-0.00037278i,-0.0012855+0.0003036i,-0.00079057+0.00063586i,-0.00039744+0.0010511i,-0.00043829+0.0011606i,-0.00025632+0.00081971i,-0.00079168+0.00030814i,-0.0010525+4.2963e-06i,-0.0009452+0.00024281i
