-0.0027094-0.00057608i,-0.003571+0.0012878i,-0.0044126+0.0029995i,-0.0030103+0.0033599i,-0.00072254+0.0033449i,0.00022526+0.0023638i,-9.0091e-05+0.0013985i,-0.00016842+0.0013131i,0.00062377+0.0005359i,0.0011039-0.00018034i,0.0014928-0.00043646i,0.0013672-0.00068281i,0.00078984+1.2553e-05i,0.00090165+0.00046409i,0.00033875+0.00044211i,-0.00027473+0.00055797i,-0.00053856+0.00010211i,-0.00011541-0.00061426i,0.00036168-0.00057928i,0.00017452-3.9097e-06i,6.0956e-05+0.0004511i,3.9626e-05-6.561e-05i,-1.2366e-05-0.00052752i
-0.0015608+0.00098286i,-0.0045401+0.0026884i,-0.0055339+0.0030836i,-0.0036887+0.0028592i,-0.0017438+0.0022355i,-0.00088204+0.0012253i,-0.00066769+0.00022564i,-0.00026675-0.00025837i,-0.00024145-0.00066099i,0.00024826-0.00078955i,0.00018316+9.3608e-05i,-0.00072272+0.00046236i,9.4967e-05+0.00076375i,0.00096652+0.0012303i,0.00046303+0.00069906i,0.00030073-0.0001733i,0.00121+0.00017188i,0.00095836+0.0014896i,0.00053595+0.0015891i,0.0012129+0.00082704i,0.0015288+0.00033079i,0.0011721-0.00014849i,0.00092511-0.00032093i
-0.0039628+0.00059441i,-0.0035801+0.0017425i,-0.0031773+0.0031856i,-0.0020989+0.0019618i,-0.00049852-0.00028274i,0.00046337-0.001699i,0.00042541-0.0013482i,7.003e-05-0.00092683i,-0.00013973-0.00079321i,-0.00087449+5.3897e-05i,-0.0014356+0.00050102i,-0.0012241-0.00035405i,-0.00049224-0.0012745i,0.00076399-0.0017354i,0.0015752-0.001498i,0.00073616-0.00013462i,-0.00030728+0.0012326i,-0.00025325+0.0015199i,-0.00042919+0.0011054i,0.00030582+0.00024147i,0.00047272+0.00054377i,7.185e-05+0.0010372i,0.0014542+0.00030491i
-0.0012098+0.00056557i,-0.00088435+0.00088389i,0.0010031+0.0019531i,0.0016296+0.0015643i,0.0011404-0.00051481i,0.00038417-0.0017116i,-0.00083578-0.0012619i,-0.0011307+0.00010643i,-0.00070523+0.00057207i,-0.00057639-0.00073212i,-0.000649-0.0016335i,2.0327e-05-0.0012064i,0.00076418-0.00070483i,0.00080744-0.00066451i,8.3272e-05-0.00020814i,-0.00044164+0.00027874i,-0.00043466+0.0002736i,-0.00086361+0.00048012i,-0.0010564+0.00048899i,-0.00077755+0.00036324i,-4.2529e-05+0.00023831i,-0.00016175+0.00042427i,-0.00033901+0.00053728i
-0.0015004+0.00011949i,-0.0027331+0.00060808i,-0.0035677+0.001115i,-0.0026754+0.00086491i,-0.0014158-0.00040987i,-0.00048039-0.0011451i,-0.00021382-0.0011464i,-0.00087267-0.00073996i,-0.00068293+0.00033183i,-5.851e-05+0.00059937i,-0.00012512+0.00017916i,0.00027209+0.00033558i,0.00041434+0.00071391i,0.00059304-5.863e-05i,0.00020991-0.00056715i,-0.00057721-0.0006104i,-0.00019444-0.00049228i,1.5957e-05+0.00041247i,-0.00032449+0.00064977i,-0.00027536+5.6093e-05i,-0.0003195-0.00057494i,-0.00050585-0.0014305i,-0.00087603-0.00069933i
-0.0033068+0.0022783i,-0.0031732+0.0044509i,-0.0018949+0.0055087i,-0.00023953+0.0029832i,0.00096927-0.00038581i,0.00058938-0.0018565i,-0.0002224-0.0023046i,-6.2785e-05-0.001784i,0.00031076-0.00043985i,4.94e-05-4.2887e-05i,-0.00013063-1.388e-06i,1.9041e-05+0.00096072i,0.00080653+0.0015072i,0.0010783+0.00083847i,0.00065416-0.00050717i,-4.1039e-05-0.00087285i,-0.00061456-0.0010714i,-0.00035034-0.001012i,-0.00025743-0.00028257i,0.00034346-0.00068112i,0.00076507-0.0011771i,-0.00018085-0.0010084i,-0.00079126-0.0005607i
-0.00065191+0.00021857i,0.00031085+0.0020445i,0.0011718+0.0028049i,0.00056942+0.0018633i,-0.00078435+0.00097515i,-0.0012189+0.00053468i,-0.00071939-0.00027307i,-0.00066792-0.00080886i,-0.00044178-0.00072649i,-0.00063772-0.00066004i,-0.0011444+0.00017142i,-0.00074251+0.00093987i,-8.6935e-06+0.00066638i,-1.2576e-05+0.00028608i,-0.00011146+3.6011e-05i,0.00052701-2.604e-05i,0.00052786-0.00055026i,0.00046106-0.00061171i,0.0013077-0.00012726i,0.0011858+0.00024564i,0.0001509+0.00040594i,-0.00011584+0.0003326i,-0.00055233-0.00039113i
-0.00024092+0.00087078i,-0.0006517-0.00011237i,-0.0017228-0.00062778i,-0.0020209-4.1012e-05i,-0.0017241+0.0014636i,-0.0019918+0.0011108i,-0.0022594-0.00064141i,-0.0016801-0.00095865i,-0.00078099-0.000106i,-0.0010598-0.00033434i,-0.0019501-0.00042023i,-0.0015366+0.00042369i,-0.00039444+0.0009545i,-0.00065973+0.0010338i,-0.00034262+0.00041741i,0.00050146-0.00099769i,0.00045856-0.0015627i,0.00038452-0.000657i,6.0751e-05+0.00030562i,-9.4701e-05+0.00027004i,0.00020823+0.00036433i,0.00041343+0.00053329i,0.00013741+0.00014168i
-0.0028536+0.00089572i,-0.0045357+0.0023154i,-0.0040367+0.0017307i,-0.0026958+0.00080925i,-0.0019771+0.00052264i,-0.0015567+0.0011808i,-0.0011041+0.0014972i,-0.0010316+0.00066168i,-0.00057359+1.9205e-05i,-1.671e-06-0.00019688i,-7.9323e-05-0.00015399i,-0.00011049-0.00057345i,-0.00071104-0.00076353i,-0.00046003-0.00070142i,0.00022784-0.00028066i,0.00055439+0.00020198i,0.00059541+0.00069448i,0.00035816+0.00052359i,0.00062722+7.6952e-05i,0.00079956-0.00036552i,0.00043767-0.00047833i,0.0014997-1.3354e-06i,0.0018776+0.00059411i
-0.00091044+0.0011625i,-0.00080585+0.0011408i,1.4783e-05+0.0011872i,0.00062708+0.00094191i,0.00074004+0.00059513i,0.00089429+0.00010147i,0.0008148+6.7139e-05i,9.4107e-05+0.0010809i,-0.00067056+0.0011337i,-0.00045458+0.00016027i,-0.00011393-0.00039284i,-0.00060735-0.00051991i,-8.686e-06-0.00034943i,0.0009617-5.1079e-05i,0.0010297+0.00026465i,0.00056296+0.00027217i,-0.00011979+0.00028145i,0.00015121+0.00087627i,0.00046287+0.00018152i,0.00011601-0.00059042i,0.00011947-0.0003486i,0.00010597+0.00013847i,-0.00046232+0.00019773i
-0.0025842-0.00051013i,-0.0017253+0.001139i,-0.0021931+0.0017401i,-0.0013952+0.00069901i,-0.001203-0.00036687i,-0.001116-0.00092778i,-0.000678-0.00085653i,-0.00060503-0.00058132i,-4.4181e-05-0.00037678i,0.00021561-0.00026696i,-4.3806e-05-0.00024531i,0.0010508+0.00060842i,0.0022888+0.00094175i,0.0015989+0.00038846i,0.00032007-0.00052599i,-6.0625e-05-0.00027806i,-0.00074836+0.00060189i,-0.001282+0.00020482i,7.4258e-05-0.00079039i,0.0014499-0.00068701i,0.0010118+0.00031475i,-0.00025892+0.00060342i,-0.00086983+0.00050648i
-0.0025338+0.001654i,-0.0024267+0.0019719i,-0.0015734+0.0020036i,-0.00095288+0.0022944i,0.00053424+0.0020539i,0.00054637+0.00046146i,-0.0010486-0.00099683i,-0.0015753-0.00039161i,-0.0012426-7.7362e-05i,-0.0003245-0.00044433i,2.1093e-05-0.00016081i,-9.154e-05+0.00094332i,0.00038495+0.0011823i,0.00089453+0.00053433i,0.0010994-8.0029e-05i,0.0011031-0.00022459i,0.00038226-0.00057413i,-0.00049331-0.00078042i,0.00012698-0.00066682i,0.0010732+8.4508e-06i,0.00061348+0.00053476i,-0.00019105+0.00026715i,-0.0004635+0.00057308i
-0.0026115+0.0014442i,-0.0036958+0.0028304i,-0.0032438+0.0033363i,-0.0014964+0.0016544i,-0.00097644+0.00027384i,-0.0010798-9.0811e-05i,-0.00098568-0.00097539i,-0.0016185-0.0010158i,-0.0013931-0.00017674i,-0.0010719+0.0004222i,-0.0010947+0.00069607i,-0.00026961+0.0010864i,-2.0556e-05+0.00095132i,-0.00027587+0.00043849i,-7.616e-05-0.00028447i,0.00036612-0.00061427i,6.7936e-05-6.1472e-05i,6.5797e-05+0.00044806i,0.0005767+0.00018412i,-0.00034519+3.7254e-05i,-0.00091904+0.00027066i,-0.00036017+0.00025886i,-0.00012549+7.9408e-05i
-0.00086875+0.0014194i,-0.00010645+0.0015939i,0.00020596+0.0014215i,0.00099472+0.00067305i,0.00097724-8.6228e-06i,-0.00038496-0.00062317i,-0.0013272-0.00082912i,-0.00092469-0.00031531i,-0.00067045-0.00014177i,-0.00089155-0.00023176i,-0.0010702+0.00048455i,-0.0013654+0.00074354i,-0.0016181-0.00026319i,-0.001229-0.001208i,-0.00021676-0.00074641i,0.00034578-0.00063348i,0.00069758-0.00013776i,0.00085966+0.00019186i,0.00055362-0.0010682i,0.00045889-0.00035694i,0.00087728+0.00059181i,0.00098435-2.8566e-05i,-3.683e-05-0.00043018i
-0.0015567+0.0014354i,-0.0022579+0.0022219i,-0.0021626+0.0022074i,-0.0014484+0.00094669i,-0.0006208-0.00028346i,-0.00071193-0.00019118i,-0.00062359+0.00033538i,-0.00077843+0.00086732i,-0.00031668+0.0010731i,0.00064317+0.00016644i,-0.00025249-0.00046534i,-0.0013946-0.00071544i,-0.00084055-0.0005586i,-0.00049732+0.00013259i,-0.0013432+4.6375e-05i,-0.0010389-0.00045076i,0.00035776-0.00043615i,0.00097697+0.00011369i,0.00049052+0.0003246i,-0.0001383+0.00042238i,-0.00031237+0.00051229i,0.00024805+0.00062739i,0.00069763+0.00024983i
-0.0024965+0.0027673i,-0.0026925+0.0031124i,-0.0016886+0.002434i,-0.00046168+0.0012351i,-3.4895e-05+0.0005206i,-6.0112e-05-0.000354i,-9.6237e-05-0.0013482i,-0.00049296-0.00081422i,-0.00045552+3.6754e-05i,-0.00062334+0.00054179i,-0.0010179+0.00047748i,-0.00039154-3.1945e-05i,0.00010515-0.00077857i,-9.3316e-05-0.0013581i,-0.00037442-0.000803i,-0.00024701-0.00019894i,8.1564e-05-0.00040611i,-0.00012105+0.00058274i,-0.00040906+0.0013612i,-0.0006079+0.0013577i,-0.00051104+0.00091949i,-0.00013292+5.6901e-05i,0.00047352-0.00024785i
-0.00071931+0.003261i,-0.00015346+0.0037095i,8.4609e-05+0.0030634i,0.00062496+0.0010441i,0.00073277-0.0010588i,-0.000607-0.0024712i,-0.0010526-0.0012322i,-0.00088904-0.00017559i,-0.00085498-0.00041557i,-0.00059637-0.00074512i,-8.4458e-05-0.00061124i,0.00073772+6.4951e-05i,0.0014414+6.1671e-06i,0.0016023-0.00024034i,0.00096216-0.00041732i,0.00047243-0.00084465i,-1.6674e-05-0.00018574i,-9.8194e-05+0.00028333i,0.00047547+0.00071731i,7.8901e-05+0.00059413i,-0.0003294-0.00020098i,0.00048907-0.00033839i,0.00057788-0.00022468i
0.001368+0.0011774i,-0.00070801+0.0022816i,-0.0022781+0.0012004i,-0.001579-0.00068165i,-0.0016895-0.0019324i,-0.0027013-0.0019541i,-0.0026266-0.0012129i,-0.0018793-0.001182i,-0.000325-0.0013116i,0.0004134-0.00064177i,-0.00011328+0.00031303i,0.00051566+0.00082023i,0.0011241+0.0011266i,0.00066058+0.0012927i,0.0010691+0.0016985i,0.001063+0.0017809i,3.0778e-05+0.00054832i,-0.00037863-0.00021898i,-5.0039e-05+0.000759i,0.00025943+0.00094328i,0.00025146+0.00016221i,-0.00016486-0.00035771i,-0.00021077-0.00031687i
-0.0019614-0.00091896i,-0.0017594-0.00032425i,-0.0019937+0.00091593i,-0.0015994+0.0013406i,-0.00085567+0.0011129i,-9.3283e-06+0.00071259i,-0.00013027+0.00040366i,-0.00091501+5.0567e-05i,-0.00096741+0.00010509i,-0.0010018+0.00048671i,-0.00082885+0.00087154i,0.00070718+0.0015896i,0.0013325+0.0020805i,0.00072801+0.0017682i,0.00074133+0.00033966i,0.0002711-0.00063402i,-0.00061327-0.00062223i,-0.00051367-0.001488i,-0.00066417-0.0014976i,-0.00056124-0.00072471i,0.00013808-9.6098e-05i,-6.7454e-05+0.00084424i,-0.00010593+0.00079831i
-0.0010103+0.0019288i,-0.0014474+0.001118i,-0.00094648+0.0011468i,0.00022167+0.00094i,0.00057647+2.4275e-05i,-6.8859e-05-0.00084717i,-0.0011704-0.00069275i,-0.0016845+8.4201e-05i,-0.0010659+0.00046292i,-0.00053946+0.00054176i,-0.0009377+0.00037515i,-0.00099384+0.00029166i,-0.0012407+0.00056062i,-0.001384+0.00043937i,-0.00093401+0.00039901i,-0.00030543+0.00089489i,-0.000306+0.00086112i,-0.00043788+0.00012175i,0.00018917-0.0012329i,0.00092583-0.0013951i,0.00070397-0.00086232i,0.00038178-0.00071375i,9.2077e-05-0.00062638i
-0.0036548+0.0038844i,-0.0023129+0.0050788i,-0.0015379+0.0058067i,-0.00036597+0.0037045i,0.00056668+0.0013597i,0.000823+0.00019026i,0.00019487-0.00020924i,-0.0003249-0.00020783i,0.00019795+1.6904e-05i,0.00023651+0.00030661i,-0.00070975+0.00060222i,-0.0012719-0.00041948i,-0.00091436-0.0010761i,-0.00036301-0.00071177i,6.5616e-05-0.00092811i,0.00071862-0.00084641i,0.00076505-8.357e-05i,0.00045515+0.00043827i,0.00016945-0.00024747i,0.00013017-0.00054151i,5.6139e-05+0.00020848i,0.00023409+0.00099892i,0.0004204+0.00092696i
0.00044189-6.6988e-05i,-0.00060312+0.00021991i,-0.0014336-0.00118i,-0.001435-0.00052311i,-0.0019947+0.0007526i,-0.0017154+0.00066851i,-0.00071516-0.00026683i,-0.00049212-0.00046755i,-8.186e-05-0.00035338i,-0.00064339+9.8749e-05i,-0.0011523+0.0003383i,-0.00037679-0.00014649i,-0.00016218-0.00069381i,0.0001194-0.00077606i,0.00067564-0.0001965i,0.00027014+0.00048484i,-1.8142e-05+0.0010361i,0.00011545+0.0010265i,0.00013142+0.00057769i,0.00053358+0.00020551i,0.001064+0.00017797i,0.0010171+0.00025568i,0.00093424+0.00012554i
-0.00083423-0.0013839i,-0.00087866+0.000147i,-0.0013117+0.0011242i,-0.0016947+0.001017i,-0.0015788+0.00024746i,5.9664e-05-0.00012701i,4.808e-05-0.00028115i,-0.0010514-0.00025249i,-0.00096256-0.00040456i,-0.00084922-0.00072175i,-0.00075368-0.0011145i,0.00015679-0.00084579i,0.00092343-0.0001237i,0.00088844-0.0001914i,0.00035407-0.00039029i,0.00020037-0.00011859i,-3.3912e-05+0.00068526i,-0.00032577+0.0011028i,-4.6019e-05+0.00087379i,0.00094222+0.000946i,0.0018532+0.0010887i,0.0015883+0.0010662i,0.00092589+0.00091801i
-6.6951e-05-0.0013396i,-0.0011937-0.00036575i,-0.0021347-0.0004438i,-0.0020516-0.0014788i,-0.00089083-0.0010432i,-0.0012027-0.00034997i,-0.0018166-0.00093676i,-0.00077182-0.0010315i,4.2269e-05-0.00042494i,-0.00042571-0.00027411i,-0.00038592+0.00028133i,0.00083957+0.00065262i,0.001508+0.00058814i,0.00096659+0.0011891i,0.00043033+0.0012096i,0.00056809+0.00031084i,-1.6733e-05+0.00039374i,-0.00068226+0.00061913i,-0.00014153+0.00083835i,0.00014592+0.001149i,0.00057735+0.00093602i,0.00064468+0.001379i,0.00053017+0.0011596i
-0.00074587+0.0023766i,-0.0032873+0.0041713i,-0.0031993+0.0037827i,-0.0022858+0.0027059i,-0.0027116+0.00066346i,-0.0025368-0.00047429i,-0.002808+8.0664e-05i,-0.0022823+0.00074792i,-0.00010977+0.00045099i,0.00051429+0.00052136i,-9.898e-05+0.0017722i,-0.00016796+0.0028574i,-0.00061891+0.0028069i,-0.000825+0.0024429i,-0.00025063+0.002583i,-0.00059899+0.0015445i,-0.00051809+0.0003366i,-9.515e-05+0.00055032i,-7.3057e-05-0.00012311i,0.00016691-0.00097298i,0.00038727-0.00084448i,6.6372e-05-0.00040704i,-0.0010251+6.0913e-05i
0.00030108+0.0028226i,0.0014605+0.0029357i,0.0027265+0.002181i,0.0022925+0.0011176i,0.00013493+0.000389i,-0.0012039+5.3162e-05i,-0.0011748+0.0001363i,-0.00045814+0.001243i,0.00035117+0.0014596i,0.00018089+0.00067678i,-0.00046914+0.0010289i,-0.0010919+0.001886i,-0.0010142+0.0013558i,-0.00051674+0.00014457i,-0.00093472-0.0006617i,-0.00081959-0.0008113i,0.00025967-0.00052333i,0.00059494-7.8237e-06i,0.00034477+0.00054603i,1.0239e-05-0.00015772i,-0.00067014-0.0012227i,-0.00018688-0.001265i,0.00021064-0.0007957i
0.00027913-0.0030857i,0.00027868-0.0045636i,-0.00039139-0.0038025i,-0.00077951-0.0028434i,-8.7041e-05-0.0013536i,-0.00020067+9.1194e-05i,-0.00069658+0.00081978i,-8.2831e-05+0.00084615i,0.00023329+0.0004294i,-0.00029148-0.00019921i,-0.0012481-0.00067299i,-0.0024687-0.00083148i,-0.0024261-0.001118i,-0.0014472-0.00060855i,-0.0011362+0.00018773i,-6.3752e-05-0.0004379i,0.0010827-0.00065808i,0.00074643-0.00062184i,0.00045587+0.00018101i,0.00098268+0.0010514i,0.00048465+0.00050301i,-0.00031898-0.00057768i,-0.0005532-0.00098762i
-0.0010548+0.00041332i,-0.0032427+0.0021779i,-0.0035084+0.0013996i,-0.0023473+0.00013358i,-0.001701-0.00010913i,-0.00052049-0.00013724i,-0.0003926-0.00071428i,-0.00073711-0.0011472i,-0.00085905-0.00095731i,-0.0013621-0.0011419i,-0.0014772-0.0013749i,-0.000997-0.00099476i,-0.00077327-0.0017978i,0.00015174-0.0016881i,0.00055898-0.00077302i,0.00011158-0.00032149i,-0.00020237+0.00037781i,-0.00017498+0.00050667i,0.00070679+0.00041718i,0.0005663+0.00031511i,-0.00038051+4.7054e-05i,-3.4175e-05-0.00044641i,0.00077475-0.00011947i
-0.0015666+0.001839i,-0.0022706+0.0043382i,-0.002475+0.0047193i,-0.0020944+0.0029578i,-0.00088191+0.0010663i,-0.00015327-0.00014412i,-0.00049681-0.0013007i,-0.00063264-0.001674i,-0.0003971-0.00066981i,-6.5046e-05-0.00039347i,0.00027301-0.00075829i,0.0010658-0.00037318i,0.0017789+0.00051107i,0.0013745+0.00083297i,0.0013324+0.00035751i,0.0012812+0.00063986i,0.0011621+0.00079395i,0.00065985+0.00024572i,-0.0010344-0.00017118i,-0.0011226+0.0001146i,-0.00039109+0.00058073i,-0.00017121+0.00019912i,0.00026032-0.00071625i
-0.00047152+0.0048004i,0.00076923+0.0073186i,0.0011275+0.0053022i,0.00030419+0.0014953i,-0.0012831+0.00010799i,-0.0010416-0.00039209i,-0.0002039-0.0012318i,-0.001374-0.00021913i,-0.0016428+0.00026289i,-0.00080411+0.00020237i,0.00033018+0.00039542i,0.0019961+0.00065443i,0.0021257+0.00090546i,0.0014759+0.0010862i,0.00086136+0.0015862i,0.00040446+0.0016592i,0.00068518+0.0010287i,0.00055366+0.00031851i,0.00013202-0.00058508i,-0.00019316-0.00072423i,-0.00012964-6.226e-05i,0.00024074+5.721e-05i,0.00046212-0.0002824i
0.00087989-0.0049656i,-0.00039536-0.0081008i,-0.0016822-0.0074057i,-0.0019484-0.0033472i,-0.0011161-0.0002111i,-0.0010899+0.00045248i,-0.0012004-6.6123e-05i,-0.0004042+0.00013692i,0.00042278-0.00022125i,0.00035641-0.0004153i,-0.00050495+0.0006329i,-0.0002374+0.0022062i,9.0002e-05+0.0029701i,7.0475e-05+0.0018011i,0.00014123+0.00075186i,-0.00025228+0.00050836i,-0.00049528-0.00021177i,9.7726e-05-0.00076386i,0.00025222-0.00040472i,-0.00028974+0.00040782i,-0.00033493+0.00050497i,0.00096703-7.9282e-05i,0.0014853-0.00012671i
-0.0036908+0.0002123i,-0.0081697+0.00016708i,-0.0092672+0.0001868i,-0.0058204+0.0011348i,-0.0027843+0.00095551i,-0.0013679+0.00076494i,-0.00057651+0.00067831i,-1.7663e-05+0.00037717i,-0.00046782+0.00036891i,-0.001181+0.00050466i,-0.0015021+0.000657i,-0.0016733+0.0012698i,-0.0020583+0.0017643i,-0.0013724+0.001983i,-0.0005567+0.0013789i,-0.00087404+4.2571e-05i,-0.00085131+0.00017442i,-0.00089884+0.00083812i,-0.00028147+0.00044548i,7.9881e-05-0.00049248i,-0.0005429-0.0010095i,-0.0004585-0.00035625i,0.00025279-0.00014781i
0.0010696+0.0029005i,0.00067788+0.0056872i,0.0011614+0.0060244i,0.00084313+0.0027775i,-0.00087041+0.0010594i,-0.0016808+0.0014078i,-0.00078355+0.0011448i,-0.00042653+0.0004745i,-0.000571-0.00030226i,-0.00097609-3.0995e-05i,-0.0017768+0.00068571i,-0.0021422+0.00058736i,-0.0021077+0.00075296i,-0.0013281+0.00074815i,-0.00096406-0.00039844i,-0.00024823-0.0011816i,0.0003692-0.0011984i,0.00053428-0.00043392i,0.00088347+0.00079462i,0.00087917+0.00062981i,0.00084865-0.00026715i,0.00079013-3.3351e-05i,0.00030691+0.00054174i
-0.00030769+0.00064809i,-0.00063483-0.00018219i,0.00054659-0.0020172i,0.00014501-0.0026199i,-0.0012022-0.0020276i,-0.00039384-0.0011482i,-0.00034036-0.0011997i,-0.00043978-0.0012698i,-0.00038733-0.00062203i,-0.00068341-0.00079551i,-0.00024554-0.0010999i,0.00027042-0.0010634i,0.00041442-0.0009029i,-0.0003163-0.00016811i,-0.00057404+0.00059662i,0.00023781+0.00056727i,0.00030011-0.00041228i,-0.00041275-0.00068257i,-0.00025531+0.00032671i,0.00049174+0.00075708i,0.00024637-0.00032394i,-0.00032758-0.00084111i,-0.00023815+0.00030253i
0.00080408+0.00014523i,0.00080326-0.00117i,-0.00026796-0.0019602i,-0.0012607-0.0017092i,-0.00018643-0.00095906i,0.00012485-0.00054323i,-0.0014877-0.00051467i,-0.0020301-0.00027218i,-0.001182+0.00017065i,-0.00035675-8.8012e-05i,0.00052913-0.0003781i,0.0014575-0.00087305i,0.0018632-0.0016588i,0.0013772-0.0011674i,0.00063134+0.000156i,0.00090527+0.0019403i,0.0012744+0.0020643i,0.00088052+1.6882e-05i,0.00016811-0.00065612i,-6.7611e-05-0.00017898i,0.00021401+0.00015514i,2.746e-05+0.0002791i,-0.00035259-5.5325e-05i
-0.0071109-0.0025404i,-0.011014-0.001357i,-0.010523+0.0010598i,-0.0047341+0.002606i,-0.0014601+0.0012469i,-0.0015065-0.0007702i,-0.0021113-0.00069961i,-0.001946+6.9107e-06i,-0.00087196-0.0001288i,-0.00011082-0.00035526i,0.0004043-0.0002639i,0.0011639-3.0912e-05i,0.0018529+0.00048887i,0.0017942+0.0011638i,0.00057683+0.0016191i,-0.00073351+0.0020877i,-0.0010389+0.001974i,-0.00045886+0.00092666i,-0.00036357-0.00057368i,-0.00089473-0.00059337i,-0.0010729-0.00038539i,-2.9798e-05-0.00045232i,0.00087672+0.00032763i
3.2367e-05+0.00040468i,-0.00034938+0.0034036i,-0.00042416+0.0034813i,-3.8734e-05+0.0014321i,1.4882e-05+0.0010398i,-0.00053266+0.00087442i,-0.001047-9.2047e-05i,-0.00017159-0.00082692i,0.00033049-0.00021366i,-0.0001722+0.00065831i,-3.2292e-06+0.001283i,0.00043258+0.0023635i,0.00010643+0.0021208i,-2.5617e-05+0.00099791i,-0.00053266+0.00028191i,-0.0011861+0.00024417i,-0.00061202+0.0004021i,0.00026615+7.8173e-05i,0.00060341-0.00024891i,0.00036603-0.00027551i,-6.288e-05-0.00019288i,7.9307e-06-0.0002446i,0.00021229-0.00042242i
0.00047997+0.0014682i,0.00017243+0.00044868i,-0.00042925-0.00066741i,-0.00059991-0.00054367i,-0.00070874+0.00010768i,-0.00050146-0.00053395i,-4.3918e-05-0.001302i,0.00034721-0.00090238i,0.00050304-0.00068822i,-0.00038654-0.00055941i,-0.0009204+0.0006103i,-0.0010575+0.0018799i,-0.00079246+0.0021615i,-0.00036668+0.0013464i,-0.00071523+0.00057799i,-0.00083077-0.00034944i,-0.00083093-0.0010382i,-0.00080814-0.00056471i,-0.00048805-0.00018319i,-0.00024592-0.0001488i,-0.00089749+0.00043498i,-0.0010875+0.00061888i,-0.00030923+0.00052149i
-0.0014264+0.002314i,-0.00026192+0.0034798i,-0.0014087+0.0041568i,-0.0026105+0.0034408i,-0.0018649+0.001275i,-0.0010728-8.7698e-05i,-0.00088437-0.00030656i,-0.0010274-0.00048886i,-0.00091961-0.00027699i,-0.00065164+0.00021866i,-0.0015187-0.0003741i,-0.002739-0.0015087i,-0.0021657-0.001205i,-0.00093217-0.00050851i,0.00090803-0.00073207i,0.0022821-0.0013123i,0.0015781-0.00090141i,0.00074239-0.00021799i,0.0010863+0.00024656i,0.0011493+0.00045912i,9.116e-05+0.00028923i,-0.0010128-1.1957e-05i,-0.00079286-0.00017532i
-0.0058638-0.00080818i,-0.0074076-0.0015843i,-0.0048161+0.00057468i,-0.0019846+0.0013056i,-0.00072276-0.00039362i,-7.3083e-05-0.00095892i,-7.1156e-05-0.00014775i,-0.0014618-0.00019076i,-0.0017233-0.00015918i,-0.00042967-0.0010685i,-0.00019875-0.0028185i,-0.0006668-0.0024024i,-0.0010706-0.0010915i,-0.00028154+0.0001261i,0.00057934+0.0011697i,0.0011395+0.00043421i,0.0015125+0.00026834i,0.00037831+0.0013506i,-0.00025122+0.0014098i,9.8366e-05+0.00079823i,0.00024828-0.00033676i,0.00066039-0.0013758i,0.00092212-0.00083938i
-0.0035463-0.00089962i,-0.0031374-0.00054924i,-0.001756+0.00041398i,-0.0010987-0.00094412i,-0.002041-0.0020221i,-0.0022074-0.0015696i,-0.0017874+0.00017574i,-0.0016909+0.00090103i,-0.00072811+0.00010825i,0.00013274-0.00049447i,0.00017074+0.00015517i,0.00036081-2.009e-05i,0.0011176-0.00064058i,0.0014879-0.00079422i,0.0018019-0.00067746i,0.0016864+0.00072801i,0.00096411+0.0010996i,6.2723e-05+0.0001977i,-0.00053754-0.00049014i,-0.00031051-3.7898e-06i,0.00061022-0.00030533i,0.0014702-0.00056313i,0.00070198+5.938e-05i
-0.0037656-0.0027519i,-0.00562-0.00098394i,-0.0061211+0.00069553i,-0.0039656+0.0018645i,-0.00045344+0.0019832i,0.0019404+0.0013717i,0.002025+0.00072034i,0.00082948-0.00014259i,9.4037e-05+8.2818e-05i,-0.00024236+0.00037391i,0.00026294+0.00089111i,0.0015148+0.0013686i,0.0029284+0.0006591i,0.0032108+0.00082916i,0.0013195+0.0011531i,-0.00046333+0.00099275i,-0.00059999+0.0011283i,-0.00022935+0.00080538i,-0.00015832-2.544e-05i,-0.00064421-0.0002902i,-0.00081396+0.00021072i,-0.00029141+0.0011902i,0.0004989+0.0014402i
0.0015569+0.0020399i,0.0018218+0.0040035i,-0.00026469+0.0035905i,-0.0019836+0.0026813i,-0.0019301+0.0020481i,-0.0015414+0.00077177i,-0.0010637-0.00041373i,0.00016987-0.00025191i,-0.00010343+0.00099959i,-0.0010892+0.0018434i,-0.00092095+0.0022572i,-3.2631e-05+0.0014743i,0.00042981+0.00048862i,9.1044e-05-0.00011811i,-0.00083583-0.0004979i,-0.0019107-0.00031833i,-0.0014864-0.00025455i,-1.587e-05-0.00018765i,-0.00056257-0.00019027i,-0.00092417-0.00074688i,-0.00042012-0.00034743i,-6.2364e-05+0.00055839i,0.00037797+0.0003123i
