-0.0024501+0.0012906i,-0.0015106+0.00017765i,-0.0026034-0.00057596i,-0.0024612-0.000748i,-0.0016095+0.00030184i,-0.00097825+0.0015617i,-0.00073749+0.0023145i,0.00041891+0.0021082i,0.0016405+0.0012392i,0.00097937+0.00042168i,0.00010791-0.00049031i,0.00053916-0.00057203i,0.0012637+0.00084873i,0.0017669+0.0016716i,0.0012127+0.00066035i,0.00029808+2.1276e-05i,-0.00015236+0.00031309i,-0.00047581-0.00058027i,0.00075282-0.0012143i,0.00099139-0.0007982i,-0.00039923-0.00018168i,-0.00036727+2.5185e-05i,-0.00023058+0.00019537i
-0.00094465+0.00018829i,-0.00017299+0.00075104i,-0.00060118-0.0003178i,-0.00047797+5.6886e-05i,-0.00014288+0.0010566i,-4.2476e-06+0.00072549i,-3.1468e-05+0.00091507i,0.00011984+0.0010495i,0.00068545-1.0222e-05i,0.00070118-0.00097589i,0.001084-0.0010888i,0.00029014-0.00067832i,-0.00051459-0.0006037i,0.00026598-0.00067922i,0.00015554-0.00053074i,0.00058348-0.00066206i,0.00095111-0.00054554i,-0.00015563+4.7671e-05i,-0.00065041+6.4384e-05i,-0.00043198+0.00032758i,-0.00050753+0.00033973i,1.9245e-05-0.0001341i,0.00049697+0.000226i
0.00090623-0.00092971i,0.00030513-0.00060443i,0.00031231-0.00090274i,0.00043669-0.0016959i,-0.00031281-0.001152i,-0.0010182+0.00029018i,-0.00057956+0.00077839i,0.00016649+0.00029732i,0.00079041+0.00015554i,0.0004429-8.7221e-06i,-0.00054843-0.00087936i,-7.6933e-05-0.00087229i,0.00068865-0.00028907i,0.0004111+9.2121e-05i,1.6675e-05+0.00037573i,-1.4646e-06-0.00016986i,-0.00044078-0.00090768i,0.00012333-0.00082209i,0.0010507-8.4206e-05i,2.7621e-05-0.00019212i,-0.00028736-0.00085724i,0.00075157-0.00065637i,0.00061833-0.00041918i
0.00090739-0.0029937i,0.00061185-0.0034367i,-0.00065323-0.0021252i,-0.0020768-0.00055623i,-0.0020733-0.00013613i,-0.0013628+0.00054774i,-0.00095223+0.0010162i,-7.5328e-05+0.0010748i,0.00067264+0.00040459i,0.0008158+4.2416e-05i,0.0010416+0.00055987i,0.0011647+0.00044032i,0.0012969-0.00043704i,0.00050489-0.00044428i,-0.0002762-0.00032862i,1.7959e-05-0.00071398i,0.0003399-0.00020228i,0.00063772+0.0003004i,0.00089287+0.00043419i,0.0014124+0.00036284i,0.00095367+0.00029951i,0.00022208-0.00055664i,-0.0003165-0.0010011i
-0.0011637-0.0010874i,-0.00063258+0.00054574i,-0.00030595+0.00064601i,-5.2648e-05+0.00042072i,0.00053317+0.001295i,0.00076428+0.0013295i,0.00064466+0.00033487i,0.0012315+0.00068373i,0.001678+0.0010116i,0.0013347+0.00114i,0.00068001+0.00038855i,0.00084065-0.00033232i,0.00084586+0.00038006i,0.00072958+0.00052792i,0.00054303+0.00019984i,-6.9934e-05+0.00015542i,8.0774e-05-0.00011969i,0.00057329-0.00018962i,0.00033274-0.0003922i,0.000246-0.00088535i,0.00061699-0.00036391i,5.4972e-05+0.00023735i,-0.00013903-0.00094155i
-0.00069567+0.00081068i,-0.0011077+0.00077087i,-0.00021313+0.00057988i,0.00060223-0.00042966i,-0.00011856-0.0015196i,-0.0003693-0.0015812i,-0.000692-0.0007975i,-0.00010189+0.0002955i,0.00080689+0.00076412i,0.00034379+0.00067598i,9.6423e-05+0.0005317i,0.00020569+0.00062427i,0.00032106-9.5706e-05i,0.00035661-0.00076997i,-7.026e-05-0.00032128i,-0.00048748+0.00025638i,0.00038539+0.0001959i,0.00099232+8.8516e-06i,0.0007969+4.2586e-05i,0.00065367-0.00018224i,0.00031126-9.4049e-05i,0.00042875+0.0002819i,-0.00045422+0.0004051i
-0.00047723+0.0012084i,-0.00065939+0.00080613i,-0.00092611+0.0012528i,-0.00042447+0.0017828i,-0.00049875+0.0013995i,-0.0007462+0.00060694i,-0.00015144+0.0012483i,0.00021179+0.0014979i,0.00022488+0.00098539i,0.00046672+0.00047891i,0.00091309-8.2167e-05i,0.00059585-0.00011356i,0.00046426-0.00073674i,0.00072466-0.0012515i,0.00087139-0.00066527i,0.0006205-5.4421e-05i,0.00025269+1.34e-05i,0.00052451+0.00021415i,0.00037395+0.00019391i,-0.00013445-0.00034382i,-0.00050836-0.00037026i,-0.00057259-0.0005202i,0.00043208-0.0007151i
-0.00039906+0.0010355i,0.00075502+0.0013013i,0.0012554+0.0016012i,0.0011733+0.0011996i,0.00098029+0.001083i,0.0008293+0.0010571i,0.000709+0.00085116i,0.00034632+0.00031206i,8.2874e-05-1.0928e-05i,9.4468e-05+0.00019515i,0.00044972-0.00035573i,0.00044171-0.00059542i,0.00049822-3.1765e-05i,0.00070767+0.00027889i,0.00056528+0.00019629i,0.00022858+1.0679e-07i,0.00023854+0.00022008i,-0.00014966+0.00039137i,-0.00045824+7.4218e-05i,0.00022709-0.00084143i,7.694e-05-0.00070242i,-0.00016107-0.00057084i,0.00053435-0.00075816i
0.0018544+0.00059558i,0.0021923+0.00018734i,0.00091148-0.00022613i,0.00047655-0.0010319i,0.00065803-0.0010074i,-0.00015714-0.0003645i,-0.00027469+0.00016436i,0.00065685+0.00043198i,0.001414+3.7646e-05i,0.0014378-0.00075199i,0.0010582-0.0014556i,0.00056061-0.00096977i,0.00061973+3.4687e-05i,0.00085379+0.00017648i,0.00040307+0.00015673i,1.003e-05-8.3173e-05i,0.00030895-0.00068617i,-2.2992e-05-0.00065497i,-0.00049236-0.00012371i,-0.00035812+0.00035966i,0.00014319-0.00060744i,0.0010722-0.0013828i,0.0012689-0.00036002i
0.00097456+0.00015139i,0.0018186+0.00076571i,0.0015802+0.0014668i,0.00023512+0.001666i,-0.00035194+0.001413i,-5.2036e-05+0.00084594i,0.00038145+0.0010449i,0.00023385+0.0012152i,3.9252e-05+0.00028329i,0.00025578+0.00028021i,0.00053906-0.00020679i,0.00043773-0.00053953i,0.00045176+1.8428e-05i,0.00086285+2.6058e-05i,0.00076977+7.7819e-05i,0.00054979-2.9016e-05i,0.00066631+3.7164e-05i,0.00099718+0.00018243i,0.0010822-3.0929e-05i,0.00097299+0.00023302i,0.0001212+8.2562e-05i,-0.0010043-7.1205e-05i,-0.00060242+0.00058775i
-0.0024494-9.2552e-05i,-0.0017278+0.00031348i,-0.0023215+0.0013139i,-0.0014459+0.0011163i,0.0002207+0.00065238i,0.00020939+0.00016169i,-0.00017706-0.00024183i,-2.1253e-05-0.0001724i,0.00022634+0.00012865i,0.00054699+0.00046727i,0.00067811+0.00095904i,0.00051565+0.00064944i,-0.00023404-0.0002214i,-0.00037985-9.8606e-05i,0.00012487+0.00058822i,0.00022435+0.00065186i,0.00020121+0.00043241i,-0.00041902-0.00063624i,-0.00054402-0.00053319i,-0.00015033+8.7525e-05i,-9.1356e-05+0.0002413i,-0.00044503+0.00087986i,-0.00047563+0.00084804i
-0.0019225-0.0010638i,-0.0022603-0.001397i,-0.0026315-0.00030815i,-0.0014675+0.00013735i,-0.00095299+0.00083682i,-0.00031019+0.0012307i,0.00030208+0.00085394i,0.00028324+0.00065006i,0.00036081+0.00094681i,0.00076022+0.0010508i,0.00095334+0.00067586i,0.00081778+0.00081141i,0.00017581+0.0010973i,-0.00040768+0.00058342i,0.00040812-0.00011677i,0.0014431-0.0001875i,0.00065507+0.00033285i,-7.082e-05+0.00011769i,0.00014321-0.00025571i,0.00012529-0.00014083i,-0.00011857-0.00010088i,0.00015989-0.00036171i,0.00025579+0.00020961i
0.0001043+0.00079159i,-8.9418e-05+0.00086397i,-0.00028335+0.00091839i,0.00050289+0.00048824i,0.00043417+0.00016308i,9.9701e-06-0.00052528i,0.00070722-0.00038506i,0.00085194+0.00071175i,0.00046229+0.0012489i,0.00057091+0.00069252i,0.00062169+0.00019065i,0.00090699+3.6835e-05i,0.0011336+8.495e-05i,0.00088879-0.00026926i,0.00054088-0.00081245i,-3.3557e-05-0.00088576i,-0.00021938-0.00054135i,0.00026542-0.00010239i,0.00054412+0.00019591i,0.0011078+0.0001209i,0.00041368+0.00030831i,-0.00079728+4.3334e-06i,-0.00069224-0.00037346i
-0.00010031+0.00026569i,-0.00020485+0.00060754i,-0.000543+0.0004042i,-0.0011561+7.6721e-05i,-0.0014311+0.00036873i,-0.0011909+0.00093505i,-2.3561e-05+0.0011039i,0.00081081+0.0008051i,0.00093411+0.00076359i,0.0008622+0.00031339i,0.00066015-0.00043871i,0.0011346-0.00070657i,0.0017881-0.00016231i,0.0016331+0.00025989i,0.00093073-0.00059043i,-4.418e-05-0.0016529i,-0.00058361-0.0014111i,-0.00022109-0.0010189i,0.00037438-0.00063977i,8.9864e-05+6.1389e-05i,-0.00016643+0.00035025i,-7.2953e-05-0.00015577i,0.00027635-0.00064136i
-0.00015897+0.0012557i,0.00090696+0.0019281i,0.0017717+0.0027711i,0.00082164+0.0023576i,-0.00043617+0.0014395i,-0.00034164+0.00056408i,-0.00026644+0.00091948i,-0.00052246+0.00093012i,-9.0449e-05+0.00062616i,0.00085497+0.00044737i,0.00067929-0.00044129i,4.1502e-05-0.00092992i,0.00034088-0.0003949i,0.00046956+0.00026985i,0.00021257-0.00017035i,0.00061244-0.00097327i,0.00043536-0.0012017i,-0.00040388-0.0016062i,-0.0003485-0.0011575i,-8.883e-05-0.00038769i,-0.00015852+1.4841e-06i,-4.4816e-05+0.00012333i,0.00017091-0.0003911i
0.00014296+0.0020855i,-0.00021722+0.0019623i,-0.00084727+0.0019789i,-0.00023162+0.0015821i,9.5869e-05+0.00077269i,3.1117e-05+0.00025246i,-0.0001778+0.00079628i,0.00015262+0.0014517i,0.000601+0.0013444i,0.00044396+0.00070293i,0.00043682+0.00029666i,0.00038559-0.00016566i,0.00041142-0.00090607i,0.00015361-0.00069059i,-0.00060946+0.00025637i,4.0335e-05+0.00082357i,0.00036049+0.0014145i,-0.00066312+0.0010396i,-0.00069241+0.00036926i,5.1512e-05+0.00022516i,0.00063071+0.00026881i,-0.00010991+0.00032341i,-0.00045856+0.00045503i
0.00017436-0.00031671i,0.00012967+0.000175i,0.00041093-0.00049524i,1.9083e-05-0.00036317i,-0.00067364+0.00052756i,-0.00011106+0.00095175i,0.00035233+0.0010208i,0.00062294+0.00073353i,0.00085266+0.00014956i,0.0010181-0.00011927i,0.0010397-0.00029987i,0.0014849-0.0008875i,0.0016998-0.00059347i,0.00051795+3.4233e-05i,6.5772e-05-8.0371e-05i,0.00060125-0.00022554i,0.00021704+0.00018402i,-0.00043605+8.0657e-05i,-0.0001791-0.00055902i,-0.00019432-0.00060523i,-0.00074938-0.00079132i,-0.0010899-0.00071922i,-0.00083465-0.00021771i
0.00013894-0.0009356i,4.79e-05-0.00058389i,0.0013931-0.00023859i,0.00079329-0.00012749i,-0.00020626-0.00042254i,-0.000455-0.00056862i,-0.00085611-3.1344e-06i,-2.2488e-05+0.00060839i,0.00082983+0.00082642i,0.0010578+0.00049043i,0.00053905-5.9763e-05i,0.00082499-0.00019466i,0.001847-0.00055836i,0.0015888-0.00039278i,0.00073346-0.0003346i,-5.9419e-05-0.00054426i,-0.00039399-0.00026961i,0.00010782-0.00039382i,0.0010171-0.00064198i,0.00099726-0.0009917i,0.00016331-0.0011776i,-0.00047978-0.00045802i,-0.00080407+0.00045443i
0.00085968+0.00011756i,-0.00088853-0.00013194i,-0.00071477-0.0011745i,0.00092903-0.0011063i,0.0011138-1.3223e-05i,0.00063931+0.00091628i,0.00030049+0.00089839i,-0.00014656+0.00084598i,0.00018326+0.00072254i,0.0005372+0.00017956i,0.0006924+3.4594e-05i,0.00094388+0.00012076i,0.00087968-0.00042404i,0.00021335-0.00034811i,0.00012109+1.1734e-05i,0.00064107+0.00018382i,0.00030673+0.00012804i,-0.00012663-0.00040325i,0.00023014-0.00067332i,0.00081309+0.00049547i,0.0010271+0.0011236i,0.00066441+0.00075645i,4.0098e-05+0.001003i
-0.00083972-0.00099144i,-0.0003344-0.0018167i,-0.0002424-0.0013973i,-0.0005414-0.00064229i,-0.00082243+0.00072637i,-0.00073096+0.0011108i,-0.00022344+0.00067448i,0.00070767+0.0011068i,0.0010808+0.0012445i,0.00088049+0.00018256i,0.00052109-0.00032971i,-8.0559e-05+0.00054872i,-0.00054759+0.00068022i,-0.00041735-0.00057713i,0.00031274-0.00051604i,-1.6573e-05+3.3064e-05i,-0.00078455-0.00089025i,-0.00056274-0.0019343i,0.00043007-0.0013592i,0.00066781-0.00051427i,0.00018947+4.3081e-05i,-0.00015316+0.00051734i,-0.00045504+0.00063912i
0.0014623+0.00064967i,0.0011128+0.0013471i,0.00017439+0.0014263i,0.00049998+0.00091037i,0.0010711+0.00048785i,0.0010885+0.00063942i,0.0010995+0.00093305i,0.0013487+0.00085619i,0.0016328+0.0012008i,0.0015208+0.0016385i,0.0014411+0.00082207i,0.0018257-6.9873e-05i,0.0019884-0.00020758i,0.0008758-3.8648e-05i,0.00020077-1.1474e-05i,0.00083944+0.0001283i,0.00070321+5.0337e-05i,0.0010791-0.00060326i,0.0014612-0.00034646i,0.00079962-0.00010437i,0.00036765-0.00075916i,0.00030261-0.00076722i,0.00055369+1.9576e-05i
-0.00020132+0.00012098i,0.00020822-0.00028393i,0.00079899-2.1653e-05i,0.0002673-0.00076039i,-0.00047635-0.00059968i,-6.5523e-06+0.00058337i,-0.00035224+0.0015112i,-9.4953e-05+0.0012519i,0.00037973+0.00078018i,8.1077e-05+0.00022951i,0.0001929-0.00043615i,0.00030541-0.0010327i,0.00085086-0.00098637i,0.00084566+3.6856e-05i,-1.3752e-05+0.00013255i,-0.00010479-0.00033856i,0.00068888-0.00080714i,0.0011135-0.001115i,0.00070902-0.00039817i,8.6338e-05-0.00030734i,-0.00037363-0.0005663i,-0.00099625-0.00016364i,-0.00096135+0.00030924i
-0.00013752+0.0013132i,-0.000584+0.0016201i,-0.00081802+0.001777i,-0.00062989+0.0011463i,-0.00035448+0.0001527i,-0.00070576-0.00028332i,-0.00034826-0.00030997i,-0.00011261+0.00014123i,-0.00028698+0.00076309i,0.00037653+0.00025035i,0.001213-0.00079473i,0.00094122-0.0013597i,6.3337e-05-0.0014077i,0.00014351-0.0003638i,0.00068862+0.0004181i,0.00063146+1.757e-05i,0.00064812-0.00085052i,0.00032576-0.0010102i,0.00017979-0.00042064i,-0.00028742-6.3399e-05i,-0.00062811-0.00013401i,-8.9667e-05-0.00044782i,0.00030144-0.00044688i
0.0011742-0.00017084i,0.0012312+0.00056025i,0.00093144+0.00025947i,0.00096689+8.8626e-05i,0.00054473+0.0012808i,5.7916e-05+0.0021284i,-0.00063304+0.0017209i,-0.00097207+0.0018753i,-9.0573e-05+0.0017009i,0.00077693+0.00026592i,0.0013233-0.00074387i,0.0010856-0.00062425i,0.00027281-4.3567e-05i,0.00043477+7.0453e-06i,0.00059919-0.00040302i,0.00027302+7.1228e-05i,1.132e-05+0.00086147i,0.00046264+0.00064624i,0.00034182+0.00016547i,-0.00014003+0.00047261i,-0.00046825+0.00066148i,-0.00053422+0.00010995i,-0.00025685-0.00034222i
-0.0024095+0.00010073i,-0.0022643-0.00199i,-0.0017082-0.0023876i,-0.0011594-0.0019624i,-0.00097726-0.00076212i,-0.00051383+0.00019816i,-0.00029496+0.00012921i,9.2638e-06+0.00019382i,0.00036069+9.4545e-05i,0.00039112-0.00015668i,0.00074452+8.9251e-06i,0.00069885+0.00033178i,0.00043747+0.00026709i,0.00038923+0.00011975i,-7.142e-05+0.00043966i,-0.00023355+0.00036861i,0.00013137+1.365e-05i,0.0002415-0.0007047i,-0.00010557-0.0010027i,-0.00012802-0.00097608i,0.00038296-0.00066018i,0.00086235-1.453e-05i,0.00048252+0.00022647i
-0.00029545-0.0024394i,0.00055436-0.00062576i,-0.00071036+3.1325e-05i,-0.0017973-7.0894e-05i,-0.0013685+0.00092069i,-0.00098815+0.0012157i,-0.00040415+0.001032i,0.00060308+0.0015548i,0.0008203+0.0015743i,0.00061148+0.00026966i,0.0010512-0.00047722i,0.0010522-0.00039399i,0.00051171-0.00014546i,0.00029325+0.00043124i,0.00015739+0.0003368i,-0.0002111-0.00023135i,0.00051911-0.00082051i,0.00075649-0.00033187i,-5.9963e-06+0.00021423i,7.0631e-05+0.00024552i,0.0003751+0.00076003i,0.0010751+0.0010375i,0.00095144+0.00050623i
-0.0009334-0.00067618i,-0.00045191-0.0010568i,-9.6651e-05-0.00077078i,0.00034414-0.0003125i,0.00024711-0.00040262i,0.0005599-0.00075313i,0.00098131-0.0010594i,0.00065906-0.0012275i,0.0010881-0.00047969i,0.0011417+4.5544e-05i,0.00066815-0.00020747i,0.00041013-0.00054767i,0.0002952+2.9734e-05i,0.00094016+0.00072327i,0.0009097+0.00072064i,5.9929e-05+0.00051255i,4.9795e-05-6.4097e-05i,0.00010276-0.00017872i,0.00012621+1.8083e-05i,0.00028566+9.8469e-05i,0.00078185+0.00014036i,0.0007254+0.00048961i,0.00046744+0.0008569i
-0.00067971-0.0002701i,-0.0006154+0.00034896i,-0.00068852-0.00016232i,-0.00077851-0.001001i,-0.00065564-0.00055697i,-0.00038012+0.00012245i,0.00081863+0.00026443i,0.0018279+0.000282i,0.001823+0.00030311i,0.0013569+0.00022918i,0.00082296+0.00033194i,0.00057905-0.00036448i,0.0013403-0.00078402i,0.0017183+9.0873e-05i,0.0009928+0.00090554i,0.00047415+0.0013758i,0.00094072+0.0013314i,0.00063386+0.00077648i,-9.2135e-05-0.00026563i,7.3065e-05-0.0010472i,0.00029404-0.00053499i,-0.00039503-8.9108e-05i,-0.00059509+8.7748e-05i
0.00037948+0.0021076i,0.0003301+0.00253i,0.00092885+0.0026042i,0.0016578+0.0019252i,0.0012502+0.00045341i,0.00021092-0.00042877i,-0.00021247+0.00021423i,7.3596e-05+0.0010963i,0.00034274+0.00099509i,0.00086833+0.00015995i,0.00097176-0.00080181i,0.00064102-0.00086245i,2.3365e-05-0.00032482i,-0.00035741-0.0003532i,0.00046649-0.00015053i,0.0007142+0.00051082i,0.00037518+0.00077818i,7.5217e-05+0.00045287i,0.0006341-0.00010528i,0.00098688+5.0172e-06i,0.00082432+0.00013711i,8.9804e-05-0.00023492i,-0.00095575+0.00019406i
0.00021966-0.00080382i,0.00036522-0.00076814i,-0.00080922+0.00059975i,-0.0012837+0.001246i,-0.00054499+0.00076012i,-0.00011468+0.00077783i,-0.00018396+0.0012559i,-0.00010466+0.00074466i,0.00017938+0.00019059i,0.00018408+8.6595e-05i,0.00042648+1.5457e-06i,0.0013073+0.00029918i,0.0016378+5.4699e-05i,0.0011235-0.00043497i,0.00052292-0.00048271i,-5.4965e-05-0.00070566i,-0.00031606-0.00079342i,-0.00018852-0.00034124i,-1.6536e-05+0.00023455i,-0.0001471+0.00042602i,-0.00046648+0.001311i,-0.00077745+0.0014697i,-0.00040867+0.00055621i
0.0020969+0.0012044i,0.0024833+8.5917e-05i,0.0024099+0.0016603i,0.00090344+0.0030571i,6.213e-05+0.0018529i,0.00068805+0.00016359i,0.00055868+0.00031033i,-0.00026152+0.0012332i,8.2655e-05+0.0013073i,0.00077953+0.00073826i,0.00049405-0.00026361i,0.00047258-0.00088092i,0.0015158-0.0011237i,0.001563-0.00095476i,0.00074679-0.00066583i,0.00028217-0.00037334i,3.0314e-05+0.00033962i,0.00042104+0.00056208i,0.0009894+0.00019137i,0.00079448-8.2008e-05i,0.00039172-0.00057932i,0.00053338-0.00062733i,0.00057674-0.0004301i
-0.00059631-0.0006183i,-0.00065414+8.4125e-05i,-0.00058734-0.00041688i,-0.0010988-0.00032594i,-0.00024523+0.00041886i,0.0011837+0.00061988i,0.0010095+0.00061756i,0.00065711+0.00093381i,0.00075664+0.00087035i,0.0012367-0.0002375i,0.0015135-0.00073128i,0.00079925-0.00089804i,-5.1087e-05-0.0016152i,-0.00033009-0.0019965i,-1.1738e-05-0.00097141i,0.00015922-0.00047346i,-1.7176e-05-0.00090545i,-0.00015234-0.00061847i,0.00060243-0.00054089i,0.0016333-0.00031584i,0.0011198-0.00028426i,0.00069414-0.00010164i,0.00020158+0.00076315i
0.0012009-0.0014052i,0.00062953-0.001525i,0.0014961-0.0018802i,0.0011133-0.001152i,-9.1745e-05-0.00019279i,-0.00077878+0.00040975i,-0.00026642+0.00071623i,0.00047124+0.0010967i,0.00064729+0.00077261i,0.0010692-0.00025713i,0.0015523-0.0012121i,0.0016186-0.0013809i,0.0010298-0.0013158i,0.00036994-0.00071025i,-0.00014588+0.00067884i,5.08e-05+0.00096122i,-0.00010108+0.00011941i,-0.00055223-6.2115e-05i,-0.00029499+0.0006429i,0.00038974+0.00056059i,0.0004334-0.00014465i,0.00036592-8.2506e-05i,-0.00010403+0.00070453i
