-0.0022109+8.8647e-05i,-0.0020511-0.0010635i,-0.0015124-0.0010121i,-0.0014937-5.2184e-05i,-0.0010501-6.3907e-05i,-0.00016508-0.00011159i,7.7922e-06+0.00053177i,0.00045289+0.0010363i,0.0012475+0.00026874i,0.00046792-0.00064221i,0.00024224-0.001041i,0.00039984-0.0012897i,3.3576e-05-0.0011481i,5.4398e-05-0.00084652i,-9.3484e-06-0.00072025i,-0.00046742-0.0006303i,-0.0005337-0.00039118i,7.9679e-05-0.00021914i,0.00079394-5.9147e-05i,0.00034698-0.00026825i,-0.00054256-0.00010716i,-0.0013755+0.00052433i,-0.00085778+0.00036237i
0.00052509-0.00081194i,0.00013868-0.00082458i,-0.00026649+2.1796e-05i,-0.00068558+2.438e-05i,-0.00032302-0.00067596i,4.1784e-05-0.0010625i,-0.00039819-0.00032529i,-4.6645e-05-0.00016865i,0.00082205+0.000167i,0.0005153+0.00083245i,-0.00061102+0.00077319i,-0.00035761+0.00043877i,0.00040756+0.00022697i,-0.0003284-0.0001881i,-0.00047403-0.0009341i,5.2945e-05-0.00084315i,0.00011978+0.00018653i,-4.4992e-05+0.00046557i,-0.00027913-0.00020107i,-0.00014893-0.00052941i,-6.8301e-05-0.00067366i,0.0001631-0.00025767i,0.00023772-0.00010571i
-0.00035586+6.5602e-07i,-0.00073356-0.00044187i,-0.00046876+0.0004589i,0.00031885+0.0010329i,0.0014093-0.00030541i,0.0005977-0.0017291i,-0.00084775-0.0013153i,-0.00090323-8.9372e-05i,-0.00022197-1.8699e-06i,0.00059098-0.00033945i,0.00034894-0.00010563i,-0.00032039+0.00026209i,-9.2909e-05+0.00039211i,-0.00028804-0.00047032i,-0.000412-0.0011708i,-6.4691e-05-0.0008927i,-0.00012986+1.8599e-05i,0.0002229+0.00028767i,0.00050289-0.00016678i,0.00024056-0.00041374i,9.5421e-05-0.00030039i,-0.0002169-0.00042934i,-0.00053331-0.00031305i
0.0014181-0.001999i,-0.00027921-0.0016295i,-0.00088669-0.0023305i,-0.00081791-0.002563i,-0.0005114-0.0021629i,-0.00057679-0.0008821i,-0.00057875-0.00023635i,0.00047031-0.0005222i,0.00030011-0.00042046i,-0.00063871-0.00012915i,-0.00041234+0.00023897i,3.5477e-05+0.00048143i,-0.00037545-0.00011087i,-0.00074933-0.00035572i,-0.00034547+2.4326e-05i,0.00030061+0.00026778i,0.00096593-0.00028066i,0.0003935-0.00065752i,-0.00010463+8.7261e-05i,0.00045563-0.00048917i,6.9946e-05-0.0011891i,-0.00025279-0.00051459i,-0.00032073-0.00024181i
-0.00017174+0.0008228i,-3.3216e-05+0.00049565i,-1.4534e-05-0.00033711i,0.00012733-0.00039354i,0.00091822-0.0002477i,0.00073187+0.0003814i,0.00019998+0.00031947i,0.00036882-0.00070569i,0.00018742-0.00050274i,0.00021568+9.3478e-05i,0.00030603-0.00026307i,-1.3584e-05-0.00051492i,0.00012212-0.00048293i,0.00086229-0.00018476i,0.00023939+0.00011888i,-0.0013237+0.00044868i,-0.0011859+0.00073268i,-0.00074233+0.00082406i,-0.00073648+0.00012948i,-0.00067685-0.00046048i,-0.00064775-0.0005139i,-0.00020119-0.0004773i,-2.8796e-05+8.2155e-05i
0.00032403-0.00025498i,0.0014003-0.0014534i,0.00092471-0.0017242i,2.0821e-05-0.0010101i,0.00027275-0.00082539i,0.00047448-0.00045092i,-5.7249e-05+1.9599e-05i,-0.00024579-0.00017799i,0.00059243-0.00022279i,0.00048921+0.00019528i,-1.414e-06-0.0002287i,6.5953e-05-0.00043307i,0.00017679+0.00029819i,0.00024199+0.00083811i,0.00014598+0.00042015i,0.00029494+0.00030098i,0.00033706+0.00030038i,-8.8538e-05+1.8405e-07i,-0.0001274+0.00019008i,0.00011552+0.00051885i,0.00066836+0.00042972i,0.00065899-0.00010605i,-0.0005357-0.00023606i
-0.0018299-0.0011192i,-0.001655+0.00014524i,-0.001214+0.0013592i,0.00039257+0.00090045i,0.0015864-0.00090357i,0.0014486-0.0010956i,0.00069436-0.00047984i,0.00027839-0.00038985i,0.00045867-0.00055299i,0.00067697-0.00019511i,-2.6859e-05-0.00028722i,-0.00076422-0.00015844i,-0.00039708-2.1395e-05i,0.00026408-0.00081878i,0.00044937-0.0010832i,3.1174e-05-0.00082724i,-0.00038467-0.00043046i,-0.00038178-0.00015269i,2.9157e-05-0.00037947i,0.00053124-0.00041714i,7.6259e-05-0.00017792i,-0.00011093+5.7743e-05i,-0.00026201+0.00039138i
0.0024436+0.00081234i,0.0021142+0.00032287i,0.0012856+0.0003247i,0.00053178-8.5296e-05i,-0.00021619-0.00049137i,-0.00098591-0.0012914i,-0.0010847-0.0010489i,0.00024359+0.00020487i,0.00078849+0.0002815i,0.00059919+0.00011042i,0.0004537-0.00033i,0.00058393-5.6501e-05i,0.00029285-1.3776e-05i,-0.00010279-0.00025506i,-0.00041374-0.000234i,0.00010707-0.00020162i,0.0012242-0.00040454i,0.0011996-0.00014228i,0.00038515-9.1669e-05i,-0.00016898+0.00018493i,-0.00029352+0.00039461i,0.00040465-0.00018086i,0.00056552-9.3257e-05i
-0.00069695-0.00063376i,-0.0012046+0.00031129i,-0.0012296+0.00080829i,-0.00096807+0.00080263i,-0.00052271+0.00048316i,0.00035359-0.00015306i,0.0003957-0.00048562i,-1.5824e-05-0.00047335i,0.0002557-0.00062626i,5.0071e-05-0.0005826i,-0.0001815-0.0002676i,-0.000935+0.00010578i,-0.0011218+0.00017114i,-0.00031203+5.7901e-05i,0.00025322-0.00051927i,0.00014049-0.00079384i,0.00012566-0.00054857i,-0.000148-2.3507e-07i,-0.00052287+4.5238e-05i,0.00012178-0.00040826i,0.0002417-0.00080945i,-0.00011163-0.00044967i,0.00021789+4.5869e-05i
-0.0002428-0.0015864i,-0.0003292-0.001127i,-0.0015755-0.00071208i,-0.0017186-0.001059i,-0.00030512-0.0003689i,0.00073202-8.5209e-05i,0.00058891-0.00079131i,0.00011388-0.00011492i,0.00029982+0.00084372i,-0.00029208+0.00033878i,-0.00026731-0.00020191i,0.00078199+0.00015059i,0.0011888+0.00014124i,0.00084653-0.00066646i,0.00030187-0.0011432i,-0.0002465-0.00094701i,-0.00062018-0.00014012i,-0.00025735+0.00070983i,6.8256e-05+0.00068142i,0.00029296+0.00046783i,0.00085316+0.00094107i,0.00051161+0.00030405i,-5.6109e-05+0.00022445i
0.0010497-0.0023642i,0.00067012-0.0028156i,0.00028569-0.0018279i,-4.8526e-05-0.0015227i,0.00069685-0.0020751i,0.00080576-0.0017586i,0.00069478-0.00069288i,0.00083999-0.00020481i,0.00050729+0.0002167i,0.00030073+0.00051827i,0.00014137+0.00028853i,-0.00029347-8.3844e-05i,-0.00033848-0.0004748i,1.5666e-05-0.00051023i,-0.00011443-0.00031953i,-0.00036836+0.00011532i,-0.00047596+0.00024967i,-0.00070676+0.00064866i,-0.00045833+0.00082506i,-0.00058268+0.00065439i,0.00014801+0.00044991i,0.00080633+0.00063772i,0.00012621+0.0010066i
-0.0017981+0.0012077i,-0.000628+0.0018562i,0.0004604+0.0023796i,0.00058537+0.001538i,0.0005729+0.00055941i,0.00097878+7.1739e-05i,0.00042697-0.00092237i,-4.3818e-05-0.00097945i,-0.00078583-0.00068714i,-0.00078537-0.00033923i,0.00059463-0.0006538i,0.0013847-0.00039569i,0.0010913-5.4866e-05i,0.0007901-0.00051257i,0.0002459-0.00043903i,0.00012135-0.00086819i,0.00033676-0.00074522i,0.00026027-0.00087154i,0.0003658-0.0013912i,0.0002491-0.0012584i,0.00026426+0.00017477i,0.00021608+0.00051717i,0.00020159+0.00067134i
0.00092037-0.001941i,-0.0008059-0.0028491i,-0.0018377-0.0028663i,-0.0018939-0.0018464i,-0.00053557-0.001047i,0.0015347-0.00075376i,0.001532-0.000734i,0.00010071-0.00043733i,-0.00019288+0.00022841i,-0.00024924+0.00066226i,-0.00097216+0.001243i,-0.0011738+0.0012776i,1.7119e-05+0.00034909i,0.00086176-0.00016774i,0.0010672+0.00036975i,0.0014945+0.00087361i,0.001045+4.4359e-05i,0.00091561-0.00054442i,0.00063381-0.00034256i,2.8072e-05-0.00070128i,-7.3365e-05-0.001267i,0.00065539-0.0013608i,0.00067923-0.00096305i
-0.0017869-0.00072624i,-0.0018102-0.00035474i,-0.0015221+0.00054203i,-0.0010493+0.0014387i,-4.4755e-06+0.0012641i,0.00062533-0.00024561i,0.0010952-0.00093524i,0.00063942-0.00079294i,0.00020605-0.00067267i,-0.00032565-0.00026297i,-0.00035649-0.00029933i,0.00052742-0.00046797i,0.0005278-0.00030078i,3.1063e-05-0.00019183i,-0.00029493-0.0004919i,6.4314e-05+3.7315e-05i,0.00039854+0.00016946i,0.0006356+9.3127e-05i,0.00023867-5.1943e-05i,-0.00021882-0.00045706i,-0.00024131-0.00067516i,0.00013338-0.00012099i,0.00026613+0.00070299i
0.00095549-0.00088971i,0.0018454-0.0029886i,0.001937-0.0029384i,0.0010123-0.0018368i,-0.00023117-0.0011134i,-0.0009553-0.0011158i,-0.0012933-0.00040883i,-0.0013553+0.0004354i,-0.00081087-2.4148e-05i,-0.00020016-0.00067514i,0.00012031-0.00031149i,0.00052223-2.3012e-05i,0.00034439-0.00014467i,9.3504e-05-0.00056551i,-2.816e-05-0.00020319i,-5.8352e-05-9.7211e-06i,0.00012148-0.00077871i,-0.00023015-0.00010924i,-0.00024119+0.0007488i,-0.00010742+0.00028295i,6.4065e-05-0.00049189i,0.00052707-0.00040309i,-1.3858e-05+8.4396e-05i
-0.0006251+0.0012399i,-0.00074052+0.00041542i,0.00084413+0.00062515i,0.0012133+0.00094338i,0.00020904+0.00071464i,0.0001149+0.00063394i,-0.00011224+0.00063533i,-0.00075951+0.00021486i,-3.9356e-06-0.00025249i,0.00091375+7.7427e-06i,0.00071055+0.00033904i,-0.00041402+0.00033644i,-0.00087725+0.00013199i,-0.00043531+0.00012485i,-0.00032169-0.00026083i,-0.00016557-0.00064668i,0.00010281-0.00055861i,0.00012608+0.00033233i,0.00020562+0.00025675i,0.00026105+0.00036175i,0.000406+0.00097555i,0.00014933+0.00073754i,-0.00043732+0.00058501i
0.00063331+0.00020829i,0.00024653-0.00024585i,-5.6755e-05-0.0003376i,0.00027234-0.00021014i,0.00053424-0.00060523i,-7.1346e-05-0.0005135i,-0.0005243+0.00024522i,-0.00071292+0.00026796i,-0.00095163-0.00029218i,-0.00089373-0.00046114i,-0.00029483-0.0004937i,0.00021204-0.00015483i,0.00028714-0.00020883i,7.2939e-05-0.00071186i,-0.00042909-0.0005196i,-0.0002693-0.00023924i,0.00035371+0.00026329i,0.00076354+0.00011718i,0.00075478-0.0003193i,6.9235e-05-1.4323e-05i,-1.1584e-05-0.00030962i,-0.00018729-0.00036005i,-0.00038093-0.00042535i
-0.00013664+0.00032744i,-0.00029331+8.3079e-06i,-0.00067124-0.00046907i,6.7599e-05-0.00054696i,0.00039759+0.0007035i,0.00036785+7.612e-05i,0.00044725-0.0012278i,0.00043558-0.00076702i,0.00068034-0.00010943i,0.00098436+9.2387e-05i,0.00034502-0.00013978i,-1.426e-05-0.00056108i,0.00033112-0.00049496i,0.00037067-0.00045465i,-0.00030345-0.00066453i,-0.00041666-0.00064062i,-0.00012683-6.85e-05i,4.2728e-05+0.00043526i,0.00042226+0.00055035i,-3.93e-05+0.00065543i,-0.0010007+0.00034619i,-0.00043111+0.00017805i,0.00041502+0.00043527i
-0.00098143+0.00017387i,-0.0009266-0.00050827i,-0.00038153-0.00065082i,0.00010249-0.00065851i,0.00014426-0.0013084i,-0.00011054-0.0012377i,-0.00029196-0.0008677i,-8.0608e-05-0.00077355i,-0.00044554-0.00081707i,-0.00051662-0.00066013i,-6.2168e-05-0.00042173i,0.00020664-6.7662e-05i,-0.0001904+0.00014584i,-0.00034271+0.00062885i,0.00023176+0.00054506i,-0.00025966-1.375e-05i,-0.0010299-0.00027351i,-0.00068335+0.00010806i,-9.5859e-05+0.00021004i,3.6089e-05-0.00023624i,-5.1991e-05-0.00034511i,-0.00011913-0.00019116i,-0.00030604+0.00067015i
0.0017355+2.5412e-06i,0.0014102-0.0012748i,0.00048757-0.0021042i,-0.00021718-0.0015902i,3.9847e-05-0.00025999i,0.00083676+6.341e-05i,0.00062398+0.0005684i,0.00037479+0.00022777i,1.9821e-05-0.00018796i,-0.00025578-2.9033e-05i,4.403e-06+0.00024332i,-6.1795e-05-0.00029805i,-0.00081109-0.0011147i,-0.0012927-0.00045007i,-0.0014424+0.00042841i,-0.00040595+0.00020868i,0.0010437+4.6366e-05i,0.00074744+0.00034024i,0.00033261+1.6981e-05i,0.00043993+0.00012403i,0.00069575-8.6487e-06i,0.00063335-0.00020137i,8.0894e-05+0.00026887i
-0.00053088-0.00264i,-0.0016499-0.0020477i,-0.0020701-0.0012329i,-0.0016321-0.00064439i,-0.0005339-0.00041903i,6.6081e-05-0.00012363i,2.8613e-05+0.00084645i,0.00035688+0.00065917i,0.00082041+0.00014075i,0.00046117+0.00078644i,0.00030312+0.001101i,0.00047061+0.00048494i,0.00055497+0.00047078i,0.00038918+0.00075107i,3.7169e-05+0.00064149i,-0.00034985+0.00033533i,0.00018326+0.00015895i,0.00056344+0.00017987i,0.00093902-0.00019937i,0.00078376-0.00013619i,0.0001173-0.00068333i,0.00027644-0.00056587i,0.00022361+0.00024853i
-0.00031423+0.00020085i,-0.00021546-2.4932e-05i,-6.6698e-05+0.00066948i,0.0011163+0.00089707i,0.0020061-0.00082147i,0.0011931-0.0016715i,0.00097743-0.00060408i,0.00062937+0.00024729i,-0.00049551+0.00047898i,-0.00047851-8.9561e-05i,0.00025758-0.00068803i,0.00036794-0.001231i,-0.00042364-0.0013936i,-0.00031819-0.00058401i,2.2979e-05-1.6871e-05i,-0.00028203+6.69e-05i,-0.00042652-7.6216e-05i,-0.00025255-0.00036904i,-0.00021329-0.00055206i,-0.00033619-0.00024134i,-0.00088973+0.00073923i,-0.0010852+0.00079359i,-0.00068984+0.00037255i
-0.0010103-0.0011309i,-0.0016879-0.0015766i,-0.00095259-0.0016763i,-0.00025493-0.00071854i,-0.00024043-7.6162e-05i,0.00020968+0.00043289i,0.00054951+0.00060853i,0.00037766+0.001133i,0.00013484+0.001228i,-0.00022951+0.00061864i,-0.00023719+0.00026693i,-4.1815e-05+0.00015165i,6.0731e-05+0.00049226i,-0.00024996+0.00080192i,-0.00030694+0.00035233i,0.00044786-6.6872e-06i,0.0001785-0.00013704i,-0.00035962-0.00038079i,4.1903e-05-0.00064544i,0.0010096-0.00037304i,0.0010072+0.00021616i,0.00080952+0.00035177i,0.00091216+0.00028128i
0.0012768-0.00089374i,6.4991e-05-0.001122i,-0.00096419-0.0018753i,-0.0010887-0.00076773i,-0.00038921+0.0005491i,0.00044432+0.00036387i,0.00058253+0.00038536i,0.00034704+0.0004478i,5.9323e-05+0.00020965i,-0.00050422+0.00094121i,-0.001319+0.0017382i,-0.0018877+0.0016883i,-0.00091867+0.0012779i,0.00083337+0.00099026i,0.00090383+0.00062195i,-0.00050897-2.7406e-05i,-0.0010244+8.8817e-05i,-0.00064961+0.00011882i,-0.00054275-5.2438e-05i,7.05e-05+0.00065451i,-3.5608e-05+0.00012252i,-0.00023665-0.00045017i,-0.00033956+0.00019896i
0.0013284-0.00087896i,0.00035072-0.0019219i,0.00014458-0.0025518i,0.00029512-0.0018548i,-0.00026394-0.00067429i,-4.1675e-05+0.00034692i,0.00040315+0.00040738i,0.00038542-0.00053091i,0.00046919-0.00013272i,-0.00020012+0.00027042i,-0.00059708+0.00010646i,-0.0004734+0.00036791i,0.0005884+0.0007452i,0.0011256+0.00097618i,0.0011223+0.0010281i,0.00069302+0.0010327i,-0.00023069+0.00019942i,5.2238e-05-0.00027769i,0.00094074+3.2551e-05i,0.0011144+0.00035937i,0.00070964-0.0001072i,0.00076956-0.00039163i,-5.9855e-05+0.00010194i
0.0003008+0.00031387i,-0.00066159-0.00022059i,-0.0013451-0.00053222i,-0.00062989-0.00022015i,0.00025257-0.0001876i,0.00079988-8.9289e-05i,0.0010802-0.0002984i,0.00015774-7.517e-05i,7.2177e-05+0.00035492i,0.00068205+0.00021026i,0.00076854-0.0005644i,8.9789e-05-0.00040954i,0.00023565-0.00048148i,0.00027688-0.0005794i,-0.00053676-0.00031698i,-0.00078945-0.00023961i,-0.00030822+0.0004239i,-0.00024344+0.00053839i,-0.00022814+7.4989e-05i,0.00038813-4.5382e-05i,0.00034919-2.5269e-05i,-0.0003807+0.00080827i,-0.00060681+0.00097552i
0.00067345-0.0010635i,0.00041266-0.0013285i,-0.00047941-0.00087552i,-0.00029946+0.00021982i,0.00063428+0.0008445i,0.00075565+0.00085379i,0.00044837+0.00064327i,0.00063907+0.00023171i,0.00041125+8.0605e-05i,0.00026249+0.00019074i,9.8327e-05+0.00055412i,1.4054e-05+0.0003003i,0.00017851-0.00027416i,0.00036476-0.0003648i,0.00039606+0.00025925i,0.00027318+0.00075612i,0.00016028+0.00061557i,-0.00016638+0.00015229i,-0.00026095-0.00031942i,0.00028734-0.00049066i,-6.425e-05-0.00047003i,-0.00099161-0.00043166i,-0.00046974-0.00011816i
-0.0005022-0.00017987i,-0.00080895+0.00013607i,-0.00088628+6.6119e-05i,-0.0010624-0.00052338i,-0.00012058-0.0010423i,0.0005105-0.0008331i,0.00027023-0.00011835i,-0.00013447+0.00040085i,-0.00043384-9.9647e-05i,-0.00032754-0.00083785i,-0.00024272-0.0006938i,0.0003517+0.00043267i,0.0003764+0.00053164i,-0.00016611-0.0004154i,0.00013647-0.0008147i,0.0001007-0.00053512i,-8.5583e-05-7.9505e-05i,0.0001736+0.00072494i,0.00054995+0.0010529i,0.00060071+0.00069091i,0.00036703+0.0001075i,0.00066534-0.00013597i,0.0011998-0.00045017i
0.00057665-0.001577i,0.00055018-0.001053i,-0.00091502-0.00094318i,-0.0017321-0.00012965i,-0.00072212+0.00050191i,0.0010259+0.00034188i,0.0014687-0.00011242i,0.00066911-0.0013871i,0.00013679-0.0012725i,-0.00025173-0.00085087i,0.00029941-0.00028597i,0.001075+0.00042212i,0.00014048+0.00018243i,-3.7613e-05-0.00038708i,0.00034127-0.00044999i,0.0001146-0.00046785i,9.6059e-06-0.00020846i,0.00020846-0.00066848i,0.0010188-0.001001i,0.000929-0.00017145i,5.978e-05-5.4474e-05i,-0.00022943-0.00074691i,-0.00043965-0.00027285i
-0.00060661-0.00080396i,-0.00014198-0.00065893i,-0.00039413+0.00017389i,-0.0003719+0.00083745i,0.00094886+0.0012252i,0.0013354+0.0011004i,0.00038354+0.00051451i,-0.00071447-1.6872e-05i,-0.00096615-0.00033236i,-0.00012883-0.00046699i,0.00069009-0.00033271i,0.00097642-0.00031172i,0.0014878-0.00043226i,0.0011156-0.00029368i,0.00044064+0.00020875i,0.00020625+0.0010081i,0.00054153+0.00042316i,0.00094255-0.00079717i,0.00053688-8.8846e-06i,0.00025626+0.00020407i,0.00011458-0.0008039i,-0.00053476-0.00029109i,-0.00080126+0.00027709i
-0.00011505+0.0013107i,-0.00091644+0.0005616i,-0.0020468+0.00092263i,-0.00044833+0.0007843i,0.0014144-0.00045574i,0.0011771-0.0012344i,0.00055072-0.0015122i,5.6813e-05-0.00098016i,0.00015587+0.0001922i,-0.00016844+0.00074512i,-2.0842e-05+0.00093795i,0.00048589+0.00098331i,0.00055544+0.00026941i,0.00064258+4.5001e-05i,0.00045376+0.00021636i,0.00048731-0.0003399i,0.00071863-0.0002975i,0.00052549-0.00020744i,0.00042216-0.00062891i,-7.5671e-06-0.00031279i,-0.00070646-0.00023581i,-0.00084987-0.00037372i,-0.00057538-0.00096587i
-0.00085861-0.0013422i,-0.0018047-0.0007409i,-0.0019261-0.00040559i,-0.0013032+0.00025975i,-3.9716e-05+0.00053905i,0.0012442+0.00059842i,0.00021432-5.1986e-05i,-0.00057559-0.0013288i,-0.00041458-0.00094514i,-0.00023768-0.00013314i,-6.8185e-05+3.7853e-05i,0.00021739+1.2699e-05i,0.0010307+0.00047209i,0.0011191+0.00087148i,0.00031548+0.00016519i,-0.00038369-0.00030325i,-0.00082253-0.00053109i,-0.0004237-0.00066896i,0.00035757+1.5183e-05i,0.00010283-0.00022478i,-0.00066246-0.0005875i,-0.00083446+3.5377e-05i,-0.0001339+0.00041811i
