-0.003207+0.00018381i,-0.0024292-0.00056363i,-0.0037987-6.3141e-05i,-0.0029138+0.00083675i,-0.001157+0.00096386i,-0.00040387+0.00030813i,-0.00013424+0.00023446i,-0.00010493+0.00038759i,4.9826e-05+0.00047816i,0.00024416+0.00010898i,0.00013208+0.00029065i,-0.00033911+0.00057025i,0.00020929+0.00067241i,0.00053123+0.0010316i,-0.00026609+0.00093908i,-0.0009086+0.0015602i,-0.00022466+0.0016382i,0.0008142+0.0004782i,0.0011478-0.00028988i,0.0012038+0.000346i,0.00055291+0.00027081i,-7.0662e-05-0.00061616i,-0.00027711+8.6447e-05i
-0.00060247-0.0014699i,0.00033164-0.00085067i,0.001625-0.00061523i,0.0013115-0.0015464i,0.00074707-0.0017757i,0.00079074-0.0010351i,5.6707e-05-0.0006561i,2.3699e-05-0.0010902i,0.00020947-0.00094168i,-0.00047138-0.00027422i,-0.00073846+0.00028979i,-0.000415+0.00067212i,-0.00039177-9.001e-06i,-0.00084767-0.00063552i,-0.00068696-0.00074731i,-0.00069053-0.00067746i,-0.00094485-0.00038431i,-0.00066775-2.015e-05i,-0.00032815+0.00048288i,-0.00028631+0.00031583i,-0.00012274-0.00042373i,0.00074821-6.3855e-05i,0.00075994+0.00060545i
-0.0002259-0.0003967i,-0.00029379+9.1149e-05i,-0.00028987+0.00066167i,-0.00062884+0.00036761i,0.00023045-7.4298e-05i,0.00073252+0.00026438i,-7.6315e-05+0.00060128i,-0.00037085+0.00054906i,-0.0004415+0.00027665i,-0.0010129-3.4713e-05i,-0.001157+0.00014742i,-0.00039309+0.00044765i,-0.0002156+0.00040518i,-7.3588e-05+0.00054152i,-0.0006514+0.00018151i,-0.00078158-0.00061789i,-0.00013184-0.00083576i,-7.6497e-05+2.2798e-05i,-0.00077328+0.00049826i,-0.00065647-0.0006337i,0.0004799-0.001124i,0.00025597-0.00055808i,-0.00074133-0.00057213i
0.0012866+9.6154e-05i,0.0015744-0.0011675i,0.0013682-0.00074388i,0.00032255-0.00078526i,0.00011733-0.0011748i,0.00024136-8.4608e-05i,1.2899e-05-0.00011129i,-0.00014685-0.00039978i,-0.00012878-0.0003339i,-0.00027899-0.00032074i,-0.00051381-1.9543e-05i,-0.00099198+0.00082513i,-0.0007084+0.00056018i,-0.00026295-0.00015366i,0.00066598-0.00043145i,0.00069614-0.00018983i,-0.0010011+0.00052645i,-0.0016175+0.0007005i,-0.00051711-0.00041759i,0.0010807-0.0015763i,0.0010915-0.00080535i,0.00032868-0.00024198i,-0.00019367+0.00028611i
-0.00028844+0.0010702i,7.9747e-05+0.0005313i,0.00089737-0.00027374i,0.0011396-0.00033698i,0.00081264-0.00075111i,0.00017049-0.00086116i,-0.0004277-0.00053246i,-0.00065923-0.00063729i,-0.00046793-0.00080957i,0.00014122-7.9977e-05i,0.00034137+0.00066923i,-0.00018956+0.00036222i,-0.00013315-2.3065e-05i,-0.00028644-0.00027424i,-0.00098659-0.00022225i,-0.0013142-0.00018654i,-0.00077519-0.00029812i,-9.7527e-05-0.00027344i,-0.00024242+0.00023554i,-0.00045918-0.00016578i,-0.00064051-0.00030621i,-0.00027929+0.00012108i,-0.00013297+0.00047023i
0.00050166-0.0014043i,0.00069667-0.0016669i,0.0012209-0.00095506i,0.00052229-0.00010132i,0.00025432+0.00040597i,0.00058236+0.00024896i,0.00091311-0.00011701i,0.00079408+0.00018332i,-0.0004797+0.00064572i,-0.001357+0.00017661i,-0.0015038-0.00075415i,-0.0015357-0.00112i,-0.0012647-0.00092534i,-0.0010921-0.00075581i,-0.00086371-0.00090587i,-0.00072759-0.00067704i,-0.00033781+0.00023611i,-0.00036534+0.00067465i,-0.00027942+0.00070296i,8.9108e-05+0.0003053i,-0.00030757+0.00041607i,-0.00026286+0.00072411i,5.7256e-05+0.00057954i
0.00079312-0.0012639i,0.00083931-0.0014462i,0.00043074-0.0017624i,0.00064533-0.0021222i,0.0011007-0.0012384i,0.00091907-0.00044419i,0.000859-0.001187i,0.00040921-0.0021642i,-0.00029691-0.0017063i,-0.00062788-0.00049786i,-0.00020143-0.00029227i,0.00017636-0.00067883i,-6.3461e-05-0.0005573i,-0.00010234+0.00039769i,-0.00012542+0.001259i,-0.00026855+0.00070345i,-0.00039992-0.00017912i,9.3201e-05+0.00017843i,0.0005225+0.00048163i,0.00040079+0.0002357i,0.00047488+2.254e-05i,0.00076443-0.00040575i,0.00042422+0.00027762i
0.00021567+0.00056647i,0.00039343+0.00024619i,0.00012022-0.00075568i,0.00052807-0.0015571i,0.00080524-0.0017805i,0.00099923-0.00096297i,0.0011992-0.00020989i,0.00041459-7.6493e-05i,-0.00089671-0.00052171i,-0.0015367-0.00038163i,-0.0012933+0.00015868i,-0.0010533+0.00054064i,-0.00029686+0.0010447i,-3.0559e-05+0.00044295i,-0.00016732-0.00012576i,-0.00029911+9.2103e-05i,-0.00069724+0.00057809i,-0.00076162+0.00083415i,-0.0005781+0.0004879i,-9.0102e-05-0.00011845i,-1.8883e-05-0.00043611i,0.00024458-0.00011037i,0.00036435+0.00050002i
-0.0013205+0.00065762i,-0.0022621+0.0010326i,-0.0019294+0.0014967i,-0.0017539+0.0012153i,-0.0016844+0.00032418i,-0.00098323-0.001535i,4.8356e-05-0.0019225i,5.6008e-05-0.00087958i,-0.00055358-0.0003718i,-3.0611e-05-3.5528e-05i,4.5158e-05+0.00039868i,-0.00036077+0.00048058i,-0.00044997+0.00043304i,-0.00081573+0.00023271i,-0.00074822+8.6279e-05i,-0.00037906+0.00038046i,0.00040968+0.00010398i,0.00049188-9.4594e-05i,-1.2812e-05+9.2862e-05i,0.0004258-0.0001829i,0.00040538-0.00052865i,0.00054576-0.00029399i,0.00028492-0.00015472i
-0.0012054+0.00025509i,-0.00014242+0.00055231i,0.00082744+0.00013105i,0.0012579+0.00032138i,0.0016458+0.00026376i,0.0010079-0.00040868i,0.000412-0.0013835i,-0.00022844-0.0018184i,-0.00068499-0.001968i,-0.00067781-0.0015156i,-0.00082479-0.00054761i,8.3456e-05-0.0011266i,0.00047693-0.0011825i,0.00057012+1.9934e-05i,0.00013968+0.00047717i,-0.00084333+0.00032463i,-0.00084447-0.0002898i,-0.0009658-0.00067721i,-0.00080661-0.0003607i,6.6899e-05-0.0007164i,0.00074941-0.0012494i,0.0012661-0.00059668i,0.00072044-0.00013769i
0.0015076-0.00027129i,0.00074163-0.00032297i,0.00038014-0.00047644i,0.00075539-0.0013039i,0.0009116-0.0012882i,0.00089456-0.00036545i,0.00028055-0.00062097i,-0.00030243-0.0007421i,3.9239e-05-0.00055722i,-0.00025484-0.00020721i,-0.00073973-0.0006848i,-0.00044521-0.00067902i,-0.00048604+0.00032576i,-0.00049921+0.00017495i,-0.00046503-0.00073268i,-0.00027941-0.00040666i,-0.00046738-0.00031035i,-0.00064725-0.00031514i,0.00033409-0.00030221i,0.0014041-0.00045999i,0.00099137-6.0524e-07i,0.00019333-0.00026311i,-0.00028867-0.00035612i
-0.00093618-0.00053948i,-0.00056068-0.00019467i,-0.00061806-0.0010042i,-0.00039049-0.0010214i,7.5525e-05-0.00086883i,0.00014761-0.0012586i,0.00024677-0.0014342i,-2.2106e-05-0.0011376i,-0.00012735-0.00083444i,-1.1769e-05-0.00027138i,0.0001089+0.00030199i,-0.00013701+0.00036106i,-0.00062773+0.00052098i,-0.00075836+0.0011417i,-0.00048582+0.00068829i,-0.00055278-0.00020464i,-0.0011968-0.00019449i,-0.0004841+0.00012648i,0.00042373+0.00084245i,0.00028936+0.0014076i,0.00055609+0.00082236i,0.00090553+0.00030338i,0.00030116+0.00030835i
0.0032387-0.0012605i,0.0033135-0.0019407i,0.0033588-0.0021294i,0.0025619-0.0019862i,0.0012123-0.001672i,0.00030361-0.0010338i,4.4039e-06-0.00073197i,0.00032353-0.0012788i,0.00068666-0.0015009i,-0.00025033-0.0013955i,-0.0015781-0.00082755i,-0.0016382+0.00019476i,-0.00090012-0.00025945i,-0.0002337-0.00079155i,-0.00019579-0.0004501i,-0.0004517-0.0005109i,-4.2061e-05-0.00025214i,0.00031947+0.00035782i,0.00048774-0.00017566i,0.00082728-0.00053426i,0.0008132-0.00043502i,0.00048216-0.00062647i,0.00019362-0.0001594i
0.00094983-0.00021762i,0.00073942-0.00036668i,0.00027041-0.00010851i,0.00023056-0.00015324i,0.00056132-0.00094043i,0.001136-0.0013958i,0.0007881-0.0015286i,0.00017219-0.0013645i,0.00075821-0.0010529i,0.00023927-0.00037122i,-0.0010476-0.00028824i,-0.00061354-0.00038289i,-0.00058421-0.00030204i,-0.00023441-0.00052037i,3.4159e-05+0.00021528i,-0.00079144+0.00082479i,-0.00056772+0.00017051i,-9.2046e-05-0.00028409i,-2.757e-06-0.00024383i,0.00024756+0.00034i,0.00044487-0.00022936i,0.00099908-0.0010704i,0.0010045-0.00055603i
0.0015785-0.00073378i,0.0015629-0.00082117i,0.0011643-0.0017806i,0.00043814-0.0018717i,-0.00020946-0.0011029i,-0.00028908-0.00081894i,-0.00029714-0.0011883i,-0.00025446-0.0012132i,-0.00049066-0.0013504i,-0.00094067-0.0011474i,-0.0013596-0.00052062i,-0.0015142-0.00053234i,-0.0016375-0.00095251i,-0.00098462-0.00099978i,-0.00025764-0.00039991i,-0.00018124-8.2801e-05i,-9.8728e-05+5.8387e-05i,0.00036828-7.8622e-05i,0.00034396-0.000241i,4.4992e-05-0.00024293i,0.00026705+0.00011714i,-0.0001386+0.00065511i,-0.00056557+0.00081084i
-0.0020745+0.00083085i,-0.0026027+0.00082972i,-0.0017387+0.001489i,-0.00032694+0.0010709i,0.00070739+0.0011582i,0.00023584+0.0013439i,-0.00073605+0.0005729i,-0.00051269+0.00013632i,-0.00037191-0.00012338i,-0.00033069-9.0259e-05i,-0.00085328+0.0002138i,-0.00097091+0.00041078i,3.0674e-05+0.0011853i,0.00031002+0.00082511i,-0.00034782-4.3763e-05i,-0.00053729+0.00023584i,5.8425e-05+0.00070374i,0.00015757+0.0012495i,-5.5781e-05+0.0014366i,0.00046212+0.00047889i,0.00064865-6.9358e-05i,-1.4686e-05-1.6768e-05i,-0.00059825+0.00011942i
0.00038435+0.00064738i,0.00128+0.00051313i,0.001451-0.00013059i,0.0014747-0.00057069i,0.00062364-0.00063883i,-0.00062864+9.2192e-05i,-2.5299e-05+0.00092275i,0.0005664+0.0010811i,0.00048766-1.2933e-05i,0.00034555-0.00088963i,-0.00075298-0.00021495i,-0.0010405+0.00072416i,-5.6946e-05+0.00095112i,0.000626+0.00036503i,0.00057149-0.00026833i,-0.000187-0.00020161i,-0.00049011-0.00018698i,6.9884e-05+0.00039975i,0.0006609+0.00091471i,0.00060073+0.00061391i,0.00019605+0.00033056i,-0.00080536+0.00075331i,-0.0012773+0.00064558i
0.00040697-0.0017574i,0.0011702-0.0010997i,0.00030051-0.0012428i,2.6014e-05-0.0009982i,0.00058623-0.00015435i,0.00093628-0.0002647i,0.00078679-0.00092399i,1.509e-05-0.0011249i,-0.00035399-0.00073969i,-0.00019372-0.00033487i,-0.0005114-0.00031279i,-0.0010179-0.00023443i,-0.00093647+0.00017947i,-0.00023566+0.00028307i,-0.00041795+9.7749e-05i,-0.00096276+2.3947e-05i,-0.00073472+0.00050155i,-0.00042192+0.0006663i,-0.00016296-0.00014676i,-9.1507e-05-0.00030309i,0.00031284+0.00028213i,0.00039924+0.00014784i,0.00030173-0.00039023i
-0.0026897+0.0025051i,-0.0031554+0.0031486i,-0.0025436+0.0027773i,-0.00079625+0.0020074i,0.00014984+0.0010349i,0.00057218-0.00036303i,0.00032821-0.0008773i,-0.0004063-0.00052225i,-0.00048319+0.00030979i,-0.00013882+0.00088069i,-0.00021468+0.00091806i,0.00011237+0.00070921i,0.00033785+0.00095773i,-0.0004945+0.00090962i,-0.00097179+0.00015896i,-0.00063811-0.0003609i,0.00018237-0.00033957i,0.00043172-0.00031062i,0.00013045+0.0001059i,-0.00022107-0.00030695i,-0.00064604-0.00032673i,-0.00058164+7.3041e-05i,-0.0001439+2.2685e-06i
-9.6952e-06-0.002226i,-0.00062011-0.0030306i,-0.0012301-0.0025619i,-0.0008033-0.0013925i,8.1754e-05-0.00026021i,0.00071237+8.4622e-05i,0.00064353-0.00024623i,0.00070651-0.00057828i,0.00044864-0.00018251i,0.00020924+0.00039755i,-0.00014788+2.4826e-05i,-0.00093677-9.1899e-05i,-0.0016357+2.0861e-05i,-0.0016908-3.8208e-05i,-0.0012492-0.00020153i,-0.00062727-0.00041968i,3.4656e-05-0.00037487i,0.00063411-0.00044701i,0.00050783-0.00026906i,-0.00023131+0.00032223i,-0.0005325-0.00032652i,-0.00069486-0.00070268i,-0.00047195+0.00019216i
-0.00098395+0.00020762i,-0.00082244-0.00013473i,-0.000997+1.1863e-05i,4.3121e-05+0.0010014i,0.0010052+0.001013i,0.0010919-0.00070791i,0.00070158-0.0015647i,0.00056758-0.00059702i,0.00044309+0.00041726i,0.00015779+0.00041322i,-0.00068767+0.00040423i,-0.0010838+0.00089308i,-0.0012365+0.00079019i,-0.0013035+0.00046849i,-0.0005765+0.00046199i,-0.00059776+0.00037366i,-0.0010528+0.00068563i,-0.00036498+0.0010433i,0.00018276+0.00084707i,1.1641e-05+0.0003616i,0.00093904+0.00020408i,0.0014638+0.00053685i,0.00082975+0.00019211i
0.0022252+0.00045964i,0.001879+0.0019726i,0.0022214+0.0023945i,0.0012704+0.0017453i,-0.00020018+0.00035541i,-6.8955e-05-0.00024992i,0.00066525+0.00013651i,0.0012404-0.00021565i,0.0011781-0.00060809i,0.00023126-0.00033154i,-0.00060161+0.00020379i,-0.00040542+0.00085692i,-0.00047875+0.0004573i,-0.00085651-0.00045495i,-0.00046815-0.00036832i,0.00016273+5.7946e-05i,0.00057258+0.00048016i,0.00061804+0.0010824i,3.8962e-05+0.0009648i,-0.00012412+0.00038117i,3.3322e-05+0.00082242i,0.000734+0.00022199i,0.0011417-0.00042456i
-0.0010289-0.0013518i,-0.0023103-0.0016109i,-0.0022407-0.0017258i,-0.0017319-0.0010453i,-0.00077855-0.00045222i,0.00038776-0.0002754i,0.00028149-0.00056266i,-0.00084112-0.00092823i,-0.0010026-0.0011863i,-0.00011294-0.0003713i,-0.00026849+0.0010195i,-0.00071994+0.0015378i,-0.0011703+0.0006929i,-0.0010974-2.183e-05i,-0.00022265+4.1166e-07i,0.00022888-3.7252e-05i,0.00037336-0.00012618i,0.00045135-0.000171i,0.00024795-0.00023921i,0.00043881+0.00028809i,0.00067208+0.0009789i,0.00077301+0.00021553i,0.0001151+0.00049349i
-0.00072849-0.00071397i,-0.00055624-0.00099147i,0.00026683-0.0012008i,0.00075297-0.0011545i,0.00053961-0.00055907i,0.00055233-0.00045985i,8.4845e-05-0.00045739i,-0.00011997-0.0005589i,-8.9645e-06-3.1722e-05i,-0.00086102+0.00034056i,-0.0015089-0.00045495i,-0.0012524-0.00049503i,-0.00077204-0.00051436i,-0.00053746-0.00013482i,-0.00065021+8.15e-05i,-0.00083195-0.00012963i,-0.00057844-0.00018771i,-0.0010588-0.00019659i,-0.0010219-0.00041365i,0.0003729-0.00057043i,0.00059611-0.00060998i,-0.00062112-0.00076034i,-0.00050762-0.00077316i
0.00033966+0.0010408i,0.0013767+0.00054801i,0.0011087+0.00030874i,0.00081075+0.00020205i,0.0006953+5.5835e-05i,0.0011095-0.00046367i,0.0019147-0.00059049i,0.0018282-0.0010499i,-0.00023419-0.001147i,-0.0012979-0.00057168i,-0.00074995-0.00080184i,-4.3567e-05-0.00013922i,-6.6691e-05+0.001079i,-0.0010542+0.00093781i,-0.0013115-0.00048071i,-0.00067143-0.00096675i,-0.00039983-0.00060321i,-0.00063362-5.4754e-05i,-0.00057429+0.00039185i,1.6766e-05+0.00082013i,0.00035487+0.00048489i,0.00059741-0.00015126i,0.00033544-0.00026911i
0.0015605+0.00022762i,0.00012141+0.00050795i,-0.00082875-0.00077339i,-0.00048154-0.0018391i,-0.00039703-0.0014281i,0.00013721-0.00055954i,0.00083655-0.00067718i,0.00048701-9.5132e-06i,-0.00017353+0.0003248i,-0.00042212-0.00015115i,-0.00036107+5.4058e-05i,-0.0013959+0.00065979i,-0.001757+0.00037919i,-0.00078118-0.00016957i,-0.00092004+2.1493e-05i,-0.0010433-5.6797e-05i,0.00016688-9.6167e-05i,0.0010567-0.00033584i,0.00042898-0.0004477i,-0.00021844-7.0666e-05i,0.00037339+5.7441e-05i,0.0007576+0.00012979i,9.9523e-05+0.00043104i
0.0004654+0.0005048i,-0.00012488+0.00013338i,3.6592e-05+0.00014657i,0.00051431+2.635e-05i,0.00086447-4.9563e-05i,0.0010516+5.4409e-05i,0.00066849-0.00026975i,4.5405e-06+0.00051229i,-0.00093839+0.001054i,-0.001542-1.778e-05i,-0.0012466-0.00052179i,-0.00030887-0.00020475i,0.00011129-5.6281e-05i,2.1225e-05-3.5778e-05i,0.00022828-0.00020693i,0.00041126-0.00070928i,0.00025905-0.00048728i,-3.0993e-05-5.1625e-05i,0.00030198-0.00082155i,0.00078772-0.00096417i,0.0010811+0.00018819i,0.0006766+0.0006206i,0.00045503-0.00025i
-0.00055099-0.0010209i,9.467e-05-0.0020715i,0.00026408-0.0021141i,0.00013883-0.0014434i,-0.00018802-0.0010381i,-0.00022011-0.00054501i,0.00028587-0.00094502i,0.00041798-0.0013696i,0.0002379-0.00074854i,0.00028668-0.00057608i,0.00026559-0.00053679i,2.4881e-05-0.00016764i,-0.00057469+6.1553e-05i,-0.0009568-0.00059588i,-0.00079333-0.00095897i,-4.4156e-05-0.00065024i,0.00070703+0.00011805i,0.00078205+0.00025138i,0.0002931+0.00063296i,0.00025505+0.00086972i,0.00061571+0.00012486i,-0.00011999-0.00018887i,-0.00075586+0.00055647i
0.00066719-0.00030006i,0.00013925+0.00065266i,-0.00085241+9.5146e-05i,-0.00047719-0.00015039i,5.6179e-05+0.00014574i,0.00040407+9.6357e-05i,-2.601e-05-0.00031597i,-0.00067624-0.00018752i,-0.00055682+0.00015742i,-0.0002978+0.00023027i,-0.00060555-2.242e-06i,-0.00090317-0.00013693i,-0.0013146-0.00045786i,-0.0015409-0.001054i,-0.0013731-0.00052365i,-4.0056e-05+0.00026935i,0.00057924+0.0004691i,-0.00044804+0.00056949i,-0.001152-9.4355e-05i,-0.00098195+0.00017548i,-0.00045311+0.00079131i,0.00019277+0.00035513i,0.00060172+1.5926e-05i
0.00030741+0.0001869i,0.0006372+0.00068418i,-0.00035525+0.00067549i,2.5524e-06+0.00037366i,0.0005113-0.00056957i,0.00029643-0.0017146i,0.0011052-0.0017359i,0.0014813-0.00093937i,0.00062668-0.00038376i,8.0278e-05-0.0007468i,-5.0783e-06-0.00070809i,-0.00047603-0.00047472i,-0.00043023-0.0003448i,0.00068663+0.00035409i,0.00074618+0.00091988i,-6.3888e-05+0.00098095i,0.00016727+0.00089446i,0.00049133+0.00056541i,0.00028081+0.0005133i,-0.00017074+0.00082679i,-0.00070123+0.00074417i,-0.00043229+0.00025714i,0.00018417+0.00025885i
-7.3331e-05+0.0039104i,5.6542e-07+0.003737i,0.00093991+0.0027257i,0.0025667+0.0017873i,0.0030102+0.00053544i,0.0016795-0.00070721i,0.00046539-0.00076672i,-0.00067946-0.00043362i,-0.0007469+0.00042186i,-0.00025306+0.0010596i,0.0003927+0.00036852i,0.00065481-0.00041817i,-0.0001125-0.00048318i,0.00031781+0.00013208i,0.001167+0.0010313i,0.0010834+0.00086075i,0.00023956+0.00013018i,-2.8534e-05+2.9249e-05i,-5.8911e-05+0.00012656i,-0.00023604-0.00010661i,-0.00020243-0.00049249i,0.00017149-8.2196e-05i,0.00097239+0.00078164i
