-0.0012464+0.00040499i,-0.00062977+0.00057263i,-0.001392-0.0003753i,-0.0010272-0.00083431i,-0.0014584+0.0003062i,-0.0019071+0.0013026i,-0.0015098+0.0016213i,-0.00060199+0.0018545i,0.00092761+0.0014497i,0.0023783+0.00028254i,0.002056-0.00040951i,0.0013763-0.0010113i,0.0011266-0.00071525i,0.00054728-6.8987e-05i,-0.00031821-0.00086526i,-0.0006991-0.0016734i,-0.00021146-0.00083219i,0.00028261-0.00071982i,0.00053589-0.00097959i,0.0004304-0.00026987i,4.4028e-05+0.00046989i,2.5491e-05+0.00077779i,0.0001899+0.0007563i
0.0011402+0.0007532i,0.0011047+0.00015856i,0.00021586-0.00012856i,-0.00014138-0.00036504i,-0.00015451-0.00029801i,7.0391e-05+0.00036467i,0.00050455+0.0010315i,0.00087515+0.0009521i,0.0010106-0.00022708i,0.0010639-0.00022029i,0.00026337+0.00066734i,0.00016406+0.00056458i,0.00088035+0.00025858i,0.00034967-0.00027556i,-0.00025242-0.00033901i,-0.00072629+0.00037194i,-0.00047135+0.00030967i,0.00035425+0.00018393i,0.00031368+0.00027573i,0.0001907+0.00049799i,-0.00013016+0.00075134i,-0.00034555+4.4297e-06i,0.00013045-0.00080825i
-0.0011425-0.0010819i,-0.0017728-0.0017665i,-0.0024373-0.0018268i,-0.0021626-0.00075621i,-0.00043506+0.0005435i,0.00011432+0.00076966i,-9.9637e-05+0.00061187i,0.00032391+0.00016321i,0.00052873+0.00046833i,-0.00030824+0.00078904i,-0.00031324+0.00083051i,-7.9293e-05+0.00042801i,-0.00053567-0.00012676i,-0.00062691+0.00013898i,8.0951e-07+0.00042737i,0.00046826+0.00093318i,-0.00054695+0.00068362i,-0.00084501+0.00011181i,-0.0004053+7.7843e-05i,-2.6229e-05-0.00058014i,0.0005123-0.0010824i,0.00074973-0.00069401i,0.00075899-0.00020723i
-0.00094293+2.9418e-05i,-0.00087977-0.0010025i,-0.0010225-0.0017058i,-0.00040082-0.0018322i,0.00012927-0.0011769i,-0.00037969+0.00048194i,-0.00032037+0.0003854i,0.00058258+0.00023395i,0.00074822+0.0003897i,0.00068414+0.00025091i,0.00041082+0.00063515i,0.00019117+0.0006593i,0.00088407+0.00033563i,0.00019265+3.4908e-05i,-0.0004249-0.00076623i,-8.4509e-05-0.00072575i,0.00010666-0.00024069i,0.00020441-0.00044733i,-0.00061933-0.00023549i,-0.00058068+0.00024487i,0.00026883+0.0002265i,5.1651e-05+0.0001405i,-0.00054958+0.00010915i
-0.00050763+0.0018073i,-0.00069025+0.001862i,0.00053131+0.0026215i,0.0013111+0.0018427i,0.000625+0.00032168i,2.6304e-05+4.6203e-05i,0.00093867+0.00026286i,0.00088177+0.00044485i,-0.00022754+0.00071671i,-0.0011672-0.00024746i,-0.00031972-0.0012288i,0.00045532-0.0010252i,0.00082664-0.00074886i,0.00043441-8.5504e-05i,-0.00046571+9.8646e-07i,-0.00085414-0.00028689i,-0.00035287-0.00066751i,0.00029064-0.00089875i,0.000352-0.00051059i,0.00017424+0.00046662i,-0.00012317+0.00018273i,-3.8661e-05-0.00069911i,0.00027344-0.00046805i
0.0023945+0.00095637i,0.0015115+0.0010309i,0.00098276-0.00012774i,-5.6406e-05-0.00092001i,-0.00016411-0.00019928i,8.0663e-05-0.00033255i,-0.00043105-0.00021835i,-0.00013799+0.00036902i,0.00068627+0.0004286i,0.00098632-0.00054767i,0.00044767-0.0008002i,-0.00027094-0.00050148i,-3.3364e-05-0.00041863i,0.00031116-0.00024556i,0.00042797+8.0804e-05i,0.00066636+0.00038301i,0.00028612+0.00064704i,0.0001267+0.00073458i,0.00043031+0.00070369i,0.00083881+0.00052311i,0.00079772+0.00031474i,0.00034574+0.00049681i,0.00028887+0.00095625i
-0.0011849-0.00060401i,-0.0017243-0.00042804i,-0.0018486-0.00072288i,-0.0017381-0.00074128i,-0.0013138-0.00065228i,-0.00062847-0.00012116i,-0.00050817+0.00014716i,-0.00050601+4.7812e-05i,-0.00030705-0.00012395i,-0.00012094-0.00040993i,-0.00011549+0.00029642i,7.2864e-05+0.0013268i,-0.00027905+0.00078878i,-0.0016509+0.00055762i,-0.0021121+0.00063075i,-0.0015093+0.00012782i,-0.0010282-0.00025419i,-0.00076446-6.6097e-05i,-0.00018831+0.00014223i,0.00041797+0.00041168i,0.00066496+0.00016784i,0.00057202+0.00034333i,0.00081782+0.00065561i
0.00013372-0.0016185i,0.00060154-0.00067119i,0.00023206-0.00043311i,-0.00038621-0.0012206i,-0.001064-0.0012693i,-0.0013522+0.00023277i,-0.00083117+0.00057372i,-0.0001586-0.0001132i,0.00037437+0.00039763i,7.4128e-05+0.00099359i,-0.00074856+0.00078127i,-0.00029737+0.00061161i,0.0001736+0.00048734i,-0.00065483+1.6187e-06i,-0.0011936-0.0010195i,-0.00050405-0.0013867i,9.507e-05-0.00069666i,0.00033136+0.00022244i,0.00078641+0.00027702i,0.00048978+6.5961e-05i,-0.00011868-0.00018782i,-0.00074012-0.00053839i,-0.00093891-0.00072353i
0.00035481+0.0013018i,0.00047742+0.00037514i,-0.0006717-0.00080487i,-0.0013226-0.00098265i,-0.0011592+0.00019309i,-0.00073946+0.0012666i,-8.1819e-05+0.0012771i,0.00065746+0.0010918i,0.00097817+0.0014415i,0.00097839+0.00093481i,0.00058309+0.000467i,-0.00038254+0.00050666i,-0.00078432+0.00033156i,-0.00060293+0.00014266i,-0.00015672+0.00028064i,-8.7651e-05-6.4807e-05i,-0.00073097+0.00012887i,-0.00062228+0.00060774i,2.2958e-05+1.9367e-05i,0.00054777-0.0011226i,0.00064625-0.0017497i,0.00044786-0.0011794i,0.00010353-0.00093413i
0.00065034-0.00016809i,-0.00023592-0.0002425i,0.00057194-0.00031817i,0.00016536-0.00088692i,-0.0010491-0.0012708i,-0.0019722-0.00063906i,-0.0015175-0.00026579i,-0.00053779-2.709e-05i,-0.00026884+4.7824e-05i,0.000369-0.00039118i,0.00054359+9.5654e-05i,-3.2501e-05+8.121e-07i,0.00022544-0.00026051i,0.0011908-7.9856e-05i,0.0011266-0.00027109i,0.00047301+2.8433e-05i,0.00021523+0.00050265i,5.3083e-05+0.001205i,1.3715e-05+0.0013728i,0.00046409+0.00069404i,0.00071727+0.0003175i,0.00018118-3.3583e-05i,-0.0004719-0.00026303i
-0.00033393-0.00024042i,-0.00011814-0.00041727i,-0.0010103-0.0001543i,-0.0012509-0.00056454i,-0.00045613-0.00072287i,-0.00061975+0.0003461i,-0.0010321+0.00096106i,-0.00047108-7.5365e-06i,0.00040778-0.00065101i,0.00080616-0.00053165i,0.00042732-0.00029699i,-0.00053381+0.0001332i,-0.00088486+1.0459e-05i,-0.00045069-0.00018578i,0.00021526-2.3665e-07i,-1.0619e-05+0.00055789i,-0.00030069-0.00028752i,-0.00021576-0.0014387i,-0.00022586-0.00098587i,-1.7686e-05-0.00037951i,-0.00013209-0.00029555i,-0.00091316+0.000226i,-0.00093557-0.0001978i
-0.0006134+0.00044861i,0.00018369+0.00029561i,0.00064274+0.00092309i,-1.7105e-05+0.0017602i,1.4052e-05+0.00088424i,0.00023803-0.00018719i,0.00033737-0.00026858i,0.00084559+0.00046511i,0.0009363+0.0012102i,0.00061249+0.0009934i,0.00013028+0.00022122i,0.00050517+0.00032045i,0.00017917+0.0006766i,-0.00049964+0.00072048i,-0.00031228+0.00057731i,-4.2538e-05+0.00015471i,-4.4893e-05+2.8743e-05i,8.3361e-05+0.00037748i,0.00043287+0.0010634i,0.00086487+0.00072182i,0.00036495+0.00034157i,-0.00026419+0.0001385i,-0.0003254-0.00020525i
0.0002858-0.00047877i,0.00078695-0.0002794i,0.00037389-1.4246e-05i,-0.001052-0.00045072i,-0.0016646-0.00035085i,-0.0013062+0.0001853i,3.6882e-05+0.00013772i,0.00066799+0.00026112i,0.00060128+0.00089014i,0.0013741+0.00034635i,0.0012087-0.0006825i,0.00024028-0.00055356i,4.0446e-05-0.00010415i,1.2036e-05-6.4376e-05i,0.00015437-0.00013131i,0.00034467+0.00010804i,0.00066051-0.00015496i,0.00050928-0.00026254i,2.7186e-05-0.00031887i,0.00030293-0.00043361i,0.00089193+0.00037293i,0.00092653-0.00042219i,0.00023124-0.001466i
-0.00073574-9.369e-05i,-0.00062393-0.00026635i,-0.00034852-0.00043119i,-0.00034123-0.00061046i,-3.4602e-05+0.00011721i,-0.00093585-0.00010127i,-0.00054142-0.00045627i,0.001072-0.00077182i,0.0015209-0.00097547i,0.000871-0.00064127i,0.0010697-0.00064864i,0.001291-0.00072747i,0.0004088-0.00084527i,-0.00029595-0.00030655i,-0.00025442+0.00089471i,0.000174+0.00061378i,0.00038735-0.00012102i,-0.0004419+0.00029991i,-0.00082291+0.00064311i,-0.00011408+0.00059625i,3.8704e-05+3.8201e-05i,-0.00070019+0.00016079i,-0.00096657+0.00043986i
-0.00085537+0.00047237i,-0.00095399+0.00021729i,-0.00065471+0.001597i,-0.0003281+0.0019427i,0.00012241+0.00066793i,0.00010446-0.00024404i,0.00034727+0.00058887i,0.00047537+0.0014229i,0.00045855+0.00043386i,0.000634-0.00093073i,0.0003894-0.00079922i,0.00016702-3.6395e-05i,-7.9889e-05+3.8323e-05i,5.7863e-05-2.2489e-05i,-0.00035322+0.00022457i,-0.00040983+3.875e-06i,0.00085861-0.00028735i,0.00073964-0.00034505i,-1.5337e-09-0.00046917i,-0.00016963-0.00090498i,-0.00049828-0.00046535i,-0.00020397-0.00034419i,-7.9955e-05-0.0006317i
-0.0015535+0.0006134i,-0.0022141+0.00096295i,-0.0019231+0.00050164i,-0.0017759+0.00020551i,-0.00098957+0.00062239i,0.00013386+0.00040445i,0.00074548-4.9484e-05i,0.0002919-0.00083025i,4.882e-05-0.0011893i,0.0009998-0.00069149i,0.0013668+0.00026637i,0.00075619+0.00052817i,-3.1805e-05-0.00038005i,-0.00028617-0.0010079i,0.00030751-0.00045585i,6.5135e-05-0.00022553i,-0.00033373+0.00041937i,0.00026762+0.00078618i,0.00090626-0.00038188i,0.00033382-0.00039556i,-0.00051568+0.00011536i,-0.00087081+0.00067083i,-0.0007757+0.0012417i
1.0669e-05+1.9138e-05i,-0.00013667-0.00014962i,-0.00039103-0.00066103i,-0.0010058-0.0010518i,-0.0011909-0.0010641i,-0.00057333-0.00040578i,-0.00025622-0.00040747i,-0.00057686-0.00099636i,-0.00035148-0.00040743i,0.00026158+0.00078127i,-0.00012822+0.00034895i,-0.0006535-5.2154e-05i,0.00019384+0.00016602i,0.00054723-9.2239e-05i,0.00020584-0.0008196i,0.00012932-0.00071471i,0.00051345+0.00032922i,0.00045495+0.00054085i,-0.00034811-0.00038817i,-0.00065151-0.00087821i,-0.00081892-0.00045028i,-0.00055749+0.00012679i,0.00051725+0.00021637i
0.0014075-0.00073465i,0.0016783-0.00025437i,0.00092303+0.00022047i,-0.00047187-0.00015524i,-0.0014773-0.00020825i,-0.0014926+0.00063293i,-0.0010281+0.0011772i,-0.00047839+0.00028438i,5.6275e-05+0.00010061i,0.00040709+0.00054373i,7.1981e-05+0.00052693i,0.00030063+0.00018914i,0.00073518+0.00013129i,0.00057863-3.9768e-05i,0.00077491+7.1855e-05i,0.00066679-0.00044085i,0.0006505-0.00078204i,-2.0791e-05+0.00052361i,-0.00042904+0.0011244i,-0.00024399+0.00027151i,-5.541e-05+0.00012926i,0.00025676-6.1224e-05i,0.00068215-0.00040704i
-0.00026633-0.0014856i,-0.00024516-0.0018194i,0.00021466-0.0017864i,-0.00073723-0.0011336i,-0.0019215-0.0009645i,-0.0019928-0.00070992i,-0.0019961+0.00026172i,-0.0010873+7.3092e-05i,0.00028786-0.00057144i,0.00065093-0.00050505i,0.00095894-4.8211e-05i,0.001053-0.00021312i,0.0010882-0.00068691i,0.0005289-0.0010355i,-2.6916e-05-0.0012083i,0.00013945-0.0014045i,-0.00010231-0.00077393i,-6.2759e-05-0.00011781i,0.0003163+0.00017631i,0.00025561-0.00016847i,0.000244-0.00067113i,-0.00018722-0.00032755i,-0.00046261+0.0008415i
0.00052888-0.00017153i,0.0014711-0.00022846i,0.00083315+4.2342e-05i,-0.00016821+0.00066838i,-0.0010831+0.00031335i,-0.0011803-8.2083e-05i,0.00016059-0.00017236i,0.00011066+0.000147i,6.2054e-05+0.00081148i,0.0010783+0.00032712i,0.001191-0.00054557i,0.00024461-0.00065249i,0.00034082-0.0003255i,0.0003168+0.00017094i,0.00010483+0.00033108i,0.00071168+0.00029162i,0.00081484-3.2575e-05i,0.00079186-0.00034878i,0.00087054-0.00023936i,0.00051605-0.00032804i,0.00052159-0.00041187i,0.00030981-0.00017054i,0.00032237+0.00023361i
-0.00096724-0.0016785i,-0.0011917-0.00091113i,-0.0014403+0.0006613i,-0.0010077+0.00043588i,-0.00021042-0.00018816i,-0.00023697-0.00028919i,9.665e-05-0.00021354i,9.1549e-06+0.0002427i,0.00040723+0.00054645i,0.00068719+0.00052076i,-2.0069e-05-0.00011771i,0.00039794-0.0003569i,0.0010584-0.00038558i,0.00034808-0.0003797i,-0.00024808-9.8819e-06i,-0.00073377+0.00030647i,-0.00079727+0.00052382i,-0.00033122-0.00010029i,-6.0107e-05-0.00085212i,0.00012629-0.00085827i,0.00024135+0.00043475i,0.00039237+0.0011324i,0.00030713+0.00043461i
0.0012616+0.0010683i,0.00097125+0.00088209i,0.001177-0.00029398i,0.0014001-0.00078264i,0.00049371-3.6867e-05i,-0.0015236+0.00043405i,-0.0014346+0.00098261i,-0.00023034+0.00055344i,0.00095169-0.00063638i,0.0014514-0.00065976i,0.00083912-0.00064473i,0.00013887-0.000785i,0.00030844-0.00060677i,0.00077373+0.00026269i,0.00060686+0.00048502i,0.00065662-0.00013481i,0.00071576-0.00055884i,0.00042589-0.00042706i,0.00028522+0.00033437i,0.00049082+0.00063766i,0.00057262+6.1055e-05i,0.00012677-0.00032668i,-0.00045884+0.0003957i
-0.00046271+0.0001037i,-0.00014384-6.5933e-05i,-0.00066281+7.9844e-05i,-0.00086796+0.00023069i,-0.00011291+0.00026399i,-0.00024872+0.00082751i,-0.00058642+0.00095704i,0.00044882+0.00047572i,0.00096701+0.0012039i,0.0001289+0.0016266i,-0.0004718+0.00074321i,-0.00029247+0.00013717i,-0.0003836-0.00016306i,-9.3451e-05-0.00053703i,0.00048113-3.25e-05i,0.00064636-9.0072e-05i,0.00077273-0.0007866i,0.00044786-0.00077834i,0.00052212-0.0002148i,0.00087293+8.8289e-05i,0.0007607+0.00012288i,0.00013615+0.00040656i,1.4156e-05+0.00091331i
0.00044812+0.0012191i,0.00047574+0.0008254i,0.00034381+0.001402i,0.00038044+0.0006473i,-0.00015713-0.00098977i,-0.00078027-0.0016346i,-0.0011621-0.0015836i,-0.0010895-0.00057073i,-0.00024162+7.0987e-06i,0.00024955-0.00021495i,-0.00048394-0.00061399i,-0.00064658-0.0013311i,-0.00016285-0.0013446i,-8.3718e-05-0.00035625i,0.00010754+0.00052994i,0.00056726+0.00066407i,0.0010929-0.00015309i,0.0013955-0.00044565i,0.00087853+7.0835e-05i,0.00033238+0.00039685i,0.00079859+0.00056847i,0.00061229+0.00055507i,-0.00012435+0.00022559i
-0.0017233-0.00066455i,-0.0024766-0.00036219i,-0.0024583-0.00027206i,-0.0019855+0.00079236i,-0.0017234+0.00083444i,-0.0006154+0.00047093i,0.00033642+0.00081081i,0.0010291+0.00016752i,0.0016085-0.00049467i,0.00092692-0.00030182i,1.9591e-05+8.536e-05i,-2.247e-05-4.9079e-05i,0.00053472+0.00012933i,0.0008836+0.00036078i,0.00070898+0.00019886i,0.00069183-0.00028028i,0.00048032-0.0007602i,-3.0015e-05-0.00013616i,-4.2811e-05+0.00083878i,-0.0004346+0.0010433i,-0.00052473+0.00044795i,-0.00075384+0.00029516i,-0.0010015-0.00036331i
-0.0025742-0.0015546i,-0.0015987-0.0010769i,-0.0013386-0.00089803i,-0.0011566+0.00010982i,-0.001137+0.001267i,-0.00076925+0.0011242i,0.00028435-2.9974e-05i,0.00044087-0.00092431i,0.00061135-0.00060727i,0.0005173-0.00011149i,0.00026267-0.00054489i,0.0003029-0.00040498i,2.666e-06-0.00029132i,-0.00047869-0.0010544i,-0.00035812-0.0015365i,0.00017974-0.0011166i,0.00030968-0.00026016i,-0.00027728+0.00086873i,-0.00056976+0.0010618i,-7.5123e-05+0.00032317i,-0.00054598-0.00011728i,-0.00092587+0.00033715i,-0.00058193+0.00015778i
-0.00029093-0.0022447i,0.00036398-0.0019172i,0.00057072-0.0015502i,-0.00017037-0.0021429i,-0.0011528-0.0013873i,-0.00090526-0.00036802i,0.00018645-0.00014429i,4.9719e-05-3.1547e-06i,-0.0003803-7.2102e-05i,0.00023462+0.00033638i,-5.9662e-05+0.00066094i,-0.00064283+0.00080056i,-0.00048309+0.00055861i,-0.00050671+0.00010232i,9.4355e-05+0.00012164i,-9.7038e-05+0.00017256i,-0.00059737-0.00014822i,0.00073331-0.00022989i,0.0015276+0.00041889i,0.0011055-4.3845e-06i,0.00039983-0.00064666i,0.000351-0.00036309i,0.00062871+0.0001716i
1.8787e-05+0.0016621i,-0.00010104+0.0013932i,0.0002331+0.00071206i,0.00055251+0.00018057i,0.00023969-8.3313e-05i,-0.00034879+0.00029226i,-0.0010264+0.00025615i,-0.00049977+0.00015195i,0.00074272-0.00025146i,0.0010733-0.0010643i,0.00094779-0.0013968i,0.00076926-0.00066268i,-0.00010822+0.00015579i,-0.00023563+0.00022597i,0.00017214+0.00069663i,-3.5702e-05+0.00098788i,-0.00041533+0.00011826i,0.0002592-0.00016461i,0.00049001+0.00068984i,-0.00029251+0.0011719i,-0.00032287+0.0012584i,-0.00019093+0.00065308i,-0.00083531+0.00034549i
-0.00036554-0.00086096i,-0.0013535-0.00050829i,-0.0011225-2.2701e-05i,-0.00053551+0.00029341i,-0.00083146+0.00013574i,-0.00073795-2.3497e-05i,-0.00015654-0.00014347i,-5.605e-05-0.00048739i,-0.00070797-0.00036872i,-0.0001084+6.7308e-05i,0.00079998-1.5082e-05i,0.00028862-0.00058091i,-0.00052754-0.00079394i,-0.0014998-0.0008298i,-0.0010593-0.00089653i,2.6396e-05-0.00063379i,0.00027599-0.00064601i,0.00035949-0.00051252i,-0.00023563-0.00011113i,-0.00057133-0.00015212i,0.00036091-0.00057548i,0.00078049-3.007e-05i,-0.00021353+0.00040975i
-0.00017384-0.00014746i,-0.00059767-0.0012647i,-0.000684-0.0015603i,3.2957e-05-0.0015356i,-0.0012257-0.00097117i,-0.0013554+2.9537e-05i,-0.00023006+0.00025271i,0.00035409+2.7165e-05i,0.00072652-0.00010007i,0.00033529+6.9031e-05i,-6.2791e-06-4.9154e-05i,0.00026123-0.00045645i,0.00033905-0.00060851i,0.00038916+5.3221e-05i,0.00089877+0.00069017i,0.0015653+0.00079804i,0.0012138+5.0351e-05i,2.363e-05-0.00079225i,-0.00087689-0.00096555i,-0.00096293-0.00022865i,9.7415e-05+0.00065719i,0.00079502+0.00087686i,3.2371e-05+0.0005584i
-0.00085553+0.00082314i,-3.7805e-05+0.0012574i,-0.00070207+0.0018519i,-0.00093568+0.001381i,-0.00057224+0.00051806i,-0.0009199+8.0232e-05i,-0.00046652+0.00052516i,-0.00042979+0.0012436i,-0.00047176+0.0012987i,0.00065704+0.0010371i,0.0010014+0.00062961i,0.0010398-0.00055433i,0.0006398-0.0012841i,-0.00019678-0.00092198i,-0.0005748-0.00024381i,-0.00046325-3.9171e-05i,-0.00056581+0.00022538i,-0.0004963+0.00047119i,0.00011537+0.00041276i,0.00043804-0.00020256i,-5.1479e-05-0.00023356i,-0.00036282+0.00029753i,-0.00039478+0.00050456i
0.00065933-0.0022397i,0.0013798-0.0012181i,0.0019812-0.00031566i,-1.2435e-05-0.00035713i,-0.0013163-0.0010012i,-0.00060784-0.001344i,0.00035291-0.0010936i,0.00090817-6.05e-05i,0.0016517+0.00035783i,0.0018392+2.6477e-05i,0.00036741+3.0748e-05i,-0.00059292-0.00021173i,-0.00022058-0.00021535i,0.00018308+5.5475e-05i,0.00034393-0.00017182i,0.00072967+6.2739e-05i,0.00065314+0.00082854i,0.00048453+0.00036879i,0.00064598-0.0002796i,0.00094814-0.00022043i,0.0009883-0.00013676i,0.00095476+7.7456e-05i,-5.6202e-05+0.00050318i
