0.0013049-0.00018932i,0.00091667-0.00036507i,0.0001514-0.00068462i,-0.00056757-0.00063328i,-0.0018966-0.00061841i,-0.0024508-0.00048022i,-0.001783+0.0002249i,-0.0007759+0.00058788i,-0.00037773+0.00030237i,-0.00041532-0.00036201i,-0.0003114-0.00084077i,-0.000566-0.00026048i,-0.0004115+0.00073351i,0.00049875+0.00075892i,0.0006776+0.00065425i,0.000197+0.00086798i,-6.9958e-05+0.00068785i,2.2858e-05+9.0343e-05i,-2.6622e-05-0.0009912i,0.00021735-0.0013475i,0.00050422-0.0011064i,0.00085658-0.0010081i,0.0006201-0.00052702i
0.00056273+0.00042608i,-0.00029737+0.0010702i,-0.00018303+0.00080062i,-0.0003296+0.0013863i,-0.0003931+0.0017901i,0.00091027+0.0013328i,0.0012015+0.00039573i,-0.00012923-0.00051291i,-0.0010512-0.00050769i,-0.00050383+2.7565e-07i,-0.0003296+0.00015046i,-2.3197e-05-5.304e-05i,0.00064806-0.00041957i,0.00039974+0.00017507i,1.0434e-06+0.00021143i,-0.00017862-0.00058389i,0.00021798-0.00022351i,0.0012292+2.052e-05i,0.0010217+0.00022157i,0.00059062+0.00038715i,0.0010295+0.00013244i,0.00084932+0.0001338i,0.00034194+0.00031009i
-0.00085708-0.00012931i,-0.00045075+0.0009714i,1.2479e-05+0.0016688i,0.00065256+0.0016357i,0.0011955+0.0001792i,0.00067651-0.00067057i,-0.00032993-0.00063495i,-0.0012011-0.000975i,-0.0014581-0.00061737i,-0.00065977-0.0004966i,0.0001395-0.00060905i,0.00012866-0.00019793i,0.00039627+0.00029799i,0.00020635+0.00026973i,-0.00058772+9.2138e-05i,-0.00098311-0.00020062i,-0.00069057+0.00019827i,-0.00011731+0.00018568i,5.618e-05-0.0001629i,-0.00025312-0.00049723i,-0.00063219-0.00064091i,-0.00081504-1.3568e-05i,-0.00029033+8.7716e-06i
-0.0011384-0.00027661i,-0.00063016+0.0002562i,-0.00078015+0.00059152i,-0.00036445+0.00074435i,0.00017196+0.00035845i,-0.00061943-0.00018462i,-0.0016177-0.00035185i,-0.0020354-0.00046888i,-0.0015505-0.0010846i,-0.0015994-0.0012522i,-0.0014811-0.00081821i,-0.00070003+9.7337e-05i,-0.00014534+0.00033523i,0.00071631+0.00016046i,0.00064867+0.00024763i,-0.00045708-8.9954e-05i,-0.00074048-9.4652e-05i,-0.00064142+9.1236e-05i,-0.0001844+0.00046261i,0.00028499+0.00056806i,0.0006938+0.0001657i,0.0010015+2.9674e-05i,0.00040311-2.7692e-05i
0.00067514-0.0008008i,0.00048018-0.00030381i,-0.00010981+0.0010075i,0.00014789+0.0017552i,0.0011443+0.0010018i,0.0011794-0.00016739i,0.00026933-0.00097722i,-0.00034804-0.0014515i,-0.00083436-0.0012297i,-0.001179-0.0011697i,-0.0012378-0.00095641i,-0.0013724-0.00075634i,-0.0007226-0.00090145i,0.00046542-0.00087227i,7.0264e-05-0.00035719i,-0.00097379-0.00013362i,-0.00087655+0.00014067i,-0.00024058+0.00044151i,0.00022067+0.00083143i,0.0001771+0.00032072i,-6.5131e-05-0.00087607i,-0.00017352-0.00054415i,-0.00030831-5.5043e-05i
0.00020015+0.00040894i,0.00074355-0.00015297i,0.0016061-0.00025551i,0.0017653-9.3404e-05i,0.0016806-0.00089608i,0.0010731-0.00090107i,0.00019425-0.00046553i,-0.00037705-0.00070737i,-0.00043412-0.00043366i,-0.00072089+0.00049938i,-0.00053834+0.00056908i,-0.00030207-0.00018007i,-0.0011208-0.0010329i,-0.001221-0.001207i,-0.0004653-0.00015591i,-0.00060458+6.9175e-05i,-0.00014838-0.00059184i,0.00087077-0.00031903i,0.00076229+3.0934e-06i,0.00057284+0.00026665i,0.00025694+0.00095345i,0.00042281+0.0011358i,0.00052711+0.00097129i
-0.00029852+0.00096829i,6.9465e-06+0.0020266i,0.00018914+0.0020342i,0.00021743+0.0014268i,0.00082511+0.0003922i,0.001146-0.00021241i,0.00018856-0.0006807i,-0.00032001-0.00091543i,-0.00060786-5.5717e-05i,-0.0012149+0.00019941i,-0.0010956+0.00019124i,-0.00067973+0.00069733i,-0.00025331+0.00062166i,0.00038997-0.00027629i,0.00065099-0.00083984i,3.7763e-05-0.0007544i,-8.2152e-05+5.8806e-05i,-0.0001254+0.00085511i,0.00034938+0.00035791i,0.00062971-4.7515e-05i,-0.00034892-0.00015381i,-0.00076555-4.5224e-05i,-0.0005143+0.00033828i
0.00052115+0.00098492i,1.0496e-05+0.00057623i,-0.00011377+0.0002346i,0.00033064+0.00031992i,-1.8469e-05+4.7603e-05i,-0.00071764-0.00037448i,-0.00091838-0.00021944i,-0.0010989-0.00061471i,-0.0010738-0.00029779i,-0.0009605+6.1613e-05i,-0.00043881-0.00045909i,0.00092804-0.00012584i,0.0010197-8.4423e-05i,1.6013e-05-0.00060053i,2.3448e-05-0.00046272i,-6.2898e-05-8.752e-05i,-0.00025717+0.00029914i,0.00015973+0.0003985i,0.00020925+0.00040445i,1.2658e-05+0.00043812i,0.00025748+0.00064321i,0.00027577+0.00049872i,-0.00022702+0.0003125i
-0.00015085+0.00016192i,-0.00068033+0.00080281i,-0.0010581+0.0010441i,-0.00033182+0.00064438i,0.00092615-0.00020424i,0.0011045-0.00010238i,0.00041177-6.2437e-05i,-0.0006441-0.0010646i,-0.0015497-0.0013306i,-0.0010859-1.6548e-05i,-0.00036685+6.6538e-05i,6.5152e-07-0.00059305i,-0.00029102-0.00042736i,0.00019387-8.513e-05i,0.00077399+0.00024632i,0.00049105+0.00031568i,0.0011908+0.00014964i,0.0013254-1.0338e-05i,0.00057349-0.0001097i,0.00042503-0.0004091i,0.00041089-0.0003016i,0.00063047-0.00022894i,0.00084399-0.00056482i
-0.0016181-0.0014743i,-0.0017192-0.00028831i,-0.0015624+0.00066151i,-0.00051755+0.0014231i,-0.00023755+0.0018676i,-0.0012092+0.00091281i,-0.0013717-0.00072426i,-0.00028253-0.001438i,-0.00044621-0.00075695i,-0.00036959-0.00013735i,-0.00025203+0.00048943i,-0.00093473+0.00061353i,-0.0010605+0.00023937i,-0.00069267+0.00057397i,-0.00036874+0.0007011i,2.0596e-05-1.6474e-05i,3.8849e-05+0.00012774i,-0.00049073+0.00092072i,-0.00049902+0.0010134i,-4.9952e-05+0.00073664i,-3.0453e-05+0.00097999i,-0.00049386+0.0013029i,-0.0010557+0.00087724i
4.36e-05+7.3884e-06i,0.00045974+0.00049197i,0.0012177+0.0024834i,0.0011253+0.0030768i,0.0011504+0.0019579i,0.00079319+0.0012736i,-0.00050447-0.00018068i,-0.0013748-0.0014543i,-0.00175-0.00068223i,-0.0014403+0.00030034i,-0.00044932-7.938e-05i,-0.00065649+0.00032091i,-0.0006155+0.00082814i,-2.2271e-05+0.00046368i,-0.00056011-2.262e-05i,-0.0010988+6.8405e-05i,-0.00051253+4.6278e-05i,0.00029073-3.9774e-05i,0.00068576-0.00030169i,0.0014426-0.00082538i,0.00177-0.00071594i,0.0012061-0.00051398i,0.00072629-0.00016346i
-2.2924e-05+0.0019931i,-0.00099428+0.0019658i,-0.0014293+0.0019147i,-0.00063694+0.0011336i,-0.0003193+0.00048228i,-0.00022106+0.0002454i,-0.00012391+0.00021752i,9.0681e-06+0.00017937i,-0.0003516-0.00098464i,-0.0011388-0.0017101i,-0.00063908-0.00080555i,-0.00030507+0.0001963i,-0.00061587+4.7824e-05i,-0.00043011-0.00019233i,-0.0003506+0.00086474i,-0.0003779+0.00054093i,-0.00017072-0.00031562i,-0.00024429-0.00035647i,-0.00075976-0.00040375i,-0.00013356+7.6502e-05i,0.000912+0.00015535i,0.0009004+0.00033989i,-8.1366e-05+0.00025173i
-0.0022984-0.00021026i,-0.0028816-0.00093916i,-0.0017052-0.00023371i,-0.0001843+0.00037161i,0.0010965-0.00025042i,0.00076466-0.0013973i,0.00063787-0.0020209i,-0.00011081-0.0016677i,-0.00066808-0.00060534i,-0.0011987-0.00018735i,-0.0010849+0.00012446i,0.00047815+0.00056484i,0.0010118+0.00039599i,0.00028565+0.00014155i,-0.00010972-0.00047073i,-0.00011892-0.00023164i,-0.00093724+0.00060829i,-0.0012007+0.00068903i,-0.00060701-0.00012752i,-0.00056225-0.0011442i,-0.0011209-0.00069396i,-0.00064381+0.00050184i,0.00068824+0.00053889i
0.0012706+0.00022939i,0.00099241-0.0002674i,0.00059632+0.00013174i,-0.00017256+0.00098931i,-0.00087671+0.00028461i,-0.00058438-0.00044702i,-0.00066705-8.8073e-05i,-0.0012382+0.00025564i,-0.0012033-1.4405e-05i,-0.00055055+0.00028899i,9.6092e-06+0.00018425i,-0.00011287-0.00014872i,-0.00051357-0.00034382i,4.3753e-05-0.00072709i,0.00079566-0.0008065i,0.00076643-0.00070199i,0.00048403-0.00073319i,0.00021464-0.00019043i,5.9471e-05-3.2365e-05i,0.00044297+9.7875e-05i,0.00035551+0.00024565i,-0.00067492+0.00048245i,-0.00074194+0.00038103i
-0.00046138+0.0011415i,0.00043854+0.0020462i,0.00018794+0.0032518i,0.00062151+0.0029379i,0.0012943+0.0017893i,0.00058222+0.00046762i,4.4703e-05-0.0008595i,0.00038642-0.0016005i,4.18e-05-0.001208i,-0.00023276-0.0001923i,-6.3036e-05+0.00044835i,-0.00056896+0.00057452i,-0.00052117-5.3222e-05i,4.2153e-05-0.00022281i,-0.00073994+0.00039616i,-0.0011288-4.1938e-05i,-6.6254e-05-0.00042033i,0.0004583+8.3177e-05i,0.00068022+0.00047264i,0.00062928+0.00013417i,0.00051115-0.0002176i,0.00081095-0.00011977i,0.00031122-0.0002145i
-0.00055342-0.001163i,-0.00057324-3.7951e-05i,-0.00071851+0.0013651i,-8.4188e-05+0.0018192i,0.0005033+0.0011876i,0.0004325+0.00013038i,0.00072005-0.00051708i,0.0004014-0.0014986i,-0.00059223-0.0011638i,-0.00098874+0.00022028i,-0.00045304+0.00047127i,0.00021959+0.00072146i,0.00026456+0.00068217i,0.00017968+0.00048448i,8.6166e-05+0.00019086i,-0.00040173-0.00046125i,-1.6622e-05-0.00048845i,0.0010043-0.00014056i,0.0012431-3.6817e-05i,0.00019545+0.00025069i,-0.00040249+0.00017204i,0.00017962+0.00025174i,0.00099234+0.00046383i
0.0013194+0.00036254i,-0.00017972+0.00066088i,-0.00059546+0.00086059i,0.000408-0.00012157i,0.0013458-0.0011866i,0.000128-0.0019232i,-0.00075019-0.0028509i,-0.00033035-0.0024222i,-0.00083335-0.0014974i,-0.00081181-0.00073687i,-0.00025192-0.00027376i,-0.00032292-0.00019419i,-0.00048079-0.00015069i,-0.00059701+7.8514e-05i,0.00015133+1.7568e-05i,0.00049375-0.00014768i,0.00012539+1.7485e-05i,0.00023335+0.00014196i,0.00039193-0.00012119i,0.00024036+7.0711e-07i,0.00015096+0.00040038i,0.00043596+0.00066175i,0.00061011+0.000617i
-0.00087742+0.0013598i,-0.00016744+0.00042765i,0.00053294+0.00048723i,0.0014231+0.00074623i,0.0018485-0.00011954i,0.0017106-0.0010083i,0.00028965-0.0016441i,-0.0011921-0.0021137i,-0.0012851-0.0017992i,-0.00097889-0.00020579i,-0.0008537+0.00053812i,-0.00026067+0.00047921i,0.00025934+0.00068506i,3.1507e-05+0.00086304i,-0.00072733-9.6089e-05i,-0.00020598-0.0007157i,0.00010773+0.00018079i,-0.0004206+0.0012949i,-0.00014729+0.00068946i,-3.5232e-05+7.5541e-06i,0.0002961+0.00041756i,0.00041424+0.00051991i,-8.0149e-05+0.00064368i
0.00071798+8.4881e-05i,0.00036583+0.00033488i,0.00011545+0.00059457i,0.0010995+0.00045267i,0.0013094-0.00097823i,-0.00026927-0.0019294i,-0.00034976-0.0011105i,0.00032125-7.1916e-05i,-0.00023925+0.00028765i,-0.00046333-2.6642e-05i,-0.00018462-0.00022553i,0.00024398+9.988e-05i,0.00014258+0.0011012i,-0.00072653+0.0016232i,-0.00058554+0.00073516i,0.00020798-0.0004365i,0.0005728+0.00030169i,0.00016207+0.0015566i,-0.00041544+0.0013471i,-0.0003147+0.00066758i,-0.00026444+0.00020987i,-0.00037563+0.00044154i,0.00053996+0.00027805i
0.0013409+0.00081331i,0.00014081+0.0022932i,-0.00016934+0.0026584i,0.00050049+0.0018453i,0.00059551+0.00062674i,0.00019176+0.00038662i,-0.00020755+0.00020991i,-0.00094019-0.00092735i,-0.00098426-0.0013174i,-0.0010451-0.00081468i,-0.00059618-0.00026602i,1.6777e-05+3.1379e-05i,-0.00031687+0.00062831i,-0.00061655+0.00073264i,-0.00044954+0.00070809i,-8.3351e-05+0.00070435i,0.00057549-8.7966e-06i,0.0012858-0.00017827i,0.00090164+0.00027735i,0.00028745+0.00091159i,0.00036162+0.00030178i,-0.00013155-0.00022088i,-0.00030261-0.00054285i
-0.0013611-2.3938e-05i,-0.0012075+0.00065405i,-0.00057468+0.0016433i,-0.00038895+0.0017495i,0.00027629+0.00054683i,0.00023041-0.0007609i,-0.000857-0.0002466i,-0.00068424+0.00011699i,-0.00054351+0.00028712i,-0.00065739+0.00015916i,-0.00021158+2.9648e-05i,-7.7745e-05+0.0003289i,-7.3154e-05+0.00020889i,0.00027701-0.00032858i,8.372e-05-3.3445e-05i,-0.00011598+0.00017641i,0.00016259+0.00028238i,-4.0436e-05-5.5393e-06i,-0.00036273-0.00042376i,-6.6266e-05-0.00069436i,0.00015703+1.9049e-06i,0.00029985+0.00055507i,0.00078208-7.4359e-05i
1.5689e-05-0.0015323i,-0.00029551-0.0016216i,-0.0012287+0.0002581i,-0.00039024+0.0017655i,0.00050686+0.0011404i,0.00026281-0.00031465i,-7.0756e-05-0.0010229i,-0.00042146-0.00097001i,-0.00059379-0.00090906i,-0.00073555-0.00093412i,-0.00094323-0.00040515i,-0.0010737+5.9221e-05i,-0.00062234+0.00038907i,0.00026836+0.00040747i,0.00064221-0.00047591i,-2.5406e-06-0.00065881i,0.00015866+0.0001025i,0.00059325+0.00054792i,6.3557e-05+0.00020567i,-0.00024096-0.00021401i,-0.00033078+0.00032909i,-0.0002339+0.00079022i,-0.00024356+0.00016273i
0.0023276-7.4269e-05i,0.001829+0.0018473i,0.00087414+0.0018407i,0.00018564+0.001599i,-0.00076496+0.00097166i,-0.0011971+4.7391e-05i,-0.00038526-0.00044434i,-0.0006477-0.0013515i,-0.0013303-0.0012959i,-0.00093804-0.00013295i,-7.7309e-05+0.0011078i,1.562e-05+0.0011271i,0.00027896+0.0001519i,0.00034008-2.6359e-05i,-1.4689e-05+0.00044691i,-0.00071053+0.00041161i,-0.00051124+0.00038247i,-7.7925e-05+5.5564e-05i,0.00015512-0.00038032i,0.00035568-0.00015148i,0.0003031-0.00015815i,0.00013973+0.00029578i,5.8556e-05+0.0012815i
-0.0011869+0.0011525i,-0.0010945+0.0017659i,-6.4681e-05+0.0024817i,-0.00073834+0.0020731i,-0.00094401+0.00025658i,-0.00067488-0.00084724i,-0.00020732-0.00118i,-0.00040302-0.0011119i,-0.0015284-0.00057853i,-0.0015983-0.00027516i,-0.00091709+0.00025369i,9.9794e-06+0.00051927i,0.00032343+0.00048854i,-8.3414e-05+0.00064157i,-0.00028362+0.00034309i,-0.00033234-4.0651e-05i,-1.1264e-05-0.00016179i,9.3871e-05-0.00047351i,0.00022196-0.00049045i,0.00023525+0.00030032i,0.00059605+0.00058312i,0.00090854-0.00031768i,0.00080349-0.00056654i
0.00047659-0.0011543i,-0.00059106-0.00036628i,-0.0019432-7.1171e-05i,-0.0016649+0.0004526i,-0.0006168+0.00054966i,0.00016644+0.00019102i,0.00092934+0.00019227i,0.00049465+2.3774e-06i,0.00016944-0.00060505i,-0.0002109-0.0005951i,-0.0005972+0.00014736i,-0.00030955+0.0012004i,-0.0002897+0.00055767i,-0.00064993-0.00063384i,-0.00063729-0.00081405i,-1.7068e-05-0.00013329i,0.00089827+0.00013259i,0.0018154-8.4336e-05i,0.0012187+0.00053039i,6.4265e-05+0.00046964i,-0.00010699-0.0001512i,-8.1805e-05+8.1388e-05i,8.1822e-05+0.00057898i
0.0001775+0.0016763i,0.00057685+0.001131i,0.0018922+0.00043068i,0.0024601+0.00016085i,0.0022512-0.00039935i,0.00071191-0.001165i,-0.0008923-0.00069236i,-0.0015189-0.00010757i,-0.0017247-0.00038482i,-0.0012314-0.0008212i,-0.00071478-0.00048866i,-0.00068296+0.00055818i,-0.00099996+0.00078589i,-0.0010519+9.071e-05i,-0.00089597-0.00022555i,-0.00055042-2.5279e-05i,-0.00060329-2.81e-05i,-0.0008095-0.00010156i,-0.00062231+0.00043428i,-0.00083255+0.0011071i,-0.00066323+0.00038648i,-7.4886e-05-0.00019477i,6.4353e-05+0.00035051i
-0.00082287-0.00024467i,-2.2421e-05-0.00074493i,8.9307e-06-0.0012968i,-0.000161-0.0007554i,0.00017667-0.00089742i,0.00077019-0.0013702i,0.00021002-0.0013105i,-0.00010533-0.0011239i,-7.648e-05-0.00079078i,-0.00034113+0.00025189i,-0.00059938+0.00046865i,-3.5425e-05+0.00028238i,0.00039615+0.0010239i,0.00050528+0.0012179i,-0.00056832+0.00074411i,-0.0013331+0.00030882i,-0.00014785+0.00032345i,0.00039758+0.00016159i,0.00087995-0.00075323i,0.00076496-0.00068064i,0.00063792+1.4927e-05i,0.00058645+4.2246e-05i,0.00038268-0.00014037i
0.0017107+0.00044i,0.00048097+0.001103i,-0.00036179+0.0016666i,-0.00037409+0.0021586i,0.00030119+0.0013388i,0.00039545+0.00043376i,-0.00085915-0.0001882i,-0.001821-0.0011506i,-0.001496-0.0014736i,-0.0012137-0.00090023i,-0.0011526+5.6169e-05i,-0.0002954+0.00097322i,-5.2643e-05+0.0015738i,-0.00019959+0.0010323i,0.0001364+0.00035091i,0.0003658+5.0793e-05i,0.00033275+0.00011829i,0.00038338+0.00036046i,0.00095261-7.5073e-05i,0.00073339-0.00041627i,0.00041095+0.00043414i,0.00042602+0.0011557i,0.00052183+0.00074246i
0.0013994+0.00061067i,0.0010031+0.0018167i,-0.00017008+0.0025062i,0.00064799+0.002232i,0.0014183+0.0020179i,0.00070957+0.00038811i,0.00067412-0.0014714i,-0.00030312-0.0023184i,-0.0017234-0.0016453i,-0.0018481-0.00033241i,-0.00136-0.00027109i,-0.00046297-9.8976e-05i,0.00060363+0.00049739i,0.00048349+0.00078286i,-0.00040607+0.00040766i,-0.00030635-0.00061884i,0.00069143-0.00020068i,0.00085525+0.00067694i,0.00043356+0.00012639i,0.00053918-0.00034872i,0.00071445-1.7144e-05i,0.00088604+0.00052347i,0.00047084+0.0001511i
-0.0018539-0.00126i,-0.0027418+0.00023904i,-0.0019758+0.001037i,0.00041991+0.0009961i,0.0010561+0.00029794i,0.00015865-0.00025713i,-0.00024712-0.00076573i,-0.00051276-0.00090624i,-0.00098272-0.00051376i,-0.0010466-0.00029053i,-0.0011343-0.00016223i,-0.0010944-0.00012027i,-0.00033994+3.4928e-05i,0.00031779+5.0448e-06i,5.747e-05-0.00025321i,0.00025528-0.00019203i,0.00027632+2.7532e-05i,-0.00019346-0.00028069i,0.00016315+0.00013928i,6.9883e-05+0.00080362i,-0.00046334+0.00055594i,-0.00042576-0.00043181i,-0.00020218-0.00067113i
0.0023764-0.001321i,0.0023185-0.0013787i,0.0020488-0.00013644i,0.0016474+0.00071423i,0.001591+0.00019376i,0.0011002-0.001135i,-0.00013613-0.0010913i,-0.00057758-0.00060573i,-0.0011886-0.00069634i,-0.0012762-0.00060668i,-0.00075429+0.00018838i,-0.00038633+0.0001754i,0.00058623+8.0447e-05i,0.00073216+0.00022899i,5.93e-05+0.00022395i,-0.00061511+6.2596e-05i,-0.00084062+8.7156e-05i,-0.00032208+0.00020819i,0.00051584+1.1572e-05i,0.0004567-0.00018397i,0.00062978-0.0002926i,0.00057577+0.00048321i,0.0005946+0.00019791i
-0.001119+0.0026993i,8.2206e-05+0.0031319i,0.00098264+0.0029034i,0.0020819+0.0023804i,0.0024563+0.00089797i,0.0014543-0.0006744i,0.00021922-0.00025015i,-0.00099802+0.00061678i,-0.00090688+0.00015788i,-0.00045756-0.00033511i,0.00015803-0.00059517i,0.00062622-0.00040805i,-0.00060072-0.00036981i,-0.0010797+1.8333e-05i,-0.0013665+0.00089708i,-0.0012463+0.00073643i,-0.00015744+0.00041097i,4.5764e-05+0.00026091i,3.0852e-05+0.00050222i,0.00012022+0.00086696i,0.00031946+0.00033843i,0.00055909-0.0005237i,0.00012683-0.00026118i
