-0.0022426+0.00069413i,-0.0024212+0.0014149i,-0.0014833+0.0013721i,-0.00076503+0.00031328i,-0.0016477+0.00059039i,-0.0023805+0.0010702i,-0.0016522+0.00054188i,0.00020412+0.00070511i,0.00051327+0.0011885i,-6.1445e-05+0.0002629i,7.3654e-05-0.00078344i,-0.00028865-0.00055352i,6.3588e-05-0.00031i,0.00091276-0.00023977i,0.0010698-2.3456e-05i,0.00076802+3.7073e-05i,3.4932e-05-0.00082962i,-0.00010086-0.0008991i,3.6276e-05-0.00016107i,-0.00052679-0.00015825i,-0.0006314-0.00071202i,-7.8774e-05-0.00042411i,0.00067886-0.00032624i
6.6608e-05+0.0018361i,0.00094102+0.00025915i,0.0024426+0.00072235i,0.0028834+0.00077565i,0.0015671-0.00049635i,0.00042221-0.0014177i,0.00047197-0.00057558i,-0.00020265+0.00032795i,-0.0010189+0.00034912i,-0.00058587+0.00015184i,6.3365e-05-0.000319i,0.00020911-0.00014072i,-0.00088383+0.00088198i,-0.0012415+0.0010312i,-0.00018573+0.0005103i,-6.6969e-05+0.00045415i,3.2153e-05+0.00079614i,0.00053404+0.00046381i,0.00026425-0.00031678i,-7.121e-05-0.00049944i,-0.00012849+3.4757e-05i,-0.00046296+0.0007849i,-0.00072974+8.2917e-05i
-0.0017038+0.0008945i,-0.0019538+0.00072082i,-0.0018411+0.00090024i,-0.0013253+0.00085306i,0.00042382-0.00010593i,0.001164-0.00058015i,0.00021676-3.4927e-05i,-6.3415e-05-0.00011949i,0.00022996-0.00025297i,0.00052537-0.00050257i,0.00026113-0.00039552i,-1.9958e-05-0.0004124i,0.00054538-0.00039598i,0.00080183+6.4892e-05i,0.00089948+0.00076378i,0.00077716+0.0014188i,-5.1548e-05+0.0016372i,-4.0584e-05+0.0015527i,0.00014079+0.0012943i,-2.1927e-05+0.00092109i,0.00023927+0.0010532i,-2.3243e-05+0.00133i,-0.00044788+0.0013514i
-6.2173e-05+0.0025145i,0.00059013+0.0021709i,0.0014552+0.0020436i,0.0019098+0.0012812i,0.0014239+7.2185e-05i,0.00088726-0.00099217i,0.00047651-0.0015788i,0.00028394-0.001005i,-0.00051355-0.00010448i,-0.00054969-0.00067858i,2.2972e-05-0.0013333i,3.4353e-05-0.001203i,-0.00047745-0.000857i,-0.00078119-0.00079585i,-0.00013741-0.00047815i,-9.9861e-05+0.00062069i,-0.00042496+0.00045648i,0.00028103-0.00028866i,-0.00034311+6.7938e-05i,-0.001475+0.00013535i,-0.0010225-0.00033149i,-2.0726e-05-0.00019302i,0.0005272-0.00038482i
-0.0012327+0.0014228i,-0.0016361+0.0026136i,-0.00072779+0.0026342i,-0.00045224+0.0017397i,-0.00011392+0.00015222i,0.00044534-0.00069139i,0.00012712-0.00025472i,-0.00027436-0.0001127i,-0.00067026-0.00056467i,-2.7392e-06-4.6825e-05i,0.00046704+8.8716e-05i,0.00029503-0.00039213i,-0.00019688-0.0001815i,-0.00033233+0.00040699i,-0.00018456-0.00036372i,0.00018524-0.0013698i,-1.4003e-05-0.0015262i,0.00026004-0.0011212i,0.00041707-0.00028651i,-0.00045287+0.00030665i,-0.00077176-0.00018031i,-0.00041976-0.00050683i,-0.00046204+0.00044375i
-0.0010772-0.0016439i,-0.00050107-0.0011604i,-0.00020322-0.0010858i,-0.00043056-0.00058725i,-0.00058232-0.00027863i,6.8903e-05-0.00073075i,-0.00011544-0.00035287i,-0.00083135-0.0003931i,-0.0014772-0.0012601i,-0.0016954-0.0005556i,-0.00080254-0.00020379i,0.00031905-0.00078063i,0.0011184-0.00019963i,0.00066735+0.0001941i,-0.00060096-6.0675e-05i,-0.0017396-0.00014343i,-0.0019804+5.1777e-05i,-0.0010865+0.00012515i,0.00012902+0.00080573i,0.00053607+0.0007096i,0.00037531+6.9512e-05i,0.00064422+0.00041582i,0.00058133+0.000936i
-0.00044839-0.0013481i,0.0001355-0.00060665i,0.00032775-0.00032555i,0.00057913-0.00099739i,0.00052819-0.0016529i,-0.00044434-0.00082182i,-0.00041202-0.00058639i,2.6835e-05-0.0006942i,-0.00031212+0.000286i,-0.0001726+0.00081579i,-0.00020573-0.00013743i,-0.00081164-0.00060255i,-0.00073127-0.00061105i,-0.0004954-0.00064843i,-4.0856e-05-0.00052017i,0.00018062-0.00037668i,0.00013032-0.00067887i,0.00029796-0.0010115i,0.00038484-0.00063337i,9.0891e-05-9.2067e-05i,-0.00035013-8.4382e-06i,0.00025804-0.00011348i,0.00058361+4.1263e-05i
-0.0011747+0.0011348i,-0.00035113+0.0031076i,-4.2484e-05+0.0031527i,6.2029e-07+0.001439i,0.00031215-0.00035812i,0.00084221-0.0010652i,0.00092952-0.001642i,-0.00025978-0.0017565i,-0.00059778-0.00069871i,0.0003271-0.00028327i,0.00011784-0.00089175i,-3.4416e-05-0.00062791i,-0.00011869-0.00041798i,-0.00057108-0.00058731i,-0.0006237-0.00026306i,-0.00069242+0.00030841i,-0.00019627+9.8947e-05i,0.00073783-0.00055597i,0.0007712-0.00066782i,-7.1327e-05-0.00067687i,-0.00047081-0.00010696i,-0.0005439-0.00033737i,-0.00047828-0.00027987i
-0.0019572-0.00021046i,-0.0008756+0.00018883i,-0.00035767+0.0010733i,-0.00041186+0.00087423i,0.00037332+6.6745e-05i,0.0015806-0.00021258i,0.00051607-1.598e-05i,-0.0010758-0.00049284i,-0.0012845-0.00080053i,-0.0012639-0.00030865i,-0.0013413-0.00055414i,-0.00071924-0.0011999i,0.0004728-0.0013885i,0.00095667-0.00049596i,0.0011463-0.0002212i,0.0013072-0.00080679i,0.0006418-0.00067322i,0.0002919-0.00018138i,0.00017574+0.00022213i,-7.7138e-05-6.7362e-05i,0.00026364+1.6609e-05i,0.00059607+5.3747e-05i,0.00046609-0.00046553i
-0.00096719-0.0010338i,-0.00048923-0.001079i,-0.001368-0.0007405i,-0.0021631-0.00020117i,-0.0010984-0.0004799i,1.5943e-05-0.00041477i,9.3443e-05+0.00021846i,-0.00066585+0.00047392i,-0.0014775-0.00039161i,-0.001195-0.00028376i,-0.00010878+0.00023268i,0.00017681-0.00039805i,3.2336e-05-0.001138i,0.0009227-0.0010625i,0.0014064-0.00064782i,0.00056993-0.00096815i,4.7533e-06-0.00094658i,0.00011883-0.00032128i,-0.00027829+0.00012069i,-0.00077084+0.000231i,-0.00063548+0.00035263i,-0.00043636+0.00035161i,0.00017533+0.00065688i
0.00049787+2.4932e-05i,0.00089213+0.0014263i,0.0012711+0.0013872i,0.00081374+0.0011509i,0.00011627+0.0007808i,-0.00013914-0.00041678i,-0.00018884-0.00058032i,0.00067782-0.000497i,0.00078457-0.00075381i,0.0009431-0.00068907i,0.00095122-0.00061626i,0.00055941-0.00043328i,0.00082587-0.00043315i,0.0007084-0.00071785i,0.00062435-0.00078265i,0.0015105-0.00029642i,0.0013824-0.00013651i,0.00056824-0.0010526i,0.00028949-0.00090366i,-9.2794e-05-0.00025547i,-8.0113e-05+0.00038641i,-0.00012636+0.00096404i,-0.000391+0.00044914i
-0.00062849+0.0012971i,-0.00155+0.0014009i,-0.0014238+0.0014028i,-9.1184e-05+0.001463i,3.2977e-05+0.00037363i,-0.00033595-0.00044734i,0.00047188-0.00067079i,0.00052869-0.00081244i,0.00012419-1.2884e-05i,0.00048105+0.00052083i,0.00018822+0.00087687i,-0.00017645+0.00077757i,-0.00015319+0.0006301i,-0.00046008+0.00047002i,-0.00072976-0.00011725i,8.0461e-05-0.0001737i,0.00041499+0.00052469i,-6.7007e-06+0.00046695i,9.6482e-05+0.00038519i,-5.9032e-05+0.00011254i,-0.00026152-0.00022317i,-0.00012198+0.00011038i,-1.7987e-05-0.00012438i
0.0011665-0.00027225i,0.0016336-0.000255i,0.00065285-0.00025343i,-0.00018017-0.00056066i,-0.00061058-0.0014734i,-0.00021528-0.001605i,0.00073599-0.00073537i,0.00085464-0.00030335i,7.8145e-05-0.00044599i,-0.00023821-0.0007062i,-0.00061257-0.00087649i,-0.0012198-0.0011134i,-0.0002949-0.0007508i,0.00053867-0.00018554i,0.00036407+0.00034108i,0.00089931-0.00021952i,0.0017271-0.00033083i,0.00087956+0.00020171i,-0.00051923+0.00011687i,-9.8669e-05-2.5041e-05i,0.0005093+0.00016144i,-0.00022573+0.00013043i,-0.00019688+0.00015638i
-0.00064187-0.0012556i,-0.0016508-0.00048176i,-0.0018592+0.0011834i,-0.00087027+0.0018529i,-0.00022965+0.0012442i,-4.0692e-05+0.00069397i,0.0007314+0.00050757i,0.00028413+0.00019517i,-0.00054244-0.00051698i,-0.00047742-0.00070535i,-0.00042479-0.00063255i,-0.00019021-0.00052593i,0.0002918-0.00016897i,0.00052587-0.00017658i,0.00032587-0.00067563i,0.0011408-0.0011152i,0.0011833-0.00039735i,-0.00016343-2.5657e-05i,-0.00059585-0.00048945i,-0.00073689-0.00049515i,-0.00024078+8.0473e-06i,5.976e-05+4.6878e-05i,-0.00042395-0.00054274i
-0.0020733+0.00036053i,-0.0026089+0.0008452i,-0.0025516+0.0015859i,-0.0017847+0.0018251i,-0.00062247+0.001601i,0.0002806+0.0007889i,0.00038609+0.00025602i,0.00016961-5.8749e-05i,7.9221e-06-0.00033985i,0.00021462-0.00065112i,0.00055969-0.00089935i,0.000515-0.00049782i,0.00058166-0.00021274i,0.00059399-0.00029866i,0.00081382-0.00077315i,0.0008022-0.00058737i,0.0011972+0.00015964i,0.00078179+0.00040468i,-0.00027409+0.00034336i,-0.00047238+0.00057178i,-0.00074083+0.00045148i,-0.00093186+5.2167e-05i,-0.00048835+0.0003433i
-0.0015952+0.0017214i,0.0002356+0.0018052i,0.0012875+0.0026274i,0.0016377+0.0020557i,0.0011261-7.1062e-05i,0.00044028-0.0012381i,0.00049888-0.0010267i,0.0003811-0.00053614i,0.0003785+4.1059e-05i,0.0001464+0.00047558i,0.00012805+6.6749e-05i,0.00023079-0.00023325i,3.2907e-05-1.8066e-05i,0.00047961+3.8126e-05i,0.00057256-0.00044992i,9.1009e-06-0.0010416i,-0.00037461-0.00071336i,-0.00021833-0.00044372i,1.941e-06+9.4795e-05i,-0.00076069+0.00028038i,-0.001022+0.00025614i,-0.00045296-0.00021434i,-0.00042835-0.00031895i
0.0010535+0.001364i,0.00068041+0.0019783i,0.00062161+0.0022747i,0.00151+0.00054892i,0.0013231-0.00013676i,0.00041649-0.00028982i,-0.00016728-0.00097197i,-0.00066847-0.00052504i,-0.0005639+0.00013481i,3.9229e-05+2.5419e-06i,0.00034198+0.000225i,5.4166e-05+0.00039175i,0.00038462+0.00047427i,0.00048091+0.00081065i,0.00053025+0.00055353i,0.00033444+0.00033182i,0.00019813+0.00041975i,0.00054879-0.00025775i,0.00064027-0.00035081i,0.00025316-0.00030449i,6.3766e-05-0.00046796i,0.00027914+0.00018451i,0.0003664+0.0006979i
0.001387+0.0017923i,0.00079104+0.00022916i,0.0016175-0.0019059i,0.0021403-0.0027042i,0.00086028-0.0023495i,-0.0010788-0.0015506i,-0.0019892-0.00095951i,-0.00070639-0.0002957i,0.00038798+0.00020591i,0.0012071+3.9011e-05i,0.0014019-0.00059796i,0.00028305-0.0004392i,-7.4214e-05+0.00069484i,0.00059448+0.00014456i,0.0011519+0.00018312i,0.0016943+0.00087142i,0.0016406+0.00032927i,0.0010194-4.4471e-05i,0.0001771-0.00034064i,-0.00022056-0.00048896i,-0.00037332-0.00011543i,-0.00042723-0.00053866i,-0.00037895-0.00053051i
-0.0011466-0.0019112i,-0.00033881-0.0012343i,-0.00010903-0.00044411i,-0.00086555-0.00028105i,-0.001481+0.00052297i,-0.00060412+0.0010196i,0.00045945+0.0003171i,0.00094496-0.00059261i,0.00083521-0.0014481i,9.4912e-06-0.0010073i,-0.00016281-0.00012104i,-7.7514e-05+3.5066e-05i,2.1609e-05-0.0002123i,-3.213e-05-0.00047398i,-0.00011483-0.00047669i,-0.00019255+0.00033457i,-0.00042289+0.00035822i,0.00021812+0.00042398i,0.00048768+0.00032863i,-0.00015209+7.9754e-05i,-0.00054033-3.0711e-05i,-2.7162e-05-0.0002642i,0.00034164-0.00055166i
-0.0013545-0.0003797i,-0.00050602+0.00109i,-0.0001445+0.0016883i,-4.0375e-05+0.0012153i,0.0004585+0.00025494i,0.0017097-0.00064362i,0.0020071-0.0014114i,0.0010772-0.0013671i,-8.8069e-05-0.00046693i,-0.000964-6.228e-05i,-0.00074078-0.00011817i,0.00024926+0.00030754i,0.00076139+0.00087639i,0.00082285-7.0282e-05i,0.0011819-0.0010909i,0.00089706-0.001211i,0.00014796-0.00076354i,-8.1478e-05+0.00018707i,0.00045971+0.00012448i,0.00013249-0.00023526i,-0.00081454-0.00026266i,-0.00066926-0.000184i,-1.04e-05-0.00016628i
0.00054123-0.00062767i,0.00075208+0.00087289i,0.00055002+0.00072576i,-0.00068204-0.00027804i,-0.00083247-0.00053486i,-8.7894e-05+1.0442e-06i,0.00031264+0.00076001i,0.00024343-8.0199e-05i,0.00016142-0.0014531i,-8.5152e-05-0.00076788i,-7.312e-05-0.00041198i,0.00029977-0.00049367i,0.00068199-4.1413e-05i,0.0010733-0.0001096i,0.0010821-0.00051116i,0.00035293-4.1544e-05i,4.7721e-05+6.3143e-05i,0.00075486-0.00073648i,0.00032663-0.0008958i,-0.00050117-0.00013138i,0.00016068-1.3953e-05i,0.00066131-0.00037679i,2.321e-05-0.00034948i
0.00026438+0.00067788i,0.0011611+0.0011027i,0.0031143+0.0016106i,0.0031131+0.00042187i,0.0019153-0.0016277i,0.0014585-0.0025189i,0.0013832-0.0016855i,0.001445-0.00077015i,0.0012935-0.00067499i,0.0009591-0.00084861i,0.0005092-0.001059i,-0.00044784-0.00072756i,-0.00067928-0.00020834i,-0.00010828+0.00011556i,0.00060838+0.00021375i,0.0011425-0.00010476i,0.00086483+1.976e-05i,0.0002335+0.00021896i,-2.9726e-05-0.00045521i,-0.00049709-0.00093768i,-0.0010029-0.00026371i,-0.0005726+0.00017294i,0.00022199-0.00044334i
0.00064037+0.0019418i,0.0015375+0.0011461i,0.0015173+0.00020682i,0.0012332+0.00029014i,0.00075871-8.5133e-06i,0.00027992-0.00093955i,0.00040247-0.00086421i,0.00012695-0.00064539i,-0.00017512-0.00027462i,4.0226e-05-0.0003557i,3.9338e-05-0.00071933i,-0.00012961-0.00085718i,-0.0006214-0.00092865i,-0.00038024-0.00063654i,0.00033638-0.00026002i,0.00026948-0.00036459i,3.5542e-05-0.0011515i,0.00012823-0.0014061i,-0.0002741-0.00072202i,-0.00040681+0.00037649i,-9.0367e-05+0.0012707i,0.00062244+0.0012714i,0.00072639+0.00076469i
0.00029331+0.0026907i,0.00070862+0.0025676i,0.0021245+0.0013448i,0.0026589+0.00015319i,0.0026705-0.00077369i,0.0018875-0.0014439i,0.00090752-0.0013797i,0.00026482-0.00051105i,-1.5084e-05+0.00027198i,0.00057596+0.00063036i,0.00071899+0.00015526i,0.00023309-0.00081787i,-0.0007248-0.0012412i,-0.0011113-0.00034651i,-0.00095395+0.0004152i,-0.00061657+9.7196e-05i,3.7454e-05+0.00021858i,0.00034772+0.0005777i,5.8348e-05-6.8705e-05i,7.7604e-05-0.00045561i,0.00054834-0.00049007i,0.00053794-0.00096715i,0.00023533-0.00060461i
0.00022427+0.0029024i,0.0021514+0.0013868i,0.0030461+0.0008857i,0.0021068+0.00077942i,0.001156+0.00039996i,0.00011844-0.00032213i,-0.00030836-0.00078748i,0.00062119-0.00087281i,0.0012505-0.00036302i,0.00079302-9.8666e-06i,-0.00046424+0.00054577i,-0.00058766+0.00019799i,-0.00010746-0.00047331i,-0.00051805-0.00042959i,-0.00055678-0.00015201i,6.3295e-05-0.0007002i,0.00069136-0.00053129i,0.00092094+0.00033508i,0.00015169+0.00023389i,-0.00028586+0.0004306i,0.00023565+0.00047127i,0.00080839-6.7264e-05i,0.0011446+0.00011999i
-0.0010632-0.0019673i,-0.0026156-0.0017393i,-0.003-0.0023004i,-0.0030265-0.0018646i,-0.0020147-0.00060384i,-0.00024197+6.2445e-05i,0.00094571-0.0001685i,0.0011015-0.001076i,0.00052587-0.00095424i,-0.00011706-0.0001721i,-2.1729e-05+0.00020472i,0.00043639+0.00022812i,0.00064144+0.00069105i,0.00091722+0.0012109i,0.00066773+0.00048514i,0.00042934-0.00016589i,0.00022512-0.00028773i,-0.00012286-2.1508e-05i,-0.00015047+0.00089643i,-0.00015122+0.0010327i,1.5496e-05+0.00054803i,0.00054732+0.00019028i,0.0010654+0.00017287i
0.00034617+0.00072524i,0.00061467+0.00066237i,-5.764e-06+0.00045436i,0.00011822+0.00058123i,-0.00025188+0.00033103i,-0.00039624+8.5849e-05i,-0.00080991-4.025e-05i,-0.0010995-0.00030292i,-0.0005362-0.00010902i,-0.0006276+2.2313e-05i,-0.00043843-0.00029916i,0.0004075-7.0215e-05i,0.00044288-0.00021664i,0.00033485-0.00044902i,0.00057192-0.00038898i,0.00053417-0.00033354i,0.00029757-0.00010898i,-0.00012184-0.0001122i,-0.000563+0.00043744i,-0.0011007+0.00084481i,-0.00097722+6.9779e-05i,-0.0010166-0.0001979i,-0.0007738-0.00018333i
0.00054971+0.00063708i,0.0018577+0.00076065i,0.0017439+0.0013044i,0.00088573+0.00069215i,0.00093919-0.00056608i,0.00025308-0.00081583i,0.00016802+6.5285e-05i,0.00046523-0.00015341i,2.7596e-05-0.0007244i,5.4082e-05-0.0004721i,0.00085222-1.4284e-05i,0.00075295-0.00024626i,0.00015241-0.00077343i,0.00044653-1.3027e-05i,0.0013512+6.8487e-05i,0.0019217-0.00055961i,0.0019053-0.00022704i,0.0017138-0.00033582i,0.00069602-0.00069751i,-0.00053047-0.00060793i,-0.00072491-0.0004629i,-0.00052992-0.00030347i,7.8928e-05+0.00021729i
-0.00032405-0.0014592i,-0.00094345-0.00056958i,-0.00093249-0.0006327i,-0.00072091-0.0011514i,-0.0014002-0.0013007i,-0.00057377-0.00060734i,0.0013253-0.00020162i,0.0016775-0.00077542i,0.0012431-0.00052573i,0.00058373-0.00016923i,-0.0001255+4.4678e-05i,-0.0005721+0.00066909i,-0.00035505+0.00066467i,0.00069173+0.00029259i,0.0011823+9.5516e-05i,0.00040448+0.00015028i,0.0002523-0.0002299i,0.00013907-0.00042531i,7.3213e-06-0.00017214i,0.00031237-6.513e-05i,0.00015176+0.00010483i,0.00031394-2.8972e-05i,0.00085581-0.00023167i
0.00053461-0.0013541i,-0.00039404-0.00079976i,-0.0012227-0.0012378i,-0.001197-0.0015844i,-0.00042713-0.0010459i,0.00073771-0.0001553i,0.001404-0.00056158i,0.0017314-0.00050992i,0.0015415-0.00029665i,0.0015489-6.1075e-05i,0.00075714+0.00054368i,-0.00022427+0.00064586i,-0.0001367+0.00014128i,0.00077828-0.0006253i,0.00089111-0.000583i,0.00045868-0.00014185i,0.00076854+0.00043486i,0.00074012+0.00094225i,-0.00028973+0.00059148i,-0.00044792+0.00016377i,0.00024879-0.00038853i,0.00030623-0.00069218i,-0.00026112-0.00017421i
0.0017512+0.00039227i,0.0017019-0.00072898i,0.0022235-0.0016345i,0.0015286-0.0016015i,0.00055321-0.0012644i,-0.00011858-0.0006576i,0.00010413+0.00016664i,0.00096759+0.00033347i,0.00082887-0.00055437i,-7.6267e-05-0.0005684i,7.2446e-05-0.00021971i,0.00033632-8.521e-05i,0.00025814-0.00028771i,0.00018582-0.00061796i,0.00093547-0.00028138i,0.0012249+0.00054308i,0.00055959+0.00034082i,-4.981e-05+8.2006e-05i,-0.00022638+0.00056324i,0.0001648+0.00052485i,0.00053939+2.4695e-06i,0.00013667-8.2303e-05i,-3.7868e-05+0.00011528i
-0.00049385-0.00010339i,0.00033184-0.00023278i,8.8694e-05-0.0011232i,-0.00095195-0.0013456i,-0.0014482-0.00044992i,-0.0013508-0.00015412i,-0.0007938-0.0010476i,-6.8862e-05-0.001163i,-0.00069224-0.00062673i,-0.0012509-0.00034727i,-0.00078652-9.7431e-05i,-0.0002073-0.00011288i,0.0002224-4.3522e-06i,0.00062109-1.3996e-05i,0.00070175-0.00069619i,0.00068452-0.00064986i,0.00052428+0.00048266i,1.2467e-05+0.0010437i,4.5197e-05-0.0003342i,0.00050276-0.00089435i,0.00050386-0.00015838i,0.00060454+0.00016327i,0.00057063+0.0004094i
0.00094389-0.0001882i,0.00095298-0.00038421i,0.00053285+0.00028171i,0.00061868+7.706e-05i,0.0013674-0.0012724i,0.0016457-0.002256i,0.0012909-0.001644i,0.00056054+0.00026272i,-0.00065003+0.00099587i,-0.0005656+0.0002103i,0.00018332-0.00010231i,0.00069013+0.0004863i,-0.00034469+0.00047039i,-0.00089133-0.00025864i,0.00062393-0.00084692i,0.0014568-2.5679e-05i,0.0010426+0.0011965i,0.00051612+0.0010342i,-2.9113e-05-3.4212e-05i,-6.2758e-05-0.00085073i,1.1113e-05-0.00051734i,5.0965e-05+5.5331e-05i,1.173e-05+0.00021689i
-0.0001486+0.0013024i,-4.2832e-05+0.00043167i,0.00080898+0.000167i,0.0008613-0.00034563i,-0.00011446-0.0018594i,-0.00030563-0.0023361i,-8.3822e-05-0.0016084i,0.00040193-0.00042194i,0.00041085+9.0804e-05i,0.00080643-0.00019844i,0.00047632-0.00026237i,0.00028428+0.00032044i,-2.1599e-05+0.00075587i,-0.0002358+0.00021501i,0.00024397-0.00059364i,0.00056624-0.00067689i,0.0011694-0.0004208i,0.001475+2.4022e-05i,0.00071734+0.00079696i,0.00031186+0.0012126i,0.0002144+0.00067365i,0.00029315-0.00020629i,0.00020004-0.00010838i
-0.00087663+0.00040829i,-0.00058676+0.0014016i,-0.00041649+0.0014701i,-0.00027646+0.00067052i,0.0001447+0.00090577i,0.00090674+0.0014632i,0.001226+0.0013499i,0.00062992+0.00050928i,0.00044069-5.2228e-05i,0.00078632-0.00024582i,0.00161-0.00071228i,0.0011734-0.0013201i,0.00039903-0.00095397i,0.00054536-0.00034788i,0.00023599-0.00053022i,2.0784e-05-0.00023098i,8.8192e-05+0.00020341i,0.00010252+0.00041427i,2.1787e-05-8.5382e-05i,-0.00022007-0.00082284i,-0.00064963-0.00063848i,-0.00097151-0.00046449i,-0.00024983-0.00094738i
0.00081357+0.00048351i,0.0011495+0.00038849i,0.0021595-0.00059748i,0.0018572-0.0013834i,0.00093122-0.0017849i,0.00014544-0.0014948i,0.00032429-0.00075105i,0.00087687-0.00058604i,0.00098401-0.00072601i,0.00056038-0.00063154i,-0.00022634-0.00071728i,-0.00060988-0.0007266i,0.00023943-0.00030199i,0.00087147+0.00032339i,0.00051058+0.00083607i,0.00077317+0.00070768i,0.00092891-5.8813e-05i,0.00039579-0.00030501i,-6.2408e-05+8.2764e-05i,-0.00034418+5.8085e-05i,-0.00020887+0.00042426i,-0.00029137+0.00070673i,-0.00074061-9.0263e-05i
0.00091879-0.00069224i,0.00096158-0.00056986i,0.00056826-0.00097598i,0.00029958-0.0016519i,-0.00031711-0.0020022i,-0.00026287-0.00089816i,0.0001762+7.6406e-05i,0.00033008-3.5829e-05i,0.00070811-0.00034858i,0.001165-0.00067452i,0.00087651-0.00078945i,0.00029838-0.00051597i,-0.00018439-0.00045077i,-9.5693e-05-0.00044775i,0.00021174-0.00059155i,0.00012163-0.00057329i,0.00025565-0.00019966i,0.00027886+0.00015742i,0.0001869+6.9916e-06i,-0.00014209-0.00089556i,-0.0012627-0.00086325i,-0.0016053+0.00037733i,-0.00026384+0.00058789i
-0.00031749-0.00030552i,-0.00044597-0.00016849i,-0.00041412-0.00093799i,-0.00013144-0.00099375i,-0.00060734-0.00098073i,-0.00087591-0.00069833i,0.0001837-0.000503i,0.00059429-0.00087862i,-0.00011044-0.00083271i,-0.00062093-0.00060677i,0.00030747+9.1226e-05i,0.00045161+0.00070081i,0.00010348-0.00065505i,0.00085173-0.0019133i,0.001307-0.0014203i,0.0012736-0.00036867i,0.00086843+0.00060291i,0.00071074+6.2447e-07i,0.00076006-0.0011177i,9.0588e-05-0.00074042i,-0.00034762-0.00027448i,0.00065685+4.8331e-05i,0.0013716+0.00058519i
0.0016294+0.00044657i,0.0018841+0.00071174i,0.0015008-7.661e-05i,0.0009626-0.001499i,-0.00044805-0.0015743i,-0.0010536-0.00013123i,0.00034338+0.0008304i,0.00078368+0.00051142i,-5.8066e-06-0.00035504i,-6.9788e-05-0.00036962i,0.0001595+1.9582e-06i,0.00028178-3.928e-05i,0.00024352+0.00063895i,0.00030759+0.00070079i,0.00080362+0.00016961i,0.00086062+0.00011763i,0.00093048+0.00015525i,0.00077253-0.00017777i,-0.00019482+0.00034944i,-0.00057945+0.00068058i,0.00039429+0.00033209i,0.00088653+0.00028208i,0.00011836+0.00076088i
-0.00068178+0.00092055i,0.00034051+0.00016046i,0.0018982+0.000741i,0.0016967+0.00084034i,0.00099327-0.0010806i,0.00084112-0.0020248i,0.0004985-0.0012518i,0.00043453-0.00015771i,0.00027669+0.00034667i,-0.00070148+7.3472e-05i,-0.001192-0.00022398i,-0.00071862-0.00019139i,-0.00084197+4.9151e-05i,-0.00011222+2.0799e-05i,0.0005822-1.6812e-05i,0.00026029-0.00016358i,0.00048285-0.00029672i,0.00052656-0.00038091i,-3.017e-05-0.00025006i,-0.00069776+7.8678e-05i,-0.0006488-0.00029408i,3.8207e-05-0.00069887i,-0.0003149-0.00050486i
-0.00054071+0.0012035i,0.00074351+0.00205i,0.00045094+0.0030592i,0.0005194+0.0025512i,0.0020378+0.0011137i,0.0023034-0.00043952i,0.0015194-0.0011491i,0.00096162-0.00085762i,0.00042274+0.00011566i,0.00028677+0.00049535i,-0.0004927-0.00061441i,-0.00096882-0.00091026i,-0.00056785-0.00053489i,-0.00064855-0.00083473i,-0.00024971-0.00070807i,0.00038577-0.00077755i,0.00054817-0.0015017i,0.00092258-0.0016125i,-2.1792e-05-0.0012757i,-0.00098779-0.0012369i,-0.00025705+4.2552e-05i,0.00041943+0.00060838i,0.00018303-0.00035023i
-0.0022874-1.2243e-05i,-0.0005664+1.6014e-06i,0.00010756+0.00046917i,0.00052183+0.00053114i,-6.1792e-05-0.00027896i,-0.00040623-0.00093402i,-0.00060848-0.00085024i,-0.00099181-0.0010414i,-0.0007144-0.00089452i,-6.1391e-05-0.00063574i,0.00013234-0.00053234i,0.00035926-0.00040142i,0.00049287+3.7938e-05i,0.00055168+0.00044727i,-0.00021578+0.00039827i,-0.00030832-0.00025892i,0.00030962-0.00055563i,0.00063041-0.0010851i,0.0012619-0.0013421i,0.00086856-0.00089719i,0.00074688-0.00058025i,0.00052651+9.4953e-05i,-0.00083068+0.00078128i
0.001792-0.0014764i,0.0033747-0.0018205i,0.0020773-0.0012719i,0.00074026-0.001199i,0.0008446-0.00093975i,0.0010555-0.00063382i,0.0017265-5.2601e-05i,0.002029+0.00023362i,0.0012637+0.00015636i,0.00047433+0.00037681i,0.00018628-2.8017e-05i,0.00019899-0.00095674i,0.00031348-0.00059496i,0.00034235+0.00035998i,0.00067807+0.00048425i,0.00090893+0.00028868i,0.00062683+0.00029167i,6.1534e-05+0.00026467i,-8.5971e-05+0.00055712i,-0.00021834+0.00065762i,-0.00035284-2.494e-05i,-0.00032473-0.00080132i,-0.00031673-0.00063451i
-0.0010711+6.0226e-05i,-0.00059016-0.00052975i,-0.00016007-7.9233e-05i,0.00017916-0.00043553i,0.00028721-0.0011406i,0.00042704-0.001009i,0.000211-0.00036089i,0.00023367-0.00016412i,0.00028224-0.00011268i,0.00021344+0.00026393i,-9.4126e-05-0.00059058i,-0.00045556-0.0006362i,3.0917e-05+0.00071789i,0.00046256+0.00062576i,0.00011346-0.00015435i,0.00059201-0.00018906i,0.00052209+0.00042719i,0.00051333+0.00022004i,0.00030289-0.00025537i,-0.00024751-0.00023765i,0.00036061-7.1247e-05i,4.2546e-06+0.00041601i,0.00054924+0.0004515i
