-0.0022426+0.00069413i,-0.0024212+0.0014149i,-0.0014833+0.0013721i,-0.00076503+0.00031328i,-0.0016477+0.00059039i,-0.0023805+0.0010702i,-0.0016522+0.00054188i,0.00020412+0.00070511i,0.00051327+0.0011885i,-6.1445e-05+0.0002629i,7.3654e-05-0.00078344i,-0.00028865-0.00055352i,6.3588e-05-0.00031i,0.00091276-0.00023977i,0.0010698-2.3456e-05i,0.00076802+3.7073e-05i,3.4932e-05-0.00082962i,-0.00010086-0.0008991i,3.6276e-05-0.00016107i,-0.00052679-0.00015825i,-0.0006314-0.00071202i,-7.8774e-05-0.00042411i,0.00067886-0.00032624i
0.0010704-0.0017609i,0.0011365-0.0022274i,-0.0001913-0.0022098i,-0.00138-0.0012759i,-0.0010843-0.0006522i,-0.00025705+0.00039582i,0.00019102+0.00010754i,0.00024385-0.00059985i,-0.00044402-0.00024273i,-0.00075948-0.0004132i,-0.0002518-0.00056425i,0.00030986-0.00029554i,0.00056929+0.00019276i,0.00085097+6.5372e-05i,0.0010824+0.00028089i,0.00088219+0.00061936i,0.00074674+0.00040865i,8.5959e-05+0.00077688i,-0.00077035+0.00060018i,-0.001239+0.00065506i,-0.0012438+0.00037583i,-0.00088213-0.00031718i,-5.9341e-05-0.00032711i
-0.00068173+0.00060237i,-0.00024166+0.00069686i,0.00097061+0.00073634i,0.001316+0.00040968i,0.0015003-0.0002382i,0.0011925-0.00093783i,0.0008268-0.0007978i,0.0011801-0.00031223i,0.00062219-0.00043599i,0.00025805-0.00054759i,7.1784e-07-0.00058113i,-0.00016997-0.00073901i,-0.00017495-0.00066832i,-0.0002369-0.00052599i,0.00067518+0.00055756i,0.0012228+0.00035128i,0.0007517-0.0011367i,0.00058083-0.0005254i,2.1994e-05+0.00040458i,-0.0010765-0.00073473i,-0.0013294-0.0011845i,-0.001463+9.7152e-05i,-0.00093305+0.0006462i
0.00033895+0.0019168i,0.00087135+0.0013221i,0.00085286+0.00048995i,0.0014965-0.00053881i,0.0017817-0.001439i,0.00058479-0.0020012i,2.2281e-05-0.001273i,9.3962e-05-0.00080834i,-0.0003807-0.00068364i,-0.00047306-0.00013005i,-3.305e-05-0.00014484i,-9.332e-05-0.00080959i,-0.00030883-0.00072077i,-0.00043113-9.9442e-05i,-0.00017161-0.00021252i,0.00072973-0.00069851i,0.00098647-0.0011085i,1.8659e-05-0.00061101i,-0.00094944+0.00023202i,-0.00051791+0.00053857i,-0.00013962+0.00064356i,-0.00063815+9.0013e-05i,-0.00054972+0.00015987i
-0.00046918-0.00027685i,-0.00033606+9.6316e-05i,-0.00029093+0.00039682i,-0.00051616+0.00045753i,-0.0010001+0.00029608i,-0.00062511+0.00021462i,0.00029606-7.2842e-05i,0.0003925-0.00079854i,0.00043097-0.00067701i,0.00073004+0.00013365i,0.0010106+0.00061484i,0.00040248+0.00095671i,-0.00071081+0.0010616i,-0.00084033+0.00076262i,-0.00057527+0.00039813i,-0.00022267+6.2763e-05i,-0.00019041+0.00023899i,-0.00026531-4.2673e-05i,-0.00020338-0.00075976i,-0.00017792-0.00039928i,1.4047e-05+0.00041651i,-0.00047288+0.00060647i,7.7715e-05+0.00019934i
-0.00081097+0.002654i,-0.00049593+0.0023227i,0.00058912+0.0030194i,0.0016059+0.0021289i,0.0012264+0.00055564i,0.00045543-0.00039787i,0.00060892-0.00065641i,0.00093618-8.8273e-05i,0.00089525+0.00059872i,0.00081735+0.00037701i,0.00057281+0.00045995i,-0.00013546+0.0011098i,-4.058e-05+0.00049388i,0.00030378-0.00032489i,9.1608e-05-0.00043694i,0.00053027-0.00030085i,0.0011453-8.255e-05i,0.00071791+0.00036776i,-0.00027905+0.00063894i,-0.00061858+0.00039256i,-0.00021045+0.00018504i,-2.6552e-06+0.00016484i,-0.0003487+0.00070221i
0.0009258+0.00060154i,0.00088754+0.0010259i,0.0018563+0.0010802i,0.0014524+0.00029401i,0.00065745-0.0017857i,0.00017212-0.0024869i,-0.00035681-0.0011166i,0.00012671-0.0004957i,0.00042467-0.00016217i,0.00017814+0.00032127i,0.00047152+0.00022961i,0.00087201+0.00078406i,0.00075333+0.00089543i,0.00063437+0.00018766i,0.00043632-0.00020865i,0.00021619-0.00044583i,9.6509e-06-8.0197e-05i,0.00015739+0.00067715i,0.00033267+0.00037785i,-0.00043222+7.1508e-05i,-0.00089679-5.8229e-05i,-0.00033097-0.0003213i,-5.6265e-05-5.9505e-05i
-6.9583e-05+0.00080788i,-0.00029669+0.00091462i,0.00057723+0.00021519i,0.0012157-0.0011865i,0.00072925-0.0010792i,2.0063e-05-0.00066715i,-0.00057784-0.0004764i,-0.00065028-0.00053269i,-0.00026604-0.00012899i,8.5454e-05+0.00035688i,0.00040063+0.00031436i,0.00034382-0.00028939i,-0.00058713-0.00022999i,-0.0006083+0.0002625i,0.00037738+6.4927e-06i,0.00089455-0.00046513i,0.00098184-0.00047738i,0.000493-0.00060934i,-0.00021572-0.00072185i,-0.00031082-0.00042995i,-0.00018616-4.5468e-05i,0.00041842+0.00023887i,0.00083639+2.344e-05i
-1.7675e-05-0.0016289i,-0.00022537-0.0019287i,-0.0012745-0.0019396i,-0.0017415-0.0010322i,-0.0016229-0.00057317i,-0.00065287+0.00017423i,0.00016127+8.6172e-05i,7.4393e-05-0.0011624i,0.00034452-0.0018226i,0.00029741-0.00066909i,-0.00059074+0.00098121i,-0.00029108+0.00058762i,0.00075806-0.00056558i,0.00098286-0.0010997i,0.001034-0.001175i,0.00081736-0.00081975i,5.5357e-05-0.00061406i,0.00013544+1.5442e-05i,0.00049648+0.0002879i,0.00024029-0.00040008i,-7.2456e-06-0.00042995i,0.00030377-0.00012433i,0.00048828+2.413e-05i
-0.0017398+0.00054726i,-0.00041396+0.0020942i,0.00094746+0.0026933i,0.0013464+0.0013311i,0.0015748-8.4896e-05i,0.00089963-0.0010495i,0.0010146-0.00095639i,0.0013166+9.6123e-05i,0.00039669+0.00024721i,2.5696e-05-8.7071e-05i,-0.00016927-0.00032469i,-0.00034578+0.00011782i,-0.00023971+0.00036045i,0.00022963+9.5005e-05i,0.00030921-0.00066327i,0.00032048-0.00073221i,0.00066404-0.00030274i,0.00039398-7.6851e-07i,-4.7231e-05+0.00052332i,-0.00010683+0.0010233i,-0.00014668+0.00073879i,-0.0002296+6.7251e-05i,0.00027679+0.00014542i
-0.00090919+0.00073279i,0.00036909+0.00023365i,0.00078187+8.6254e-05i,0.00014526+0.00063317i,-2.7568e-05+0.0012411i,0.00088579+0.00040181i,0.00057787-0.0011706i,-0.00033933-0.0012832i,-0.00047098-0.00025488i,0.00012325+0.00063122i,0.00097181+0.00037965i,0.00081829-0.00043645i,-0.00056292-0.0012485i,-0.00060368-0.0018291i,0.00030408-0.0010467i,0.00010982-0.00025804i,8.6862e-06-0.00012415i,0.00042605-3.2494e-05i,0.00038103-6.553e-06i,-0.00013992+0.00029i,-0.00036617+0.00036753i,-0.00029168+0.00016052i,-2.6146e-05+0.0006771i
