0.0015562+0.00046382i,0.0026363-0.00080411i,0.0013621-0.0018086i,-0.00061833-0.0015953i,-0.0014535-0.00073826i,-0.0020858+0.00069012i,-0.0016145+0.0018693i,-0.00040434+0.0024012i,0.0012347+0.00087957i,0.0018995-0.0014671i,0.001176-0.001669i,0.00014664-0.00057053i,-0.00040774-0.00025445i,-0.00064961-0.00014957i,-0.00047163-2.6662e-05i,-0.00040705+0.0003456i,-0.00058433+0.0001949i,-0.0002702-0.00011851i,0.00089553+0.0006243i,0.0015464+0.0010536i,-6.2059e-05+0.0010831i,-0.001285+0.0002522i,-0.00055953+9.6433e-05i
-0.0027798+0.00042223i,-0.0021089+0.0013114i,-0.00086856+0.003016i,-0.00027404+0.0023855i,0.00030055+0.00069617i,0.0005425+0.00076901i,-3.341e-05+0.001104i,-0.00014821+0.00053874i,0.00021833+0.00013772i,0.00024784+0.00026003i,0.00027118-0.00030794i,0.00088418-0.0014219i,0.0013153-0.0012864i,0.0010043-0.00092671i,0.00064549-0.00067885i,0.00048724-0.000477i,-6.1848e-05-0.0002543i,-0.00084155-0.00056728i,-0.0010533-0.00071111i,-0.00074312-0.00038587i,-0.00046846-0.00063391i,-0.00065337-0.00012409i,-0.00076852+0.00034473i
-0.00057296-0.00077784i,-0.00040526+5.8454e-05i,-0.00098082+0.00096557i,-0.0011071+0.00050236i,-0.0010669+0.00040386i,-0.001306+0.0013346i,-0.00086583+0.0012176i,0.0002575+0.00030329i,0.0004476-7.2813e-05i,0.00020457+0.00032499i,0.00053448+0.00085969i,0.00091482+0.00061183i,0.00064306-0.00042008i,0.00037366-0.0012282i,-0.00035436-0.0013897i,-0.00063361-0.0013975i,-0.00045504-0.00054268i,-0.001018+8.4099e-05i,-0.0010168-0.00013168i,-0.00018489+4.9899e-05i,0.00063082-0.00024761i,0.00086598-0.0004985i,8.902e-05+0.00042574i
-0.0001706-0.0010897i,-0.00023479+8.8459e-06i,-0.00089008+0.00051487i,-0.0005891+0.00062675i,0.00015162+0.0010066i,0.00070563+0.00035945i,0.00099143-0.00028101i,0.0013219-0.00018807i,0.0009287+0.00021043i,0.00010197+1.1386e-05i,0.00048103-0.00029485i,0.00085932-6.1635e-05i,0.00054925+0.00022737i,0.0010277+0.00036259i,0.0012026-7.4315e-05i,0.00063267-0.00068432i,0.000482-0.0010015i,0.00032489-0.00096042i,3.1001e-05-0.00078351i,-0.00011082-8.453e-05i,-0.00016685+0.00019728i,8.0029e-05+9.5123e-05i,-6.887e-05-7.5552e-05i
0.00077914-0.00015716i,0.00044858-0.002352i,0.00085233-0.0031459i,0.00028327-0.0021254i,-0.00063597-0.00059016i,-0.0017704+3.0594e-05i,-0.0014235+5.5373e-05i,0.00046058-0.00017209i,0.00051055-0.00019517i,-0.00065322-0.00038359i,-0.00065154-0.00031622i,-0.00077274-0.00033707i,-0.0003414-0.00085203i,0.00025154-0.00090813i,-0.00022185+0.00015796i,-6.8045e-05+0.00032623i,0.0002656-0.00013628i,0.00044227+5.924e-06i,0.00067433+0.00033728i,-0.00016901+0.00070263i,-0.00021364+0.00069626i,8.2399e-05+0.00061581i,0.00018784+0.00043746i
-0.00033288-0.0010116i,-0.00046413-0.00046951i,-0.00094575-0.00045141i,-0.00081885-0.0001279i,-0.00087006+0.00080467i,-0.00098076+0.0015433i,-0.00059966+0.001645i,-0.0002351+0.00089449i,0.00017158+4.4245e-05i,0.00021631-0.00024244i,-0.00023446+1.1744e-05i,-0.00071464-0.00038608i,-0.00039831-0.0008374i,0.00081459-0.00069657i,0.0010423-0.00056932i,0.0013088+0.00021928i,0.0011761+0.0007649i,0.00068075+0.00019707i,0.00024365-0.00018065i,-3.7116e-05-0.00022194i,-8.5407e-05-0.001048i,-1.3167e-05-0.0011049i,-0.0002812+1.9157e-05i
-0.00016711+0.00022966i,0.0002182+0.0011841i,0.0010065+0.00074927i,0.0017527+0.00010485i,0.0016645+8.3995e-05i,0.0011094+0.00060699i,0.00035117+0.00098732i,-0.00016633+0.00064445i,-0.00060684+0.00063454i,-0.00041407+0.00042775i,0.00010274+8.5559e-05i,0.00048113+0.00022635i,0.0012523+1.0467e-05i,0.00096985-0.00025404i,-4.0182e-05-0.00037082i,-0.0004292-0.00030348i,0.00010502+0.00012138i,0.0013126-0.00028294i,0.0011375+5.5109e-06i,-0.00059563+0.00070478i,-0.0012745+0.00043934i,-0.0011716+0.00046176i,-0.001191+0.00017367i
-0.00084626-0.0017711i,-0.0022924-0.0020222i,-0.0020833-0.0017454i,-0.0011405+2.9385e-05i,-0.00058614+0.0012291i,-0.00045871+0.0015077i,-0.00066718+0.0012982i,-0.00074411+0.0013348i,-0.00032552+0.00089457i,-0.00020004-0.00015635i,-0.00020236-0.00060184i,-7.4974e-05-0.00056047i,-0.00021728-0.00046939i,-0.00021056-0.0010204i,0.00020631-0.00088429i,4.0297e-05-0.00070157i,-0.0003263-0.00058622i,-0.00033865+9.9052e-05i,-0.0002481+0.0001166i,0.00033335-2.1138e-05i,0.00086252-0.00018958i,0.00043407-0.0001964i,0.00022031+2.1734e-05i
0.0010446-0.00051978i,0.0009984-0.00086228i,-0.00093054+6.8072e-05i,-0.001884+0.000891i,-0.0010852+0.00024837i,-0.0011103+0.00015589i,-0.0016512+0.00046369i,-0.0010443-2.1267e-05i,0.00014233+4.377e-05i,0.00082085+0.00070862i,0.001165+0.00027146i,0.00084175-0.00055837i,0.00034574-0.00056467i,0.00039414+0.0001472i,0.0004368+0.00038817i,1.0598e-05-0.00026795i,0.0003471-0.0013385i,0.0002275-0.0013329i,-0.00059759-0.00070995i,-0.00052789-2.4844e-05i,0.00036465+0.00055079i,0.0012746+0.00056245i,0.00082451+0.00078632i
-0.0013488+0.00059866i,-0.00034474+0.00018908i,-0.00023187+0.00077184i,0.00030536+0.0014026i,0.001374+0.0014314i,0.0014652+0.00045579i,0.00083839-6.8519e-05i,7.1503e-05+0.00048948i,-0.00081989+0.00042168i,-0.00051981+0.00010954i,0.00010027+0.00055983i,-0.00040625+0.00085461i,-0.0011434-0.00017787i,-0.0015469-0.00058365i,-0.0011439-0.00060543i,-0.0007983-0.00035668i,-0.00063802+0.00017269i,0.00036527+9.4082e-05i,-7.5477e-06+4.396e-05i,-0.00080378+0.00036535i,3.5219e-05+0.00088979i,0.0011036+0.0010086i,0.00094777+0.00036449i
0.00053522+0.00036551i,0.00044007+0.00012992i,0.00028528-0.00044788i,-0.00024175-0.00068296i,-0.00043199-0.00057944i,-0.00021224+0.00048917i,-8.1972e-05+0.00052517i,-6.6704e-05-0.00052225i,-2.7155e-05+1.7215e-05i,1.3692e-05+0.0010001i,0.00018341+0.00088598i,-0.00025341+0.00030467i,-0.00095832+0.00035246i,-0.0010465+0.00076251i,-0.00030043-5.1894e-05i,0.00035158-0.00046981i,0.0003969+0.00025844i,0.00095125+0.00030068i,0.00076745+1.2652e-05i,0.00041153-0.0004357i,0.00036576-0.00043413i,0.00043596+9.609e-05i,0.00012887+0.00025412i
0.0012422-0.001975i,0.00018724-0.00055393i,-0.00098986+0.00047135i,-0.0013056+0.00061885i,-0.0012547-8.3e-05i,-0.00046976+0.00015027i,7.1189e-05+0.001105i,-0.00045633+0.0011115i,-0.00059935+0.0011236i,-0.00057635+0.00068147i,-0.00021934+5.381e-05i,-5.3345e-05+0.00028201i,-0.00031234+0.00038338i,-0.00017232+0.00013489i,-0.00056258-0.00074955i,-0.00064506-0.00069797i,-0.0009828-0.00032799i,-0.0011309-0.00040264i,-0.00044945+0.00034999i,-6.2491e-06+0.0010354i,0.00026009+0.0010591i,0.0004898-0.00012473i,0.0005939-0.00065484i
4.0187e-05+0.0010565i,3.4806e-05+0.0015235i,-3.5644e-05+0.0003779i,0.00029812-0.0001587i,6.9038e-05+1.6465e-05i,-0.00016596-9.8241e-05i,-0.0007202+0.00015976i,-0.00045397+0.00034619i,0.00034436+0.00051943i,0.00011301+0.00034202i,-0.00024116-0.00014071i,0.00014732-0.00099016i,0.00049015-0.0017898i,-0.00041549-0.0010214i,-0.0012426+0.00079203i,-0.0009557+0.0008001i,-0.0002092-0.00021506i,4.087e-05-0.0001451i,0.00019+0.00027653i,0.00025061+0.00044577i,0.00019337+0.00063442i,-8.6677e-05+0.00066298i,-0.00014311+0.00017692i
0.0024378-0.0029407i,0.00068504-0.003282i,-9.4207e-05-0.0022915i,-0.0011005-0.00084541i,-0.0018661-7.5625e-05i,-0.0011579+0.0004148i,-0.00097882+0.00030974i,-0.00047978-0.00070944i,0.00026242-0.00091116i,0.00026287-0.0004117i,0.0010349-0.0003447i,0.0012046-0.0010392i,7.3897e-05-0.0010187i,-7.4832e-05-0.00050469i,0.0007949-0.0003047i,0.00078394-7.5663e-05i,0.00061946+0.00020844i,0.00050838+0.00012486i,-0.00023529+0.00041937i,-0.000724+0.0011063i,-0.00059422+0.00046505i,-0.000164-0.00033885i,0.00047695-6.2086e-06i
-0.0012789-0.00090108i,-0.0004899+0.00018154i,-0.00026226+0.0018287i,0.00039615+0.002342i,0.00086546+0.0022314i,0.00076834+0.0014423i,0.00052099+0.00028767i,3.3227e-05-3.5319e-05i,-0.00011727+0.00066374i,0.00015482+0.00091721i,-0.00029155+0.0006284i,-0.00069206-0.00019046i,-0.00047121-0.001109i,-0.00050991-0.00045218i,-0.00088413+0.00023838i,-0.00041583+0.00018739i,0.00012572+4.3445e-05i,-0.00056133-0.00038307i,-0.00033773-0.00087687i,0.00048096-0.00031184i,1.1679e-05+0.00010894i,1.8451e-05-7.9605e-05i,3.3325e-05+0.00041011i
-0.00094487-0.00024109i,8.1603e-05-1.2928e-05i,-0.00041326+4.3056e-05i,-0.00050924-0.00045531i,-0.00059582-0.00011066i,-0.0013452+0.00023673i,-0.0012573+1.299e-05i,-0.00046605+4.3615e-05i,0.00041858+0.00028287i,0.00037951+0.00052651i,1.7171e-05+0.0010509i,-0.00044533+0.00098378i,-0.00050192-0.00025373i,-0.00035655-0.0011585i,-0.0004551-0.00032083i,-0.00048309+0.00060002i,-0.00067839+1.6145e-05i,-0.00090653-0.00075459i,-0.00011298-0.00063113i,0.00062616-0.00010752i,0.00047827+0.00034977i,0.00028682-7.9757e-05i,8.0909e-05-0.00010099i
-0.00071353-0.00089248i,-0.0018277-0.0014327i,-0.0020539-0.0014143i,-0.00089464-0.00069668i,2.1126e-05+0.00094342i,-0.0010223+0.0015665i,-0.0014864+0.0006417i,-0.0012908+0.00097349i,-0.0010607+0.0017403i,-0.00067672+0.0014032i,-0.00016657+0.00041703i,0.00043411-0.00018071i,-0.00050061-2.7774e-05i,-0.00098999+0.00015385i,-7.8407e-05-0.0001785i,-0.00014065-0.0003144i,-0.00040751-0.00017713i,-0.00094157-0.00048203i,-0.00075906-0.0011506i,0.00023731-0.00091544i,0.00034043-0.00067639i,-9.7985e-05-0.00044373i,-0.00032623+0.00024065i
0.00011928+8.4655e-05i,0.0011413+0.00033991i,0.0019032+0.00077577i,0.0021711+0.00057031i,0.0021266+0.0001278i,0.0015352-3.5585e-07i,0.0008283+0.0004791i,-9.9989e-05+0.00066026i,-0.00066008+0.00039731i,-4.5778e-05+0.00037637i,0.00026047+0.00063927i,-0.00031025+1.3115e-05i,-0.00028019-0.00081063i,-0.00059208-0.00057719i,-0.0013973-0.00042351i,-0.0008019+5.6045e-05i,0.00020186+0.0006975i,-0.00015241+0.00065422i,0.00014848+0.00026751i,0.00016602-5.6871e-05i,0.0001584+4.7037e-05i,0.00033729+0.00017435i,-4.8347e-05-0.00011502i
0.0022496+0.00010863i,0.0014548-0.0011891i,0.00065083-0.0015952i,0.0001119-0.00023421i,-0.00049286+0.00019468i,-0.00091687-0.00036912i,-0.0002864-0.00041538i,-0.0004888+0.00042007i,-0.0010131+0.00059538i,-0.00058179+4.8116e-05i,0.00029757-0.00041737i,0.00011445-0.0002648i,7.6838e-05-6.816e-05i,-7.4433e-05-0.00039177i,-0.00050731-0.00056928i,-0.00075412-0.00013367i,-0.00044884-0.00018138i,0.00031846-0.00038322i,0.00017477+9.8078e-05i,-0.00036049+0.00061379i,-0.00025097+0.00089204i,0.00065924+0.00061356i,0.00036947+6.7083e-05i
0.00060276+0.0021618i,0.00027618+0.0016783i,0.00033394+0.00014605i,9.4758e-05-0.00049657i,0.00024808-0.00080796i,0.00010321-0.0013127i,-0.00058146-0.00013118i,-0.0003578+0.0012502i,-0.00011925+0.0013673i,-5.9364e-07+0.00056502i,-0.00023296+7.7968e-05i,-0.00039711+0.00033853i,-0.00092346+5.948e-05i,-0.0009755-0.000538i,9.0782e-06-0.00019837i,0.00076698+0.00036004i,0.00095866-0.00022878i,0.00089312-0.00066863i,0.00023967-0.00074964i,-3.6669e-05-0.00047011i,0.00029362-0.00012465i,0.00028754+0.00019838i,0.00018097+0.00042659i
0.00084856-0.00095387i,0.00067183-0.0011604i,0.00028433-0.0013816i,0.00038898-0.0014859i,0.00060616-0.0011963i,0.00061371-0.00076793i,0.00056327+7.5584e-05i,-0.00013253+0.00089562i,-0.00042768+0.001209i,-5.263e-06+0.00081505i,-0.00016087-0.0003312i,-0.00016877-0.00095861i,0.00035285-0.00073282i,0.00011-0.00031821i,-0.00021445+0.00018812i,0.00046391-0.00014843i,0.00092402-0.00028422i,0.00034381+4.0283e-05i,-0.00025561+0.00021953i,0.0001518+0.00040418i,0.00028749-0.00014542i,0.00028016-0.00036726i,0.0005394-9.9542e-05i
0.0014016+0.00038853i,0.00061836-6.2088e-05i,0.00063507-0.00027694i,0.00050055-0.0013414i,-0.0002593-0.0017443i,-0.00060276-0.00099869i,-0.00093095+5.8158e-06i,-0.00077472+0.00013422i,-0.0002069+0.00040073i,0.00072906+4.09e-05i,0.00080734-0.00069247i,-0.00045801-0.00081035i,-0.0012151-0.00055601i,-0.0012937+0.00021245i,-0.0010764+0.00051879i,-0.00010807+0.00021572i,0.00026832-0.00023064i,7.4715e-06+0.00032129i,-0.00013939+0.0012289i,-0.00010471+0.00084119i,-0.00024158+6.4966e-05i,-0.0011029-0.00045577i,-0.00087387-0.00049032i
0.00088686+0.00019688i,0.00067676+0.00012876i,0.00053965-0.00082131i,0.00041244-0.00048964i,0.00041016+0.00034701i,0.00027273+0.00050497i,-2.8578e-05+0.00031805i,0.00074774+0.00012281i,0.0010835+8.6742e-05i,0.00061718+5.9049e-05i,0.00084967-0.00015339i,0.0013324-0.00024787i,0.00081497-0.00026299i,0.00012602+0.00020019i,-0.00016262+0.00056533i,-0.00040255+0.00086756i,-0.00048533+0.00065183i,-9.9718e-05+0.00019986i,6.9421e-05-0.00042848i,-3.0375e-06-2.7721e-06i,-0.00036278+0.00055494i,-0.00072797-0.00035711i,6.9972e-05-0.0010076i
-0.0030503-0.00058237i,-0.0028239-0.0014779i,-0.0021186-0.0013278i,-0.0011247-0.0002589i,0.00016498+0.00078548i,0.00059898+0.00081489i,0.0003233+0.00079763i,0.00025932+0.0011142i,0.00015935+0.00051301i,0.00063641-0.00033891i,0.00063458-1.0891e-06i,0.00049876+0.00042116i,0.00044606+0.00017746i,0.00024513-0.00030572i,0.00019447-0.0002841i,-0.00014031-0.00019996i,-1.7542e-05+0.00016093i,-6.1665e-05+0.00035842i,-3.9489e-05-9.179e-05i,0.00029497+0.00014169i,8.8076e-05+1.3684e-05i,0.0001715-0.0001283i,0.00059889+8.7726e-05i
-0.00083656-0.00032426i,-0.00073402-0.00028081i,-0.0012413-0.00027131i,-0.00035085-0.00018088i,0.00013356+0.00059236i,9.9386e-05+0.00098623i,-0.00034118-4.9731e-06i,-0.00074517-0.00084854i,-0.00054891-0.00077703i,-0.00023689-0.00069274i,0.00027355-0.00073524i,0.00098082-0.00057867i,4.2325e-05-0.00033677i,-0.00065486-0.00036397i,-8.7279e-05+0.00010655i,0.00026026+0.00037236i,0.00099951+0.0005834i,0.00095167+0.00057821i,0.00036769+0.00066706i,0.00054635+0.00043422i,0.00033029+0.0001037i,0.00029749-0.00044892i,0.00011667-0.00070511i
0.00013403-0.00077082i,-7.9721e-05-0.00010623i,-0.00028782-0.0002611i,0.00033859+0.000553i,0.0010655+0.00076155i,0.00072565-0.00037278i,-3.6024e-06-0.00074647i,-0.00021387-0.00031658i,7.7895e-05+0.00038109i,0.00067727+0.00065253i,0.00084319+0.0001588i,0.00048538-0.00032851i,0.00038073-0.0005338i,0.00030147-0.00044798i,-0.00014504-0.00037616i,0.00055045-0.00038283i,0.0011322-0.00063675i,0.00025262-0.0015504i,-0.00060034-0.00078561i,-0.00021958+0.00022353i,0.00044103+0.00026746i,0.0011162+4.6419e-05i,0.00081452+7.1447e-06i
2.908e-05+0.0011436i,-7.0836e-05+0.00037694i,-0.00072379+0.00025797i,-0.0013543+0.0005735i,-0.00083074+0.00014847i,-0.00041034+0.00054769i,-0.0011104+0.00088046i,-0.0011697+0.00033095i,-0.00030928+0.00074885i,5.3307e-05+0.00084912i,-0.00021435+0.00064487i,-0.00047572+0.00073349i,-0.0011927+0.00056258i,-0.00085988-0.00040908i,-4.5826e-05-0.0010948i,-0.00021646-0.00060797i,2.016e-05-6.9948e-05i,0.00014626+0.0004907i,-0.00057758+0.00059608i,-0.0008623+0.00015971i,-0.00017243+0.00081551i,0.00030959+0.00062456i,-6.5182e-05+7.4596e-05i
0.00088855+0.00030512i,0.00077565-0.00054832i,0.00071263-0.00049946i,8.4298e-05-0.0007233i,9.3657e-05-0.00067616i,0.00063592-0.00021225i,0.00032037+0.00010888i,-0.00044072+0.00045792i,-0.0001622+0.0012405i,0.00074103+0.00095917i,0.00065009+4.9502e-07i,0.00036212+0.00022341i,0.00029036+0.00032161i,-0.00021817-0.00034515i,-0.00038145-0.00078922i,-0.00022195-0.0005475i,-3.3747e-05-0.00028474i,0.00088797-0.0002964i,0.00047831+0.00051223i,-0.00070174+0.0012873i,-0.00068927+0.0014569i,-7.42e-05+0.00069037i,4.2872e-05-0.00018957i
0.00022167+0.0024139i,1.1614e-06+0.0019054i,-0.00029862+0.00076506i,0.00084415-0.00036928i,0.0008395-0.00043666i,-0.00011301+0.00041101i,-0.00053765+0.00019525i,-0.00035989+0.00030453i,0.00045055+0.00088482i,0.00086076+0.00057671i,0.00095639+0.00026381i,0.0011776+0.00027328i,0.00028243+0.00014979i,-0.00070623-3.685e-07i,-0.00044774-0.00020514i,-3.5055e-05-0.00017737i,0.00032485-0.00020054i,-2.1886e-05-0.0004066i,-0.00018985-0.0011811i,0.0002464-0.00089471i,0.00017103+7.3247e-05i,-0.00060112+0.00020018i,-0.00071151+8.7759e-05i
-0.00032208-0.0015655i,-0.0012088-0.0013098i,-0.0021442-0.00082786i,-0.0017788+0.00043039i,-0.0013831+0.0016858i,-0.00093415+0.0016938i,-0.00044254+0.00093107i,-0.00092965+0.0006279i,-0.0012637+0.00042487i,-0.0010873-0.00036851i,-0.00096341-0.00021902i,-0.0004913-0.00014288i,-0.00014629+0.00013946i,-0.00032562-0.00028994i,0.00016129-0.00090394i,0.00019002-0.00080618i,0.00066733-0.00030992i,0.0011872+0.00018621i,0.00063015-9.6428e-06i,0.00047913-0.00033398i,0.00063257-8.7831e-06i,0.00055861+0.00062701i,3.5667e-05+0.00036341i
