0.0013184-0.00055339i,0.00015241-0.0012702i,-0.0011279-0.0029358i,-0.0021023-0.0020767i,-0.0018297-0.00019323i,-0.001219+0.0010132i,-0.00029664+0.0015362i,0.0010265+0.0006664i,0.0016256-0.00026926i,0.0015928-0.00059317i,0.001075-0.00087026i,0.00042776-0.0010111i,-0.000301-0.00087097i,-0.00037258-0.00024716i,0.00010059-0.00022011i,0.00017979-0.00036773i,-1.8045e-05-0.00019732i,0.00060683-5.5044e-06i,0.00030071-9.8893e-05i,-0.00010404-0.00066687i,-8.5276e-05-0.00046381i,-0.00046955+0.00045673i,-0.00078661+0.0012662i
-0.0013765+0.0009014i,-0.002381-0.00069192i,-0.0022649-0.0025682i,-0.0016609-0.0015081i,-0.00016602+0.00011204i,0.0018989+0.00012406i,0.0022298+0.00014612i,0.0015727+0.00054204i,0.0011101+0.00040469i,0.00065682+0.00017777i,0.00013536+0.00043077i,-0.00017149+0.00013809i,0.00048739-0.00055587i,0.0010997-0.00020195i,-7.4046e-05+0.00036688i,-0.00089702+0.00047711i,-0.00070124+0.00057667i,-0.0001303+0.00076201i,-1.5388e-05+0.00036531i,0.00019352-0.00031251i,0.00034014-0.00016857i,0.00029964-5.0361e-05i,0.00045095+7.9907e-05i
0.00026911+0.0011293i,-0.001092-0.0010282i,-0.0010915-0.0023371i,-0.0002189-0.0019169i,0.00014336-0.0016205i,0.0011395-0.0013645i,0.0011765-0.0007i,0.0007748-9.946e-06i,0.00047406+9.0543e-05i,-0.00045639+3.9494e-05i,-0.00022436-0.00036231i,0.00075221-0.00032645i,-0.00024037-0.0004817i,-0.00090954-0.00078287i,-0.00060912+0.00042384i,-0.00075317+0.00082176i,-0.00041183-0.00030337i,0.00066334-0.0010297i,0.00033521-0.00061227i,-0.00040322+0.00032018i,3.7651e-05+0.00027603i,0.00048037+0.00052028i,-1.6026e-05+0.0010897i
-0.00096249-0.0014744i,-0.0023233-0.0018591i,-0.0026561-0.0021394i,-0.0022774-0.00090535i,-7.9594e-05+0.0010886i,0.0014375+0.0013946i,0.00089849+0.00012834i,0.0005717-7.1801e-05i,0.00050345-0.00019549i,0.00049557-0.00055197i,0.00050562-0.00052787i,0.00026393-0.0008288i,0.00038364-0.0010855i,0.00066675-0.00055106i,0.00056933-0.00017719i,-8.0382e-05+3.8486e-05i,-0.00028376+0.00073293i,-0.0002854+0.0015737i,-0.00014961+0.0014974i,4.0387e-06+0.00091075i,-0.00048777+0.00061288i,-0.00030599+0.00099069i,0.00032775+0.001096i
0.00018436-0.00029829i,-0.0002298-0.0011562i,-0.00069971-0.00089767i,-0.00085354-0.001089i,-0.00037573-0.0011177i,0.00042403-0.0008161i,0.00070495-0.00051253i,0.00037458-0.00024911i,2.2706e-05+0.00075553i,3.3251e-05+0.00066932i,0.00048925+0.00047687i,0.00068406+0.00069793i,0.0001706+0.00057609i,-0.00038909+0.00055777i,-0.00043409+0.00011303i,-0.00036849+0.00018497i,2.6582e-05+0.00030744i,0.00054194+0.00016609i,0.00046526+3.0711e-05i,0.00013831-0.00069322i,-8.217e-05-0.00062935i,-0.00018445-0.00045109i,-0.0004416-0.00060061i
0.00052601-0.001147i,-0.00026032-0.0034691i,-0.00087896-0.0033323i,-0.00036621-0.0017263i,0.00041898-0.00053744i,0.001161-0.00151i,0.0015014-0.0019463i,0.0009256-0.00057441i,0.00067786+0.00084475i,0.00052784+0.0010052i,-5.1499e-05+0.00023062i,-0.00052501-0.00012223i,0.00021585-0.00061844i,0.00097534-0.00039917i,0.00075237-0.00026521i,-1.732e-05-0.00025674i,-0.00039534+0.00017223i,4.1704e-06+2.1573e-05i,0.00032635-0.00049563i,0.00015672-0.0007649i,-0.00032508-2.9688e-05i,-0.00020541+0.00052001i,-0.00051763+0.00024825i
0.0013275+0.0007198i,0.00088445-0.00059286i,-0.00024768-0.00043167i,-0.00033134+0.00074145i,9.0775e-05+0.0011327i,0.00058332+0.00058767i,0.00049703-1.7539e-05i,0.00011361+9.852e-05i,0.0003946+0.00014934i,-0.00022516-0.00024758i,-0.00087175-0.0010975i,-0.00021613-0.00092222i,0.00037642-0.0002454i,0.00014405-0.00018418i,0.00019774-0.00032433i,-3.844e-05-0.00082201i,-2.4164e-05-0.00115i,0.00023754-0.00056974i,-0.0006614+0.00014845i,-0.0013875+0.00064779i,-0.00083324+3.5997e-06i,-6.8384e-06+0.00036661i,1.084e-05+2.0574e-05i
0.0019379-0.0026651i,0.0017746-0.0025845i,-0.000195-0.0024405i,-0.00079413-0.0010881i,6.1881e-07+0.00037414i,0.0019172+0.00066227i,0.0025726+0.00024342i,0.0021412+0.00041999i,0.0010376+0.00026631i,0.00016576-0.00011552i,8.7364e-05-0.0006509i,-4.6141e-05-0.0010885i,7.8661e-05-0.00071931i,-9.1775e-05-0.00079221i,-0.00069536-0.00038285i,-0.00077913+0.00031454i,-0.00034353-0.00021705i,-0.00041781-0.00029042i,-0.00015768+7.6073e-05i,0.00013758+9.9364e-05i,0.00010981+0.00025942i,0.00015775+0.00053412i,0.00031679+6.5314e-05i
-0.0013522+0.0025884i,-0.0025412+0.00079915i,-0.0022363+0.00012178i,-0.0019219+0.00091488i,-0.00015831+0.0013807i,0.0016818+3.9611e-05i,0.0014702-0.00087599i,0.0013156-0.00023706i,0.0010088-7.6429e-05i,0.0007706-1.7084e-05i,0.0013067-0.00030893i,0.00074213-0.00049015i,0.00039688-0.00060965i,0.00051144-0.00061366i,8.8628e-05-0.00042893i,0.00035432-0.00013224i,0.0011927-0.00012844i,0.0016146-0.00052527i,0.00050597-0.00064705i,5.1544e-05-0.00055331i,9.8423e-05-0.00073674i,-0.0007059-0.00019468i,-0.00075661+0.00082644i
-0.00090879+0.00082123i,-0.0021389-0.00010972i,-0.0020996-0.0013235i,-0.0013651-0.0017322i,0.00050193-0.00077563i,0.0015771-6.1916e-05i,0.0015004-0.00029292i,0.001243-0.00022311i,0.00082071+0.00012576i,0.00081177+0.00098855i,0.00076802+0.0012102i,0.00061709+0.00076004i,0.00041982+0.00028536i,0.00019223-0.00034601i,-0.00022079-0.00097516i,-0.00036688-0.0013128i,0.00040924-0.0005109i,0.00092207-3.7027e-05i,0.00071402-2.8816e-05i,0.0003085+0.00017847i,0.00042721+0.00063997i,0.00026066+1.8538e-05i,3.3573e-05-0.00040324i
-0.002194-0.0021059i,-0.0017593-0.0036928i,-0.0024352-0.0034172i,-0.0015874-0.001564i,0.00061422+0.00096138i,0.0021598+0.0015032i,0.0016672+0.00018506i,0.00042929-0.00024168i,0.00027182+0.00020224i,0.0012643+0.0003689i,0.0014631+0.00068426i,0.00037925+0.00054445i,0.0001852+0.00015156i,0.00022094+0.0001636i,-0.00029847+0.0002804i,0.00018575+0.00035072i,0.00057527+0.00048i,-0.00026871-0.00018895i,-0.00035579-0.00041848i,-0.00031055+0.0004812i,-0.00042432+0.00082933i,-0.00040725+0.00076737i,-0.00052484+0.00084794i
0.00075275-0.0025717i,0.0012046-0.0030715i,0.0010638-0.0028822i,0.0010987-0.0016904i,0.0016586-0.00043021i,0.0021678+0.00019223i,0.002316+7.8726e-05i,0.0016457+5.1603e-06i,0.00079112+0.00064136i,0.00029505+0.00053984i,-1.8855e-05+0.0003237i,-0.00042295+0.00045554i,-0.00019266-0.00029971i,0.00065668-0.00029632i,0.00084441+0.00057233i,0.0010084+0.0009268i,0.0012201+0.00058092i,0.00069024+0.0001422i,0.00067326+0.00025213i,0.00056914-8.3756e-07i,-0.00026018-0.00020001i,-0.00054901-0.00011993i,-0.00037388-5.0421e-05i
0.00048911-0.0022624i,-0.0010504-0.0015144i,-0.002834-0.0019777i,-0.0033469-0.00050087i,-0.0016696+0.0016834i,0.00033135+0.0015916i,0.0013033+0.0002314i,0.0017163-0.00064453i,0.00094442-0.0004263i,-0.0006459+0.00050983i,-0.00090306+0.00038045i,-0.00036766-0.00071193i,-0.00012887-0.0012239i,-0.00023619-0.00039866i,-0.00022262+0.00020979i,0.00057581-3.0822e-05i,0.00066685+4.5902e-05i,-2.346e-05+0.00015846i,-0.0002779+5.1734e-05i,-0.00015468+0.00055539i,0.00033967+0.00082156i,0.00053275+0.00085513i,6.7019e-05+0.0003634i
0.0010107+0.0016738i,0.00050077+0.00065677i,-9.6696e-05-0.00067442i,0.00033735-0.00026423i,0.0021248+0.00091628i,0.0035131+0.0012593i,0.0029124+0.00069433i,0.0012452+0.00011358i,0.00014134+0.00085564i,0.00014187+0.001139i,2.5771e-06+0.00098419i,-1.5885e-05+0.00037023i,-4.7256e-05-0.00043885i,0.00020019-0.00053932i,0.00082398-0.00056254i,0.00087424-0.00049063i,-0.00024677-0.00034203i,-0.00089031-0.00015896i,-0.00061131+0.00021358i,-0.00072951+0.00066496i,-0.00036239+0.00095666i,-0.0003719+0.00079364i,-0.00062332+0.00066177i
-0.00028637-0.00072667i,-0.00097528-0.002135i,-0.0014866-0.0033221i,-0.0015517-0.001905i,-0.00029571+0.00013786i,0.0008269-2.4772e-05i,0.00096236-0.0011038i,0.00031729-0.00093449i,-0.00015303-0.00047767i,0.00010216-0.0002786i,0.00013477-0.0010895i,0.00013519-0.0013i,0.0002471-0.00064913i,0.00026121-0.00076101i,0.00034814-0.0011714i,0.00064035-0.00060577i,0.0003797-0.00023352i,0.00044762-0.00045674i,0.00034622-0.00018486i,-0.00020728+0.00047133i,-0.0004928+0.00064911i,-0.0010774+0.00061706i,-0.00064915+0.00036502i
-0.0012971-0.00066903i,-0.00092969-0.00095013i,-0.0011711-0.001389i,-0.0014408-0.0001471i,-0.00023495+0.0010197i,0.0011207+0.0012297i,0.0011168+0.00081885i,6.0554e-05+0.0002489i,-0.00036864-8.967e-05i,-0.00016467-0.0002074i,-0.00062471-0.00013021i,-0.00072621+9.3672e-05i,-0.00030928+0.00020321i,0.00012592-0.00018684i,0.0009654-0.00032783i,0.001111-5.8787e-05i,0.00016575+3.2445e-05i,-0.00032355-0.00022661i,-0.00037896-0.00045314i,-0.0012205-0.00065676i,-0.001557-0.00061703i,-0.00041055-0.00035311i,2.958e-05+0.00032019i
-0.0013653-0.0020668i,-0.0017452-0.003295i,-0.0021746-0.0036369i,-0.0020971-0.0017598i,-0.00060096-0.00013259i,0.0011569+0.00038052i,0.0015584+4.0674e-05i,0.0012271-0.00015054i,0.00073993-0.00037063i,0.00040127-0.00086408i,3.2572e-05-0.0013862i,0.00032845-0.0006535i,0.00019771-0.00018363i,-0.00046297-0.0010245i,4.5909e-05-0.001353i,0.00037723-0.00115i,1.2884e-05-0.00053536i,-8.1902e-05+2.1288e-05i,0.00012074+8.336e-06i,-0.00035008-0.00041667i,-0.00046453-0.00049339i,0.00024551-0.00051328i,9.5069e-05-0.0004271i
0.00035362-0.00041048i,0.0011803-0.00073719i,0.0010128-0.00065676i,0.00045221+0.00051075i,0.00037731+0.0014519i,0.00084363+0.00049359i,0.00095371-1.8977e-05i,0.00067693+0.00047797i,0.00080548+0.00043553i,0.00070618-0.00012475i,0.00030184+0.00021832i,1.6389e-05-0.00045207i,0.00046012-0.0017337i,0.00052336-0.0017471i,0.00063335-0.00058299i,0.00010781+0.00052114i,-0.0007852-2.4482e-05i,-0.00012974-0.00049343i,0.00052573-0.00025138i,0.00061761+4.63e-05i,0.00049111-9.5024e-05i,0.00060587+0.00039541i,6.0128e-05+0.0013784i
0.00013414-0.00086607i,-0.00094668-0.0017691i,-0.0024974-0.0025851i,-0.0029048-0.0022762i,-0.00169-0.0013987i,7.7514e-06-0.00093325i,0.0011044-0.00058359i,0.0013385-0.00039701i,0.0009264-0.00061394i,-0.0001491-0.00021094i,-0.00082651+0.00025155i,-0.00096537-0.00021014i,-0.00055395-0.0014801i,0.0003236-0.0013421i,0.0004383-0.00010999i,0.00017118+0.00011831i,-0.0003013+0.00037537i,-0.00095569+0.00083131i,-0.00062265+0.00079066i,0.00019081+0.0010972i,0.00011705+0.00089826i,-7.545e-05+0.00041306i,0.00017446+0.00010251i
-0.0011973+0.0011964i,-0.0016701-0.00013439i,-0.0013897-0.00052888i,-0.00050124+0.00026844i,0.00095222+0.0014396i,0.0024694+0.0012098i,0.0021137-0.00022725i,0.00042637-0.00058354i,-0.00037682-0.00015261i,0.00019895-0.00036454i,0.0010235-0.00067612i,0.00058383-0.00051095i,-0.00031654-0.00062573i,-0.00049345-0.00091006i,0.00013323-0.001067i,0.00051702-0.00065355i,2.2838e-05+0.00059667i,-0.00065136+0.00093863i,-0.00050629-0.00036374i,-0.00024008-0.00095527i,-0.00050892+0.0001705i,-6.4094e-05+0.0008774i,0.0010935+0.00095276i
