4.1105e-05+0.0027645i,0.00050231+0.0017848i,-0.00058547-8.5775e-05i,-0.0017061-0.0017347i,-0.0023158-0.0010515i,-0.0031462+0.00081772i,-0.0019401+0.002159i,0.00012557+0.0030573i,0.0011959+0.0022405i,0.0013099+0.00028149i,0.0007556+0.00015444i,2.7392e-06+0.00061086i,-0.00045667+0.00039243i,0.0001093+0.00030066i,9.9877e-05+0.0003328i,-0.00013735-4.3616e-05i,7.2737e-05-0.00032627i,9.3947e-05+0.00050372i,4.6209e-05+0.00056297i,0.00034878+5.831e-05i,9.4239e-05+0.00038952i,-0.00058344+0.00046767i,-0.00034584-0.00012287i
0.0006942+0.00083096i,-0.00015238+0.0015679i,-0.0005784+0.0016573i,-0.00066156+0.00068398i,-0.0017068-0.00080492i,-0.0014059-0.00070412i,0.00018874+0.00041133i,0.00064213+0.0010166i,0.0006648+0.0017016i,0.0010832+0.001335i,0.00078519+0.00041336i,0.0002698-4.9306e-05i,-9.8655e-05+9.2033e-05i,0.00010686+0.00058589i,0.00024483+0.00021262i,5.7163e-05-0.00015744i,-0.00010547-5.3156e-05i,-0.00078568+4.3554e-05i,-0.00069084-0.00038986i,7.711e-05-0.00065088i,-0.00036463-0.0005557i,4.7472e-05-0.00043607i,0.00041005+0.00052936i
0.0010279+0.00063456i,0.00086235+0.0019927i,0.0012388+0.0020633i,0.00077064+0.0010824i,-0.0012728-0.00036502i,-0.001904-0.00054605i,-0.00091379+0.00093834i,-0.00038179+0.0017305i,0.00042015+0.0010974i,0.0010086+0.00021925i,0.0006065-4.514e-05i,5.8383e-05+0.00020196i,2.5449e-05+0.00011653i,0.00019266-0.00031005i,-0.00025885-3.5266e-05i,-0.00070159+0.00061469i,-0.00047958+0.00064805i,0.00011886-7.4882e-05i,-7.4019e-05-0.00078128i,-0.00012146-0.00053783i,-0.00039761-0.00036828i,-0.00038011-0.0010726i,0.00067181-0.00071408i
8.5308e-05+0.00042358i,-0.00013209+0.00054863i,-0.00041955+4.4247e-05i,-0.0014792-0.0013588i,-0.0023214-0.0016155i,-0.0018636-0.00078858i,-0.00097579+0.00017883i,-0.00017208+0.0018459i,0.00035909+0.0020949i,0.0001924+0.0011419i,-0.00026083+0.0003445i,-0.00044991+1.4679e-05i,-0.00057846-0.00023016i,5.2579e-05-0.00052861i,7.5159e-05-0.00052804i,-0.00014507+0.00028213i,0.00017622+0.0009609i,0.0003896+0.00073725i,0.0002353+0.00021841i,0.00045322-0.00010949i,0.00074966-0.00016524i,0.00052831-0.00061275i,0.0005316-0.00065037i
-0.001439+0.0018267i,-0.00068137+0.0019729i,-0.00015513+0.0015837i,-0.00016999+0.00020487i,-0.00038256+2.1561e-05i,-0.00059569+0.00012646i,-0.00028121-2.8098e-05i,0.00029115+0.00027071i,0.00063854+0.00065885i,0.0011484+0.00063533i,0.0014229+0.00080228i,0.0012157+0.00057474i,0.00042418-6.6257e-06i,-0.0003906-0.00054184i,-0.00033007-0.00021909i,3.7608e-05+0.00018189i,-5.7073e-05-0.00023518i,5.3356e-05-0.00064408i,0.00031195-0.00026376i,-0.00061794-0.000158i,-0.0011933+9.7874e-05i,-0.00090515+9.9901e-05i,-8.8423e-05-0.00039401i
0.0011764+0.0006188i,-5.2537e-05+0.0010499i,-0.00029448+0.0012796i,-0.00048248-0.00015093i,-0.0017901-0.00052009i,-0.0025181+0.0010092i,-0.0014715+0.0013094i,-0.00021298+0.0015981i,0.00042609+0.0017512i,0.0009744+0.0011097i,0.00060702+0.00025926i,1.6351e-05+0.00014673i,-8.0014e-05+0.0011649i,-0.00060642+0.00084818i,-0.00031291-0.00054196i,4.9052e-05-0.00052314i,0.00021349-3.6063e-05i,0.00054917-0.00032124i,0.00037589-0.00086942i,-0.00044791-0.00093666i,-0.0010441-0.00067844i,-0.00054665-0.0002437i,-0.00019132+0.00067985i
-0.00092597+0.0009835i,0.00022453+0.0013752i,0.0014055+0.0013352i,0.001009+0.00024835i,6.4521e-05-0.0018083i,-0.00059207-0.0021911i,-0.00031779-0.00094622i,0.00023585+5.1106e-05i,0.00079814+0.00092175i,0.0013993+0.00089239i,0.0012681+5.744e-05i,0.00099313+0.00021614i,0.00069297+0.00031974i,0.00021742-0.00030606i,7.6845e-05-0.00070359i,0.00013235-0.00027756i,-0.00016792+0.00069377i,-0.0013126+0.00088403i,-0.0010247+0.00051363i,0.00036051+0.00058519i,0.00062435+0.000924i,0.00029696+0.00067879i,0.00066639+0.00061273i
0.00025638+0.00035901i,-0.0003288+0.0012484i,7.7137e-05+0.0010669i,0.0006724+0.00071365i,0.00010119+0.00013695i,-0.0008499+5.1624e-05i,-0.00081581+0.00096773i,1.8514e-05+0.0014233i,0.00030081+0.0020057i,0.0001196+0.001287i,0.00068564-2.5788e-05i,0.0011094-0.00058718i,-0.00038409-0.00032842i,-0.0010692+6.1992e-05i,-0.00030276+0.00021109i,-4.2824e-05+0.00044511i,0.00029236+0.00058509i,0.00022552+0.00064896i,0.00023605-0.00057904i,0.00040524-0.00061909i,-0.0001813-9.6518e-05i,-0.0011739+4.4104e-06i,-0.0012266+0.00023913i
-0.00043562+0.00072771i,0.00017741+0.0017424i,0.00080147+0.0016858i,0.0011008+4.4123e-05i,0.00092852-0.0012741i,0.00011063-0.0014102i,-0.0011541-0.00055391i,-0.0016304+0.00058875i,-0.00084093+0.00075248i,0.00054276+0.00043075i,0.00050114+0.00040942i,0.00034779+0.00022175i,0.00052398-0.0004794i,0.00012815-0.00068467i,0.00046734-0.0008224i,0.00099023-0.00077458i,0.00049399-0.000413i,-0.00047533-0.00047898i,0.00013323-0.00065249i,0.00056882-0.00022263i,-1.5075e-05-8.6163e-05i,-0.00086699-0.00034707i,-0.00077702-7.0346e-05i
-0.0011103+0.00076669i,-0.00070528+0.001622i,-0.0010192+0.0015112i,-0.00053559+0.00034269i,-0.000814-0.00029624i,-0.00097319+0.0006099i,0.00041625+0.0016847i,0.00085007+0.0016439i,0.00037559+0.0012407i,0.00027038+0.0013048i,-2.305e-05+0.00093543i,-0.00090048+0.00029562i,-0.00085295+0.0008273i,6.1646e-05+0.0012837i,0.00010856+0.00064019i,0.0001771+0.00084415i,0.00039575+0.0003382i,0.00048522-1.3325e-05i,0.0006158+0.00028719i,0.00089912-0.00032998i,0.00066735-0.00026806i,0.00029219+0.00033497i,0.00045214+0.00025043i
-0.001234+0.0014027i,-0.0012752+0.001363i,-0.00098335+0.0023886i,0.00014925+0.0014723i,0.00054798-0.00067124i,0.00055745-0.0019358i,-9.5425e-06-0.0014542i,-0.00040449-0.0003422i,0.00040489+0.0011091i,0.0012229+0.0014463i,0.00049655+0.00041325i,-0.00014632-3.4366e-05i,-0.00012006+2.1315e-05i,-0.00037178-0.00023641i,-0.00045957-0.00018831i,3.1385e-05-0.00046702i,0.00088569-0.00033699i,0.00087781+6.5399e-05i,-0.00034525+0.0001412i,-0.0011674+7.1355e-05i,-0.00059832+0.00022993i,0.00019815+0.00077835i,0.0001044+0.00047714i
-0.00040166+0.00045394i,0.00063096+0.0011912i,0.0018906+0.0019693i,0.0022824+0.00089966i,0.0010454-0.00075239i,-0.00014807-0.0010683i,0.00011287+0.00019684i,0.00088789+0.0017568i,0.00027666+0.0027103i,-0.00047837+0.0020503i,-0.00027148+0.00087946i,-0.00016187-0.00030018i,-0.00021628-0.00022977i,0.00014428+0.00037043i,6.2808e-05+0.00031968i,-0.00017786+0.00018466i,0.000649+4.2742e-05i,0.00036805-0.00022753i,-0.00069549-0.0002989i,-0.00079476-0.00014793i,-0.00043299+0.00059733i,-4.4618e-05+0.0012491i,-0.00029273+0.00087485i
0.00019242+0.00072323i,0.0010526+0.0015055i,0.0010409+0.0010038i,-0.00025984+0.0010704i,-0.0018541-4.0983e-05i,-0.001545-0.0003986i,-0.00040039+0.00091919i,3.7772e-05+0.00061835i,0.00092395+0.00067011i,0.0010257+0.00086476i,0.00018512+0.00050376i,-0.00035602+0.00028978i,0.00058575+0.00010546i,0.0012831+0.00062877i,0.0010674+0.00081726i,0.00093504+0.00022789i,0.00078486-0.00013079i,0.00058531-0.00011987i,4.257e-05+8.2217e-05i,-0.00019594+0.00013137i,4.8892e-05+6.234e-05i,0.00049838-0.00018675i,-0.00029082-0.00045868i
0.00048672-0.00073209i,0.00065179+0.00077787i,0.0013929+0.0016121i,0.0003984+0.0010644i,-0.0014797+0.00031172i,-0.0015214-2.0465e-05i,-2.5287e-05+0.00058086i,0.001071+0.001189i,0.0005755+0.0015004i,0.00083436+0.0009841i,0.0013768+0.00026274i,0.00037726-4.2477e-06i,0.00015496-0.00026993i,0.00070212-0.00044706i,0.00040035-0.00051861i,-2.5164e-05+1.8705e-05i,-8.6998e-05-4.8057e-05i,0.00018249+1.1575e-05i,0.00023723+0.0007529i,0.0002618+0.00062217i,0.0002093+0.00071957i,-0.00013727+0.00066144i,-0.00015695-0.00015958i
-0.00098381+6.0806e-05i,-0.00029616+0.00080224i,2.3589e-06+0.0012024i,0.00036686+0.00031137i,8.6909e-05-0.0009984i,-0.00027372-0.0012664i,3.4277e-05+0.00053114i,0.00048149+0.0017932i,0.00042593+0.001525i,0.00051289+0.00082188i,0.00062987+4.8399e-05i,0.00030181-0.00056942i,-0.00047048-0.00091076i,-0.00059331-0.00055627i,-0.00027988+0.00035755i,0.00021622+0.00094459i,0.0001837+0.00097485i,-0.0002826+0.00067407i,-0.00020992+8.3291e-05i,0.00022334-0.00019474i,0.00031582+0.00044084i,-0.00055785+0.00065065i,-0.00077014-0.00015401i
-0.00045854-0.001785i,-0.0005638-0.00045301i,-0.00083881+0.0012501i,-0.0012087+0.00068292i,-0.0016872-0.00026825i,-0.001982+0.00066359i,-0.0014091+0.0019681i,-0.00018272+0.0023722i,0.0005162+0.0014458i,0.000849+0.00073609i,0.00093281+0.00032811i,0.00074506+0.00070359i,-0.00012061+0.0013476i,-0.00097384+0.00084629i,-0.0008401-0.00012852i,-0.00015611-0.00058329i,0.00013827-0.00039316i,-0.00015292-0.00023651i,-0.00019862-0.00030657i,-0.00059025+0.00023339i,-0.0013306+0.00045309i,-0.0013071+3.5926e-05i,-0.00084441-0.00021735i
0.00059814+0.0015211i,0.00040196+0.0023953i,0.0011168+0.0021792i,0.0021301+0.00097614i,0.00042699-0.00069034i,-0.0013519-0.00057192i,-0.00093672+0.00081386i,-0.00045001+0.0015297i,-0.00013007+0.0013661i,0.00049629+0.0013091i,0.00083221+0.0010021i,0.0005937+0.00049416i,-7.5496e-05+0.00019856i,-0.00035063-6.2862e-05i,-4.0394e-05-0.00015428i,-0.00018498-0.00027203i,0.00020784+0.00020863i,0.00070627+0.00098956i,-1.3966e-05+0.00059152i,-0.00068325+0.00032525i,-0.00041876+0.00070408i,0.00042123+0.00091347i,0.00014148+0.00056309i
-0.00031973+2.3133e-06i,-0.00057972+0.0010813i,-0.001435+0.00131i,-0.0015235+0.0012879i,-0.0011287+0.0013157i,-0.0015583+0.0010906i,-0.0012959+0.00067963i,7.3733e-05+0.0010478i,0.00044591+0.0013856i,0.00018289+0.0007098i,0.00069019+0.00020397i,0.00032495-0.00029348i,-0.00012044+0.00015609i,0.00067255+0.00084202i,0.00046929+0.00072963i,0.00024919+0.00057937i,0.00042735+0.00038058i,0.0006887+0.00020122i,0.00018742+1.0575e-05i,-0.00039557-0.00041496i,4.8715e-05-0.00012274i,0.00066341+0.00015008i,0.00049418+0.00022859i
-0.00028539+0.00094615i,0.00025535+0.0026846i,-5.4833e-05+0.0023282i,-0.00065712+0.00031317i,-0.0007264-0.00090454i,-0.00034398-0.00049077i,0.00020867+0.00054898i,0.0007383+0.00090663i,0.00090965+0.0008874i,0.00044625+0.0001958i,-8.1712e-05-0.00074143i,1.2837e-05-0.0007974i,0.00012141-0.0010783i,0.00072183-0.0011084i,0.00045806-3.3555e-05i,-0.00084209+0.00096455i,-0.0011182+0.00026459i,0.00021719-0.001044i,0.00089993-0.001214i,0.00050866-7.2709e-05i,-0.00066564+0.00044063i,-0.0012469-7.0868e-05i,-0.00062114+3.1615e-05i
0.0014485+0.00085803i,0.00094848+0.0016331i,0.0010582+0.001157i,0.0013321-0.00059511i,0.00085983-0.0019775i,-0.0005137-0.0018432i,-0.00064893-0.00063357i,0.00045614+0.00071318i,0.00074091+0.0010572i,0.00061084+0.00053337i,0.0013053-4.5633e-05i,0.0013395+0.00034461i,-6.5857e-05+0.00051513i,-0.0013437+0.00027557i,-0.0015472+0.00010991i,-0.0010222+0.00020901i,-0.00036359-0.00011649i,-0.00046271+8.9973e-05i,-0.0010845+0.0002878i,-0.00081449+0.00028321i,-0.00018874+0.0008636i,6.8081e-05+0.0015366i,0.00058868+0.001498i
-0.0002055+0.00072557i,-0.00076906+0.0019002i,-0.00040222+0.0021958i,-0.0007678+0.0011076i,-0.0016918-0.00068394i,-0.0019391-0.00080501i,-0.0011104+0.00061433i,9.3053e-05+0.0016468i,0.00058681+0.0014817i,0.0011227+0.00093389i,0.00098755+0.0002643i,0.00078968-0.00016249i,0.00021314-0.00025931i,-0.00028638-0.00027867i,-4.2933e-05-4.6002e-05i,-0.00015333-0.00026528i,0.00040005-0.00047133i,0.00070623+0.00024608i,0.00011445+0.0010406i,0.00020318+0.00077683i,9.8456e-05-0.00020058i,-0.00021937+0.00012985i,-0.00034345+0.00069104i
2.257e-05+0.0018917i,-0.00015654+0.0013827i,0.00028563+0.0016048i,-0.00033241+0.00037095i,-0.0020218-0.0011228i,-0.0019857-0.0012616i,-0.00060718+0.00069064i,-0.00010125+0.0020943i,8.1383e-05+0.0014726i,0.00047248+0.00094426i,0.00064409+0.00055773i,0.00035238-4.4412e-07i,2.0466e-05+0.00025091i,-7.3071e-05+0.00084925i,-0.00046531+0.00094229i,-0.00055543+0.00047688i,-0.00021611+1.7459e-05i,0.00024008-0.00057779i,0.00069905-0.00025737i,0.00038895+0.00027875i,4.2312e-05+0.00024518i,-0.00024427-8.3161e-05i,5.513e-05-1.6376e-05i
0.001043-0.0003385i,0.0010434+0.0010929i,-0.00015494+0.0010765i,-0.00148+0.00073771i,-0.0025981-0.00018554i,-0.0031524-6.2485e-05i,-0.0016952+0.0015224i,0.00018707+0.0018479i,0.00031718+0.0013475i,0.00055792+0.0011338i,0.0010008+0.001048i,0.00010669+0.0011673i,-0.00024554+0.00028377i,-4.7635e-05+8.365e-06i,0.00035376+0.00019446i,0.00065455-0.00016988i,0.00044461-0.0003135i,-0.00040881-0.00035163i,-0.00050873-0.00050235i,0.00029865-1.7151e-05i,7.1777e-05+5.9373e-05i,-0.00041511-8.5793e-05i,-0.0005748+0.00029174i
0.0003557-0.00046131i,0.0012726+0.00042548i,0.00094972+0.00088264i,-0.00097846-9.4097e-05i,-0.0022003-0.0016714i,-0.0021654-0.0014197i,-0.0016293-0.00010106i,-0.00038902+0.00057841i,0.00071006+0.0011995i,0.00093769+0.0015872i,0.00057398+0.0012732i,6.3478e-05+0.00075111i,-0.00024365+3.3747e-05i,-0.0005472+0.00030864i,-0.00019121+0.00025334i,0.00091253+5.2017e-05i,0.00059808-0.00042899i,-0.00046204-0.0011428i,-0.00049283-0.00013054i,0.00015819+0.00050649i,0.0010316+0.00035047i,0.00067623+3.8151e-05i,-4.3194e-05+4.7235e-05i
0.001159+0.0017597i,0.00093868+0.0026029i,-0.00031656+0.0020087i,-0.00063091+0.0011566i,-0.00096423+0.00023738i,-0.0024358+0.00032265i,-0.0017181+0.0013607i,0.00046275+0.0015235i,0.0011491+0.00076017i,0.00074832+0.00022888i,0.00055262+0.00016174i,0.00031339+0.000455i,-0.0003391+0.00032586i,-0.00057995+0.00059414i,-0.00035955+0.001114i,-0.00038018+0.00073412i,-0.00045944+0.00023124i,-0.00016805+0.00016827i,-2.061e-05+0.00041359i,-0.00049537+1.6528e-05i,-0.0010044-0.00068471i,-0.00051726-0.00086633i,0.00050384-0.0002158i
7.0591e-05+0.00069446i,-0.0002697+0.00074805i,-0.00062551+0.0010756i,-0.0016102+0.00073757i,-0.001763-0.00052091i,-0.00042553-0.00081593i,0.00072381+0.00049411i,0.0012992+0.0017042i,0.0015761+0.0015799i,0.00083623+0.00029782i,-0.000185-0.00075147i,-0.00015184-0.0010821i,0.00016021-0.0010855i,0.00050291-0.00061884i,0.00081998-0.00016961i,0.0010533+0.00042964i,0.0006642+0.00025299i,0.00011165-0.00033198i,0.00019416-0.00019219i,0.00027465-5.2916e-05i,0.00019112-0.00083001i,0.00069056-0.00058326i,0.00071995-0.00038954i
0.00023735+0.00019632i,0.00060286+0.00049254i,-0.00015943+0.0013347i,-0.00058219+0.0014633i,-0.00083194+0.00078922i,-0.0011381+0.00072672i,-0.00073016+0.0018002i,-0.00031223+0.0014492i,-0.00012354-4.6721e-05i,0.00019633-0.00048107i,0.00014433-0.00078983i,-0.00026082-0.00077403i,-0.00078198-0.0001284i,0.00011417-0.00020632i,0.0013564-0.00051679i,0.00091896-6.2398e-05i,-0.0002522+0.00053124i,-0.00072633+0.00050999i,-0.00072425-0.0001328i,-9.1096e-05-0.00062677i,0.00068199-7.9956e-05i,0.00067214-0.000143i,0.00034247-0.0001693i
-0.00013699+0.00024254i,0.00052986+0.00037097i,0.00080199+0.001039i,3.2411e-05+0.0011026i,-0.0010397-0.0002302i,-0.00088485-0.00057308i,-6.5001e-05+0.00033082i,-1.7689e-05+0.00094236i,-0.00041581+0.0013673i,0.00017174+0.0013234i,0.0012235+0.00047928i,0.0010802+0.00038394i,0.00073308+0.00084304i,0.0003584+0.00089079i,0.00016569+0.00060439i,0.00017577+0.00058512i,0.00041236+0.00066749i,0.00010347+0.00053183i,-0.00035165+0.00057024i,-0.00020505+0.00096592i,-3.7552e-05+0.00077866i,0.00030195+6.4547e-05i,0.0006113-4.1466e-07i
0.00081688+0.00028331i,0.00075397+0.001665i,0.00038849+0.00052494i,-0.00011457-0.0013579i,-0.00064197-0.0015558i,-0.0012411-0.00055727i,-0.00077847+0.00049182i,0.00023401+0.0012673i,0.0007286+0.0012145i,0.00052065+0.00074213i,0.000193+0.00010092i,0.00051336-0.00012215i,0.0006248+0.00011544i,0.0011125+0.0002347i,0.00099604+0.00021368i,0.0010231-0.00013186i,0.00020191+0.00019038i,-0.0005794+0.00057432i,0.00028685+1.877e-05i,0.00025054-7.6014e-05i,-0.00019706+0.00037169i,-0.00050256-0.0002298i,-0.00076419-0.00084065i
-0.0027624+0.001343i,-0.002748+0.0016748i,-0.0026164+0.0029349i,-0.0012758+0.0035892i,4.4993e-05+0.0023657i,-7.4892e-06+0.00094383i,-0.00042434+0.00031269i,-0.001004+0.00091279i,-0.00074455+0.0017113i,0.00071571+0.0017737i,0.00099028+0.0012848i,0.00020362+0.00088754i,-3.1021e-05+0.00025286i,-0.00013703+0.00022517i,-8.6122e-05+0.00083442i,5.7076e-05+0.00087771i,0.00027657+0.0012363i,0.00037688+0.00074736i,1.9688e-05+0.00012209i,-0.00030937+0.00038159i,0.00020579+0.00039287i,0.00031997-0.0001486i,-0.00012359-0.00024431i
0.0010668-0.00053712i,0.0012434+0.0013768i,0.001176+0.00058026i,0.00030093-0.0008146i,-0.00070034-0.0018073i,-0.00088354-0.0010285i,-0.00071726+0.00051318i,0.00043033+0.0012411i,0.00072767+0.0013519i,0.00056632+0.001008i,0.00089948+0.00060245i,0.00031216+5.6947e-06i,0.00039569-0.00048789i,0.00091731+1.8492e-06i,0.00050452+9.5332e-06i,-0.00042277-4.6655e-05i,-0.00032067-0.00040287i,0.00037527-0.00064367i,-0.00013076+0.00047152i,-0.00025063+0.00086139i,-6.9801e-05+0.00013769i,-0.00030475+4.3296e-05i,-0.00023894+0.00037768i
0.0014192+0.00058836i,0.00099378+0.0016109i,0.00015142+0.0012281i,-0.00072125+0.00062422i,-0.0011408-8.6738e-05i,-0.0011773-0.00046987i,-0.00063425-4.6021e-05i,0.00060021+0.00029166i,0.0011901+0.00014813i,0.0012998-0.00027745i,0.0010556-0.00039988i,0.00051076-0.00018807i,-8.7605e-05+5.233e-05i,-0.00043476+0.00029099i,-0.00057091+0.0006563i,-0.00043615-0.00019838i,-0.00011875-0.00050486i,-0.00026284-0.00037819i,-0.00065713-0.00045678i,-0.00066195+0.00028159i,-0.00040075+0.00019299i,-0.0003791-4.9049e-05i,-0.00059083+0.00050692i
