-0.00050852-0.0002218i,-0.00083917+0.0006i,-0.0022942+0.00054868i,-0.0032111-0.00013441i,-0.0036376+0.00037964i,-0.0031065+0.0018153i,-0.00093438+0.0019424i,0.0010699+0.0010924i,0.0014738+0.00046232i,0.0011568-0.00066004i,0.00062947-0.0015096i,-0.00014684-0.001089i,-0.00091841+6.8282e-05i,-0.001607+0.00022122i,-0.00083738-0.00041269i,-0.00030903-0.00027168i,-0.00037585+0.00058977i,0.00047666+0.00021793i,0.00079028-0.00057769i,0.00030869-0.00049204i,-0.00020708-0.0010387i,-0.00050521-0.0010066i,-0.00095257-5.4945e-05i
-0.0007394-0.00058661i,3.8728e-05+0.00087192i,-0.00022405+0.00015212i,-0.0022402-2.9168e-05i,-0.0034689+0.0010609i,-0.0018651+0.0014745i,0.00032767+0.0010195i,0.00017168-0.00064408i,-0.00025635-0.0013281i,0.00057115-0.00041804i,0.00062233+0.00057974i,0.00033567+0.00067957i,0.0013266+6.7791e-05i,0.0014823-0.00092516i,0.00084474-0.0010173i,0.000462-0.00057632i,-0.00013109-0.00037464i,-0.0010297-0.0002918i,-0.0013097-0.00018582i,-0.0010494+1.8783e-05i,-0.00063348-0.00017713i,2.3501e-06-0.00046418i,-3.4319e-05-0.00015895i
0.0014397+0.0014597i,0.0029173+0.0013031i,0.0020738+0.0012197i,0.00056896+0.00079674i,-0.00023294+0.00049609i,0.00025088+0.00011237i,0.00070163-0.00041089i,0.00067959-0.0010584i,7.1222e-05-0.0012258i,0.00010252-0.00045034i,0.00056106-0.00049047i,0.00067171-0.00054522i,-0.00061504-0.00013802i,-0.0012569-6.6495e-05i,-0.00017442+0.0006813i,0.00028599+0.0018317i,0.00071462+0.0017561i,0.00067505+0.00084417i,0.0006188+0.00020256i,0.00070117+0.00048834i,0.00011975+0.00051074i,-0.00026331+0.00022074i,-0.00020758-0.0005641i
-0.0011219+0.00046869i,-0.00033783+0.0004016i,-4.519e-05-0.00084986i,-0.00084186-0.0014203i,-0.0024067-0.0011241i,-0.0022206-0.00037853i,-0.00072414-0.00055116i,-0.00049783-0.00085117i,-0.0011731-0.00044864i,-0.00053905-0.00041839i,0.00059484-0.00048497i,0.00036003-0.00019848i,5.086e-05-0.000253i,-0.00014948+1.0192e-05i,-0.00040529+0.0008086i,0.00052473+0.00071862i,0.0013983+0.00030152i,0.0013872+0.00086449i,0.00063367+0.0012678i,-0.00010719+0.0012534i,-0.00083585+0.0011458i,-0.00068925+0.00072857i,-0.0002614+0.00086585i
-0.0014261+0.00091952i,0.0001427+0.0021596i,-0.00030219+0.00235i,-0.0014577+0.0016577i,-0.0014407+0.00098362i,-0.00059791+0.00036928i,0.00029352-0.00034397i,0.00043002-0.00089939i,-9.9377e-05-0.00015791i,0.00017763+0.00068609i,0.0013697+0.0010076i,0.0010403+0.0013976i,0.00025199+0.0010191i,0.00054646+0.00073516i,0.00022973+0.00074239i,-0.00010428+0.00049954i,0.00025412+0.00040835i,3.9109e-05+0.00071214i,-0.00030437+4.0518e-05i,0.00029119-0.00057952i,0.00054496-0.0002023i,0.00027052+0.00056521i,0.00033755+8.3117e-05i
0.0019888+0.0011344i,0.00081035+1.3763e-05i,0.0007605-0.00078723i,0.00016192-3.3419e-07i,-0.0014655+0.00029455i,-0.0014709+2.6746e-05i,0.00034064-0.00067621i,0.0014186-0.00073721i,0.00048906-0.00046494i,-0.00020728-0.00034738i,6.337e-05-0.00012458i,-0.00022843+0.00036106i,-0.0003808+0.00063683i,-0.00039202+0.00065044i,-0.00027508+0.00055775i,0.00010781-7.7131e-05i,-0.00018479-0.00068172i,-0.00093762-0.00084233i,-0.0007652-0.00045611i,-0.00013354-9.6821e-05i,-0.00030792+0.00043901i,-0.00054518+0.0010712i,-0.00054194+0.0010981i
-0.00050848-0.00044565i,-0.0014144-9.2936e-06i,-0.0014701-0.00030316i,-0.001333+1.0487e-05i,-0.0018535+4.4386e-05i,-0.00089211+0.00025994i,0.00056585+0.00023165i,0.00058728-0.00031679i,-6.2926e-05+0.00014444i,-0.00048222+0.0011301i,-0.00076032+0.0014855i,-0.00039781+0.001023i,-2.4613e-05-5.728e-05i,0.00048833-0.0010263i,0.00069235-0.00093552i,0.0006277-0.0010004i,0.00073373-0.00082308i,0.00075843-0.00018227i,0.00083657-0.00045274i,0.00052778-0.00039378i,0.00030821-4.1286e-05i,-0.00021837-0.00041111i,-0.0004249-0.00021347i
-0.0019872+0.00052793i,-0.0015431+0.0014572i,-0.0015559+0.0014154i,-0.001022+0.0012585i,-0.0012408+0.0012824i,-0.00059177+0.00070835i,0.00081581-0.00047411i,0.00062969-0.0014205i,3.1547e-05-0.0011451i,0.00013576+0.00048596i,0.0001447+0.0010821i,0.00040659+0.00025753i,0.00040899-6.9012e-05i,-0.00052727+0.00013878i,-0.0014392+0.00027786i,-0.0011432+6.6756e-05i,-0.00015663+4.5779e-05i,-0.00032099+0.00032596i,-0.00052869+0.00015076i,-0.00080351+0.00030265i,-0.00099017-1.3422e-05i,-0.00061979-0.00060834i,-0.00045578-0.001002i
0.00055113+0.00070479i,0.0017627+0.00073077i,0.0017268-0.00020746i,6.9506e-05-0.00097702i,-0.00058743-0.00092646i,-0.00022736-0.0006119i,5.464e-05-0.0011977i,-0.00011732-0.0017596i,-0.00056597-0.0013497i,-0.00033984-0.00025037i,0.0001468+0.00012334i,0.00051726-2.246e-05i,0.00053727+9.7895e-05i,0.00022333-0.00010696i,-0.00042101-0.00031548i,-0.00035789-0.00039948i,0.00030969-0.00020193i,0.00048422+8.3151e-05i,-0.00088313+0.00027247i,-0.0013117+1.4283e-05i,-0.00020662-2.49e-06i,-6.3923e-06+0.00050047i,-0.00040832+0.00037363i
-0.00043554+0.0013516i,0.00031936+0.0011778i,-0.0012312+0.00132i,-0.0027311+0.0008593i,-0.0026413+0.0002221i,-0.0012859+9.7342e-06i,0.00030363-0.00042546i,0.00037997-0.0012425i,-0.00042014-0.0012403i,-0.00039212-0.00043832i,0.00034404+0.00016833i,0.00030598+4.4201e-05i,0.00042674+9.641e-05i,0.00068694+0.00020483i,-3.4832e-05+0.0003709i,-0.00043731+0.00067605i,-0.00045191+0.00038394i,6.1877e-05-0.00025996i,-0.00017636-0.00045689i,-0.00013052-0.00042454i,-7.8145e-05-0.00053705i,-0.00047072-0.00060617i,7.5888e-05-0.00013953i
9.5864e-06+0.0010386i,-0.00013389+0.0018539i,-0.00092047+0.000772i,-0.00143+0.00022243i,-0.0014888+0.00084973i,-0.0022145+0.001205i,-0.0018606+0.00021732i,-0.00063919-0.0006128i,-0.0010115-0.00089375i,-0.0011064-0.00070072i,0.00016394-0.00014092i,0.00077201-5.989e-05i,0.00042502-0.00052066i,0.00015591-0.00051228i,-0.00019546-0.00044211i,-0.00063068-0.00062287i,-0.00048333-0.0003315i,-0.00015362-4.7665e-05i,-0.00011119-0.00028505i,-8.166e-05-0.00017055i,-0.00030729-0.00023817i,-0.00023725-0.00050259i,0.00018232-0.00028526i
0.00027749-0.00019044i,0.00033658-0.0001264i,0.00015121-0.00016997i,-0.00086579+2.6307e-05i,-0.0016596+0.00060342i,-0.0012344+0.00092979i,0.00019759+0.00020789i,0.00061554-0.0008185i,-0.00010248-0.00075053i,-0.00070589+1.5021e-05i,-0.00013285+0.00029881i,0.00083379-0.00028105i,0.00079581-0.00041632i,0.00016137+0.00033385i,0.00033045+0.00059862i,0.00044704-0.00031619i,7.1633e-05-0.00049905i,-0.00020298+0.0005415i,-0.0003917+0.00034134i,-6.9173e-06-0.00034761i,-0.00038183-0.00094779i,-0.0010666-0.00069959i,-0.0011832+5.5703e-05i
0.00084709-0.00074764i,0.00092533-0.0010715i,0.00063948-0.00057824i,-0.00038421-0.00016756i,-0.0020253+0.00019026i,-0.0024591+0.001118i,-0.00070832+0.00075811i,0.00035793-0.00016035i,-0.00046672-0.00064534i,-0.00047191-0.00036698i,-0.00037961-5.7459e-05i,-0.00010401+0.00021122i,0.00042519+0.00051665i,-4.8384e-05+0.00041626i,-0.0003093+0.00010581i,-0.00020489-0.00028824i,-0.000292-0.00044938i,-0.00012334-0.0003052i,6.5899e-05+0.00016484i,0.0002558+0.00053182i,0.00021724+0.00022721i,4.6409e-05-0.00013189i,-0.00033551-0.00039817i
-0.0012208+0.0012293i,-0.00046134+0.00076543i,-0.00055441+0.0010559i,-0.0011515+0.0011012i,-0.0016092+0.00041747i,-0.0010627+0.00017386i,-0.00012587-0.00017145i,0.00066848-0.0010731i,6.6649e-05-0.0013445i,-0.00034366-0.00048939i,9.992e-05+0.00021147i,0.00024862+0.0004768i,0.00066822+0.00061959i,0.00086563-0.00036439i,0.0004411-0.00095667i,0.00026675-0.00043578i,0.00022275-3.713e-05i,0.00048584+0.00045654i,0.00017199+0.0009507i,-0.00081856+0.0011687i,-0.0010281+0.0010381i,-0.00097525+0.00043747i,-0.00084925+0.00046195i
0.001966+0.00088154i,0.0013757+0.00046228i,9.8766e-05-0.0011326i,-0.0012979-0.0011837i,-0.002474-0.00040117i,-0.0016389+0.00026982i,-0.00076416+6.0622e-05i,-0.00088383-0.0015394i,-0.00078877-0.0017935i,-0.00047726-0.00085682i,-0.00038215+0.00012475i,-0.00087948-7.5422e-06i,-0.00071477-0.00031744i,-6.4711e-05-0.00027394i,0.00031571+9.9015e-05i,0.00024423+0.0008485i,0.00014+0.00055846i,0.00072275+0.00050902i,0.00028078+0.00050846i,-0.0010099+5.5657e-05i,-0.0008463-0.00033557i,-5.8332e-05+7.3992e-05i,-0.00069885+3.2291e-05i
0.00074285+4.3104e-05i,0.00095976+0.00023627i,-0.00088327+0.00059285i,-0.0017218+0.00057655i,-0.0020956-1.5388e-05i,-0.0013541+0.00027635i,1.6679e-05-0.0007489i,6.7104e-05-0.0026348i,-0.00077867-0.0023838i,-0.00046971-0.00093446i,-0.00016486+0.00037382i,-9.4048e-05+0.00015096i,-0.00018767-0.00027228i,-0.00027883+0.00010271i,-0.00046853+0.00056178i,-0.00075322+0.00060566i,-0.00018471+1.9177e-05i,0.00062662+0.00036881i,0.0012595+0.00045533i,0.00058963-0.00060141i,-0.00050769-0.00030192i,-0.0005733+0.00057537i,-0.00045467+0.00048529i
-0.0016825+0.0019594i,-0.0015375+0.0025895i,-0.0016216+0.0018715i,-0.0015428+0.00040327i,-0.0020091-0.00030992i,-0.0013424-0.00024599i,-0.00021137-0.00028975i,-0.00070955-0.0011398i,-0.001186-0.00054512i,-0.00030116+0.0008142i,0.0005263+0.00057288i,-7.5364e-05-8.3414e-05i,-0.00051595+0.00020639i,-0.00031216+0.00053288i,-1.07e-05-0.00020097i,0.00029737-0.00052978i,0.00013704-0.000425i,0.00019417-0.00052905i,0.00036148-0.000828i,0.00061823-0.00029339i,0.00049292+0.00028352i,-0.0001683+7.0734e-05i,-0.00014008+0.00023447i
3.9317e-05-0.001023i,-0.00024327-0.00072151i,-0.00024346-0.0010139i,-0.00070616-0.00090194i,-0.0020716-6.4155e-05i,-0.0018268+0.0010975i,0.0001892+0.00088959i,0.00061584-0.00051065i,0.00011815-0.0012687i,-0.00039743-0.00058023i,-0.00013395+0.00086841i,-7.1981e-05+0.001608i,-0.00041445+0.00091535i,0.00014225-2.499e-07i,0.00036436+0.00050968i,0.00010653+0.0012995i,0.0010434+0.0010508i,0.0014218+0.0005306i,0.00011028+0.00012863i,-0.00071222+0.00033072i,-0.00096587+0.00021968i,-0.00088664-5.9248e-05i,0.00012521+0.00031597i
0.00032407+0.0019901i,0.00012136+0.00094713i,-0.0003662+0.00045152i,-0.001259-5.5257e-05i,-0.0011662-0.00028111i,-0.00060117+0.00062482i,0.00019643+0.00028479i,0.00057937-0.0010525i,-0.00013723-0.00031103i,-0.0010204+0.0009091i,-0.00066085+0.00061839i,0.00049353+0.00027571i,0.00081796+0.00057293i,0.00033059+0.00038861i,-0.00021832-7.1099e-05i,-0.00023126+0.00012101i,-0.00033022+0.00075893i,-0.00075707+0.00047752i,-0.00063784+0.0001357i,-2.8682e-05+9.4641e-05i,-0.00033892-9.4564e-05i,-0.00071214-0.0004026i,-0.00076073-0.00053384i
-0.0012912+0.0027318i,-2.8814e-05+0.0013704i,0.00030253+0.00067546i,-2.7439e-05+0.00057283i,-0.00039325+0.00047767i,0.00045549-0.00020147i,0.0014669-0.00079886i,0.00051212-0.0010545i,-0.00073553-0.00072252i,-0.00035058-0.00034248i,0.00084615+5.6722e-05i,0.0010539-0.000256i,0.00092261-0.00020165i,0.00074656-8.0212e-05i,0.00023843-0.00064603i,1.7063e-05-0.0003757i,0.00027501+0.00020498i,0.00021738+0.0002546i,-0.00065701+0.00049577i,-0.00060396+0.00046671i,-0.00020796+0.00037219i,0.00015094+0.0004183i,-0.00023337+0.00013153i
-0.00022056+0.0022191i,0.0013395+0.0024144i,0.0023371+0.0022632i,0.0017073+0.0014122i,0.00019451+0.00074138i,-0.00016687+0.00028967i,0.00021929-0.00092198i,-0.00043299-0.0022594i,-0.001632-0.0019062i,-0.0014852-0.00070892i,3.3812e-05+0.00014751i,0.00098534+0.00014416i,0.000685-0.00034611i,-4.2776e-06-0.00062587i,-6.3276e-07-0.00053133i,-0.00029135-0.0006373i,-0.00071821-0.00057711i,-0.00076683+0.00020106i,-0.00049027+0.00032875i,-0.00033231+0.00024898i,-2.1314e-05-0.00029392i,-0.00019044-0.00069758i,-0.00025064-0.00033248i
0.00070502+0.0016333i,0.0010113+0.0015175i,0.0012215+1.9501e-05i,0.00070729-0.0016845i,-0.00076574-0.0023562i,-0.0011879-0.0018415i,-0.00036275-0.00047796i,-0.00076823-0.00029492i,-0.0010995-0.00053578i,-0.00033353-2.8333e-05i,0.00065013-0.00067847i,0.0011176-0.0012482i,0.00025349-0.00055302i,-0.00032256+6.161e-05i,0.00018231+0.00083918i,0.00088068+0.0010574i,0.00057177+0.00066613i,0.00015971+0.0005921i,0.00030606+0.00093639i,2.9007e-05+0.0016199i,4.6527e-05+0.0013439i,0.00011034+0.00077396i,-0.00041557-0.00014313i
-0.00060786+0.0010892i,-0.0005707+0.001048i,0.00026735+4.1599e-05i,0.00017241-8.1569e-05i,-0.00099508+0.00065316i,-0.00056864+0.00077949i,0.00090151+0.00020406i,0.00075664-0.00058557i,-0.00042216-0.00064708i,-0.0011263+0.00042312i,-0.001076+0.00121i,-0.00062094+0.00068972i,0.00026355-0.00080272i,0.00057691-0.0010124i,6.3272e-05-0.00039072i,0.00041868-0.00059966i,0.00075489-0.00029013i,0.00030384+0.00044021i,0.00015087-0.00019283i,0.00016283-0.00067844i,-0.00053519-0.0002861i,-0.00082713+7.7919e-05i,-0.00052264-6.9743e-05i
0.00077397-0.00013796i,-0.00051049-0.00053621i,-0.00011103-0.0016288i,-0.00067857-0.0018901i,-0.0017334-0.001522i,-0.0017514-0.00069477i,0.0001495-0.00047362i,0.0011399-0.0014603i,0.000496-0.0010396i,0.00061372+0.00062845i,0.0010204+0.00077144i,0.0004968+0.00035233i,-0.00042152-0.00042285i,0.00043658-0.0006835i,0.00087607+0.00029342i,0.00020596+0.0012025i,0.00022478+0.00067192i,-0.00016553-0.00046862i,-0.00039958+7.3131e-05i,-0.00047117+0.00092323i,-8.0113e-05+0.00056212i,0.00011739+0.00025777i,-0.00016804+0.0001711i
-0.0013371+0.00074298i,-0.0012213+0.001427i,-0.0011803+0.0019141i,-0.0013177+0.00073779i,-0.0015367+0.0010541i,-0.00080877+0.0018899i,0.00037747+0.0009209i,0.00062738-0.0011069i,0.00034308-0.0015597i,0.00039916-0.00064142i,0.00066028-0.00057168i,0.00027897-0.0010356i,-1.8077e-05-0.0011455i,0.00020397-0.00051024i,-0.00039467+0.00046197i,-0.0010369+0.00024274i,-0.00063388+2.3787e-05i,-6.2036e-05-8.9099e-05i,0.00040805-0.00052575i,0.00034089-0.00042825i,0.00017696-0.00027706i,-5.5222e-05-3.3381e-05i,-0.00058369-0.00031565i
0.00035242+0.00015592i,0.00058582+0.0010935i,4.0894e-05+0.00041263i,-0.0010359-0.00094603i,-0.0016322-0.0010231i,-0.0011837-0.00010682i,8.7865e-05+0.00016144i,0.00064134-0.0012164i,0.00011285-0.0020117i,-0.00015135-0.00094849i,0.00054661+2.1385e-05i,0.00039698+0.0001001i,-0.00026331-8.4848e-05i,-0.0002786-0.00064441i,0.00038009-0.00053617i,0.0011305-0.0008314i,0.00087456-0.0014377i,-5.9619e-05-0.00091258i,-0.00038247-0.00076368i,-0.00013579-0.00044421i,0.0002136-1.3126e-05i,0.00060916-0.00018047i,4.3489e-05-0.00049375i
0.0016256-0.00072205i,0.0022503-0.00034672i,0.00096838-0.00081563i,-0.0007898-0.0016998i,-0.0022199-0.0012393i,-0.0011275-0.00038931i,0.00044853-0.00041955i,0.00088292-0.00079696i,0.0001787-0.00071792i,0.00013419-0.0012592i,0.00076905-0.0011781i,0.00054115-0.00020865i,-0.00020994-1.586e-06i,-0.0007165+0.00036519i,-0.00064248+0.00067216i,-0.00026828+0.0005768i,-0.00011872+0.00041769i,-0.00039367+0.0011328i,-0.00085241+0.00020712i,-0.00077121-0.00095996i,0.00038949-0.00077605i,0.00071003-0.0004284i,0.0004606-0.0007581i
0.00044589+0.0012207i,0.00081543+0.00032275i,0.001108-0.00050499i,8.147e-05-0.0018673i,-0.00079064-0.0022663i,-0.0013144-0.0012144i,-0.0013228-4.5065e-05i,-0.0005664+0.00011821i,-0.0014704-0.00040354i,-0.0018778-0.00044868i,-0.0007777+0.00024992i,-7.8994e-05+0.00087515i,0.00024209+0.00078014i,0.00017437+0.00042005i,-0.00055208+0.00033804i,-0.00039005+0.0003896i,0.00012786+0.00042705i,0.00032668+0.00014243i,0.00032096+4.186e-05i,-0.00011914-6.2421e-05i,-0.00068994-0.00018769i,-0.0012361-0.00036192i,-0.00086444-0.0002958i
0.00049817+0.0008817i,0.0012014+0.00034593i,0.00096338+0.00028952i,-0.00020883-0.00026706i,-0.00087838+9.2782e-05i,-0.0006459+0.00056382i,0.00040355-1.1184e-05i,0.00061332-0.00066585i,-0.00045382-0.00096894i,-0.0004674+0.00021187i,0.00024172+0.00075928i,0.00015903-0.0001499i,-0.00027425-0.00033577i,-0.00014357-0.0004466i,0.00026282-0.00091344i,0.00039251-0.0013849i,0.00050431-0.00042874i,-3.6122e-05+0.00086087i,-0.00072122+0.0010678i,-0.00045413+0.001151i,-2.8631e-06+7.1957e-05i,-0.00042796-0.0010242i,-0.00075794-0.00069961i
0.0013971+0.00066139i,0.0020787+0.00026402i,0.0016935-3.7009e-05i,0.00010795+0.00013618i,-0.001159-0.00040762i,-0.00083594-0.00057352i,-8.2716e-05-0.00088263i,-2.9356e-06-0.0016651i,-0.00063631-0.0011976i,-0.00071022-5.4119e-05i,7.1416e-05+0.00013567i,0.00078087-0.00018136i,0.00071204+0.00033455i,0.00016579+0.00069649i,-0.00013224+0.00049254i,7.9112e-05-0.00012531i,0.00047483-0.0007045i,0.0010437-0.00064125i,0.0011663-0.00049606i,0.00071365-0.00044619i,0.00073886-0.00038785i,0.00017246-1.2968e-06i,-0.00019904+0.0002281i
-0.0009567+0.00089709i,-0.001446+0.00088531i,-0.0010132+0.0010205i,-0.00085313+0.00028794i,-0.0014466+0.00025972i,-0.00070519+0.00037835i,0.00033436-0.00025354i,-1.5564e-05-0.00096793i,-0.00055746-0.0006684i,-0.00065231+0.00030814i,-5.2236e-06+0.00020731i,0.00019602-0.0004384i,2.9044e-05+9.5158e-06i,5.8698e-05+0.00061041i,5.1135e-05+0.00078521i,0.0002617+0.0004897i,0.00095628-0.00021793i,0.00084612-0.00018039i,0.00043759-0.00019443i,-0.00011445-0.00033556i,-0.0005909+0.00069555i,-0.00092667+0.0014286i,-0.0012355+0.00078729i
0.00084448+0.0015972i,0.0020055+0.0012626i,0.0025356+5.3589e-05i,0.0010505-0.00052655i,-0.00059138-0.00063637i,4.6586e-05-0.00095004i,0.00056722-0.0014356i,-0.00030213-0.0011919i,-0.0012529-0.0007559i,-0.0013621-0.00023194i,1.5575e-05+0.00091353i,0.00020219+0.0016742i,-0.00056746+0.0013044i,-0.0011806+0.00049431i,-0.0011865+0.00044326i,-0.00088986+0.0010457i,-0.00025211+0.00011861i,-0.00010234-0.00073956i,0.00011502-0.0002134i,0.00038145-0.00016222i,0.00010628-3.1254e-05i,0.00036525+0.00032058i,0.0010405+0.00041684i
