-0.0011811+0.0012529i,0.00014599+0.0011257i,-0.0020676-1.2788e-06i,-0.0027914-0.00082733i,-0.0021364-0.00078676i,-0.0015207+0.00030927i,-0.0010024+0.0013009i,-5.8735e-05+0.0013968i,0.00060945+0.0015143i,-4.8881e-05+0.0012129i,-0.00082556+0.00095977i,-0.00078217+0.00083629i,-0.0007033+0.00019187i,-0.00080923-0.00033561i,-0.00094083+0.00041335i,-0.0012905+0.00091619i,-0.00073552+7.1673e-05i,-0.00026784-0.000504i,1.5398e-05-0.00024127i,-6.311e-05-0.00013156i,-3.6675e-05-0.00059583i,0.00021965-0.00045463i,0.00045864-0.000143i
0.0008014+0.0022235i,0.00075318+0.0019025i,0.0012228+0.0019686i,0.00070653+0.0015858i,0.00049843+0.0008097i,0.00028578+0.00077595i,-0.000515-0.00044166i,-0.00020238-0.0015164i,-0.00020371-0.00072495i,-5.6189e-05+0.0002724i,0.00020163+0.0013311i,3.1559e-05+0.0013479i,5.9689e-05+0.00085237i,0.00029878+0.00060493i,0.00043606+0.00027237i,0.0007063+2.575e-05i,0.0004434-0.00016095i,0.00026651-3.9257e-05i,0.00054805-0.0001602i,0.00017202-4.8879e-05i,-0.00030718-0.00045483i,1.9171e-05-3.3887e-06i,-0.0001112+0.001243i
0.00218+0.001689i,0.0020239+0.0010868i,0.0019929+0.0014796i,0.0015433+0.0015276i,0.00078427+0.00041208i,0.00078893-0.00019165i,0.00051785-0.00023073i,0.00023886+0.00011996i,0.00032217+4.2011e-05i,0.00043421-0.00023973i,5.5236e-05+0.0003225i,-0.00091299+0.0008136i,-0.0012883+0.00067132i,-0.0010635+0.00029872i,-0.0012339-0.00039159i,-0.0010933-0.00062889i,-0.0010585+0.00028752i,-0.0005312+0.00093104i,0.00036525-6.7664e-05i,0.00054315-0.00098034i,-0.0001048-3.7001e-05i,-5.5811e-05+0.00098294i,1.1885e-05+0.0011924i
0.00017396-0.001027i,0.00020041-0.00066574i,0.00047965-0.00049841i,0.00054485-0.00086923i,-0.00080924-0.00085645i,-0.0007991-0.00037184i,-0.00035101-0.00051778i,-0.0011904-0.0010517i,-0.0021044-0.0006482i,-0.0020456+0.00058845i,-0.0010042+0.0013845i,-0.00070265+0.0013587i,-0.001066+0.0010201i,-0.00055241+0.00058643i,-0.00013181-9.7362e-05i,0.00054537-0.00069018i,2.1298e-05+2.0901e-05i,-0.00085574+0.00087141i,-0.00041633+0.0003616i,-2.2273e-06+0.00021814i,-0.00056703+0.00065236i,-0.00078772+2.5557e-05i,-0.00029957-0.00017789i
0.00032403-0.0012255i,0.0014194-0.00011465i,0.00084682+0.00050698i,-0.00052487+0.00026877i,-0.0014311+0.00016952i,-0.0015654+0.00065364i,-0.0007847+0.0006745i,-0.00047326-0.00045394i,-0.00055461-0.00046298i,-0.00051524+0.0011225i,-0.0012815+0.001609i,-0.0022338+0.0012581i,-0.0019143+0.0007491i,-0.00074458-0.00015032i,0.00064132-0.00056186i,0.0009008-0.00055756i,0.00014532-0.00027493i,-1.8558e-05-0.00040123i,9.6468e-05-0.0014084i,0.00018202-0.0013893i,0.00033162-0.00049011i,-0.00027118-6.6424e-05i,-0.00077851-0.00060399i
0.00090119+0.00065476i,0.0006142+0.0011571i,0.00073482+0.0016501i,0.0012102+0.000787i,0.0009984+3.5525e-05i,0.00029358-0.00035496i,-0.00023371-0.0011269i,-0.00042033-0.0014957i,-0.00061492-0.0014209i,-0.00092983-0.00091216i,-0.0010126-0.00022359i,-0.00072782+0.00043115i,-0.00058348+0.0006563i,9.0128e-05+0.00042102i,0.00032248-0.00017613i,-0.00068864-0.00044953i,-0.0014471-0.00076612i,-0.0011312-0.00090198i,-0.00043357-0.00014987i,0.00038842+0.00061321i,0.00027078+0.001137i,-0.00031713+0.001249i,-0.00069868+0.0010402i
-0.00012831+0.0021159i,0.0017556+0.0012715i,0.0030241+0.00069405i,0.0021308-6.5037e-06i,0.0014434-0.00053882i,0.0015577-0.00038327i,0.00092349-0.00026795i,-0.00069879-0.00027294i,-0.0015774-0.00011688i,-0.00097805-0.00012094i,-0.0009262+0.00034648i,-0.0012921+0.00080138i,-0.0010309+0.00094572i,-0.00025469+0.00062286i,0.00015344+0.00022675i,0.00035078-3.2394e-05i,0.00070964-6.6417e-05i,0.00050997-8.6705e-05i,-0.00042838-0.00051544i,-0.00078007-0.00068078i,-0.00033765-0.00027889i,-0.00032684+0.00011131i,0.00042315-1.4936e-05i
0.00079549+0.0011834i,0.0013564+0.0012344i,0.001108+0.00065215i,-0.00018691+0.00051036i,-0.0012981+0.00052006i,-0.0013465+0.00092864i,-0.00069911+0.00086402i,-0.00040512+0.00023759i,-0.00027325+0.00024788i,0.00013523+0.0011472i,-0.00030806+0.0016689i,-0.0012922+0.0011903i,-0.0015689+0.00064243i,-0.0013693+0.00038138i,-0.00077092-0.00039946i,-0.00067216-0.0013147i,-0.00053073-0.00084734i,-0.00013119-0.00059198i,-0.0001302-0.0010122i,-0.00016181-0.0010633i,-0.00043066-0.00032506i,-0.00040479-0.00045652i,0.00051717-0.00071262i
0.00072055+0.00041302i,5.2046e-05+0.00018059i,0.00062898-0.00011515i,0.00051281+8.8978e-05i,-0.00030772+0.00029583i,-0.00020036+3.2757e-05i,0.0002073+1.913e-05i,-0.00052686-0.00022496i,-0.00081224-0.00097794i,-0.00092701-0.00097001i,-0.0013512-0.0004253i,-0.00092909+0.00042727i,-0.00028795+0.0002185i,-0.00021221-0.00042749i,-0.00010797-0.00079426i,0.00041932-0.00068443i,0.00025267-0.00011246i,-2.028e-05-0.00026991i,0.00040165-0.0010797i,-0.00015623-0.001153i,-0.00030848-0.00074225i,0.00021277-0.00023843i,-0.00023982+0.00032446i
-0.0010472-0.000443i,-0.0016484-0.0010016i,-0.0013072-0.00089064i,7.6565e-05-0.00067249i,0.00074728+0.00077944i,0.00034498+0.0009366i,-0.00034419+0.00050733i,-0.00071395+0.00033984i,-0.00095396+0.00014557i,-0.00096659+0.00039794i,-0.00054891+0.00067722i,-1.5487e-05+0.00071553i,-7.9929e-05+0.00043849i,-0.00033601+0.00092846i,-0.0006343+0.00095598i,-0.00032124-0.00090816i,-0.00056512-0.0018371i,-0.00074045-0.0012127i,0.00030472+8.8145e-05i,0.0010874+0.00056353i,0.00033066-0.00025172i,-0.00076906-0.00059428i,-0.00084571-6.553e-05i
-0.0010559+0.00074151i,-0.00043726+0.00046006i,-0.00051002+0.00079996i,-0.00073911+0.00085898i,-0.00052487+0.00053268i,-0.00073906+6.8269e-05i,-0.0012466-0.0010653i,-0.0016501-0.00097139i,-0.0016903+4.54e-05i,-0.00077664+0.0004277i,-0.00044188+0.00034187i,-0.0006484+0.00049655i,-0.00061631+0.0014249i,-0.00038664+0.0013572i,0.00047421+0.00040879i,0.00041621-1.4191e-06i,-0.00047796+0.00012288i,-0.00073738-0.00011263i,-0.00061809-0.00037807i,-0.00088133-0.00024732i,-0.00090546+5.1603e-05i,-0.00090073+0.00010548i,-0.00017894-1.2041e-05i
-0.0007906-0.00033717i,-0.00064351+0.00046317i,-0.0014102+0.00063302i,-0.00040147+0.001002i,0.00061455+0.0015733i,0.00013066+0.0023709i,0.00030774+0.0018397i,-0.00061428-0.00033799i,-0.0016924-0.0014713i,-0.0013721-0.00074254i,-0.00065016+0.00043541i,-0.00058657+0.00089145i,-0.00046541+0.00051583i,-0.00030466+0.00059432i,-0.00053171+0.00032323i,-0.00043367+0.00030758i,-0.00032133+0.00050212i,-8.2615e-05+1.4467e-05i,0.00083132-0.00041471i,-1.1858e-05-0.00025276i,-0.00070568-0.00015501i,-7.8269e-06-0.00032535i,0.00010341-0.0006358i
-0.00055431-0.00096208i,-0.00038304-0.00069355i,0.00021913-0.00061916i,-0.00038763-0.00093923i,-0.0015868-0.00029784i,-0.0014424+0.00046361i,-0.00068674+0.00042095i,-0.0010866+0.00036219i,-0.0014949+0.00087478i,-0.0012861+0.0006361i,-0.0005706+0.0003017i,-0.00010491+0.00073927i,-0.00014218+0.00082035i,-0.00026108+9.8173e-05i,0.00011307-0.00057271i,0.00060509-0.00020015i,-0.00014532+0.00024397i,2.584e-06+0.00067069i,0.00030139+0.00062896i,-0.0003936+0.00045618i,-0.00041814+0.00034453i,-0.0002474+0.00012269i,0.00037187-0.00014026i
0.00065344-0.000107i,0.00024108-0.00042661i,0.00061643-0.00029075i,0.0010756+0.00026671i,0.00032133-0.00015841i,4.3962e-05-0.0011672i,-0.00024673-0.0014553i,-0.00096878-0.0011526i,-0.0013152-0.00026147i,-0.00058192+0.00035351i,-0.00021478-0.00020264i,-0.00082999+0.00038718i,-0.0012823+0.0011947i,-0.00053588+0.00053544i,-0.00022084-0.0005715i,-0.00052617-0.00052159i,-0.00022904+0.00026439i,0.00046949+0.00084807i,0.001172+0.0015505i,0.0011177+0.0018042i,0.00010586+0.0010263i,-0.00060771+0.0004037i,-0.00070968-0.00046318i
-6.5771e-05-0.00027361i,-0.00044169+0.0010513i,-0.0015398+0.0018608i,-0.0011477+0.0021914i,-0.0007791+0.0017132i,-3.9426e-05+0.00076657i,0.00029841+0.00037285i,-0.00033108+2.8649e-05i,-0.00033858-0.00062432i,-0.0011172-0.00050662i,-0.0017678+7.7239e-05i,-0.0017508+0.00060759i,-0.0010278+0.00069701i,-0.00039828+0.00098699i,-0.00060774+0.0011681i,-0.00054381+0.0005994i,-0.00040439+1.613e-05i,-0.0001003-9.3119e-05i,0.00013531+0.00039662i,-0.00010004+0.00032109i,-9.1109e-05+0.00021843i,0.00016623+0.00063255i,0.00045008-4.4958e-06i
0.00072015+0.0018824i,0.00061074+0.0017193i,0.00080487+0.0016766i,-0.00014942+0.0004682i,-0.00044214-0.00036037i,8.9806e-05-0.00076237i,9.8741e-05-0.00098267i,2.6434e-05-0.0010081i,-0.00014449+6.5717e-05i,-0.00025617+0.00053577i,-0.00072259-0.00021918i,-0.0010491+0.0003996i,-0.00073131+0.0010259i,-0.00084853+0.0011556i,-0.00091444+0.0010403i,-0.00035207+8.5933e-05i,4.8847e-06-9.1099e-05i,-0.00031163+2.9151e-05i,-0.00034956+0.0001289i,-8.5159e-05-7.882e-05i,-0.00019675-0.00058142i,-5.1384e-05-0.00066909i,0.00044721-0.00031593i
-0.0013962+0.0013808i,-0.001939+0.0013047i,-0.0021832+0.0017284i,-0.0008212+0.0017695i,0.00017477+0.0011282i,0.00083273+0.0013088i,0.0010415+0.00049184i,0.0005647-0.0001594i,-0.00037269+3.6943e-05i,-0.0010289+0.00052343i,-0.0019107+0.0013549i,-0.0024271+0.0014798i,-0.0016733+0.0016233i,-5.8067e-05+0.0014686i,0.0012542+0.00044255i,0.0012825+4.5599e-05i,0.0011112-0.00010449i,0.0010951-0.00018564i,0.00058449-7.2087e-05i,-0.00031612+0.00023959i,-0.00050157-0.00013335i,-0.00028432+0.00016218i,-0.00071712+0.0007669i
0.00078618+0.00025535i,0.0011786+3.9516e-05i,0.00070163+9.9138e-05i,0.00033394+0.00092836i,-0.00058438+0.0020013i,-0.0020979+0.0017823i,-0.0014169+0.0010014i,-3.8471e-05+0.00011036i,-0.00030518+2.8724e-05i,-0.00085815+0.0005257i,-0.0011616+0.00023082i,-0.0017985-0.00011437i,-0.0014561+2.1186e-06i,-0.00088095-2.2345e-05i,-0.00059098+0.00019355i,-0.00052327+0.00023191i,-0.0008344-0.00083913i,-0.00034541-0.00125i,0.00024095-0.00034555i,0.00065756-0.00013291i,0.00033797-0.00022774i,-2.5801e-05-5.7263e-05i,-0.00019909-0.00010341i
0.00064851-0.0017887i,0.00016177-0.0030275i,-0.001752-0.0032044i,-0.0020918-0.00196i,-0.00062991-0.0004049i,0.00071545+0.00045554i,0.00088018-0.00010179i,0.00078377-0.00058415i,0.00039502-0.00048409i,-0.00035115+0.00052385i,-0.00099418+0.00090385i,-0.0011064+0.00049028i,-0.00066219+0.001143i,2.8016e-05+0.0010926i,0.00071075+0.00041148i,0.00053353+0.00034217i,0.00017402+0.00020193i,-6.126e-05+0.0001368i,0.00029815-0.00017359i,0.00052828-0.00034362i,0.00015647-0.00056251i,-3.4696e-05-1.2171e-06i,0.00027829+0.0012974i
-0.00062279-0.002829i,0.00042857-0.0022845i,-0.00034411-0.002291i,-0.0012595-0.0014669i,-0.001615-0.00095175i,-0.0014152-0.00019188i,-0.00053491+3.6269e-05i,0.00019418-0.00052507i,0.00028872+0.00059456i,-0.00025056+0.0011578i,-0.0013418+0.00038057i,-0.0019097+0.00035979i,-0.0013675+0.0008683i,-0.00097698+0.0014894i,-0.00019501+0.0011103i,-4.5674e-07+0.00033586i,-0.00069584-0.0004837i,-0.00019671-0.00066016i,0.00035453-0.00025677i,-0.00011473-4.258e-05i,0.00045536+0.00033671i,0.00041718-0.0002313i,-3.4125e-05-0.00044528i
0.00027431-3.2361e-05i,-0.00080686+0.00023145i,-0.001132-2.3042e-05i,-0.00019719+0.0009145i,-3.7497e-05+0.0017748i,9.4147e-05+0.00084399i,-0.00014312-5.2544e-05i,-0.00091787-0.00039212i,-0.001553-0.00083192i,-0.0015547-0.00041698i,-0.0014334+8.0918e-05i,-0.001216-0.00010496i,-0.00098216+0.00029657i,-0.00097071+0.00072675i,-0.00023871+0.00091153i,0.00042652+0.00063869i,6.4581e-05-8.5313e-05i,-0.00049483-0.0002544i,0.00025764-3.3266e-05i,0.00054321-0.00060164i,-0.00030868-0.0011939i,-0.00042601-0.0009979i,-0.00016146-0.00059832i
-0.00038498+5.2107e-05i,-0.00049575-0.0001218i,-0.00084194+0.00013547i,-0.00071963+0.00047685i,0.00048963-0.00023979i,0.00069128-0.00011226i,0.00060855-0.0002858i,-0.00028898-0.00097357i,-0.0012517-0.00094585i,-0.00097537-0.00025305i,-0.00082512+0.00059014i,-0.0010486+0.00077557i,-0.0010234+0.00078752i,-0.00072079+0.00078854i,-9.7852e-06+0.00042849i,0.0003682+1.5979e-05i,0.00084385-0.0001855i,0.00096755-0.00036879i,9.6794e-05-0.00067316i,-0.00061831-0.00052653i,-0.0010897+0.00020958i,-0.0013769+0.00041529i,-0.00062845-2.1873e-05i
0.0014186-0.00051897i,0.0026717-0.00093765i,0.0025447+3.1332e-05i,0.0014926+0.0012103i,0.00058107+0.0017582i,0.00062966+0.0011062i,0.00041071+0.00056082i,-0.00049098-0.0003095i,-0.0014075-0.00032894i,-0.0011592+0.00085695i,-0.0010743+0.00083001i,-0.0012696+0.00041342i,-0.00061189+0.00045647i,0.00055635+0.00030353i,0.00084048-2.7248e-05i,0.00061029-0.00031521i,0.0008879-0.000843i,0.0010124-0.0008359i,0.00058706-0.00058101i,0.00046804-0.00076704i,0.00023657-0.00036914i,-9.3651e-05+6.9915e-05i,9.2729e-05-0.00041373i
-0.00054531+0.00087982i,-0.00090958+0.0014891i,-0.0012931+0.0017462i,-0.0017157+0.001102i,-0.0016199+0.00016606i,-0.00074967-0.00048731i,0.00033413-0.0010084i,0.00036907-0.00018041i,-0.00046178+0.00074946i,-0.0012087+0.0010977i,-0.0011249+0.00053964i,-0.0006146+2.4333e-05i,-0.00053679+0.00022407i,-0.00024156+0.00058924i,0.00024221+0.00048317i,0.00082408+0.0001846i,0.0007298+0.00016026i,0.00028718-3.3209e-05i,0.00048906-0.0006465i,0.00095195-0.00043589i,0.0011297+0.00032981i,0.00053037+0.00039432i,0.00052203+0.0003559i
0.00015629-0.0017804i,0.00018448-0.0021523i,-0.00061581-0.0018323i,-0.00049228-0.0008832i,-0.00062493+2.2191e-05i,-0.0015015+0.0006194i,-0.00034073+0.00054382i,0.00013126-9.0203e-06i,-0.00062083-0.00033582i,-0.0012401+0.00032099i,-0.001504+0.00092401i,-0.0014965+0.00071638i,-0.0014825+0.00093125i,-0.00095179+0.00093428i,-0.00066557+0.00044861i,-0.00015927+0.00032292i,0.00070084+0.00046238i,0.00037863+0.00017023i,-0.00012547-0.00057183i,-0.00028547-0.0012162i,-0.00042831-0.0013384i,-0.00043542-0.00090853i,-3.4374e-05-0.00076158i
0.00079925-0.00175i,0.00035332-0.0016423i,0.00030043-0.00045307i,0.00046924+0.0006269i,0.00063148+8.2952e-05i,0.00078662+1.5012e-05i,0.00032023+0.00049049i,-0.000211-0.00049418i,-0.0011302-0.0013112i,-0.0012081-0.00029418i,-0.0011921+0.0011217i,-0.0014841+0.0012107i,-0.0011591+0.00031807i,-0.0012227-0.000193i,-0.00054871+0.00025002i,-1.3306e-05+0.0006235i,-0.00038805+6.4771e-05i,-0.00025595-0.00090695i,0.00013317-0.0011644i,0.00060183-0.00060549i,0.00099015-0.00056044i,0.0005408-0.00059977i,0.00026751+0.00013594i
-0.00056659-0.00012705i,-6.2719e-05+0.00019964i,0.00062665+0.00099892i,-1.4832e-05+0.00086525i,-0.00081235+2.003e-05i,-0.00019131-0.00012865i,0.00055965-0.0010081i,4.4249e-05-0.0017195i,-0.0010951-0.0017018i,-0.0018822-0.00067224i,-0.0019371-9.1737e-05i,-0.0014118-9.7668e-05i,-0.001355+0.00073521i,-0.0015119+0.0013702i,-0.00074443+0.00095849i,-0.00016479+0.00050816i,0.00051123-0.00014816i,0.0009244-0.00068151i,0.00066099-0.00067193i,0.00012282-0.00094142i,3.644e-05-0.00060328i,0.00011489+0.00014252i,0.00014232+0.00028262i
9.0556e-05+0.0006963i,-0.00079255+0.00043612i,-0.00098082+0.00013556i,-0.00038539+0.00061473i,0.00034816+0.00073834i,0.00028795+0.00044674i,-0.00012569-0.00014926i,-7.2996e-05-0.00041335i,0.00062059+9.7739e-05i,0.00023176+6.7222e-05i,-0.00094933+0.000255i,-0.0017898+0.0012061i,-0.0016216+0.0018607i,-0.0014108+0.0012619i,-0.0011318+0.00024863i,-0.00027534+0.00028618i,-0.00032779+0.00077501i,-0.0010932+0.00083805i,-0.0013166+0.00021095i,-0.0010761-0.00059688i,-0.00097905-0.0010404i,-0.0007172-0.0011513i,-0.00034215-0.00071799i
-0.0012436+0.00034132i,-0.0016142-0.00025084i,-0.00013682-0.00024423i,-0.0003481-0.00017337i,-0.00075706-0.00019705i,-0.00019924-0.0004511i,-0.00022532-0.00075034i,-0.00042927-0.00059927i,-0.00089471-0.00041364i,-0.001386-0.00043372i,-0.0013088-0.00035926i,-0.0011348-4.1845e-05i,-0.0011426-0.00017501i,-0.0014044-5.5109e-05i,-0.00082676+0.00040003i,7.8606e-05+0.0008176i,0.00012322+0.00041635i,-0.00017313-0.00010248i,0.00015297-0.00032149i,0.00017751-0.00025511i,0.00018661-0.00041917i,-0.00042952-0.00027295i,-0.00091665+8.6139e-05i
0.00023835-0.000726i,0.00039067-0.00025665i,0.00069777-0.0010746i,0.00091105-0.00075138i,0.00086519-6.1063e-05i,0.00074345+0.00042206i,0.00058623+0.0005068i,0.00033357-0.00074615i,-2.8293e-05-0.0014622i,-0.0011033-0.00060743i,-0.0012907+0.0002799i,-0.00066409+0.00068499i,-0.0007543+0.0010225i,-0.0012344+0.00062629i,-0.0007301-0.00019275i,0.00034177-0.00040139i,-0.00022088-0.00034098i,-0.00080874-0.00018725i,3.8775e-05-0.00044071i,0.00051504-0.00052912i,-4.1792e-05+9.9153e-05i,-0.00053043+0.00013113i,0.00016144-0.00012857i
-0.00095243+0.00056696i,-0.0017416+0.00078248i,-0.001563+0.00051583i,-0.0020292+0.00072308i,-0.002224+0.00052989i,-0.0015375-7.8197e-05i,-0.00060831+0.00012582i,-0.0012813+0.0002941i,-0.0017231-0.00047841i,-0.00086152-0.00017563i,-0.00059604+0.00047486i,-0.0006882+0.00053561i,-0.00085637+0.0009562i,-0.00028326+0.00084052i,-0.00016714+0.00045023i,3.7025e-05-0.00017277i,0.00060034-0.00051912i,7.9433e-06+9.9718e-05i,-0.00026233+7.4783e-05i,9.2002e-05-0.00021248i,-0.00031903+5.5474e-06i,-0.00083389+0.00027564i,-0.00014334-0.00053628i
-0.0015094+0.0014795i,-0.0023577+0.0017651i,-0.0015769+0.0017851i,0.00055877+0.0013936i,0.0018127+0.00041424i,0.0014812-0.00034836i,0.00071958-0.0010015i,-0.00060456-0.00097621i,-0.0011707-7.4104e-05i,-0.00079375+0.00071193i,-0.00035851+0.00043279i,-0.00096142+0.00052619i,-0.001489+0.0011247i,-0.00064795+0.0015078i,-0.0003158+0.0010984i,-0.00048799-0.0003108i,-1.491e-05-0.0011086i,-0.0001114-0.00026489i,-6.3613e-05+0.00056814i,8.2855e-06+0.00061443i,-1.2054e-05+0.00060524i,4.001e-05+0.00010201i,-0.00050702-0.00050329i
