-0.00022362-0.00063981i,0.00017849-0.0006494i,-0.0013739-0.0018545i,-0.0011354-0.0020112i,-0.00070257-0.00025775i,-0.00029851+0.0017384i,-0.00020877+0.0029447i,-0.00081944+0.0032i,-5.2231e-05+0.002175i,0.00051942+0.0012484i,0.00038699+0.00026465i,3.1767e-05-0.00028406i,-0.00047009+0.00010572i,-0.00038683-0.00054005i,8.0131e-05-0.0014404i,-0.00018268-0.00095317i,-0.000554-0.00014881i,-0.00033185-0.00035201i,6.0516e-05-4.8881e-05i,0.00061446+7.6926e-05i,0.00093246-3.7818e-05i,0.00059507+0.00011416i,0.00023781-0.00066216i
-0.0011641-0.00054876i,-0.0011554+2.3663e-05i,-0.001206-0.00055609i,-0.0010729-0.00031724i,-0.0010208+0.0002325i,-0.00064917-0.00025827i,-5.3025e-05-0.00076635i,-4.0688e-05-0.0006934i,-0.00054209-0.00017581i,-0.00063531-2.0937e-05i,0.00021555-0.00058895i,1.3893e-05-0.00034768i,-0.00014357-0.00018381i,0.00013784-0.00055813i,0.00052981-0.00030378i,0.00049884-0.00082038i,-0.00057994-0.0011973i,-0.0011902-0.00069368i,-0.0007806-0.00026673i,0.0002443-0.00036392i,0.00074966-8.3625e-05i,9.8985e-05+0.00020807i,0.00019179+5.0067e-05i
-0.0004598+0.00067797i,0.00038753+0.00053616i,0.0021394+0.001488i,0.0024722+7.2038e-05i,0.0013399-0.0010907i,-0.00023563-0.00031919i,-0.00065354+0.00013281i,-0.00023254+4.5366e-05i,-4.2517e-05-0.0004977i,0.00070081-0.00045681i,0.0010625+0.00038894i,0.00075283+0.00068008i,0.00032351+0.00059979i,-0.00035755+0.00035465i,-0.00066842+0.00022744i,-4.5953e-06+0.00048788i,-0.00014751-0.00023969i,-0.00048476-0.0013877i,-0.00065643-0.0011718i,-0.00052293-0.00041486i,0.00045611+0.00025892i,0.00032707+0.00084646i,-0.00027376+0.00041359i
0.0002456+5.1374e-05i,0.0003033-0.00033472i,0.00047546-0.00067967i,-0.00011895-0.00097565i,0.00019787-0.0011788i,0.00076546-0.00086263i,0.00027459-0.00017472i,-0.00044365+0.00033181i,-0.00022027+0.00043148i,-0.00041546+0.00055805i,-0.00054862+0.00077848i,-0.00015744+0.00011226i,-0.00022641-0.00020031i,-0.00034331+0.00057523i,-0.00018516+0.001131i,-0.00069174+0.00092205i,-0.0010513+0.00067404i,-0.0012893+0.00012308i,-0.00099558-0.00037212i,0.00010537-8.2453e-05i,-4.2172e-05+9.5541e-05i,-0.00029139-0.0005298i,-0.00069223-0.0013732i
-0.0014153-0.00098092i,-0.0013619-9.5518e-05i,-0.0015285+0.0010156i,-0.00077244+0.0011005i,0.00019228+0.00013825i,-9.1443e-05-0.00014976i,-0.00079617+0.00014535i,-0.00079576-0.00041911i,-0.00054075-0.00036589i,-0.00052256+0.00049497i,-0.00098317+0.00076329i,-0.0013207-0.00032064i,-0.00067904-0.00052348i,0.00040856-0.00018369i,0.00072804-7.6317e-05i,0.00020448-0.00013744i,2.0486e-05-0.00015872i,-0.00050896-4.679e-05i,-0.0010748-0.00010046i,-0.0006835-0.00028771i,-0.00038279+0.00010697i,-0.00010844+9.561e-05i,1.7677e-05-0.00021496i
0.00036978-0.00075489i,0.00080081-0.00063413i,-9.2241e-05-0.0011779i,-0.00040417-0.0012723i,-0.00023495-0.0012667i,-0.00026982-0.00023724i,0.0001522+0.00044728i,0.00024988-0.00018217i,-8.1746e-05-0.00037989i,3.2591e-05+1.4438e-05i,-0.00019193+0.00077157i,-0.00099011+0.0010046i,-0.0012613+0.00071565i,-0.00066466+0.00073963i,-0.00012217+0.00036732i,-0.00048527+4.8297e-05i,-0.00072831+0.00021025i,-0.00033141-0.00011095i,0.00068037-3.091e-06i,0.0012279+7.7179e-05i,0.00048772+3.1575e-05i,3.594e-05-0.00012445i,-2.789e-05-0.0008018i
0.0014754+2.186e-05i,0.0017147-0.0009762i,0.0018203-0.0020699i,0.0013106-0.0026105i,8.5841e-05-0.0021901i,-0.00031126-0.0012651i,-4.0378e-07-0.00083064i,-0.00037242-0.0010913i,-0.00044417-7.5105e-05i,-1.7869e-05+0.00030032i,0.00024941-2.6764e-05i,0.00053938+0.00031731i,0.00060913+0.00075255i,0.0002095+0.00075355i,-3.7646e-06+0.00078569i,-6.6089e-05+0.00014047i,0.00014066-0.0003912i,-6.5716e-05-0.00063283i,-0.0006312-0.00065996i,-0.001097-0.00082672i,-0.00053106-0.00068091i,7.3431e-05-0.00051565i,-0.00012812-0.00052454i
0.0019673-0.00036662i,0.0025716+0.00052855i,0.0032538+0.00046043i,0.0022835-0.0002846i,0.00075378-0.0011599i,-0.00052513-0.0013232i,-0.0010082-0.0010929i,-0.00015944-0.0003051i,0.00044024-0.0004817i,7.7263e-05-0.0016331i,-0.00052443-0.0008207i,-0.00077346+0.0011706i,-0.00057784+0.0016148i,-0.00077285+0.00068298i,-0.0012572-0.00041439i,-0.00040173-0.00043192i,0.00070677-0.00017551i,-0.00033853+0.00044904i,-0.0015519+0.00088764i,-0.0011043+0.00035731i,0.000122+0.00041303i,0.00071262+0.00090498i,0.00061523+0.00091056i
0.0013383-0.0013588i,0.00062464-0.0014171i,0.00061864-0.0014196i,0.00081361-0.0019281i,0.00024647-0.002355i,8.8049e-05-0.001205i,0.00018867-0.00012534i,2.9562e-05-0.00066553i,-0.00028313-0.001019i,0.00016225+0.0001789i,-3.1004e-05+0.00091372i,-0.00054257+0.00081412i,-0.00082429+0.00055403i,-0.0005819+0.00016492i,2.4969e-05+0.00013014i,-0.00032267+0.00022138i,-0.00049304-0.0005593i,-9.641e-05-0.0002374i,-3.9453e-05+0.00062061i,0.00079996-0.00043726i,0.00083057-0.00095074i,0.00021455-0.00031685i,0.00048009-9.8567e-06i
0.00045224-0.00037323i,0.0011587+4.7755e-05i,0.0011164-0.0011099i,0.00089907-0.0023222i,0.00020312-0.0024165i,-1.1263e-05-0.00092473i,-0.00027836+1.7956e-05i,-0.00086274-0.00023064i,-0.00038143-0.00047507i,-8.5147e-05-3.5899e-05i,-0.00068875+0.00058647i,-0.0013702+0.00080061i,-0.0018794+0.00065931i,-0.00098445+0.00036597i,0.00032036-0.00023254i,0.0004965-0.00090141i,0.0004167-0.0010313i,0.00027191-0.00059251i,1.0597e-05-0.00031899i,-1.5941e-05-0.00070504i,-6.0107e-05-0.00089207i,-0.00035143-0.00074136i,-0.00081295-0.00016259i
0.00022352-0.00069063i,0.00016687-0.00091626i,0.00079504-0.0011587i,0.00071091-0.0017709i,6.2963e-05-0.0019154i,-0.00070272-0.00136i,-0.0012009-0.00023012i,-0.0010425+0.00041207i,-0.00092205+0.00073457i,-0.00080501+0.00053267i,-0.001054-7.422e-05i,-0.001246+0.00025932i,-0.0011834+0.00096135i,-0.0010684+0.00090555i,-0.0011645+0.0010324i,-0.00051178+0.00070225i,-0.00018076+0.00010879i,-0.00020299-0.00035109i,0.00039527-0.00047489i,0.00024638-0.00027026i,-0.000606-0.00083931i,-0.00057282+0.00015581i,-0.00029078+0.0014923i
-0.0006095+0.0013737i,-0.0002795+1.2496e-05i,0.00044884-0.00018856i,0.0008886+0.00025995i,0.00050017+0.00050549i,-6.3464e-05-0.00022875i,-0.00057397-0.00090088i,-0.0004396-0.00038159i,-0.00037273+0.00015696i,-0.00042565+0.00035477i,0.00029249+0.00025378i,0.00020136+0.00035398i,-0.00042062+0.00030333i,0.00031715-0.00010801i,0.00058714+0.00014796i,0.00032706+0.00026059i,7.8581e-05+2.2269e-05i,8.6833e-05-0.00061597i,0.00011979-0.00085625i,-0.00064721-0.00062563i,-0.0014133-0.00057304i,-0.0011906-0.00040016i,-0.00049706-6.4977e-05i
0.00054746-0.0033316i,-0.00032509-0.0023735i,-0.0012034-0.0020791i,-0.001339-0.0011566i,-0.0014345-0.00057488i,-0.0015938-0.00075092i,-0.0011698-0.0011619i,-0.00084123-0.00091494i,-0.00036229-0.0009866i,-1.6435e-05+7.0559e-05i,0.00017648+0.0015104i,-1.9735e-05+0.0017676i,-0.00046751+0.001655i,-6.8638e-05+0.00078915i,0.0008486-0.0001356i,0.0011349-0.00020196i,0.00073164+3.016e-05i,-0.0003974+0.00019627i,-0.00087786+0.00010151i,-0.00069936-0.00048485i,-0.00069646-0.0008619i,-0.00011908-0.00053549i,0.00054176+0.00032851i
0.00035551-0.0016888i,-0.00019674-0.0019344i,-0.0014004-0.0020841i,-0.0012436-0.0018106i,-0.001503-0.00097122i,-0.0019977-0.0006729i,-0.0013281-0.00012155i,-0.00084173+0.00050169i,-0.00087366-0.00017311i,-0.00028963-0.00049111i,-0.00024293+0.00013407i,-0.00055334+0.00082886i,-0.00049945+0.00074074i,-0.00028885+0.00069967i,-0.00026607+0.00055232i,-0.00059288+0.00026516i,-0.00078191+0.00072563i,-0.00078914+0.0005215i,-0.00074442-8.742e-05i,-0.00060735-5.4933e-05i,-0.00024485+0.00014978i,0.00029838+0.00028809i,0.00032893-3.9443e-05i
0.00060534-0.0001763i,0.0011748-0.00086066i,0.002211-0.0011348i,0.0015813-0.0013674i,0.00039821-0.0020212i,0.00063621-0.0013417i,0.00097002-0.00053651i,0.00037089-0.00073843i,-0.0006808-0.00030996i,-0.00061868-0.00016187i,-0.00018877-2.4561e-05i,-0.00021484-0.00018115i,2.8064e-05+8.2245e-05i,-0.00013118+0.00039754i,4.4443e-05-0.00017599i,6.9245e-05-0.00041347i,-0.00080441-0.00056097i,-0.0016103-0.00024626i,-0.00098741-0.00076971i,-0.00019544-0.00090795i,-0.00021761+0.00017016i,-2.5552e-05+0.00033443i,0.00020635+0.00013423i
-0.00064319+0.00055253i,-0.00077858+0.0004914i,-0.0011134+0.00014218i,-0.0010645+0.00027845i,-0.00072913+0.0010955i,-0.00059986+0.00060296i,-0.00067567-9.9645e-05i,-0.00050788+6.4494e-05i,-0.00050861+7.6818e-05i,-0.00033345+0.00067097i,-0.00025263+0.00033553i,0.00029517-0.00044954i,0.00053823+0.00023413i,0.0006736+0.00062415i,-7.989e-06+0.00061603i,-0.00084825+0.0011505i,-0.00069997+0.00089735i,-0.00077944+0.00047124i,-0.00015024+0.00057624i,0.00034188+0.00067207i,0.00020268+0.00041139i,0.00022099-0.00023512i,0.0010871-0.00012723i
0.00062918-0.00088091i,0.00025557-0.0010735i,-0.00072788-0.001081i,-0.00055697-0.00076062i,0.00018325-0.00061873i,-2.6733e-05-0.00023252i,-0.00045096-0.00060226i,-0.00067327-0.00075344i,-0.000577-9.9057e-06i,-0.00013845+0.0004625i,-0.00024638+0.00056656i,-0.00099512+0.00062383i,-0.00044462+0.00086795i,0.00083827+0.00050428i,0.0012692-0.00036376i,0.00072456-0.00042062i,-0.00011328-0.00045953i,-0.00030102-0.00027669i,0.00014665+0.0001799i,-8.5318e-05+0.00033537i,-0.00067056-0.00030284i,-0.00092251-0.00021379i,-0.0009464+0.00056428i
3.906e-05-0.00060323i,0.00017805-0.0010578i,0.00029422-0.0018159i,-0.0008725-0.0013756i,-0.0013174-0.00076123i,-0.00029347-0.00031253i,0.00042393-0.00031519i,0.00055218-0.0011902i,-0.00028307-0.0012634i,-0.00046103-0.00033613i,8.0325e-05+0.00032949i,-0.00012683+0.00052473i,-0.00072156-0.00041005i,-0.00099051-0.0010528i,-0.00093748-0.00044161i,-0.00040941+0.00036014i,-0.00048195-5.5417e-05i,-0.00068555-0.00047809i,-0.00045895-0.00027064i,-0.00013844+1.5108e-05i,-0.00042024-0.0005i,-0.00088963-0.0009963i,-5.6668e-05+0.00023044i
-0.0017162-0.0025857i,-0.0016559-0.0025285i,-0.0012464-0.0016511i,-0.0010234-0.00085364i,-0.001463-0.00027494i,-0.00078859-4.5356e-05i,1.6412e-05+0.00015097i,-0.00064782+0.00074177i,-0.00053637+0.00081363i,0.0005016+0.0012865i,0.00036351+0.0015788i,-0.00023567+0.0011643i,-0.00011231+0.00077618i,0.0001259+0.00030107i,0.00019905-0.00060613i,0.00051683-0.000546i,0.00017899+0.00018633i,-0.00071398-6.1762e-05i,-0.00047406-0.00021275i,2.4166e-05-0.00029649i,0.00037778+9.8445e-05i,0.00038643+0.00010139i,0.00012013+0.00054917i
-0.0003086-0.00018468i,-0.00063525+0.0001104i,-0.0011646-0.00012908i,-0.00090814-0.00092829i,-0.00018986-0.00076602i,-0.00021407+6.4635e-05i,-0.0011284-6.4845e-05i,-0.0013843-0.00052999i,-0.0011136-0.00057107i,-0.00080689+0.00016794i,-0.00063665+0.00031154i,-0.00043835-0.0012149i,-0.00052157-0.0022588i,-0.00022071-0.0015566i,0.00019823-0.00048162i,-4.9484e-05-0.0005439i,-0.00058565-0.00015752i,-0.00083923+0.00037752i,-0.00051228+0.00012759i,-0.00017739-0.00017596i,-0.0004924-0.00036552i,-0.00066445-0.0007765i,-0.00034145-0.00010438i
0.0017447+0.00015802i,0.0001648-0.00061958i,0.00016593-0.00052322i,0.00048898-0.00064642i,0.00012451-0.0015808i,0.00041681-0.00079838i,0.00039385+0.00082978i,-0.00065689+0.00078514i,-0.0013595+7.9529e-05i,-0.0011305-0.00012429i,-0.00062741+6.6013e-05i,0.00012543+0.00090167i,0.00026152+0.0012429i,1.5277e-05+0.00053862i,6.956e-05-3.3637e-05i,-0.0003348-0.00015871i,-0.00021002-0.0010152i,-8.3655e-05-0.0016442i,-0.00065489-0.0010876i,-0.00058891-0.00099115i,-0.00028639-0.0010067i,0.0004685-0.00095727i,0.00093732-0.00092422i
-0.00089693-0.001082i,-0.00035635-0.0013406i,1.9592e-05-0.0017212i,-0.00072036-0.001695i,-0.00084901-0.0013447i,-0.00036766-0.0014074i,-0.00016135-0.0016232i,-0.00064388-0.0010248i,-0.00086006-7.4123e-05i,-0.00035457+0.00013819i,-8.3075e-05+0.00022142i,-5.58e-05+0.00045073i,-1.5955e-05+0.00036329i,-8.6221e-05-0.00027281i,-0.00058307-0.00045289i,-0.00072066-0.00069283i,-0.00099747-0.00053678i,-0.001896-7.9456e-05i,-0.002066+0.0004115i,-0.00041326+0.00055143i,0.00047492+0.00060489i,0.00030337+0.00069139i,0.00062173+0.00049915i
-0.0010094-0.00099098i,-8.3988e-05-0.001024i,0.00015997-0.0022132i,-0.00058454-0.0023446i,-0.0013453-0.00181i,-0.001235-0.00080507i,-0.00041053-0.00064233i,0.00021972-0.00067855i,0.00017735-0.00026071i,-0.00015237+0.00021761i,-0.00036447+0.00043086i,-0.00018895+0.00018455i,-0.0004403-4.9073e-05i,-0.0002407-0.00030543i,0.00039393-0.00035216i,0.00067498-0.00023455i,0.00034222-0.00032028i,-0.00034605-0.00050882i,-0.00089442-0.00011903i,-0.0006344+0.00045379i,9.4559e-06-5.0589e-05i,-8.4642e-05-0.00073167i,0.00039021-0.00020284i
-0.00016813+0.0007965i,0.00060465+0.00061188i,0.00027867-5.3063e-06i,-0.00079867-0.0010261i,-0.0011928-0.0014002i,-0.0015883-0.00085694i,-0.0018861-0.00085302i,-0.0017731-0.0012061i,-0.00099935-0.0001559i,8.5599e-05+0.00062032i,0.00080798+1.8605e-05i,0.00015849-0.00049931i,-0.00069037-0.00083718i,-0.00047764-0.0010684i,0.00034342-0.0014376i,1.3829e-05-0.00090759i,-0.00059789-0.00043342i,-0.00039887-0.00040754i,-3.9226e-05+0.00019684i,9.633e-05+0.00014735i,0.0002458-0.00026155i,0.00030803+8.0946e-05i,5.4103e-05+0.000353i
0.00024574-2.9867e-05i,0.00097979-0.0010342i,0.0015572-0.00049313i,0.00023685-0.00015175i,-0.00079124-0.0009438i,-0.00088984-0.0017626i,-0.00015034-0.0011746i,-2.0791e-05+0.00018767i,-0.0012016+0.00097694i,-0.0015133+0.0009628i,-0.00053678+0.00026854i,-0.00038113-0.00059646i,-0.00035014-0.00083832i,-0.00016646-0.00022669i,-0.00046172-8.2322e-05i,-0.00014954+1.2547e-05i,0.00012719+0.00043328i,-2.5545e-05+0.00073399i,-0.00078365-1.2519e-05i,-0.00092365-0.00035552i,-0.0004332-0.00015869i,-0.00057546-0.00055165i,-0.00081553-0.00098858i
-0.0010517-0.0017188i,-0.00044815-0.0014045i,-0.0012709-0.0015708i,-0.00074076-0.0016979i,-0.00012479-0.0010962i,-0.00024336-0.00035329i,0.00048354-0.00060481i,0.00019971-0.0010301i,-0.00088117-0.00069935i,-0.0007643-1.4003e-05i,0.00012694+0.00063676i,0.00012798+0.0006924i,-3.2658e-05+5.2932e-05i,-8.1074e-05+0.00016579i,-0.00015705+2.2217e-05i,0.00068415-0.00037584i,0.0011804+3.8976e-05i,0.0003299+0.00034526i,-0.00057607-0.00010406i,-4.9582e-05-0.0007553i,0.00063453-0.00025643i,0.00023612+0.00039146i,-0.0001247+0.00020064i
-0.00097788+0.00054402i,-0.0010777+0.0006692i,0.00012699-0.00017377i,0.0001813-0.0011995i,-0.00093752-0.0011651i,-0.0016192-0.0011032i,-0.0010587-0.0010098i,-0.00057056-0.00035376i,-0.00082303-0.00067491i,-0.00047916-0.00053383i,0.00024108+0.00022535i,0.00048157-0.00036633i,0.00059422-0.00090596i,0.00064742-0.0002569i,0.0002785+0.00071547i,-0.00033448+0.00067614i,-0.0009796+0.00043801i,-0.00043349+0.00041162i,0.0004097-0.00017971i,0.00019695-0.00059237i,-0.00026761-0.00030315i,-3.9149e-05-0.00038697i,8.1419e-05-0.00084623i
0.0013071-0.00070118i,0.00067891-0.00050066i,-0.00010881-0.00073502i,-0.00060231-0.0011269i,-0.00091495-0.0007615i,-0.0011985-0.00077306i,-0.0016921-0.0011898i,-0.001452-0.0010326i,-0.0012745-0.00095038i,-0.00066343-0.00058647i,-0.00030704-0.00028914i,-0.00018563-2.3192e-05i,0.00024045+4.0024e-05i,0.00039781+0.00064062i,0.000212+0.0013875i,5.9672e-05+0.0009652i,9.7684e-05+0.00019614i,8.8737e-05-0.00012033i,-0.00013026-0.00027693i,0.00041964-9.5956e-05i,0.0010405+0.00011155i,0.00024755-9.5356e-05i,-0.00056285-0.00031233i
0.00016818-0.00095846i,0.00035856-0.00061547i,0.00064736-0.0011603i,0.00016408-0.0013353i,7.3635e-05-0.00081512i,0.0005546+3.9468e-05i,0.00044629+0.00048901i,-0.00080445+3.7413e-05i,-0.0014335-0.0007577i,-0.00078975-0.0003791i,-0.00030945+0.00031676i,-0.00018746+0.00095354i,-0.00051736+0.00071347i,-0.0012603-0.00024404i,-0.0014545-0.00051084i,-0.0011891-0.00010213i,-0.0011308-0.00050203i,-0.0010719-0.0012439i,-0.0010371-0.0008923i,-0.0008307-0.00049561i,-0.00099537-0.00030928i,-0.00060707+0.00036777i,0.00046154+4.5266e-05i
0.0013587-0.0018058i,0.00082282-0.0019699i,-0.00027189-0.0017375i,-0.0010708-0.0018634i,-0.0013889-0.0020234i,-0.0014377-0.0015605i,-0.0011653-0.00082491i,-0.00055266-0.00010136i,-0.0003077+5.529e-05i,-0.00070324+0.00042273i,-0.00058193+7.4347e-05i,0.00014359-0.0005919i,0.00030281+0.00066984i,0.00029894+0.0014486i,0.00017184-0.00020828i,-0.00026715-0.00076143i,-0.00042276-0.00035989i,-0.00075294-0.00069545i,-0.00070155-0.0010821i,-0.00026001-0.00096587i,-0.00037235-0.00094033i,-0.00021642-0.00074531i,0.00064194-0.00017205i
-0.0013421-0.00039211i,-0.0010785-0.00098223i,-0.00028768-0.00055971i,0.00015843-9.6436e-05i,0.00016746-0.00027809i,-0.00061013-0.0004777i,-0.0015257-0.0003027i,-0.0016864-0.00011557i,-0.00069422+6.2429e-05i,0.0001967+6.6799e-05i,0.00053775+0.00019479i,0.00068894+9.0804e-05i,0.00024794-0.00040346i,-0.00073236-0.00042301i,-0.0011932+0.00047622i,-0.00035107+0.00088714i,0.00057163+0.00025982i,0.00021846+0.00037788i,-7.9551e-05+0.00097296i,0.00060319+0.00054553i,0.00095681-0.00046038i,0.00015008-0.00041879i,-0.00069024+0.00026078i
-0.0033267+0.00024508i,-0.0024507+0.0008614i,-0.00070791+0.0011264i,-0.0011426+0.00091455i,-0.00095695-0.00033338i,0.00059784-0.00093693i,0.00024306-0.00066677i,-0.00068813-0.00019324i,-0.00092527-3.5587e-06i,-0.0007683-0.00030096i,-0.00063816-0.00038415i,-0.00085966+0.00019796i,-0.00084281+0.00042994i,-0.00060776-0.00028414i,0.00013558-0.00012635i,0.00092202+0.00016096i,0.00055436-0.00044666i,-0.00049732-0.0006104i,-2.6231e-05-0.00060192i,0.00076281-0.00010509i,0.00087004+0.00011691i,0.00091359+0.00012702i,0.00024401+0.00031773i
