-0.0012235-5.2613e-05i,-0.0012908-0.00060289i,-0.0016748-0.0015201i,-0.0013632-0.0009905i,-0.0011613+0.00011752i,-0.0014198+0.0010205i,-0.0012502+0.0017052i,-0.00076659+0.0014014i,-0.00029576+0.00056158i,0.00033759+5.8095e-06i,0.0014164-0.00029456i,0.0015767-0.00057047i,0.00055857-0.00012091i,-0.00034255+0.00027794i,-0.00069261+5.2858e-05i,-0.0013569+0.00037231i,-0.001733+0.00059161i,-0.0015366+0.00012944i,-0.000566+3.1502e-05i,-0.00011989-0.00018053i,-5.3868e-05-0.00092238i,0.00016345-0.001643i,-9.2497e-05-0.0011576i
-0.0017824+0.00036291i,-0.0010531+0.00042605i,-0.00075212+0.00094777i,0.00013166+0.00084384i,0.0010435+0.0010975i,0.0012679+0.0012041i,0.00024647+0.00046492i,-0.00050464-0.00011885i,-0.00069215+4.5502e-07i,-0.00051812+0.00041001i,0.000223+0.0011981i,0.00065272+0.000923i,0.00054037-8.7339e-06i,0.00020931+0.00028381i,-0.00033153+0.00059763i,-0.00015543-2.3704e-05i,-0.00040355-5.2029e-05i,-0.00075632+0.0001548i,0.00032786+0.0004466i,0.00092639+0.00043833i,0.00056258-9.6912e-05i,0.00010679-0.00027472i,-0.00017263-0.00030445i
0.00037711-0.00067196i,0.0010172-0.0010144i,0.0022187-0.00093928i,0.0021176-0.002014i,0.0018076-0.0025049i,0.00083382-0.0008155i,-0.00011138-0.00011494i,-0.0006498-0.00023411i,-0.0010831+0.00015642i,-0.00035302-4.4456e-05i,0.0003809-0.00021743i,0.0010578-0.00021995i,0.0012753+2.7847e-05i,0.00070218+0.00027494i,0.00084295+0.00051745i,0.00042322+0.00051559i,-0.00010534+0.00016186i,0.00042584-0.00023967i,0.0011067-0.00014389i,0.0012851-0.00017298i,0.0007662-0.00054828i,-0.00031023-0.00045054i,-0.00056987-0.00060453i
-0.00037002+0.00092356i,-0.0001282+0.00052778i,-4.1223e-05-0.00022792i,0.00081988-0.00044351i,0.0011909-0.00063126i,0.00097628-0.00076629i,0.00024305-0.00060939i,-2.5086e-06-0.00083354i,-0.00015931-0.00011027i,-0.00027946+0.00011614i,0.00024876-0.00042143i,0.00030643-0.00022494i,-8.5302e-05+5.4962e-05i,0.00013657-9.8615e-05i,0.00040435-0.00012789i,-0.00024347-0.00015746i,-0.00066675+0.0002227i,-4.2665e-05+0.00062173i,-0.00055225+0.0010151i,-0.001142+0.0013671i,0.00024916+0.00089648i,0.0013002+0.0001384i,0.00076668+0.00062898i
-6.5895e-05-0.00096269i,1.2242e-05-0.00084309i,0.00030026+0.00013798i,0.00095612+0.00069775i,0.0012772+0.00048587i,0.00019376-9.0755e-05i,-9.0109e-05-0.00047791i,-7.5333e-05-0.00043187i,-0.0007514-8.6275e-05i,-0.0010357-9.3607e-05i,-3.4068e-06+0.00023707i,0.00057904+0.0014099i,9.6425e-05+0.0013041i,-0.00018309+0.00025026i,-0.00010293+2.8885e-05i,-0.000243+0.00039454i,-0.00025681+0.00018544i,-0.00022008+0.00011356i,-0.00071848+0.00015064i,-0.00015985-9.1192e-05i,0.00029573-0.00030185i,-6.2352e-05-0.00027381i,-0.00022219+0.00030271i
0.00080841-0.00063121i,9.3471e-05-0.00073377i,-0.00044836-0.00091558i,1.4861e-06-5.2569e-05i,-0.00029341+0.00073563i,-0.00036394+0.00094595i,1.1307e-05+0.00028988i,0.00024974-0.00055897i,0.00061013-0.00043007i,0.00088225+8.0317e-05i,0.00097582+0.0004857i,0.00097427+3.6697e-05i,0.0010046-0.00039491i,0.00010335-0.00038011i,-0.00095742-0.00077722i,-0.00064788-0.00031459i,0.00032031+0.00026571i,0.00058318+0.00032975i,0.00011813+0.00029683i,0.00015254+0.00043779i,0.00043086+0.00030005i,-1.9641e-05+0.00036864i,-0.00037493+0.00039467i
0.0011552+0.00025685i,0.00060858-0.00016077i,0.0013042+9.7293e-05i,0.0019279-0.00013996i,0.0020658-0.0011295i,0.0018213-0.0013137i,0.0012623-0.00025942i,0.00037801+0.00098061i,-0.00044404+0.001038i,4.4382e-05+0.0006649i,0.00019616+0.00069201i,0.00019478+0.00014932i,0.00081453-0.00016383i,0.00053512-8.8333e-06i,0.00030816+0.00034493i,0.00039288+0.00050465i,-1.2867e-05+0.00011799i,-0.00046391-0.00071126i,-7.623e-05-0.00056199i,-0.00049019-0.0001071i,-0.0010347+0.00024078i,-0.00022782+0.00055405i,0.0006069+4.9281e-05i
-0.00052969+0.0029474i,-0.0012671+0.0025905i,-0.0011873+0.0026867i,-0.00066855+0.0015961i,0.00057716-0.00027349i,0.0011404-0.00042658i,0.00077652-8.5298e-05i,-9.5664e-07-0.00061219i,-0.00034527-0.00024203i,-4.3473e-05+0.00053886i,0.0009347+0.00055648i,0.0018256-0.00018515i,0.0012457-0.00052409i,3.5163e-05+8.7466e-06i,-0.00045643+0.00059109i,-0.0001883-2.6122e-05i,6.366e-05-0.0007334i,0.00011694-0.0006701i,0.00088229-3.6976e-05i,0.00079208+0.0010428i,0.00060104+0.0013468i,0.00056381+0.0009788i,-0.00017673+0.0005047i
-9.854e-05+0.0019782i,-0.00042226+0.0016361i,0.00056944+0.001142i,0.0021169+0.00063488i,0.002146+0.00011167i,0.0007858-0.00058991i,-0.00066062-0.0012171i,6.0779e-05-0.000904i,0.00066342-0.00071729i,0.00021889-8.8893e-05i,-9.0822e-05+0.00077763i,-0.00050981-0.00018476i,-5.8709e-05-0.00069507i,0.00069779+9.5254e-05i,0.00068287+0.00022645i,0.00081871+0.000674i,0.00084603+0.00032915i,0.0010568-0.00015525i,0.00099609+0.0002557i,0.00036068+0.00038341i,0.00053151+0.00056809i,0.00064505+0.00050635i,0.00013723-1.0554e-06i
0.00034025-0.0012521i,0.00071837-0.0011988i,0.00034763-0.0014245i,0.0011228-0.001134i,0.00080738-0.00065448i,-5.3213e-05-0.00055032i,-0.00014417-0.00022702i,8.6878e-05+1.071e-05i,-0.00017252-0.00012907i,-0.00056307-0.00033992i,-0.00067804+0.00011977i,-0.00010722-6.7783e-05i,0.00016759+0.00030082i,-0.00065808+0.0011121i,-0.0008007+0.00053408i,-0.00048954-0.00025607i,-0.00017689-0.00013451i,0.00015602-0.00044757i,0.00021803-0.00073585i,4.3863e-05+3.0529e-05i,5.4844e-05+0.00099312i,0.0002637+0.0015387i,0.00027452+0.0012619i
0.00079528+0.00019582i,0.00072017+3.0475e-06i,1.1284e-06+0.00015762i,9.8852e-05-0.00033673i,0.00055403-0.00044751i,0.00047948-0.00079004i,0.00072936-0.00064353i,0.00036958+8.2219e-06i,-0.00021542-0.00054169i,-0.00018688-0.00094376i,0.00013312-0.0004224i,6.6691e-05-0.00018168i,-0.00035894-0.0003207i,-9.1312e-05-0.00010054i,-5.2094e-05+0.0008389i,-0.0012645+0.0011211i,-0.0010655-4.2216e-05i,-0.00023487-0.0007608i,0.00010485+0.000288i,0.00067232+0.00042387i,0.00054564-8.822e-05i,0.00011531+0.00010655i,0.00020159+0.00020605i
2.0539e-05-0.00047664i,-0.00050666-0.00018196i,-6.1557e-05-0.0010583i,0.00031108-0.0015846i,0.00067992-0.0018787i,0.00031197-0.001096i,-0.00047127+0.00011266i,-0.00017429+0.00020137i,-4.721e-05-0.00036869i,-0.00056059-0.00037329i,-0.0010322+5.0512e-05i,-0.00064005-0.00012632i,-0.00015543-0.00041882i,0.00027339+0.00012167i,0.00025149+0.00057005i,0.00048376+0.00033822i,0.000316+6.8166e-05i,-0.00057854-0.00021234i,-0.0014315+0.00096352i,-0.00088989+0.0013707i,0.00016301+0.00070178i,-0.00017098+0.00062767i,-0.00097745+0.00016368i
-0.00048911-0.00046549i,-0.0011077-0.0010433i,-0.001032-0.00083555i,-0.0002337-0.00033861i,0.00028-0.00039255i,-2.0456e-05-0.00041153i,-0.00014482+5.817e-05i,0.0003848+0.00036708i,0.00016139-0.00022855i,-5.4851e-05-3.1867e-05i,0.00025246+0.00059995i,0.00093178+0.00043003i,0.00051434+0.00021393i,5.4108e-05+0.00017411i,-0.00022715-0.00019829i,-0.00040033-0.00066195i,1.7245e-05-0.00072279i,-0.00038031-0.00031675i,-0.00063553-0.0002035i,-0.00010518-0.00041131i,0.00014229-0.00033319i,-0.00022384-8.1816e-05i,-0.00026635-0.00029255i
0.0005371-0.0013561i,0.00065189-0.0025079i,0.00093917-0.0028023i,0.00031008-0.0024201i,-0.00030873-0.00134i,-0.0012344+0.00011722i,-0.001225+0.00029396i,-0.00028382-0.00027603i,0.00020862-0.0005033i,0.00073208-0.00020158i,0.00085243+0.00013948i,0.00136+7.9722e-05i,0.001493+0.00036167i,0.00065078+0.00040312i,0.00036691+0.00045361i,0.0002546+0.00069373i,0.00030709-0.00038034i,0.00080443-0.0011006i,0.0010502-0.00051125i,0.00037723+0.00051866i,-0.0002734+0.0011307i,-8.4046e-05+0.00031471i,3.0129e-05-0.00020798i
0.00086122+0.0011528i,2.1184e-05+0.0013369i,-0.00025508+0.0012354i,0.000708+0.00038843i,0.001453-0.00058495i,0.00054954-0.00084727i,-0.00042488-0.00062717i,-0.00074337+0.00013692i,-0.00082382+6.6706e-05i,-0.00033758-0.00048719i,0.00043962-0.00073083i,0.00053926-0.00074041i,0.00026431-0.00041071i,-0.00034909-5.8746e-05i,-0.0003433-0.00063109i,-0.00010116-0.001337i,-0.00043603-0.0012427i,-0.00050219-0.0010931i,-8.4955e-05-0.0004032i,7.4218e-05+0.00061697i,-8.8338e-05+0.0013158i,-5.7755e-05+0.0019361i,-6.9469e-05+0.0017487i
0.00057949+0.00067625i,0.00096774+0.00047669i,0.0010622+0.00043596i,0.00058622-0.00052975i,-0.00013887-0.00074276i,-0.00042306-0.00061842i,-0.00051846-0.0015078i,-0.00032865-0.001528i,-0.00019459-0.0005365i,0.00023849-0.0001523i,0.00096277+0.00013683i,0.0004135+0.00080398i,-0.00096535+0.00028241i,-0.00099038-0.00033482i,5.6864e-05-9.5946e-05i,0.00051996-0.00086672i,0.00017527-0.0011088i,-0.00012269-0.00045153i,-0.00077134-4.2082e-05i,-0.00059424+0.0004421i,1.4302e-05+0.00036638i,-5.8329e-05-0.00029347i,0.0001204-0.00029188i
0.0016829+0.00074274i,0.0022777+0.00080583i,0.0019364+0.00016815i,0.0021581-0.00038138i,0.0025245-0.00015755i,0.0010846-0.00028392i,0.00046573-0.0010686i,0.00061661-0.00092655i,-0.00011091-0.0002799i,-0.00074446+0.00084402i,-0.00070309+0.001172i,-0.00027585+0.00086849i,-3.3933e-05+0.00082299i,-0.00061631+0.00084061i,-0.00098539+0.00027588i,-0.0004961-0.00044946i,0.00010994-0.00049963i,0.0006004-0.00027704i,0.00035767-0.00014467i,-0.0004196-0.0005595i,-0.00063118-0.00035684i,-0.00014608-5.7962e-05i,4.6284e-05-0.00051847i
-0.00070244-0.0010292i,-0.0007781-0.0012878i,-0.0011434-0.00083954i,-0.00083795-0.0010891i,-5.4698e-05-0.00066131i,0.00060474-0.00067002i,0.00066378-0.0004254i,0.000747+0.00044997i,0.00040097+0.00063612i,5.6237e-05+5.2921e-05i,0.00093604+0.00011212i,0.0010915+0.00058996i,-0.0001267+0.0012404i,-0.00077712+0.00043326i,-0.00040026-0.00057388i,0.00031859-0.00019714i,-0.0002695-0.0002702i,-0.0012202-0.00058585i,-0.00060196-0.00039485i,-0.00016353-0.0004544i,-0.00053676-0.00061427i,-0.0005596-0.00082914i,-0.00017641-0.00077398i
-0.00015566+0.00044214i,0.00015673+0.00086533i,0.00090856+0.0015414i,0.0015853+0.0017088i,0.00090709+0.0012828i,0.00038938+0.0007089i,0.00082822+0.00020933i,0.00078897-0.00032246i,0.00074664-0.00048114i,0.00072008+0.00014737i,9.065e-05+0.00096355i,-0.00037827-4.0699e-05i,-6.1574e-05-0.00089496i,-0.00012189-0.0006193i,-0.00064682+0.00046614i,-0.00098213+0.0009529i,-0.00098043+0.00018633i,-0.00069256-0.00012941i,2.7293e-05-0.00080678i,0.00034884-0.00097913i,0.00038216-0.00056088i,0.00045544-7.8688e-05i,-0.00051101+0.00091595i
-0.00077131-0.0022881i,-0.00095338-0.0019412i,-0.00097-0.0022699i,-0.0006788-0.0021302i,0.00027932-0.00096652i,0.00040417-1.3518e-05i,0.00021298-0.00045567i,0.00060099-0.00012814i,0.00018263-0.00025316i,-0.00070013-0.00071169i,-0.0007905+0.00046651i,-4.8602e-06+0.001073i,0.00066469+0.00035992i,0.00037021-0.00013275i,0.00012806-0.00033766i,0.00016776-0.00037945i,-0.00023177-0.0002634i,-0.00069691-0.00042858i,-0.00077913-0.00087092i,-0.0010293-0.00042409i,-0.0002552+0.00026915i,0.00043006+5.857e-05i,6.0716e-05-0.00020816i
-0.002156-0.00073108i,-0.00081255+0.00035164i,8.4849e-05+0.0016109i,0.00062606+0.0019508i,0.001547+0.0010792i,0.0014344+0.00043363i,0.0002164-0.00021238i,0.00016364-0.00072356i,0.00037262-0.00037452i,-0.00043906-0.00026913i,2.6168e-05+9.7836e-05i,0.00039746+0.00011698i,-0.0001798-2.3822e-05i,-0.00016863+0.00014047i,0.00010307-0.00010882i,0.00039671-0.00042488i,0.00043683-0.00017397i,0.00034207+0.00043268i,-0.00017273+0.00083886i,-0.00072914+4.1034e-05i,-0.00027605-0.00061409i,8.8716e-05-0.00076091i,-0.0003047-0.0017261i
-0.00017474+0.00053927i,-0.0005347+0.0010754i,-0.00096126-6.0986e-05i,0.00052312-0.0013593i,0.0022421-0.0012987i,0.0013573+0.00014576i,0.0005245+0.0005967i,-1.413e-05+0.00013478i,-1.4373e-05+2.4765e-05i,0.00077407-0.00058744i,0.00082064-0.0011015i,0.0015379-3.6085e-05i,0.0013619+0.0010172i,-0.00036604+0.00032956i,-0.0015331+0.00032829i,-0.0013296+0.00052372i,-0.00067668-7.1249e-05i,-0.00029863-0.00050753i,0.00054949-0.00066822i,0.00045289-0.00052736i,-1.1069e-05-0.0001568i,-0.00020134-0.00035306i,-0.00014247-0.00060192i
0.0021574+0.0013648i,0.0024031+0.00024431i,0.0031267-0.00069421i,0.002088-0.00096552i,0.00032608-0.0016209i,0.00033417-0.001135i,0.00040694+0.00017909i,-0.00052922+0.00014719i,-0.00021489-0.00048986i,0.00024117-0.00028391i,-0.00017147+0.00011131i,-1.9854e-05-0.00026537i,-3.003e-05+0.00029587i,9.1952e-06+0.00073352i,0.00065203+0.00099426i,0.00076244+0.0010174i,0.00099219+1.4868e-06i,0.00075196-0.00011735i,-0.00032145+0.00026851i,-0.0005043+0.00025672i,2.7468e-05+0.00023034i,0.00031041-0.00018988i,-0.00021493-0.00034103i
0.0010167+0.00059307i,0.0011307+0.00037268i,0.0016972+1.4904e-05i,0.002571-0.00061493i,0.0021216-0.0013298i,0.00097969-0.0018272i,-0.00019525-0.0011811i,-0.0010696-0.0006532i,-0.00078795-0.0009672i,-0.0002147-0.00042243i,0.00031005+0.00022747i,0.00068629+4.8217e-05i,0.00076888-0.00040265i,0.0005216-0.00023055i,0.00079662+0.00041352i,0.00096012+0.00023494i,0.00023611+0.00066333i,-3.4896e-05+0.00058445i,-0.00015534-0.00024081i,-0.00026038+0.00010607i,0.00037292+0.00053148i,0.00096011-0.0002838i,0.00064719-0.00081244i
0.00095888+0.00059191i,0.00083483+0.00010934i,0.0017944-0.00070828i,0.0024891-0.00093284i,0.0018299-0.00022795i,0.0011152-0.00046502i,0.0005698-0.00077753i,0.00015562-0.00015806i,-0.00046263+0.00023047i,-0.00081958+1.194e-06i,-0.00054802-0.00034137i,-0.00027964-0.00029153i,0.00022809-5.5679e-05i,0.00098295+0.00031989i,0.00092646+5.3518e-05i,0.00038835+7.5344e-05i,-0.00045068+0.0001711i,-0.00087447-0.00032437i,-0.0011983-5.9814e-05i,-0.00099438+0.00078971i,-0.0013275+0.0011836i,-0.0013546+0.00023707i,-0.00050152-0.00016289i
0.000859+0.0018239i,0.00047648+0.00093253i,0.002264+0.00070058i,0.003729+0.00056042i,0.002989-0.00072887i,0.001139-0.00089213i,0.00033888-0.00015675i,0.00067248-0.00043052i,0.0005232-0.00034666i,0.00056134-7.0114e-05i,0.00039728-0.0003848i,0.0007106-0.00041127i,0.00038193+6.8637e-05i,-0.00061428+0.00020857i,-0.00048304+0.00019229i,-0.0005125+0.00042351i,-0.0011304+0.00040832i,-0.0010192-1.5539e-05i,3.6818e-05-0.00014398i,4.9757e-05-0.00060983i,-0.00054077-0.0002733i,-0.0004186-0.0001359i,-4.9678e-05-0.00048506i
0.00027737+0.00097044i,0.00043562+0.00025164i,0.00096279-6.8919e-05i,0.0010733+0.00030478i,0.00040484+0.00089831i,-0.00027793+0.00021656i,-0.0011208-0.00012562i,-0.0013983+0.0002303i,-0.00093082-0.00019333i,-0.00037789-0.0014069i,-0.00041312-0.0015288i,-0.00054441-0.0005113i,0.00014084+0.00076505i,0.00040991+0.00097794i,0.00028716+0.00060292i,-0.0001116+0.00086198i,-0.00031465+0.00068752i,-0.0010265+0.0003597i,-0.0014989+7.7116e-05i,-0.00019896+0.00010763i,-0.0003569+0.00063239i,-0.00065292+0.00026903i,-0.0008209-0.000341i
0.00082971-0.00059804i,-0.00022523-0.00023963i,-0.00034672-0.00085443i,0.00043028-0.0013005i,0.00082941-0.0011204i,0.00054501-0.00040081i,0.00017043-0.00095409i,0.00057003-0.0014714i,0.00097614-0.00089878i,0.00067563-0.00099123i,0.00025318-0.0012463i,9.2863e-05-0.00088127i,0.00025029-0.00042446i,0.00022288+0.00016095i,9.9198e-05+0.00080501i,0.00016577+0.00053534i,6.7742e-05+7.5198e-06i,-0.00026668+0.00011815i,-0.00037618+0.00013829i,-3.8577e-05+0.00025141i,0.00032875+0.00034902i,0.00044481+0.00064051i,-0.00019907+0.00047392i
0.00079591+0.0012247i,0.00066181+0.001848i,0.00055637+0.0019408i,0.00085466+0.0010544i,0.0013591+0.00031258i,0.00093662+8.7401e-05i,-0.0003168+1.3186e-05i,-0.00086889-0.00021593i,-4.8929e-07-0.00050527i,0.00028673+1.2037e-05i,0.00016793+4.719e-05i,0.00025919-0.00053293i,5.9971e-05-0.00032447i,-6.9423e-05+0.00071397i,-0.00036741+0.00089277i,-0.0010266+0.00061699i,-0.00075119+0.00019354i,-0.0006702+0.0004106i,-0.00091895+0.00030722i,-0.00048096-0.00049354i,-0.00034041-0.00099613i,-0.00050288-0.00066765i,-0.000952-0.00026991i
-0.00069816+0.0011177i,-0.00022035+0.0011661i,0.0002991+0.00021684i,0.0016227+0.00011671i,0.0013193+0.0011841i,0.00059884+0.0014114i,0.00076438+0.0010502i,0.00089281+0.0011013i,0.00046841+0.00083831i,0.00038354+0.0013706i,0.00075839+0.0011869i,0.00073099+1.6213e-05i,0.00032078-0.00025871i,-0.00031378+0.00039489i,-0.00040922+0.00052906i,-0.00038702-1.0234e-06i,-0.001055-0.00021994i,-0.00050029+0.0003324i,0.00024031+0.00023259i,-0.00053798+0.00010221i,-6.1678e-05+0.00032924i,0.0013182+0.00013539i,0.0012767+0.00025745i
-0.00030926-0.00022455i,-0.00037961+7.3049e-05i,-0.00043638-6.9182e-05i,-0.00011952+1.109e-05i,-0.0001739+0.00060916i,-0.000192+0.00060787i,-0.00013905+0.00015504i,-0.00060745-0.00039191i,-0.00022616-0.00083788i,0.00017837-0.00072805i,0.00030255-0.00030393i,0.00016364-0.0009206i,-6.9535e-05-0.00049277i,-0.00011388+0.00095702i,0.00028903+0.0010347i,0.00029262+0.00047277i,-0.00067869+0.0002426i,-0.001054-0.00069788i,-0.00078884-0.00064208i,-0.00040829-0.00047728i,-0.00028427-0.00052874i,8.7291e-05-0.00037158i,0.00045253+0.00029097i
0.0023517-0.00029196i,0.0014551-0.00014169i,0.0014588-0.00099661i,0.0014971-0.0010294i,0.0012447-0.00028521i,0.00093368-0.00013858i,0.00038666-0.00018036i,0.00026487-0.00011815i,0.00026293+4.7197e-05i,0.00058997+0.00036445i,0.0010579+0.00018942i,0.0006657-0.00020287i,0.00010737+0.00050375i,0.00010312+0.00064919i,-0.00017042+0.0006025i,-0.00040029+0.0012398i,-4.3693e-05+0.0010838i,0.00028157+0.00052345i,2.2748e-05+0.00033487i,-0.00048579+1.464e-05i,-0.0003121+0.00011891i,-0.00024403+9.1e-06i,-0.00071032+0.00018885i
