-0.003493+0.00029932i,-0.0018104+0.0014205i,-0.0015097+0.0038076i,-0.0012269+0.004122i,-0.0011626+0.0033541i,-0.001263+0.0020911i,-0.00034241+0.00066147i,0.00075198+0.00039572i,0.00045935+0.00078141i,-7.1353e-05+0.00051363i,-9.6839e-07-4.0784e-05i,4.017e-05-5.6235e-05i,4.0386e-05-9.8786e-05i,-4.2418e-05+6.295e-05i,-0.00022205-0.00032128i,0.0002847-0.00051726i,0.00076213-0.00034962i,0.00031905-0.00065164i,0.00025621-0.00085687i,0.00073313-7.8042e-05i,0.00072801+0.00021373i,0.0011128-0.0010552i,0.0010601-0.0014245i
-0.0013003-0.0018958i,-0.0012808-0.00090831i,-0.0013929-0.00039514i,-0.001031-2.2002e-05i,-0.00075314-0.00028339i,-0.00025936-0.00033329i,4.7826e-05-0.00048596i,0.00042826-2.5528e-05i,0.00030413-0.00014774i,-0.00024347-0.00030401i,-6.4169e-05+0.00024432i,0.00013841+0.0008709i,-0.00010279+0.0009341i,-0.00042554+0.00081291i,-0.00030949+0.0005078i,-0.00056729-0.00029554i,-0.0013647+8.3171e-05i,-0.0012554+0.00097755i,0.00021995+0.00034863i,0.00088292+0.00013341i,0.00043885+0.00087917i,0.00012137+0.0006839i,-8.3436e-05-0.00025344i
0.0015657+0.00054924i,0.0012923-0.00074928i,0.001555-0.001017i,0.0018746-0.0011983i,0.0018043-0.0017832i,0.00088091-0.0021746i,0.00044757-0.0017734i,0.0010504-0.00082312i,0.00085975-0.00055729i,0.00031592-0.00020982i,0.00015835-0.00055037i,0.00018045-0.00044061i,0.00010801+0.00044567i,-0.00073295+0.00062771i,-0.00037547+0.00026171i,0.00023887+0.00047513i,-0.00012807+0.00076394i,-0.0001371+0.00085282i,0.00033443+0.00081486i,0.00081902+0.00064491i,0.00030769+0.00049339i,0.00017275+0.00015103i,0.0012674-0.00016603i
0.00091123+0.00033672i,0.001089+0.00029686i,0.0013517+0.00090106i,0.0022905+0.00098672i,0.0016306+0.00094577i,0.00033834-7.8873e-06i,0.00033791-0.00063342i,0.00056682-7.7273e-05i,0.001057+0.00018i,0.00047855-6.3602e-05i,-0.00045958+0.00013366i,-0.00028896+0.00051226i,7.8708e-05+0.0010723i,0.00027944+0.00078829i,0.00067028-0.00039485i,0.00084988-0.00043729i,0.0006626+0.00048942i,0.0002442+0.00087097i,-0.00071666+0.00041282i,-0.00033796-0.00012544i,0.00041909-0.0001461i,0.00071319-0.00015283i,0.00054333-0.0004802i
0.00042498+0.00064525i,0.0006079+0.0018795i,0.00028609+0.0026415i,0.00054652+0.0020816i,0.00061861+0.00049346i,0.00033016-0.00083915i,0.00018957-0.00096257i,0.00014173-0.00028354i,8.2167e-05+6.2899e-05i,-0.00011215-0.00011798i,0.00049994-0.00031826i,0.00062749-0.0005467i,5.6673e-05-0.0003874i,-0.00026843-0.00018559i,0.00027205+0.00020352i,0.000781+0.00092605i,0.00063312+0.00088951i,0.00017116+3.9418e-05i,0.00013277-0.00019572i,-0.00029288+0.00041289i,-0.00026911+0.00064331i,4.5717e-05+0.00046646i,1.7061e-05-0.00019555i
-0.00067524-0.00069465i,-0.001273-0.0010104i,-0.00024035-0.00084246i,0.001145-0.0011748i,0.00095925-0.00061324i,0.00072974+8.3815e-05i,0.00092438+0.00086122i,0.00062131+0.00084947i,0.00041829-0.00011777i,0.00039044-0.00050762i,6.028e-05-0.00024474i,-0.00027305+2.1527e-05i,2.5683e-05+0.00052455i,-0.00042664+0.00059138i,-0.00038811+5.3638e-05i,6.6338e-05+1.8259e-05i,-0.00076674+0.00028764i,-0.0011108+0.00026864i,-0.00031316+0.00028848i,-0.00013631-0.0003123i,-0.00016191-0.00034i,-0.00030647+0.00065142i,-0.00099215-2.7644e-05i
0.0013702+0.001186i,0.0013384+0.0012584i,0.002109+0.00052852i,0.0016967-0.00038335i,0.00081376-0.00071553i,-0.00015903-0.00064535i,-0.00048735-0.0004374i,0.00023436-0.00018871i,0.00050323-0.00021717i,0.00073347-0.00025805i,0.00088504-0.0002176i,0.00022539-0.00026707i,0.00019661-0.00053524i,0.00038405+1.4716e-06i,-0.00013849+0.0008777i,-0.00030023+0.0007455i,0.00055842+0.00063651i,0.00075085+0.00040446i,0.00045079+0.00052715i,0.00033079+0.00091783i,-0.00012129+0.0010411i,0.0002151+0.00042405i,0.00059347-0.00016822i
0.00064227+0.0023988i,0.00073155+0.0013781i,0.00092852+0.001356i,0.0017083+0.00063421i,0.0019351-0.00098221i,0.0013162-0.00093204i,0.0012666-3.729e-05i,0.0012867+8.4623e-05i,0.0010207+0.00021859i,0.0011561+0.00026607i,0.00049612-0.0002799i,-0.0006226-0.00056871i,-0.00026103-1.5776e-05i,0.00010098-0.00017444i,-1.5678e-05-0.00076652i,-0.00045042-0.00028682i,-0.00073371+0.00072542i,-0.00024851+0.00042086i,-0.00017864-0.00086169i,-0.00022153-0.00063949i,-0.00032287+7.1956e-05i,-0.00020333-0.00031591i,-0.00031468+2.6847e-05i
0.00055711-0.00082497i,0.00014714+0.00046452i,-0.0013126+0.00066317i,-0.0016999-2.4872e-05i,-0.00089048-0.00074202i,-0.00026295-0.00087095i,0.00028619-0.00099475i,0.00024118-0.00069001i,-0.00012+0.00027284i,-0.00054451+0.00025666i,-0.00066942-0.00028583i,-0.00091231-0.00020549i,-0.0011007+0.00016151i,-0.00017986+0.00058407i,0.0004758+0.00037168i,0.00019792+0.00031801i,-0.00035616+0.00057989i,-0.00057188+0.00023349i,0.00052493+0.00039701i,0.0012182+0.00085391i,0.00028854+0.00011806i,-0.00021009-0.00055005i,0.00026633-0.00033402i
0.00093012+0.0016213i,0.0005963+0.00096205i,0.0019433+0.00057056i,0.0030084-0.00033011i,0.0027475-0.0010061i,0.0018903-0.001382i,0.00030184-0.00066022i,-0.00016912-0.00026243i,0.00018576-0.0005966i,0.00030847-0.00095528i,0.00041558-0.00022214i,-0.00021806+0.0004615i,-0.0007079+0.0005882i,-0.00025111+0.00088965i,-0.00030183+0.00035354i,-0.00098327+0.00091157i,-0.00087143+0.0009907i,-0.00022986+7.0246e-05i,-0.00020061+0.00085653i,-0.00030534+0.0012328i,-0.00012896+0.00012372i,-0.00022805-0.0004668i,-0.00053962-0.00034031i
0.00035234-0.0003323i,-0.00011976-0.0011119i,9.2446e-05-0.0012275i,0.00016459-0.00059587i,0.00028598-0.00043301i,0.00064618-0.0012038i,0.00082615-0.0015216i,0.00063295-0.0014963i,0.00041642-0.0013098i,8.874e-05-0.00049356i,-0.0003389+0.00048569i,-0.00052191+0.00030155i,-0.00070898+0.00023323i,-0.0010593+0.0010239i,-0.00078278+0.00086632i,-0.0002065-4.9927e-05i,0.00035218+0.00021654i,0.00026538+0.00054527i,0.00040238+3.5447e-05i,0.00049397+0.0001794i,-6.7793e-05+0.0004962i,-0.00014654+0.0001349i,-0.00083636+0.00030837i
0.0005012+0.00012937i,0.00048093+0.001352i,0.00094216+0.0015164i,0.0014389+0.00032051i,0.0010415-0.00034936i,1.5845e-05+0.00024242i,0.0005959+0.0005836i,0.00085011-0.00018122i,0.00015153-0.00047597i,-0.00033125-0.00079574i,-0.00035616-0.00073119i,0.00021961+0.00074668i,0.00023126+0.0013378i,-0.00028364+0.00077712i,-0.00040725-0.0004141i,-0.00032657-0.00053627i,0.00011177+0.00029944i,0.00074327+0.00091021i,0.00066711+0.00092499i,-1.944e-05+0.0013099i,6.4013e-05+0.0012639i,5.23e-06+0.00035428i,-0.00017815-0.00028359i
-0.00041463-0.00030695i,0.00042116-0.00031565i,0.00087468+0.0007108i,0.0013783+0.0013307i,0.00083797+0.00085525i,0.000234-0.00054487i,-0.00014442-0.0012797i,-0.00081096-0.00122i,-0.00078969-0.00096329i,-0.0004759-0.00030417i,-0.00097629+4.6886e-05i,-0.00082226+6.4751e-05i,0.00020196-0.00041923i,0.00056105-0.00062943i,0.00031163-0.00024187i,0.00033161-0.00044503i,0.00076125-0.00046966i,0.00050775-0.00039332i,-0.00027549-0.00052698i,-0.00060461-0.0002486i,-0.00014687+0.00079195i,0.00056616+0.0012102i,0.00076106+0.00025554i
0.00097639+0.001164i,0.0016898+0.00088076i,0.0010929+0.00090033i,0.0010527+0.00053193i,0.0014192-0.00043213i,0.00093774-0.0010723i,0.00087686-0.00082926i,0.00064899-0.00018351i,0.0003952-0.00036548i,-6.4341e-05-0.00067977i,-0.00022135-0.00038453i,-0.00025826-6.2514e-05i,-0.00078805-5.3434e-05i,-0.0008824+0.00024819i,0.0003395+0.00073985i,0.00099939+0.00039467i,0.00042668-0.00013177i,-2.323e-05-0.00021096i,-4.0436e-05-0.00051804i,0.00022275-0.00045921i,0.00036403-0.00010565i,0.00020278+4.224e-05i,8.6288e-05+8.4706e-05i
0.00039041-0.0010556i,-0.00021727+7.9637e-05i,-0.00093349-0.0013842i,-0.00057987-0.0027442i,0.00076511-0.0017983i,0.00056079-0.00059924i,0.00042685-0.00026797i,0.0012113-0.00041174i,0.00069321-0.00043543i,-2.2208e-05-0.00033432i,-0.00028232-0.00042101i,-0.00014656-0.00047776i,8.4564e-05-0.00032697i,2.3035e-05-0.00012184i,0.00028861+7.7172e-05i,0.00045842-6.2555e-05i,0.00029772-0.00021298i,0.00025565-0.00031535i,0.0004583-0.00023686i,0.00040476+0.0001324i,0.00084227+0.00012684i,0.0010936+0.00037669i,0.00039847+0.00043983i
-0.00017871+0.00060597i,0.00025938+0.0011726i,0.001233+0.0017371i,0.0017266+0.00047938i,0.0015196-0.00095594i,0.0011156-0.00047665i,0.0010193+0.00038288i,0.00070944+0.0010648i,2.9166e-05+0.00068157i,-0.00025157-0.00023743i,-0.00021229-0.00037971i,-0.00028697-6.817e-05i,-0.00034825+0.0003483i,1.443e-06+1.1823e-06i,0.00061666-0.00022322i,0.00042309+0.00034413i,-4.06e-05+0.00076907i,0.00018549+0.0003328i,0.00062985+0.00046547i,0.00032083+0.00029497i,-0.00071703-0.00081272i,-8.935e-05-0.0011569i,0.00083764-0.00045727i
0.00022405+0.00041753i,0.00096379-0.00070766i,0.0014137-0.0025619i,0.00096272-0.0025005i,0.00060624-0.0014133i,0.0002649-0.0010659i,-0.00015942-0.00023363i,0.00029259-1.4268e-05i,0.00095751-0.00059279i,0.00045906-0.00013312i,-0.00010731+7.3276e-05i,-0.00024374-0.00034894i,8.3577e-05-0.00046449i,4.2217e-05+0.00029896i,-0.0014019+0.00010887i,-0.0014766-0.00022908i,-0.00013113+3.8218e-05i,0.00048554-0.00044873i,0.00011325-0.00057651i,0.00021568-0.00031913i,0.00073014+0.00047974i,0.00053035+0.00090834i,-4.9782e-05+0.00044689i
-0.0014107+0.00018926i,-0.0013885+0.0016685i,-0.0013413+0.0026045i,0.00044821+0.0021133i,0.0013656+0.0011251i,0.0012876-0.00012293i,0.0011359-0.00055124i,0.0006096-0.0002111i,-0.00015652-0.00049351i,0.00030298-0.00045211i,0.00040098-0.00044418i,-0.00032909-0.0001236i,0.00017326+0.00026514i,0.0004083+0.00074155i,9.6807e-05+0.00083761i,-0.00010769-0.00029487i,-0.00028665-0.00094077i,0.00013981-0.00014751i,0.0002231+0.00041418i,-0.00048154-0.00011021i,-0.00020698-0.00035341i,0.00032672+5.0575e-05i,0.00082612-0.00038893i
0.0013124+0.0013421i,0.0015249+2.9312e-05i,0.0023667-0.00093765i,0.002987-0.001428i,0.001945-0.0019356i,0.00053822-0.0011568i,0.00031537-7.0448e-05i,8.298e-05-0.00056345i,-0.00034962-0.00055878i,-3.704e-05-3.1558e-05i,-9.6379e-05+0.0004752i,-0.00077252+0.00072294i,-0.0014201+0.00040867i,-0.00089806-0.00017384i,-0.00059618-0.00074309i,-0.0007627-0.00041341i,-6.3568e-05+0.0002432i,-9.1911e-06+0.000669i,-0.00045644+0.0012633i,-0.00012956+0.0011785i,0.00063306+0.00030701i,0.0010766-0.00019922i,0.00033599-0.00060111i
0.00081002-0.00066247i,0.0010122-0.00093601i,0.0019257-0.001337i,0.00095868-0.0012687i,-0.00062851-0.0009754i,-0.00042365-9.94e-05i,6.1496e-05+0.00043772i,-6.1093e-05+0.00042855i,-0.00040695+0.00032135i,-0.00050059-0.00010171i,-8.736e-05-0.0002898i,0.00030645-0.00013732i,-8.1623e-05-0.00022721i,-0.00080176-0.00056272i,-0.00053969-0.00046516i,-0.00066392-0.00028768i,-0.00047552-0.00044184i,0.00019697-0.0003949i,0.00065169-5.5805e-05i,0.00066271-0.00016664i,5.5035e-05+6.6766e-05i,-0.00037165+0.00046305i,-0.00032934+0.00040817i
-0.001269-0.00032581i,-2.6118e-05+0.00030368i,-7.2101e-05+0.00064951i,-5.4268e-05-0.00035162i,4.576e-06-0.0010582i,0.00047965-0.00054632i,0.0014445+0.00030403i,0.0015207+0.00049178i,0.00037709-0.00040194i,-0.00078231-0.00070566i,-0.00090105-0.0002329i,-0.00041928+0.00059297i,0.00015644+0.00060093i,0.00024931-0.00037506i,-0.00066259-0.00091516i,-0.00078902-0.00092692i,5.1765e-05-0.00047033i,0.00058025+0.00015305i,0.00094451+0.00020845i,0.0010361-0.00060462i,0.001274-0.00075507i,0.0010212+0.00037941i,0.0003041+0.00059971i
