-0.003152-0.00015175i,-0.0025506+0.00079276i,-0.0032528+0.0026992i,-0.002596+0.0025915i,-0.0012437+0.0021511i,-5.8591e-05+0.0019713i,0.00061309+0.00097204i,0.0012277-0.00016761i,0.0017301-0.00054466i,0.0018767-0.00012317i,0.001384-0.00010577i,0.00063509-0.00059544i,0.00063156-0.0011868i,0.00065724-0.00099386i,0.00043376-0.00023397i,-0.00027397+6.5118e-05i,-0.0010694+0.00077068i,-0.00075182+0.0004575i,0.00026635-0.00077091i,0.00071991-0.00048295i,-4.3004e-05-3.2433e-05i,-0.00095985-0.00033334i,-0.0012578-0.00022715i
0.00056197-0.001077i,0.001273-0.0016668i,-0.00012693-0.0016797i,-0.00038028-0.00096572i,-0.00011976+0.00010541i,-4.9638e-05-2.3856e-05i,-0.00016083+0.00032832i,-0.00026209+0.00046257i,-0.00039863-9.4647e-05i,-0.00072862+2.5839e-05i,-0.00059682+7.7642e-05i,-0.00017731+0.00014388i,0.00044033+0.00013709i,0.001068+0.00038837i,0.0004765+0.00068656i,-4.2127e-05+0.00027487i,0.000608-2.2326e-05i,0.00075639+0.00020312i,0.0005089+0.00052846i,0.0003129+0.00015417i,-7.3176e-05-0.00031453i,-0.00010947-0.00026945i,0.00036633-0.0007353i
-0.0026841-0.00010193i,-0.0028367+0.0012458i,-0.0028001+0.0017679i,-0.0013743+0.00085897i,0.00050914+0.00052846i,0.0010901+0.00044406i,0.00096351+0.00046779i,0.00024585+0.00039486i,-0.00082207-0.0005251i,-0.00042225+0.0001705i,-3.7879e-05+0.00082006i,-0.00066838+0.00054213i,-0.0007557+0.0010761i,-0.00048397+0.00086182i,-0.00053656-0.00015825i,-0.00086601+0.00013808i,-0.00029861+0.00073251i,0.00037966+0.0005183i,0.00045876-8.0728e-05i,-0.00015655-0.00045455i,-0.0013879+0.00053192i,-0.0012543+0.0011437i,-0.00010908+0.00075071i
-0.00086879-0.0020773i,-0.0011273-0.0019388i,-0.00045328-0.0023758i,-0.00064372-0.0014179i,-0.00050174-0.00066872i,0.00013064-0.00018233i,0.00043398+0.00046913i,0.00075654+0.00033267i,0.00097899+0.00026827i,0.00053381+0.00087038i,-9.138e-05+0.00063467i,0.00015437+0.0005176i,0.00044622+0.00072583i,0.00053473+0.00072096i,0.00053899+0.00084486i,-7.8676e-05-0.00013111i,-0.00017107-0.00047435i,-0.00023942-0.00020897i,-0.00059387+0.00015983i,-0.00044806+0.00019655i,-0.00046268+5.2459e-05i,-0.00072319-9.1824e-05i,-0.00089772+7.1798e-05i
0.0012381-0.0013598i,0.00032282-0.0019617i,-0.00084093-0.0020741i,-0.00011728-0.0014787i,0.00027069-0.0014645i,-0.0006719-0.0012721i,3.5889e-05-0.00077543i,0.0011111-0.0006588i,0.00093987-0.00055672i,0.00032367-0.00064635i,-0.00018521-0.0010324i,-0.00098485-0.00050151i,-0.0008955+0.00025258i,0.00011234-9.1729e-05i,0.00016968-0.00038461i,-0.00020447+0.00015136i,-0.00012029+0.00015726i,-5.5194e-06-0.00028347i,-0.00022045-0.00022395i,-0.00063898-0.0003008i,-0.00047342-0.00020906i,8.0878e-05-0.00010469i,0.00011832-0.00024449i
0.0008316-0.0018031i,0.0010063-0.0026458i,0.001702-0.0027993i,0.0018662-0.0017252i,0.0020284-0.00076197i,0.0015292-9.7826e-05i,-9.6461e-05+5.5424e-05i,-0.00033007-0.00039507i,0.00030904-0.00069111i,-0.00014995-0.00060272i,-0.0001545-0.00065774i,0.00027147-0.00044769i,0.00041982+0.00012183i,0.00042302+0.00024292i,9.7679e-05-0.00016383i,-0.00027759-9.1972e-05i,-0.00050497+0.00017628i,-0.00010138-0.00012015i,-0.00021099-0.00030657i,-0.00050524+4.5592e-05i,0.00032893+0.00042016i,-0.00016725+0.00038681i,-0.0013088-0.00019874i
-0.0023495+0.0013014i,-0.0021135+0.0010115i,-0.0010551+0.00094954i,-0.00010287+0.0005773i,0.0006832-0.00029642i,0.00045207-0.0006319i,0.00018651-0.00034037i,0.0004892-0.00052188i,0.00041934-0.0003007i,0.001093+0.0004914i,0.0015935+0.00077851i,0.0011779+0.0002948i,0.00019652-3.9945e-05i,-0.00045861-0.0004199i,-0.00048996-0.0016485i,-0.00016096-0.0017872i,0.00062341-0.001164i,0.00031418-0.00055532i,-0.00068548+0.00013913i,-0.001118-0.0002016i,-0.00074738-0.00060518i,-0.00036808-0.0003671i,-0.00029313-9.8105e-05i
0.0025654+0.0013661i,0.00080186-0.00061188i,0.00028285-0.0015141i,0.00073163-0.0013959i,0.00039976-0.0013643i,-0.00040016-0.0013575i,-0.00098173-0.0011114i,-0.00019196-0.00034869i,0.00044833+0.0002812i,-0.00020979-0.00034381i,-0.00035823-0.00071171i,-2.9939e-05-0.00025653i,1.7565e-05-0.000273i,4.693e-06-0.00057217i,-0.00051948-0.00022309i,-0.00080873+8.2175e-05i,-9.1768e-05-3.0743e-05i,0.00012795-3.8421e-05i,-5.537e-05-0.00015238i,7.2128e-05+4.9362e-05i,0.00048824+7.417e-05i,0.00040147-0.00017073i,0.00033966-0.0002977i
0.00046307-1.1799e-05i,3.341e-05-8.9477e-05i,-0.00016472+0.00019456i,-0.00011242-0.00086921i,0.00070124-0.001615i,-0.00023644-0.00039699i,-0.001686+0.0007132i,-0.00091989+0.00059373i,-6.9652e-05+0.00011565i,0.00078709-0.00042898i,0.0013538-0.00066469i,0.0009126-0.00040546i,0.0012008+0.00029643i,0.0015011+0.00027207i,0.0006524-3.2577e-05i,-0.00035315+3.5504e-05i,-0.0012134-3.4843e-05i,-0.0011522+0.00050646i,-0.00068146+0.00073251i,-0.00047745+7.3782e-05i,-0.00012478-0.00047313i,0.00015729-0.00052233i,0.00018932-0.00014305i
-0.0031103-0.00062948i,-0.0018535+7.4683e-05i,-0.0015687+0.0019816i,-0.00082659+0.0022352i,0.00071865+0.0014911i,0.0010746+0.0012864i,0.00068279+0.00036451i,-0.00032355-0.00022148i,-0.00112-0.00019272i,-0.00081043+3.4031e-05i,0.00074849-2.2396e-05i,0.0011056-0.00059572i,0.00020321-0.00022122i,-0.00054466+0.00042735i,-0.000586+0.00021409i,-0.000527-0.00021326i,-0.00049538-0.00063271i,-0.00027064-0.00012986i,0.00017661+0.00031431i,0.00068748+1.9619e-05i,-0.00023819+0.00011039i,-0.00069234+0.00033189i,-0.00011868-7.3507e-05i
0.00029638-0.00083825i,-0.00039234-0.0016319i,-0.00096744-0.00092673i,-0.0008926-4.7071e-05i,-0.00076372+1.8955e-05i,-0.00029442+3.5984e-05i,0.00019068+0.00029505i,-0.00026542+0.00067476i,-0.00031597-0.00017703i,0.00042755-0.00072608i,0.00036499-0.0005434i,-0.00019195-0.00040707i,-1.8383e-05-0.00016665i,0.00041723-0.00024761i,-0.0001584-0.00073896i,-0.00045865-0.00069334i,0.00021784-0.00026742i,0.00051008-0.00019685i,0.00050506-0.00074581i,-0.00032816-0.00065335i,-0.00089884-8.3634e-05i,-0.00011643-0.00019366i,0.00050053-0.00028267i
-0.00085076+0.00039636i,-0.00058441+0.00078134i,-0.00011547+0.00022527i,0.00097868+0.00014828i,0.0010511-0.00056955i,0.00099095-0.0013012i,0.00080796-0.00077883i,0.0005126-0.00098328i,0.00084568-0.00062393i,0.00070756-0.00027865i,0.00039986-0.00081373i,3.1029e-05-0.00055546i,-0.00036394+0.0005288i,-9.081e-05+0.00052812i,0.00019486+0.00068874i,0.00029979+0.0012681i,-3.349e-05+0.00049495i,-0.00033356-0.00064138i,0.00010072-0.00098976i,0.00034861-9.6011e-05i,-0.00031502+0.00057113i,-0.0010198+0.00017706i,-0.00054696+4.1513e-05i
-0.0010871-0.0024726i,-0.00075003-0.0023103i,-0.00010415-0.0010276i,0.0008125-0.00015405i,0.0013444+9.149e-06i,0.00016512-0.00032032i,-0.00060963-0.00072611i,0.0001658-8.2207e-05i,0.00024521+0.00081357i,-0.00025152+0.00086419i,0.00035487+0.00025886i,0.00075595+0.0001756i,0.00013732-8.6958e-05i,-0.00053171-0.00039303i,-0.00031539-0.0004415i,7.2735e-05-0.0001662i,-0.00032835+5.0319e-07i,-0.00034897-0.00037008i,0.00010634-0.00063778i,0.0002986-0.00030968i,0.00095551+0.00037408i,0.0012503+0.00077309i,0.00081109+0.00052281i
-0.0025356-0.00072972i,-0.0021806-0.0015085i,-0.0016424-0.00098735i,-0.0012576-0.00020858i,-0.00036613+6.9477e-05i,0.00031098+0.00012715i,-0.00041258+0.0005243i,-0.00067771+0.0002404i,-8.3612e-05-0.00015965i,0.00014685-0.00029125i,0.00013894+3.4143e-05i,0.00032285-0.00010628i,0.00038364-0.00022077i,0.00023059+0.00043496i,0.00034264+0.0010449i,2.5322e-05+0.00056984i,-0.00048869-0.00045826i,-0.00089846-0.00054963i,-0.00053634-0.00040757i,0.00025903-0.00022517i,0.00040121-0.00018846i,-1.4335e-05-1.7591e-05i,-0.00097826-0.00019551i
-0.00060107-0.00018492i,-0.00047198-0.00055795i,-0.00018135-0.00063659i,0.00048761+0.00021563i,0.0011261+0.00029478i,0.001467-0.00037546i,0.00072821-0.00029101i,0.00035384-0.00039773i,1.7368e-05-0.00048223i,-0.00055743-0.00084206i,-5.5021e-05-0.00079457i,0.00048099-3.3563e-05i,-1.3213e-05+0.00021894i,-0.00033867-6.2022e-05i,0.0002992-9.432e-05i,0.0004409+0.0007501i,0.00092506+0.00053652i,0.00099408+0.00038443i,0.00038601+0.0007324i,0.00031409+0.00031514i,0.00044272+4.625e-05i,0.00073488+0.00036473i,0.0010312+0.0011139i
-0.0011084-0.0014405i,-0.0010875-0.00145i,-0.00028535-0.0013022i,0.00043669-0.00061176i,0.0012609-0.00010792i,0.0014012-0.00078924i,0.00068571-0.0013751i,0.00022986-0.00089076i,0.00018378-0.00018102i,-4.2179e-05+0.00064137i,-0.00049241+0.00056062i,-0.00091928-0.00034392i,-0.00099763+5.2015e-05i,-0.00051671+0.00029035i,-0.00011424-0.00027189i,-5.3541e-05-0.00042908i,0.00023633-0.0004189i,0.0001255-0.00021159i,-0.00079934-0.00040204i,-0.00077596-0.00084955i,-0.00011975-0.00068545i,-0.0001656-0.00018096i,-3.7268e-05+0.00013949i
-0.0012672+0.00021597i,-0.0021262-0.00052121i,-0.0018368-0.00049479i,-0.00034143-0.00074386i,0.00082723-0.0013746i,-0.000146-0.0014227i,-0.0013727-0.0013481i,-0.00066724-0.00072814i,-0.00023983-0.00061108i,-0.00046448-0.00097887i,4.5664e-05-0.00078685i,-9.4337e-05-0.00057246i,-0.00051799-0.00026422i,-0.0002788+0.00023463i,4.4193e-05+0.00034977i,-8.2495e-05+0.00048938i,-0.00034134+0.00064205i,-0.00051726+0.00087968i,-0.00074113+0.00030139i,-0.00057258-0.00044884i,0.00010608-0.00028524i,0.00056766+8.3373e-05i,0.00078418+1.1332e-05i
-0.0012125+0.00025722i,-0.00055945-0.00039287i,0.00035184-0.00011602i,0.00077689+0.00056127i,0.0016465+5.5088e-05i,0.0022928-0.00087702i,0.0011659-0.00073851i,0.00028993-0.00047301i,0.00093411+0.000254i,0.0012084+0.0010432i,0.00093733+0.00071424i,0.00123+0.00059614i,0.00064627+0.0007282i,-0.00038134+0.00074198i,-0.0007539+0.00035707i,-0.0011505+0.00013817i,-0.0009933+0.00017078i,-0.00075061+5.6194e-05i,-0.00039556-3.9159e-05i,-0.00034081+0.00015528i,-0.00058715-5.0909e-05i,-6.5122e-05-0.00015294i,0.00027238+0.00043247i
0.00030814-0.0010532i,-0.00042029-0.0017748i,-0.00090728-0.0017993i,0.00037604-0.00081479i,0.00068908-0.00053362i,-0.00024424-0.0013346i,-0.00024184-0.0012633i,-0.00014281-0.0010301i,-0.00067088-0.0011779i,-0.00095196-0.00060625i,-0.00077824+2.544e-05i,-0.00018511+0.00013424i,-0.00011002+0.00062538i,8.6221e-05+0.00080139i,-0.00061372-0.00015713i,-0.00080987-0.0011049i,-4.5458e-05-0.00058021i,5.3599e-05+7.2271e-05i,-0.00029549-5.616e-05i,-0.0002263-0.00010963i,1.7637e-05+0.00019794i,0.00049975+0.00057336i,0.00068713+3.9651e-05i
-0.0020314-0.00063413i,-0.000909-0.0011409i,-0.00092339-0.00052173i,-0.0010445+0.00089555i,0.00011005-0.00043984i,0.00044898-0.0012403i,-0.00018116-0.00046905i,-8.0338e-05-0.00065622i,0.00055995-0.00021681i,0.00085318+0.00046358i,0.00029808+0.00046515i,-0.00078991-0.00014758i,-0.0013493-0.00032462i,-0.00013143-0.0004155i,-3.0952e-05-0.00065272i,-0.00062655-0.00055712i,0.00067558-0.00051703i,0.00080911-0.00026052i,-0.00045953-0.00055209i,-0.0010945-0.00062005i,-0.0003255-0.0003085i,0.00035099+0.00016867i,-0.00023018+0.00035727i
6.3148e-05+0.00033839i,0.00038689-0.0011414i,1.9778e-06-0.00044244i,0.00053331+0.0011685i,0.0013299+0.0014436i,0.0006461+0.00048345i,4.7017e-05+7.4299e-05i,-0.0002694-0.00010764i,-0.00067618-0.0002417i,-0.001333+7.3863e-05i,-0.001242+0.00037513i,-0.00034903+3.496e-05i,3.1475e-05-0.000536i,0.00046942-0.00065932i,0.00029429-0.00024335i,-0.00014333-0.00016201i,-0.00023641-4.7443e-07i,-0.00090053+6.6456e-06i,-0.00083722-0.00010764i,7.8488e-05-0.0005176i,-0.00011884-0.00050068i,-0.00051607+0.00024005i,-0.00016506-0.00017843i
8.1169e-06+0.00023522i,-0.00017057+1.3973e-05i,-0.0007371+0.00031724i,-0.00024709+0.00059539i,0.00039424+0.00027382i,0.00016445-0.0002389i,8.4311e-06+9.1294e-05i,-0.00015173-2.5706e-05i,-0.00042906-0.00070945i,-0.00043654-0.00048688i,-0.00025015+2.5344e-06i,-0.00013956+0.00022862i,-0.00088215+0.00056054i,-0.0011616+0.00016276i,-0.0007716-0.0006834i,-0.00077897-0.00071126i,-0.00040293-7.8308e-05i,-0.00023799+0.00028302i,-0.00036+0.00025074i,0.00072948+0.00046719i,0.0013077+0.00077051i,0.0011948-5.1881e-05i,0.00062093-0.00065014i
-0.00054824-0.0015161i,-0.001958-0.0023403i,-0.0014597-0.0023452i,-0.00028975-0.001384i,0.00046836-0.0015213i,0.00039248-0.0014474i,-0.00017166-0.00015729i,-0.00095064+0.00067151i,-0.00060804+0.0003901i,0.0008987+0.00029858i,0.0014753+0.00050644i,0.00023738+0.00053588i,4.5381e-05+0.00022184i,0.0011917-9.8938e-05i,0.0012405-0.00014823i,5.7129e-05-0.00026796i,-0.00089588+0.00014404i,-0.00091955+0.00050019i,-0.0003731+0.00041602i,-0.00036834+0.00081227i,-0.00091714+0.00060164i,-0.00018119-0.00051574i,0.00067949-0.0005108i
0.00025031-0.002296i,-0.00020081-0.0032219i,-0.00091307-0.0019461i,-0.00088333-0.0012758i,-0.0006463-0.0016128i,-0.00011845-0.0012959i,0.00044922-0.00077954i,0.00020073-0.00099013i,0.00032608-0.00088473i,0.0002306-0.00055875i,-1.2666e-05-0.00079385i,0.00028822-0.00034392i,0.00024707+0.00022655i,-9.5709e-06-1.5097e-05i,-0.00059409-0.00045047i,-0.00074418-0.00048438i,-0.00061313+0.00019542i,-0.00035947+0.00028304i,0.00027416+0.00012811i,0.00037205-0.00063832i,0.00016609-0.00096012i,-0.00022016-0.0002625i,-0.00031302-0.00082873i
0.0015279+0.0011019i,-0.00020585+0.00079596i,-0.00044743-0.00065354i,0.0010606-0.0010296i,0.00083691-0.00089256i,-0.00070824-0.00077446i,-0.0010653-0.00039445i,-0.00057809-0.00011753i,5.7602e-05-0.00048897i,-0.00014217-0.00081437i,-0.00042624-0.0004792i,-0.00041922-0.00043451i,-0.00047297-0.00081262i,-0.00010453-0.00087694i,0.00037577-0.00077396i,0.00076745-0.00019824i,0.00059947-0.00041356i,0.00010651-0.00066593i,5.6451e-05-0.00056902i,0.00019939-0.00032726i,-0.00021514-0.00059678i,0.00028646-0.00030464i,0.00092906+0.0001338i
-2.1144e-06-0.0014452i,-0.0013749-0.0025818i,-0.0010122-0.0021361i,-0.0004149-0.0010428i,-0.0003827-0.00067738i,-0.00063654-0.00079683i,-0.001539-0.00056661i,-0.0013313-6.3323e-05i,0.00031232-0.00010032i,0.00046347-0.00018664i,-6.2827e-05-0.0001253i,7.5469e-05-0.00023406i,0.00039436+8.5994e-05i,0.00016628-0.00033544i,-2.3765e-05-0.00049985i,0.00015474+0.00011461i,0.00026765-6.258e-05i,0.00020319-0.00059888i,8.9575e-05-0.00069952i,-1.5652e-05-0.00042642i,-0.00019509-0.00035623i,-0.00043694-2.8481e-05i,-0.00034154+0.0002347i
0.00013733-0.00016934i,-5.0179e-05-0.00019169i,-0.00059858+0.00080412i,-0.00038885+0.0011186i,0.0011587+0.00030143i,0.0011753+0.00015227i,0.00055009+2.98e-05i,0.00076182-0.00091767i,3.1299e-07-0.00074796i,-0.00011203-0.0002639i,0.00058413+8.1995e-05i,0.00084512+0.00038683i,0.00083645+0.00040715i,0.00059896-0.00031925i,0.00041899-0.0012732i,0.00041395-0.0013277i,9.8924e-05-0.00053208i,-0.00065557+0.00013117i,-0.00082037+0.00034992i,-0.00069967+0.00060912i,-0.00092349+0.00044189i,-0.00088106-0.00026514i,-0.00029019-4.3087e-05i
0.00018858+9.9591e-05i,-0.00058643+0.00054056i,-9.7678e-05-0.00090366i,0.00078044-0.0015293i,0.0014884-0.0015898i,0.0013855-0.0011168i,0.00087251-0.00019556i,0.00011379-0.00032317i,0.0001929-0.00088646i,0.00028688-0.00054146i,-0.00044665-0.0003838i,-0.00079163+0.00012932i,-0.00046246+0.00086686i,0.00038544+0.00057002i,0.00046318+0.00048506i,0.00013017+5.1334e-05i,-0.00056793-0.00035417i,-0.00047972-0.00010607i,0.00039625-2.4758e-05i,0.00022867+0.00013516i,0.00014115+0.0003028i,0.00060857-0.00017075i,0.00040889-0.00078696i
0.00075263-0.0027179i,0.00041753-0.0025399i,-0.00043684-0.0021694i,-0.00013014-0.0018545i,7.6703e-05-0.0009768i,-0.00044471-0.00062451i,-0.00048495-0.00072114i,-9.3214e-06-0.00052382i,0.00060257-6.8694e-05i,0.00050999-9.9931e-05i,-0.00031146-0.00055054i,-2.6422e-05-0.00057776i,-0.00050584-0.00022346i,-0.0009025+0.0004388i,-0.00056393+0.0011584i,-5.8421e-05+0.0010054i,0.0010186+0.00017758i,-7.1877e-05-0.00076394i,-0.00053568-0.00076639i,0.0003382+0.00016157i,-4.0084e-05+0.0011005i,-0.00036084+0.0010127i,-5.8302e-05+0.00047134i
0.00053882-0.00046915i,0.00047507-0.00085904i,-0.0005829-0.00028978i,-0.00089634+0.00064309i,0.00018792+0.00010138i,0.00085678-0.001436i,0.00013969-0.0013985i,-0.00020248-0.00090032i,-8.5969e-05-0.00056661i,-4.2791e-05+7.2616e-05i,-0.00034376+0.00050623i,-0.00055199+0.00054159i,0.00018525+0.0004987i,0.00056674+6.8939e-05i,0.00018573-0.00076837i,-0.00051615-0.00070992i,-0.00058625-0.00038863i,-2.5343e-05-0.0001639i,0.00023157+0.00024576i,0.00023779+9.9532e-05i,-0.00023201-0.00017522i,-0.00067257+0.0001328i,-0.00081467+0.00045356i
-0.0016606+4.3824e-05i,-0.0020676-0.00078652i,-0.0016306-0.0010431i,0.00047327-0.00079475i,0.0014288-0.00049417i,-0.00011164-0.00010882i,-0.00069791+0.00059318i,9.6045e-05+0.00082831i,0.00063325+0.00016267i,0.00041495+4.4094e-05i,0.00039774-3.245e-05i,0.00042336-0.00047704i,0.00049031-0.0010422i,0.000287-0.0012891i,-0.00042713-0.0010579i,-0.00087261-0.00085905i,-0.00082436-0.00052024i,-0.00040903-0.00013772i,6.0993e-05-0.00063131i,0.00064817-0.0011519i,-7.6023e-08-0.0015256i,-0.00054286-0.0010186i,0.00034836+0.00024044i
0.00040804-0.0035343i,0.00019973-0.0034956i,-0.0010221-0.003567i,-0.0012624-0.0021714i,-0.00062048-0.0009241i,-1.459e-06-0.0010654i,-0.00022289-0.0007922i,-9.022e-05-0.00097935i,-0.00024504-0.00071024i,-0.00026377-0.00020697i,-0.00017657+0.00021278i,-0.00073903+0.0003632i,-0.0015463-0.00027597i,-0.0011202-0.00087764i,0.00023422-0.00054399i,0.00081899+0.00017276i,0.00018805+0.00034107i,-9.2902e-05-0.00030841i,-0.00014964-0.00070167i,-0.00055442-0.0010228i,-0.00057288-0.0012611i,-0.00056229-0.00065221i,-0.00044381+6.21e-05i
