-0.00033817+0.00075725i,0.0013843+0.00022151i,-0.00021465+0.00015442i,-0.0013192-0.00023808i,-0.002253+0.0003303i,-0.003112+0.0010013i,-0.0016092+0.001379i,-0.0003527+0.002277i,2.9771e-05+0.0015609i,0.00033795+0.00074165i,0.00025063+0.00015291i,0.00018934-0.00051335i,0.00050012-0.00079347i,0.00029589-0.00077718i,-0.00043108-0.00030867i,-0.00070673+0.00061747i,-0.0011241+0.00086921i,-0.00065604+0.00022578i,-0.00017034-0.00019654i,0.00046215-7.8481e-05i,0.0012268-0.00022493i,0.00052577-0.00087115i,-0.00019466-0.00085038i
0.00072862+0.00098001i,0.00067014+0.001025i,-0.00026042+0.00093367i,-0.0007444+0.0011022i,-0.00024847+0.00044279i,-0.0006207+9.418e-05i,-0.00085705+0.00089795i,-0.0004908+0.0018175i,0.00014495+0.001763i,0.0012481+0.00076709i,0.0010683+9.0058e-05i,0.00023622+8.6544e-05i,0.00021913+0.0002615i,0.00028536-0.00025618i,0.00041983+8.7252e-05i,-0.00024126+0.00035813i,-0.0011043+0.00036641i,-0.00066146+0.0003665i,0.00028465-2.2037e-05i,0.00010346+0.00020709i,6.7437e-05+0.00070095i,0.00011458+0.00019979i,-0.00027688-0.00044893i
0.0010181-0.0021413i,0.00092149-0.0018858i,0.0010025-0.0013087i,0.00011401-0.00067416i,-0.00067631-0.00068537i,-0.00031988-0.00055774i,0.00028668+0.00010717i,0.0009552+0.00072269i,0.0010903+0.00050954i,0.001476-0.00016625i,0.0014305-0.00025907i,0.0013374+5.3961e-05i,0.0012906+0.00043042i,0.00097955+0.00050668i,0.001447+0.00053831i,0.0010849+0.0002063i,0.0005124-0.00016167i,-8.7392e-05-0.0001942i,-0.00079833+0.00027202i,-0.00058757+0.00026273i,-2.4726e-05-0.00029237i,0.00038072+5.8478e-06i,0.00031538+0.00021314i
0.0012161+2.7961e-05i,0.0009171+0.00028919i,0.000106-0.00013064i,-0.00086742-0.001143i,-0.0010352-0.0012264i,-0.00076305+3.4682e-05i,-0.00080695+0.00062064i,-4.5756e-05+0.00098709i,0.000618+0.00050706i,0.00041083-0.00069038i,0.00037011-0.0014384i,0.0009493-0.0013066i,0.00099214-0.00072173i,1.7908e-05-0.00051312i,-0.0010695-0.00021469i,-0.00079379-0.00045454i,-0.00019238-0.00062264i,0.00018729+4.4354e-05i,-0.00022697+0.0006161i,-0.0011225+0.00045886i,-0.00068436+6.4852e-06i,-4.0716e-05-9.7117e-06i,4.1785e-05-0.00033171i
0.0018653+0.00039724i,0.0010851+0.00016273i,0.00056453-0.00051403i,-0.000225-0.00052951i,-0.0010849-0.00040308i,-0.0013642-0.00033596i,-0.00066461+0.0010775i,-0.00047105+0.0018337i,-0.00018885+0.0013127i,0.001129+0.00047883i,0.0012485-0.00010019i,0.00089765+7.5819e-05i,0.0005414+0.00039637i,0.00041421-0.00016544i,0.00065434-0.0008797i,0.00075857-0.001099i,0.00037793-0.00064593i,-0.00024609+7.0089e-05i,0.0005093+0.0005407i,0.00051058+0.00032619i,-4.3857e-05-8.5947e-06i,-5.3137e-05-3.0511e-06i,-0.00030206+0.00018073i
0.0017091+0.00039655i,0.0015656-0.00054504i,0.0018219-0.00017327i,0.0012867+0.00060682i,0.00096036+0.0002378i,-3.4339e-05-0.00062377i,-0.00063766-0.00055413i,0.00027193+3.7911e-05i,0.0014758-0.00031132i,0.0017925-0.0008033i,0.00075335-0.00040481i,-0.00046001-0.00020565i,0.00025612-0.00041707i,0.00063719+0.00012009i,-0.00038917+0.00019634i,-0.00097416-8.5116e-07i,-8.6495e-05+0.00056916i,0.00039078+0.0014242i,-0.00052739+0.0014835i,-0.0013306+0.00058318i,-0.00037988+0.00039511i,0.00060037+0.0004737i,0.0001526+0.00041925i
0.00052546+0.00053163i,0.0012184+0.00045058i,0.0025735+0.0009682i,0.0023159+0.0010638i,0.0006636+0.0005406i,-0.00046526+0.0001007i,-0.00033397+0.00038822i,0.00055405+0.001048i,0.0012864+0.00061549i,0.0017065+1.3946e-06i,0.0013731-0.00028277i,0.00048378-0.0010166i,0.0008803-0.0012368i,0.0009729-0.00075492i,0.00021961-0.00071642i,-0.00024424-0.00060724i,-0.00062149-0.00033932i,-0.00015396+4.4874e-05i,0.0004104-5.2735e-05i,-3.064e-05-2.5737e-05i,-0.00062506-0.00013175i,-0.00080273-0.0002416i,-0.00082806-0.00051101i
0.0034777-0.0020084i,0.003118-0.0015338i,0.0027635-0.0027132i,0.0013749-0.0028066i,-6.3257e-05-0.001132i,-0.00076686+0.00061979i,-1.0973e-05+0.0012366i,0.00075369+0.00032798i,0.00099297+5.7199e-05i,0.00063183-0.00034826i,0.00068412-0.00092586i,0.0013444-0.00080244i,0.0012217-0.0010967i,0.00050448-0.00078954i,-0.00017776+0.0006099i,-0.00061549+0.0018587i,-0.0003966+0.0019403i,-0.00030286+0.0012209i,-0.00049644+0.00086775i,-0.0007351+0.00078666i,-0.00031004+0.00088192i,0.00014387+0.00070282i,0.00014756-0.00049816i
-0.00047352-0.0017579i,-0.00053122-0.00075485i,-0.001253+0.00091007i,-0.0016499+0.0015439i,-0.0016168+0.0014688i,-0.0020148+0.0012865i,-0.0017565+0.00049295i,-0.00066696+0.00078549i,0.00063543+0.00098495i,0.001279+0.0001589i,0.0013328-0.00067171i,0.0013352-0.00012167i,0.00070809+0.00068607i,-0.00035631+0.0004955i,-0.0010281+0.00052992i,-0.0014559+6.774e-05i,-0.0010526-4.5173e-05i,-0.00042642+0.00038247i,-0.00013331+0.0002148i,-9.5033e-05+0.00019921i,0.00027246+0.00036988i,0.00031094+1.3178e-05i,0.00041741+4.1158e-05i
0.0024412+0.0010593i,0.0028859-0.00019259i,0.00328-0.0010356i,0.0025339-0.0016139i,9.5086e-05-0.0019134i,-0.0011932-0.0013023i,-0.00044308+0.00032376i,0.0011868+0.00079105i,0.0019253+4.3579e-06i,0.0016182-0.00095525i,0.000762-0.0014942i,0.00036126-0.0016979i,0.0012598-0.0018364i,0.00086366-0.001285i,-0.000333-0.00030516i,-0.00022616+0.0004211i,-0.00033561+0.0010291i,-0.00032521+0.00071523i,-0.00025132+0.00046084i,-0.00034158+0.000406i,0.00016485+0.00029293i,0.00071436-0.00026693i,0.00022005-0.00054544i
0.00079802-0.0023398i,0.0012817-0.002856i,0.0010563-0.0025931i,0.00067146-0.0022918i,-0.00054196-0.0016865i,-0.0018102-0.00052669i,-0.0016011+0.0001249i,-0.0009052+0.00066211i,0.00042233+0.0011199i,0.0013504+0.0010275i,0.0015097+0.00038701i,0.0014936+0.00067837i,0.00010334+0.0009799i,-0.0010142+0.00025039i,-0.00077918-0.00063742i,4.1777e-05-0.0012299i,0.00028804-6.8322e-06i,-4.4729e-05+0.0015296i,-0.00050873+0.0012696i,-0.00092215+0.0010613i,-0.0008255+0.00069912i,-0.00058141-0.00034946i,-0.00049722-0.00049437i
