-0.0025938+0.0014952i,-0.0018796+5.3705e-06i,-0.0032678-0.00020808i,-0.0029176-5.8162e-05i,-0.0013569+0.00015054i,-0.00069697-3.9131e-05i,-0.00064091+0.00033233i,-0.0004778+0.0015722i,0.00028862+0.0020448i,0.0010526+0.001256i,0.001181+0.00063129i,0.0012961+0.00065842i,0.00055759+0.00019469i,0.00018352-0.00012268i,0.00045941+0.00019247i,0.00081+0.00041421i,0.0007314-0.00020408i,0.00025546-0.0010277i,0.00086462-0.00055409i,0.0018113+0.00032728i,0.0016039+0.00045251i,0.00019938+0.00015574i,0.00021167-0.00024381i
0.00050568+0.001375i,-0.00095036+0.0027332i,-0.0003597+0.0021743i,0.00025795+0.0013951i,0.00020185+0.00063111i,0.00018627-0.00031447i,-0.00029816-0.00066398i,-4.6644e-05-0.00010693i,0.00032581+0.00078682i,0.00048372+0.00053493i,0.00070131+0.00016138i,0.00042127+0.00095863i,-1.8994e-05+0.00085625i,-0.00043149+6.6394e-05i,-0.00017884-0.00037094i,0.00034591-0.00014863i,0.0005539+0.00073312i,0.00033038+0.0006678i,7.9861e-05-0.00025573i,0.00043621-0.00073574i,0.00097936-0.0011297i,0.0012277-0.00089358i,0.001102-0.00053141i
0.0020356-0.00079302i,0.001524-0.0012123i,0.0010562-0.0013751i,0.00091007-0.0010753i,0.00052659-0.0012067i,-0.00048013-0.0013771i,-0.0018242-0.0012882i,-0.0015573-0.0013561i,-0.00032444-0.00089632i,0.0003731+2.1062e-05i,0.00050796+0.0006315i,0.00060553+0.00035695i,0.00047081-0.00029014i,0.00014092-0.00071693i,-0.00012194-0.0010021i,-0.00014508-0.0011291i,0.00065789-0.0009856i,0.00062589-0.00082663i,-0.00056205-0.00030062i,-0.00077229+0.00026902i,-0.0003604+0.00045788i,7.8659e-05-1.3499e-05i,-9.1636e-07-0.00053121i
-4.6571e-05+0.0017754i,0.00084489+0.0019841i,0.00040169+0.0019198i,0.00080252+0.0012411i,0.0014902+0.00017705i,0.0017832-0.0010797i,0.0013778-0.0014087i,0.00084863-0.00079191i,0.00089656+6.4143e-05i,0.00086074+0.00065887i,0.00074285+0.00064528i,0.00084279+0.00027121i,0.00057443+0.00017557i,0.00012563+0.00052769i,0.00025973+0.00038533i,0.00028548+8.1539e-05i,3.2437e-05+0.0001381i,0.0005467+0.00042933i,0.00071528+0.00055273i,0.00064523+3.7539e-05i,0.00091462-0.00033758i,0.00087669-0.00034966i,0.00055144-0.00015048i
-0.00043514-0.0018217i,-0.00094162-0.0014586i,-0.00059451-0.00099568i,-0.00063029-0.0012135i,-0.00064421-0.0019067i,5.0455e-05-0.0016156i,-3.2496e-05-0.0011131i,-0.00052506-0.0011451i,-0.00033625-0.00051572i,0.00077034-3.3528e-05i,0.0016754+0.00017739i,0.0013013+0.00018625i,0.0011188+0.0001722i,0.0010965-0.00023349i,0.00070698-0.00081252i,2.6064e-05-0.00037101i,-0.00049763+0.00010757i,0.00016764-0.00027908i,0.00057973-0.00078711i,0.00032674-0.00040773i,0.00026328+0.00044104i,-0.00018595+0.0006912i,-0.00079151+0.00022352i
-0.00054173-0.0018902i,0.00029833-0.0018086i,-0.0005196-0.00026831i,-0.0011229+0.00083791i,-0.00017922+0.0017287i,0.0002322+0.0011648i,0.0005631-0.00040061i,0.00043615-9.8186e-05i,-0.00033776+0.0010716i,-4.0108e-05+0.0015595i,0.00052592+0.0018968i,0.00039394+0.0019468i,0.00049454+0.001774i,0.00048877+0.00096457i,0.00017584+0.000102i,-0.00020635-0.00027849i,-0.00018684-0.0003649i,0.00036312-0.00061963i,0.00098508-0.0012776i,0.00026288-0.0013373i,-0.00013582-0.00070071i,-0.00024145-1.4071e-06i,-0.00029595+0.00050463i
0.0012068-0.00035059i,0.00081893+0.00026126i,0.00046302-0.00066114i,0.00063022-0.0010541i,0.0014496-0.0022611i,0.0013166-0.0030322i,0.00019367-0.0016504i,-0.00078566-0.00057674i,-0.0006094-0.0001759i,0.00035504+0.00036448i,0.00084311+0.0010214i,0.00058108+0.001258i,0.00024043+0.0015929i,0.00047503+0.00073735i,0.00017663-0.00071051i,-0.00024831-0.00082228i,0.00017792-0.00035592i,0.0002785-0.00030462i,0.00073995-0.0011093i,0.0010441-0.0012477i,0.00043169-0.00033829i,-0.00027439-0.00023945i,-0.00032722-0.00027242i
-0.0031662-0.00029975i,-0.0024337-0.00024727i,-0.0028462+0.00050854i,-0.0010459+0.001463i,0.00075243+0.0015827i,0.00070888+0.00020136i,-0.0001725-0.0011763i,-0.001259-0.00078677i,-0.0016589+0.0005671i,0.00023339+0.00077354i,0.0019185+0.00052719i,0.00091899+0.00047261i,0.00010968+0.00033509i,0.00057074+0.00024102i,0.00093268-0.00050761i,0.00096077-0.00090742i,0.00014611-0.0006217i,-0.00022734-0.00081569i,0.00071021-0.00096735i,0.00078427-0.00069991i,0.0004382-0.00057508i,0.00022659-0.00039826i,-0.00046561+0.00027726i
0.00073675-0.00094077i,0.0013518-0.00080565i,0.0002259-0.00020848i,0.00040241+0.00036622i,0.00094967-0.00017456i,0.00012618-0.0011426i,-0.00051901-0.001362i,-0.00054567-0.00048668i,6.9576e-05+0.00046742i,0.00052731+0.0010418i,0.00027455+0.00055001i,-0.00023182+0.00021333i,-0.00014164+0.00054722i,0.00016165+0.00085626i,-0.00048425+0.00061528i,-0.00072557+0.00036308i,-2.1717e-05+0.00025274i,0.00040141-0.00055796i,0.00065351-0.00087533i,0.00081428-0.00063775i,0.0011288-0.0010442i,0.0010661-0.0010317i,0.00040677-0.00047843i
0.0017042-6.0345e-05i,0.00092258-0.00079171i,0.001405-0.0015028i,0.0020476-0.0013724i,0.0013801-0.0012493i,0.00093946-0.0013307i,0.00093128-0.00098952i,0.00014199-0.0008578i,-0.00043188-0.00039727i,-0.00018468+0.0002889i,0.00043798+0.00071748i,0.00087756+0.00058391i,0.00092163-5.6844e-05i,0.00024343-0.00056091i,-0.00011609+0.00020876i,0.00033466+0.000619i,0.0009003-1.3285e-05i,0.0016639-0.00015542i,0.0010004-9.2222e-05i,-6.9903e-05-0.0004921i,-9.9177e-05-0.00052306i,-0.00011829-7.2764e-05i,-4.0296e-05+0.00028134i
-0.00069054-0.0002176i,0.00032353-0.00081547i,-0.00010581-0.001301i,-0.00021157-0.00077989i,0.00019836-0.00065958i,-0.00030115-0.0014915i,-0.00040574-0.0019041i,0.00020725-0.00084659i,0.00051973-0.00041424i,0.00020553+0.00061297i,0.00039618+0.0014506i,0.00076364+0.00050658i,0.00079275-6.4976e-05i,0.0008847+0.00053681i,0.00073459+0.0010239i,0.00032078+0.00074349i,-0.00026223+0.00037899i,-0.00047618+0.0004519i,-0.00018915+0.0005417i,0.00088542-4.7244e-05i,0.0014005-0.00054802i,0.00038539-0.00025548i,-0.00056096-0.00080863i
-0.00051326-0.00092675i,-0.00050867-0.00016719i,-0.00069154+0.00021863i,-0.00050915+0.00020418i,0.00013651+6.4332e-05i,0.00084979-0.00043052i,0.00093431-0.0010313i,0.00053303-0.00057335i,0.00058199+0.00048427i,0.00073636+0.0011746i,0.00053115+0.0019044i,0.00077141+0.0019095i,0.0012607+0.00093252i,0.00082871+0.00068864i,0.00063674+0.001009i,0.00076552+0.0013281i,0.00061065+0.0012529i,0.00083605+0.00099133i,0.001046-8.3925e-05i,0.0010554-0.0012901i,0.00032769-0.00082511i,-0.00040686+0.00016145i,-0.00023257+0.0001601i
-0.00027154-0.0017162i,-0.00082466-0.00065156i,-0.0018205-0.00072962i,-0.0010887-0.00024901i,-0.00039369-0.00030751i,-6.2922e-05-0.00033658i,-0.00022297-0.00012964i,0.0001442-0.0002032i,0.00072185+0.00012687i,0.00062745+0.00039647i,0.00079642+0.0004496i,0.0012444-0.00022469i,0.00088074-0.00068426i,-2.6479e-05+3.552e-05i,-0.00061795+0.00024947i,-0.00058011-0.00012002i,-0.0005575-0.0002598i,-0.00033442+0.00015237i,7.3729e-05+0.00034654i,0.00041401-0.0001935i,0.00045604-1.0583e-06i,0.0002728+0.00028063i,3.5753e-05-0.00022908i
0.001358-0.0016088i,0.001021-0.0021428i,0.0016522-0.001787i,0.0016178-0.0008116i,0.0009585-0.00075563i,0.00025676-0.0020046i,-5.0341e-06-0.0022106i,-0.0004721-0.0012048i,-0.00071972+3.8794e-05i,-0.00018626+0.0010504i,0.00056129+0.0015334i,0.00073676+0.001085i,0.00065145+0.0005111i,0.00057941+0.0010102i,0.00045524+0.00099933i,0.00094006+0.00037496i,0.0012864-0.00020071i,0.00064459-0.00078662i,-4.9271e-05-0.0010991i,4.0433e-05-0.00072741i,2.4818e-05-4.6246e-05i,8.459e-05+5.8577e-05i,0.00018479-0.00047524i
-0.0014433+0.00041545i,-0.0010064+6.0673e-05i,-0.0017058+0.00057507i,-0.001604+0.0010099i,-0.00028496+0.0010518i,-5.8735e-05+0.00089969i,-0.00052354-3.5349e-05i,-3.3534e-05+0.00014423i,-0.00047094+0.0013223i,-0.0001404+0.0015554i,0.00080973+0.001932i,0.00059932+0.0019749i,0.00011916+0.0012321i,0.00010908+0.00081722i,-0.00017251+1.445e-05i,-0.00029005-0.00082103i,0.00026574-0.0010912i,0.00047133-0.0015242i,0.00058753-0.0011199i,0.00098798-0.0007878i,0.00037622-0.00040763i,-0.00081528-0.00075916i,-0.00092742-0.0010246i
-0.0018909-0.00083155i,-0.0017186-0.00043135i,-0.0021901-0.00031705i,-0.0017766+0.00017834i,-0.00061839+3.5014e-05i,0.00060229-0.00089928i,0.0010235-0.0012936i,0.00031-0.00017451i,0.00021661+0.0014581i,0.00067538+0.0014291i,0.00088968+0.0010172i,0.00099539+0.0014127i,0.00041058+0.0019981i,-0.00027162+0.0018282i,0.00087932+0.000563i,0.0011911+0.0002607i,0.00040321+0.00088059i,9.7681e-05+0.00029113i,0.00054079-0.00039048i,0.00057008-0.00031304i,-0.00018522-0.00031392i,-0.00043787+5.5973e-05i,-0.00068685+0.00056078i
0.00069724+0.0004591i,0.0014153+0.0011307i,0.0017246+0.0016529i,0.0018505+0.0019292i,0.0020424+0.0010591i,0.0017202-0.0001056i,0.00088375-0.00059908i,0.000376-0.00015153i,0.00073693+0.00088018i,0.00081497+0.0015505i,0.00051388+0.0014439i,0.00075385+0.0014305i,0.00082946+0.0015333i,0.00093066+0.0011408i,0.00057414+0.00093685i,-0.00039061+0.00059026i,-0.0010947+0.0002824i,-0.0009308+2.2592e-05i,-0.00019699-0.0003215i,-0.00017086-0.00044983i,-0.00061104-0.0011803i,-8.29e-05-0.0013901i,-0.00015924-0.00042523i
-0.0024747+0.00020445i,-0.0021671+0.0011193i,-0.0026074+0.0013253i,-0.0021477+0.00021114i,-0.00023773-0.00068714i,0.0010004-0.0017655i,0.00051606-0.0020663i,-0.00035964-0.00091911i,-0.00055138+0.00052848i,6.5699e-05+0.0013285i,0.00054945+0.0014171i,0.00055854+0.0016894i,0.00023928+0.0022451i,0.00043524+0.0015614i,0.0014314+3.5465e-05i,0.0011746-0.00023275i,0.00096806-0.00011098i,0.0013639-0.0010314i,0.00094282-0.0010073i,0.00089561-0.00086428i,0.0012039-0.00032378i,0.00090909+0.0006345i,0.00013146-0.00036482i
0.00038178-0.00050399i,0.00086946-0.00084555i,0.0009949-0.0013761i,0.0010738-0.001469i,0.0010881-0.00083687i,0.00051262-0.00099305i,4.0241e-05-0.0015299i,-0.00065793-0.0011819i,-0.00038006-0.00052475i,0.00032839+0.00058853i,0.00073519+0.001251i,0.0012388+0.00084796i,0.0010028+0.00069427i,0.00076958+0.00075928i,0.00073578-0.00057063i,0.00080733-0.00075621i,0.00053795-0.00020066i,0.00054061+4.1947e-05i,0.00060386+9.4328e-05i,6.834e-05-0.00010956i,0.00039658-0.00061699i,0.00055341-0.0012519i,-4.1357e-05-0.0012943i
-0.0020059+0.0028376i,-0.0011776+0.0029435i,-0.00060721+0.0036163i,-0.00034919+0.0023615i,0.00076395+0.00014049i,0.00096627-0.0011187i,-0.00024164-0.0016096i,-0.0015994-0.00089521i,-0.0011253+0.00015585i,0.00030507+0.00059906i,0.00046856+0.0012059i,3.1634e-05+0.0013398i,0.0001169+0.0009793i,0.00061532+0.00067602i,0.00015417+0.00020136i,0.000234-0.00055888i,0.00081028-0.000795i,0.0012287-0.00064374i,0.0015025-0.0013671i,0.00057036-0.0014331i,8.8268e-06-0.00087825i,0.00045334-0.0011138i,0.00044728-0.0012495i
-0.0015317-0.0031436i,-0.0012263-0.0033658i,-0.0023536-0.0028156i,-0.0025679-0.001773i,-0.00084983-0.00063637i,0.00059412-0.00033112i,0.00034761-0.00067059i,-0.00020978-0.00094618i,-0.00019634+3.8525e-05i,-3.0419e-05+0.00094152i,0.00031705+0.00142i,-8.6898e-05+0.0014956i,-0.00074079+0.0017627i,-0.00040947+0.0015434i,0.0004231+0.00034061i,0.00097304+0.00036433i,0.00097334+0.00067397i,0.00056968+0.00017871i,-2.1231e-05-0.00035861i,-0.00016752-0.00032909i,-0.00035574-0.00035518i,-0.00013637-0.00025874i,-7.1473e-05-6.6155e-05i
0.0013978+0.0013927i,0.0011654+0.0012894i,0.00028405+0.0001163i,0.00080143-0.00052734i,0.00045769-0.0011688i,9.1886e-05-0.0010239i,-0.0003644-0.0010683i,-0.0012343-0.00079051i,-0.0006185+0.00073692i,-0.0003148+0.0017127i,-4.4905e-05+0.0021355i,0.00048043+0.0019964i,0.0001067+0.0012503i,-5.9642e-05+0.00049755i,0.00044046+6.8004e-05i,0.00030745-0.00078759i,7.7043e-05-0.00058411i,0.00036565-7.7424e-05i,0.0005115-0.00061599i,0.00045944-0.0010878i,0.00021482-0.00078472i,0.00028397-0.00012176i,-0.00015893-0.00024356i
-0.00068413+0.0042414i,-0.0018106+0.0037419i,-0.0016895+0.0043211i,-0.00026801+0.0028686i,0.0010856+0.00026112i,0.0010011-0.0015982i,0.00021782-0.0014334i,2.1776e-06+0.00021871i,0.00070896+0.001664i,0.00083869+0.0019368i,0.00063215+0.0012717i,0.001691+0.0012842i,0.0017028+0.0014501i,0.0010994+0.0013476i,0.00081412+0.0013076i,0.00054556+0.00069921i,-1.3744e-05-0.00016243i,7.027e-05-0.00030807i,0.00063623+0.00013547i,0.00056031-0.00031792i,0.00056379-0.00044064i,0.00036112+0.00022129i,-0.00019038-0.00011613i
0.0013121-0.0011933i,0.0026178-0.001473i,0.0022983-0.0019563i,0.0020159-0.0012328i,0.00094746-0.0010359i,-6.1796e-05-0.0014101i,-0.0006584-0.0011349i,-0.00094375-0.00078711i,0.00028081+6.7233e-05i,0.00093886+0.00059258i,0.00090534+0.00066668i,0.0009561+0.0015163i,0.00074039+0.0015225i,0.000613+0.00056471i,0.00043465-7.0415e-05i,-0.00012526-6.9283e-05i,-0.00061312-6.1818e-05i,-0.00023053+2.3765e-05i,-0.00015717+0.00031979i,-0.00059723+0.00025055i,-0.00074049+0.00039273i,-0.00030641-0.00014502i,-5.0068e-05-0.00016744i
-7.1258e-05+0.0028471i,-0.0013603+0.0025906i,-0.0020308+0.0021114i,-0.0010483+0.002386i,0.00032397+0.0011671i,0.00073326-0.00095743i,0.0001564-0.0012955i,-0.00018489-0.00076214i,-1.8063e-05+0.00016614i,0.00035356+0.0018892i,0.00074271+0.0020281i,0.0003795+0.00099316i,0.00083041+0.00088676i,0.0012003+0.00023582i,0.0010594-0.00063946i,0.00080273-9.6996e-05i,0.00081925+0.00027248i,0.0011812-0.00065753i,0.0010704-0.0014512i,0.00088383-0.0010402i,0.00017602-0.00026868i,-0.00040209-0.0001772i,-4.4873e-05-0.00034525i
-0.00079373+0.00066881i,-0.00071093+0.00073766i,-0.0003713+0.00019488i,-0.00067044-0.00072247i,-0.00034462-0.0013694i,0.00048737-0.0013841i,0.00041352-0.001328i,-0.0005049-0.00055839i,-0.00053195+0.00038968i,0.0002194+0.00053187i,0.0011695+0.0011494i,0.0015752+0.0012169i,0.0014591+0.00095173i,0.0015381+0.00032693i,0.0014703-0.00090899i,0.00066649-0.00079676i,0.00042016-0.00017254i,0.00092085+2.5627e-06i,0.0010733-6.6916e-05i,0.0010379-0.00069475i,0.0013119-0.0010079i,0.0010389-0.0014405i,0.00035348-0.0010923i
-0.0024348-0.00080443i,-0.0027974-0.00069078i,-0.0011883-0.0001576i,0.0005064+0.00056074i,0.0017059+0.00025255i,0.0015738-0.00082964i,0.00028759-0.0010838i,-0.00091183-0.0001436i,-0.00077295+0.00064073i,-0.00012744+0.001267i,0.00087039+0.001451i,0.0016392+0.0011006i,0.0008683+0.00052147i,0.00089581+0.00020814i,0.0013815-0.00018033i,0.0010419-0.00032578i,0.00083872-0.0006446i,0.00067025-0.00062202i,0.00013589-0.00087495i,-0.00072961-0.0007136i,-0.0012442-0.00018663i,-0.000962+0.00031437i,-0.00051505+0.0002875i
0.00043385+0.00053901i,-0.00065772+0.00044616i,-0.00097254+0.00050518i,-0.00087277+1.5176e-06i,-0.00042082-0.00081718i,-9.7809e-05-0.0010087i,-0.0003152-0.0017748i,0.00020863-0.0019552i,0.00044478-0.00071092i,0.00034613+0.00093871i,0.00069236+0.0014796i,0.00080379+0.001226i,0.00063668+0.0006473i,0.00094353+0.00034161i,0.0010814+0.00060585i,0.0011618+0.00050879i,0.0011008+0.00028042i,0.00056859-9.836e-05i,0.00022187-0.00035408i,-3.601e-05-0.00019035i,-0.00029623+8.6809e-05i,-0.00065898+0.00010929i,-0.00053711-4.6203e-05i
0.00049234+0.00099824i,0.0001461+0.00043689i,-0.00036266+0.00035706i,0.00082684+0.00030372i,0.0014382-0.00039829i,0.00073609-0.0011231i,-0.00061212-0.00079484i,-0.00093331-0.00017644i,-0.00048042+0.00025392i,-0.00045895+0.0010302i,-0.00038721+0.0010726i,-0.00016541-0.00013638i,-0.0005444-0.00064492i,-0.00051276-0.00036124i,0.0007017-0.00046907i,0.00099704-0.00044792i,0.00034076-0.00044886i,0.00029814-0.00066954i,0.00062913-0.00071296i,0.00053928-0.00032439i,-7.949e-05+0.00011953i,-6.1156e-05+5.0629e-05i,0.00018128+7.2109e-05i
-0.00091462+0.00011815i,0.0001449+0.00012758i,7.7153e-05+2.8089e-05i,0.00040368+0.00028279i,0.00089051+0.00054292i,0.0010226-0.00020313i,0.00072018-0.0013487i,0.00019046-0.0006722i,8.3883e-05+0.00087959i,0.00060356+0.0013169i,0.00048009+0.0013306i,0.00055493+0.001305i,0.00079046+0.0013788i,0.00076753+0.0013548i,0.001249+0.0011179i,0.0010297+0.00021479i,0.0012437-0.00054818i,0.0011881-0.0005114i,0.00058006-0.00097352i,0.0008725-0.00083857i,0.00050773-3.1031e-05i,-0.00063423+0.00037702i,-0.0010495+6.0743e-06i
-0.00027591+0.00049642i,0.00032942+0.00088936i,0.00044291+0.00053622i,0.00036291-0.00038004i,0.00044448-0.0013535i,0.0001999-0.0023988i,0.00029921-0.0021276i,2.2832e-05-0.00076574i,-0.00036371+0.00020636i,0.00010994+0.00067953i,0.00099307+0.00091215i,0.0012115+0.00069979i,0.0013779+0.00093646i,0.0011373+0.0010298i,0.00011608+0.00049024i,-2.7424e-05+0.00071448i,0.00059159+0.00077164i,0.00033122+0.0004768i,0.00040801-0.00057537i,0.00018749-0.00086809i,-0.00091989+1.8875e-05i,-0.00073087-0.00044505i,-0.00015812-0.0013221i
0.00034849+0.0018253i,0.00029088+0.0024482i,0.00044445+0.0027819i,0.00071547+0.0019458i,0.00089696+0.00066477i,0.00084319-0.00091295i,0.00038782-0.00093349i,6.4566e-05+4.9617e-05i,0.00016676+0.00068482i,0.00021343+0.0010915i,0.00025392+0.0011736i,0.00058958+0.0010659i,0.0014006+0.00099019i,0.001879+0.00019731i,0.0014491-0.00058527i,0.0005969-0.00075319i,0.00059757-0.0010609i,0.00026478-0.00072329i,-0.00037665-0.00090964i,-8.9642e-05-0.00096353i,-4.5329e-05-0.00039229i,-0.00059487-0.0002319i,-0.0014408-0.00034492i
0.00037367-0.0030339i,-0.00094917-0.0024475i,-0.0014041-0.001539i,-0.0011948-0.0011452i,-0.00055129-0.00073109i,-0.00052608-0.00032191i,-0.00050167-0.0011284i,8.3292e-05-0.001428i,0.00021592+2.7418e-05i,0.00055578+0.0012852i,0.00074862+0.001362i,0.0002107+0.0011617i,-0.0003488+0.0011383i,-0.00023772+0.0008028i,0.00019691+0.0005828i,0.00013332+0.0003444i,0.0011707-0.00033877i,0.0013592+3.2825e-05i,0.00030039+0.00010447i,-0.00029696-0.00077724i,0.00020283-0.0012833i,0.0011746-0.0010262i,0.0007674-0.0011705i
