-0.0018372+0.0015117i,-0.0026575+0.0014668i,-0.0019751+0.0013235i,-0.0016842+0.00040113i,-0.001536+0.00044434i,-4.3846e-05+0.0012682i,0.00058538+0.0020009i,0.00099688+0.0013575i,0.0013506+0.0006581i,0.0014639+0.00099607i,0.0014284+8.8361e-05i,0.0005678-0.0011474i,0.00032685-0.00071129i,0.0002756-0.00027763i,-7.7113e-05-0.00028954i,-1.383e-05+0.00017894i,0.00022596+0.00038705i,0.00053848+0.00064845i,-3.8827e-06+0.00057057i,-0.00023965-0.00024375i,0.00057584-0.00037238i,0.00062091+6.6361e-06i,-0.00016999-7.3893e-05i
1.5829e-08+0.00010837i,0.00080044+0.0002666i,0.00069007+0.00011217i,1.4201e-05+0.00047275i,-0.00013131+0.0013331i,0.00031655+0.0023353i,0.00066926+0.0021991i,0.00027719+0.0016532i,-0.00011915+0.0014575i,-0.00038759+0.00032344i,-0.0005621-0.00075069i,-9.1654e-05-0.0013354i,0.0010138-0.0013142i,0.00055493-0.00033323i,5.1864e-05+0.00022431i,0.00066785+0.00017368i,0.00099017+6.3079e-05i,2.8568e-05-0.00037785i,-0.00053923-0.00031653i,-5.8535e-05+0.00049845i,0.00053353+0.00044637i,0.00047596+0.00048603i,0.00026435+0.0011514i
-0.0010362-0.0010151i,-0.0018111-0.00080354i,-0.0014915+0.0005603i,-0.00071331+0.0018688i,0.00016344+0.0017496i,0.0011194+0.00078962i,0.0013566+0.00050041i,-0.00022264+0.00039981i,-0.00073964+1.0264e-06i,0.0002309+0.00012982i,0.00020334+0.00031788i,-0.0002511-0.00023212i,-0.00039669-0.00038721i,-0.00013721-0.00021724i,0.00022537+5.1178e-05i,8.7479e-05+0.00042882i,7.538e-06+0.00012914i,-0.00032764+0.00065322i,-0.00054303+0.00089391i,-2.4908e-05+0.00030712i,0.00023082+0.00057853i,0.00030866+0.00072456i,5.0884e-05+0.00047719i
0.00055959+0.0012704i,-0.00023052+0.0011437i,-2.0902e-05+0.00059981i,-0.00029079+0.00035991i,-0.00032729+0.00044261i,-0.00026441+0.00069414i,-0.00050154+0.0015424i,-0.00065657+0.0018229i,-0.0001267+0.0015302i,0.00018377+0.00082918i,0.00030702-0.00063567i,0.0003258-0.0012041i,7.9636e-05-0.0010479i,-0.00052878-0.00097146i,-0.0007596-0.00087141i,-0.00020442-0.00042709i,0.00021197+0.00018173i,-8.3991e-05-0.00022659i,-0.00019232-0.00036869i,0.00072023-0.00011659i,0.0015186+0.00017575i,0.0011554+0.0010285i,0.0005225+0.00080162i
0.00067256-0.0021106i,0.0010965-0.0021369i,0.00012033-0.00046582i,-0.0013222+0.00054866i,-0.0013391+0.00088241i,0.00058098+0.0015074i,0.0013234+0.0014823i,0.0004733+0.00046619i,-0.00019728-0.00024628i,-0.00013839-0.00040724i,0.00041827+0.00012472i,0.00047385+0.00053756i,0.000332+8.6573e-05i,0.00097435-0.00015575i,0.0016441+8.6339e-05i,0.0010329-9.2852e-05i,5.357e-05-8.9175e-05i,0.00060082-0.00046738i,0.0012201-0.00064776i,0.0010304-0.0007751i,0.00086661-0.0002889i,0.00066756-0.00021312i,0.0008173-0.00046257i
-0.0011513-0.0012361i,-0.0026901-0.00098656i,-0.0029382-0.0012703i,-0.0022099+0.0002083i,-0.0010892+0.0012602i,0.0004205+0.0018019i,0.0010127+0.0016961i,0.0013154+0.00017309i,0.0012233-0.00040437i,0.00048511-0.0003703i,0.00035002-0.00047124i,0.00021282-0.00023621i,0.00058915+0.00085718i,0.00050742+0.0013356i,0.00061356+0.00052005i,0.000978+0.00076006i,0.00029202+0.0015788i,-8.9959e-05+0.0013175i,0.00027253+0.00024843i,0.00021859-0.00049394i,-0.00089522-0.0004405i,-0.001011+0.00021411i,-0.00067041+0.00043752i
0.0014347+0.0021233i,0.0011882+0.0019188i,0.00010024+0.00083272i,-0.0007522+0.00065362i,-0.00017903+0.00051667i,0.00040856+0.000694i,0.00016289+0.0005916i,0.00067433+0.0004759i,0.0015107+0.00036027i,0.0014918-0.00036381i,0.00048066-0.00031895i,-0.00069849-0.00058583i,-0.00039244-0.0010771i,-0.00029702-0.00079653i,-0.0014216+5.8775e-05i,-0.0013947+0.00039594i,-0.0010602-5.7336e-06i,-0.0005672+3.9281e-05i,-0.0001776-8.06e-06i,0.00024888-0.0003657i,0.0004747+0.00082537i,0.00011312+0.001371i,-0.00042502+0.00014145i
0.0014698+0.000426i,0.0018383-0.0006954i,0.0024409-0.0014365i,0.0017587-0.00094724i,0.00097397-0.00023782i,0.00090953+0.00050662i,0.00060319+0.0010394i,0.00032334+0.0011046i,0.00033746+0.00049235i,8.5791e-05+0.00011836i,-0.00065012+0.00013569i,-0.0010522+0.00075705i,-0.001086+0.001187i,-0.001092+0.00012919i,-0.00057158-9.5222e-05i,0.00015521+0.00055027i,0.00040435+0.00026094i,-1.7037e-05+0.00070202i,0.00010216+0.00090909i,0.00027267+0.00023169i,-0.00046301+0.00049084i,-0.00082639+0.00046912i,-0.00077629-0.00015077i
-0.0017577-0.00088869i,-0.0024655-0.00049149i,-0.0028922+0.00032676i,-0.0029769+0.00088978i,-0.001519+0.0010041i,0.00036215+0.0017929i,0.00050037+0.0015058i,0.00045264+0.00048032i,0.00069193-0.00015743i,0.00036797-0.00030762i,0.00030974-0.00051223i,0.0015348-0.00061278i,0.0014843-0.0001764i,0.0013632-0.00051879i,0.00094882-0.00098255i,0.00018507-0.00065812i,-0.00012623+0.00015161i,-0.00026168+0.00038873i,-0.00015621+0.00022249i,1.4145e-05+0.00034473i,0.00042979+0.00033406i,0.00040069+0.00091667i,-0.00036346+0.0013262i
-0.00079636+0.0022807i,0.00067876+0.0031801i,0.0009998+0.003209i,0.00020295+0.0021402i,0.00096804+0.0012422i,0.0020874+0.00036169i,0.0018289+0.00023955i,0.00032342+4.1115e-05i,-0.00084405-0.00032117i,-0.00072853-0.00016727i,-0.00026628-0.00048496i,0.00018667-0.00083038i,0.00030979-0.0010148i,0.00060099-0.0010166i,0.001073-0.00079926i,0.0007178-0.00037184i,0.00046723-0.00040124i,0.0004744-0.00070234i,-0.00028819-0.00012437i,-0.00088771+0.00063861i,-0.00049968-9.8922e-05i,-0.00013308-0.0005833i,-0.00020723-0.00060646i
-0.0004079-0.0010526i,-0.00093114-0.0016211i,-0.0015483-0.0013788i,-0.0013904+0.0002111i,-0.00048236+0.0010503i,0.00090773+0.00038109i,0.0015884+0.00099786i,0.00094702+0.001846i,9.4292e-05+0.0010388i,0.00049655-0.00013666i,0.0014743-0.00040418i,0.0011059-0.00034783i,0.00043516+0.00018398i,-0.00011482+0.00088278i,-0.0010894+0.0013454i,-0.0010057+0.0013122i,0.00023188+0.001021i,0.0014988+0.00042349i,0.0017191-9.8033e-05i,0.00080325-7.8935e-05i,6.7132e-06-0.00045566i,-0.00078189-0.0008674i,-0.0003813-0.0006971i
-0.0015666+0.0018555i,-0.0020255+0.0022592i,-0.0013347+0.0029075i,-0.00087972+0.0014559i,-0.00045663+0.00024785i,0.00025189+0.0013543i,0.00017034+0.0023686i,-0.00036104+0.001713i,-0.00037173+0.00043431i,0.00026091-0.00020478i,0.00098207+7.6359e-05i,0.0015789+0.00051105i,0.0015971+1.0586e-05i,0.0010186-0.00069446i,0.0002883-0.00060054i,0.00044729+0.00021916i,0.00056883+0.00038167i,0.00029353-0.00054892i,0.00049398-0.0014504i,0.00039662-0.0011484i,0.00033801-0.00070651i,0.00085134-0.0008226i,0.00088833-0.00037533i
0.0029452-0.0020769i,0.0039013-0.001778i,0.0032878-0.00055287i,0.0014015+0.00045827i,0.00017372+0.00097843i,0.00044961+0.00075359i,0.00082185+0.0015003i,0.00056643+0.0017577i,0.0011653+0.00047242i,0.0012959-0.00046634i,0.00093925-0.0010186i,0.00051182-0.0013279i,0.00063642-0.00029492i,0.00050368+0.00035318i,-0.00016802+0.00042865i,-0.00053998+0.00060192i,-0.00036167+0.00044839i,0.00039376+0.00078283i,0.0004959+0.0012367i,0.00046041+0.0011857i,0.00012504+0.0011145i,-0.00043856+0.00067528i,-0.00024437+2.6076e-05i
-0.00022169+0.0004326i,-0.00017001-0.00035106i,0.00025311+0.0004471i,0.00058029+0.00079512i,0.00028964+0.00064183i,0.00054904+0.0012852i,0.0008851+0.0015292i,0.00032405+0.00050692i,0.0004132-0.00098662i,0.0010573-0.00088956i,0.00088091+4.4777e-05i,-4.9509e-05-0.00044986i,-0.00027433-0.00087441i,9.9672e-05-0.0008979i,0.00043282-0.00086477i,-7.9785e-05-0.00038743i,-0.00081997-0.00033977i,-0.00021078-0.00070071i,0.00050093-0.00028443i,0.00044221-1.6708e-05i,0.00014836+0.0003614i,-2.5062e-05+0.00064023i,0.00021425+0.00044323i
0.00087765+0.0013136i,0.00036592+0.0017016i,-0.00086851+0.0016754i,-0.0020112+0.0009696i,-0.0012699+0.0011994i,0.00051691+0.001963i,0.001912+0.0019967i,0.0019705+0.0013761i,0.0014036+0.00083512i,0.00072617+2.4772e-05i,0.0011006-0.0011314i,0.00094388-0.00034467i,0.00053511+0.00087562i,0.00090052+0.00058205i,0.00094385-8.8638e-06i,0.00059222-0.00042573i,-0.00018084-0.00017535i,-0.00021203+0.00032006i,0.00011239+0.00087689i,-0.00046687+0.0011774i,-0.00094717+0.00021935i,-0.00062066-0.00013186i,-0.00025663+0.00016747i
0.0016585-0.00022901i,0.0016131-0.00040669i,0.00091891-0.00066566i,0.00015154-0.0001488i,3.6144e-05+0.00057088i,0.00065366+0.0016531i,0.00051349+0.0017195i,-7.4812e-05+0.00065853i,-0.00025921+0.00068076i,-0.0002494+0.00069279i,0.00046303-0.00032933i,0.00040652-0.00096624i,-0.00094587-0.00047482i,-0.0015811-6.9608e-05i,-0.00059063+0.00012058i,-0.00012372+0.00064425i,-0.00043613+0.00040816i,-0.00085234+0.00073719i,-0.0011746+0.0010488i,-0.00064757+0.0010251i,-0.00031557+0.00061277i,-0.00033713-0.00030754i,0.00029122-0.00059361i
-0.00094415+0.0016953i,-9.1338e-05+0.0017704i,-0.0010352+0.0021577i,-0.0015419+0.0025725i,0.00050449+0.0022618i,0.0018304+0.0012951i,0.0020771+0.0016939i,0.000968+0.0026047i,-0.00048207+0.0016539i,-0.00017008+0.00027263i,-0.00029679-0.00082067i,-0.00052744-0.0013748i,-0.00024266-0.00078614i,0.00038624-0.00028893i,0.00077995-0.00081122i,0.00017552-0.00069167i,-0.00013052-7.3877e-05i,-0.00014-0.00019357i,0.00014854-0.00034167i,0.00076818-0.00048157i,0.00065389-0.00058768i,0.00042388+0.00029039i,2.8656e-05+0.00083044i
0.00087959+0.0017807i,0.00045981+0.0021967i,0.00051601+0.0012452i,0.00094682+6.9559e-05i,0.00079938-0.00038164i,0.0010003+0.00022068i,0.00053447+0.00058357i,-0.00053446-0.00018258i,-0.0005881+2.9495e-05i,-0.00040836+0.00068304i,-0.00014704+0.0010546i,-0.00047269+0.00053773i,-2.7708e-05-0.00067126i,5.2154e-05-0.00063665i,-0.00045901-0.00036777i,-0.00060306-0.00024815i,-0.00076939+3.1595e-05i,-0.00077472+0.00030628i,-0.00070448+0.00076829i,-0.00026828+0.00074549i,0.00065279+0.00034809i,0.00054773-0.00020787i,0.0001861-0.00047118i
0.0012316-0.00060256i,0.0003374-0.00029864i,-0.0003597-0.00042485i,-0.00094727-0.00014829i,-0.0011414+0.0013777i,-0.00059106+0.0014859i,0.00023995+0.0010301i,0.00028073+0.00093801i,-9.4456e-05-0.00019945i,0.00050435-0.0010834i,0.0012827-0.00032709i,0.0014363+0.00037112i,0.001278+0.0011727i,0.00017625+0.0019818i,-0.00042468+0.0020386i,-0.00030247+0.0015609i,-0.00035245+0.00068271i,0.0003312+0.00028268i,0.00055249+0.00059194i,0.00070419+0.0004397i,0.0014714+0.00048992i,0.00071011+0.00013077i,-0.00050934-7.9211e-05i
-0.00051786+9.7108e-06i,0.00024637-0.0003857i,0.00016909+0.00037338i,-0.0009382+0.00083753i,-0.0013507+0.0011898i,-0.00071078+0.0018596i,-0.00036957+0.0015211i,0.00013883+0.0012252i,0.00081999+0.0013552i,0.0010538+0.00057841i,0.0010956+0.00019788i,0.00082157+0.00084898i,-0.00038854+0.00075064i,-0.0009592+0.00021134i,-8.0327e-05-0.00011664i,0.00059081-0.00036102i,0.00095435-0.0010322i,0.00024335-0.0011207i,-0.00013284-0.00068475i,0.0011218-0.00044898i,0.0016886-0.00017079i,0.0013237+0.00033816i,0.00035966+0.00085842i
-0.001616-0.00093868i,-0.0021238-0.00031411i,-0.0017978+0.0002398i,-0.0014796+0.00023229i,-0.00021815+0.0011033i,0.0013075+0.0013077i,0.0014853+0.00093749i,0.00049426+0.00021852i,-0.00020552+0.00016463i,-0.00053076+0.00046087i,-0.00048219-0.00016577i,-0.00032548-0.00060273i,-0.00017853+2.2176e-05i,-0.00022833+0.00024313i,-0.0001111+0.00041475i,0.00037415+2.1859e-05i,0.00013058-0.00063667i,-0.00010421-0.00022172i,0.00042117+0.00023513i,0.00053016+0.00010482i,0.00049487-0.00093373i,-0.0002511-0.0012366i,-0.00054398-0.00063662i
8.3301e-05-0.00013481i,-7.5106e-05-0.00014538i,-0.00079625+0.0010657i,-0.00078814+0.0020754i,0.00049669+0.0024973i,0.0021442+0.0023893i,0.001746+0.0019568i,0.00056831+0.00068781i,0.00088605+0.00030172i,0.00048189-9.3185e-05i,0.00059511-0.001186i,0.0015062-0.0008108i,0.001042+0.00022347i,0.00024162+0.00074119i,6.57e-05+0.00069485i,0.0004663+0.00064775i,0.00064134+0.00029556i,0.00059078+2.9912e-05i,0.00051714+0.0008171i,9.427e-05+0.0010518i,-0.00027483+0.00072412i,-0.000554+0.00073966i,2.7346e-05+0.00022488i
0.00047164+0.00079419i,0.00088348+0.00057961i,-0.00014659+0.0011415i,-0.00082755+0.0014493i,-8.442e-05+0.0010801i,0.00045201+0.0012498i,0.00066+0.0018336i,0.00063072+0.00153i,0.00021377+0.00014182i,-0.00018325-0.00039384i,-0.00061605-0.00035687i,-0.0002071-0.00070522i,0.00059616-0.00061865i,0.00036854-0.00028658i,-2.4644e-05-0.00056616i,0.00017062-0.00043973i,7.8024e-05-0.00020434i,-2.5903e-05-6.201e-05i,-0.00023748-3.5301e-05i,-0.00060374-0.00044618i,0.0001367-0.00024651i,0.00075164+0.00014539i,4.6005e-05-0.00011795i
-0.0013229+0.0018427i,-0.00073679+0.0016301i,-0.00083025+0.00068558i,-0.00052633+0.00012984i,0.00048014+0.00098159i,0.0010023+0.0016788i,0.0013377+0.0010356i,0.0017126+0.00051809i,0.0014707+0.00083848i,0.0005705+5.0686e-05i,0.00047382-0.00069187i,0.00085717-0.00058854i,0.00017718-0.00039277i,-0.00055129-0.00053181i,0.00061148-0.00063319i,0.00088852+0.00052821i,-0.00013452+0.001208i,-0.000359+0.00091803i,0.00020883+0.00071232i,0.00055255+0.00076416i,0.00048924+0.0010198i,0.00037424+6.3438e-05i,0.00035794-0.00048354i
-0.00042365-0.0015837i,-0.00019128-0.0020288i,-0.0010737-0.0012728i,-0.0024839-0.00012612i,-0.0025016+0.00058727i,-0.0010941+0.0011841i,0.00024993+0.0013322i,0.00033712+0.0013748i,0.00013374+0.00082597i,0.00031551-0.00027545i,0.0004817-0.0008495i,0.00011767-0.00091854i,0.00025257-0.00074521i,0.0003696-0.00065622i,0.00011584-3.0495e-05i,-0.00024739+2.1003e-05i,-0.00035557-0.00047888i,-0.0003015-0.00047364i,0.00033331+5.6498e-05i,0.00059154-0.00016381i,0.00011397-0.00058822i,-0.00027318-0.00012942i,-0.00026788-0.00038307i
0.00034477-0.0011783i,0.0007873-0.00082487i,0.00045936+0.00013918i,0.00043431+5.0818e-05i,0.00063677-0.00085083i,0.0014424-0.00034182i,0.0012462+0.00079483i,0.00075193+0.00040552i,0.00032094+9.7007e-05i,-0.00061777-0.00014515i,-0.00080746-0.00044572i,-0.00067517-0.00027827i,-0.0010444-0.0007461i,-0.00079678-0.00083083i,-3.0094e-08-0.0005177i,0.00030504-0.00013162i,-0.00010339+0.00053869i,-0.00026448+0.0010506i,-0.00037836+0.0011204i,-0.0003218-0.00012192i,0.00023141-0.00079739i,0.00036406-0.0008956i,-0.00010295-0.00050847i
8.7034e-05-0.00042743i,0.00065638+0.00022213i,-0.00010924+0.0003578i,-0.0015629+0.00050981i,-0.00077048+0.0018187i,0.00054567+0.002497i,0.00068503+0.0024821i,0.0002854+0.0016468i,0.00069504+0.00028488i,0.0012526+7.6945e-05i,0.00078118-0.000162i,-8.4701e-05+2.5158e-05i,-0.00066061+0.00047851i,-0.00027857+0.00075608i,-0.00023441+0.00046301i,-0.00047972+0.00043235i,-0.00033726+0.00045624i,-4.5601e-05-4.9873e-05i,0.00072719+0.00024977i,0.00091966+0.00058062i,0.00096392+0.00015565i,0.0005216-0.00021083i,0.00011788+7.7434e-05i
-0.00037147-0.00016984i,-0.00023306+0.00033276i,-0.0007675+0.0010394i,-0.00068672+0.0012688i,0.00090333+0.0010956i,0.0014954+0.0011721i,0.00068677+0.0014547i,0.00017738+0.0011898i,-8.6729e-05+0.00090748i,-0.00026203+8.8644e-05i,0.00034027-0.00051492i,0.00035244-0.00029527i,-0.00045172+3.0677e-05i,-0.00095751-0.0001964i,-0.0010883-0.00083387i,-0.00039609-0.00063671i,0.00010227+0.00031207i,-0.00013144+0.00029789i,3.6004e-05-0.00055235i,0.00021381-0.00079104i,-0.00016299-0.00048073i,-0.00077873-0.00023859i,-0.00083456+7.5538e-05i
-0.00052454-0.0014559i,-0.0012732-0.0018017i,-0.0016232-0.0013468i,-0.0014739-0.0010116i,-0.00068186+5.9308e-05i,0.0010358+0.00087505i,0.0012055+0.00094535i,0.00059032+0.00034433i,-0.00027407-0.00027054i,-0.00075691-6.2655e-05i,-0.00051526+0.00033388i,1.6525e-05+0.00010348i,0.00041199+0.00043391i,9.9274e-05+0.00087949i,-2.7177e-05+0.00085789i,0.00012506+0.00046151i,0.00058884+0.0003026i,0.00088274+0.00055777i,0.00092155+0.00071805i,0.00070605+0.00034245i,0.00030183+0.00011977i,0.00024875+0.00071145i,0.00019989+0.0012083i
-0.00030909+0.0010177i,-0.00064479+0.0011813i,-0.00019945+0.00089597i,0.00041294+0.001116i,-0.00024435+0.0021089i,2.6933e-06+0.0023385i,7.5323e-05+0.0022989i,-0.00036586+0.001668i,-0.00023193+0.00097138i,4.8087e-05+0.00079784i,-0.00014192+0.00083109i,-0.00022036-0.0005835i,-0.0001291-0.0014652i,0.00013857-0.00069228i,0.00047206+0.00020889i,0.00051036+0.00048556i,-1.727e-05+0.00056565i,-0.00042832+0.00081216i,-0.00036952+0.0001775i,-0.00014989-0.00028965i,0.00032341+0.0001247i,0.00054262+0.00010784i,0.00040213+0.00054277i
-0.0026614+0.001218i,-0.0026468+0.0015525i,-0.0023174+0.0016576i,-0.00093744+0.0011824i,0.00014143+0.001374i,0.0007372+0.0015015i,0.0015907+0.0013736i,0.0011793+0.0011869i,6.3986e-05-5.8498e-05i,-6.4319e-05-0.0015423i,0.00042459-0.0020367i,0.00092411-0.0015419i,0.00080337-0.0014037i,0.00062578-0.0021051i,0.00080059-0.0017038i,0.00059761-0.00034103i,0.00042334+4.1453e-05i,0.00010359+2.3356e-05i,-0.00075118+0.00021339i,-0.0012204+0.000359i,-0.0013444+7.6348e-05i,-0.0012436-0.00063444i,-0.00045143-0.0012077i
