-0.0023526-0.00034587i,-0.0023543-2.8613e-05i,-0.0023316+0.00091185i,-0.0016678+0.00024174i,-0.0012784+0.00028846i,-0.0019696+0.0019826i,-0.0011883+0.0024676i,0.00053239+0.0022262i,0.00073099+0.0008054i,0.00074537-0.0010951i,0.00093811-0.0015233i,-7.7388e-06-0.00094553i,-0.00060719-0.00049054i,-0.00018624-0.00028741i,0.00019934-3.2738e-05i,0.000287-0.00039035i,-3.2552e-05-0.00057297i,-0.00026766-0.00020329i,-0.00061023-0.00051946i,-0.0011929-0.00076259i,-0.00054788-0.00074507i,0.00022498-0.00062048i,-0.00027105-0.00037561i
-0.0019556+0.0020518i,-0.0022878+0.0017287i,-0.0012712+0.00181i,0.00048101+0.0019367i,0.0013003+0.0016386i,0.00084676+0.0015658i,-0.00033927+0.0018305i,-0.0011+0.0014965i,0.00011072+0.00071943i,0.0015889+0.0001552i,0.0017702+6.2639e-05i,0.001209+0.00019615i,0.00032052+0.00013849i,-0.00017345-0.00036793i,-0.00033458-0.00055392i,-0.00028097-0.0010572i,0.00016264-0.00088136i,0.00064051+0.00039955i,0.0005479+0.00087802i,2.0003e-05+0.00063679i,6.6848e-05+0.00023792i,0.00029201+1.1911e-05i,0.00026547-0.00047707i
-5.5947e-05-0.0023425i,0.00052168-0.0013964i,0.00081853-0.0010466i,8.5945e-05-0.0008742i,-0.0009788-0.00050842i,-0.0012059+0.00053274i,-0.0005537+0.00086884i,-0.00020834+0.00029608i,-0.00019291-0.00026188i,0.00025005-0.00063993i,0.00070063-0.00014484i,-0.00032016+0.00092274i,-0.0010431+0.00081047i,-0.00018407+0.00088823i,0.00051211+0.00044915i,-0.00023919-0.00037528i,-0.0004297-0.00049243i,7.4404e-05-0.00041754i,-0.00031827-0.00038921i,-0.00046831+8.7632e-05i,4.2618e-05+0.00024571i,0.00011352-2.8939e-05i,-0.00028925+0.00064752i
-0.0014819+0.00056002i,-0.0013563+0.0010136i,0.00073858+0.002112i,0.0020817+0.0023638i,0.0014081+0.0020809i,0.0012713+0.0013955i,0.0016361+0.0012795i,0.00094799+0.00078368i,0.00012305+0.00063782i,0.00010262+0.00059631i,0.00094937+0.00032832i,0.0016504-0.00014906i,0.00142-0.0005754i,-6.3467e-05-0.00040947i,-0.00089822-0.00044513i,-0.00067476-0.00026153i,-0.00033096+0.00026234i,-0.00054073+0.00042354i,-0.00073395+2.0379e-05i,-0.00031918-7.7861e-05i,-0.00053469-3.9939e-05i,-0.00036476+0.0003701i,0.0001211+0.00095647i
0.00015728+0.0025359i,-0.00054242+0.0023312i,-9.3282e-05+0.0006564i,0.00027253+0.00030275i,0.00045736+0.0009664i,0.00038576+0.00060828i,0.00040303+0.00041403i,0.00055857+0.00072149i,0.00028183+0.00021809i,-2.3193e-05-0.00019854i,-0.00012267-0.00055036i,-0.00010007-0.00097179i,-0.00035121-0.00043641i,-0.00034707+0.00021779i,0.00024749+0.00024121i,0.00073162+4.6534e-05i,0.00088898+0.0002964i,0.00091436+0.00042088i,0.0009271+0.00060123i,0.00090076+0.00046093i,0.00066009-0.00021785i,7.5211e-05-0.00020838i,-0.00013032-0.00013353i
0.0018967-0.00041132i,0.0016473+0.00010486i,0.0011704+0.00022923i,0.001009-0.00041826i,0.0006483-0.00050577i,-2.0696e-05+0.00021484i,-0.00012038+0.0014365i,-0.00043821+0.0011743i,-0.0010073-0.00023501i,-0.0014081-0.00064052i,-0.00072935-0.00056394i,0.00069622-0.00027293i,0.00072439+0.00075337i,0.00028054+0.0010674i,1.6881e-07+0.0002734i,-2.5591e-05-0.00029379i,0.00050922-0.0003563i,0.00094666-0.00017882i,0.00065064+0.00040451i,0.00015288+0.00089551i,-0.0001323-5.1631e-05i,-0.00076406-0.001139i,-0.00056374-0.00081562i
0.002271+0.0017258i,0.001548+0.0011362i,0.0021356+0.00014163i,0.0024941-0.00040618i,0.0019219-1.2516e-05i,0.00015836+0.00069139i,-0.00048885+0.0010294i,-9.247e-05+0.00095905i,0.00036979+6.0962e-05i,0.00058759+1.8147e-05i,0.00024706-0.00028963i,0.00010936-0.00078866i,0.00025837-0.0003836i,0.00034198-0.00028288i,-0.00043883-0.00050895i,-0.0011864-0.00033492i,-0.00067556-0.00029461i,-0.00016148-0.00040886i,0.00020608-1.0274e-05i,8.2717e-05+0.00043845i,-8.0952e-05+0.00079462i,0.00019975+0.00040114i,7.6543e-05-0.00032715i
9.4203e-05-0.0018712i,0.00063998-0.0021212i,-0.00036256-0.0025215i,-0.0011149-0.0012346i,-0.0012671+0.00087753i,-0.00048034+0.00088156i,0.00079295+0.00081745i,0.00085546+0.0011444i,0.00034073+0.00090248i,-0.00050359+2.9231e-05i,0.0002651-0.00021654i,0.0010347+0.0001765i,0.00032413+0.00067357i,0.0002128+0.00089218i,0.0002977+5.5537e-05i,0.00034528-0.00043749i,0.00019305+3.4703e-05i,-0.00018752+0.0003412i,-0.00039995+0.00044871i,-0.00017341+0.00026151i,0.00047846-9.9194e-06i,0.00061401-7.5907e-05i,0.00061007+4.6767e-05i
-0.0013183+0.00051687i,-0.0010113+0.00085399i,-0.0010767+0.0010418i,-0.0002351+0.00096632i,0.00049564+0.00073315i,0.00081258+0.00057629i,0.00076569+0.00077894i,-1.0371e-05+0.0007488i,9.9296e-05+0.00024075i,0.00031014+0.00027062i,0.00032499+0.00015463i,8.6644e-06-0.00071244i,-5.9269e-05-0.00050938i,-0.00045506-0.00031173i,-0.00084933+0.00011903i,-0.00028337-0.00010962i,2.6523e-05-0.00049373i,-0.00018578+0.0004948i,-0.00059095+0.0011563i,-0.00021001+0.00058663i,0.0002701+3.3775e-05i,0.00018104+5.686e-05i,-4.3383e-05+0.00019577i
-0.0013656-0.0012826i,-0.0008333+0.00011797i,-0.00045183+0.00072175i,-0.00021208+0.00098982i,-0.00065826+0.0012835i,-0.00032256+0.00068075i,0.00038848+0.00011628i,0.00033203+2.6549e-05i,0.00011545+0.00033023i,-0.0001493+0.00033589i,-0.00032035+0.00022837i,-0.00012029-0.00018623i,5.5577e-05-0.0003889i,6.2974e-05-0.00052032i,-0.00035746-0.00033766i,-3.3706e-05+0.00032726i,0.00026334+1.1843e-05i,0.00030198-0.00024391i,-0.00022813+0.00010367i,-0.00067795-0.00026083i,-0.00092901-0.00092939i,-0.00096447-0.00060219i,0.00023693-0.00015732i
0.0011546+0.0023751i,0.0002584+0.0026639i,0.001267+0.0029738i,0.0022145+0.0022371i,0.0027837+0.00092833i,0.0023503+0.00013807i,0.0010479-0.00050609i,0.00074354+0.00047161i,0.00083764+0.0016653i,0.00051983+0.0011801i,-0.00035647+0.00040178i,-0.00047195+0.00021835i,0.00048392+0.00014015i,0.0012392+0.00022175i,0.001294+3.6833e-05i,0.0012768-0.00021988i,0.00043712-0.00016227i,-0.00037127+0.00022917i,-0.00037639+0.00031891i,0.00051988+0.00010074i,0.00078757+0.00044269i,0.00040875+0.00056558i,2.2656e-05+7.4842e-05i
0.000262-0.0018249i,-0.00014606-0.0015202i,-0.00040144-0.0014063i,-0.00040545-0.00075443i,-0.00051811-0.00013837i,-4.9458e-05+0.00089828i,0.00075021+0.0017679i,0.0012946+0.00053613i,0.0014612-0.00024777i,0.00087182-4.6143e-05i,0.00059419+0.00056765i,0.00046244+0.00084094i,-3.5665e-05+0.00097958i,-0.00034681+0.00053427i,-0.00016586-0.00055117i,0.00045535-0.00073844i,0.00074589-0.000465i,0.0008565-0.0001509i,0.00021823+0.00011571i,-0.00071665-0.00010882i,-0.00052873+3.1631e-05i,-0.0002854+0.00015523i,-0.00066455-4.0116e-05i
2.9467e-05-0.00034364i,0.000104+2.2585e-05i,0.0014857+0.00022426i,0.0015618-4.6981e-05i,0.00095357+0.00019361i,0.00065197+0.00092618i,0.00061424+0.0006281i,0.00035198+0.00045514i,0.00010051+0.00029417i,0.00089051+6.7138e-05i,0.0013859+0.00022763i,0.00093382+0.00019654i,0.00012935+4.8822e-05i,-0.00066382+0.00011869i,-0.00046967-0.00016261i,-0.00018603-0.00032036i,-0.00054708-0.00024848i,-0.00066882-0.00011512i,-8.2817e-05+6.2722e-05i,0.00016399-6.5186e-06i,0.00022513-0.00029878i,6.7053e-05-0.00039523i,-0.00055494-0.00032816i
-0.00084542+0.0015007i,-0.0011467+0.0018134i,7.4801e-05+0.0021615i,0.0013338+0.001205i,0.0015104+0.00049801i,0.0003345+0.00037963i,-0.00075056+0.00074871i,-6.9929e-05+0.00066914i,0.0008039+0.00064109i,0.00053255+0.00037256i,0.0013661+0.00012383i,0.001718+0.00033883i,0.00051311+0.00029226i,-0.00050774+0.00027048i,-0.00083714+0.0004645i,-0.00082247-0.00022106i,-0.00019579-0.00030626i,0.00051811+0.00061574i,0.00062144+0.00065258i,-0.00021667-7.9536e-07i,-0.00041495-0.00061123i,2.3901e-05-0.00031844i,-7.3759e-05+0.00027578i
0.00044108+0.00077661i,0.0007476+0.0010189i,0.0011056+0.0014739i,0.0010722+0.00092074i,0.00080249-0.00014836i,0.00040893+0.0003463i,0.00055837+0.00073185i,0.00058485+0.00020496i,0.00053897-0.00020773i,0.00038832-0.0004874i,0.00010428-0.00018319i,5.3962e-06+0.00061827i,-6.6385e-05+0.0010651i,0.00024314+0.00093839i,-4.6669e-05-0.00013008i,-0.00014811-0.00055699i,-0.00020383-0.00019128i,-0.0010252+0.00012318i,-0.00087117+0.00056938i,-0.00019567+0.00054262i,0.00034368+0.00078589i,0.00018448+0.00097544i,-0.00081234+0.00022915i
-0.0019574+0.0017707i,-0.00064793+0.00152i,-8.2498e-05+0.00080381i,-5.7783e-06+0.0012298i,0.00073342+0.0012698i,0.0014924+0.00089327i,0.0010624+0.00091645i,0.00034655+0.00075922i,-0.0001656+0.00061208i,-0.00022104+0.00064228i,-0.00052788+0.000637i,-0.00074719+0.00034062i,0.00036404+0.00057374i,0.00042806+0.00076118i,-0.00018411+0.00067987i,-0.00081589+0.00037162i,-0.00090975+7.5868e-05i,-0.00070847+0.0002018i,-0.00047255+7.7034e-06i,3.6021e-05-0.00035012i,0.00018277+2.0741e-05i,0.00013701+0.00083882i,-0.00039247+0.00078835i
0.002166-0.002252i,0.00091765-0.0016964i,-0.00014615-0.00063501i,-0.00069341+0.0010485i,-0.00065972+0.0015954i,-0.0002473+0.0019023i,-0.001003+0.0021461i,-0.0012978+0.0011325i,-0.00071704+0.00030338i,0.00016367+0.00070673i,0.00063067+0.00092632i,0.00074882+0.00072693i,0.00055731+0.00011079i,0.00065544-0.00068032i,0.00029201-0.00098398i,-0.00046413-0.000305i,-0.00086909+0.0015418i,-0.00073823+0.0017584i,-0.00052127+0.001274i,-0.00023129+0.0011273i,-5.8087e-05+0.00026238i,0.00047905-0.00032961i,0.0010478-2.9592e-05i
-0.0014972+0.0034567i,-0.0011108+0.0048302i,0.00096053+0.0044051i,0.0022032+0.0019662i,0.0023615+0.00065471i,0.0013138+0.000185i,0.00032926-0.00023434i,0.00060856-0.0001068i,0.00092901-0.00017595i,0.0010308-0.00037554i,0.00093615-0.00060132i,0.0010091-0.00077151i,0.00093212-0.00045498i,0.00040399+0.0001537i,0.00011974+0.00055571i,0.00051416+0.00025745i,0.00073634-0.00016748i,0.00057645-0.00047667i,0.00048689-0.00023751i,0.00045155+0.00026396i,-0.00011374+0.00012829i,-0.00032718+0.00011865i,-0.00012402+0.00041481i
-0.0025036-0.00039217i,-0.0025014-0.00031997i,-0.0015612+0.00069279i,-0.00063607+0.00037914i,-0.00073447-0.00012266i,-0.00075289+0.00079498i,-0.00033527+0.00039026i,0.00093058-0.00021043i,0.0010148+0.00020936i,0.00034638+0.00087787i,0.00016263+0.00059571i,0.00031533+0.00018184i,0.0011282-0.00030026i,0.0011027-0.00060565i,0.00076815-0.0009315i,0.00051114-0.00066281i,0.00015026+0.00013724i,-0.0004485-0.00022751i,-0.00091402-0.00094526i,-0.00020566-2.0884e-05i,0.00089139+0.00068528i,0.0004431+0.00060122i,-0.00016517-8.3473e-06i
0.0026476+0.00028893i,0.0022639+0.00077544i,0.0014894-0.00026916i,0.00064394-0.00045524i,-0.00044769-0.0004578i,-0.00087201+0.00012171i,0.00021237+0.00033303i,0.0007556+0.00018531i,0.00027921-0.00030077i,-8.2607e-05-0.0006174i,0.00038457-0.00025709i,8.3414e-05+8.1617e-05i,6.6456e-05+1.5372e-05i,0.00048851+0.0005717i,0.00019123+0.00066391i,-0.00019252+0.00034729i,-0.00059005+0.0001214i,-0.000787-0.00046004i,-0.0006993-0.00044478i,0.00036603+0.00021654i,0.00084033+0.00016429i,0.00073552+0.00024984i,0.00049748+2.5508e-05i
-0.00056079-0.0002095i,0.00030459-8.2387e-05i,0.00081779+0.00042907i,0.001194+0.00023213i,0.0012267+4.1213e-05i,0.001047+0.00047047i,0.00072113+0.0010849i,0.0007931+0.00078461i,0.00025976+0.00070179i,-8.8979e-05+0.00096665i,6.9527e-05+0.00083858i,-7.6926e-05-0.00012119i,0.00012247-0.00040351i,6.9294e-05+0.00015776i,-8.8103e-05-0.0001213i,4.5504e-05-0.0007856i,0.00025339-0.00098482i,3.9117e-05-0.00041637i,-4.9543e-07+0.00068095i,0.00037418+0.00097277i,-0.00019446+0.00046958i,-0.00076105+0.00035951i,-0.00088832+0.00011495i
0.0017198+0.00018219i,0.0011217+8.6375e-05i,0.0014609-0.00026105i,0.0013174-0.00073247i,0.0010401-0.00037884i,0.00083651+0.00016474i,0.00029058+0.00027495i,0.00032618-0.00059712i,0.00058001-0.0010164i,1.6585e-05-0.00062454i,-0.00076928-0.00046298i,-0.0001383-0.00039302i,0.00057816+0.0005382i,0.0002423+0.0010763i,-5.5026e-05+0.00024021i,-9.8054e-05-0.00042391i,-0.00066604-0.00051313i,-0.00084855-0.00059881i,-0.00085154-4.2756e-05i,-0.00032619+0.00032123i,-0.00016049+0.00027327i,-0.0003562-8.611e-05i,-0.00017329-0.00031766i
-0.0010039+0.0016676i,-0.0012871+0.0024153i,-0.00030089+0.0026839i,0.001154+0.0015283i,0.0024178+0.00059196i,0.0015876+0.00061169i,7.8197e-05+0.00074803i,-8.7967e-05+0.00053735i,-0.00013366+0.00021204i,-3.4227e-05+0.00024409i,-0.00011376+3.0184e-06i,-0.00064035-0.00061541i,0.0003544-0.0010678i,0.00089948-6.3971e-05i,0.00032533+0.00010001i,0.00040105-0.00021487i,0.00044995+0.00040689i,-0.00083081+0.0002752i,-0.00091505-0.00023906i,-0.00025445-0.00051772i,-6.6188e-05+0.00042637i,-0.00021502+0.0010125i,-0.00055973+0.00072993i
0.00083449-0.00083516i,0.0012668-0.0016934i,0.00079225-0.00061396i,0.0010543+0.00031533i,0.00090503+0.00045085i,-1.4589e-05+0.00052168i,-8.6158e-05+0.0010037i,0.00084711+0.0012075i,0.0017261+0.00037312i,0.0014622+0.00026669i,0.00094369+0.0010393i,-2.4378e-06+0.00061379i,-0.00087281-0.00021746i,-0.00054834-2.3272e-07i,-4.4704e-06+8.6032e-05i,5.3219e-05-8.1811e-05i,0.00015948-0.00023836i,0.00012369-0.00068401i,0.00042724-0.00090807i,0.00035873+0.0001053i,0.00028056+0.0012187i,0.0002257+0.00060252i,-0.00043192-0.00060957i
0.00096698+0.0021338i,0.0013451+0.0029222i,0.0021119+0.001322i,0.0019784+9.348e-05i,0.0010839-0.0010514i,0.00063973-0.00031959i,0.00070803+0.00087852i,0.00072233+0.0005506i,0.0011592-0.00025663i,0.00092981-0.00078177i,0.00025336-0.00028583i,6.8726e-05+0.00026296i,-5.4055e-05+0.0002121i,-0.00084628-0.00022668i,-0.0010696-0.00012095i,-0.0010854+0.00011502i,-0.0007317-0.0011404i,-8.7705e-05-0.0017449i,-0.00018185-0.0004464i,0.00015522-0.00024119i,0.00089333-0.00064549i,0.00097323+0.00045652i,0.00071006+0.0011067i
-0.0019148-0.0018515i,-0.0026439-0.0012093i,-0.0024333-0.00029881i,-0.0006341+0.0016006i,0.00033868+0.0023945i,0.00064345+0.0010973i,0.00083893+0.00093671i,0.00026323+0.00099711i,-0.00033641+0.00027047i,-0.00034134+0.00013273i,-0.00063328+0.00024796i,-0.00099736+0.00018532i,-0.00044432+0.00021054i,0.0001041-0.0001212i,-0.00037152-0.00022051i,-0.0007562-9.1929e-05i,-0.00049904-0.000686i,-0.00020576-0.00086074i,6.2145e-05-0.00044259i,-0.0008279+0.00013967i,-0.0022755+0.00043673i,-0.0013244+0.00056908i,9.4472e-05+0.0008847i
0.0013731+0.0013798i,0.00082551+0.00074196i,0.0016462+4.6121e-05i,0.0017794+0.00051399i,6.5845e-05+0.0013315i,-0.00097316+0.0010391i,-5.5741e-05+0.00049862i,0.00041821+0.00046953i,0.00024692+0.00033736i,5.3635e-05+3.3728e-05i,0.00055915+0.00013616i,0.00086038-0.00027227i,-0.00018454-0.00035665i,-0.0004717+0.00037044i,0.00040595+0.00050187i,0.00024176+0.00030557i,-0.00013927+7.6003e-05i,8.3146e-06-6.4132e-05i,-0.00051945+0.00021222i,-0.0010019-0.00029673i,-0.0010174-0.00052799i,-0.00056239-0.00040228i,0.0003541-0.00074627i
-0.001118+0.0023302i,-0.0009844+0.0020919i,0.001135+0.0022467i,0.0021786+0.0014386i,0.0015103-0.00047002i,0.00030109-0.000726i,-0.00053361+0.00029571i,-2.2511e-06+0.0011192i,0.00024421+0.0013501i,-0.00054703+0.00067627i,-0.00087483-4.4982e-05i,-0.0001107-0.0004468i,-5.7899e-05-3.5377e-05i,-0.0010085+0.00015185i,-0.0015507+0.00027175i,-0.00093309+0.00080191i,0.00011419+0.00080428i,0.00015912+0.00010265i,5.4905e-05-0.00024331i,1.3046e-05+0.00050237i,-0.00011949+0.00056651i,2.5927e-05-0.00018897i,0.0003752-0.00016053i
0.00032324+0.00059447i,0.00038871+0.00081535i,0.0022832+0.0015689i,0.0031628+0.0018i,0.0015334+0.0011405i,0.00030356+0.00028926i,0.00024511+2.6623e-05i,2.5367e-05+0.00017385i,0.00067119+0.00027247i,0.0016306+0.0001681i,0.0013302-0.00021979i,0.0013245-0.00023225i,0.00037216-0.00031322i,-0.0003643-0.00047124i,1.117e-05-0.0005645i,0.00092489+0.00020029i,0.00092376+0.00076669i,0.00078564-5.9546e-05i,0.00089529-0.00022111i,0.0006074+0.00028568i,0.00014696+0.00097092i,-9.1848e-05+0.00026795i,-0.00039469-0.00086894i
-0.00017999+0.0009129i,-0.00056743+0.00023i,-0.0010774+0.00026897i,-0.001234+0.00074007i,-0.0011687+0.0011553i,-0.00058162+0.0017113i,0.00059603+0.0017316i,0.001135+0.00094945i,0.00020661-0.00014379i,-0.00026952-0.00025582i,0.00026465+0.00019721i,3.6149e-05-0.00010558i,-0.00033332+0.00029119i,-4.6836e-05+0.00084117i,-0.00035228+0.00075494i,-0.0013023+0.00096183i,-0.00076592+0.00068784i,3.195e-05+0.00049333i,0.00032339+4.821e-05i,0.0008352-0.00053235i,0.00067993-0.00034955i,3.194e-05-0.00025939i,0.00037406-0.0005726i
