-2.2823e-05+0.0011896i,-0.00054163-8.2322e-05i,-0.0012533-0.0011055i,-0.0010887-0.00076182i,-0.0018472+0.00021418i,-0.0025887+0.00093192i,-0.0022351+0.0012297i,-0.00089119+0.0014429i,0.00065173+0.0012046i,0.001147+0.00042274i,0.0015725-3.5717e-05i,0.00071761-0.00043682i,0.00020578-0.0007123i,0.00019386-0.00033439i,-5.5158e-05-0.00032668i,-7.291e-05-0.000315i,0.00013436-1.516e-05i,0.00053862-0.00068226i,-3.4374e-05-0.00079402i,-0.00029998+1.6077e-05i,-0.0004452-0.00047792i,-0.00079209-0.0011978i,-0.00059361-0.00085433i
-0.00252+0.00030768i,-0.0012474+0.00092871i,-0.00068754+0.000654i,-0.00040772+6.1254e-05i,0.0011631-0.00055201i,0.0014703-0.00074272i,0.00010749-0.0009062i,-0.00031727-0.00076229i,-0.00026277-0.00026066i,0.00022987-0.00017724i,0.00078333-0.00048834i,0.00082098-0.00059233i,0.00021195-0.00037876i,-0.00056893-0.00046973i,-0.00021531+3.275e-05i,9.4119e-05+0.00078198i,3.2925e-05+0.00044218i,0.00058319-0.00018471i,0.00062109-0.00014755i,0.00015242+5.8932e-05i,0.00016717-0.00013314i,0.00074623-0.00066288i,0.00078521-0.00092742i
-0.00026424-0.003777i,-0.00081222-0.0032113i,-0.0014935-0.0016706i,-0.0011262-0.00016761i,-0.0013421-0.00016972i,-0.0010308+5.5491e-05i,-0.0011107-3.5953e-05i,-0.0013965-0.00044426i,-0.00087025+7.2483e-07i,-0.00031818+0.00048498i,0.00042612+0.0011742i,0.00062048+0.00049385i,0.0010806+0.0001939i,0.00072515+0.00074297i,4.2622e-05+0.00087882i,0.00018849+7.3877e-05i,-0.00012462-0.00019069i,-0.00042701+0.00034625i,1.4293e-05+0.00039819i,0.00046089-0.00030434i,0.00069534-0.00081479i,0.0002887-0.00051349i,-4.7865e-05-0.0001061i
-0.0014833+0.00026073i,-0.0015394+0.00048735i,-0.0011659+0.0012031i,-0.0003888+0.0010355i,-0.00022055+0.00016867i,-0.00064752-0.00017785i,-0.0012945+0.00040774i,-0.0013093+0.0004874i,-0.00042212+0.00067086i,0.00047255+0.00060284i,0.0013229+0.00050872i,0.0013207+0.00018462i,0.00075137-0.00070871i,0.00075551-0.00076105i,0.00070557-0.00044441i,0.00063865-3.334e-05i,0.00076658+0.00058301i,0.00043616+0.00010339i,-8.7396e-05-0.001029i,-0.00025766-0.0012665i,0.00024735-0.00089993i,0.00054396-0.00033069i,0.00060114+1.1941e-05i
-0.0016999+0.0012563i,-0.00032282+0.0017688i,-0.00030722+0.0010807i,-0.00029075+0.00069266i,0.00013226+0.00060921i,-0.00039343-6.9672e-05i,-0.00079887-0.00067819i,-0.0006093-0.00043769i,0.00020238+0.0005421i,0.00015116+0.00053803i,-0.00033079+0.00010055i,-0.00062746+0.00027311i,-0.00021378-0.00022191i,-0.00040123-0.00041823i,-8.3066e-05-0.00057597i,0.00079243-0.00058995i,0.00061608-0.00054889i,0.00049906-0.00050987i,0.00020708-0.0002105i,-3.0486e-06-8.819e-05i,0.00054242+0.00058685i,0.00013921+0.00036715i,-0.00041694-0.00043569i
-0.00035522-0.00024345i,-4.5094e-05-0.00061692i,0.00021008-0.00020674i,0.0010732+0.00024694i,0.00075605-0.00012661i,0.00014193-0.00086886i,-0.00017661-0.00045122i,-0.00034624-0.00018893i,0.00037398+0.00023725i,0.00093376+0.0012235i,0.00071111+0.0009003i,0.0010128-1.0343e-05i,0.00021712-0.00017246i,-9.8173e-05+0.00015884i,0.00039427+4.1344e-05i,0.00061697-0.00017288i,0.00082571+0.00029146i,0.00042111+0.0008324i,7.1949e-05+0.00027955i,-0.00042662-0.00026745i,-0.0008371+1.9457e-06i,-0.0005601+0.0003225i,-0.00057304-0.00011324i
9.5404e-05-0.00055315i,-0.00020102-0.002077i,0.00079325-0.0018403i,0.0017283-0.00071544i,0.0014164-0.00067656i,-0.00014291-0.0006371i,-0.00070468-7.5856e-05i,-0.00074122-0.00029666i,-0.00070976-0.00017663i,-2.8049e-05+0.00010532i,0.00036686-0.00045469i,0.00069502-0.0007974i,0.00028106+4.6961e-05i,-0.00019779+9.2585e-05i,0.00042653-0.00028289i,9.2132e-05+0.00056944i,-0.00030073+0.0010184i,0.00019053+0.00045564i,0.00018498+0.00037067i,0.00032464+0.00010743i,0.00058624-0.00031758i,0.0002217+0.00025393i,-0.00013299+0.00062127i
-0.00074886-0.0015485i,-0.0012177-0.00051435i,-0.0019692-0.00039544i,-0.0025062-0.0004127i,-0.0022783+4.6021e-05i,-0.0015116+0.00075826i,-0.00058039+0.00096307i,0.00014965+0.00062736i,0.00091698-0.00042092i,0.00114-0.00071432i,-0.00025312-0.00018004i,-0.00050788+3.8111e-05i,9.658e-05-0.00017181i,-0.00021945-0.00052073i,-0.00024923-0.00078702i,0.00039641-0.00055345i,0.0010297+0.00029654i,0.00065035+0.00064957i,-0.00023116+0.00061411i,0.00011205+0.00059317i,-0.00014972+0.00037091i,-0.00089837-4.2752e-05i,-0.00047611-0.00026865i
-0.00025641-0.00049554i,0.00014873-0.00050264i,0.00014107+0.00074832i,0.00092633+0.0011719i,0.0015168+0.0003594i,0.0018987-0.00012715i,0.0011471+0.00022446i,0.00020496+0.00034379i,0.00024445+0.00060924i,0.00041962+0.00069839i,0.00073808+0.00033114i,0.0011156-0.00016972i,0.0013778-0.00079057i,0.001505-0.00067477i,0.0009216-0.00021396i,0.0010494-7.2287e-05i,0.0011782+0.00044217i,0.00052383+0.00064704i,5.187e-05+0.00083851i,-2.6357e-05+0.00051068i,0.00010717+0.00010732i,0.00014727-0.00018418i,0.00044423-0.00014021i
0.0013267-0.00036611i,0.00039429+0.00024421i,0.0005399+0.00051254i,0.0015346-0.00012649i,0.0012207-0.00095291i,-0.00013427-0.00065037i,-0.00032384+0.00023513i,0.00064506+0.00036213i,0.00081913-6.9513e-06i,0.00058568+0.00048209i,0.00017163+0.0007409i,0.0001779-5.7062e-05i,0.00044221-9.1902e-05i,0.00034764+0.00011291i,0.00063671+1.4201e-05i,0.00029479+9.2715e-05i,-0.00042046+0.00022551i,-0.00052245-1.9954e-05i,-0.0004293-0.00017841i,-0.00026496+0.00022753i,-8.188e-05+0.00065154i,1.9898e-05+0.00030557i,0.00029763+3.9093e-05i
0.00012931-0.0013069i,-0.00083709-0.00096861i,-0.0011642-0.00035624i,-0.0010204-0.00021779i,-0.001132-0.00029861i,-0.00037888-0.0004292i,-0.00037446-0.00041034i,-0.0011008-4.3206e-05i,-0.00024625+1.2874e-05i,0.0010507-0.00030005i,0.0011305-0.00030013i,0.0010572+0.00047452i,0.00049594+0.00076779i,-5.3693e-05+0.00065045i,0.0005192+0.00053139i,0.0013402+0.00020083i,0.0010817-0.00051788i,0.00037513-0.00096635i,-0.00019026-0.0010401i,-0.00072089-0.0017076i,-0.00066472-0.00092544i,0.00014918+0.00015117i,0.00065633+0.00042838i
0.00092033-0.00090329i,0.00090496-0.00069294i,0.00091652-0.0001005i,0.00013185+4.9139e-05i,-0.00097679-0.00021763i,-0.00072754-0.00077254i,-0.00052962-2.0518e-07i,-0.00065715+0.001037i,-0.00046881+0.0005919i,-0.0004348-0.00046604i,-0.00017482-0.0001823i,-7.0399e-05+0.00016812i,-0.00044953+0.0001855i,-0.00030905+0.00031528i,-3.0159e-05-0.0001829i,-0.0003388-0.00048246i,-0.00089262-0.00088882i,-0.00069326-0.00048294i,5.3616e-05-0.00022284i,0.00037124-0.00068167i,0.00036067-0.00083648i,0.0001009-0.00059041i,-6.3781e-05+0.00048866i
-0.0014774-0.0020359i,-0.0013389-0.0020284i,-0.00137-0.0013019i,-0.0010999+0.00074068i,-0.00080766+0.0016347i,-0.00011775+0.0012307i,0.00057727+0.00053945i,0.00036059+0.00041087i,-0.00026656+0.00049929i,-0.00052093+0.00040805i,0.00061651+0.00057719i,0.00107+0.00041778i,0.001089+0.00054888i,0.0013788-1.3316e-05i,0.00069265-0.00077677i,-1.635e-05-0.0010222i,0.0001871-0.00030579i,-0.00012755+6.8094e-05i,-0.00038127-0.00041462i,-9.7729e-05-0.00045591i,-3.2685e-05-0.00019086i,-4.4387e-05-0.00058429i,-0.00022249-0.00038229i
-0.00010958-0.0022368i,-0.0010584-0.0022983i,-0.0014923-0.0011618i,-0.0011191+2.4468e-05i,-0.00089872+0.00064253i,-0.00057298+0.00082297i,0.00037355+0.00046468i,0.00011608+0.00043677i,0.00022437+0.00052898i,0.0004026+0.00082087i,0.00026411+0.00042031i,0.00056154-0.0003558i,0.00078308+4.3963e-05i,0.000562+0.00026817i,-0.00017488-0.00043965i,-0.00059559-0.00094866i,-0.00032758-0.00054037i,-0.00080895+0.00017422i,-0.00083229-7.8887e-05i,-0.0003275-0.00031188i,-0.00028126+0.00023957i,0.00043983+0.00056774i,0.00056626-1.2387e-05i
-0.00025032+0.00171i,-0.00049265+0.0016692i,0.00027039+0.0017262i,0.0016795+0.00092843i,0.0015038+3.5124e-05i,-1.5989e-05-0.00056967i,-0.0010376-0.0010834i,-0.00055906-0.00073219i,8.8342e-05+0.00060952i,0.00030301+0.0004183i,0.00052109-0.0002584i,0.00090521-0.00054816i,0.00055883-0.00030597i,-8.2083e-05+3.4425e-05i,-0.00036926-1.3208e-05i,8.951e-05-0.00045468i,0.00049857+0.00013555i,1.7853e-05+0.000383i,-0.00081894+8.8805e-05i,-0.00059372+0.00028668i,-0.00032227+9.177e-05i,-0.00028447-0.00032688i,-2.0026e-05-0.00091352i
-0.00074181-0.0009679i,-0.00048695-0.0016902i,-0.00021283+0.00019799i,2.1549e-06+0.00065638i,4.555e-05+0.00024927i,-0.00056948+0.00042564i,-0.00088544-0.0001387i,0.00014956-0.00035399i,0.00085268+0.00036449i,0.00079644+9.6326e-06i,0.0006907-0.00057924i,0.00104+7.7597e-05i,0.0011092+0.00077803i,0.00056659+0.00088599i,2.2998e-05+0.00040573i,8.4514e-05+0.00016064i,0.00010287+0.00038857i,-0.00031364+0.00041571i,-0.00015008+2.6011e-05i,0.00026654+1.817e-05i,0.00069209+0.00036479i,0.00030417+0.00070229i,0.00021683+0.00071648i
0.00064516-0.00087169i,0.00045369-0.0020471i,-0.00018897-0.0011355i,-0.00071685-0.0014237i,7.716e-05-0.0011485i,0.00047905-0.00039293i,-5.5021e-05+0.00047289i,-0.00070149+0.0010195i,-0.00045976+0.00071481i,-0.00070076+0.00051754i,-0.00072974+0.00036594i,-0.00025663+0.00011914i,7.3838e-05-8.2097e-05i,-0.00043252-4.5451e-05i,-0.00014663+3.8312e-05i,0.0005811+0.00077996i,0.0011116+0.0013235i,0.0012268+0.001206i,0.00093973+0.00059812i,0.00039325-0.0001026i,2.7389e-05+0.00015096i,-0.00020742+0.00031276i,2.166e-05+0.00031828i
-0.0025945-0.00057671i,-0.0024923-0.00098251i,-0.0018263-0.00076103i,-0.00041034+0.00032554i,8.7564e-05+0.00054263i,-0.00030327+0.00038039i,-0.00042956+0.00076316i,-0.00012454+0.00067162i,7.7468e-05+0.00047055i,1.4524e-05-6.2411e-05i,-1.4872e-05-0.0002281i,0.00010495+0.00035775i,0.00063564+0.0002562i,0.00064595-0.00040592i,0.00077735-0.00073257i,0.00097393-0.00077872i,0.00060082-0.00015141i,0.00049401-8.5035e-05i,0.00044363-2.821e-05i,0.0006116+0.00063353i,0.00063286+3.4323e-05i,0.00074696-0.00095622i,0.00058316-0.00042754i
0.0012432+0.0010076i,0.001186-0.00021754i,0.001238-0.00038612i,0.0013078-9.6385e-05i,0.00042907-7.1099e-05i,-0.0002564+0.00030107i,-5.6175e-05-0.00022957i,2.8719e-05-0.00054558i,-0.00020137-0.00030189i,0.00089354-5.8123e-05i,0.00079852+3.0838e-05i,-0.00013103-0.00022044i,0.00024103-0.00041969i,-0.00018039-0.00054979i,-0.00034212-0.001089i,0.00029401-0.000602i,0.00050508+0.00021331i,-0.00017021+0.00023527i,-0.00095585-0.00033384i,-0.00022893-0.00030633i,0.00039646+0.00014211i,9.7179e-05+5.3746e-05i,-0.00017304+0.00013797i
0.000201-1.972e-05i,0.00048672-0.0003704i,0.00014259+0.00066161i,-0.00029629+0.0010373i,-3.7086e-05+0.00031007i,2.8354e-05-0.0010735i,-0.001174-0.00079365i,-0.001747-0.00043914i,-0.00049233-0.00046994i,0.00069682-0.00016081i,0.0014226+0.00018891i,0.0011532+0.00028991i,0.00049393+9.1988e-05i,0.00041181+0.00019983i,-2.9387e-05+0.00038273i,-0.00092141+0.00049687i,-0.0012924+0.00027415i,-0.00055328-0.0003871i,0.00030923-0.00055954i,0.00042325-0.00010405i,-0.00034213+0.00013729i,-0.00069904+0.00019839i,-0.00021225+0.00073997i
-0.0016455-0.00085522i,-0.0012082-0.0015667i,-0.00077039-0.0015251i,-0.0010009-0.00080539i,-0.0010083-0.00060142i,-0.00081513-0.00070118i,-0.00048847-0.00072378i,-0.00013075-0.00081461i,0.00015909-0.00060621i,0.00056266+0.00010634i,0.00077324+0.00020585i,0.00013785+1.1214e-05i,1.3839e-05+0.00062565i,0.0009844+0.00053107i,0.0012327-0.00011409i,0.00086242-0.00063108i,0.00012961-0.00026993i,-4.189e-05+0.00041433i,-0.00025847-0.00014805i,0.00022676-0.00060204i,0.00097321-0.00023506i,0.00050281-9.6729e-05i,0.00021238-0.00029862i
-0.0010142-0.0012821i,-0.0017699-0.001802i,-0.0016815-0.0014803i,-0.0013302-0.00055827i,-0.0010334-7.2324e-05i,-0.00059681+0.00022703i,-6.2803e-05+0.00012292i,0.00027048+0.00026377i,0.00012998+0.00020762i,0.0004645-6.9457e-05i,0.00064795-0.00060606i,0.00043776-0.00052505i,0.00060274+0.0003109i,0.0001478+0.00024443i,3.4557e-05-0.00027502i,0.00072154-0.00066239i,0.00096294-0.00069749i,0.00061447-0.00056338i,0.00070376+8.8293e-05i,0.00066646-0.00024751i,-9.6235e-06-0.00014554i,-0.00055402+0.00077762i,-0.00026426+0.00089438i
-2.0154e-05-0.00059784i,-0.00092333-0.00060045i,-0.0018577-0.00058784i,-0.00064844-0.00055491i,0.00075742+2.4563e-05i,0.00030727+0.0013144i,0.00028915+0.001291i,0.00065701+0.00055787i,-0.00010611+4.4858e-05i,-0.00010184-0.00027648i,0.00081605-0.00019577i,0.00037856+0.00013161i,0.00038177-0.00013943i,0.00096149-0.0004423i,0.00047644-0.0002599i,6.5906e-05-0.00040528i,0.00039856-0.00044479i,-0.00022778-0.00063153i,-0.00054441-0.000559i,-0.00016309-3.6799e-05i,0.00036997+0.00018376i,0.00035927+0.00029624i,-0.00012926+0.00042101i
-0.00076656-0.00018979i,-0.00087086+1.3951e-05i,-0.00099016+0.00071654i,-9.1404e-05+0.001381i,0.00069067+0.0013394i,0.0010351+0.00072504i,0.00071637+3.1538e-05i,6.1035e-05-0.00033747i,-0.00063094-0.0004297i,-0.00015455-0.00059592i,0.00044892+0.00020204i,2.849e-05+0.00012724i,-3.6324e-05-0.00067058i,-0.00031451-0.00055676i,-0.00034656-0.00039146i,-0.0003565-0.0010931i,5.1393e-05-0.00080374i,0.00034738-0.00051172i,0.00019425-0.00037832i,-0.00036795-0.00057512i,-0.00067643-0.0010741i,-0.00042348-0.00061693i,5.0745e-05+2.6679e-05i
-0.00073771-0.003591i,-0.0011736-0.0034043i,-0.0015477-0.0013313i,-0.0012246-0.00056398i,-0.00071084-0.00050133i,-0.00057334-0.00032764i,-0.00056902+0.0001935i,-0.00055017-0.00027524i,-0.00083662-0.00090501i,-0.0010128-0.00049853i,2.7321e-06-8.8435e-05i,0.00042101+0.00017223i,-0.00032822+0.00068782i,-0.00047403+0.00064092i,-7.6708e-05+0.00027587i,-0.00021592+8.9894e-05i,-0.00041018-3.4711e-05i,1.0477e-05+9.1558e-05i,0.00023244+1.5888e-05i,0.00048872-0.0003799i,-0.0002408-0.00014324i,-0.0010056+9.3388e-05i,-0.00061134-0.00068781i
0.00030096-0.00099057i,-0.00023946-0.00043163i,-0.00075762-5.5621e-05i,-0.0009891-0.00015432i,-0.00043943-4.594e-05i,0.00014548+0.00021475i,0.00016292+0.00012216i,-0.00049895-0.00016416i,-0.0010745-0.0011501i,-0.00075124-0.00064662i,-0.00040339+0.00073222i,6.3043e-06+0.00083522i,0.00059489+0.00027239i,0.0007284+0.00032634i,0.00015561+0.00026942i,0.00025665-8.1006e-05i,0.00070085+1.414e-05i,0.00098499+0.00041259i,0.00070781-2.6007e-05i,0.00045828-0.00078239i,0.00034776+0.00016286i,-7.6223e-05+0.00078088i,-0.0001987+0.00057678i
-0.00030678-0.0029133i,0.00015268-0.0020261i,-0.0011342-0.0012646i,-0.0019381+0.00019287i,-0.0014846+0.00159i,-0.0006906+0.0014104i,-0.00067564+0.0010469i,-0.00086745+0.00028869i,-0.00036346-0.00049415i,-0.00035236-0.00048241i,-0.00034487-0.00039638i,0.00039642+3.4763e-05i,0.0008241+0.00062902i,0.00027208+0.0006557i,-0.00056858+0.00014472i,-0.00012414+0.00016755i,0.00092271+0.00030779i,0.00069716+0.00048509i,0.00031301+0.00035085i,0.0003812+0.00011778i,9.9592e-05+0.00031085i,0.00099805+0.00053488i,0.0015591+0.00056733i
-0.0019628-0.0018598i,-0.0013999-0.0012174i,-0.00076153-0.00022765i,-6.2083e-05+0.00032798i,0.00024635-0.00022593i,-0.00017705-0.0004909i,8.1973e-06-0.00055333i,0.00031272-0.00034597i,-8.9862e-06-0.00013485i,-5.0305e-05+0.00020242i,-0.00024052+0.00078338i,-0.0005089+0.00056035i,9.6347e-05+0.0003977i,0.00085323+0.00028997i,0.0015942-0.00028422i,0.00090802-0.00025002i,-0.00065678-0.00027246i,-0.00074345-0.00082246i,9.7151e-06-0.00022469i,0.00035265+0.00060684i,0.00048551+8.9014e-06i,0.00046754-0.00044136i,0.00057456-9.0902e-05i
0.00062597-0.0013453i,-0.00015011-0.00043382i,-0.00053904-0.00068222i,-0.001043-0.00076421i,-0.0011328-0.00061503i,-0.00068523-0.00077122i,-0.00041214-0.00090087i,8.9129e-05-0.00054497i,0.00067692-0.00030635i,0.0012112+2.7073e-05i,0.00098359-0.00047056i,0.00019742-0.00070288i,-0.00024383-0.00020876i,-0.00034166-0.00022453i,0.00018181+0.0001709i,0.00021458+0.00060491i,-0.00027978+0.00077547i,-0.00012748+0.00035402i,5.8152e-05-0.00035087i,-4.1211e-05-0.00057137i,0.0001392-0.00057757i,0.00052914-0.00019326i,0.0010071-5.1996e-05i
0.00040708-1.4415e-05i,0.00071619-0.0010561i,0.00089899-0.0015486i,0.00015897-0.00073429i,-0.0012038+7.2265e-05i,-0.0014243-7.1675e-05i,-0.0010362-0.00052029i,-0.00072907-0.00054084i,0.00010155-0.00030438i,0.00012422-0.00025605i,-0.0003601+0.00027745i,-0.00066693+0.00089246i,-0.0010479+0.00063563i,-0.00062794-0.00015257i,0.00010698-0.00016253i,0.00015401-8.5087e-05i,0.00034986-0.00010071i,0.0012717+0.00055815i,0.00084361+0.0008746i,-0.000944+0.00019819i,-0.0015272-0.00046756i,-0.00077339-0.00058015i,-0.00063956-0.00029611i
-0.00094771-0.0016697i,-0.0014422-0.0013053i,-0.0018909-0.00022899i,-0.00090608+0.00037315i,-0.00023826+0.00039822i,0.00014122+0.0003127i,0.00024399-8.8364e-05i,0.00038454+0.0001188i,0.00048567+4.1521e-06i,-4.5041e-05-0.00063657i,0.00022248-0.00048266i,0.0012995+2.0897e-05i,0.0011138-0.00018564i,2.9444e-06-0.000287i,-0.00013934-0.00062543i,0.00088573-0.00077276i,0.00051541-0.00068601i,-0.00030452-0.0005934i,-7.8493e-05-0.00052365i,0.00043992-0.000501i,0.00010122-0.00058222i,0.00030322-0.00067209i,0.00060199-0.00038765i
0.00013012-0.002181i,-0.00030115-0.0020935i,0.00012348-0.0018384i,0.00041038-0.0019048i,0.00044281-0.0016415i,-0.00021555-0.0015801i,-0.0009344-0.0013525i,-9.6981e-05-0.00016709i,0.0002926+0.00072642i,-3.363e-05+0.00035056i,0.00014293+0.00057571i,-0.00073063+0.00081793i,-0.00065789+0.00033057i,0.00047493-0.00037617i,0.00065889-0.00046044i,8.4457e-05-0.00038533i,0.00057875-0.00067611i,0.00092014+4.2026e-05i,6.3236e-05+0.0010277i,-0.00012016+0.00075365i,0.00036947+0.00088484i,-3.9e-05+0.0014536i,-0.00033394+0.0012921i
