-0.0031383+0.0009368i,-0.0019266+2.0515e-05i,-0.0040192-0.00077736i,-0.0041781-0.00031509i,-0.0026715+0.00060438i,-0.0018202+0.0010001i,-3.0971e-05+0.0014441i,0.0017356+0.0021071i,0.0020167+0.0013851i,0.001646+0.00010864i,0.00062027-0.0012769i,-0.0005654-0.0022931i,-0.0016446-0.0014291i,-0.0010258-0.00016414i,-0.00029656-0.00014273i,-0.00043255-3.6832e-06i,-0.00017292+0.0003151i,0.00024732+0.00059134i,0.00012247+0.00043501i,-0.00048678+0.00095421i,-0.00049712+0.0016165i,-0.00062038+0.00065523i,-0.00016255-0.00059549i
0.0016708-0.00018046i,0.0019049+0.00028872i,0.0014702+0.00064258i,0.00050974+0.00044201i,0.00031489+0.00059967i,0.00018055+0.0011672i,-0.00026859+0.00077252i,0.00097131+0.00023211i,0.0020195-0.00024005i,0.0011294-1.1569e-05i,-0.00025441-0.00023128i,-0.0011626-0.0011383i,-0.0017-0.00099229i,-0.0014532-0.00072133i,-0.00039262-9.8304e-05i,6.691e-05+0.00015279i,7.7434e-05+0.00041609i,-0.00023182+0.0013364i,-0.0002273+0.0010728i,0.00018141+0.00047669i,0.00039823+0.00022836i,0.00036042+0.00017198i,0.00035638+0.00013385i
0.00029407-0.00026366i,-0.00047011-0.0009708i,-0.00089404-0.00027113i,-0.001059+0.0010426i,-0.00085129+0.0019442i,4.0752e-06+0.0014666i,0.00060307+0.0010776i,0.0007954+0.00010191i,0.0010657-0.00028165i,0.0009878-0.00042311i,-0.00024849-0.00089321i,-0.00074845-0.0015625i,-0.00065414-0.0016342i,-0.00048708-0.00066505i,-7.9178e-05+0.00031084i,1.032e-05+0.00054843i,-0.0002666+0.00059506i,-0.00054361+0.00046273i,-0.00020037+0.00054589i,-0.0001441+0.00092112i,-0.00023663+0.001024i,-3.2145e-05+0.0011763i,0.00024378+0.0015136i
0.0023447+6.0109e-05i,0.0014326+0.00018933i,0.0014138+0.00037989i,0.001212-9.121e-05i,0.00014322-0.0001802i,-0.00048322+0.00036051i,0.00024098+4.4912e-05i,0.00055054-0.00039366i,0.00028766-0.00010482i,0.00032149-0.00065929i,9.9221e-05-0.0013561i,-0.00097511-0.0011616i,-0.0010049-0.0012258i,-0.00025036-0.0019052i,-0.00024046-0.001735i,-9.179e-06-0.0006836i,0.00029362+0.00014392i,-0.00043793+0.0011115i,-0.00089722+0.0013392i,-0.00046628+0.0012205i,1.223e-05+0.00047598i,0.00038502-0.00033829i,0.00039434+3.4759e-05i
0.00033411-0.00035966i,0.00047867-0.00027207i,0.0013306-0.00041772i,0.00064955-0.00020007i,-0.00028062+0.00019038i,-0.00055254+0.0012683i,-0.0005097+0.0011809i,-0.00012175+0.00060454i,-0.00014572+0.00063941i,-0.00020222+0.00014147i,-0.00038704-0.00032412i,-0.0010242-0.00064313i,-0.0005677-0.00068292i,0.00037861-0.00067044i,-1.0319e-05-0.00013784i,-0.00016181+0.0011756i,0.000113+0.0010339i,0.00056729+2.6982e-05i,0.0010042+0.00024882i,0.0011877+0.00047915i,0.0013198+0.00017515i,0.0012157+0.00051382i,0.00038829+0.00071755i
-0.0019447-0.0024198i,-0.0025888-0.001769i,-0.0028711-0.00050742i,-0.0013156+0.0011558i,-0.00051541+0.0020874i,0.00087893+0.0018746i,0.0018722+0.0017677i,0.0011978+0.0010449i,0.00055653+0.00010995i,0.00017697-0.00046116i,-0.00062147-0.00061936i,-0.0013986+1.2058e-05i,-0.0011926-0.00055031i,-0.00069401-0.0014992i,-0.00010391-0.0011547i,0.00024065-1.4772e-05i,-6.571e-05+0.00036444i,-6.9058e-05+0.0009158i,-0.00026189+0.0011726i,-0.00065936+0.00048802i,-0.00062385+0.00040269i,1.6957e-06+0.00047225i,0.00043051-0.00028715i
0.0013901+0.0012844i,0.00087239+0.00061793i,0.00048215-0.00063362i,0.0001103-0.0011231i,0.00013762-0.00087442i,8.3331e-05-0.00053795i,-1.0103e-05-0.00032024i,0.00054829-9.2028e-07i,0.00046748+6.8272e-05i,0.00038746-0.00087389i,9.7333e-05-0.0016623i,-0.00049482-0.0016867i,-0.0004923-0.0011038i,-0.00025615-0.00090281i,3.478e-05-0.00069022i,0.00027461-0.0001893i,0.00044139+0.00015475i,0.00024352+0.00039743i,-0.00016777+0.00051392i,-4.2135e-05+0.0013088i,-0.00050155+0.002135i,-0.00041362+0.0012068i,0.00014231+0.00023369i
-0.0011516-0.0022754i,-0.0005945-0.0022664i,-0.00074886-0.0021855i,-0.001091-0.0014047i,-0.0013276+0.00057838i,-0.0014011+0.0021479i,-0.00079856+0.0019566i,-0.00035555+0.00085123i,3.4078e-06-6.7653e-05i,-0.00025582-0.00041027i,-0.00097275-0.00072198i,-0.00092946-0.00083381i,-0.00074695-0.00024002i,-0.00085015+0.00013344i,-0.00085032+2.5269e-06i,-0.00073761-0.00042035i,-0.00040391-0.00040614i,-1.2039e-06-1.547e-06i,5.5392e-05+0.00037459i,0.0002938+0.00034166i,0.00068368+0.0001806i,0.00062537+0.00030126i,0.00043759-0.00026417i
-0.0015498+0.00019832i,-0.0012824+0.00064349i,-0.0011912+0.001729i,-0.00085102+0.0018478i,-0.00015604+0.0014614i,0.00073008+0.0014819i,0.00065912+0.00060885i,-0.00019728-0.00023655i,-0.00065383-0.00057759i,-0.00030573-0.00076282i,-0.00092479-0.0011763i,-0.0019819-0.0013887i,-0.0013611-0.00086657i,-0.0003556-0.00032983i,0.00033615+9.8799e-05i,0.00063069+0.00029385i,-0.00018257+0.00042919i,-0.00057959+0.00036026i,-0.00039261+0.00029065i,-0.00037012+0.00030647i,0.00035829+3.4737e-05i,0.0011329+0.00016316i,0.0013097+0.00044494i
0.0017757+0.0023495i,0.0020241+0.0013011i,0.0020178-0.0002506i,0.00083113+0.00033854i,-1.6002e-05+0.0011657i,0.00084906+0.0009186i,0.0012529+0.00014122i,0.0013379-0.0005296i,0.0014242-0.00066533i,0.00084581-0.0014131i,0.00040845-0.002381i,0.00017709-0.0019638i,-0.00026147-0.000613i,-0.00068372-0.00046311i,-0.000748-0.00040582i,-0.00021272-0.00051348i,0.00050903-0.00019692i,-0.00016399+0.00032117i,-0.00032632+2.0379e-05i,0.00076122+0.00022345i,0.0010602+0.00064421i,0.00022372+0.00016643i,2.9888e-05-0.00038991i
0.0026295-0.0034531i,0.0019057-0.002663i,0.001349-0.0026029i,0.00022573-0.0019975i,-0.0016165-0.00075868i,-0.0027615+8.5728e-06i,-0.0013215+0.00058555i,8.8472e-05+0.0007094i,0.00023805-0.00024845i,0.00041693-0.0014332i,-0.00036464-0.0017152i,-0.0013875-0.0011694i,-0.0019095-0.0009733i,-0.0017247-0.00010547i,-0.0013606+0.00070713i,-0.00079791+0.0005026i,-0.00035665+0.00035918i,-0.00036333+0.00024703i,0.00013462+0.00062698i,0.00078384+0.00092843i,0.00037315+0.00063477i,-0.0001585+0.00038194i,-0.00064949+0.00052053i
0.00091849+0.0013683i,0.0010996+0.0015025i,0.0021742+0.0021334i,0.0019133+0.00089093i,0.00090484+0.00012766i,-0.00017362+0.0008908i,-0.0005917+0.00076562i,0.00020977+0.00022663i,0.0011944+0.00036194i,0.0015269+0.00057126i,0.00063255+0.00022299i,-0.00056957+0.00017606i,-0.00060898-5.4154e-05i,-0.00023962-0.0011392i,5.3335e-05-0.0010497i,0.00054909-0.00018545i,0.00047764+0.00016681i,-3.9479e-05+0.00031119i,0.00035335+0.00065546i,0.0003362+0.00059371i,-0.00046495+0.00010024i,-0.00038811+0.00066569i,0.00022652+0.0010744i
0.00022164+0.00093739i,0.0010061+0.0017643i,0.00040066+0.0019308i,-0.0004092+0.0019392i,-0.00072563+0.0013819i,-2.8907e-05+0.0013638i,0.00056126+0.00070318i,0.0005407-0.00037543i,0.00040434-0.00075888i,0.0004282-0.00068981i,-0.00048777-0.00078639i,-0.0012501-0.00087983i,-0.0012209-0.00054901i,-0.0010317-0.00038378i,-0.0011421-1.6978e-05i,-0.00086042+0.00047596i,-0.00050859+5.2636e-06i,-0.00038639-0.00035123i,-7.5966e-05+7.419e-05i,3.1392e-05+0.00025775i,-0.00039424+0.00020224i,4.2364e-05-0.0001278i,0.00089457+0.00012971i
-0.0006439-0.00015011i,-0.0018225-0.00033184i,-0.0021809+0.00034666i,-0.0016329+0.0011598i,-0.00068748+0.0011879i,-8.647e-05+0.0009544i,-0.0001103+0.00073399i,-0.00020041+0.00024583i,0.00050532-0.00034462i,0.0007685-0.00060138i,0.00020145-0.001214i,-0.0004272-0.00031418i,-0.00084839+9.6908e-05i,-0.00090486-0.00037575i,-0.00048412-0.00078625i,0.0010523-0.0008161i,0.0015059-0.00017512i,0.00085472+0.00039865i,0.00077288+0.00071059i,0.00086743+0.0011296i,0.00046553+0.00089475i,0.00056647+5.6914e-05i,0.00072459-0.0006415i
-0.00054576-0.00049327i,-0.00028578+0.00038756i,-0.00047815+0.000745i,-0.00025118+0.00080665i,0.0001165+0.0016651i,0.00090573+0.0023907i,0.00098447+0.0010627i,0.00023767-0.00023279i,0.00018845-0.00017895i,0.00020591-0.00024246i,-0.00044504-0.00095866i,-0.0011737-0.001185i,-0.0011249-0.00084847i,-0.00067737-0.0010871i,-0.00017301-0.00062543i,-0.00012393+5.5948e-05i,0.00013238-0.0005563i,0.00020957-0.00040079i,-0.00029297+0.00029855i,-0.00040485+0.00057128i,-0.00036365+4.1972e-05i,-0.00059433-0.00075512i,-0.00057072-0.00073566i
0.00047137+0.0014731i,0.00018133+0.0013409i,0.00087004+0.00020334i,0.00074542-0.0011327i,0.00032201-0.00070018i,-0.00050506+0.00048905i,0.00049122+0.00011088i,0.0017728-0.00031117i,0.0013591-0.00041574i,0.00071128-0.0010904i,0.00021992-0.0017592i,-0.00042431-0.00092289i,-0.0011842+9.5602e-05i,-0.0015596-0.00039606i,-0.001146-0.00030327i,-0.00074419+0.00074762i,-0.00095359+0.0012642i,-0.00049783+0.00025095i,0.00043837-0.0006917i,0.00074067-0.00029264i,7.9792e-05-8.4188e-05i,-0.00064275-0.00070976i,-0.00041115-0.00096845i
0.0016994-0.0015995i,0.0011935-0.0020105i,0.00085638-0.0016356i,-0.00046053-0.00036578i,-0.00095456+0.00058712i,-0.00078918+0.00018178i,-0.00031525-0.00056865i,7.6354e-07-0.0007044i,2.9609e-05+0.00014856i,0.00053476+3.9139e-05i,0.00032623-0.00062378i,-0.00035479-0.00046637i,-0.00060594+0.00010222i,-0.00049552-0.00040987i,0.00067009-0.00035223i,0.00074345+0.00035333i,-0.00038377+0.00047474i,-0.000521+0.00045386i,-0.00060436+0.00031404i,-0.00048504+0.00035681i,-7.2017e-06+0.00057871i,0.00064749+0.00044675i,0.00077981+0.00056978i
0.0006071-0.00067858i,0.00063878-0.0013437i,0.0013318-0.0018546i,0.00039344-0.00030802i,-0.0015286+0.0014891i,-0.001831+0.0020886i,0.00022748+0.00095235i,0.0019574+0.00045875i,0.0021696+0.00063536i,0.0012896-0.00012972i,3.4717e-05-0.0010587i,-0.00081559-0.0013823i,-0.0011044-0.0013685i,-0.00080762-0.0011436i,0.00022604-6.9396e-05i,0.0008292+0.00081883i,0.00071326+0.00038338i,0.00039299-0.00037891i,-0.0004143+0.00017395i,-0.00048257+0.00082964i,0.00014565+0.0007135i,0.00018669+0.00052215i,0.00027801+0.00057334i
-0.00041628-0.0007545i,0.00018797-0.00099569i,0.00018817-0.0010198i,0.00016663-0.0005739i,-0.00014115-0.00023739i,9.2968e-05-0.00049639i,0.0010325-0.0005528i,0.0014799-0.00034616i,0.0015464-0.00025315i,0.0011386-0.00061059i,0.00050114-0.00045385i,0.00015242+2.7019e-05i,0.00025056+0.00019449i,0.00030796+0.00034917i,0.00034972+0.00059868i,0.00030418+0.00011899i,-4.0506e-05+0.00033255i,-0.00031564+0.0010082i,-0.00022668+0.0014614i,-0.00035462+0.0014992i,-0.00089305+0.00085514i,-0.00062245-4.1709e-05i,-0.00019552-0.00069277i
-0.000216-0.00088294i,0.00023429+2.2471e-06i,-0.0013901-0.0005451i,-0.002367-0.00034798i,-0.0021502+0.00089904i,-0.0013663+0.0014916i,8.2318e-06+0.0010965i,1.4895e-05+0.00045169i,-0.00023511-0.00018631i,0.00054199-0.00014435i,-0.00047818+0.00038478i,-0.0018806+0.00021514i,-0.0010385-0.00038233i,2.7468e-05-0.00019081i,0.00025709-4.9442e-05i,-1.3991e-06-0.00039186i,-0.00017299-0.00018119i,-0.00033592+0.00037596i,-0.00083476+0.00081483i,-0.00048379+0.0008513i,-0.00014836+0.00077576i,-0.00017447+0.00091187i,0.00039858+0.00028755i
0.0011429+0.0030352i,0.0014777+0.0030528i,0.001483+0.0033563i,0.00050991+0.003211i,-5.7746e-05+0.0018298i,-0.00019784+0.00071737i,-0.00017446+0.00042094i,0.0005057+2.0422e-05i,0.0012418-6.8082e-05i,0.00011512-0.00065564i,-0.00061301-0.0015557i,-0.00031243-0.0013885i,-0.00040769-0.00080262i,-0.0001212-0.00056673i,0.00027998-7.0327e-05i,0.00017265+0.00059056i,-0.00031595+0.00046618i,-0.00038377-0.00059531i,5.7634e-05-0.00046238i,0.00014686+0.00012443i,0.00034844+0.00034562i,0.00080853+0.00012662i,0.00072094+6.0134e-05i
-0.00054379+0.00093526i,-0.00074982+0.0014934i,-0.00042943+0.0008228i,-0.00029423+0.00035054i,-0.00025333+0.00047253i,0.00039095+0.00051962i,0.00078567+0.00061585i,0.00068248+0.00061371i,0.00060202+0.00015412i,0.00075757-0.00028739i,0.00041633-0.00082111i,-0.00062268-0.00064064i,-0.00093603-2.796e-05i,5.4089e-05+0.00011504i,-0.00013063-9.7141e-05i,-0.00083745-0.00048467i,-7.1457e-05-0.00058698i,0.00055121-7.5977e-05i,0.00049645+0.00024313i,0.00019033+5.7009e-05i,-0.00025475-0.00019337i,3.7937e-05+9.2936e-05i,0.0004628+0.00031644i
-0.0007082-0.0024528i,-0.0020596-0.0023585i,-0.0015933-0.0023903i,-0.0010956-0.00060975i,-0.0016201+0.0005752i,-0.0014333+0.00094011i,-0.0010154+0.00096917i,-0.0007707+0.00015317i,-0.00057785-0.00028476i,-0.00050342-0.00051749i,-0.00059252-0.0012157i,-0.00039584-0.00085723i,-5.9793e-05-0.00013572i,8.0522e-05-2.9414e-05i,-1.8177e-05+0.00032406i,-6.4735e-05+0.00058412i,0.00030306+0.0012862i,0.00011927+0.0019912i,-1.1162e-05+0.0014602i,0.00058286+0.00095552i,0.0010389+0.00030243i,0.0010344-0.00039666i,0.00079518-0.00027162i
0.0020696+0.00030942i,0.0028475+0.00175i,0.0020069+0.0013188i,0.0014641+0.0013168i,0.001068+0.0018048i,0.00074516+0.001491i,0.0011183+0.00054054i,0.0014147+0.00053221i,0.0016526+0.00043541i,0.0015541-0.00019801i,6.3981e-05-0.00064927i,-0.00098122-0.00074184i,-0.0010228-0.00046187i,-0.00063162-0.0002581i,-0.00065762-0.00057575i,-0.001686-0.00063166i,-0.0022243-0.00013579i,-0.0011611+0.0001438i,-0.00029954-1.5303e-05i,-0.000518-0.00012546i,-0.00050705-0.00068949i,-8.7028e-06-0.0008259i,0.00029542-0.00044545i
