-0.0036742+0.00085606i,-0.0032992+0.0010976i,-0.004636+0.0028344i,-0.0046205+0.0031304i,-0.0028941+0.0019882i,-9.6272e-05+0.0011297i,0.001697+0.00084558i,0.0023756+0.00075432i,0.0025057+0.00084739i,0.001493+0.00044287i,0.0013786-0.00020354i,0.0014534+0.00019623i,0.0005795+0.0012413i,0.00040879+0.0015306i,0.00046457+0.00077614i,-9.5435e-05+0.00082564i,6.8375e-05+0.00067374i,-0.00021005+7.775e-05i,-0.0014962+0.00058078i,-0.00085534+0.0011867i,0.00040312+0.0015377i,0.00061624+0.00073531i,0.00039848-0.00030329i
-0.002218-0.0023119i,-0.002008-0.00083605i,-0.0014443-0.00047995i,-0.0010267-0.0006609i,-0.00013453-0.00048437i,0.00075158-8.4514e-05i,0.00062879+0.0004275i,-0.00011541+0.00067152i,-0.00040411+0.00045939i,9.2415e-05+0.00041945i,-0.00024971+0.00062899i,-0.00052351+0.00092446i,0.00027489+0.0016232i,0.00024439+0.0018196i,-0.00073314+0.001085i,-0.00036254-0.00025812i,0.00031102-0.00064504i,0.00021711-9.4703e-05i,0.00028331+0.00011539i,0.00041674+0.000372i,-5.1684e-05+0.0012139i,-0.00039112+0.001415i,-0.00035376+0.00055866i
0.00090758+0.00064826i,0.002269+1.5969e-05i,0.0023265-0.00090747i,0.0027164-0.0023951i,0.0023423-0.0029437i,0.00088033-0.0026935i,0.00028147-0.0015628i,0.00015297-0.00058095i,-0.00028121-0.00075127i,8.7588e-05-0.00080116i,-0.00034312-0.00077289i,-0.00062058-0.00073061i,-0.00022876-0.00011843i,-0.00046131-4.6308e-05i,-0.00067307+0.00029584i,-0.00066035+0.0005181i,-0.00057379+3.1791e-05i,-0.00023944-0.00021749i,0.00044334-0.00031048i,0.00073025+8.809e-05i,-7.173e-05+3.584e-05i,-0.0008042-0.00041967i,-0.00051901+4.3043e-05i
0.0033375+0.0024648i,0.002992+0.0014127i,0.004319-0.0012707i,0.0040142-0.0042547i,0.0022483-0.0052913i,0.001041-0.0036531i,0.00084439-0.0015627i,-0.00018231-0.0004671i,-0.0005275-1.9262e-05i,0.00018843-0.00087703i,-8.0378e-05-0.0015427i,-0.00035851-0.0014577i,-0.00027811-0.00072625i,-0.00026089-0.00014782i,-0.00047174+0.0002673i,-0.00068979+0.0004252i,-0.00066773+0.0012525i,-7.6609e-05+0.0015271i,0.00047567+0.00033672i,0.00047921-0.00045037i,0.00045593-0.00031589i,-0.00029026-0.00029323i,-0.00076354-0.00052785i
-0.0016873-0.00070711i,-0.0011732-0.0012826i,7.3771e-06-0.0019682i,0.0010837-0.0013339i,0.00098081-0.0015743i,0.0010751-0.0017038i,0.0012363-0.00096571i,0.0015673-0.0003364i,0.0011943+0.00011097i,0.00075396-0.00025006i,0.00010663-0.00074484i,-0.00026522-0.00014832i,-0.00015741+0.00078709i,2.0875e-05+0.00060719i,0.00026406+0.00080201i,-0.00033313+0.00041175i,-0.00044366-0.00041923i,-0.00018477-0.00072369i,-0.00054465-0.0010512i,-0.00032755-7.1172e-06i,0.00022119+0.00085556i,-8.0414e-05+0.00054861i,-0.00048136+1.7577e-05i
0.00073425-0.0023958i,0.0013692-0.0023044i,0.00049533-0.0038384i,-0.00032033-0.0041969i,-0.0010715-0.0029766i,-0.0010643-0.0024066i,-1.2048e-06-0.0014357i,0.00063857-0.0011014i,0.000816-0.00098134i,0.00040013-0.0003217i,-0.00076634-6.7947e-05i,-0.0012953-4.9395e-05i,-0.0011208+0.00017018i,-0.00093656+0.00061761i,-0.0005792+0.0012283i,-0.0001362+0.0014121i,-0.00011935+0.00014615i,0.00015164-0.001116i,-5.055e-05-0.00080817i,-0.00042466-8.6421e-05i,-0.0011271-0.00053782i,-0.001038-0.00095211i,-0.00034266-0.00094926i
-4.666e-05+0.0011954i,0.00035546+0.00044753i,0.0017375-0.0010378i,0.00218-0.0020009i,0.0018924-0.0016512i,0.0010536-0.0010188i,0.00030311-0.00028008i,0.00010709-0.00011334i,0.00029595-0.00048738i,0.00049238-0.00089954i,0.00046284-0.000561i,0.00024472-0.00048105i,0.00047314-0.00066628i,0.00052308-0.00014608i,0.00066976+3.7872e-05i,0.00062503-0.00073765i,0.00028478-0.00040719i,0.0003247+1.9289e-05i,0.00014392-0.00033581i,-0.00035231-0.00081892i,-0.00043789-0.00092674i,-0.00034072-0.00062185i,0.00046231+5.5546e-05i
0.0017539-0.0038964i,0.0017064-0.0049286i,0.0018688-0.004939i,0.0015097-0.0047812i,0.0011686-0.0043944i,0.0006977-0.0020137i,0.00091176-2.5626e-05i,0.00084044-0.00021779i,0.00062307-0.00050416i,0.00082028-0.00048697i,0.00082834-0.00060416i,0.00024827-0.00046634i,-0.00057422+0.00019258i,-0.0011822-9.1006e-05i,-0.0011648-0.00092279i,-0.00051135-0.00069391i,-0.00018421+0.00046253i,-0.00020383+0.0012346i,-9.6753e-05+0.00090285i,-0.00041111+0.00037734i,-0.00090015+0.00034281i,-0.00082308-0.00010525i,-0.00021575-0.00042158i
-6.8123e-05+0.00037228i,-0.00043917-8.9359e-06i,-0.00089873-0.00098674i,-0.00060245-0.0017206i,-0.0002078-0.0015228i,-5.6811e-05-0.00028896i,0.00058334-6.7861e-05i,0.00099018-0.00057929i,0.00059875+0.00014762i,-1.9738e-06+0.00089161i,-0.00016419+0.00032805i,-0.00025047+0.00017444i,-0.00012564+0.00055675i,-0.00026014+0.00081077i,-0.00056892+6.5249e-05i,-0.00043433-0.00040853i,5.5766e-06+0.00023903i,0.00030483+0.00078974i,-0.00022528+3.0512e-05i,-0.00064686-0.00022114i,-0.00038621+0.00066566i,-0.00038986+0.00073606i,4.5433e-05+0.00036508i
-0.00038964+0.0011318i,0.00031461-0.00064437i,0.0012443-0.001222i,0.0019324-0.00095899i,0.0018695-0.0012627i,0.0014965-0.00135i,0.00082223-0.00061241i,0.00025856-1.5626e-05i,-7.6845e-05+3.8501e-05i,-0.0003844+0.00017146i,-0.00052483-0.00046186i,7.0111e-06-0.0010118i,5.8113e-05-0.00032038i,-0.00074137+0.00028003i,-0.00017832+0.0007503i,0.00059262+0.00062999i,0.00073424-0.0001559i,0.00021623-6.9238e-05i,-0.00017301+6.1598e-05i,-0.00026703+3.956e-05i,-0.00012277-0.00055493i,0.0004822-0.00070752i,0.00013477-0.00024457i
0.0019397-0.0002505i,0.0035566-0.0002317i,0.0034674-0.00090931i,0.0021777-0.0024033i,0.0015031-0.0026547i,0.0011167-0.0020107i,0.001601-0.001976i,0.0018491-0.001666i,0.00069068-6.523e-05i,-0.0005086+0.00052937i,-0.00069441+0.00015825i,8.9791e-05+0.00043919i,0.0002761+8.215e-05i,-0.00022907+4.1275e-05i,-0.00024296+0.00037293i,8.3365e-05+0.00066978i,0.00018266+0.00089144i,-0.00037746+0.00010784i,-0.00070703-0.00036645i,-7.6857e-05-0.0006479i,-0.00015111-0.00050812i,-0.00091837+0.0002432i,-0.00052679+0.00088498i
-0.00054033+0.0039075i,-0.00051692+0.0031987i,0.0014448+0.0013942i,0.0025691-0.00092501i,0.0021663-0.002807i,0.0012256-0.0026199i,0.00094057-0.0014344i,0.00039521-0.00042911i,-0.00042543+0.00015361i,-0.00018577-0.00033856i,0.00015927-0.00062875i,0.00033393-0.00061222i,0.00045116-0.00054556i,0.00052384-0.00047604i,0.00068022-2.6666e-05i,0.00057+2.9908e-05i,9.4365e-05-0.00011939i,-0.00049486-0.00018615i,0.00021319-0.00036502i,0.00070278+0.00015651i,0.00034812+0.00014223i,0.00018941+2.2196e-05i,-7.4259e-05+0.0003508i
-0.0014339-0.0017863i,-0.00041733-0.0027023i,0.0010507-0.0028677i,0.00035465-0.0036416i,-0.00099297-0.0046052i,-0.00033535-0.0023665i,0.0005854-0.0002757i,0.0005457+0.00039937i,0.00060006+0.00083408i,0.0006509+0.00055737i,0.00043663+0.0001992i,0.00024317+0.00010542i,-0.00038422-0.00024993i,-0.00096434-0.00041195i,-0.00034229+0.000165i,0.00054334+0.00065733i,0.00043608+0.00015585i,9.4462e-05-0.00038771i,-0.00036174-0.00025429i,-0.00038631+0.00046988i,-0.00029983+0.00039917i,-0.00020547+0.00025199i,-0.00012344+5.2253e-05i
0.0018664+0.0022051i,0.002241+0.00099796i,0.0021676-0.00095354i,0.0019342-0.0035214i,0.0012138-0.0037087i,0.00069661-0.0020368i,0.00043483-0.0010979i,0.00058985-0.00012894i,0.00020903+0.00044967i,-3.0451e-06+0.0003182i,0.00015535-0.00016663i,-0.0002874-0.00052189i,-0.00075534-0.00017315i,-0.00023559-3.9925e-05i,0.00067832+3.7221e-05i,0.00088696-0.00013941i,0.00054735+5.457e-05i,9.3435e-05+0.00010846i,-5.553e-05-0.00028328i,-0.00028632-2.5947e-05i,-0.00043878+0.00037617i,-1.1082e-05+0.00069169i,-0.00030005+0.00028438i
-0.0020522-0.00074051i,-0.0019119-5.5522e-05i,-0.00069726-0.0010944i,-6.6428e-05-0.0021831i,-0.0010332-0.001321i,-0.00051596+5.4407e-06i,0.00072839-0.0003367i,0.00062427-0.0011836i,0.00063672-0.00059309i,0.00053486-0.00011638i,-0.00020393-0.0008178i,-0.00019266-0.0010114i,-0.00040978-0.0004127i,-0.00052353+7.9681e-05i,0.00035396+0.00037829i,0.00071048+0.00063607i,0.00028248+0.00016261i,0.0001319+0.00030862i,-0.00012138+0.00048955i,-0.0002784+8.504e-05i,-0.00024797-0.0002971i,-0.00029396-0.00044165i,-0.00038704-0.00072128i
0.0030831-0.0021999i,0.0024128-0.0033635i,0.0019895-0.003374i,0.000597-0.0033956i,-0.00078369-0.0034374i,-0.0002049-0.0016965i,0.00042035-4.963e-05i,8.7083e-05-0.00012338i,-6.8754e-06-0.0012013i,0.00013051-0.0013786i,0.00030368-0.00030301i,-0.0001036+0.00063339i,-0.00056858+0.00064838i,-0.00067833+0.0002622i,-0.00053267+0.00056319i,-0.00054266+0.00045826i,4.4612e-06+0.00024709i,0.00060527+0.00025785i,0.00028305-0.00037843i,-0.00030114-0.00058252i,-0.00044266+6.8196e-05i,-0.00045193+0.0005997i,0.00013939+0.00090819i
0.00043294-0.0011084i,-0.00034889-0.00097681i,-0.00018258-0.0022581i,0.00016635-0.0032483i,-0.00038023-0.003627i,0.00022767-0.0025075i,0.0009821-0.00073881i,0.00057063-0.00047342i,-5.9216e-06-0.00028764i,-3.9478e-05+0.00044538i,-0.00047608+0.00025154i,-0.00082958-0.0001298i,-0.00060664-2.4875e-05i,6.2406e-05+0.00011882i,-0.0001227+0.00037872i,-0.00024335+0.00051415i,0.00060493+0.00050628i,0.00056457-0.00011321i,0.00016787-0.00080074i,0.0003343-0.00060124i,0.00022059-0.00020365i,0.00011935-0.00047398i,-0.00015749-0.00060314i
-0.0025141-0.0018225i,-0.0027854-0.0026332i,-0.0027098-0.0027794i,-0.0016355-0.0025289i,-0.00041099-0.0016392i,0.00052703-0.00019138i,0.00061809-0.00028964i,0.00078376-0.0009996i,0.0011328-0.00074581i,0.0010045-0.00044049i,0.00053015-0.000292i,-8.7169e-05-0.00013578i,-0.00014556-0.00031825i,-0.00064082+0.00029966i,-0.00085832+0.00075309i,-0.0007048+0.00021856i,-0.00029705-0.00016348i,-0.0003781-0.00011608i,-0.00088555-5.3308e-05i,-0.00074844+6.6218e-06i,-0.00015539+0.00031548i,-0.00018414-0.0001015i,9.9545e-06-0.00017679i
-0.00014595-0.00015366i,0.00066463+0.00066874i,0.001842-4.3475e-05i,0.0023132-0.00097597i,0.0013731-0.001716i,0.00067676-0.0019312i,0.00084864-0.0011727i,0.00068023-0.00042973i,0.00012221+0.00013616i,0.0003949+0.00013816i,0.00064938-0.00087599i,0.00051621-0.0010534i,0.00013002+1.8284e-05i,0.00012127+0.00028034i,0.00059579-1.3894e-05i,0.00040897-0.00065526i,2.8366e-05-0.0013097i,-0.00021207-0.00073603i,-0.00070124+1.7689e-05i,-0.00051673-0.00011467i,3.5666e-05-0.00025991i,0.00034083-6.9571e-06i,0.00039594+7.8462e-05i
-0.0012595-0.0016722i,-0.00069335-0.0018167i,-0.00039265-0.0019997i,0.0002782-0.0020678i,0.00048487-0.00142i,-0.00016826-0.0013116i,1.6937e-05-0.0011111i,0.00060556-0.0013453i,0.00037713-0.00075291i,-0.0003787+0.00062705i,-0.00062538+0.0004299i,-0.00066025-0.00047605i,-0.00036908-0.00072095i,0.00022986-0.00040929i,2.295e-05-0.00020398i,-3.9965e-05-0.00060404i,0.00025422-0.0011129i,5.7617e-05-0.0010549i,0.00028978-0.00040339i,0.00010128+0.00020772i,-0.00079656+0.00031712i,-0.0013261-0.00035719i,-0.00091296-0.00053335i
0.00051278+0.0017972i,0.00075007+0.00099054i,0.0014505+0.0010424i,0.0025928+0.00072108i,0.002399-0.00098982i,0.0017251-0.0024256i,0.0014863-0.0017193i,0.00037605-0.00068264i,0.00053759-0.00020401i,0.00095728+0.00042675i,0.00023914-0.00010381i,-0.00017692-0.00058386i,-0.00069318-0.00035748i,-0.00021418+0.0001439i,0.0011397+0.00030365i,0.0010895-0.0001008i,0.00023914-0.00057451i,-0.00010214-0.00054707i,0.00018859+0.00039429i,0.00014358+0.00083829i,-0.00028922+3.9072e-05i,-0.00021993-0.00072684i,0.00015088-0.00063436i
-0.001381-0.00053536i,-0.0010731-0.00061173i,-3.2593e-05-0.002453i,0.00094852-0.0038507i,0.00089496-0.0033673i,0.00046834-0.0021809i,0.00045948-0.0012263i,0.00038867-0.00069979i,0.00019834-0.00071536i,-0.00048258-0.00064489i,-0.00071205-0.00044369i,-0.00044131-0.00015287i,-0.00039378+0.00019872i,-0.00041679-0.00083421i,-0.00040998-0.0013803i,-0.00057087-0.00085672i,-7.2381e-05-0.0006146i,0.00075105-0.00057227i,-5.3136e-05-0.00070073i,-0.00092202-0.00045443i,-0.00037973-0.00010472i,0.0001765-1.051e-05i,-7.9877e-05+3.467e-05i
0.00094932+0.0011689i,0.0017374+0.00079421i,0.002607+0.00073564i,0.0023124-0.00040199i,0.0017687-0.002622i,0.0019722-0.0026873i,0.0017346-0.0012531i,0.00074173-0.00014589i,0.00014502+0.00028613i,0.00018952-7.632e-05i,0.0002438+0.00037689i,-0.00022908+0.00089044i,-0.00071477+0.00050115i,-0.00022294+0.00056372i,0.00054296+0.00127i,0.00022407+0.00058231i,-0.00042345-0.00023786i,-0.00037178+8.5919e-05i,-1.5844e-06+0.00068852i,0.00022769+0.00066449i,-1.5668e-05+0.00029867i,-1.5219e-05+0.00021414i,0.00027475+0.0001645i
-0.00034884+0.00091987i,0.0009552+0.00078206i,0.0012971-0.00091558i,0.0020155-0.0016145i,0.0025042-0.0018593i,0.0021538-0.0014612i,0.00086892-0.00091543i,-1.5247e-05-0.0010102i,-0.00054053-0.00061075i,-0.00097705-8.9628e-05i,-0.001149+0.00027965i,-0.0009582+0.00050639i,-0.00086162+0.0005417i,-0.001017+0.00036301i,-0.00052896-0.00047328i,0.00076409-0.00049543i,0.00054686+0.00040301i,0.00020317+0.00046245i,0.00044442-3.1851e-05i,0.00024158+0.0001591i,-0.00049553+0.00077091i,-0.00065162+0.0005794i,-0.00047072+0.00010143i
-0.00018967-0.0011896i,0.00039117-0.0013681i,0.0012389-0.0023436i,0.0021747-0.0033887i,0.0019526-0.0031139i,0.0014026-0.0018142i,0.0015198-0.00088631i,0.0016188-0.0012005i,0.0014562-0.0012233i,5.7855e-05-0.00084494i,-0.0013979-0.00075262i,-0.0011645-0.00010764i,-5.8646e-05+0.00026007i,0.00040488+1.0348e-05i,0.00048749+4.1015e-05i,-0.00011713-0.00039482i,-0.00032869-0.0010348i,0.00049347-0.0010528i,0.00048695-0.0011833i,-0.00036649-0.001363i,-0.00038547-0.00023706i,-0.00049933+0.00052767i,-0.00055734-0.00029605i
-0.0011652-0.00045195i,0.00020573-0.00042399i,0.00043426-0.00097942i,-0.00058924-0.0019937i,-0.00062167-0.0027209i,-0.00048214-0.0017861i,-2.2545e-05-0.00010163i,0.00064715-0.00042288i,9.2484e-05-0.00076447i,-0.00052103-0.00090705i,-0.0010391-0.0011958i,-0.0012527-0.00014059i,-0.00061195+0.00035952i,-0.0001606+0.00015666i,3.1525e-05+0.00012817i,0.0001718-0.00012706i,6.1842e-05-0.0010511i,0.00035183-0.0013073i,0.0007997-0.00063502i,0.00048149-0.00034585i,9.2199e-05-0.00015076i,-0.00011171+0.00015519i,-0.00063335-0.00028702i
0.0034798+0.0017854i,0.0040209+0.0012306i,0.0056475+0.00048436i,0.0051638-0.0017229i,0.0024867-0.0032366i,0.00049433-0.002396i,0.00061873-0.0014139i,0.00034441-0.00053909i,-0.00044714-8.4034e-06i,0.00046756-0.00052038i,0.00064931-0.0005621i,-0.00031088-0.0006259i,-0.00026708-0.0014382i,-6.7606e-05-0.0010287i,-2.8329e-07-0.00018187i,0.00028244-0.0001353i,0.00033985-0.00032399i,0.00017334-0.00044428i,-0.0002296-0.00017256i,-0.00048546-0.00016245i,-0.00049085-0.00046601i,-0.00059277-0.00070791i,-9.4264e-05-0.0011535i
-0.0018021-0.0019489i,-0.0017125-0.0024208i,9.6646e-05-0.002375i,0.0015743-0.0019542i,0.0011324-0.0020626i,0.00020378-0.0013549i,-0.00017781-0.00050283i,-0.00047182-0.00040381i,-0.00014584-1.4281e-05i,-5.6169e-05+0.00024047i,-0.0001954+0.00055263i,-0.00050032+0.00056526i,-0.00064868+0.00016162i,8.9644e-05+0.00031609i,0.00058041+0.00089475i,0.00067761+0.00092007i,0.00035561+0.00091144i,-0.00020781+0.00054658i,-0.00048656+0.00060067i,-0.00049425+0.00077089i,0.00033545+0.00048828i,0.00063701+0.00067756i,0.00036553+0.00027556i
-0.0012892+0.00059889i,-0.00085766+0.00020218i,-0.0010576-0.00011677i,-0.00046227-0.00037105i,0.00097952+7.5305e-05i,0.00062999-0.00012899i,0.00026312-0.00056464i,0.00061151-0.00060839i,0.00068455-0.00034298i,0.00094627+0.00022477i,0.0011749+0.00052273i,0.00056026+0.00064634i,-0.00035734+0.0010664i,-0.00090364+0.0012314i,-0.00013008+0.0007747i,0.001084+0.00069865i,0.00066783+0.00066584i,-0.00019696+0.00043636i,-0.00053317+0.00050535i,-0.0005684+7.8037e-05i,-0.00041497-0.00060667i,0.00040088+0.0001767i,0.00012091+0.0011933i
0.00042369+0.0019141i,0.00093072+0.0020274i,0.0021203+0.00075008i,0.001803-0.001299i,0.0010887-0.002112i,0.00097737-0.0017251i,0.00191-0.0012378i,0.0014589-0.0008331i,0.00047102-0.0006212i,0.00041538-0.00039327i,-0.0001296-0.00050701i,-0.00056995-0.00059334i,-0.00066979-0.00018854i,-0.0010305-0.00013439i,-0.00032981-0.00066044i,0.00017159-0.00096533i,-0.00028082-0.00052638i,-0.0008041+0.00017588i,-0.0010673+0.00012283i,-0.00020481-0.00041682i,0.00018512-0.0002009i,-0.00015794-0.00025603i,-0.00050912-0.00045208i
0.0017717-0.0022625i,0.0025873-0.0035483i,0.0028662-0.0051156i,0.0021967-0.0060266i,0.0014383-0.0051376i,0.00039845-0.002394i,-8.251e-05-6.0176e-05i,0.00032152-0.00018406i,0.00052505-0.00074677i,-0.00046303-0.00068951i,-0.0016675-0.00041034i,-0.0017958-0.00046617i,-0.0014112-0.0004299i,-0.0012567-0.00039108i,-0.00099188-0.00027789i,4.6875e-05+4.6363e-05i,0.00017857+0.00032436i,-0.00017364+0.00046927i,-0.00010511-0.00035491i,0.00011149-0.00045094i,-0.00027306+2.3176e-05i,-0.0011151-5.8928e-05i,-0.00091245-0.00028188i
-0.0020089+0.00044419i,-0.0015131+0.0020433i,-0.00019123+0.0023821i,0.0015033+0.0013685i,0.001829+0.00047593i,0.0012931+0.00080192i,0.0014299+0.00086039i,0.0010016+0.0002768i,9.5977e-05+0.00011994i,0.00032632-0.00022133i,4.963e-05+0.00032168i,-0.00031826+0.00078931i,-8.923e-05+0.00033887i,0.00046454+0.00096086i,0.00040071+0.0013091i,0.00028912+0.00084455i,0.00044253+0.00019344i,3.4194e-05-0.00045439i,-0.00039152-0.00021237i,-0.00027702+9.8041e-05i,0.0003668+0.0001635i,0.00062214-0.00025674i,0.00031822-0.0010445i
0.00031375-0.0048471i,-0.0015225-0.0037171i,-0.0022739-0.0054764i,-0.001474-0.0054983i,-0.00096884-0.00306i,-0.00024388-0.00081735i,0.00083096-0.00010875i,0.0014509-0.00053288i,0.001105-0.00074657i,-0.00025146+6.9573e-05i,-0.0014888+0.00076913i,-0.00097445+0.00082485i,-0.00084174+0.00048549i,-0.0011594-0.0001561i,-0.00031369-0.00067147i,-0.00014409-0.0004852i,-0.00070024-0.00042551i,-0.00051874-0.00032543i,-0.00037978-0.00037603i,-0.00080525-0.00040781i,-0.00074604-0.0002639i,-0.0003464-0.00066163i,-0.00066189-0.0011066i
